# _root_ When he sent letters offering 1,250 retired major leaguers the chance of another season , 730 responded .
#goldHeads=3,3,17,3,4,9,9,9,5,11,5,11,14,12,17,17,0,17,
#predictedHeads=3,3,17,3,3,9,9,9,5,11,5,11,14,12,17,17,0,17,
(0,4),(0,5),-0.103397 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0223932 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0509561 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0223932 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.100904 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0509303 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0603451 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0509303 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.16383 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0319438 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.015657 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.0878784 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.0223932 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.101943 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0878784 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0388414 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0661121 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.186349 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.026257 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0322422 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0391505 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0642369 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0726823 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.037075 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0668408 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.140352 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.192289 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.268497 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.023 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0174492 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.018217 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00256189 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.00287443 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0221958 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0143402 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0221198 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0202546 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.039055 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0306953 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.142535 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0209299 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.00172393 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0131484 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0144142 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.00387075 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0180441 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00951617 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.00954132 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.033585 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0145335 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.0294633 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0179732 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0210909 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0213453 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0119248 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0176254 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00710559 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0131265 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0397142 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00908774 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0863618 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0450194 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0453949 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0331699 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0274648 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00299686 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0319525 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.00616298 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0133699 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.0164519 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.040052 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0127872 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.00708132 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0130725 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0115723 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.0270272 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.00428778 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.0265851 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0140037 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.00829787 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.0105331 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0127888 # DEPENDENCYPART_SIBL
(3,8),(3,15),0.0396461 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.00164222 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0218429 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0120232 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0031095 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.00352039 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.0282965 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.00438779 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0188627 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.00229749 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00062519 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0241122 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.00277603 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0225181 # DEPENDENCYPART_SIBL
(3,12),(3,14),0.000417472 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.00624089 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0360981 # DEPENDENCYPART_SIBL
(3,12),(3,18),0.0138006 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0251296 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.00839523 # DEPENDENCYPART_SIBL
(3,14),(3,18),0.0266152 # DEPENDENCYPART_SIBL
(3,15),(3,17),0.0438732 # DEPENDENCYPART_SIBL
(3,15),(3,18),0.043314 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.076765 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0454033 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00219889 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0460642 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0562978 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00820335 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0180935 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0361938 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0313001 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0134279 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0446913 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0433768 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0935281 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00297197 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0281821 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0989447 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0569793 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0508144 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0312267 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0252173 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00495497 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0414586 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0884565 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.072228 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00430066 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0978558 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0517385 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0461321 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0159727 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0218925 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0108448 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00851263 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0194696 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.044421 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00619638 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0126089 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.017363 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00204763 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0052053 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0387354 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00143154 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0427943 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0482263 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0146505 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0101832 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.030149 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.033303 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0281613 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0295175 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.00701215 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0201207 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0115358 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0110304 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0141837 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0105161 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0104011 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0151016 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.00149889 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00224516 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.000908137 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0200535 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.00287449 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0560926 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.00697724 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0109979 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00646309 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.00917429 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0140227 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0198426 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.00781284 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.00926679 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0132857 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.023025 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.00317101 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.015151 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0152197 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0127527 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0256363 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.00449566 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0388456 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0122989 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0283147 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0258261 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0320866 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0389949 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0787656 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0872109 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0171771 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0813694 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.140092 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.206633 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.264812 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0479157 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.00799343 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0280788 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0130048 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0133173 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0216206 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0137651 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0314305 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0196794 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0290302 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0555855 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.135937 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0118473 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0369659 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00246886 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00109593 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0108872 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.017455 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00345093 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0114177 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.036643 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.00396309 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0237683 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00176639 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00607563 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00582276 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00745472 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00965261 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0177305 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00749977 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0079199 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.000366552 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.00859609 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0445092 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0448847 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0381316 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0324264 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.00723818 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0369141 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0048353 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0208861 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0144024 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0443066 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0213151 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0156092 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00468965 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0201002 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.0178778 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0103734 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0149325 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0225316 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0168258 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00215024 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0213167 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0304968 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.013019 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0196746 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.00747268 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00774678 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0159754 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0162783 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0153896 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.00748029 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0131538 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0188706 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.012094 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0225534 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.00382482 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.0312556 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0276627 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0684415 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0510806 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0131114 # DEPENDENCYPART_SIBL
(5,14),(5,17),-0.0113821 # DEPENDENCYPART_SIBL
(5,14),(5,18),0.000272242 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0162462 # DEPENDENCYPART_SIBL
(5,15),(5,18),-0.00552538 # DEPENDENCYPART_SIBL
(5,17),(5,18),0.00539859 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00283094 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00201042 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0214962 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.050006 # DEPENDENCYPART_SIBL
