# _root_ It received more offers , but the auction was surprisingly won by IMA , which bid $ 28 a share and asked Mr. Gilleland to stay on as an equity participant .
#goldHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
#predictedHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
(9,5),-1.11637 # DEPENDENCYPART_ARC
(9,6),-0.795321 # DEPENDENCYPART_ARC
(9,7),-0.474583 # DEPENDENCYPART_ARC
(9,8),0.586518 # DEPENDENCYPART_ARC
(9,10),0.617154 # DEPENDENCYPART_ARC
(9,11),0.285209 # DEPENDENCYPART_ARC
(9,12),-0.74285 # DEPENDENCYPART_ARC
(9,13),-1.22586 # DEPENDENCYPART_ARC
(9,14),-1.38079 # DEPENDENCYPART_ARC
(9,16),-1.91025 # DEPENDENCYPART_ARC
(9,17),-1.62921 # DEPENDENCYPART_ARC
(9,21),-0.944389 # DEPENDENCYPART_ARC
(9,25),-2.00707 # DEPENDENCYPART_ARC
(9,26),-2.41029 # DEPENDENCYPART_ARC
(9,32),-0.108993 # DEPENDENCYPART_ARC
(10,4),-2.26106 # DEPENDENCYPART_ARC
(10,6),-1.71234 # DEPENDENCYPART_ARC
(10,8),-1.59546 # DEPENDENCYPART_ARC
(10,11),0.00599481 # DEPENDENCYPART_ARC
(10,12),-0.765168 # DEPENDENCYPART_ARC
(10,13),-1.06617 # DEPENDENCYPART_ARC
(11,2),-2.20755 # DEPENDENCYPART_ARC
(11,4),-2.55822 # DEPENDENCYPART_ARC
(11,5),-2.29897 # DEPENDENCYPART_ARC
(11,6),-1.6496 # DEPENDENCYPART_ARC
(11,8),-1.42729 # DEPENDENCYPART_ARC
(11,9),-1.67143 # DEPENDENCYPART_ARC
(11,10),0.0437015 # DEPENDENCYPART_ARC
(11,12),0.787255 # DEPENDENCYPART_ARC
(11,13),-0.687213 # DEPENDENCYPART_ARC
(11,14),-1.17604 # DEPENDENCYPART_ARC
(11,16),-1.7508 # DEPENDENCYPART_ARC
(11,17),-1.89334 # DEPENDENCYPART_ARC
(11,21),-1.42448 # DEPENDENCYPART_ARC
(11,26),-2.21535 # DEPENDENCYPART_ARC
(11,32),-1.38979 # DEPENDENCYPART_ARC
(12,8),-1.31652 # DEPENDENCYPART_ARC
(12,10),-0.940093 # DEPENDENCYPART_ARC
(12,11),-0.174931 # DEPENDENCYPART_ARC
(12,13),0.755699 # DEPENDENCYPART_ARC
(12,14),-0.70208 # DEPENDENCYPART_ARC
(12,16),-1.75985 # DEPENDENCYPART_ARC
(12,17),-2.00173 # DEPENDENCYPART_ARC
(12,18),-2.22355 # DEPENDENCYPART_ARC
(12,21),-1.43901 # DEPENDENCYPART_ARC
(13,10),-2.07259 # DEPENDENCYPART_ARC
(13,12),-0.753315 # DEPENDENCYPART_ARC
(13,14),0.30502 # DEPENDENCYPART_ARC
(13,16),-1.25826 # DEPENDENCYPART_ARC
(13,17),-1.84037 # DEPENDENCYPART_ARC
(13,18),-1.98805 # DEPENDENCYPART_ARC
(13,20),-1.66111 # DEPENDENCYPART_ARC
(13,21),-1.31258 # DEPENDENCYPART_ARC
(13,22),-1.98894 # DEPENDENCYPART_ARC
(13,24),-1.71186 # DEPENDENCYPART_ARC
(15,16),0.136535 # DEPENDENCYPART_ARC
(16,1),-2.32992 # DEPENDENCYPART_ARC
(16,2),-1.72059 # DEPENDENCYPART_ARC
(16,4),-1.58757 # DEPENDENCYPART_ARC
(16,5),-2.684 # DEPENDENCYPART_ARC
(16,6),-1.61653 # DEPENDENCYPART_ARC
(16,8),-2.50745 # DEPENDENCYPART_ARC
(16,9),-1.67388 # DEPENDENCYPART_ARC
(16,10),-2.07868 # DEPENDENCYPART_ARC
(16,11),-1.55596 # DEPENDENCYPART_ARC
(16,12),-1.35125 # DEPENDENCYPART_ARC
(16,13),-1.96692 # DEPENDENCYPART_ARC
(16,14),-0.816599 # DEPENDENCYPART_ARC
(16,15),0.464498 # DEPENDENCYPART_ARC
(16,17),0.276873 # DEPENDENCYPART_ARC
(16,18),-0.312125 # DEPENDENCYPART_ARC
(16,20),-0.417482 # DEPENDENCYPART_ARC
(16,21),-0.439257 # DEPENDENCYPART_ARC
(16,22),-0.905571 # DEPENDENCYPART_ARC
(16,23),-1.30194 # DEPENDENCYPART_ARC
(16,24),-1.18613 # DEPENDENCYPART_ARC
(16,25),-0.918355 # DEPENDENCYPART_ARC
(16,26),-0.99608 # DEPENDENCYPART_ARC
(16,28),-0.959207 # DEPENDENCYPART_ARC
(16,31),-1.52125 # DEPENDENCYPART_ARC
(16,32),-0.745313 # DEPENDENCYPART_ARC
(17,12),-1.41874 # DEPENDENCYPART_ARC
(17,18),0.173202 # DEPENDENCYPART_ARC
(17,19),-0.846205 # DEPENDENCYPART_ARC
(17,20),-0.977895 # DEPENDENCYPART_ARC
(17,22),-1.07672 # DEPENDENCYPART_ARC
(17,23),-1.54337 # DEPENDENCYPART_ARC
(17,24),-1.59267 # DEPENDENCYPART_ARC
(17,26),-1.32699 # DEPENDENCYPART_ARC
(17,28),-1.56885 # DEPENDENCYPART_ARC
(17,31),-1.70081 # DEPENDENCYPART_ARC
(17,32),-1.03278 # DEPENDENCYPART_ARC
(18,17),0.798808 # DEPENDENCYPART_ARC
(18,19),0.383968 # DEPENDENCYPART_ARC
(18,20),-0.167529 # DEPENDENCYPART_ARC
(18,21),-0.402222 # DEPENDENCYPART_ARC
(18,22),-0.615552 # DEPENDENCYPART_ARC
(18,23),-0.9618 # DEPENDENCYPART_ARC
(18,24),-1.11559 # DEPENDENCYPART_ARC
(18,26),-0.93969 # DEPENDENCYPART_ARC
(18,28),-1.03331 # DEPENDENCYPART_ARC
(19,20),-0.273476 # DEPENDENCYPART_ARC
(20,15),-1.73784 # DEPENDENCYPART_ARC
(20,17),-1.13251 # DEPENDENCYPART_ARC
(20,18),-0.831119 # DEPENDENCYPART_ARC
(20,19),1.27836 # DEPENDENCYPART_ARC
(20,22),-1.17188 # DEPENDENCYPART_ARC
(20,24),-1.94164 # DEPENDENCYPART_ARC
(21,1),-0.584906 # DEPENDENCYPART_ARC
(21,2),-1.14387 # DEPENDENCYPART_ARC
(21,4),-1.28527 # DEPENDENCYPART_ARC
(21,5),-2.09546 # DEPENDENCYPART_ARC
(21,6),-0.816544 # DEPENDENCYPART_ARC
(21,7),-2.59269 # DEPENDENCYPART_ARC
(21,8),-1.11191 # DEPENDENCYPART_ARC
(21,9),-0.609745 # DEPENDENCYPART_ARC
(21,10),-1.20039 # DEPENDENCYPART_ARC
(21,11),-0.790519 # DEPENDENCYPART_ARC
(21,12),-1.11724 # DEPENDENCYPART_ARC
(21,13),-1.07579 # DEPENDENCYPART_ARC
(21,14),-0.960979 # DEPENDENCYPART_ARC
(21,15),-0.674435 # DEPENDENCYPART_ARC
(21,16),0.276284 # DEPENDENCYPART_ARC
(21,17),-0.479391 # DEPENDENCYPART_ARC
(21,18),-0.298088 # DEPENDENCYPART_ARC
(21,19),-0.0562417 # DEPENDENCYPART_ARC
(21,20),0.324742 # DEPENDENCYPART_ARC
(21,22),1.49532 # DEPENDENCYPART_ARC
(21,23),0.199745 # DEPENDENCYPART_ARC
(21,24),-0.491705 # DEPENDENCYPART_ARC
(21,25),-1.22326 # DEPENDENCYPART_ARC
(21,26),-1.23265 # DEPENDENCYPART_ARC
(21,28),-1.13368 # DEPENDENCYPART_ARC
(21,31),-1.61831 # DEPENDENCYPART_ARC
(21,32),-0.463098 # DEPENDENCYPART_ARC
(22,2),-2.37766 # DEPENDENCYPART_ARC
(22,4),-2.15393 # DEPENDENCYPART_ARC
(22,6),-2.40643 # DEPENDENCYPART_ARC
(22,15),-2.0653 # DEPENDENCYPART_ARC
(22,17),-1.75792 # DEPENDENCYPART_ARC
(22,18),-1.87115 # DEPENDENCYPART_ARC
(22,19),-1.57808 # DEPENDENCYPART_ARC
(22,20),-1.30377 # DEPENDENCYPART_ARC
(22,23),0.70789 # DEPENDENCYPART_ARC
(22,24),0.298483 # DEPENDENCYPART_ARC
(22,25),-0.487708 # DEPENDENCYPART_ARC
(22,26),-0.16505 # DEPENDENCYPART_ARC
(22,28),-0.833387 # DEPENDENCYPART_ARC
(22,31),-1.16789 # DEPENDENCYPART_ARC
(22,32),-0.285858 # DEPENDENCYPART_ARC
(23,17),-3.00155 # DEPENDENCYPART_ARC
(23,19),-2.7107 # DEPENDENCYPART_ARC
(23,20),-2.74206 # DEPENDENCYPART_ARC
(23,22),-0.727771 # DEPENDENCYPART_ARC
(23,24),-0.830809 # DEPENDENCYPART_ARC
(23,26),-1.1824 # DEPENDENCYPART_ARC
(24,19),-1.53592 # DEPENDENCYPART_ARC
(24,20),-1.80066 # DEPENDENCYPART_ARC
(24,22),-0.959952 # DEPENDENCYPART_ARC
(24,23),1.41723 # DEPENDENCYPART_ARC
(24,26),-0.945426 # DEPENDENCYPART_ARC
(24,28),-1.45232 # DEPENDENCYPART_ARC
(24,31),-1.82516 # DEPENDENCYPART_ARC
(25,26),-0.349405 # DEPENDENCYPART_ARC
(25,28),-1.60569 # DEPENDENCYPART_ARC
(25,31),-2.47635 # DEPENDENCYPART_ARC
(26,14),-2.17762 # DEPENDENCYPART_ARC
(26,15),-1.87586 # DEPENDENCYPART_ARC
(26,18),-1.63216 # DEPENDENCYPART_ARC
(26,20),-1.28555 # DEPENDENCYPART_ARC
(26,23),-0.94907 # DEPENDENCYPART_ARC
(26,24),-0.743582 # DEPENDENCYPART_ARC
(26,25),1.06919 # DEPENDENCYPART_ARC
(26,27),0.666746 # DEPENDENCYPART_ARC
(26,28),-0.372373 # DEPENDENCYPART_ARC
(26,29),-0.904779 # DEPENDENCYPART_ARC
(26,30),-0.59953 # DEPENDENCYPART_ARC
(26,31),-0.460544 # DEPENDENCYPART_ARC
(26,32),-0.594872 # DEPENDENCYPART_ARC
(27,28),-0.238446 # DEPENDENCYPART_ARC
(27,30),-1.1916 # DEPENDENCYPART_ARC
(28,25),-1.59443 # DEPENDENCYPART_ARC
(28,29),0.0650293 # DEPENDENCYPART_ARC
(28,30),-0.353587 # DEPENDENCYPART_ARC
(28,31),-0.865977 # DEPENDENCYPART_ARC
(29,30),-0.206495 # DEPENDENCYPART_ARC
(30,29),-0.229367 # DEPENDENCYPART_ARC
(30,31),-0.676959 # DEPENDENCYPART_ARC
(31,19),-2.34435 # DEPENDENCYPART_ARC
(31,23),-1.15754 # DEPENDENCYPART_ARC
(31,24),-1.9989 # DEPENDENCYPART_ARC
(31,28),-0.876217 # DEPENDENCYPART_ARC
(31,29),0.452798 # DEPENDENCYPART_ARC
(31,30),1.75104 # DEPENDENCYPART_ARC
(31,32),-0.304498 # DEPENDENCYPART_ARC
(32,31),-0.327115 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.060517 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.13841 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.163803 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.164352 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.162364 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.0509344 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.131718 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.159821 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0882471 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.110416 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0979903 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.101617 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.0227771 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0912523 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.0968397 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.144515 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.13437 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.134392 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.0393647 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0965915 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.134585 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.167493 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.16551 # DEPENDENCYPART_SIBL
(0,9),(0,18),-0.0543835 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.143725 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.162962 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.162345 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.0509321 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.132269 # DEPENDENCYPART_SIBL
(0,11),(0,22),-0.159802 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.0442375 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.132157 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.163917 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.0628196 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.0902711 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.132689 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0157105 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0149382 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0659048 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.110444 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0197422 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0401204 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0336688 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0473484 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0829535 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0659048 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0332486 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.00966064 # DEPENDENCYPART_SIBL
(2,1),(2,32),-0.00154323 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0813064 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0576904 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0774486 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0800611 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0688603 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0530359 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.050558 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0933977 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0576904 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0400325 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.0568856 # DEPENDENCYPART_SIBL
(2,3),(2,32),-0.0305568 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0171243 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0501813 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0153953 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0353873 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00033195 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0234339 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0140084 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0171243 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.017867 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.027386 # DEPENDENCYPART_SIBL
(2,4),(2,32),0.00885017 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0265423 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0309606 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0530682 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00279243 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00650249 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0475291 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0196525 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0133764 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.02041 # DEPENDENCYPART_SIBL
(2,5),(2,32),0.000259467 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0266052 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0377335 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0135104 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0220882 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0100033 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0412635 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0143025 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0344763 # DEPENDENCYPART_SIBL
(2,6),(2,32),0.0322099 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00923231 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0195685 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.00273152 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0499262 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0189534 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.00829841 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.00815252 # DEPENDENCYPART_SIBL
(2,8),(2,32),0.041544 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0395114 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0198827 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.021867 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.00382448 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0100236 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0629409 # DEPENDENCYPART_SIBL
(2,9),(2,32),0.0158763 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0284963 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0080476 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0253118 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0169809 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0288399 # DEPENDENCYPART_SIBL
(2,10),(2,32),-0.0154722 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.00373606 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.00336984 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0203411 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.0495602 # DEPENDENCYPART_SIBL
(2,11),(2,32),0.0318029 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.00246219 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0114823 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.00949841 # DEPENDENCYPART_SIBL
(2,12),(2,32),-0.00455489 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0133764 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.02041 # DEPENDENCYPART_SIBL
(2,14),(2,32),0.000259467 # DEPENDENCYPART_SIBL
(2,16),(2,21),-0.0679402 # DEPENDENCYPART_SIBL
(2,16),(2,32),0.000188987 # DEPENDENCYPART_SIBL
(2,21),(2,32),0.0228721 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.000965914 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0164846 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0136845 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0935796 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0493157 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0354299 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0604986 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00700985 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0670573 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00584058 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0628223 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0935796 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.000114071 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.00958162 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0408504 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0129922 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.000138635 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0773328 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0110081 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0226186 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0219488 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0161659 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0084974 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0129922 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0251453 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.00471852 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0618602 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0108321 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0479628 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0545077 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0148831 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0352867 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0258937 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0517865 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0618602 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0233406 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0548932 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.044017 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00688443 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0187403 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0801224 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0082036 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0400754 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0444856 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0410301 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0425284 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0224361 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.022956 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0304004 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00616726 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0166765 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00359671 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0228971 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0389566 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.011016 # DEPENDENCYPART_SIBL
(4,6),(4,21),-0.0263195 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0198244 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0193055 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0134714 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0212388 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0121814 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0211881 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.028666 # DEPENDENCYPART_SIBL
(4,7),(4,21),-0.0116469 # DEPENDENCYPART_SIBL
