# _root_ Under the Racketeer Influenced and Corrupt Organizations law , or RICO , the government has the authority to seek to freeze or seize a defendant 's assets before trial .
#goldHeads=15,8,8,5,8,5,8,10,10,1,10,10,14,15,0,17,15,19,17,22,22,19,22,25,27,25,22,19,28,15,
#predictedHeads=15,8,8,5,8,5,8,10,10,1,10,15,14,15,0,17,15,19,17,22,22,19,22,25,27,25,23,23,28,15,
(5,30),-1.38585 # DEPENDENCYPART_ARC
(6,7),-0.696263 # DEPENDENCYPART_ARC
(7,3),-1.09331 # DEPENDENCYPART_ARC
(7,4),-1.45371 # DEPENDENCYPART_ARC
(7,5),-0.697855 # DEPENDENCYPART_ARC
(7,6),0.467763 # DEPENDENCYPART_ARC
(7,8),-0.846804 # DEPENDENCYPART_ARC
(7,9),-1.49298 # DEPENDENCYPART_ARC
(7,10),-1.82721 # DEPENDENCYPART_ARC
(7,11),-2.28185 # DEPENDENCYPART_ARC
(8,1),-1.00499 # DEPENDENCYPART_ARC
(8,2),-0.566318 # DEPENDENCYPART_ARC
(8,3),0.297236 # DEPENDENCYPART_ARC
(8,4),-0.481001 # DEPENDENCYPART_ARC
(8,5),0.0143858 # DEPENDENCYPART_ARC
(8,6),1.02671 # DEPENDENCYPART_ARC
(8,7),2.01366 # DEPENDENCYPART_ARC
(8,9),0.194897 # DEPENDENCYPART_ARC
(8,10),-1.63283 # DEPENDENCYPART_ARC
(8,11),-1.51713 # DEPENDENCYPART_ARC
(8,12),-1.01099 # DEPENDENCYPART_ARC
(8,13),-1.75141 # DEPENDENCYPART_ARC
(8,14),-2.00562 # DEPENDENCYPART_ARC
(8,15),-1.88375 # DEPENDENCYPART_ARC
(8,17),-1.99575 # DEPENDENCYPART_ARC
(8,18),-1.75031 # DEPENDENCYPART_ARC
(8,19),-2.24473 # DEPENDENCYPART_ARC
(8,20),-1.7537 # DEPENDENCYPART_ARC
(8,22),-1.23674 # DEPENDENCYPART_ARC
(10,1),-1.51544 # DEPENDENCYPART_ARC
(10,2),-1.77604 # DEPENDENCYPART_ARC
(10,3),-0.957976 # DEPENDENCYPART_ARC
(10,4),-0.413208 # DEPENDENCYPART_ARC
(10,5),-1.08853 # DEPENDENCYPART_ARC
(10,6),-0.700837 # DEPENDENCYPART_ARC
(10,7),-0.483501 # DEPENDENCYPART_ARC
(10,8),-0.314517 # DEPENDENCYPART_ARC
(10,9),1.52449 # DEPENDENCYPART_ARC
(10,11),0.910436 # DEPENDENCYPART_ARC
(10,12),-0.227267 # DEPENDENCYPART_ARC
(10,13),-1.4132 # DEPENDENCYPART_ARC
(10,14),-1.78814 # DEPENDENCYPART_ARC
(10,15),-1.44595 # DEPENDENCYPART_ARC
(10,17),-2.47037 # DEPENDENCYPART_ARC
(10,19),-2.32112 # DEPENDENCYPART_ARC
(10,21),-2.31246 # DEPENDENCYPART_ARC
(10,22),-1.20646 # DEPENDENCYPART_ARC
(10,23),-2.01331 # DEPENDENCYPART_ARC
(10,30),-2.0948 # DEPENDENCYPART_ARC
(11,2),-2.64558 # DEPENDENCYPART_ARC
(11,3),-2.59414 # DEPENDENCYPART_ARC
(11,6),-2.31227 # DEPENDENCYPART_ARC
(11,8),-2.41772 # DEPENDENCYPART_ARC
(11,9),-1.64293 # DEPENDENCYPART_ARC
(11,10),-0.299818 # DEPENDENCYPART_ARC
(11,12),0.212065 # DEPENDENCYPART_ARC
(11,14),-1.54226 # DEPENDENCYPART_ARC
(11,15),-1.84191 # DEPENDENCYPART_ARC
(11,17),-1.75755 # DEPENDENCYPART_ARC
(11,22),-1.29254 # DEPENDENCYPART_ARC
(13,12),-0.0373771 # DEPENDENCYPART_ARC
(14,2),-1.21371 # DEPENDENCYPART_ARC
(14,10),-1.40359 # DEPENDENCYPART_ARC
(14,11),-1.79499 # DEPENDENCYPART_ARC
(14,13),1.3678 # DEPENDENCYPART_ARC
(14,15),-0.51117 # DEPENDENCYPART_ARC
(14,17),-1.59572 # DEPENDENCYPART_ARC
(14,18),-1.57274 # DEPENDENCYPART_ARC
(14,19),-1.67578 # DEPENDENCYPART_ARC
(14,20),-1.60367 # DEPENDENCYPART_ARC
(14,21),-1.72759 # DEPENDENCYPART_ARC
(15,1),-0.456901 # DEPENDENCYPART_ARC
(15,3),-0.826228 # DEPENDENCYPART_ARC
(15,4),-0.888762 # DEPENDENCYPART_ARC
(15,5),-0.953774 # DEPENDENCYPART_ARC
(15,6),-0.796748 # DEPENDENCYPART_ARC
(15,7),-0.930606 # DEPENDENCYPART_ARC
(15,8),-0.939339 # DEPENDENCYPART_ARC
(15,9),-2.01397 # DEPENDENCYPART_ARC
(15,10),-1.66607 # DEPENDENCYPART_ARC
(15,11),-1.74863 # DEPENDENCYPART_ARC
(15,12),-0.647637 # DEPENDENCYPART_ARC
(15,13),-0.657302 # DEPENDENCYPART_ARC
(15,14),0.597599 # DEPENDENCYPART_ARC
(15,16),0.227915 # DEPENDENCYPART_ARC
(15,17),0.29033 # DEPENDENCYPART_ARC
(15,18),-0.633956 # DEPENDENCYPART_ARC
(15,19),-0.653345 # DEPENDENCYPART_ARC
(15,20),-1.10492 # DEPENDENCYPART_ARC
(15,21),-0.915346 # DEPENDENCYPART_ARC
(15,22),-0.700327 # DEPENDENCYPART_ARC
(15,23),-1.35685 # DEPENDENCYPART_ARC
(15,28),-1.15752 # DEPENDENCYPART_ARC
(15,30),0.161336 # DEPENDENCYPART_ARC
(17,2),-2.30569 # DEPENDENCYPART_ARC
(17,10),-2.04249 # DEPENDENCYPART_ARC
(17,13),-1.58038 # DEPENDENCYPART_ARC
(17,14),-1.58152 # DEPENDENCYPART_ARC
(17,15),-0.989971 # DEPENDENCYPART_ARC
(17,16),1.19632 # DEPENDENCYPART_ARC
(17,18),-0.0709602 # DEPENDENCYPART_ARC
(17,19),-0.669079 # DEPENDENCYPART_ARC
(17,20),-1.29345 # DEPENDENCYPART_ARC
(17,21),-1.23607 # DEPENDENCYPART_ARC
(17,22),-1.05481 # DEPENDENCYPART_ARC
(17,23),-1.38886 # DEPENDENCYPART_ARC
(17,27),-1.29252 # DEPENDENCYPART_ARC
(17,28),-1.19757 # DEPENDENCYPART_ARC
(17,30),-1.43584 # DEPENDENCYPART_ARC
(18,17),-0.252043 # DEPENDENCYPART_ARC
(18,19),-0.292609 # DEPENDENCYPART_ARC
(18,20),-1.37899 # DEPENDENCYPART_ARC
(18,21),-1.55428 # DEPENDENCYPART_ARC
(18,22),-1.44279 # DEPENDENCYPART_ARC
(18,27),-2.3356 # DEPENDENCYPART_ARC
(18,29),-2.64721 # DEPENDENCYPART_ARC
(19,8),-1.35229 # DEPENDENCYPART_ARC
(19,9),-2.29851 # DEPENDENCYPART_ARC
(19,11),-2.19103 # DEPENDENCYPART_ARC
(19,12),-1.52489 # DEPENDENCYPART_ARC
(19,14),-1.21696 # DEPENDENCYPART_ARC
(19,15),-1.50042 # DEPENDENCYPART_ARC
(19,16),-1.13155 # DEPENDENCYPART_ARC
(19,17),-0.74254 # DEPENDENCYPART_ARC
(19,18),1.11625 # DEPENDENCYPART_ARC
(19,20),0.234879 # DEPENDENCYPART_ARC
(19,21),-0.0711358 # DEPENDENCYPART_ARC
(19,22),-0.615499 # DEPENDENCYPART_ARC
(19,23),-1.33721 # DEPENDENCYPART_ARC
(19,25),-1.29569 # DEPENDENCYPART_ARC
(19,27),-1.10956 # DEPENDENCYPART_ARC
(19,28),-1.48289 # DEPENDENCYPART_ARC
(19,29),-1.53262 # DEPENDENCYPART_ARC
(19,30),-1.32477 # DEPENDENCYPART_ARC
(20,21),-0.236061 # DEPENDENCYPART_ARC
(20,22),-1.21232 # DEPENDENCYPART_ARC
(20,23),-1.44675 # DEPENDENCYPART_ARC
(20,25),-1.82733 # DEPENDENCYPART_ARC
(20,27),-2.1082 # DEPENDENCYPART_ARC
(20,29),-2.37593 # DEPENDENCYPART_ARC
(21,8),-1.64416 # DEPENDENCYPART_ARC
(21,11),-2.37665 # DEPENDENCYPART_ARC
(21,12),-1.8148 # DEPENDENCYPART_ARC
(21,14),-1.51378 # DEPENDENCYPART_ARC
(21,15),-1.81013 # DEPENDENCYPART_ARC
(21,17),-1.28487 # DEPENDENCYPART_ARC
(21,18),-0.926936 # DEPENDENCYPART_ARC
(21,19),-1.32296 # DEPENDENCYPART_ARC
(21,20),0.802565 # DEPENDENCYPART_ARC
(21,22),-0.360693 # DEPENDENCYPART_ARC
(21,23),-0.762788 # DEPENDENCYPART_ARC
(21,25),-1.24127 # DEPENDENCYPART_ARC
(21,27),-1.26627 # DEPENDENCYPART_ARC
(21,28),-1.61802 # DEPENDENCYPART_ARC
(21,29),-1.77312 # DEPENDENCYPART_ARC
(21,30),-1.60861 # DEPENDENCYPART_ARC
(22,1),-1.09178 # DEPENDENCYPART_ARC
(22,2),-2.66254 # DEPENDENCYPART_ARC
(22,3),-1.56492 # DEPENDENCYPART_ARC
(22,4),-1.67809 # DEPENDENCYPART_ARC
(22,5),-1.08492 # DEPENDENCYPART_ARC
(22,6),-1.55992 # DEPENDENCYPART_ARC
(22,7),-1.5359 # DEPENDENCYPART_ARC
(22,8),-1.56352 # DEPENDENCYPART_ARC
(22,9),-1.98317 # DEPENDENCYPART_ARC
(22,10),-1.27998 # DEPENDENCYPART_ARC
(22,11),-1.64635 # DEPENDENCYPART_ARC
(22,12),-1.28043 # DEPENDENCYPART_ARC
(22,13),-1.57173 # DEPENDENCYPART_ARC
(22,14),-0.537077 # DEPENDENCYPART_ARC
(22,15),-0.159437 # DEPENDENCYPART_ARC
(22,16),-1.28057 # DEPENDENCYPART_ARC
(22,17),-0.71681 # DEPENDENCYPART_ARC
(22,18),-0.180447 # DEPENDENCYPART_ARC
(22,19),0.0486041 # DEPENDENCYPART_ARC
(22,20),0.18528 # DEPENDENCYPART_ARC
(22,21),1.9462 # DEPENDENCYPART_ARC
(22,23),1.464 # DEPENDENCYPART_ARC
(22,24),-0.635971 # DEPENDENCYPART_ARC
(22,25),-0.830836 # DEPENDENCYPART_ARC
(22,27),-1.12904 # DEPENDENCYPART_ARC
(22,28),-1.12752 # DEPENDENCYPART_ARC
(22,29),-1.74782 # DEPENDENCYPART_ARC
(22,30),-1.31977 # DEPENDENCYPART_ARC
(23,8),-2.06984 # DEPENDENCYPART_ARC
(23,14),-1.9371 # DEPENDENCYPART_ARC
(23,17),-1.71014 # DEPENDENCYPART_ARC
(23,19),-2.10212 # DEPENDENCYPART_ARC
(23,20),-1.47828 # DEPENDENCYPART_ARC
(23,21),-1.79128 # DEPENDENCYPART_ARC
(23,24),-0.285444 # DEPENDENCYPART_ARC
(23,25),-0.442751 # DEPENDENCYPART_ARC
(23,27),-0.565517 # DEPENDENCYPART_ARC
(23,28),-1.22873 # DEPENDENCYPART_ARC
(23,29),-1.43165 # DEPENDENCYPART_ARC
(23,30),-0.614796 # DEPENDENCYPART_ARC
(25,23),-0.641285 # DEPENDENCYPART_ARC
(25,24),1.46259 # DEPENDENCYPART_ARC
(25,26),1.01723 # DEPENDENCYPART_ARC
(25,27),-0.992337 # DEPENDENCYPART_ARC
(25,28),-0.843709 # DEPENDENCYPART_ARC
(25,29),-1.51547 # DEPENDENCYPART_ARC
(27,23),-1.25989 # DEPENDENCYPART_ARC
(27,24),-0.915385 # DEPENDENCYPART_ARC
(27,25),0.0768246 # DEPENDENCYPART_ARC
(27,26),-0.201729 # DEPENDENCYPART_ARC
(27,28),0.304336 # DEPENDENCYPART_ARC
(27,29),-1.18467 # DEPENDENCYPART_ARC
(27,30),-1.21703 # DEPENDENCYPART_ARC
(28,25),-1.35702 # DEPENDENCYPART_ARC
(28,27),-0.451148 # DEPENDENCYPART_ARC
(28,29),0.530161 # DEPENDENCYPART_ARC
(29,24),-1.55834 # DEPENDENCYPART_ARC
(29,25),-0.968734 # DEPENDENCYPART_ARC
(29,27),-0.61931 # DEPENDENCYPART_ARC
(29,28),0.157974 # DEPENDENCYPART_ARC
(29,30),-0.281479 # DEPENDENCYPART_ARC
(30,28),-1.05449 # DEPENDENCYPART_ARC
(30,29),-0.31223 # DEPENDENCYPART_ARC
(0,1),(0,5),-0.0606153 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0488675 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.104987 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0996495 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0968251 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0965507 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.084435 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.129794 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.132332 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.132251 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.132252 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.11129 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.113288 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.113247 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.113248 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.170084 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.173825 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.173834 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.166402 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.166411 # DEPENDENCYPART_SIBL
(0,21),(0,23),-0.161277 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0421049 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0421049 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0571789 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0421049 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0421341 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00884842 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0433034 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0400054 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0843389 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.127931 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0843368 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0861464 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0183411 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0968759 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0848615 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.127932 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0843368 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0861464 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0183411 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0968761 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0848615 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0629494 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0629772 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0248552 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0643755 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.060845 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.086364 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0183463 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0968759 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0850791 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0315611 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0978487 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0807209 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0331457 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0249765 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0523186 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0129635 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0136631 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.010345 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.000236277 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.010863 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00582033 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0368833 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0355013 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00583032 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0106678 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00872017 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.00872017 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.018053 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0298385 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0753616 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0753616 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0314793 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0236043 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0236043 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0155524 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0155524 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.036982 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0429677 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0221541 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0236212 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.120607 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.125279 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.114174 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0495033 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00444598 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.122325 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0495033 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.143592 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0185583 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.00444598 # DEPENDENCYPART_SIBL
(5,1),(5,30),0.0326515 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0946849 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0873305 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.206861 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.206077 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.210954 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.033964 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0104782 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.208457 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.033964 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.197581 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0378563 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0104782 # DEPENDENCYPART_SIBL
(5,2),(5,30),-0.119036 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0139749 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0611126 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0582744 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0657819 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.000203836 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00923236 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0583113 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.000203836 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0014474 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0419673 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.00923236 # DEPENDENCYPART_SIBL
(5,3),(5,30),-0.0155445 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0798843 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0698636 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0748835 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00319732 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00469556 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.069899 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00319732 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0101403 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0374063 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.00469556 # DEPENDENCYPART_SIBL
(5,4),(5,30),-0.0110077 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0284013 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0125848 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00693782 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0306909 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0310915 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00693782 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0235327 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0282867 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.0306909 # DEPENDENCYPART_SIBL
(5,6),(5,30),-0.043619 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0134749 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00686509 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.03058 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0319816 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00686509 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0244228 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0278976 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.03058 # DEPENDENCYPART_SIBL
(5,7),(5,30),-0.0458586 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0012899 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0243566 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00934279 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0012899 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.00178398 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0248027 # DEPENDENCYPART_SIBL
(5,8),(5,22),-0.0243566 # DEPENDENCYPART_SIBL
(5,8),(5,30),-0.0502745 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0112132 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.00812284 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.074718 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.00502833 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.011848 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0112132 # DEPENDENCYPART_SIBL
(5,9),(5,30),-0.00925661 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0165908 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0373174 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0151825 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0107926 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.00385892 # DEPENDENCYPART_SIBL
(5,10),(5,30),-0.00905575 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.00551624 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0238102 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.028382 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.031186 # DEPENDENCYPART_SIBL
(5,11),(5,30),-0.0447016 # DEPENDENCYPART_SIBL
(5,12),(5,14),0.00502833 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.011848 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.0112132 # DEPENDENCYPART_SIBL
(5,12),(5,30),-0.00925661 # DEPENDENCYPART_SIBL
(5,14),(5,15),0.0206469 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.00396627 # DEPENDENCYPART_SIBL
(5,14),(5,30),-0.0097305 # DEPENDENCYPART_SIBL
(5,15),(5,22),-0.056498 # DEPENDENCYPART_SIBL
(5,15),(5,30),0.00662681 # DEPENDENCYPART_SIBL
(5,22),(5,30),-0.00905575 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0286476 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.228363 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0436717 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0273439 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0753168 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0409106 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0229001 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.208115 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0321003 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0211468 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0529519 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.048215 # DEPENDENCYPART_SIBL
