# _root_ In a statement prepared by lawyers for the university and Connaught , the parties said they agreed that as a result of reaching a C 415 million research accord , `` It is unnecessary that there be a judgment on the merits { of the case } at this time . ''
#goldHeads=15,3,1,3,4,5,4,9,10,7,10,15,14,15,0,17,15,33,33,21,19,21,22,29,29,25,25,29,23,33,33,33,17,33,37,37,33,39,37,39,42,40,42,42,46,44,42,37,50,48,15,15,
#predictedHeads=15,3,1,3,4,5,6,10,10,7,10,15,14,15,0,17,15,33,17,21,19,21,22,29,29,25,25,29,23,17,33,33,17,33,37,37,33,39,37,39,42,40,44,42,46,44,44,37,50,48,15,15,
(10,8),0.0114046 # DEPENDENCYPART_ARC
(10,9),2.09245 # DEPENDENCYPART_ARC
(10,11),2.06398 # DEPENDENCYPART_ARC
(10,12),-0.269513 # DEPENDENCYPART_ARC
(10,13),-1.27524 # DEPENDENCYPART_ARC
(10,14),-0.926218 # DEPENDENCYPART_ARC
(10,15),-1.68602 # DEPENDENCYPART_ARC
(10,17),-2.15327 # DEPENDENCYPART_ARC
(10,18),-1.75021 # DEPENDENCYPART_ARC
(10,19),-1.74973 # DEPENDENCYPART_ARC
(10,21),-2.40903 # DEPENDENCYPART_ARC
(10,22),-1.94031 # DEPENDENCYPART_ARC
(10,23),-2.32092 # DEPENDENCYPART_ARC
(10,30),-1.56423 # DEPENDENCYPART_ARC
(10,51),1.56168 # DEPENDENCYPART_ARC
(11,8),-1.85063 # DEPENDENCYPART_ARC
(11,9),-1.43239 # DEPENDENCYPART_ARC
(11,12),-0.0641516 # DEPENDENCYPART_ARC
(11,14),-1.81596 # DEPENDENCYPART_ARC
(11,15),-2.09728 # DEPENDENCYPART_ARC
(11,17),-2.46874 # DEPENDENCYPART_ARC
(11,21),-1.93836 # DEPENDENCYPART_ARC
(11,30),-1.49243 # DEPENDENCYPART_ARC
(11,31),-1.8017 # DEPENDENCYPART_ARC
(13,12),0.0187851 # DEPENDENCYPART_ARC
(14,4),-1.9036 # DEPENDENCYPART_ARC
(14,8),-1.84985 # DEPENDENCYPART_ARC
(14,10),-1.5854 # DEPENDENCYPART_ARC
(14,11),-1.8368 # DEPENDENCYPART_ARC
(14,12),-1.00882 # DEPENDENCYPART_ARC
(14,13),1.27433 # DEPENDENCYPART_ARC
(14,15),-0.123067 # DEPENDENCYPART_ARC
(14,17),-1.03933 # DEPENDENCYPART_ARC
(14,18),-1.03722 # DEPENDENCYPART_ARC
(14,19),-1.07973 # DEPENDENCYPART_ARC
(14,21),-1.30643 # DEPENDENCYPART_ARC
(15,1),-0.988011 # DEPENDENCYPART_ARC
(15,3),-2.03769 # DEPENDENCYPART_ARC
(15,4),-1.47208 # DEPENDENCYPART_ARC
(15,5),-1.24653 # DEPENDENCYPART_ARC
(15,6),-1.56585 # DEPENDENCYPART_ARC
(15,7),-1.16602 # DEPENDENCYPART_ARC
(15,8),-1.86773 # DEPENDENCYPART_ARC
(15,9),-1.82437 # DEPENDENCYPART_ARC
(15,10),-1.13347 # DEPENDENCYPART_ARC
(15,11),-1.56039 # DEPENDENCYPART_ARC
(15,12),-0.335345 # DEPENDENCYPART_ARC
(15,13),-0.552069 # DEPENDENCYPART_ARC
(15,14),0.897314 # DEPENDENCYPART_ARC
(15,16),0.133786 # DEPENDENCYPART_ARC
(15,17),0.148233 # DEPENDENCYPART_ARC
(15,18),-1.13681 # DEPENDENCYPART_ARC
(15,19),-1.39478 # DEPENDENCYPART_ARC
(15,21),-1.6532 # DEPENDENCYPART_ARC
(15,22),-1.53235 # DEPENDENCYPART_ARC
(15,23),-1.03511 # DEPENDENCYPART_ARC
(15,30),-1.62973 # DEPENDENCYPART_ARC
(15,31),-2.14953 # DEPENDENCYPART_ARC
(15,33),-1.11242 # DEPENDENCYPART_ARC
(15,51),1.02665 # DEPENDENCYPART_ARC
(15,52),0.800978 # DEPENDENCYPART_ARC
(16,17),-0.115158 # DEPENDENCYPART_ARC
(16,18),-1.07092 # DEPENDENCYPART_ARC
(16,19),-1.17584 # DEPENDENCYPART_ARC
(17,1),-1.36976 # DEPENDENCYPART_ARC
(17,3),-2.33386 # DEPENDENCYPART_ARC
(17,4),-1.8101 # DEPENDENCYPART_ARC
(17,5),-1.48969 # DEPENDENCYPART_ARC
(17,6),-2.2106 # DEPENDENCYPART_ARC
(17,7),-1.23833 # DEPENDENCYPART_ARC
(17,8),-2.07551 # DEPENDENCYPART_ARC
(17,9),-2.20208 # DEPENDENCYPART_ARC
(17,10),-1.28347 # DEPENDENCYPART_ARC
(17,11),-2.034 # DEPENDENCYPART_ARC
(17,12),-1.20185 # DEPENDENCYPART_ARC
(17,13),-1.22136 # DEPENDENCYPART_ARC
(17,14),-0.959681 # DEPENDENCYPART_ARC
(17,15),-1.18339 # DEPENDENCYPART_ARC
(17,16),0.941762 # DEPENDENCYPART_ARC
(17,18),0.645989 # DEPENDENCYPART_ARC
(17,19),-0.37446 # DEPENDENCYPART_ARC
(17,21),-1.00056 # DEPENDENCYPART_ARC
(17,22),-0.971278 # DEPENDENCYPART_ARC
(17,23),-0.81986 # DEPENDENCYPART_ARC
(17,25),-1.18833 # DEPENDENCYPART_ARC
(17,30),-1.1138 # DEPENDENCYPART_ARC
(17,31),-1.80651 # DEPENDENCYPART_ARC
(17,33),-1.55149 # DEPENDENCYPART_ARC
(17,40),-2.46831 # DEPENDENCYPART_ARC
(17,51),-0.156048 # DEPENDENCYPART_ARC
(17,52),0.301844 # DEPENDENCYPART_ARC
(18,19),-0.504603 # DEPENDENCYPART_ARC
(18,21),-1.63776 # DEPENDENCYPART_ARC
(18,23),-1.58208 # DEPENDENCYPART_ARC
(19,18),-0.469347 # DEPENDENCYPART_ARC
(19,20),-0.0132988 # DEPENDENCYPART_ARC
(19,21),-0.396819 # DEPENDENCYPART_ARC
(19,22),-1.26616 # DEPENDENCYPART_ARC
(19,23),-1.23461 # DEPENDENCYPART_ARC
(19,25),-1.55797 # DEPENDENCYPART_ARC
(19,29),-2.66745 # DEPENDENCYPART_ARC
(20,22),-1.10301 # DEPENDENCYPART_ARC
(20,23),-1.26299 # DEPENDENCYPART_ARC
(21,16),-1.96754 # DEPENDENCYPART_ARC
(21,18),-1.3527 # DEPENDENCYPART_ARC
(21,19),-1.01697 # DEPENDENCYPART_ARC
(21,20),1.05581 # DEPENDENCYPART_ARC
(21,22),0.47093 # DEPENDENCYPART_ARC
(21,23),-0.527039 # DEPENDENCYPART_ARC
(21,24),-1.17095 # DEPENDENCYPART_ARC
(21,25),-1.20358 # DEPENDENCYPART_ARC
(21,26),-1.45885 # DEPENDENCYPART_ARC
(21,27),-1.57287 # DEPENDENCYPART_ARC
(21,29),-1.47854 # DEPENDENCYPART_ARC
(21,30),-1.39137 # DEPENDENCYPART_ARC
(21,31),-1.71392 # DEPENDENCYPART_ARC
(21,33),-2.05307 # DEPENDENCYPART_ARC
(21,34),-1.61082 # DEPENDENCYPART_ARC
(21,37),-2.13611 # DEPENDENCYPART_ARC
(21,39),-1.4577 # DEPENDENCYPART_ARC
(21,40),-1.36485 # DEPENDENCYPART_ARC
(22,18),-1.25958 # DEPENDENCYPART_ARC
(22,20),-1.20067 # DEPENDENCYPART_ARC
(22,21),-0.264198 # DEPENDENCYPART_ARC
(22,23),0.693684 # DEPENDENCYPART_ARC
(22,24),-0.945895 # DEPENDENCYPART_ARC
(22,25),-1.23437 # DEPENDENCYPART_ARC
(22,26),-1.75535 # DEPENDENCYPART_ARC
(22,27),-1.87883 # DEPENDENCYPART_ARC
(22,28),-2.18854 # DEPENDENCYPART_ARC
(22,29),-2.14211 # DEPENDENCYPART_ARC
(22,31),-1.98449 # DEPENDENCYPART_ARC
(23,14),-2.34529 # DEPENDENCYPART_ARC
(23,16),-2.82648 # DEPENDENCYPART_ARC
(23,18),-1.9954 # DEPENDENCYPART_ARC
(23,19),-1.64458 # DEPENDENCYPART_ARC
(23,21),-1.77338 # DEPENDENCYPART_ARC
(23,22),-0.709141 # DEPENDENCYPART_ARC
(23,24),-0.0703907 # DEPENDENCYPART_ARC
(23,25),-0.912959 # DEPENDENCYPART_ARC
(23,26),-1.20362 # DEPENDENCYPART_ARC
(23,27),-1.41109 # DEPENDENCYPART_ARC
(23,28),-0.625974 # DEPENDENCYPART_ARC
(23,29),-0.638365 # DEPENDENCYPART_ARC
(23,30),-1.0992 # DEPENDENCYPART_ARC
(23,33),-1.87512 # DEPENDENCYPART_ARC
(23,35),-2.60385 # DEPENDENCYPART_ARC
(23,37),-2.18904 # DEPENDENCYPART_ARC
(23,40),-2.3507 # DEPENDENCYPART_ARC
(23,51),-1.60365 # DEPENDENCYPART_ARC
(23,52),-0.507336 # DEPENDENCYPART_ARC
(25,20),-1.47136 # DEPENDENCYPART_ARC
(25,22),-1.02347 # DEPENDENCYPART_ARC
(25,24),0.099617 # DEPENDENCYPART_ARC
(25,26),0.872743 # DEPENDENCYPART_ARC
(25,27),0.3096 # DEPENDENCYPART_ARC
(25,28),-0.810227 # DEPENDENCYPART_ARC
(25,29),-0.949165 # DEPENDENCYPART_ARC
(25,30),-0.806405 # DEPENDENCYPART_ARC
(25,33),-1.43568 # DEPENDENCYPART_ARC
(25,34),-1.44418 # DEPENDENCYPART_ARC
(25,35),-1.70639 # DEPENDENCYPART_ARC
(25,39),-1.80465 # DEPENDENCYPART_ARC
(25,40),-1.7845 # DEPENDENCYPART_ARC
(25,44),-1.75789 # DEPENDENCYPART_ARC
(26,24),-1.21106 # DEPENDENCYPART_ARC
(26,25),-0.353277 # DEPENDENCYPART_ARC
(26,27),-0.628252 # DEPENDENCYPART_ARC
(26,28),-0.827685 # DEPENDENCYPART_ARC
(26,29),-1.21154 # DEPENDENCYPART_ARC
(26,30),-1.15126 # DEPENDENCYPART_ARC
(26,35),-1.91094 # DEPENDENCYPART_ARC
(27,24),-1.26579 # DEPENDENCYPART_ARC
(27,25),-1.09224 # DEPENDENCYPART_ARC
(27,26),0.0302273 # DEPENDENCYPART_ARC
(27,28),0.234771 # DEPENDENCYPART_ARC
(27,29),-0.939224 # DEPENDENCYPART_ARC
(27,33),-1.73956 # DEPENDENCYPART_ARC
(28,24),-1.20428 # DEPENDENCYPART_ARC
(28,25),-1.55368 # DEPENDENCYPART_ARC
(28,26),-1.34595 # DEPENDENCYPART_ARC
(28,27),-0.134207 # DEPENDENCYPART_ARC
(28,29),-0.492172 # DEPENDENCYPART_ARC
(28,31),-1.88073 # DEPENDENCYPART_ARC
(28,33),-1.98099 # DEPENDENCYPART_ARC
(28,34),-2.06112 # DEPENDENCYPART_ARC
(28,37),-2.41545 # DEPENDENCYPART_ARC
(29,19),-1.17965 # DEPENDENCYPART_ARC
(29,20),-1.66873 # DEPENDENCYPART_ARC
(29,22),-1.10236 # DEPENDENCYPART_ARC
(29,23),-1.14258 # DEPENDENCYPART_ARC
(29,24),-0.292468 # DEPENDENCYPART_ARC
(29,25),-0.822276 # DEPENDENCYPART_ARC
(29,26),-0.984843 # DEPENDENCYPART_ARC
(29,27),-0.157679 # DEPENDENCYPART_ARC
(29,28),1.65381 # DEPENDENCYPART_ARC
(29,30),0.149214 # DEPENDENCYPART_ARC
(29,31),-1.57866 # DEPENDENCYPART_ARC
(29,33),-1.96806 # DEPENDENCYPART_ARC
(29,34),-1.90131 # DEPENDENCYPART_ARC
(29,35),-2.10321 # DEPENDENCYPART_ARC
(29,37),-2.43956 # DEPENDENCYPART_ARC
(29,39),-1.69115 # DEPENDENCYPART_ARC
(29,40),-2.0527 # DEPENDENCYPART_ARC
(29,42),-1.84322 # DEPENDENCYPART_ARC
(29,46),-1.79062 # DEPENDENCYPART_ARC
(29,50),-1.97025 # DEPENDENCYPART_ARC
(32,35),-1.43614 # DEPENDENCYPART_ARC
(32,37),-1.51585 # DEPENDENCYPART_ARC
(33,1),-1.56763 # DEPENDENCYPART_ARC
(33,3),-1.70572 # DEPENDENCYPART_ARC
(33,5),-1.83614 # DEPENDENCYPART_ARC
(33,7),-1.87051 # DEPENDENCYPART_ARC
(33,9),-1.97511 # DEPENDENCYPART_ARC
(33,10),-0.960803 # DEPENDENCYPART_ARC
(33,11),-1.75123 # DEPENDENCYPART_ARC
(33,12),-2.72671 # DEPENDENCYPART_ARC
(33,15),-1.86599 # DEPENDENCYPART_ARC
(33,17),-1.80799 # DEPENDENCYPART_ARC
(33,18),-0.604887 # DEPENDENCYPART_ARC
(33,19),-1.51852 # DEPENDENCYPART_ARC
(33,21),-2.56529 # DEPENDENCYPART_ARC
(33,22),-1.84205 # DEPENDENCYPART_ARC
(33,23),-1.34952 # DEPENDENCYPART_ARC
(33,24),-2.13724 # DEPENDENCYPART_ARC
(33,25),-1.73896 # DEPENDENCYPART_ARC
(33,26),-1.93475 # DEPENDENCYPART_ARC
(33,27),-1.91717 # DEPENDENCYPART_ARC
(33,28),-2.18491 # DEPENDENCYPART_ARC
(33,29),-2.0893 # DEPENDENCYPART_ARC
(33,30),-1.0543 # DEPENDENCYPART_ARC
(33,31),-0.663742 # DEPENDENCYPART_ARC
(33,32),0.817811 # DEPENDENCYPART_ARC
(33,34),0.852918 # DEPENDENCYPART_ARC
(33,35),-0.583428 # DEPENDENCYPART_ARC
(33,37),-0.826287 # DEPENDENCYPART_ARC
(33,39),-1.2062 # DEPENDENCYPART_ARC
(33,40),-1.25589 # DEPENDENCYPART_ARC
(33,42),-1.67857 # DEPENDENCYPART_ARC
(33,47),-1.19312 # DEPENDENCYPART_ARC
(33,48),-1.99781 # DEPENDENCYPART_ARC
(33,51),0.057817 # DEPENDENCYPART_ARC
(33,52),-0.0938829 # DEPENDENCYPART_ARC
(34,29),-1.77754 # DEPENDENCYPART_ARC
(34,31),-1.13368 # DEPENDENCYPART_ARC
(34,32),-1.09043 # DEPENDENCYPART_ARC
(34,35),0.346273 # DEPENDENCYPART_ARC
(34,37),-0.675239 # DEPENDENCYPART_ARC
(34,39),-1.2564 # DEPENDENCYPART_ARC
(34,40),-0.988946 # DEPENDENCYPART_ARC
(34,44),-1.21388 # DEPENDENCYPART_ARC
(34,46),-1.37513 # DEPENDENCYPART_ARC
(34,48),-1.17074 # DEPENDENCYPART_ARC
(34,50),-1.35312 # DEPENDENCYPART_ARC
(35,34),-0.189622 # DEPENDENCYPART_ARC
(35,36),-0.326063 # DEPENDENCYPART_ARC
(35,37),-0.931135 # DEPENDENCYPART_ARC
(35,39),-1.9814 # DEPENDENCYPART_ARC
(35,47),-1.75256 # DEPENDENCYPART_ARC
(37,31),-1.41488 # DEPENDENCYPART_ARC
(37,32),-1.79768 # DEPENDENCYPART_ARC
(37,33),-1.505 # DEPENDENCYPART_ARC
(37,34),-1.3476 # DEPENDENCYPART_ARC
(37,35),-0.349886 # DEPENDENCYPART_ARC
(37,36),0.233526 # DEPENDENCYPART_ARC
(37,38),0.00392654 # DEPENDENCYPART_ARC
(37,39),0.210923 # DEPENDENCYPART_ARC
(37,40),-0.676892 # DEPENDENCYPART_ARC
(37,41),-1.18564 # DEPENDENCYPART_ARC
(37,42),-0.81157 # DEPENDENCYPART_ARC
(37,44),-1.33593 # DEPENDENCYPART_ARC
(37,45),-1.3034 # DEPENDENCYPART_ARC
(37,46),-1.23638 # DEPENDENCYPART_ARC
(37,47),-1.23124 # DEPENDENCYPART_ARC
(37,48),-1.25966 # DEPENDENCYPART_ARC
(37,50),-1.39058 # DEPENDENCYPART_ARC
(37,51),-0.540147 # DEPENDENCYPART_ARC
(37,52),-0.29369 # DEPENDENCYPART_ARC
(38,37),-0.0721214 # DEPENDENCYPART_ARC
(38,40),-1.06669 # DEPENDENCYPART_ARC
(38,44),-1.33266 # DEPENDENCYPART_ARC
(39,24),-2.73114 # DEPENDENCYPART_ARC
(39,34),-1.82352 # DEPENDENCYPART_ARC
(39,35),-1.40103 # DEPENDENCYPART_ARC
(39,36),-1.36601 # DEPENDENCYPART_ARC
(39,37),-0.738931 # DEPENDENCYPART_ARC
(39,38),1.2941 # DEPENDENCYPART_ARC
(39,40),0.329774 # DEPENDENCYPART_ARC
(39,41),-1.40762 # DEPENDENCYPART_ARC
(39,42),-1.36591 # DEPENDENCYPART_ARC
(39,44),-1.4506 # DEPENDENCYPART_ARC
(39,45),-1.57633 # DEPENDENCYPART_ARC
(39,46),-1.53272 # DEPENDENCYPART_ARC
(39,47),-1.28047 # DEPENDENCYPART_ARC
(39,48),-1.50295 # DEPENDENCYPART_ARC
(39,50),-1.78475 # DEPENDENCYPART_ARC
(40,35),-1.52263 # DEPENDENCYPART_ARC
(40,38),-1.37116 # DEPENDENCYPART_ARC
(40,39),-0.518416 # DEPENDENCYPART_ARC
(40,41),0.0588481 # DEPENDENCYPART_ARC
(40,42),0.123172 # DEPENDENCYPART_ARC
(40,44),-1.10448 # DEPENDENCYPART_ARC
(40,46),-1.35318 # DEPENDENCYPART_ARC
(40,47),-1.05456 # DEPENDENCYPART_ARC
(40,48),-1.30266 # DEPENDENCYPART_ARC
(40,50),-1.63149 # DEPENDENCYPART_ARC
(40,52),-0.371814 # DEPENDENCYPART_ARC
(41,44),-1.19363 # DEPENDENCYPART_ARC
(42,38),-1.54127 # DEPENDENCYPART_ARC
(42,39),-1.59229 # DEPENDENCYPART_ARC
(42,41),0.933676 # DEPENDENCYPART_ARC
(42,43),-0.178925 # DEPENDENCYPART_ARC
(42,44),-0.705595 # DEPENDENCYPART_ARC
(42,45),-1.34761 # DEPENDENCYPART_ARC
(42,46),-1.25962 # DEPENDENCYPART_ARC
(42,47),-1.0737 # DEPENDENCYPART_ARC
(42,48),-1.23339 # DEPENDENCYPART_ARC
(42,49),-1.41751 # DEPENDENCYPART_ARC
(42,50),-1.61809 # DEPENDENCYPART_ARC
(42,52),-1.0803 # DEPENDENCYPART_ARC
(44,39),-1.68169 # DEPENDENCYPART_ARC
(44,42),-1.45783 # DEPENDENCYPART_ARC
(44,43),-0.211383 # DEPENDENCYPART_ARC
(44,45),0.291423 # DEPENDENCYPART_ARC
(44,46),0.180204 # DEPENDENCYPART_ARC
(44,47),-0.595489 # DEPENDENCYPART_ARC
(44,48),-1.03647 # DEPENDENCYPART_ARC
(44,50),-1.18711 # DEPENDENCYPART_ARC
(44,52),-0.687128 # DEPENDENCYPART_ARC
(46,41),-1.44526 # DEPENDENCYPART_ARC
(46,42),-1.49666 # DEPENDENCYPART_ARC
(46,43),-1.17168 # DEPENDENCYPART_ARC
(46,45),1.12591 # DEPENDENCYPART_ARC
(46,47),-0.174547 # DEPENDENCYPART_ARC
(46,48),-1.02738 # DEPENDENCYPART_ARC
(46,49),-1.58065 # DEPENDENCYPART_ARC
(46,50),-1.7237 # DEPENDENCYPART_ARC
(48,44),-1.33353 # DEPENDENCYPART_ARC
(48,46),-1.38609 # DEPENDENCYPART_ARC
(48,49),0.153983 # DEPENDENCYPART_ARC
(48,50),0.074735 # DEPENDENCYPART_ARC
(48,52),-0.860719 # DEPENDENCYPART_ARC
(50,41),-2.31173 # DEPENDENCYPART_ARC
(50,43),-1.52689 # DEPENDENCYPART_ARC
(50,44),-1.38483 # DEPENDENCYPART_ARC
(50,45),-1.19174 # DEPENDENCYPART_ARC
(50,46),-1.19054 # DEPENDENCYPART_ARC
(50,48),-0.691683 # DEPENDENCYPART_ARC
(50,49),1.26786 # DEPENDENCYPART_ARC
(50,52),-1.08079 # DEPENDENCYPART_ARC
(51,48),-0.873126 # DEPENDENCYPART_ARC
(51,50),-0.0935041 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0170368 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.101755 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.124649 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.106554 # DEPENDENCYPART_SIBL
(0,1),(0,33),-0.110097 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.102763 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.119534 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.102305 # DEPENDENCYPART_SIBL
(0,3),(0,33),-0.103237 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.191195 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.166498 # DEPENDENCYPART_SIBL
(0,4),(0,33),-0.165134 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.171573 # DEPENDENCYPART_SIBL
(0,15),(0,33),-0.170665 # DEPENDENCYPART_SIBL
(0,17),(0,33),-0.164969 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0170252 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0184961 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0169996 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0092522 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0475519 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0260662 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.108576 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00808581 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.13254 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0467841 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0121111 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0482821 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.00773779 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.128069 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0317186 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0195152 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0555916 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0114606 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.011856 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0270285 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0445001 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0329729 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0333412 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0607849 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0427856 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0378997 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0298551 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.272107 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0840386 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0287418 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.134512 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0808983 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0687076 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0761871 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.249324 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00609475 # DEPENDENCYPART_SIBL
