# _root_ J. Nicholas Hahn , Cotton Inc. 's president and chief executive , was an outspoken critic of WPP Group 's acquisition of Ogilvy Group earlier this year .
#goldHeads=3,3,13,3,6,9,6,9,3,11,9,3,0,16,16,13,16,19,21,19,17,21,24,22,27,27,21,13,
#predictedHeads=3,3,13,3,6,8,6,9,3,11,9,3,0,16,16,13,16,19,21,19,17,21,24,22,27,27,21,13,
(3,16),-2.04247 # DEPENDENCYPART_ARC
(3,17),-2.37732 # DEPENDENCYPART_ARC
(3,19),-2.35248 # DEPENDENCYPART_ARC
(3,21),-2.38468 # DEPENDENCYPART_ARC
(3,28),-1.97611 # DEPENDENCYPART_ARC
(5,1),-2.67733 # DEPENDENCYPART_ARC
(5,2),-2.52824 # DEPENDENCYPART_ARC
(5,3),-2.15215 # DEPENDENCYPART_ARC
(5,4),-1.05712 # DEPENDENCYPART_ARC
(5,6),-0.758513 # DEPENDENCYPART_ARC
(5,7),-1.20784 # DEPENDENCYPART_ARC
(5,8),-1.8745 # DEPENDENCYPART_ARC
(5,12),-1.71379 # DEPENDENCYPART_ARC
(6,1),-0.926053 # DEPENDENCYPART_ARC
(6,2),-0.911755 # DEPENDENCYPART_ARC
(6,3),-1.50159 # DEPENDENCYPART_ARC
(6,4),-1.23 # DEPENDENCYPART_ARC
(6,5),1.85724 # DEPENDENCYPART_ARC
(6,7),1.11182 # DEPENDENCYPART_ARC
(6,8),-0.964217 # DEPENDENCYPART_ARC
(6,9),-0.510775 # DEPENDENCYPART_ARC
(6,10),-1.09443 # DEPENDENCYPART_ARC
(6,11),-1.45482 # DEPENDENCYPART_ARC
(6,12),-1.00411 # DEPENDENCYPART_ARC
(6,13),-1.78248 # DEPENDENCYPART_ARC
(6,16),-1.79115 # DEPENDENCYPART_ARC
(6,28),-2.04905 # DEPENDENCYPART_ARC
(8,1),-2.11084 # DEPENDENCYPART_ARC
(8,2),-2.0098 # DEPENDENCYPART_ARC
(8,3),-1.90945 # DEPENDENCYPART_ARC
(8,4),-1.69181 # DEPENDENCYPART_ARC
(8,5),-0.445622 # DEPENDENCYPART_ARC
(8,6),-0.0288428 # DEPENDENCYPART_ARC
(8,7),-0.161981 # DEPENDENCYPART_ARC
(8,9),-0.547087 # DEPENDENCYPART_ARC
(8,10),-1.26921 # DEPENDENCYPART_ARC
(8,11),-1.52082 # DEPENDENCYPART_ARC
(8,12),-1.58363 # DEPENDENCYPART_ARC
(8,13),-2.09421 # DEPENDENCYPART_ARC
(8,16),-2.07649 # DEPENDENCYPART_ARC
(9,1),-1.37227 # DEPENDENCYPART_ARC
(9,2),-1.34762 # DEPENDENCYPART_ARC
(9,3),-1.06309 # DEPENDENCYPART_ARC
(9,4),-0.565149 # DEPENDENCYPART_ARC
(9,5),-0.566086 # DEPENDENCYPART_ARC
(9,6),-0.350379 # DEPENDENCYPART_ARC
(9,8),1.15578 # DEPENDENCYPART_ARC
(9,10),0.680006 # DEPENDENCYPART_ARC
(9,11),0.884877 # DEPENDENCYPART_ARC
(9,12),-0.690299 # DEPENDENCYPART_ARC
(9,13),-1.22033 # DEPENDENCYPART_ARC
(9,14),-1.60788 # DEPENDENCYPART_ARC
(9,15),-1.50699 # DEPENDENCYPART_ARC
(9,16),-1.32172 # DEPENDENCYPART_ARC
(9,17),-1.53155 # DEPENDENCYPART_ARC
(9,19),-2.04191 # DEPENDENCYPART_ARC
(9,21),-2.21724 # DEPENDENCYPART_ARC
(9,22),-1.62293 # DEPENDENCYPART_ARC
(9,24),-2.74401 # DEPENDENCYPART_ARC
(9,28),-1.26709 # DEPENDENCYPART_ARC
(10,6),-1.74659 # DEPENDENCYPART_ARC
(10,8),-1.65835 # DEPENDENCYPART_ARC
(10,11),-0.571045 # DEPENDENCYPART_ARC
(10,13),-1.71081 # DEPENDENCYPART_ARC
(11,3),-2.16357 # DEPENDENCYPART_ARC
(11,4),-1.58598 # DEPENDENCYPART_ARC
(11,5),-0.898446 # DEPENDENCYPART_ARC
(11,6),-0.72921 # DEPENDENCYPART_ARC
(11,8),-0.875684 # DEPENDENCYPART_ARC
(11,9),-0.435304 # DEPENDENCYPART_ARC
(11,10),1.33165 # DEPENDENCYPART_ARC
(11,12),0.0854888 # DEPENDENCYPART_ARC
(11,13),-1.66873 # DEPENDENCYPART_ARC
(11,16),-1.93199 # DEPENDENCYPART_ARC
(11,17),-2.22323 # DEPENDENCYPART_ARC
(11,21),-2.34089 # DEPENDENCYPART_ARC
(13,1),-0.685577 # DEPENDENCYPART_ARC
(13,2),-0.74708 # DEPENDENCYPART_ARC
(13,3),-0.30674 # DEPENDENCYPART_ARC
(13,4),-1.80213 # DEPENDENCYPART_ARC
(13,5),-1.6744 # DEPENDENCYPART_ARC
(13,6),-1.55968 # DEPENDENCYPART_ARC
(13,8),-1.68787 # DEPENDENCYPART_ARC
(13,9),-1.17114 # DEPENDENCYPART_ARC
(13,10),-1.14818 # DEPENDENCYPART_ARC
(13,11),-1.18742 # DEPENDENCYPART_ARC
(13,12),0.732359 # DEPENDENCYPART_ARC
(13,14),0.411268 # DEPENDENCYPART_ARC
(13,15),-0.240996 # DEPENDENCYPART_ARC
(13,16),0.238601 # DEPENDENCYPART_ARC
(13,17),-0.898342 # DEPENDENCYPART_ARC
(13,18),-0.611866 # DEPENDENCYPART_ARC
(13,19),-0.682394 # DEPENDENCYPART_ARC
(13,21),-0.56136 # DEPENDENCYPART_ARC
(13,22),-1.3594 # DEPENDENCYPART_ARC
(13,23),-1.27224 # DEPENDENCYPART_ARC
(13,24),-1.03012 # DEPENDENCYPART_ARC
(13,27),-1.14243 # DEPENDENCYPART_ARC
(13,28),1.55268 # DEPENDENCYPART_ARC
(14,15),-0.21538 # DEPENDENCYPART_ARC
(14,17),-0.976501 # DEPENDENCYPART_ARC
(14,22),-1.23838 # DEPENDENCYPART_ARC
(15,8),-2.03685 # DEPENDENCYPART_ARC
(15,9),-1.89164 # DEPENDENCYPART_ARC
(15,11),-1.87009 # DEPENDENCYPART_ARC
(15,14),-0.0327369 # DEPENDENCYPART_ARC
(15,17),-0.981036 # DEPENDENCYPART_ARC
(15,19),-1.4664 # DEPENDENCYPART_ARC
(15,21),-1.5717 # DEPENDENCYPART_ARC
(16,9),-2.17317 # DEPENDENCYPART_ARC
(16,10),-1.95057 # DEPENDENCYPART_ARC
(16,11),-2.46189 # DEPENDENCYPART_ARC
(16,12),-1.83513 # DEPENDENCYPART_ARC
(16,13),-1.08713 # DEPENDENCYPART_ARC
(16,14),0.20515 # DEPENDENCYPART_ARC
(16,15),1.43276 # DEPENDENCYPART_ARC
(16,17),0.697958 # DEPENDENCYPART_ARC
(16,18),-0.695421 # DEPENDENCYPART_ARC
(16,19),-1.12091 # DEPENDENCYPART_ARC
(16,21),-1.40811 # DEPENDENCYPART_ARC
(16,22),-1.10153 # DEPENDENCYPART_ARC
(16,23),-1.48839 # DEPENDENCYPART_ARC
(16,24),-1.67188 # DEPENDENCYPART_ARC
(16,25),-1.00995 # DEPENDENCYPART_ARC
(16,26),-1.28899 # DEPENDENCYPART_ARC
(16,27),-1.82007 # DEPENDENCYPART_ARC
(16,28),-1.17698 # DEPENDENCYPART_ARC
(17,15),-1.43135 # DEPENDENCYPART_ARC
(17,18),0.214237 # DEPENDENCYPART_ARC
(17,19),-0.502307 # DEPENDENCYPART_ARC
(17,21),-1.16954 # DEPENDENCYPART_ARC
(17,22),-1.26933 # DEPENDENCYPART_ARC
(17,23),-2.26439 # DEPENDENCYPART_ARC
(17,24),-2.03886 # DEPENDENCYPART_ARC
(17,25),-1.28292 # DEPENDENCYPART_ARC
(17,27),-2.61024 # DEPENDENCYPART_ARC
(18,19),-0.711802 # DEPENDENCYPART_ARC
(18,20),-1.26611 # DEPENDENCYPART_ARC
(18,22),-1.56421 # DEPENDENCYPART_ARC
(18,24),-2.2981 # DEPENDENCYPART_ARC
(19,10),-2.38909 # DEPENDENCYPART_ARC
(19,14),-1.0852 # DEPENDENCYPART_ARC
(19,15),-0.999422 # DEPENDENCYPART_ARC
(19,16),-1.0635 # DEPENDENCYPART_ARC
(19,17),-0.960651 # DEPENDENCYPART_ARC
(19,18),1.9661 # DEPENDENCYPART_ARC
(19,20),1.05329 # DEPENDENCYPART_ARC
(19,21),-0.954325 # DEPENDENCYPART_ARC
(19,22),-0.991414 # DEPENDENCYPART_ARC
(19,23),-1.39532 # DEPENDENCYPART_ARC
(19,24),-1.55581 # DEPENDENCYPART_ARC
(19,27),-1.81706 # DEPENDENCYPART_ARC
(19,28),-1.09994 # DEPENDENCYPART_ARC
(20,28),-1.11963 # DEPENDENCYPART_ARC
(21,10),-2.67317 # DEPENDENCYPART_ARC
(21,14),-1.99263 # DEPENDENCYPART_ARC
(21,15),-1.71286 # DEPENDENCYPART_ARC
(21,16),-1.40082 # DEPENDENCYPART_ARC
(21,17),-1.35683 # DEPENDENCYPART_ARC
(21,18),-0.471716 # DEPENDENCYPART_ARC
(21,19),-0.0385465 # DEPENDENCYPART_ARC
(21,20),-0.235473 # DEPENDENCYPART_ARC
(21,22),0.711156 # DEPENDENCYPART_ARC
(21,23),-0.783126 # DEPENDENCYPART_ARC
(21,24),-1.16399 # DEPENDENCYPART_ARC
(21,25),-1.02587 # DEPENDENCYPART_ARC
(21,26),-1.38832 # DEPENDENCYPART_ARC
(21,27),-1.40563 # DEPENDENCYPART_ARC
(21,28),-1.08299 # DEPENDENCYPART_ARC
(22,23),0.223154 # DEPENDENCYPART_ARC
(22,24),-0.378354 # DEPENDENCYPART_ARC
(22,25),-1.19493 # DEPENDENCYPART_ARC
(22,27),-1.46524 # DEPENDENCYPART_ARC
(23,24),-0.577627 # DEPENDENCYPART_ARC
(23,27),-1.79697 # DEPENDENCYPART_ARC
(24,15),-1.96364 # DEPENDENCYPART_ARC
(24,16),-2.21781 # DEPENDENCYPART_ARC
(24,18),-1.14115 # DEPENDENCYPART_ARC
(24,19),-1.14827 # DEPENDENCYPART_ARC
(24,21),-1.25211 # DEPENDENCYPART_ARC
(24,22),-1.08433 # DEPENDENCYPART_ARC
(24,23),1.42232 # DEPENDENCYPART_ARC
(24,27),-1.39458 # DEPENDENCYPART_ARC
(24,28),-1.35086 # DEPENDENCYPART_ARC
(25,27),-0.726412 # DEPENDENCYPART_ARC
(27,14),-2.84465 # DEPENDENCYPART_ARC
(27,15),-2.36373 # DEPENDENCYPART_ARC
(27,16),-2.29878 # DEPENDENCYPART_ARC
(27,19),-1.68852 # DEPENDENCYPART_ARC
(27,21),-1.94372 # DEPENDENCYPART_ARC
(27,22),-1.037 # DEPENDENCYPART_ARC
(27,23),-0.793597 # DEPENDENCYPART_ARC
(27,24),-1.049 # DEPENDENCYPART_ARC
(27,25),-0.240299 # DEPENDENCYPART_ARC
(27,26),1.18235 # DEPENDENCYPART_ARC
(27,28),-0.379936 # DEPENDENCYPART_ARC
(28,27),-0.335918 # DEPENDENCYPART_ARC
(0,3),(0,9),-0.0912498 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.10972 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.14462 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0068026 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0333147 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00918027 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0126954 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0122234 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0316722 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0107229 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0333147 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.00182446 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0149748 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0139686 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.00739075 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00743512 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0369768 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0155112 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0149748 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.00666882 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0454351 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0179437 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.172126 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0177913 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0539195 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.0365015 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0712536 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.00679521 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.00884989 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0373418 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0140874 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0126526 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.00718385 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.0227995 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00254293 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.00263883 # DEPENDENCYPART_SIBL
(1,7),(1,12),-9.63817e-05 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.022177 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0503474 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.029761 # DEPENDENCYPART_SIBL
(1,8),(1,12),0.0140463 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0259355 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0315046 # DEPENDENCYPART_SIBL
(1,9),(1,12),0.0219398 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0125487 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.0216248 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0154349 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0712536 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.025985 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0243704 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00828789 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0762853 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.146491 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0122914 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0298031 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0243704 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0198879 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.00939584 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0134371 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00646678 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00796658 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0400577 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0150207 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00939584 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00751771 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.041022 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.025361 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.167713 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00411204 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0494244 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0200613 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0628746 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00587124 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00938135 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0404228 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0135969 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00707367 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00803273 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0236921 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.000175895 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00178714 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00515338 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0226621 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0534283 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0292705 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0084674 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0267844 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0301834 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0180498 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0125645 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0273635 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0163637 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0628746 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00293403 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0459204 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.033418 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0112649 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0814942 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.149468 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0207011 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0329994 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0459204 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0249414 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0275178 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0432739 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0884776 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0255132 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0217022 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0466193 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0186151 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.00353796 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.072679 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.136469 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00632486 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0181966 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0466193 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0146865 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0127149 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0373313 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0736747 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.0107104 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.00483836 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0467095 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0454394 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0179416 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.17213 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0177935 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0539237 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.036982 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0712557 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0400974 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0346147 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0551353 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0396727 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.00261008 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0139189 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00747849 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00748483 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.036889 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0154615 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.0142715 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.00658179 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0119406 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.00873516 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0184726 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0129978 # DEPENDENCYPART_SIBL
(3,5),(3,28),0.0171969 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00688934 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00894629 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0372477 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.013991 # DEPENDENCYPART_SIBL
(3,6),(3,12),0.0132233 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.00708971 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0104702 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.00549909 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0170021 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0115274 # DEPENDENCYPART_SIBL
(3,6),(3,28),0.0112624 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0228008 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00254293 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0026375 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.000380137 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.022177 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.003639 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.00970961 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.00479931 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.00433572 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0109964 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0502532 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0296646 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.014617 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0258414 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0261438 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.00696747 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0326767 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.027201 # DEPENDENCYPART_SIBL
(3,8),(3,28),0.0181279 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.031028 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0236044 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0120735 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0318876 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.00418407 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0322794 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0325831 # DEPENDENCYPART_SIBL
(3,9),(3,28),0.00104341 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0210541 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0153408 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0230698 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.00629043 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0296017 # DEPENDENCYPART_SIBL
(3,11),(3,21),-0.024127 # DEPENDENCYPART_SIBL
(3,11),(3,28),0.0108313 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0712557 # DEPENDENCYPART_SIBL
(3,12),(3,16),0.0400974 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.0346147 # DEPENDENCYPART_SIBL
(3,12),(3,19),0.0551353 # DEPENDENCYPART_SIBL
(3,12),(3,21),0.0396727 # DEPENDENCYPART_SIBL
(3,12),(3,28),-0.00261008 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0212663 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.00436849 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0201892 # DEPENDENCYPART_SIBL
(3,13),(3,21),-0.0228766 # DEPENDENCYPART_SIBL
(3,13),(3,28),-0.00962447 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.00930385 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0189545 # DEPENDENCYPART_SIBL
(3,16),(3,21),-0.0134798 # DEPENDENCYPART_SIBL
(3,16),(3,28),0.0195384 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.0182292 # DEPENDENCYPART_SIBL
(3,17),(3,21),-0.00029261 # DEPENDENCYPART_SIBL
(3,17),(3,28),-0.0112069 # DEPENDENCYPART_SIBL
(3,19),(3,21),-0.00286709 # DEPENDENCYPART_SIBL
(3,19),(3,28),0.0334044 # DEPENDENCYPART_SIBL
(3,21),(3,28),0.0155948 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.000377756 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00532515 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0277236 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0111224 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0813805 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.149317 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0420574 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00640199 # DEPENDENCYPART_SIBL
