# _root_ While the third-quarter earnings were a `` moderate disappointment , '' he said , `` the real bad news is the intensity of price competition '' in the premium-beer sector .
#goldHeads=5,4,4,5,20,9,9,9,5,13,13,13,20,13,13,19,19,19,20,0,22,20,22,25,23,25,25,30,30,27,20,
#predictedHeads=5,4,4,5,20,9,9,9,5,13,13,13,20,13,20,19,19,19,20,0,22,20,22,25,23,25,25,30,30,27,20,
(9,6),-0.481117 # DEPENDENCYPART_ARC
(9,7),-0.227714 # DEPENDENCYPART_ARC
(9,8),1.46614 # DEPENDENCYPART_ARC
(9,10),0.107381 # DEPENDENCYPART_ARC
(9,11),-1.4154 # DEPENDENCYPART_ARC
(9,13),-1.93093 # DEPENDENCYPART_ARC
(9,14),-1.63919 # DEPENDENCYPART_ARC
(9,15),-1.68571 # DEPENDENCYPART_ARC
(9,16),-1.69896 # DEPENDENCYPART_ARC
(9,17),-1.81076 # DEPENDENCYPART_ARC
(9,18),-1.78999 # DEPENDENCYPART_ARC
(9,19),-1.97361 # DEPENDENCYPART_ARC
(9,20),-2.39753 # DEPENDENCYPART_ARC
(9,22),-1.83483 # DEPENDENCYPART_ARC
(9,23),-1.97963 # DEPENDENCYPART_ARC
(9,25),-1.95548 # DEPENDENCYPART_ARC
(9,30),-2.22655 # DEPENDENCYPART_ARC
(9,31),-2.38121 # DEPENDENCYPART_ARC
(12,13),0.191673 # DEPENDENCYPART_ARC
(12,14),-0.662067 # DEPENDENCYPART_ARC
(13,1),-1.76216 # DEPENDENCYPART_ARC
(13,3),-1.74609 # DEPENDENCYPART_ARC
(13,4),-2.38218 # DEPENDENCYPART_ARC
(13,5),-1.54257 # DEPENDENCYPART_ARC
(13,6),-1.9833 # DEPENDENCYPART_ARC
(13,7),-1.28544 # DEPENDENCYPART_ARC
(13,8),-1.75459 # DEPENDENCYPART_ARC
(13,9),-2.10731 # DEPENDENCYPART_ARC
(13,10),-0.798225 # DEPENDENCYPART_ARC
(13,11),-0.62223 # DEPENDENCYPART_ARC
(13,12),0.886477 # DEPENDENCYPART_ARC
(13,14),0.664342 # DEPENDENCYPART_ARC
(13,15),-0.923281 # DEPENDENCYPART_ARC
(13,17),-1.67051 # DEPENDENCYPART_ARC
(13,18),-1.76405 # DEPENDENCYPART_ARC
(13,19),-2.13123 # DEPENDENCYPART_ARC
(13,20),-1.44434 # DEPENDENCYPART_ARC
(13,22),-2.38912 # DEPENDENCYPART_ARC
(13,26),-1.02381 # DEPENDENCYPART_ARC
(13,31),-0.53521 # DEPENDENCYPART_ARC
(16,14),-1.04498 # DEPENDENCYPART_ARC
(16,17),-0.309683 # DEPENDENCYPART_ARC
(16,23),-1.42222 # DEPENDENCYPART_ARC
(17,9),-1.79296 # DEPENDENCYPART_ARC
(17,12),-2.38808 # DEPENDENCYPART_ARC
(17,14),-1.60182 # DEPENDENCYPART_ARC
(17,15),-1.29315 # DEPENDENCYPART_ARC
(17,16),-0.188938 # DEPENDENCYPART_ARC
(17,18),-0.288545 # DEPENDENCYPART_ARC
(17,19),-1.12413 # DEPENDENCYPART_ARC
(17,20),-0.96768 # DEPENDENCYPART_ARC
(17,22),-1.57227 # DEPENDENCYPART_ARC
(17,23),-1.39692 # DEPENDENCYPART_ARC
(17,25),-1.68788 # DEPENDENCYPART_ARC
(17,26),-1.0259 # DEPENDENCYPART_ARC
(17,27),-1.54006 # DEPENDENCYPART_ARC
(18,9),-1.46311 # DEPENDENCYPART_ARC
(18,14),-1.46878 # DEPENDENCYPART_ARC
(18,15),-1.16417 # DEPENDENCYPART_ARC
(18,16),-0.991144 # DEPENDENCYPART_ARC
(18,17),0.00664745 # DEPENDENCYPART_ARC
(18,19),-0.503171 # DEPENDENCYPART_ARC
(18,20),-0.969305 # DEPENDENCYPART_ARC
(18,22),-1.70188 # DEPENDENCYPART_ARC
(19,6),-1.44547 # DEPENDENCYPART_ARC
(19,8),-1.13097 # DEPENDENCYPART_ARC
(19,9),-2.29762 # DEPENDENCYPART_ARC
(19,10),-2.32457 # DEPENDENCYPART_ARC
(19,13),-1.67631 # DEPENDENCYPART_ARC
(19,14),-1.45657 # DEPENDENCYPART_ARC
(19,15),-0.775521 # DEPENDENCYPART_ARC
(19,16),-0.235309 # DEPENDENCYPART_ARC
(19,17),0.451738 # DEPENDENCYPART_ARC
(19,18),1.57614 # DEPENDENCYPART_ARC
(19,20),-0.6098 # DEPENDENCYPART_ARC
(19,22),-1.72131 # DEPENDENCYPART_ARC
(19,23),-1.68782 # DEPENDENCYPART_ARC
(19,25),-2.07435 # DEPENDENCYPART_ARC
(19,26),-1.5129 # DEPENDENCYPART_ARC
(19,27),-2.19652 # DEPENDENCYPART_ARC
(20,1),-0.848115 # DEPENDENCYPART_ARC
(20,3),-1.32726 # DEPENDENCYPART_ARC
(20,5),-1.37668 # DEPENDENCYPART_ARC
(20,7),-1.20135 # DEPENDENCYPART_ARC
(20,8),-1.4379 # DEPENDENCYPART_ARC
(20,9),-1.24512 # DEPENDENCYPART_ARC
(20,10),-2.20073 # DEPENDENCYPART_ARC
(20,11),-1.67259 # DEPENDENCYPART_ARC
(20,12),-2.24827 # DEPENDENCYPART_ARC
(20,13),-1.2039 # DEPENDENCYPART_ARC
(20,14),-1.2207 # DEPENDENCYPART_ARC
(20,15),-1.01047 # DEPENDENCYPART_ARC
(20,16),-1.07621 # DEPENDENCYPART_ARC
(20,17),-0.954063 # DEPENDENCYPART_ARC
(20,18),-0.761163 # DEPENDENCYPART_ARC
(20,19),0.619202 # DEPENDENCYPART_ARC
(20,21),0.256695 # DEPENDENCYPART_ARC
(20,22),0.384518 # DEPENDENCYPART_ARC
(20,23),-0.747295 # DEPENDENCYPART_ARC
(20,24),-0.827904 # DEPENDENCYPART_ARC
(20,25),-0.613919 # DEPENDENCYPART_ARC
(20,26),-0.440461 # DEPENDENCYPART_ARC
(20,27),-0.94218 # DEPENDENCYPART_ARC
(20,30),-1.20677 # DEPENDENCYPART_ARC
(20,31),0.532678 # DEPENDENCYPART_ARC
(21,23),-1.2036 # DEPENDENCYPART_ARC
(21,27),-1.46345 # DEPENDENCYPART_ARC
(22,15),-1.76974 # DEPENDENCYPART_ARC
(22,16),-2.30639 # DEPENDENCYPART_ARC
(22,17),-1.61619 # DEPENDENCYPART_ARC
(22,18),-1.49469 # DEPENDENCYPART_ARC
(22,19),-1.67507 # DEPENDENCYPART_ARC
(22,20),-1.00247 # DEPENDENCYPART_ARC
(22,21),1.13323 # DEPENDENCYPART_ARC
(22,23),0.58975 # DEPENDENCYPART_ARC
(22,24),-0.808618 # DEPENDENCYPART_ARC
(22,25),-1.2135 # DEPENDENCYPART_ARC
(22,26),-0.848523 # DEPENDENCYPART_ARC
(22,27),-1.13836 # DEPENDENCYPART_ARC
(22,30),-1.74675 # DEPENDENCYPART_ARC
(22,31),-1.03862 # DEPENDENCYPART_ARC
(23,19),-1.69304 # DEPENDENCYPART_ARC
(23,21),-1.36299 # DEPENDENCYPART_ARC
(23,24),0.169113 # DEPENDENCYPART_ARC
(23,25),-0.375095 # DEPENDENCYPART_ARC
(23,26),-1.00361 # DEPENDENCYPART_ARC
(23,27),-1.47371 # DEPENDENCYPART_ARC
(23,30),-2.01987 # DEPENDENCYPART_ARC
(23,31),-1.5594 # DEPENDENCYPART_ARC
(24,15),-2.43857 # DEPENDENCYPART_ARC
(24,25),-0.591066 # DEPENDENCYPART_ARC
(24,26),-1.17067 # DEPENDENCYPART_ARC
(24,27),-1.38011 # DEPENDENCYPART_ARC
(24,30),-2.22103 # DEPENDENCYPART_ARC
(25,15),-0.869831 # DEPENDENCYPART_ARC
(25,16),-2.04785 # DEPENDENCYPART_ARC
(25,17),-1.47328 # DEPENDENCYPART_ARC
(25,18),-1.45359 # DEPENDENCYPART_ARC
(25,19),-1.68101 # DEPENDENCYPART_ARC
(25,21),-0.491604 # DEPENDENCYPART_ARC
(25,22),-0.526322 # DEPENDENCYPART_ARC
(25,23),-0.391219 # DEPENDENCYPART_ARC
(25,24),2.01072 # DEPENDENCYPART_ARC
(25,26),0.181804 # DEPENDENCYPART_ARC
(25,27),-0.859307 # DEPENDENCYPART_ARC
(25,28),-1.32073 # DEPENDENCYPART_ARC
(25,29),-1.28453 # DEPENDENCYPART_ARC
(25,30),-1.53176 # DEPENDENCYPART_ARC
(25,31),-1.01796 # DEPENDENCYPART_ARC
(27,22),-1.31535 # DEPENDENCYPART_ARC
(27,23),-1.03224 # DEPENDENCYPART_ARC
(27,25),-1.11275 # DEPENDENCYPART_ARC
(27,28),0.262362 # DEPENDENCYPART_ARC
(27,29),0.0612624 # DEPENDENCYPART_ARC
(27,30),-0.513175 # DEPENDENCYPART_ARC
(27,31),-1.00845 # DEPENDENCYPART_ARC
(28,29),-0.369232 # DEPENDENCYPART_ARC
(29,28),-0.152358 # DEPENDENCYPART_ARC
(29,30),-0.742692 # DEPENDENCYPART_ARC
(30,16),-2.81285 # DEPENDENCYPART_ARC
(30,18),-2.05327 # DEPENDENCYPART_ARC
(30,21),-1.72281 # DEPENDENCYPART_ARC
(30,22),-1.69293 # DEPENDENCYPART_ARC
(30,23),-1.2468 # DEPENDENCYPART_ARC
(30,24),-0.693507 # DEPENDENCYPART_ARC
(30,25),-0.940276 # DEPENDENCYPART_ARC
(30,27),-0.848307 # DEPENDENCYPART_ARC
(30,28),0.59385 # DEPENDENCYPART_ARC
(30,29),1.7169 # DEPENDENCYPART_ARC
(30,31),-0.304076 # DEPENDENCYPART_ARC
(31,30),-0.329509 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.0955917 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.114287 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.098008 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.194324 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.16838 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.170665 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0204467 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0408205 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0384311 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0197443 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0428995 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00735411 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00634653 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0341452 # DEPENDENCYPART_SIBL
(1,2),(1,26),0.00634653 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0429732 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00438803 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00840127 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0416996 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00028953 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00235729 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.00339002 # DEPENDENCYPART_SIBL
(1,3),(1,26),0.00235729 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0233491 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0186193 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0824871 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00469201 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.00952743 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.032494 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.00952743 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.01974 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0283659 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0782887 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0436971 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0343174 # DEPENDENCYPART_SIBL
(1,5),(1,26),0.0436971 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.00876473 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0017153 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.261858 # DEPENDENCYPART_SIBL
(1,7),(1,13),0.0290952 # DEPENDENCYPART_SIBL
(1,7),(1,26),0.261858 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0128134 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.00558159 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0363642 # DEPENDENCYPART_SIBL
(1,9),(1,26),0.00558159 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.0200674 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.010089 # DEPENDENCYPART_SIBL
(1,10),(1,26),0.0200674 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0355154 # DEPENDENCYPART_SIBL
(1,11),(1,26),-0.0186593 # DEPENDENCYPART_SIBL
(1,13),(1,26),0.0786939 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00468856 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0466453 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0226107 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0324847 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00212609 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0474166 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00288578 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0192638 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0440852 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.104977 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.126079 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.105445 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.139383 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.158036 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.00946622 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0130096 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.00151082 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.00222765 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0470711 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.039465 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0149094 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00257434 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00187805 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00825725 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.00881403 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.00243403 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00134487 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0363792 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0230048 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.00177325 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0176254 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00345644 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00751643 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0176254 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.00951709 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0015565 # DEPENDENCYPART_SIBL
(4,1),(4,31),-0.0436464 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0725836 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0374522 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.102275 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.012753 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0120295 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0152102 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0551677 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.102499 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0152102 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0317184 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.205463 # DEPENDENCYPART_SIBL
(4,2),(4,31),-0.116728 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.049259 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0609742 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0513296 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0458343 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.079332 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00337279 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0207905 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.079332 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0548829 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0668601 # DEPENDENCYPART_SIBL
(4,3),(4,31),-0.0611221 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0219896 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.03596 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0325853 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0119756 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0762388 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0258612 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0119756 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0336265 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0361424 # DEPENDENCYPART_SIBL
(4,5),(4,31),-0.0218599 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00259674 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0089065 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0357437 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0182452 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0170241 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0357437 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.00985816 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0399858 # DEPENDENCYPART_SIBL
(4,6),(4,31),-0.00542388 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0521733 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00593545 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.308665 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0181521 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00593545 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0512222 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0012616 # DEPENDENCYPART_SIBL
(4,7),(4,31),0.106864 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.00143822 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0155076 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0155123 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.00143822 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0167877 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0317049 # DEPENDENCYPART_SIBL
(4,9),(4,31),0.0164201 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0779088 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.015305 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0126063 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0132461 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0121378 # DEPENDENCYPART_SIBL
(4,10),(4,31),-0.0272065 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.00556654 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.00461614 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.0358626 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.00147445 # DEPENDENCYPART_SIBL
(4,11),(4,31),-0.028708 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.00256195 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0443266 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0336939 # DEPENDENCYPART_SIBL
(4,13),(4,31),-0.000295474 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0132461 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0121378 # DEPENDENCYPART_SIBL
(4,14),(4,31),-0.0272065 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.033474 # DEPENDENCYPART_SIBL
(4,19),(4,31),0.0167372 # DEPENDENCYPART_SIBL
(4,20),(4,31),0.0240434 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0104622 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00266108 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0431771 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0665051 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0624491 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.046307 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0670361 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0948823 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0404671 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0349278 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0948823 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0624491 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0362962 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.0613896 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0211247 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0696986 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0632294 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.0404671 # DEPENDENCYPART_SIBL
(5,1),(5,27),0.00541985 # DEPENDENCYPART_SIBL
(5,1),(5,30),0.0699196 # DEPENDENCYPART_SIBL
(5,1),(5,31),-0.135732 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0401355 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0448966 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.10458 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0936275 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.00718509 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0479397 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0229416 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0136682 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.086825 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0229416 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0936275 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0019708 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0550378 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0354047 # DEPENDENCYPART_SIBL
(5,2),(5,22),-0.0452772 # DEPENDENCYPART_SIBL
(5,2),(5,25),-0.0494526 # DEPENDENCYPART_SIBL
(5,2),(5,26),-0.0136682 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0201236 # DEPENDENCYPART_SIBL
(5,2),(5,30),-0.0455819 # DEPENDENCYPART_SIBL
(5,2),(5,31),-0.109513 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00181244 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0155903 # DEPENDENCYPART_SIBL
