# _root_ At the appointed exit , the family pulled over , and Mrs. Engelken went to get her papers .
#goldHeads=11,4,4,1,11,7,8,11,8,11,0,13,14,11,16,14,18,16,11,
#predictedHeads=8,4,4,1,8,7,8,11,8,11,0,13,14,11,16,14,18,16,11,
(1,4),(1,7),-0.121701 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0418972 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0646577 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0321009 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.14626 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.118134 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.041853 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0460269 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0734551 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.00768905 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.00451529 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.029553 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0589575 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0653463 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.00248496 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.032421 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0429143 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0646828 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.033734 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.146672 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.118165 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0428701 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0461279 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0116289 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0991641 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0546658 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0385108 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.00552724 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.0474066 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0359768 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.0656356 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.0631758 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.0201062 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0301013 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.0589575 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0653463 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.00248496 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.032421 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0857776 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0301713 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.00106224 # DEPENDENCYPART_SIBL
(1,13),(1,14),-0.0416012 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.0469361 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.0486632 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0173879 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0528551 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0290917 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.018626 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0247507 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0251897 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00804921 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.105904 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.101459 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.168901 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0161149 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00675095 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00575893 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0192034 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0084249 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0182374 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0493686 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0250754 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.036191 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0486472 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0182374 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00470821 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0212256 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0212595 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0454438 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0335636 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0490602 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0215149 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0441099 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.059201 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.00869547 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.141081 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0178487 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.132296 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0159224 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00869547 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00582601 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.00991611 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00965625 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.10634 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.00257582 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.151227 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.00988422 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.116471 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0231318 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0650997 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0131533 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0274106 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.016212 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0231318 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0811086 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.00969162 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0097161 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0143866 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0344775 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00872077 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0104725 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.031987 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0122825 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0292137 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0215849 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00604336 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0335504 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0170517 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0410783 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0409795 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0162633 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.038926 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.00672337 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0408532 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00335188 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.014545 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0266475 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00380739 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0249278 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.011641 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0117832 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0118086 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0253653 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0169331 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0294101 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0120753 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0136593 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0152959 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00574252 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.011186 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0373403 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0118258 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0118549 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0140341 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00302757 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0146584 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.012475 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0197938 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0162304 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0162098 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0270773 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0177271 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0177526 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.00816693 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00999671 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.00701412 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0180374 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.00738301 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0577502 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0118621 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00623994 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00626422 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0221607 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0201203 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0237144 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.00654601 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0203917 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0170517 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0410783 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0409795 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0162633 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.038926 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.00672337 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0408532 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.00335188 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.031499 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0315244 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0114575 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.015562 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0178377 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0317912 # DEPENDENCYPART_SIBL
(4,11),(4,19),0.00104341 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.011722 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0132743 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.00278633 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0138986 # DEPENDENCYPART_SIBL
(4,12),(4,18),-0.0123421 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0201343 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0127848 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.00277115 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0134092 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0122158 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.0189891 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0109167 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00791331 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.0185028 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.00775752 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0123609 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.00162988 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0615623 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.0188577 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0103089 # DEPENDENCYPART_SIBL
(4,18),(4,19),0.0201512 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0499388 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0464125 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00195258 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0192248 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00841833 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.00832208 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0611028 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0192248 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0401281 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0486407 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0141879 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.00354418 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.049381 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0568638 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.041443 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0239922 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.333211 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.11801 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00786766 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00144069 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0161734 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0920546 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0448378 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.124016 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.120139 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0204337 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0131685 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0221185 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0769076 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.00740975 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0402848 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.1262 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0167827 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00476087 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0602107 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0121687 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.036803 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0589926 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.00546744 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0491191 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.144652 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0357741 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.021522 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.11801 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.00786766 # DEPENDENCYPART_SIBL
