# _root_ Complex cases , such as antitrust suits and many business disputes , would receive intense supervision by federal judges to keep pretrial proceedings moving .
#goldHeads=2,13,2,5,2,7,8,5,11,11,8,2,0,13,16,14,16,19,17,21,14,23,24,21,13,
#predictedHeads=2,13,2,5,2,7,8,5,11,11,8,2,0,13,16,14,14,19,17,21,19,23,21,23,13,
(5,11),-1.77956 # DEPENDENCYPART_ARC
(5,12),-1.38427 # DEPENDENCYPART_ARC
(5,13),-1.91928 # DEPENDENCYPART_ARC
(6,2),-1.83364 # DEPENDENCYPART_ARC
(6,3),-1.58503 # DEPENDENCYPART_ARC
(6,4),-1.32601 # DEPENDENCYPART_ARC
(6,5),-0.413097 # DEPENDENCYPART_ARC
(6,7),-0.506199 # DEPENDENCYPART_ARC
(6,9),-1.12105 # DEPENDENCYPART_ARC
(7,1),-1.97693 # DEPENDENCYPART_ARC
(7,2),-2.1555 # DEPENDENCYPART_ARC
(7,3),-1.84743 # DEPENDENCYPART_ARC
(7,4),-1.09508 # DEPENDENCYPART_ARC
(7,5),-1.02933 # DEPENDENCYPART_ARC
(7,6),1.3076 # DEPENDENCYPART_ARC
(7,8),-0.625351 # DEPENDENCYPART_ARC
(7,9),-1.43604 # DEPENDENCYPART_ARC
(7,11),-1.74662 # DEPENDENCYPART_ARC
(7,12),-1.99125 # DEPENDENCYPART_ARC
(8,1),-1.53687 # DEPENDENCYPART_ARC
(8,2),-0.787881 # DEPENDENCYPART_ARC
(8,3),-0.642347 # DEPENDENCYPART_ARC
(8,4),-0.815283 # DEPENDENCYPART_ARC
(8,5),-0.823927 # DEPENDENCYPART_ARC
(8,6),-0.108296 # DEPENDENCYPART_ARC
(8,7),1.82419 # DEPENDENCYPART_ARC
(8,9),0.235311 # DEPENDENCYPART_ARC
(8,10),0.567729 # DEPENDENCYPART_ARC
(8,11),-0.0089356 # DEPENDENCYPART_ARC
(8,12),-1.17109 # DEPENDENCYPART_ARC
(8,13),-1.77624 # DEPENDENCYPART_ARC
(8,14),-1.92997 # DEPENDENCYPART_ARC
(8,15),-1.94125 # DEPENDENCYPART_ARC
(8,16),-1.58136 # DEPENDENCYPART_ARC
(8,17),-1.98536 # DEPENDENCYPART_ARC
(8,19),-2.09043 # DEPENDENCYPART_ARC
(8,21),-2.95853 # DEPENDENCYPART_ARC
(8,23),-2.08337 # DEPENDENCYPART_ARC
(8,24),-3.24579 # DEPENDENCYPART_ARC
(8,25),-1.71001 # DEPENDENCYPART_ARC
(9,6),-1.82508 # DEPENDENCYPART_ARC
(9,7),-1.55653 # DEPENDENCYPART_ARC
(9,10),-0.56401 # DEPENDENCYPART_ARC
(9,13),-1.87296 # DEPENDENCYPART_ARC
(10,6),-1.75006 # DEPENDENCYPART_ARC
(10,7),-1.7387 # DEPENDENCYPART_ARC
(10,8),-1.09127 # DEPENDENCYPART_ARC
(10,9),-0.07885 # DEPENDENCYPART_ARC
(10,11),-0.883761 # DEPENDENCYPART_ARC
(10,13),-1.996 # DEPENDENCYPART_ARC
(11,3),-1.47469 # DEPENDENCYPART_ARC
(11,4),-1.64501 # DEPENDENCYPART_ARC
(11,5),-1.34836 # DEPENDENCYPART_ARC
(11,6),-0.587121 # DEPENDENCYPART_ARC
(11,7),-0.712785 # DEPENDENCYPART_ARC
(11,8),-0.449964 # DEPENDENCYPART_ARC
(11,9),0.254997 # DEPENDENCYPART_ARC
(11,10),2.00688 # DEPENDENCYPART_ARC
(11,12),0.0525867 # DEPENDENCYPART_ARC
(11,13),-1.75716 # DEPENDENCYPART_ARC
(11,14),-2.09768 # DEPENDENCYPART_ARC
(11,15),-2.15213 # DEPENDENCYPART_ARC
(11,16),-1.86419 # DEPENDENCYPART_ARC
(11,19),-2.1821 # DEPENDENCYPART_ARC
(11,20),-2.27332 # DEPENDENCYPART_ARC
(11,25),-2.03924 # DEPENDENCYPART_ARC
(13,1),-1.04923 # DEPENDENCYPART_ARC
(13,2),-0.853037 # DEPENDENCYPART_ARC
(13,3),-1.85726 # DEPENDENCYPART_ARC
(13,4),-1.40095 # DEPENDENCYPART_ARC
(13,5),-1.16693 # DEPENDENCYPART_ARC
(13,6),-1.42534 # DEPENDENCYPART_ARC
(13,7),-1.33516 # DEPENDENCYPART_ARC
(13,8),-1.08924 # DEPENDENCYPART_ARC
(13,9),-1.34484 # DEPENDENCYPART_ARC
(13,10),-1.2276 # DEPENDENCYPART_ARC
(13,11),-0.884737 # DEPENDENCYPART_ARC
(13,12),0.808322 # DEPENDENCYPART_ARC
(13,14),1.50324 # DEPENDENCYPART_ARC
(13,15),-0.865919 # DEPENDENCYPART_ARC
(13,16),-1.14603 # DEPENDENCYPART_ARC
(13,17),-1.27473 # DEPENDENCYPART_ARC
(13,21),-1.42436 # DEPENDENCYPART_ARC
(13,25),-0.0103893 # DEPENDENCYPART_ARC
(14,2),-1.7038 # DEPENDENCYPART_ARC
(14,3),-2.55781 # DEPENDENCYPART_ARC
(14,4),-2.16089 # DEPENDENCYPART_ARC
(14,5),-1.7291 # DEPENDENCYPART_ARC
(14,8),-1.80039 # DEPENDENCYPART_ARC
(14,11),-2.50376 # DEPENDENCYPART_ARC
(14,12),-1.11619 # DEPENDENCYPART_ARC
(14,13),-0.574188 # DEPENDENCYPART_ARC
(14,15),0.0257341 # DEPENDENCYPART_ARC
(14,16),0.103056 # DEPENDENCYPART_ARC
(14,17),-0.56573 # DEPENDENCYPART_ARC
(14,18),-1.40703 # DEPENDENCYPART_ARC
(14,19),-0.772896 # DEPENDENCYPART_ARC
(14,20),-1.51418 # DEPENDENCYPART_ARC
(14,21),-1.14392 # DEPENDENCYPART_ARC
(14,22),-1.82774 # DEPENDENCYPART_ARC
(14,23),-1.43349 # DEPENDENCYPART_ARC
(14,24),-1.46634 # DEPENDENCYPART_ARC
(14,25),-0.986411 # DEPENDENCYPART_ARC
(15,16),-0.356766 # DEPENDENCYPART_ARC
(15,17),-1.25281 # DEPENDENCYPART_ARC
(15,18),-1.05704 # DEPENDENCYPART_ARC
(15,19),-1.59474 # DEPENDENCYPART_ARC
(15,21),-1.30901 # DEPENDENCYPART_ARC
(16,2),-3.10725 # DEPENDENCYPART_ARC
(16,4),-2.72829 # DEPENDENCYPART_ARC
(16,6),-2.10653 # DEPENDENCYPART_ARC
(16,8),-2.30246 # DEPENDENCYPART_ARC
(16,9),-2.13709 # DEPENDENCYPART_ARC
(16,11),-2.24484 # DEPENDENCYPART_ARC
(16,12),-2.04101 # DEPENDENCYPART_ARC
(16,14),-0.834297 # DEPENDENCYPART_ARC
(16,15),1.50785 # DEPENDENCYPART_ARC
(16,17),0.268667 # DEPENDENCYPART_ARC
(16,18),-1.35981 # DEPENDENCYPART_ARC
(16,19),-1.50094 # DEPENDENCYPART_ARC
(16,20),-1.30027 # DEPENDENCYPART_ARC
(16,21),-1.14176 # DEPENDENCYPART_ARC
(16,22),-1.75615 # DEPENDENCYPART_ARC
(16,23),-1.73237 # DEPENDENCYPART_ARC
(16,24),-1.63318 # DEPENDENCYPART_ARC
(16,25),-1.61494 # DEPENDENCYPART_ARC
(17,15),-1.51972 # DEPENDENCYPART_ARC
(17,16),-0.602179 # DEPENDENCYPART_ARC
(17,18),-0.0341315 # DEPENDENCYPART_ARC
(17,19),-0.15901 # DEPENDENCYPART_ARC
(17,20),-1.35001 # DEPENDENCYPART_ARC
(17,21),-1.22958 # DEPENDENCYPART_ARC
(17,22),-1.53885 # DEPENDENCYPART_ARC
(17,23),-1.77443 # DEPENDENCYPART_ARC
(17,24),-1.679 # DEPENDENCYPART_ARC
(18,15),-1.50297 # DEPENDENCYPART_ARC
(18,16),-1.29794 # DEPENDENCYPART_ARC
(18,20),-1.1375 # DEPENDENCYPART_ARC
(18,21),-1.12271 # DEPENDENCYPART_ARC
(18,23),-1.81129 # DEPENDENCYPART_ARC
(19,15),-0.856913 # DEPENDENCYPART_ARC
(19,16),-1.20742 # DEPENDENCYPART_ARC
(19,17),-1.00115 # DEPENDENCYPART_ARC
(19,18),1.39979 # DEPENDENCYPART_ARC
(19,20),-0.117957 # DEPENDENCYPART_ARC
(19,21),-0.801724 # DEPENDENCYPART_ARC
(19,22),-1.46942 # DEPENDENCYPART_ARC
(19,23),-1.46578 # DEPENDENCYPART_ARC
(19,24),-1.56035 # DEPENDENCYPART_ARC
(19,25),-1.45549 # DEPENDENCYPART_ARC
(20,17),-1.05278 # DEPENDENCYPART_ARC
(20,19),-0.33991 # DEPENDENCYPART_ARC
(20,21),-0.512164 # DEPENDENCYPART_ARC
(20,22),-1.5601 # DEPENDENCYPART_ARC
(20,23),-1.8273 # DEPENDENCYPART_ARC
(20,24),-1.93072 # DEPENDENCYPART_ARC
(21,3),-2.59755 # DEPENDENCYPART_ARC
(21,5),-2.40358 # DEPENDENCYPART_ARC
(21,7),-2.88648 # DEPENDENCYPART_ARC
(21,11),-2.72156 # DEPENDENCYPART_ARC
(21,12),-1.9335 # DEPENDENCYPART_ARC
(21,13),-1.64503 # DEPENDENCYPART_ARC
(21,15),-1.61198 # DEPENDENCYPART_ARC
(21,16),-1.20536 # DEPENDENCYPART_ARC
(21,17),-1.01887 # DEPENDENCYPART_ARC
(21,18),-1.30667 # DEPENDENCYPART_ARC
(21,19),-0.820447 # DEPENDENCYPART_ARC
(21,20),1.15478 # DEPENDENCYPART_ARC
(21,22),0.179371 # DEPENDENCYPART_ARC
(21,23),0.0817516 # DEPENDENCYPART_ARC
(21,24),-0.591445 # DEPENDENCYPART_ARC
(21,25),-1.09869 # DEPENDENCYPART_ARC
(22,18),-1.5052 # DEPENDENCYPART_ARC
(22,20),-1.35087 # DEPENDENCYPART_ARC
(22,23),-0.408438 # DEPENDENCYPART_ARC
(22,24),-0.922367 # DEPENDENCYPART_ARC
(23,15),-2.03721 # DEPENDENCYPART_ARC
(23,18),-1.37232 # DEPENDENCYPART_ARC
(23,19),-1.83935 # DEPENDENCYPART_ARC
(23,20),-1.85258 # DEPENDENCYPART_ARC
(23,21),-1.08208 # DEPENDENCYPART_ARC
(23,22),1.06329 # DEPENDENCYPART_ARC
(23,24),-0.127137 # DEPENDENCYPART_ARC
(23,25),-1.4849 # DEPENDENCYPART_ARC
(24,16),-1.5319 # DEPENDENCYPART_ARC
(24,17),-1.67765 # DEPENDENCYPART_ARC
(24,19),-1.43695 # DEPENDENCYPART_ARC
(24,20),-1.97535 # DEPENDENCYPART_ARC
(24,23),0.100798 # DEPENDENCYPART_ARC
(24,25),0.715905 # DEPENDENCYPART_ARC
(0,2),(0,8),-0.105141 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0579891 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0507206 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.125972 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.116691 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0594778 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.0591644 # DEPENDENCYPART_SIBL
(0,8),(0,14),-0.152898 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.152858 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.0503069 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.130986 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.121706 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.115649 # DEPENDENCYPART_SIBL
(0,13),(0,24),-0.115576 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.229381 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0168737 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0271284 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0159515 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0205103 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00368267 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0333282 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.040475 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0150673 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0431562 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0286315 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0175911 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0104088 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0205103 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0345821 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0288638 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0182391 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0635157 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.034268 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0346386 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0170727 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00925492 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.000407712 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00490646 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0106949 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00812402 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0225201 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0162095 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.00662114 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0175757 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.00971113 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0277299 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0271033 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0278028 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0402933 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0305925 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0262919 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.028178 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00338914 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0331501 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0207457 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0217507 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.0208881 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0341253 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0158543 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0294232 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0208907 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00528405 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0154575 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0326556 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0128864 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0114225 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0292262 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0478488 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0140962 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0314113 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0225186 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0125853 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0144714 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00891522 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0236629 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00263447 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.00586166 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.00614231 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0387187 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00715058 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0168519 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0170262 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0105572 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0259019 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0183712 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0183507 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.0295124 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00725147 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0440781 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0457595 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0185269 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0244612 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.009245 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.00667102 # DEPENDENCYPART_SIBL
(2,8),(2,25),0.00437024 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0140035 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0158896 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.00687975 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0244492 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.00730114 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0253423 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.000110813 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0195131 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00911855 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0315454 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0284849 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0268804 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.00689006 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0139051 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0259673 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0228109 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.0221804 # DEPENDENCYPART_SIBL
(2,11),(2,25),0.0291368 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0162095 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.00662114 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0175757 # DEPENDENCYPART_SIBL
(2,12),(2,25),-0.00971113 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0133868 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0172751 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.0202199 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.011638 # DEPENDENCYPART_SIBL
(2,14),(2,25),0.016839 # DEPENDENCYPART_SIBL
(2,17),(2,25),0.0336201 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0220114 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.144883 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0677024 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0566528 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00097405 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0163963 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0658464 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.115852 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0055355 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.00071072 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.195453 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0338019 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0496882 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.041466 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.00590771 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0401535 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0345694 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00672977 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0012025 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0154138 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0598792 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00444754 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00271254 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0425568 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.436991 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0109782 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00370031 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0211009 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0974813 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00441798 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0102528 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.05574 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0086201 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0115832 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0282648 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0213889 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.013217 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0297162 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00710746 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0171573 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0493004 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0183549 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.00286654 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0169996 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00691145 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0124485 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.00366658 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0235514 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.015326 # DEPENDENCYPART_SIBL
(4,9),(4,12),0.0287661 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00716303 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0132238 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0375789 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.00709296 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.000971694 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0182049 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.022316 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0300355 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0167353 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0532211 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0478835 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.035993 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0240038 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0838682 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.00386744 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0300955 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0710948 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0817193 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.170503 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.142227 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0663426 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.084057 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.936142 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.126609 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.243838 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.125918 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.515351 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.321821 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.141741 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.13051 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.268139 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.219817 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0516903 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.111248 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0275657 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0490709 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0512477 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.00581785 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0191281 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.186514 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0357103 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0835527 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0839971 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.000807501 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.00155985 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0148806 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0334695 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0356389 # DEPENDENCYPART_SIBL
