# _root_ Humana contends that $ 8,000 represents an extreme case and that its regular charge for lithotripsy is $ 4,900 .
#goldHeads=2,0,6,5,6,10,9,9,6,2,17,14,14,17,14,15,10,19,17,2,
#predictedHeads=2,0,10,5,6,10,9,9,6,2,17,14,14,17,14,15,10,19,17,2,
(14,18),-1.60999 # DEPENDENCYPART_ARC
(14,19),-1.95344 # DEPENDENCYPART_ARC
(14,20),-1.7343 # DEPENDENCYPART_ARC
(15,13),-1.61037 # DEPENDENCYPART_ARC
(15,14),-0.705705 # DEPENDENCYPART_ARC
(15,16),0.770464 # DEPENDENCYPART_ARC
(15,17),-1.02591 # DEPENDENCYPART_ARC
(15,18),-1.68952 # DEPENDENCYPART_ARC
(15,19),-2.06711 # DEPENDENCYPART_ARC
(16,7),-2.64301 # DEPENDENCYPART_ARC
(16,12),-1.23394 # DEPENDENCYPART_ARC
(16,13),-1.40851 # DEPENDENCYPART_ARC
(16,14),-0.760261 # DEPENDENCYPART_ARC
(16,15),-0.148129 # DEPENDENCYPART_ARC
(16,17),-0.203613 # DEPENDENCYPART_ARC
(16,18),-1.5792 # DEPENDENCYPART_ARC
(16,19),-1.76024 # DEPENDENCYPART_ARC
(17,1),-0.84159 # DEPENDENCYPART_ARC
(17,2),-1.80706 # DEPENDENCYPART_ARC
(17,3),0.07106 # DEPENDENCYPART_ARC
(17,4),-1.40491 # DEPENDENCYPART_ARC
(17,5),-1.18905 # DEPENDENCYPART_ARC
(17,6),-1.62644 # DEPENDENCYPART_ARC
(17,7),-1.2293 # DEPENDENCYPART_ARC
(17,8),-1.10941 # DEPENDENCYPART_ARC
(17,9),-0.609649 # DEPENDENCYPART_ARC
(17,10),-0.717188 # DEPENDENCYPART_ARC
(17,11),0.326269 # DEPENDENCYPART_ARC
(17,13),-1.06364 # DEPENDENCYPART_ARC
(17,14),-0.14154 # DEPENDENCYPART_ARC
(17,15),-0.158874 # DEPENDENCYPART_ARC
(17,16),0.831996 # DEPENDENCYPART_ARC
(17,18),0.0629746 # DEPENDENCYPART_ARC
(17,19),-0.548824 # DEPENDENCYPART_ARC
(17,20),0.198463 # DEPENDENCYPART_ARC
(18,13),-1.22707 # DEPENDENCYPART_ARC
(18,14),-1.09384 # DEPENDENCYPART_ARC
(18,15),-0.967276 # DEPENDENCYPART_ARC
(18,16),-0.920061 # DEPENDENCYPART_ARC
(18,19),0.0292889 # DEPENDENCYPART_ARC
(18,20),-1.04885 # DEPENDENCYPART_ARC
(19,11),-0.796406 # DEPENDENCYPART_ARC
(19,14),-1.03191 # DEPENDENCYPART_ARC
(19,15),-0.829598 # DEPENDENCYPART_ARC
(19,16),-0.784709 # DEPENDENCYPART_ARC
(19,18),0.983707 # DEPENDENCYPART_ARC
(19,20),-0.0978722 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.124325 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0226045 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.022674 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.125291 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.10513 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.125876 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0742602 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0747367 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.225592 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.182079 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.235543 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0232295 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.119177 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0669336 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.13359 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0981563 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.0567578 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.104818 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.182079 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.235556 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.155598 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00529694 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0121256 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0123099 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00521388 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0246312 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0179126 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0035154 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00584453 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0329011 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0330965 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0325435 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0679815 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.0142075 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0325056 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0322141 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0240037 # DEPENDENCYPART_SIBL
(1,4),(1,17),-0.0521104 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0503514 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0106305 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.00720384 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.014146 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.0110516 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0272806 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0205811 # DEPENDENCYPART_SIBL
(1,6),(1,20),-0.00857339 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0110144 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.00189754 # DEPENDENCYPART_SIBL
(1,17),(1,20),0.027966 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0433407 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0609288 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0299257 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0155207 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0126193 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00815442 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0183192 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0433407 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0197703 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0188255 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.00909005 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0675922 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0787813 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0601924 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0674478 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0625617 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0545013 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0587636 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.117271 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0493966 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0648699 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.114542 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0420578 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0404795 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0193352 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0259215 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0142916 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0230545 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0288517 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0141268 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0562407 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0446171 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.00394602 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0206253 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0313695 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0415948 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0183065 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0569536 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0432078 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00788348 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0392841 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.00744535 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0397148 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0157417 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0613842 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0531143 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0164291 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0241124 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0147836 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0118843 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.033479 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0131195 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0262482 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0330128 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00326659 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0473021 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0105267 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0566702 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0711444 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0451713 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0210558 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0416348 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0187945 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.027411 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0226498 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0274786 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0182337 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0074613 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0493966 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0648699 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.114542 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.0420578 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0130045 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0291819 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.0187521 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0758184 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0179277 # DEPENDENCYPART_SIBL
(2,17),(2,20),0.0199747 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0676623 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0756959 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0302251 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0299453 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0226253 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0378572 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0944898 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0673121 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0550285 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0940425 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0940618 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0473499 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0482724 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.00570949 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.131353 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0493182 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0315272 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0336873 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0364986 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0197974 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0153894 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0336879 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0233094 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0235182 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.00631834 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.000307413 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00735792 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0495592 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0019398 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0570561 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0347815 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0495582 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00472549 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00436115 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0352682 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0406282 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0233581 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00787384 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0163431 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0295969 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0222134 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0024412 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.00268579 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.00228495 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.00496652 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0281326 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0482537 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0679814 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0679342 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0338066 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0329588 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0573017 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0659699 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0434399 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0283689 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0207585 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0111715 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0100467 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.013323 # DEPENDENCYPART_SIBL
(4,9),(4,20),4.12379e-05 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0652102 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0493104 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0369001 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.036766 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0575686 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.00872278 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0175862 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.00795165 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.00786481 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0343628 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0122266 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0361945 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0353467 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0573017 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.064067 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0158319 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0133398 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.00414598 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0133227 # DEPENDENCYPART_SIBL
(4,16),(4,20),0.00211816 # DEPENDENCYPART_SIBL
(4,19),(4,20),-0.000292337 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0424699 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0373619 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0088699 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0101701 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0129549 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.16667 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.108003 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.179795 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.200832 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0167229 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0126485 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0301158 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00209278 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.00490753 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0157238 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00376128 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0780055 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.028597 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0570079 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0916503 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00388305 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0280745 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0234005 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0729426 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0164754 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.000149826 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0131339 # DEPENDENCYPART_SIBL
(6,1),(6,16),0.0101835 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0211382 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0549407 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0258203 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0197835 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0203208 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0691421 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0155219 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0294351 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0131915 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0759326 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0204163 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.012227 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0198807 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0202232 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0316535 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0407039 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0466193 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0203933 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0646033 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0423085 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.00434927 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0328622 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0851792 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0463598 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0314904 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0411525 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0245048 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0370588 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0828077 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0105174 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0434787 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.000988597 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0347341 # DEPENDENCYPART_SIBL
