# _root_ As the campaign hits the home stretch , however , voters still have very little idea what they can expect from him .
#goldHeads=4,3,4,13,7,7,4,13,13,13,13,13,0,15,16,13,20,19,16,19,20,21,13,
#predictedHeads=4,3,4,13,7,7,4,13,13,13,13,13,0,15,16,13,20,19,16,19,20,21,13,
(6,9),-2.16719 # DEPENDENCYPART_ARC
(6,13),-2.34069 # DEPENDENCYPART_ARC
(7,1),-1.59567 # DEPENDENCYPART_ARC
(7,2),-1.48119 # DEPENDENCYPART_ARC
(7,3),-0.911444 # DEPENDENCYPART_ARC
(7,4),-1.11139 # DEPENDENCYPART_ARC
(7,5),0.274354 # DEPENDENCYPART_ARC
(7,6),1.81649 # DEPENDENCYPART_ARC
(7,8),-0.138068 # DEPENDENCYPART_ARC
(7,9),-1.78614 # DEPENDENCYPART_ARC
(7,10),-1.80236 # DEPENDENCYPART_ARC
(7,11),-1.93344 # DEPENDENCYPART_ARC
(7,12),-1.93205 # DEPENDENCYPART_ARC
(7,13),-2.22361 # DEPENDENCYPART_ARC
(7,14),-1.92956 # DEPENDENCYPART_ARC
(7,15),-2.04892 # DEPENDENCYPART_ARC
(7,16),-2.09917 # DEPENDENCYPART_ARC
(7,19),-2.19817 # DEPENDENCYPART_ARC
(7,23),-2.26181 # DEPENDENCYPART_ARC
(8,9),-0.700197 # DEPENDENCYPART_ARC
(9,1),-2.00321 # DEPENDENCYPART_ARC
(9,3),-1.71037 # DEPENDENCYPART_ARC
(9,5),-1.83686 # DEPENDENCYPART_ARC
(9,6),-1.47015 # DEPENDENCYPART_ARC
(9,7),-1.56416 # DEPENDENCYPART_ARC
(9,8),0.267411 # DEPENDENCYPART_ARC
(9,10),-0.296351 # DEPENDENCYPART_ARC
(9,11),-1.45393 # DEPENDENCYPART_ARC
(9,12),-1.69657 # DEPENDENCYPART_ARC
(9,13),-1.74237 # DEPENDENCYPART_ARC
(9,14),-2.07928 # DEPENDENCYPART_ARC
(9,16),-2.215 # DEPENDENCYPART_ARC
(9,21),-2.15407 # DEPENDENCYPART_ARC
(10,9),-0.442948 # DEPENDENCYPART_ARC
(11,1),-1.45222 # DEPENDENCYPART_ARC
(11,2),-1.4745 # DEPENDENCYPART_ARC
(11,3),-1.9037 # DEPENDENCYPART_ARC
(11,5),-0.587742 # DEPENDENCYPART_ARC
(11,6),-0.531169 # DEPENDENCYPART_ARC
(11,7),-0.903204 # DEPENDENCYPART_ARC
(11,8),-1.83976 # DEPENDENCYPART_ARC
(11,9),-1.10046 # DEPENDENCYPART_ARC
(11,10),0.0476485 # DEPENDENCYPART_ARC
(11,12),-0.267551 # DEPENDENCYPART_ARC
(11,13),-1.02358 # DEPENDENCYPART_ARC
(11,14),-1.31126 # DEPENDENCYPART_ARC
(11,15),-1.44631 # DEPENDENCYPART_ARC
(11,16),-1.67212 # DEPENDENCYPART_ARC
(11,19),-1.47216 # DEPENDENCYPART_ARC
(11,20),-1.66586 # DEPENDENCYPART_ARC
(11,21),-1.43589 # DEPENDENCYPART_ARC
(11,23),-1.85474 # DEPENDENCYPART_ARC
(12,1),-1.88094 # DEPENDENCYPART_ARC
(12,3),-1.58309 # DEPENDENCYPART_ARC
(12,6),-1.55426 # DEPENDENCYPART_ARC
(12,7),-1.68664 # DEPENDENCYPART_ARC
(12,10),-1.33366 # DEPENDENCYPART_ARC
(12,11),-0.399179 # DEPENDENCYPART_ARC
(12,14),-1.50951 # DEPENDENCYPART_ARC
(12,15),-1.58367 # DEPENDENCYPART_ARC
(12,16),-1.73381 # DEPENDENCYPART_ARC
(12,19),-1.64384 # DEPENDENCYPART_ARC
(12,21),-1.86676 # DEPENDENCYPART_ARC
(13,1),-0.706251 # DEPENDENCYPART_ARC
(13,2),-1.65032 # DEPENDENCYPART_ARC
(13,3),-0.656099 # DEPENDENCYPART_ARC
(13,4),-1.6613 # DEPENDENCYPART_ARC
(13,5),-1.3753 # DEPENDENCYPART_ARC
(13,6),-0.778259 # DEPENDENCYPART_ARC
(13,7),-0.726696 # DEPENDENCYPART_ARC
(13,8),-1.62757 # DEPENDENCYPART_ARC
(13,9),-1.14439 # DEPENDENCYPART_ARC
(13,10),-0.581258 # DEPENDENCYPART_ARC
(13,11),-0.178152 # DEPENDENCYPART_ARC
(13,12),1.0081 # DEPENDENCYPART_ARC
(13,14),0.441853 # DEPENDENCYPART_ARC
(13,15),-0.298537 # DEPENDENCYPART_ARC
(13,16),-0.14866 # DEPENDENCYPART_ARC
(13,19),-0.953441 # DEPENDENCYPART_ARC
(13,20),-0.597046 # DEPENDENCYPART_ARC
(13,21),-0.941294 # DEPENDENCYPART_ARC
(13,23),-0.366844 # DEPENDENCYPART_ARC
(14,11),-1.61367 # DEPENDENCYPART_ARC
(14,12),-1.57568 # DEPENDENCYPART_ARC
(14,13),-0.318876 # DEPENDENCYPART_ARC
(14,15),0.0259984 # DEPENDENCYPART_ARC
(14,16),-0.741636 # DEPENDENCYPART_ARC
(14,19),-0.913066 # DEPENDENCYPART_ARC
(14,20),-1.03529 # DEPENDENCYPART_ARC
(14,21),-1.34698 # DEPENDENCYPART_ARC
(14,23),-1.20618 # DEPENDENCYPART_ARC
(15,3),-1.41539 # DEPENDENCYPART_ARC
(15,7),-1.32998 # DEPENDENCYPART_ARC
(15,9),-1.95873 # DEPENDENCYPART_ARC
(15,11),-1.20527 # DEPENDENCYPART_ARC
(15,12),-1.23469 # DEPENDENCYPART_ARC
(15,14),0.792246 # DEPENDENCYPART_ARC
(15,16),-0.596306 # DEPENDENCYPART_ARC
(15,19),-1.33347 # DEPENDENCYPART_ARC
(15,20),-1.40171 # DEPENDENCYPART_ARC
(16,2),-2.17709 # DEPENDENCYPART_ARC
(16,5),-1.59562 # DEPENDENCYPART_ARC
(16,6),-1.76809 # DEPENDENCYPART_ARC
(16,10),-2.04394 # DEPENDENCYPART_ARC
(16,11),-1.13474 # DEPENDENCYPART_ARC
(16,12),-1.1017 # DEPENDENCYPART_ARC
(16,13),-1.18492 # DEPENDENCYPART_ARC
(16,14),-0.286888 # DEPENDENCYPART_ARC
(16,15),1.22413 # DEPENDENCYPART_ARC
(16,18),-1.1376 # DEPENDENCYPART_ARC
(16,19),-0.762296 # DEPENDENCYPART_ARC
(16,20),-0.841839 # DEPENDENCYPART_ARC
(16,21),-1.40828 # DEPENDENCYPART_ARC
(16,23),-1.63134 # DEPENDENCYPART_ARC
(17,20),-0.913338 # DEPENDENCYPART_ARC
(17,23),-0.845225 # DEPENDENCYPART_ARC
(18,20),-0.97364 # DEPENDENCYPART_ARC
(18,21),-1.24161 # DEPENDENCYPART_ARC
(19,1),-1.28671 # DEPENDENCYPART_ARC
(19,3),-1.88078 # DEPENDENCYPART_ARC
(19,4),-1.43807 # DEPENDENCYPART_ARC
(19,5),-2.01046 # DEPENDENCYPART_ARC
(19,6),-1.59413 # DEPENDENCYPART_ARC
(19,7),-1.52015 # DEPENDENCYPART_ARC
(19,8),-1.88081 # DEPENDENCYPART_ARC
(19,9),-1.79729 # DEPENDENCYPART_ARC
(19,10),-1.50749 # DEPENDENCYPART_ARC
(19,11),-1.06619 # DEPENDENCYPART_ARC
(19,12),-1.25373 # DEPENDENCYPART_ARC
(19,13),-1.22156 # DEPENDENCYPART_ARC
(19,14),-1.20144 # DEPENDENCYPART_ARC
(19,15),-1.15653 # DEPENDENCYPART_ARC
(19,16),-0.835149 # DEPENDENCYPART_ARC
(19,17),-0.439316 # DEPENDENCYPART_ARC
(19,18),0.900532 # DEPENDENCYPART_ARC
(19,20),1.3504 # DEPENDENCYPART_ARC
(19,21),-1.25185 # DEPENDENCYPART_ARC
(19,23),-0.92793 # DEPENDENCYPART_ARC
(20,4),-2.47008 # DEPENDENCYPART_ARC
(20,8),-3.14437 # DEPENDENCYPART_ARC
(20,10),-2.24633 # DEPENDENCYPART_ARC
(20,11),-1.74609 # DEPENDENCYPART_ARC
(20,12),-1.95285 # DEPENDENCYPART_ARC
(20,13),-1.91693 # DEPENDENCYPART_ARC
(20,14),-1.79151 # DEPENDENCYPART_ARC
(20,15),-1.77702 # DEPENDENCYPART_ARC
(20,16),-1.43344 # DEPENDENCYPART_ARC
(20,17),-0.739614 # DEPENDENCYPART_ARC
(20,18),-1.00524 # DEPENDENCYPART_ARC
(20,19),-0.553976 # DEPENDENCYPART_ARC
(20,21),0.549875 # DEPENDENCYPART_ARC
(20,22),-0.903496 # DEPENDENCYPART_ARC
(20,23),-0.398063 # DEPENDENCYPART_ARC
(21,17),-1.46763 # DEPENDENCYPART_ARC
(21,22),0.357782 # DEPENDENCYPART_ARC
(21,23),-0.732074 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.122466 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.129689 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0400912 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.129098 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.218687 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0867068 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.222584 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.0852585 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.227251 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.109456 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0452363 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0518159 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0451936 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00146111 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0726946 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.044562 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0835785 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.00125444 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0752581 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0318061 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0872484 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0477124 # DEPENDENCYPART_SIBL
(1,7),(1,8),0.00445761 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0752493 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0118703 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0232783 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.038168 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00334056 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0514614 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.032068 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.032068 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.200007 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0331261 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.140173 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.140173 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0156099 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0774651 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0774651 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0541655 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0541655 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.152126 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0371203 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0499994 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0884057 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0130288 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0325687 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.145174 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0506061 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.145174 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0400698 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0227497 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0424385 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0646896 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0737492 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0159712 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.016908 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0322926 # DEPENDENCYPART_SIBL
(4,1),(4,21),-0.0446928 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.0970755 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0249108 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.130931 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0717757 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0794415 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0308318 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.12048 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0308318 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0858099 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0790165 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.11165 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.137077 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0990783 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.067201 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0302003 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.101525 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.151512 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0950726 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.106261 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00308582 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0126751 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0070938 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0106094 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0070938 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0185035 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0340146 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00159231 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0244125 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0154837 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0156531 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.000675531 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0327533 # DEPENDENCYPART_SIBL
(4,3),(4,21),-0.0190696 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.0112532 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0356986 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0354133 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0222341 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00213752 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0222341 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0350804 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0311106 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.045434 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.000524191 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0294411 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0342612 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0133276 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0319688 # DEPENDENCYPART_SIBL
(4,5),(4,21),-0.0364343 # DEPENDENCYPART_SIBL
(4,5),(4,23),-0.0398028 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0299294 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00159952 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00816568 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00159952 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0296058 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.033686 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0103008 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00897452 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0141196 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.028964 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0127373 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0050903 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.028034 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.00957115 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.006768 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0104043 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.006768 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0344681 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0314474 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0278572 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0112131 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0151731 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0338264 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0142378 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.022699 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.0293806 # DEPENDENCYPART_SIBL
(4,7),(4,23),-0.00538788 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.094184 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0165968 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.00864128 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0169244 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0405411 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0417283 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.00232921 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.00744264 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.0665704 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0423733 # DEPENDENCYPART_SIBL
(4,8),(4,21),-0.0390024 # DEPENDENCYPART_SIBL
(4,8),(4,23),-0.00145924 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0552177 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.00355084 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.000286883 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0174182 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0283185 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0433703 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0147268 # DEPENDENCYPART_SIBL
(4,9),(4,19),0.0485619 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0318588 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0591749 # DEPENDENCYPART_SIBL
(4,9),(4,23),0.0675311 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.00864128 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0169244 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0405411 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0417283 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.00232921 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00744264 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0665704 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0423733 # DEPENDENCYPART_SIBL
(4,10),(4,21),-0.0390024 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.00145924 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0309086 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0331595 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0117519 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0146343 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0332876 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0143631 # DEPENDENCYPART_SIBL
(4,11),(4,20),-0.0277429 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.0333042 # DEPENDENCYPART_SIBL
(4,11),(4,23),-0.0111105 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0264386 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.00884617 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.0770965 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00415773 # DEPENDENCYPART_SIBL
(4,12),(4,19),0.0147477 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0377597 # DEPENDENCYPART_SIBL
(4,12),(4,21),0.056037 # DEPENDENCYPART_SIBL
(4,12),(4,23),-0.00874943 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0137958 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0344661 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.011834 # DEPENDENCYPART_SIBL
(4,13),(4,19),0.00294619 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0128197 # DEPENDENCYPART_SIBL
(4,13),(4,21),-0.0304017 # DEPENDENCYPART_SIBL
(4,13),(4,23),-0.00753908 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0421082 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0245271 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0280963 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0446155 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.00459549 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.058028 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.0395984 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.0153953 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0169156 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.0181046 # DEPENDENCYPART_SIBL
(4,15),(4,23),-0.0112885 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0213536 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0219543 # DEPENDENCYPART_SIBL
(4,16),(4,21),0.0381436 # DEPENDENCYPART_SIBL
(4,16),(4,23),-0.0025301 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.00732424 # DEPENDENCYPART_SIBL
(4,19),(4,21),-0.0652735 # DEPENDENCYPART_SIBL
(4,19),(4,23),0.00450469 # DEPENDENCYPART_SIBL
(4,20),(4,21),-0.0582091 # DEPENDENCYPART_SIBL
(4,20),(4,23),-0.0120433 # DEPENDENCYPART_SIBL
(4,21),(4,23),-0.00469363 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.014043 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0045489 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00681799 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0295528 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0481084 # DEPENDENCYPART_SIBL
(6,5),(6,7),2.76579e-05 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0260402 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.14211 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0221541 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00877425 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.00202838 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.037104 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0284553 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0203526 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.037104 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0313489 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0863747 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.062889 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0863747 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0513135 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0514862 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0281239 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.036071 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0671035 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0506638 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.0195099 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.0431558 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0468552 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.121868 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.385697 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0627723 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0220385 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0331193 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0220385 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00106331 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00802503 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.115016 # DEPENDENCYPART_SIBL
