# _root_ The buy-back , coupled with a nearly completed earlier purchase of 20 million shares , would reduce shares outstanding by more than 26 % .
#goldHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
#predictedHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
(10,6),-1.01688 # DEPENDENCYPART_ARC
(10,7),-0.919687 # DEPENDENCYPART_ARC
(10,8),-0.611959 # DEPENDENCYPART_ARC
(10,9),1.49196 # DEPENDENCYPART_ARC
(10,11),0.685933 # DEPENDENCYPART_ARC
(10,12),-0.781259 # DEPENDENCYPART_ARC
(10,13),-1.26154 # DEPENDENCYPART_ARC
(10,14),-1.08248 # DEPENDENCYPART_ARC
(10,15),-0.848136 # DEPENDENCYPART_ARC
(10,16),-1.36655 # DEPENDENCYPART_ARC
(10,17),-1.56576 # DEPENDENCYPART_ARC
(10,18),-1.66317 # DEPENDENCYPART_ARC
(10,19),-1.41463 # DEPENDENCYPART_ARC
(10,20),-1.45819 # DEPENDENCYPART_ARC
(10,22),-1.51855 # DEPENDENCYPART_ARC
(10,24),-1.48154 # DEPENDENCYPART_ARC
(10,25),-1.5693 # DEPENDENCYPART_ARC
(11,9),-1.1129 # DEPENDENCYPART_ARC
(11,10),-0.385456 # DEPENDENCYPART_ARC
(11,12),-0.304926 # DEPENDENCYPART_ARC
(11,13),-0.925832 # DEPENDENCYPART_ARC
(11,14),-0.514917 # DEPENDENCYPART_ARC
(11,15),-1.34936 # DEPENDENCYPART_ARC
(11,16),-1.88495 # DEPENDENCYPART_ARC
(11,17),-2.08622 # DEPENDENCYPART_ARC
(11,18),-2.5327 # DEPENDENCYPART_ARC
(12,11),-0.893681 # DEPENDENCYPART_ARC
(12,13),-0.863859 # DEPENDENCYPART_ARC
(12,15),-1.27776 # DEPENDENCYPART_ARC
(12,16),-1.79673 # DEPENDENCYPART_ARC
(12,17),-1.93022 # DEPENDENCYPART_ARC
(12,21),-2.00024 # DEPENDENCYPART_ARC
(13,10),-1.03482 # DEPENDENCYPART_ARC
(13,11),-0.953492 # DEPENDENCYPART_ARC
(13,12),0.657784 # DEPENDENCYPART_ARC
(13,15),-1.09936 # DEPENDENCYPART_ARC
(13,16),-1.59228 # DEPENDENCYPART_ARC
(13,21),-1.99111 # DEPENDENCYPART_ARC
(14,4),-1.30689 # DEPENDENCYPART_ARC
(14,5),-1.23896 # DEPENDENCYPART_ARC
(14,6),-1.64275 # DEPENDENCYPART_ARC
(14,7),-1.14043 # DEPENDENCYPART_ARC
(14,8),-1.16073 # DEPENDENCYPART_ARC
(14,9),-0.912734 # DEPENDENCYPART_ARC
(14,10),-1.33879 # DEPENDENCYPART_ARC
(14,11),-0.477126 # DEPENDENCYPART_ARC
(14,12),-0.459862 # DEPENDENCYPART_ARC
(14,13),0.780878 # DEPENDENCYPART_ARC
(14,15),0.305481 # DEPENDENCYPART_ARC
(14,16),-1.47679 # DEPENDENCYPART_ARC
(14,17),-1.59912 # DEPENDENCYPART_ARC
(14,18),-1.48429 # DEPENDENCYPART_ARC
(14,19),-1.67645 # DEPENDENCYPART_ARC
(14,20),-1.88923 # DEPENDENCYPART_ARC
(14,22),-1.95697 # DEPENDENCYPART_ARC
(14,23),-2.25975 # DEPENDENCYPART_ARC
(14,24),-1.62404 # DEPENDENCYPART_ARC
(14,25),-1.89916 # DEPENDENCYPART_ARC
(16,1),-1.55547 # DEPENDENCYPART_ARC
(16,2),-1.02151 # DEPENDENCYPART_ARC
(16,3),-2.16256 # DEPENDENCYPART_ARC
(16,4),-1.65763 # DEPENDENCYPART_ARC
(16,5),-1.28834 # DEPENDENCYPART_ARC
(16,6),-1.67794 # DEPENDENCYPART_ARC
(16,7),-1.67455 # DEPENDENCYPART_ARC
(16,8),-1.3361 # DEPENDENCYPART_ARC
(16,10),-1.28341 # DEPENDENCYPART_ARC
(16,11),-1.3009 # DEPENDENCYPART_ARC
(16,12),-1.50042 # DEPENDENCYPART_ARC
(16,13),-1.38917 # DEPENDENCYPART_ARC
(16,14),-0.974515 # DEPENDENCYPART_ARC
(16,15),0.623519 # DEPENDENCYPART_ARC
(16,17),1.43814 # DEPENDENCYPART_ARC
(16,18),-0.517491 # DEPENDENCYPART_ARC
(16,20),-1.01755 # DEPENDENCYPART_ARC
(16,22),-1.19207 # DEPENDENCYPART_ARC
(16,25),0.1891 # DEPENDENCYPART_ARC
(17,2),-2.12856 # DEPENDENCYPART_ARC
(17,5),-2.37201 # DEPENDENCYPART_ARC
(17,13),-2.29002 # DEPENDENCYPART_ARC
(17,14),-2.36431 # DEPENDENCYPART_ARC
(17,15),-1.03073 # DEPENDENCYPART_ARC
(17,18),0.447776 # DEPENDENCYPART_ARC
(17,19),-0.628716 # DEPENDENCYPART_ARC
(17,20),-0.836984 # DEPENDENCYPART_ARC
(17,21),-1.21214 # DEPENDENCYPART_ARC
(17,22),-1.48778 # DEPENDENCYPART_ARC
(17,24),-1.38828 # DEPENDENCYPART_ARC
(17,25),-0.586576 # DEPENDENCYPART_ARC
(18,4),-2.16295 # DEPENDENCYPART_ARC
(18,8),-2.06727 # DEPENDENCYPART_ARC
(18,12),-2.60354 # DEPENDENCYPART_ARC
(18,13),-2.15932 # DEPENDENCYPART_ARC
(18,14),-2.22608 # DEPENDENCYPART_ARC
(18,17),0.428644 # DEPENDENCYPART_ARC
(18,19),0.246996 # DEPENDENCYPART_ARC
(18,20),-0.611705 # DEPENDENCYPART_ARC
(18,21),-0.929972 # DEPENDENCYPART_ARC
(18,22),-0.972457 # DEPENDENCYPART_ARC
(18,23),-1.54164 # DEPENDENCYPART_ARC
(18,24),-1.47966 # DEPENDENCYPART_ARC
(18,25),-0.852866 # DEPENDENCYPART_ARC
(19,10),-2.10738 # DEPENDENCYPART_ARC
(19,14),-2.11409 # DEPENDENCYPART_ARC
(19,18),-0.360061 # DEPENDENCYPART_ARC
(19,20),0.232648 # DEPENDENCYPART_ARC
(19,21),-0.75931 # DEPENDENCYPART_ARC
(19,22),-0.857424 # DEPENDENCYPART_ARC
(19,23),-1.31694 # DEPENDENCYPART_ARC
(19,24),-1.34478 # DEPENDENCYPART_ARC
(19,25),-1.09531 # DEPENDENCYPART_ARC
(20,18),-1.39998 # DEPENDENCYPART_ARC
(20,19),-0.382973 # DEPENDENCYPART_ARC
(20,21),0.161557 # DEPENDENCYPART_ARC
(20,22),-0.733015 # DEPENDENCYPART_ARC
(20,23),-0.874003 # DEPENDENCYPART_ARC
(20,24),-0.850585 # DEPENDENCYPART_ARC
(21,20),-0.164 # DEPENDENCYPART_ARC
(21,22),0.0302251 # DEPENDENCYPART_ARC
(21,23),-0.873334 # DEPENDENCYPART_ARC
(21,24),-1.16648 # DEPENDENCYPART_ARC
(22,20),-1.05333 # DEPENDENCYPART_ARC
(22,21),0.144852 # DEPENDENCYPART_ARC
(22,23),0.905514 # DEPENDENCYPART_ARC
(22,24),-0.0596419 # DEPENDENCYPART_ARC
(22,25),-0.905527 # DEPENDENCYPART_ARC
(23,19),-1.68811 # DEPENDENCYPART_ARC
(23,22),-0.395741 # DEPENDENCYPART_ARC
(23,24),-0.160482 # DEPENDENCYPART_ARC
(24,19),-1.49268 # DEPENDENCYPART_ARC
(24,20),-0.956868 # DEPENDENCYPART_ARC
(24,21),-1.23341 # DEPENDENCYPART_ARC
(24,22),-0.202259 # DEPENDENCYPART_ARC
(24,23),1.03672 # DEPENDENCYPART_ARC
(25,24),-0.309676 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.103599 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0263203 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.102043 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.0500075 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.106172 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0622164 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.161783 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.072448 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.165921 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0892381 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0248525 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.0907354 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.0724481 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.167909 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.104832 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0189891 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00138637 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00301086 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0255114 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0231703 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.00817357 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00870734 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.140775 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.113837 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.102056 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0309421 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.131725 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0224112 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.00870734 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0289997 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.157076 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.00300124 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0489033 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.116478 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0286033 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0352547 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00299214 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00836012 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0183802 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0398566 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0369818 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00049609 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0335856 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0320955 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0477049 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.00261013 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0100226 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0114901 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0124926 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00580989 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0190044 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0211281 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.00173866 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00705311 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0199824 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.00226054 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.00515058 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.042403 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00577534 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0049091 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0171503 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0365852 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0176563 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.000299426 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0257719 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0328238 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0559372 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0195472 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0272943 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00639029 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0234621 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0159567 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0234092 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.011291 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00556677 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.00188078 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0128752 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.00661105 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0148439 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.00105113 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0105622 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.00271199 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0171887 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.00202214 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0212225 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0140152 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.000210156 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0105697 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0222006 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.000658403 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.00809959 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.00130884 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0262731 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0212957 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0187419 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.00948975 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.0123358 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.00049609 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0335856 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0320955 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0477049 # DEPENDENCYPART_SIBL
(2,15),(2,25),-0.00261013 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.00650632 # DEPENDENCYPART_SIBL
(2,16),(2,18),0.00301409 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0143135 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.0787904 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.0188656 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.00378064 # DEPENDENCYPART_SIBL
(2,17),(2,25),-0.00199597 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0128885 # DEPENDENCYPART_SIBL
(2,18),(2,25),0.00944306 # DEPENDENCYPART_SIBL
(2,19),(2,25),-0.000547819 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0272699 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0931864 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0926526 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.10033 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.148465 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0712545 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0573249 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.259349 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0461174 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.023266 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0553607 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0686768 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.104963 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00789407 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0688366 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0994289 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0658519 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0201929 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0159258 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00186896 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.00636981 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00238317 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00930758 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0004558 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.0162604 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0444396 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.137424 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0941812 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0049981 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00460696 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.117817 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0301078 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.158071 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0586629 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.00851482 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0518999 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0339234 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0270338 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0101186 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0214248 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0674989 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0312002 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0178522 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0287619 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0154884 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.00834249 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0307078 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0308136 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0315116 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0523133 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0376741 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0437084 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0373505 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0354194 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0344191 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0450321 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0848125 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0687422 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0890968 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0459391 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0544032 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0517851 # DEPENDENCYPART_SIBL
(4,7),(4,25),-0.0775936 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0339518 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0347319 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0370003 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.010594 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.043607 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0395434 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.010487 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0162188 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.035373 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.00329353 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0599505 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0313535 # DEPENDENCYPART_SIBL
(4,10),(4,25),-0.0199253 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0493165 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0266461 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0592972 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0690714 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0400463 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0478272 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.00682828 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.00932397 # DEPENDENCYPART_SIBL
(4,14),(4,25),0.0206124 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0215337 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.0332438 # DEPENDENCYPART_SIBL
(4,15),(4,25),0.00522725 # DEPENDENCYPART_SIBL
(4,16),(4,17),-0.0143114 # DEPENDENCYPART_SIBL
(4,16),(4,25),0.0180469 # DEPENDENCYPART_SIBL
(4,17),(4,25),0.0131753 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0180329 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0105346 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0264667 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0559153 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.032224 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0156441 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0116313 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0106066 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0254711 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0106066 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00049361 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.038471 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00474524 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0186117 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0542447 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0404083 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0695522 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0431267 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0695522 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00238333 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0280455 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0333326 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0401858 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0385556 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0405975 # DEPENDENCYPART_SIBL
