# _root_ London-based LIT Holdings , the largest financer of traders in the Chicago options and futures markets , said yesterday it will incur a second-half loss as a result of the market plunge .
#goldHeads=3,3,18,3,7,7,3,7,8,7,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
#predictedHeads=3,3,18,3,7,7,3,7,8,9,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
(9,5),-1.47459 # DEPENDENCYPART_ARC
(9,6),-1.3395 # DEPENDENCYPART_ARC
(9,7),-0.956846 # DEPENDENCYPART_ARC
(9,8),-0.205182 # DEPENDENCYPART_ARC
(9,10),0.437637 # DEPENDENCYPART_ARC
(9,11),-1.28597 # DEPENDENCYPART_ARC
(9,12),-1.1148 # DEPENDENCYPART_ARC
(9,13),-1.42744 # DEPENDENCYPART_ARC
(9,14),-0.936825 # DEPENDENCYPART_ARC
(9,16),-1.57406 # DEPENDENCYPART_ARC
(9,17),-1.45264 # DEPENDENCYPART_ARC
(9,21),-1.97403 # DEPENDENCYPART_ARC
(10,7),-1.49224 # DEPENDENCYPART_ARC
(10,8),-1.16376 # DEPENDENCYPART_ARC
(10,9),-0.489937 # DEPENDENCYPART_ARC
(10,11),0.0295877 # DEPENDENCYPART_ARC
(10,12),-0.138038 # DEPENDENCYPART_ARC
(10,13),-0.524529 # DEPENDENCYPART_ARC
(10,14),-0.833575 # DEPENDENCYPART_ARC
(10,15),-1.47516 # DEPENDENCYPART_ARC
(10,16),-1.51153 # DEPENDENCYPART_ARC
(10,17),-1.10138 # DEPENDENCYPART_ARC
(10,19),-3.67069 # DEPENDENCYPART_ARC
(10,21),-2.11615 # DEPENDENCYPART_ARC
(12,11),-0.687252 # DEPENDENCYPART_ARC
(12,13),-0.79076 # DEPENDENCYPART_ARC
(13,4),-2.27461 # DEPENDENCYPART_ARC
(13,5),-2.55613 # DEPENDENCYPART_ARC
(13,9),-1.33008 # DEPENDENCYPART_ARC
(13,10),-1.38739 # DEPENDENCYPART_ARC
(13,11),-0.0078515 # DEPENDENCYPART_ARC
(13,12),1.10047 # DEPENDENCYPART_ARC
(13,14),-0.685884 # DEPENDENCYPART_ARC
(13,15),-1.32347 # DEPENDENCYPART_ARC
(13,16),-1.79597 # DEPENDENCYPART_ARC
(13,17),-1.64912 # DEPENDENCYPART_ARC
(14,1),-1.97722 # DEPENDENCYPART_ARC
(14,2),-1.22459 # DEPENDENCYPART_ARC
(14,3),-0.924764 # DEPENDENCYPART_ARC
(14,4),-1.07434 # DEPENDENCYPART_ARC
(14,5),-1.87483 # DEPENDENCYPART_ARC
(14,7),-0.854052 # DEPENDENCYPART_ARC
(14,8),-1.09658 # DEPENDENCYPART_ARC
(14,9),-0.516845 # DEPENDENCYPART_ARC
(14,10),-0.91279 # DEPENDENCYPART_ARC
(14,11),-0.519722 # DEPENDENCYPART_ARC
(14,12),-0.130957 # DEPENDENCYPART_ARC
(14,13),2.16514 # DEPENDENCYPART_ARC
(14,15),1.68534 # DEPENDENCYPART_ARC
(14,16),0.0251645 # DEPENDENCYPART_ARC
(14,17),-1.25478 # DEPENDENCYPART_ARC
(14,18),-2.10633 # DEPENDENCYPART_ARC
(14,19),-1.87503 # DEPENDENCYPART_ARC
(14,21),-2.38662 # DEPENDENCYPART_ARC
(14,22),-2.72274 # DEPENDENCYPART_ARC
(14,25),-2.32259 # DEPENDENCYPART_ARC
(14,26),-2.28482 # DEPENDENCYPART_ARC
(14,29),-2.32667 # DEPENDENCYPART_ARC
(14,33),-1.13891 # DEPENDENCYPART_ARC
(15,11),-2.51587 # DEPENDENCYPART_ARC
(15,12),-2.29546 # DEPENDENCYPART_ARC
(15,16),-1.02985 # DEPENDENCYPART_ARC
(16,7),-1.58411 # DEPENDENCYPART_ARC
(16,8),-0.999158 # DEPENDENCYPART_ARC
(16,9),-1.17137 # DEPENDENCYPART_ARC
(16,10),-0.97883 # DEPENDENCYPART_ARC
(16,11),-0.326729 # DEPENDENCYPART_ARC
(16,12),0.283154 # DEPENDENCYPART_ARC
(16,13),-0.386613 # DEPENDENCYPART_ARC
(16,14),0.39431 # DEPENDENCYPART_ARC
(16,15),2.02451 # DEPENDENCYPART_ARC
(16,17),0.0777284 # DEPENDENCYPART_ARC
(16,18),-1.9046 # DEPENDENCYPART_ARC
(16,19),-1.81853 # DEPENDENCYPART_ARC
(16,21),-2.17242 # DEPENDENCYPART_ARC
(16,25),-1.82317 # DEPENDENCYPART_ARC
(16,28),-2.03325 # DEPENDENCYPART_ARC
(16,32),-2.20651 # DEPENDENCYPART_ARC
(18,1),-0.898039 # DEPENDENCYPART_ARC
(18,2),-1.03353 # DEPENDENCYPART_ARC
(18,3),-0.720008 # DEPENDENCYPART_ARC
(18,4),-1.1942 # DEPENDENCYPART_ARC
(18,5),-1.84444 # DEPENDENCYPART_ARC
(18,7),-1.72903 # DEPENDENCYPART_ARC
(18,8),-1.34611 # DEPENDENCYPART_ARC
(18,9),-1.4412 # DEPENDENCYPART_ARC
(18,10),-0.657141 # DEPENDENCYPART_ARC
(18,11),-1.59305 # DEPENDENCYPART_ARC
(18,12),-1.6868 # DEPENDENCYPART_ARC
(18,13),-1.56032 # DEPENDENCYPART_ARC
(18,14),-0.850076 # DEPENDENCYPART_ARC
(18,15),-1.40009 # DEPENDENCYPART_ARC
(18,16),-1.03946 # DEPENDENCYPART_ARC
(18,17),1.15722 # DEPENDENCYPART_ARC
(18,19),0.769979 # DEPENDENCYPART_ARC
(18,20),-0.482493 # DEPENDENCYPART_ARC
(18,21),-0.326563 # DEPENDENCYPART_ARC
(18,22),-0.507424 # DEPENDENCYPART_ARC
(18,25),-1.11341 # DEPENDENCYPART_ARC
(18,26),-1.27968 # DEPENDENCYPART_ARC
(18,28),-1.44126 # DEPENDENCYPART_ARC
(18,33),0.953314 # DEPENDENCYPART_ARC
(19,14),-2.21514 # DEPENDENCYPART_ARC
(19,16),-2.53105 # DEPENDENCYPART_ARC
(19,18),0.0754736 # DEPENDENCYPART_ARC
(19,20),-0.287138 # DEPENDENCYPART_ARC
(19,21),-0.845969 # DEPENDENCYPART_ARC
(19,22),-0.984626 # DEPENDENCYPART_ARC
(19,25),-1.49487 # DEPENDENCYPART_ARC
(19,26),-1.00153 # DEPENDENCYPART_ARC
(19,28),-1.58808 # DEPENDENCYPART_ARC
(19,29),-1.75716 # DEPENDENCYPART_ARC
(19,32),-1.88114 # DEPENDENCYPART_ARC
(20,22),-0.899367 # DEPENDENCYPART_ARC
(21,2),-1.74431 # DEPENDENCYPART_ARC
(21,4),-3.16636 # DEPENDENCYPART_ARC
(21,7),-2.05667 # DEPENDENCYPART_ARC
(21,8),-2.10498 # DEPENDENCYPART_ARC
(21,9),-2.07147 # DEPENDENCYPART_ARC
(21,10),-1.49546 # DEPENDENCYPART_ARC
(21,12),-1.93648 # DEPENDENCYPART_ARC
(21,13),-1.90709 # DEPENDENCYPART_ARC
(21,14),-1.06927 # DEPENDENCYPART_ARC
(21,15),-1.89288 # DEPENDENCYPART_ARC
(21,16),-1.93927 # DEPENDENCYPART_ARC
(21,17),-1.33687 # DEPENDENCYPART_ARC
(21,18),-1.13381 # DEPENDENCYPART_ARC
(21,19),-0.734293 # DEPENDENCYPART_ARC
(21,20),0.789136 # DEPENDENCYPART_ARC
(21,22),1.40359 # DEPENDENCYPART_ARC
(21,26),-1.33432 # DEPENDENCYPART_ARC
(21,29),-1.45106 # DEPENDENCYPART_ARC
(21,33),-0.487352 # DEPENDENCYPART_ARC
(22,7),-2.80427 # DEPENDENCYPART_ARC
(22,19),-1.39165 # DEPENDENCYPART_ARC
(22,20),-1.11038 # DEPENDENCYPART_ARC
(22,21),-0.712317 # DEPENDENCYPART_ARC
(22,23),0.0378523 # DEPENDENCYPART_ARC
(22,24),-0.662073 # DEPENDENCYPART_ARC
(22,25),0.0217474 # DEPENDENCYPART_ARC
(22,26),-0.678305 # DEPENDENCYPART_ARC
(22,27),-1.21482 # DEPENDENCYPART_ARC
(22,28),-0.661884 # DEPENDENCYPART_ARC
(22,29),-1.28237 # DEPENDENCYPART_ARC
(22,30),-1.2567 # DEPENDENCYPART_ARC
(22,31),-1.16523 # DEPENDENCYPART_ARC
(22,32),-1.11675 # DEPENDENCYPART_ARC
(22,33),-0.209913 # DEPENDENCYPART_ARC
(23,24),-0.342274 # DEPENDENCYPART_ARC
(23,26),-1.09284 # DEPENDENCYPART_ARC
(23,29),-1.2509 # DEPENDENCYPART_ARC
(24,19),-1.52681 # DEPENDENCYPART_ARC
(24,20),-1.74608 # DEPENDENCYPART_ARC
(24,23),-0.0589441 # DEPENDENCYPART_ARC
(24,26),-0.957939 # DEPENDENCYPART_ARC
(24,28),-1.49752 # DEPENDENCYPART_ARC
(24,29),-1.35456 # DEPENDENCYPART_ARC
(25,11),-2.78041 # DEPENDENCYPART_ARC
(25,18),-1.20856 # DEPENDENCYPART_ARC
(25,19),-1.64418 # DEPENDENCYPART_ARC
(25,20),-1.21975 # DEPENDENCYPART_ARC
(25,23),0.523308 # DEPENDENCYPART_ARC
(25,24),1.72027 # DEPENDENCYPART_ARC
(25,26),0.372033 # DEPENDENCYPART_ARC
(25,27),-1.43451 # DEPENDENCYPART_ARC
(25,28),-1.34237 # DEPENDENCYPART_ARC
(25,29),-1.15548 # DEPENDENCYPART_ARC
(25,32),-1.75222 # DEPENDENCYPART_ARC
(26,24),-1.24255 # DEPENDENCYPART_ARC
(26,25),-0.42034 # DEPENDENCYPART_ARC
(26,27),-0.142982 # DEPENDENCYPART_ARC
(26,28),-0.314329 # DEPENDENCYPART_ARC
(26,29),-1.24115 # DEPENDENCYPART_ARC
(26,31),-1.71873 # DEPENDENCYPART_ARC
(26,32),-1.82855 # DEPENDENCYPART_ARC
(27,29),-1.03691 # DEPENDENCYPART_ARC
(28,23),-1.56839 # DEPENDENCYPART_ARC
(28,24),-1.47275 # DEPENDENCYPART_ARC
(28,25),-1.62208 # DEPENDENCYPART_ARC
(28,26),-1.01429 # DEPENDENCYPART_ARC
(28,27),1.11023 # DEPENDENCYPART_ARC
(28,29),0.619701 # DEPENDENCYPART_ARC
(28,30),-1.10348 # DEPENDENCYPART_ARC
(28,31),-1.0188 # DEPENDENCYPART_ARC
(28,32),-1.34572 # DEPENDENCYPART_ARC
(29,25),-1.58839 # DEPENDENCYPART_ARC
(29,27),-1.32491 # DEPENDENCYPART_ARC
(29,28),-0.446996 # DEPENDENCYPART_ARC
(29,30),-0.0460301 # DEPENDENCYPART_ARC
(29,31),-0.241231 # DEPENDENCYPART_ARC
(29,32),-0.585729 # DEPENDENCYPART_ARC
(30,31),-0.414568 # DEPENDENCYPART_ARC
(31,30),-0.0102756 # DEPENDENCYPART_ARC
(31,32),-0.787938 # DEPENDENCYPART_ARC
(32,23),-2.13355 # DEPENDENCYPART_ARC
(32,24),-1.67089 # DEPENDENCYPART_ARC
(32,27),-0.961575 # DEPENDENCYPART_ARC
(32,28),-0.897314 # DEPENDENCYPART_ARC
(32,30),0.569016 # DEPENDENCYPART_ARC
(32,31),1.78998 # DEPENDENCYPART_ARC
(33,32),-0.327548 # DEPENDENCYPART_ARC
(0,3),(0,18),-0.117066 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0406863 # DEPENDENCYPART_SIBL
(0,18),(0,21),-0.098694 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0260334 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0160247 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.00588536 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0884778 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.0094389 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.00588536 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00677728 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0187009 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00736967 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0129073 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0187009 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0128519 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0115006 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0158801 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0128519 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0419113 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0346147 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.036982 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00858164 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0155455 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0225044 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0622801 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0158945 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00432015 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0158945 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0403926 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.00625498 # DEPENDENCYPART_SIBL
(3,1),(3,28),-0.0160754 # DEPENDENCYPART_SIBL
(3,1),(3,33),-0.0217435 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0511685 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0192075 # DEPENDENCYPART_SIBL
(3,2),(3,17),0.0511685 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0353804 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.0381506 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.00702926 # DEPENDENCYPART_SIBL
(3,2),(3,33),0.00846053 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0412969 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0364822 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0148945 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.0395324 # DEPENDENCYPART_SIBL
(3,4),(3,28),0.0436947 # DEPENDENCYPART_SIBL
(3,4),(3,33),-0.00306651 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.0149862 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.00242994 # DEPENDENCYPART_SIBL
(3,7),(3,25),-0.00675327 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0110245 # DEPENDENCYPART_SIBL
(3,7),(3,33),0.0198025 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.0148945 # DEPENDENCYPART_SIBL
(3,17),(3,25),0.0395324 # DEPENDENCYPART_SIBL
(3,17),(3,28),0.0436947 # DEPENDENCYPART_SIBL
(3,17),(3,33),-0.00306651 # DEPENDENCYPART_SIBL
(3,19),(3,25),-0.00821259 # DEPENDENCYPART_SIBL
(3,19),(3,28),-0.0124839 # DEPENDENCYPART_SIBL
(3,19),(3,33),0.0255413 # DEPENDENCYPART_SIBL
(3,25),(3,28),-0.010559 # DEPENDENCYPART_SIBL
(3,25),(3,33),0.0212454 # DEPENDENCYPART_SIBL
(3,28),(3,33),0.0362571 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.117812 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0284646 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.0330491 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0202627 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0323327 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.00791301 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.435879 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.233653 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0171095 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0527205 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.048877 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.127204 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.117214 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0381169 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0129073 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0108439 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0902815 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0639331 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.00839861 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00934907 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0822905 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0115863 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.00533599 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0187009 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.0326345 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0373431 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0264044 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.025527 # DEPENDENCYPART_SIBL
(7,1),(7,25),-0.0093045 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.0433113 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0273595 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0412196 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.125235 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.012216 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0416655 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0184964 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.00303659 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.114509 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.066058 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0273034 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0107613 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0278132 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.010059 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0529931 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0252939 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0368635 # DEPENDENCYPART_SIBL
(7,2),(7,21),-0.00176143 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.0138969 # DEPENDENCYPART_SIBL
(7,2),(7,25),0.0396338 # DEPENDENCYPART_SIBL
(7,2),(7,26),-0.042221 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0371897 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.124553 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0115531 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0529279 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0329697 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0142914 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.107796 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0805314 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0417768 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0146021 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0422866 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0245324 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0692793 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0220952 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.0513369 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.0049509 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0106982 # DEPENDENCYPART_SIBL
(7,3),(7,25),0.0541071 # DEPENDENCYPART_SIBL
(7,3),(7,26),-0.0309501 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.059046 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0234451 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.147431 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0210451 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0175352 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.14176 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0018237 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0199228 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0346062 # DEPENDENCYPART_SIBL
(7,4),(7,15),-0.0218633 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0137994 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.140625 # DEPENDENCYPART_SIBL
(7,4),(7,18),0.0455283 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0102707 # DEPENDENCYPART_SIBL
(7,4),(7,21),-0.0068879 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.010007 # DEPENDENCYPART_SIBL
(7,4),(7,25),-0.0268567 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.0673088 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0214675 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.267873 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0107153 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00506596 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.141075 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.00543533 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0106833 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00582033 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.00158607 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0106031 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.00872017 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.107927 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0553549 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.0983022 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.132166 # DEPENDENCYPART_SIBL
(7,5),(7,25),-0.0213438 # DEPENDENCYPART_SIBL
(7,5),(7,26),-0.179699 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0168711 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.000797522 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.155012 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0541136 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.02004 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.00229232 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0927283 # DEPENDENCYPART_SIBL
(7,6),(7,15),5.50479e-05 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.00630536 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0536915 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0383714 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0489844 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0179221 # DEPENDENCYPART_SIBL
(7,6),(7,22),0.0312639 # DEPENDENCYPART_SIBL
(7,6),(7,25),0.00233608 # DEPENDENCYPART_SIBL
(7,6),(7,26),0.0707704 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0048431 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0230631 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0875378 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0154452 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0037492 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0463804 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.000613334 # DEPENDENCYPART_SIBL
(7,8),(7,16),-0.00354133 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.0225044 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0321312 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.00502636 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.073363 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0397485 # DEPENDENCYPART_SIBL
(7,8),(7,25),-0.00448369 # DEPENDENCYPART_SIBL
(7,8),(7,26),-0.00499677 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0377843 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0117418 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00720047 # DEPENDENCYPART_SIBL
