# _root_ Kellogg suspended work on a $ 1 billion cereal plant , indicating a pessimistic outlook by the cereal maker , which has been losing market share .
#goldHeads=2,0,2,3,10,10,6,6,10,4,2,2,15,15,12,15,19,19,16,19,22,19,22,23,26,24,2,
#predictedHeads=2,0,2,3,10,10,6,6,10,4,2,2,15,15,12,15,19,19,16,19,22,19,22,23,26,24,2,
(4,5),0.044133 # DEPENDENCYPART_ARC
(4,6),-0.932881 # DEPENDENCYPART_ARC
(4,7),-1.4513 # DEPENDENCYPART_ARC
(4,8),-1.68449 # DEPENDENCYPART_ARC
(4,9),-1.04371 # DEPENDENCYPART_ARC
(4,10),-1.23577 # DEPENDENCYPART_ARC
(4,11),-1.46222 # DEPENDENCYPART_ARC
(4,12),-2.04118 # DEPENDENCYPART_ARC
(4,15),-2.99988 # DEPENDENCYPART_ARC
(4,27),-0.712288 # DEPENDENCYPART_ARC
(5,4),-0.38538 # DEPENDENCYPART_ARC
(5,7),-1.11097 # DEPENDENCYPART_ARC
(5,11),-1.00935 # DEPENDENCYPART_ARC
(5,12),-1.70312 # DEPENDENCYPART_ARC
(6,3),-1.06271 # DEPENDENCYPART_ARC
(6,4),-0.915366 # DEPENDENCYPART_ARC
(6,5),0.266013 # DEPENDENCYPART_ARC
(6,7),1.19479 # DEPENDENCYPART_ARC
(6,8),0.367904 # DEPENDENCYPART_ARC
(6,9),-0.745799 # DEPENDENCYPART_ARC
(6,10),-0.92095 # DEPENDENCYPART_ARC
(6,11),-0.854561 # DEPENDENCYPART_ARC
(6,12),-1.47511 # DEPENDENCYPART_ARC
(6,14),-1.4207 # DEPENDENCYPART_ARC
(6,15),-1.68883 # DEPENDENCYPART_ARC
(6,16),-2.09071 # DEPENDENCYPART_ARC
(6,19),-1.92857 # DEPENDENCYPART_ARC
(6,20),-1.42528 # DEPENDENCYPART_ARC
(6,23),-1.69209 # DEPENDENCYPART_ARC
(6,24),-1.71807 # DEPENDENCYPART_ARC
(6,27),-0.705619 # DEPENDENCYPART_ARC
(7,3),-1.70295 # DEPENDENCYPART_ARC
(7,4),-1.55434 # DEPENDENCYPART_ARC
(7,5),-1.28406 # DEPENDENCYPART_ARC
(7,6),-0.558987 # DEPENDENCYPART_ARC
(7,8),-0.655266 # DEPENDENCYPART_ARC
(7,9),-0.990396 # DEPENDENCYPART_ARC
(7,10),-1.31134 # DEPENDENCYPART_ARC
(7,11),-1.24911 # DEPENDENCYPART_ARC
(7,12),-1.75101 # DEPENDENCYPART_ARC
(7,15),-2.18167 # DEPENDENCYPART_ARC
(7,19),-2.24926 # DEPENDENCYPART_ARC
(8,3),-1.58913 # DEPENDENCYPART_ARC
(8,5),-1.48491 # DEPENDENCYPART_ARC
(8,6),-1.45774 # DEPENDENCYPART_ARC
(8,7),0.373917 # DEPENDENCYPART_ARC
(8,9),0.117125 # DEPENDENCYPART_ARC
(8,10),-1.17253 # DEPENDENCYPART_ARC
(8,11),-1.32044 # DEPENDENCYPART_ARC
(9,5),-1.34206 # DEPENDENCYPART_ARC
(9,6),-1.76912 # DEPENDENCYPART_ARC
(9,7),-1.39334 # DEPENDENCYPART_ARC
(9,8),-0.0813529 # DEPENDENCYPART_ARC
(9,10),-0.498602 # DEPENDENCYPART_ARC
(9,12),-1.77612 # DEPENDENCYPART_ARC
(9,15),-1.97864 # DEPENDENCYPART_ARC
(9,19),-2.27106 # DEPENDENCYPART_ARC
(10,1),-1.54784 # DEPENDENCYPART_ARC
(10,2),-1.14675 # DEPENDENCYPART_ARC
(10,3),-1.23064 # DEPENDENCYPART_ARC
(10,4),-1.13475 # DEPENDENCYPART_ARC
(10,5),-0.12537 # DEPENDENCYPART_ARC
(10,6),-0.857581 # DEPENDENCYPART_ARC
(10,7),-0.819039 # DEPENDENCYPART_ARC
(10,8),0.156027 # DEPENDENCYPART_ARC
(10,9),1.89049 # DEPENDENCYPART_ARC
(10,11),0.18628 # DEPENDENCYPART_ARC
(10,12),-1.80896 # DEPENDENCYPART_ARC
(10,15),-1.7289 # DEPENDENCYPART_ARC
(10,16),-2.22345 # DEPENDENCYPART_ARC
(10,19),-1.82481 # DEPENDENCYPART_ARC
(10,20),-1.0982 # DEPENDENCYPART_ARC
(10,22),-1.86226 # DEPENDENCYPART_ARC
(10,23),-2.01105 # DEPENDENCYPART_ARC
(10,24),-2.23241 # DEPENDENCYPART_ARC
(10,26),-1.94396 # DEPENDENCYPART_ARC
(10,27),-2.35869 # DEPENDENCYPART_ARC
(11,12),-0.600356 # DEPENDENCYPART_ARC
(12,2),-2.40697 # DEPENDENCYPART_ARC
(12,3),-2.92899 # DEPENDENCYPART_ARC
(12,4),-2.09695 # DEPENDENCYPART_ARC
(12,10),-2.26301 # DEPENDENCYPART_ARC
(12,11),-0.288875 # DEPENDENCYPART_ARC
(12,13),-0.17957 # DEPENDENCYPART_ARC
(12,14),-0.756922 # DEPENDENCYPART_ARC
(12,15),-0.0232849 # DEPENDENCYPART_ARC
(12,16),-0.860739 # DEPENDENCYPART_ARC
(12,18),-1.15388 # DEPENDENCYPART_ARC
(12,19),-0.721989 # DEPENDENCYPART_ARC
(12,20),-1.42354 # DEPENDENCYPART_ARC
(12,22),-2.10584 # DEPENDENCYPART_ARC
(12,23),-2.2349 # DEPENDENCYPART_ARC
(12,24),-2.14521 # DEPENDENCYPART_ARC
(12,26),-2.14807 # DEPENDENCYPART_ARC
(12,27),-1.02932 # DEPENDENCYPART_ARC
(13,14),-0.532721 # DEPENDENCYPART_ARC
(13,16),-1.33443 # DEPENDENCYPART_ARC
(14,13),0.0955944 # DEPENDENCYPART_ARC
(14,16),-1.08426 # DEPENDENCYPART_ARC
(14,19),-1.71106 # DEPENDENCYPART_ARC
(15,5),-2.24078 # DEPENDENCYPART_ARC
(15,13),0.233952 # DEPENDENCYPART_ARC
(15,14),1.47665 # DEPENDENCYPART_ARC
(15,16),0.358237 # DEPENDENCYPART_ARC
(15,18),-1.30547 # DEPENDENCYPART_ARC
(15,19),-1.43125 # DEPENDENCYPART_ARC
(15,20),-1.67945 # DEPENDENCYPART_ARC
(15,22),-1.4883 # DEPENDENCYPART_ARC
(15,23),-2.0029 # DEPENDENCYPART_ARC
(15,24),-2.05314 # DEPENDENCYPART_ARC
(15,26),-1.82101 # DEPENDENCYPART_ARC
(16,14),-1.64376 # DEPENDENCYPART_ARC
(16,15),-0.708265 # DEPENDENCYPART_ARC
(16,17),-0.0516858 # DEPENDENCYPART_ARC
(16,18),-0.287039 # DEPENDENCYPART_ARC
(16,19),-0.557029 # DEPENDENCYPART_ARC
(16,22),-2.2009 # DEPENDENCYPART_ARC
(16,26),-2.72435 # DEPENDENCYPART_ARC
(17,18),-0.39267 # DEPENDENCYPART_ARC
(18,17),-0.0570692 # DEPENDENCYPART_ARC
(18,19),-0.771182 # DEPENDENCYPART_ARC
(18,22),-1.43745 # DEPENDENCYPART_ARC
(19,5),-2.60684 # DEPENDENCYPART_ARC
(19,13),-1.75034 # DEPENDENCYPART_ARC
(19,14),-0.980782 # DEPENDENCYPART_ARC
(19,15),-0.87969 # DEPENDENCYPART_ARC
(19,16),-0.920288 # DEPENDENCYPART_ARC
(19,17),0.663117 # DEPENDENCYPART_ARC
(19,18),2.04193 # DEPENDENCYPART_ARC
(19,20),0.462265 # DEPENDENCYPART_ARC
(19,22),-1.24999 # DEPENDENCYPART_ARC
(19,23),-1.87763 # DEPENDENCYPART_ARC
(19,24),-2.18832 # DEPENDENCYPART_ARC
(19,26),-1.64712 # DEPENDENCYPART_ARC
(19,27),-2.24295 # DEPENDENCYPART_ARC
(22,1),-1.75893 # DEPENDENCYPART_ARC
(22,2),-2.4867 # DEPENDENCYPART_ARC
(22,3),-1.57286 # DEPENDENCYPART_ARC
(22,4),-1.55072 # DEPENDENCYPART_ARC
(22,6),-2.07169 # DEPENDENCYPART_ARC
(22,10),-1.65904 # DEPENDENCYPART_ARC
(22,15),-2.32789 # DEPENDENCYPART_ARC
(22,16),-1.93028 # DEPENDENCYPART_ARC
(22,20),-1.21469 # DEPENDENCYPART_ARC
(22,21),0.285524 # DEPENDENCYPART_ARC
(22,23),1.14506 # DEPENDENCYPART_ARC
(22,24),-0.153345 # DEPENDENCYPART_ARC
(22,25),-1.31797 # DEPENDENCYPART_ARC
(22,26),-1.17294 # DEPENDENCYPART_ARC
(22,27),-1.23825 # DEPENDENCYPART_ARC
(23,2),-2.53927 # DEPENDENCYPART_ARC
(23,4),-2.31593 # DEPENDENCYPART_ARC
(23,21),-1.56533 # DEPENDENCYPART_ARC
(23,24),0.903751 # DEPENDENCYPART_ARC
(23,25),-0.994844 # DEPENDENCYPART_ARC
(23,26),-1.00921 # DEPENDENCYPART_ARC
(23,27),-1.19197 # DEPENDENCYPART_ARC
(24,20),-2.18171 # DEPENDENCYPART_ARC
(24,21),-1.64097 # DEPENDENCYPART_ARC
(24,23),-0.931258 # DEPENDENCYPART_ARC
(24,25),0.214955 # DEPENDENCYPART_ARC
(24,26),-0.0591436 # DEPENDENCYPART_ARC
(24,27),-0.414359 # DEPENDENCYPART_ARC
(25,21),-2.14108 # DEPENDENCYPART_ARC
(25,24),-0.0337328 # DEPENDENCYPART_ARC
(25,26),-0.797765 # DEPENDENCYPART_ARC
(26,13),-2.7169 # DEPENDENCYPART_ARC
(26,17),-2.09936 # DEPENDENCYPART_ARC
(26,21),-1.37668 # DEPENDENCYPART_ARC
(26,22),-1.03318 # DEPENDENCYPART_ARC
(26,23),-0.869682 # DEPENDENCYPART_ARC
(26,24),-0.297515 # DEPENDENCYPART_ARC
(26,25),2.20151 # DEPENDENCYPART_ARC
(26,27),-0.439217 # DEPENDENCYPART_ARC
(27,26),-0.719522 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.120752 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0631123 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0226045 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.122134 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.124689 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0756163 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0742642 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.223337 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.219591 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0226045 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.126166 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.129792 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.116685 # DEPENDENCYPART_SIBL
(0,6),(0,22),-0.125163 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.219095 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0114165 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0034437 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00886751 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0217291 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.00945459 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.00945459 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00270234 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0110974 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0356648 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0176891 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0176891 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0319302 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0428053 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0356292 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0356292 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0147467 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0119999 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0119999 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.00645652 # DEPENDENCYPART_SIBL
(1,10),(1,20),-0.00645652 # DEPENDENCYPART_SIBL
(1,11),(1,20),0.0364474 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0158871 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0257869 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.144263 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0894389 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.026639 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00665546 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0195145 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0318373 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.00505953 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00634652 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0354387 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.141123 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.00505953 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.00754315 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0116885 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0134548 # DEPENDENCYPART_SIBL
(2,1),(2,27),-0.0128528 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0170727 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0490109 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0554014 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.032808 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0365888 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0589246 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0736446 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0587327 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0515047 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0616642 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00968075 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0587327 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.05976 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.028434 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0476313 # DEPENDENCYPART_SIBL
(2,3),(2,27),-0.0825582 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0314482 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0439698 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0316958 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0372141 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0176538 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0278201 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0079876 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0153873 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0147293 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.00214145 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0079876 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0391622 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0272265 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.00117321 # DEPENDENCYPART_SIBL
(2,4),(2,27),-0.0430192 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0587537 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0300707 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0271578 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0375183 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0431811 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0638485 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0540466 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0376934 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0503153 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0638485 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0585884 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0180704 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0465431 # DEPENDENCYPART_SIBL
(2,5),(2,27),-0.0679192 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0408589 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.050723 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0133592 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0188246 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00634248 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0224092 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0135343 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.026897 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.00634248 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0347193 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.000880158 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0195659 # DEPENDENCYPART_SIBL
(2,6),(2,27),-0.0244551 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.01385 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0497124 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0551756 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0378883 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0399284 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0498876 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0337821 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.0378883 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0439269 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.00688803 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0274059 # DEPENDENCYPART_SIBL
(2,7),(2,27),-0.0460981 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0588162 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0642794 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0390399 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0488863 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0589913 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0490696 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0390399 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0526639 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.0156309 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0360561 # DEPENDENCYPART_SIBL
(2,8),(2,27),-0.0364108 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.050359 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.00498123 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0164834 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0383786 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.016249 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.00498123 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0225983 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.00658735 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.01261 # DEPENDENCYPART_SIBL
(2,9),(2,27),-0.0171757 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.00873219 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0234848 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0331006 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0158842 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.00873219 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0295997 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.000414098 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0196114 # DEPENDENCYPART_SIBL
(2,10),(2,27),-0.0300604 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0224433 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0025972 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.00354877 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.0181098 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.00872327 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.0259471 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0321148 # DEPENDENCYPART_SIBL
(2,11),(2,27),-0.0159854 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0165448 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.00307928 # DEPENDENCYPART_SIBL
(2,12),(2,20),0.000992844 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.0129404 # DEPENDENCYPART_SIBL
(2,12),(2,23),-0.00278794 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.0236402 # DEPENDENCYPART_SIBL
(2,12),(2,27),-0.00723789 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.00619106 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0145592 # DEPENDENCYPART_SIBL
(2,15),(2,22),-0.0330677 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.003882 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.0230793 # DEPENDENCYPART_SIBL
(2,15),(2,27),-0.0404435 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.0184147 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.0332497 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.0295715 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.000965006 # DEPENDENCYPART_SIBL
(2,16),(2,27),-0.0872589 # DEPENDENCYPART_SIBL
(2,20),(2,22),0.00872327 # DEPENDENCYPART_SIBL
(2,20),(2,23),0.0259471 # DEPENDENCYPART_SIBL
(2,20),(2,24),0.0321148 # DEPENDENCYPART_SIBL
(2,20),(2,27),-0.0159854 # DEPENDENCYPART_SIBL
(2,22),(2,23),-0.0232338 # DEPENDENCYPART_SIBL
(2,22),(2,24),-0.0428585 # DEPENDENCYPART_SIBL
(2,22),(2,27),-0.0069755 # DEPENDENCYPART_SIBL
(2,23),(2,24),-0.0111835 # DEPENDENCYPART_SIBL
(2,23),(2,27),0.0254973 # DEPENDENCYPART_SIBL
(2,24),(2,27),-0.0125883 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0561565 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.129415 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0482204 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0144168 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0718066 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0264568 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0548284 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.037271 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.131652 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0481853 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0439483 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0717778 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.131652 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.100144 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0614738 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0626144 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0775831 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.057088 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.131978 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.105167 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00131503 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00846056 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0260856 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0401212 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.00543358 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.00851125 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0260856 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0371807 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0228639 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00258216 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0434519 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.006826 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.00827529 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0612404 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0495267 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0594232 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0919528 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.114472 # DEPENDENCYPART_SIBL
