# _root_ In the 45 minutes before the 9:30 opening bell , the Jacobson specialists kept getting sell orders , heavier than they imagined .
#goldHeads=14,4,4,1,4,9,9,9,5,14,13,13,14,0,14,17,15,17,17,22,22,19,14,
#predictedHeads=14,4,4,1,4,9,9,9,5,14,13,13,14,0,14,17,15,17,17,22,22,19,14,
(17,23),-2.01262 # DEPENDENCYPART_ARC
(18,20),-1.40962 # DEPENDENCYPART_ARC
(19,17),-0.868312 # DEPENDENCYPART_ARC
(19,20),0.316976 # DEPENDENCYPART_ARC
(19,22),-0.682897 # DEPENDENCYPART_ARC
(19,23),-1.08663 # DEPENDENCYPART_ARC
(20,15),-2.19731 # DEPENDENCYPART_ARC
(20,17),-2.01349 # DEPENDENCYPART_ARC
(20,18),-1.40225 # DEPENDENCYPART_ARC
(20,19),-0.420798 # DEPENDENCYPART_ARC
(20,21),0.192 # DEPENDENCYPART_ARC
(20,22),-0.60006 # DEPENDENCYPART_ARC
(20,23),-1.02607 # DEPENDENCYPART_ARC
(21,22),-0.103213 # DEPENDENCYPART_ARC
(22,1),-1.38008 # DEPENDENCYPART_ARC
(22,4),-1.22577 # DEPENDENCYPART_ARC
(22,5),-1.00617 # DEPENDENCYPART_ARC
(22,6),-1.8121 # DEPENDENCYPART_ARC
(22,8),-1.33386 # DEPENDENCYPART_ARC
(22,9),-1.40452 # DEPENDENCYPART_ARC
(22,10),-2.12949 # DEPENDENCYPART_ARC
(22,13),-2.17139 # DEPENDENCYPART_ARC
(22,14),-1.36055 # DEPENDENCYPART_ARC
(22,15),-1.16781 # DEPENDENCYPART_ARC
(22,16),-1.58962 # DEPENDENCYPART_ARC
(22,17),-1.96923 # DEPENDENCYPART_ARC
(22,18),-0.866252 # DEPENDENCYPART_ARC
(22,20),0.0885799 # DEPENDENCYPART_ARC
(22,21),0.999651 # DEPENDENCYPART_ARC
(22,23),0.74993 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0170509 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.101458 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.103373 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0199408 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.101879 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.103467 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.100101 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0226575 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.101272 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.165362 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.0578332 # DEPENDENCYPART_SIBL
(0,14),(0,22),-0.165317 # DEPENDENCYPART_SIBL
(0,15),(0,19),-0.0584747 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.160414 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0674365 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00417953 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0683146 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0216367 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00340734 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0682467 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0682513 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0205516 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0150363 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.0204782 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.081302 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0318379 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00829978 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0812274 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0812396 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0343299 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0167795 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.0351785 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0115006 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0236789 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.1056 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.104783 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.000628823 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.0332017 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.030926 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.015299 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0341467 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0347909 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0129972 # DEPENDENCYPART_SIBL
(1,5),(1,20),0.0202214 # DEPENDENCYPART_SIBL
(1,5),(1,23),-0.0073159 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0774303 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0774424 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0363928 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0149926 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0328726 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.104309 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.00413243 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.0334874 # DEPENDENCYPART_SIBL
(1,8),(1,23),-0.0363045 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00329794 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.0335692 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.0362828 # DEPENDENCYPART_SIBL
(1,10),(1,20),0.100817 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.0253447 # DEPENDENCYPART_SIBL
(1,20),(1,23),-0.0261849 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00882747 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0542018 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0285702 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0207732 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0536433 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0376954 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0150171 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0149585 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0253517 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.133964 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00287269 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0956934 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0948704 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0354033 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0225043 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0389123 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0382692 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0183513 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.011243 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0112563 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0129509 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00528651 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0120207 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0119127 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00213005 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0207251 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0154655 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0650328 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0739439 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0408865 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0406288 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0325739 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0405218 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0423008 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0478762 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0470146 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0425343 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0325739 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.03343 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0422407 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0159421 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0683423 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0228595 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.143857 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.143864 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0123182 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0123805 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.00965003 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0109868 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0107383 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.115613 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.113206 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0150849 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.00965003 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.155606 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.120763 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.119248 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00995046 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0208416 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0116661 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0350302 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0352881 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0128545 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.035474 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0327235 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0155148 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0264067 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0323251 # DEPENDENCYPART_SIBL
(4,3),(4,18),-0.0128545 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0114919 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0115626 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.000674272 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0486364 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0286722 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00179146 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00254883 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0150883 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.00236389 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00445326 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.015363 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0191991 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.00369923 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0150883 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0272155 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0154114 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0393485 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0175756 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0103526 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0104972 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0230151 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0103312 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0120382 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0267355 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0273023 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0109736 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0230151 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.017571 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0261946 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.0136593 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0283215 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.028473 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00838059 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0283041 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0300123 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.015724 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0162908 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0289505 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.00838059 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0134679 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0151831 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.0202893 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0102434 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0154649 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0100882 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0094793 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0156901 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0129055 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0115652 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0154649 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0394444 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0129543 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.0199158 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0151327 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0100799 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.00947106 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.015869 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0130844 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0115569 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0151327 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0392831 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0131333 # DEPENDENCYPART_SIBL
(4,9),(4,23),0.0201898 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0487893 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0403394 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0265846 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0254532 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0459524 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0406714 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0707657 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.0271254 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.00112304 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.00979121 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0156884 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0129039 # DEPENDENCYPART_SIBL
(4,12),(4,17),-0.011797 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0154956 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0394409 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0129527 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.020032 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0161668 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0133822 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0129183 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0154684 # DEPENDENCYPART_SIBL
(4,13),(4,20),-0.0392525 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.0134311 # DEPENDENCYPART_SIBL
(4,13),(4,23),0.0170793 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0108504 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0139748 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.017475 # DEPENDENCYPART_SIBL
(4,14),(4,20),0.0168355 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.00968163 # DEPENDENCYPART_SIBL
(4,14),(4,23),-0.0119267 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0038571 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0552972 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.0232205 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.00984582 # DEPENDENCYPART_SIBL
(4,15),(4,23),0.0103663 # DEPENDENCYPART_SIBL
(4,17),(4,18),0.013412 # DEPENDENCYPART_SIBL
(4,17),(4,20),-0.0415458 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.0174457 # DEPENDENCYPART_SIBL
(4,17),(4,23),0.017918 # DEPENDENCYPART_SIBL
(4,18),(4,20),0.0707657 # DEPENDENCYPART_SIBL
(4,18),(4,22),0.0271254 # DEPENDENCYPART_SIBL
(4,18),(4,23),0.00112304 # DEPENDENCYPART_SIBL
(4,20),(4,22),-0.0190601 # DEPENDENCYPART_SIBL
(4,20),(4,23),0.0217653 # DEPENDENCYPART_SIBL
(4,22),(4,23),-0.00473151 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0318804 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0771307 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00332171 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0717515 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0260274 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0299656 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0822271 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0306314 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.041739 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0323208 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.146729 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0184733 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0224114 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0661273 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0238992 # DEPENDENCYPART_SIBL
