# _root_ Martin Fabi , Innopac 's president and chief executive , said Innopac viewed Mr. Pattison 's decision to seek control as a `` very positive '' move .
#goldHeads=2,11,2,7,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
#predictedHeads=2,11,2,6,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
(13,17),-0.00992657 # DEPENDENCYPART_ARC
(13,18),-0.629658 # DEPENDENCYPART_ARC
(13,19),-0.401082 # DEPENDENCYPART_ARC
(13,20),-0.898486 # DEPENDENCYPART_ARC
(13,21),-0.587501 # DEPENDENCYPART_ARC
(13,23),-0.998991 # DEPENDENCYPART_ARC
(13,24),-1.20262 # DEPENDENCYPART_ARC
(13,25),-0.877653 # DEPENDENCYPART_ARC
(13,26),-0.13049 # DEPENDENCYPART_ARC
(13,27),-1.03787 # DEPENDENCYPART_ARC
(13,28),0.220085 # DEPENDENCYPART_ARC
(14,12),-1.90349 # DEPENDENCYPART_ARC
(14,13),-0.819938 # DEPENDENCYPART_ARC
(14,15),-0.789426 # DEPENDENCYPART_ARC
(14,16),-1.34511 # DEPENDENCYPART_ARC
(14,19),-1.3968 # DEPENDENCYPART_ARC
(15,4),-2.34977 # DEPENDENCYPART_ARC
(15,8),-2.2348 # DEPENDENCYPART_ARC
(15,12),-0.995279 # DEPENDENCYPART_ARC
(15,13),-0.804427 # DEPENDENCYPART_ARC
(15,14),1.89411 # DEPENDENCYPART_ARC
(15,16),0.951643 # DEPENDENCYPART_ARC
(15,17),-1.14624 # DEPENDENCYPART_ARC
(15,19),-1.10016 # DEPENDENCYPART_ARC
(15,20),-1.54272 # DEPENDENCYPART_ARC
(16,19),-1.03924 # DEPENDENCYPART_ARC
(17,6),-2.93725 # DEPENDENCYPART_ARC
(17,8),-2.24131 # DEPENDENCYPART_ARC
(17,9),-2.62583 # DEPENDENCYPART_ARC
(17,11),-1.57742 # DEPENDENCYPART_ARC
(17,12),-1.2303 # DEPENDENCYPART_ARC
(17,13),-1.24435 # DEPENDENCYPART_ARC
(17,14),-0.400085 # DEPENDENCYPART_ARC
(17,15),-0.0300423 # DEPENDENCYPART_ARC
(17,16),-0.140342 # DEPENDENCYPART_ARC
(17,18),-0.067037 # DEPENDENCYPART_ARC
(17,19),-0.644249 # DEPENDENCYPART_ARC
(17,20),-1.25184 # DEPENDENCYPART_ARC
(17,21),-0.967984 # DEPENDENCYPART_ARC
(17,22),-1.60947 # DEPENDENCYPART_ARC
(17,23),-1.43373 # DEPENDENCYPART_ARC
(17,24),-1.37193 # DEPENDENCYPART_ARC
(17,25),-1.52303 # DEPENDENCYPART_ARC
(17,26),-1.11899 # DEPENDENCYPART_ARC
(17,27),-1.62773 # DEPENDENCYPART_ARC
(17,28),-1.53557 # DEPENDENCYPART_ARC
(18,17),-0.255755 # DEPENDENCYPART_ARC
(18,19),-0.338655 # DEPENDENCYPART_ARC
(18,20),-1.38373 # DEPENDENCYPART_ARC
(18,21),-1.58101 # DEPENDENCYPART_ARC
(18,24),-1.78891 # DEPENDENCYPART_ARC
(18,27),-2.48221 # DEPENDENCYPART_ARC
(19,6),-2.76992 # DEPENDENCYPART_ARC
(19,9),-2.37147 # DEPENDENCYPART_ARC
(19,10),-1.76318 # DEPENDENCYPART_ARC
(19,12),-1.37121 # DEPENDENCYPART_ARC
(19,14),-1.28035 # DEPENDENCYPART_ARC
(19,15),-1.11153 # DEPENDENCYPART_ARC
(19,17),-0.800896 # DEPENDENCYPART_ARC
(19,18),1.14513 # DEPENDENCYPART_ARC
(19,20),1.05596 # DEPENDENCYPART_ARC
(19,21),-0.564076 # DEPENDENCYPART_ARC
(19,22),-1.13864 # DEPENDENCYPART_ARC
(19,23),-1.13421 # DEPENDENCYPART_ARC
(19,24),-1.14282 # DEPENDENCYPART_ARC
(19,25),-1.08173 # DEPENDENCYPART_ARC
(19,26),-0.765836 # DEPENDENCYPART_ARC
(19,27),-0.946126 # DEPENDENCYPART_ARC
(19,28),-0.869686 # DEPENDENCYPART_ARC
(20,8),-2.37603 # DEPENDENCYPART_ARC
(20,12),-1.71248 # DEPENDENCYPART_ARC
(20,14),-1.34939 # DEPENDENCYPART_ARC
(20,15),-1.18436 # DEPENDENCYPART_ARC
(20,17),-1.25732 # DEPENDENCYPART_ARC
(20,18),-0.947894 # DEPENDENCYPART_ARC
(20,19),0.576729 # DEPENDENCYPART_ARC
(20,21),0.42304 # DEPENDENCYPART_ARC
(20,22),-1.39751 # DEPENDENCYPART_ARC
(20,23),-1.28301 # DEPENDENCYPART_ARC
(20,24),-1.31861 # DEPENDENCYPART_ARC
(20,25),-1.39615 # DEPENDENCYPART_ARC
(20,27),-1.6569 # DEPENDENCYPART_ARC
(21,17),-1.54913 # DEPENDENCYPART_ARC
(21,18),-1.43714 # DEPENDENCYPART_ARC
(21,20),-0.386932 # DEPENDENCYPART_ARC
(21,22),-0.131363 # DEPENDENCYPART_ARC
(21,23),-0.873202 # DEPENDENCYPART_ARC
(21,24),-1.35482 # DEPENDENCYPART_ARC
(21,25),-1.22317 # DEPENDENCYPART_ARC
(21,26),-1.16844 # DEPENDENCYPART_ARC
(21,27),-1.20181 # DEPENDENCYPART_ARC
(22,21),-0.128895 # DEPENDENCYPART_ARC
(24,7),-2.17515 # DEPENDENCYPART_ARC
(24,18),-1.4717 # DEPENDENCYPART_ARC
(24,20),-1.38157 # DEPENDENCYPART_ARC
(24,21),-1.25019 # DEPENDENCYPART_ARC
(24,23),-0.21339 # DEPENDENCYPART_ARC
(24,25),-0.0213163 # DEPENDENCYPART_ARC
(24,26),-0.684852 # DEPENDENCYPART_ARC
(24,27),-0.902329 # DEPENDENCYPART_ARC
(25,17),-0.850369 # DEPENDENCYPART_ARC
(25,18),-0.880864 # DEPENDENCYPART_ARC
(25,20),-0.614304 # DEPENDENCYPART_ARC
(25,21),-0.589548 # DEPENDENCYPART_ARC
(25,22),-0.655813 # DEPENDENCYPART_ARC
(25,23),-0.367449 # DEPENDENCYPART_ARC
(25,24),1.07554 # DEPENDENCYPART_ARC
(25,26),0.298595 # DEPENDENCYPART_ARC
(25,27),-0.964243 # DEPENDENCYPART_ARC
(25,28),-0.9893 # DEPENDENCYPART_ARC
(27,17),-1.65801 # DEPENDENCYPART_ARC
(27,20),-1.13222 # DEPENDENCYPART_ARC
(27,21),-0.84552 # DEPENDENCYPART_ARC
(27,22),0.0507572 # DEPENDENCYPART_ARC
(27,23),-0.190214 # DEPENDENCYPART_ARC
(27,24),-0.309338 # DEPENDENCYPART_ARC
(27,25),0.481661 # DEPENDENCYPART_ARC
(27,26),1.04932 # DEPENDENCYPART_ARC
(27,28),-0.184064 # DEPENDENCYPART_ARC
(28,27),-0.332437 # DEPENDENCYPART_ARC
(0,2),(0,7),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.118403 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0991785 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.146453 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.132251 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.170829 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0155254 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0114996 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00748343 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00752644 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0368845 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0155254 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0143477 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0418984 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0179492 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.172118 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.017785 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0369496 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.00491406 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00748306 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00752584 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0368849 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0155245 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0143481 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0227972 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.00254246 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.000363672 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0229057 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0502551 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.014597 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0336081 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0235873 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.00896517 # DEPENDENCYPART_SIBL
(1,10),(1,11),0.00491406 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0364874 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0130941 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0738682 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.135404 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00589925 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0171316 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0364874 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0304857 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0130941 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0140311 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0125977 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.00876399 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.0303573 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.00503171 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0419111 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0179416 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.17213 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0177935 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0539237 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.036982 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00492229 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0419111 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0208984 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0419113 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0262899 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.0972822 # DEPENDENCYPART_SIBL
(2,3),(2,28),-0.00261008 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00748452 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.00753092 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.036883 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0154154 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0155445 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0143457 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0114952 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0106445 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0114954 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0281558 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0201528 # DEPENDENCYPART_SIBL
(2,4),(2,28),0.0201974 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0228008 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00254293 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0026375 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.000380137 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0229052 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.00323964 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0280705 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00323961 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.040788 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0222687 # DEPENDENCYPART_SIBL
(2,5),(2,28),-0.0109964 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0502532 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0296646 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.014617 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0336057 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0257444 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0299033 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0257446 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0157631 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.00856129 # DEPENDENCYPART_SIBL
(2,6),(2,28),0.0181279 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.031028 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0236044 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.00896438 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0314787 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0118604 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0314787 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.00862653 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0650157 # DEPENDENCYPART_SIBL
(2,7),(2,28),0.00104341 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0210541 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0227585 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0226704 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0190573 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0226706 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0220309 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0139429 # DEPENDENCYPART_SIBL
(2,9),(2,28),0.0108313 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00492229 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0419111 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0208984 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0419113 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0262899 # DEPENDENCYPART_SIBL
(2,10),(2,26),0.0972822 # DEPENDENCYPART_SIBL
(2,10),(2,28),-0.00261008 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.036095 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0176218 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.0360967 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.0386565 # DEPENDENCYPART_SIBL
(2,11),(2,26),0.109283 # DEPENDENCYPART_SIBL
(2,11),(2,28),0.00703489 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0106445 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0114954 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.0281558 # DEPENDENCYPART_SIBL
(2,12),(2,26),0.0201528 # DEPENDENCYPART_SIBL
(2,12),(2,28),0.0201974 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.017029 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0483347 # DEPENDENCYPART_SIBL
(2,13),(2,26),0.101092 # DEPENDENCYPART_SIBL
(2,13),(2,28),0.00106117 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.0281557 # DEPENDENCYPART_SIBL
(2,15),(2,26),0.0201527 # DEPENDENCYPART_SIBL
(2,15),(2,28),0.0201984 # DEPENDENCYPART_SIBL
(2,23),(2,26),0.309173 # DEPENDENCYPART_SIBL
(2,23),(2,28),0.110815 # DEPENDENCYPART_SIBL
(2,26),(2,28),-0.0251762 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0151331 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0416402 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0738682 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.13535 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00589925 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.017298 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0170771 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0364874 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0304857 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0140311 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0412196 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0787308 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.142948 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0107627 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0122675 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0246751 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0529988 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0252925 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.00883799 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.288431 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0236936 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0346062 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0949693 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0264821 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.140625 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0455283 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00850258 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0228008 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00254293 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0394001 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0026375 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.000380137 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0229052 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0280705 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0502532 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0070528 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0296646 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.014617 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0336057 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0299033 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00658382 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.031028 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0236044 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00896438 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0118604 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00864351 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0110508 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0110599 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.00260784 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0210541 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0227585 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0190573 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00492229 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0208984 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0176218 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0612263 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0282534 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.060793 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0067819 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.018222 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0175014 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0331947 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0329603 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0286741 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0623986 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.00602549 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0230854 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0124708 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0407927 # DEPENDENCYPART_SIBL
