# _root_ Vegetables are abundant and full of flavor in Poland , the pickles and sauerkraut sublime , the state monopolies long broken .
#goldHeads=2,0,4,2,4,5,6,2,8,2,13,13,1,13,4,2,19,19,1,21,4,2,
#predictedHeads=2,0,4,2,4,5,6,2,13,13,12,13,8,13,13,13,19,19,13,21,19,2,
(13,22),-1.89334 # DEPENDENCYPART_ARC
(14,11),-1.61271 # DEPENDENCYPART_ARC
(14,12),-1.36484 # DEPENDENCYPART_ARC
(14,15),-0.333944 # DEPENDENCYPART_ARC
(14,16),-1.42735 # DEPENDENCYPART_ARC
(14,18),-1.91453 # DEPENDENCYPART_ARC
(14,19),-2.11493 # DEPENDENCYPART_ARC
(14,20),-2.0231 # DEPENDENCYPART_ARC
(14,21),-1.97812 # DEPENDENCYPART_ARC
(15,7),-1.47673 # DEPENDENCYPART_ARC
(15,8),-1.57326 # DEPENDENCYPART_ARC
(15,11),-1.18098 # DEPENDENCYPART_ARC
(15,12),-0.806293 # DEPENDENCYPART_ARC
(15,13),-0.715712 # DEPENDENCYPART_ARC
(15,14),0.20146 # DEPENDENCYPART_ARC
(15,16),-0.177263 # DEPENDENCYPART_ARC
(15,18),-1.7187 # DEPENDENCYPART_ARC
(15,19),-1.79392 # DEPENDENCYPART_ARC
(15,20),-1.76922 # DEPENDENCYPART_ARC
(15,21),-1.58287 # DEPENDENCYPART_ARC
(15,22),-1.68335 # DEPENDENCYPART_ARC
(17,16),-0.0336809 # DEPENDENCYPART_ARC
(17,18),-0.394428 # DEPENDENCYPART_ARC
(18,11),-3.13444 # DEPENDENCYPART_ARC
(18,15),-2.64618 # DEPENDENCYPART_ARC
(18,17),-0.0968499 # DEPENDENCYPART_ARC
(18,20),-1.28784 # DEPENDENCYPART_ARC
(18,21),-1.47669 # DEPENDENCYPART_ARC
(19,6),-1.42788 # DEPENDENCYPART_ARC
(19,11),-1.79435 # DEPENDENCYPART_ARC
(19,12),-2.42317 # DEPENDENCYPART_ARC
(19,13),-1.47345 # DEPENDENCYPART_ARC
(19,14),-1.74143 # DEPENDENCYPART_ARC
(19,15),-1.57265 # DEPENDENCYPART_ARC
(19,16),-1.35603 # DEPENDENCYPART_ARC
(19,17),0.361462 # DEPENDENCYPART_ARC
(19,18),1.55894 # DEPENDENCYPART_ARC
(19,20),-0.122514 # DEPENDENCYPART_ARC
(19,21),-0.9388 # DEPENDENCYPART_ARC
(19,22),-0.959259 # DEPENDENCYPART_ARC
(20,4),-1.67695 # DEPENDENCYPART_ARC
(20,7),-1.39279 # DEPENDENCYPART_ARC
(20,9),-1.40897 # DEPENDENCYPART_ARC
(20,14),-1.87352 # DEPENDENCYPART_ARC
(20,15),-2.14418 # DEPENDENCYPART_ARC
(20,18),-1.206 # DEPENDENCYPART_ARC
(20,19),-0.323054 # DEPENDENCYPART_ARC
(20,21),-0.229572 # DEPENDENCYPART_ARC
(20,22),-1.05963 # DEPENDENCYPART_ARC
(21,14),-1.2725 # DEPENDENCYPART_ARC
(21,15),-1.44739 # DEPENDENCYPART_ARC
(21,17),-0.888903 # DEPENDENCYPART_ARC
(21,18),-0.5167 # DEPENDENCYPART_ARC
(21,19),-0.508083 # DEPENDENCYPART_ARC
(21,20),0.745176 # DEPENDENCYPART_ARC
(21,22),-0.320261 # DEPENDENCYPART_ARC
(22,21),-0.115727 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.100359 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0226575 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0912498 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0226882 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0295872 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0912498 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0226575 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0230413 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0618817 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.139941 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0618829 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0431811 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.139941 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0618817 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0618823 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0491409 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0153023 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.00538228 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0491409 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0153023 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0123463 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0361845 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0463687 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.113963 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0361804 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0361804 # DEPENDENCYPART_SIBL
(0,5),(0,6),0.00535987 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0496838 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.015303 # DEPENDENCYPART_SIBL
(0,5),(0,21),-0.012347 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0414035 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.0125513 # DEPENDENCYPART_SIBL
(0,6),(0,21),-0.0126939 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0361804 # DEPENDENCYPART_SIBL
(0,13),(0,21),-0.0361804 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.0123463 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00461128 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0268785 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00460634 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0262619 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00618138 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0448149 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0448149 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0285799 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0157833 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00827246 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00584611 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0165135 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0165135 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00210129 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00418407 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0332689 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0236044 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0236044 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.00824852 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0058688 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0164754 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0164754 # DEPENDENCYPART_SIBL
(1,6),(1,8),0.0230631 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0225044 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.0225044 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0360236 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0360236 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.036982 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0299751 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0152953 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0277852 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00444906 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.02596 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00735124 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0189178 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0152953 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0189178 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0315855 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.00107459 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0315106 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0293116 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0200939 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0159595 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0280693 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.011137 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0315106 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.011137 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0159071 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0101731 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0104052 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0381015 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00351954 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0125907 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.000197148 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0600913 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.000197148 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.00344602 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.030881 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0158879 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0203313 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0238644 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00690834 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0367851 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.00690834 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.020279 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0143354 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00875508 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.102225 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0143699 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.073734 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0143699 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00870727 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0123042 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00560966 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00947006 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0877427 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00947006 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0382271 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.000915426 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00167645 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0716751 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.00167645 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0028706 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0235682 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0261122 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0473254 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0250497 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0158167 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.000197148 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.00344602 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.030881 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0250497 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0158167 # DEPENDENCYPART_SIBL
(2,19),(2,22),-0.00316783 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.00130396 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0286671 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00822541 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0203174 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0613569 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0206885 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0123815 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0126238 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.000638607 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0366476 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.000649146 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.00123501 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0258905 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0144916 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.02589 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.097577 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0196915 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0975678 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00111766 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0157477 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0485652 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0348402 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0306056 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00250722 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00482987 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0582955 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0139374 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0531222 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00603163 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0514741 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00360823 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0514741 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.00603163 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.049026 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0138468 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.1053 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.135226 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0957376 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.402539 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0749866 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.410478 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0379975 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.408435 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0406659 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.408435 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0379975 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.410271 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0252523 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.417836 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00049593 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0224239 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0359645 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0164748 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00744476 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.0165762 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.00574349 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0165762 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.00744476 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.0154601 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0485959 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0146163 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.000974119 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0222629 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.000977207 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.000295902 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.000974119 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0171926 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.000974119 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.000295902 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.000976241 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.109312 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00368254 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00225579 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00367024 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0103279 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.00368254 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0122391 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.00368254 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0103279 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0036727 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.0280171 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00830117 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0159024 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00877782 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0158469 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0236542 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0158469 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.00877782 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0158493 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.0412375 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00869826 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0277648 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.00871187 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0252994 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.00871187 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0277648 # DEPENDENCYPART_SIBL
(4,8),(4,19),0.00870537 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.0282462 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.00419513 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0205741 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0286091 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0205741 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.00419513 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0205765 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0461914 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.0132984 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.000685068 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0132984 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.074718 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.0132955 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.00925661 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0257968 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0177659 # DEPENDENCYPART_SIBL
(4,12),(4,16),0.00708256 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.0177683 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0433798 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.00326656 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.0365486 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.00326868 # DEPENDENCYPART_SIBL
(4,13),(4,22),0.0166502 # DEPENDENCYPART_SIBL
(4,14),(4,16),0.00708256 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.0177683 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0433798 # DEPENDENCYPART_SIBL
