# _root_ There is such a maze of federal , state and local codes that `` building inspectors are backing away from interpreting them , '' Mr. Dooling says .
#goldHeads=2,27,5,5,2,5,10,10,10,12,10,6,17,17,16,17,5,17,18,19,20,21,27,27,26,27,0,27,
#predictedHeads=2,27,5,5,2,5,10,10,10,12,10,6,17,17,16,17,12,17,18,18,20,21,27,27,26,27,0,27,
(9,6),-1.6198 # DEPENDENCYPART_ARC
(9,7),-0.781643 # DEPENDENCYPART_ARC
(9,8),-0.0510407 # DEPENDENCYPART_ARC
(9,11),-1.41294 # DEPENDENCYPART_ARC
(9,17),-1.82734 # DEPENDENCYPART_ARC
(10,2),-1.26006 # DEPENDENCYPART_ARC
(10,3),-1.32893 # DEPENDENCYPART_ARC
(10,4),-1.3936 # DEPENDENCYPART_ARC
(10,5),-1.19543 # DEPENDENCYPART_ARC
(10,6),-1.43001 # DEPENDENCYPART_ARC
(10,7),-0.691222 # DEPENDENCYPART_ARC
(10,8),0.0697935 # DEPENDENCYPART_ARC
(10,9),1.86261 # DEPENDENCYPART_ARC
(10,11),0.393501 # DEPENDENCYPART_ARC
(10,12),0.812275 # DEPENDENCYPART_ARC
(10,13),-1.05589 # DEPENDENCYPART_ARC
(10,14),-1.31197 # DEPENDENCYPART_ARC
(10,15),-0.784793 # DEPENDENCYPART_ARC
(10,16),-0.699667 # DEPENDENCYPART_ARC
(10,17),-1.27244 # DEPENDENCYPART_ARC
(10,18),-2.01838 # DEPENDENCYPART_ARC
(10,19),-1.43839 # DEPENDENCYPART_ARC
(10,20),-1.68706 # DEPENDENCYPART_ARC
(10,21),-2.07628 # DEPENDENCYPART_ARC
(10,23),-1.67942 # DEPENDENCYPART_ARC
(10,24),-0.751873 # DEPENDENCYPART_ARC
(10,26),-2.50126 # DEPENDENCYPART_ARC
(10,27),-3.25016 # DEPENDENCYPART_ARC
(10,28),-1.40285 # DEPENDENCYPART_ARC
(11,7),-2.38617 # DEPENDENCYPART_ARC
(12,4),-2.37513 # DEPENDENCYPART_ARC
(12,5),-2.73642 # DEPENDENCYPART_ARC
(12,7),-1.33111 # DEPENDENCYPART_ARC
(12,8),-1.43642 # DEPENDENCYPART_ARC
(12,9),-0.845351 # DEPENDENCYPART_ARC
(12,10),-0.586088 # DEPENDENCYPART_ARC
(12,11),1.22794 # DEPENDENCYPART_ARC
(12,13),-0.0626419 # DEPENDENCYPART_ARC
(12,14),-1.39828 # DEPENDENCYPART_ARC
(12,15),-1.54445 # DEPENDENCYPART_ARC
(12,16),-1.65278 # DEPENDENCYPART_ARC
(12,17),-1.33445 # DEPENDENCYPART_ARC
(12,18),-1.61936 # DEPENDENCYPART_ARC
(12,19),-1.71449 # DEPENDENCYPART_ARC
(12,20),-1.63346 # DEPENDENCYPART_ARC
(12,21),-1.85388 # DEPENDENCYPART_ARC
(12,28),-2.74283 # DEPENDENCYPART_ARC
(13,10),-1.13881 # DEPENDENCYPART_ARC
(13,11),-1.43451 # DEPENDENCYPART_ARC
(13,12),-0.490122 # DEPENDENCYPART_ARC
(13,14),0.0747115 # DEPENDENCYPART_ARC
(13,15),-1.12097 # DEPENDENCYPART_ARC
(13,16),-1.47153 # DEPENDENCYPART_ARC
(13,17),-1.60962 # DEPENDENCYPART_ARC
(13,18),-1.87782 # DEPENDENCYPART_ARC
(15,13),-1.58751 # DEPENDENCYPART_ARC
(15,14),-0.29153 # DEPENDENCYPART_ARC
(15,16),-0.359049 # DEPENDENCYPART_ARC
(15,17),-0.808734 # DEPENDENCYPART_ARC
(15,18),-1.35933 # DEPENDENCYPART_ARC
(15,20),-1.39986 # DEPENDENCYPART_ARC
(16,7),-2.26491 # DEPENDENCYPART_ARC
(16,8),-1.56905 # DEPENDENCYPART_ARC
(16,9),-1.52496 # DEPENDENCYPART_ARC
(16,10),-1.10766 # DEPENDENCYPART_ARC
(16,11),-1.14107 # DEPENDENCYPART_ARC
(16,12),-0.937469 # DEPENDENCYPART_ARC
(16,13),-1.03038 # DEPENDENCYPART_ARC
(16,14),-0.385901 # DEPENDENCYPART_ARC
(16,15),1.92126 # DEPENDENCYPART_ARC
(16,17),-0.440569 # DEPENDENCYPART_ARC
(16,18),-1.3422 # DEPENDENCYPART_ARC
(16,19),-1.45845 # DEPENDENCYPART_ARC
(17,2),-1.53616 # DEPENDENCYPART_ARC
(17,5),-1.90799 # DEPENDENCYPART_ARC
(17,7),-1.64764 # DEPENDENCYPART_ARC
(17,8),-1.0077 # DEPENDENCYPART_ARC
(17,9),-0.89433 # DEPENDENCYPART_ARC
(17,10),-0.32709 # DEPENDENCYPART_ARC
(17,11),-1.40285 # DEPENDENCYPART_ARC
(17,12),-0.505844 # DEPENDENCYPART_ARC
(17,13),-0.256575 # DEPENDENCYPART_ARC
(17,14),-0.681962 # DEPENDENCYPART_ARC
(17,15),-0.471292 # DEPENDENCYPART_ARC
(17,16),0.935384 # DEPENDENCYPART_ARC
(17,18),1.55221 # DEPENDENCYPART_ARC
(17,19),-0.83588 # DEPENDENCYPART_ARC
(17,20),-1.11447 # DEPENDENCYPART_ARC
(17,21),-1.01427 # DEPENDENCYPART_ARC
(17,23),-1.63868 # DEPENDENCYPART_ARC
(17,24),-1.16998 # DEPENDENCYPART_ARC
(17,27),-2.28481 # DEPENDENCYPART_ARC
(17,28),-1.5061 # DEPENDENCYPART_ARC
(18,9),-1.95459 # DEPENDENCYPART_ARC
(18,12),-1.74657 # DEPENDENCYPART_ARC
(18,13),-1.09935 # DEPENDENCYPART_ARC
(18,15),-1.64608 # DEPENDENCYPART_ARC
(18,16),-1.6446 # DEPENDENCYPART_ARC
(18,19),0.695937 # DEPENDENCYPART_ARC
(18,20),0.0115605 # DEPENDENCYPART_ARC
(18,21),-0.333708 # DEPENDENCYPART_ARC
(18,23),-1.26809 # DEPENDENCYPART_ARC
(18,24),-1.05678 # DEPENDENCYPART_ARC
(18,26),-2.18689 # DEPENDENCYPART_ARC
(18,27),-1.67083 # DEPENDENCYPART_ARC
(18,28),-1.80561 # DEPENDENCYPART_ARC
(19,5),-1.81721 # DEPENDENCYPART_ARC
(19,9),-1.39108 # DEPENDENCYPART_ARC
(19,10),-1.35908 # DEPENDENCYPART_ARC
(19,12),-1.57754 # DEPENDENCYPART_ARC
(19,13),-1.48838 # DEPENDENCYPART_ARC
(19,15),-1.49992 # DEPENDENCYPART_ARC
(19,16),-1.42407 # DEPENDENCYPART_ARC
(19,18),-0.0986518 # DEPENDENCYPART_ARC
(19,20),0.328968 # DEPENDENCYPART_ARC
(19,21),-0.604579 # DEPENDENCYPART_ARC
(19,27),-1.78477 # DEPENDENCYPART_ARC
(20,19),-0.109386 # DEPENDENCYPART_ARC
(20,21),0.67276 # DEPENDENCYPART_ARC
(20,23),-1.0957 # DEPENDENCYPART_ARC
(20,24),-1.42648 # DEPENDENCYPART_ARC
(20,25),-2.25418 # DEPENDENCYPART_ARC
(20,26),-2.47791 # DEPENDENCYPART_ARC
(20,27),-2.01588 # DEPENDENCYPART_ARC
(20,28),-1.65151 # DEPENDENCYPART_ARC
(21,13),-2.17402 # DEPENDENCYPART_ARC
(21,16),-2.46226 # DEPENDENCYPART_ARC
(21,19),-1.68414 # DEPENDENCYPART_ARC
(21,20),-0.756712 # DEPENDENCYPART_ARC
(21,22),0.223622 # DEPENDENCYPART_ARC
(21,23),-0.895439 # DEPENDENCYPART_ARC
(21,24),-1.26432 # DEPENDENCYPART_ARC
(21,25),-1.55099 # DEPENDENCYPART_ARC
(21,26),-1.47357 # DEPENDENCYPART_ARC
(21,27),-1.71846 # DEPENDENCYPART_ARC
(21,28),-2.05815 # DEPENDENCYPART_ARC
(22,23),-0.325659 # DEPENDENCYPART_ARC
(22,25),-1.82404 # DEPENDENCYPART_ARC
(22,26),-1.92487 # DEPENDENCYPART_ARC
(22,27),-2.00049 # DEPENDENCYPART_ARC
(23,20),-1.08589 # DEPENDENCYPART_ARC
(25,21),-2.66665 # DEPENDENCYPART_ARC
(25,22),-2.42432 # DEPENDENCYPART_ARC
(25,24),-0.505668 # DEPENDENCYPART_ARC
(25,26),-0.483337 # DEPENDENCYPART_ARC
(26,21),-2.08269 # DEPENDENCYPART_ARC
(26,22),-1.91009 # DEPENDENCYPART_ARC
(26,23),-1.87473 # DEPENDENCYPART_ARC
(26,24),-1.03271 # DEPENDENCYPART_ARC
(26,25),1.54773 # DEPENDENCYPART_ARC
(26,27),-0.618737 # DEPENDENCYPART_ARC
(27,2),-0.332845 # DEPENDENCYPART_ARC
(27,5),-1.69424 # DEPENDENCYPART_ARC
(27,8),-2.67031 # DEPENDENCYPART_ARC
(27,10),-1.80286 # DEPENDENCYPART_ARC
(27,12),-2.69208 # DEPENDENCYPART_ARC
(27,13),-1.62958 # DEPENDENCYPART_ARC
(27,14),-0.251979 # DEPENDENCYPART_ARC
(27,17),-0.891716 # DEPENDENCYPART_ARC
(27,18),-0.834545 # DEPENDENCYPART_ARC
(27,19),-1.85332 # DEPENDENCYPART_ARC
(27,20),-1.43545 # DEPENDENCYPART_ARC
(27,21),-0.883706 # DEPENDENCYPART_ARC
(27,22),-1.63288 # DEPENDENCYPART_ARC
(27,23),-0.662131 # DEPENDENCYPART_ARC
(27,24),-0.440935 # DEPENDENCYPART_ARC
(27,25),-0.305114 # DEPENDENCYPART_ARC
(27,26),1.20627 # DEPENDENCYPART_ARC
(27,28),1.07473 # DEPENDENCYPART_ARC
(0,2),(0,17),-0.257595 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.283814 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.267329 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0706635 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.211786 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0589392 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0780771 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0953267 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.221761 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0163147 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0737783 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.211786 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0800849 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.161407 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.150253 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0143981 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.14843 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0953267 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.00742919 # DEPENDENCYPART_SIBL
(2,1),(2,27),-0.180827 # DEPENDENCYPART_SIBL
(2,1),(2,28),0.0341257 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0262709 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0583224 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0415093 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0714858 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0255937 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0519499 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0388027 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0262709 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0478053 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0640649 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0511452 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0508088 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0534763 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.0714858 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.0766288 # DEPENDENCYPART_SIBL
(2,4),(2,27),-0.0685198 # DEPENDENCYPART_SIBL
(2,4),(2,28),-0.0388681 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0268587 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0353699 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.000209334 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0469108 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0568019 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0327374 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0469242 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0305835 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.00864461 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0230592 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0551334 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0252428 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.000209334 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.00990658 # DEPENDENCYPART_SIBL
(2,5),(2,27),-0.0380172 # DEPENDENCYPART_SIBL
(2,5),(2,28),0.0062909 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0457599 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.031373 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0308073 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0536394 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0434125 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.031162 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0787392 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.116151 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.0888098 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.066395 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0902987 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.031373 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.120698 # DEPENDENCYPART_SIBL
(2,6),(2,27),-0.0761847 # DEPENDENCYPART_SIBL
(2,6),(2,28),-0.0406727 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0282763 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.056536 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.057346 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0716492 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0564555 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0188664 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0341711 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0382845 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0725771 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0407354 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0282763 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.105348 # DEPENDENCYPART_SIBL
(2,7),(2,27),-0.0568466 # DEPENDENCYPART_SIBL
(2,7),(2,28),-0.0177078 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0113211 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.011358 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0256275 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00614577 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.059901 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0193977 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.00884795 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.0527559 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0133503 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0346836 # DEPENDENCYPART_SIBL
(2,8),(2,24),0.00730027 # DEPENDENCYPART_SIBL
(2,8),(2,27),-0.0325368 # DEPENDENCYPART_SIBL
(2,8),(2,28),0.00253211 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0447123 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0209176 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0319917 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0179211 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.00323485 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0105946 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0473695 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.0127783 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0149495 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.00142489 # DEPENDENCYPART_SIBL
(2,9),(2,27),-0.0255534 # DEPENDENCYPART_SIBL
(2,9),(2,28),0.0115433 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.00333505 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.022316 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.00283024 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.00160459 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.00208788 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0214918 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.000363193 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.00570209 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.0286498 # DEPENDENCYPART_SIBL
(2,10),(2,27),-0.0249134 # DEPENDENCYPART_SIBL
(2,10),(2,28),0.00783982 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0654152 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0150797 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0270389 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0311524 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0679069 # DEPENDENCYPART_SIBL
(2,11),(2,21),-0.0336033 # DEPENDENCYPART_SIBL
(2,11),(2,23),-0.0196685 # DEPENDENCYPART_SIBL
(2,11),(2,24),-0.10114 # DEPENDENCYPART_SIBL
(2,11),(2,27),-0.0497187 # DEPENDENCYPART_SIBL
(2,11),(2,28),-0.0118696 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0305835 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.00864461 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0230592 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0551334 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.0252428 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.000209334 # DEPENDENCYPART_SIBL
(2,12),(2,24),-0.00990658 # DEPENDENCYPART_SIBL
(2,12),(2,27),-0.0380172 # DEPENDENCYPART_SIBL
(2,12),(2,28),0.0062909 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0221121 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0143995 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0308743 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0119484 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.067385 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.0543869 # DEPENDENCYPART_SIBL
(2,14),(2,27),-0.0102622 # DEPENDENCYPART_SIBL
(2,14),(2,28),0.00568775 # DEPENDENCYPART_SIBL
(2,17),(2,18),-0.111379 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.103726 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.1138 # DEPENDENCYPART_SIBL
(2,17),(2,23),-0.0665456 # DEPENDENCYPART_SIBL
(2,17),(2,24),-0.100777 # DEPENDENCYPART_SIBL
(2,17),(2,27),-0.148429 # DEPENDENCYPART_SIBL
(2,17),(2,28),-0.0288004 # DEPENDENCYPART_SIBL
(2,18),(2,19),-0.0813202 # DEPENDENCYPART_SIBL
(2,18),(2,21),-0.0754611 # DEPENDENCYPART_SIBL
(2,18),(2,23),-0.0696823 # DEPENDENCYPART_SIBL
(2,18),(2,24),-0.0345546 # DEPENDENCYPART_SIBL
(2,18),(2,27),-0.109983 # DEPENDENCYPART_SIBL
(2,18),(2,28),-0.0163767 # DEPENDENCYPART_SIBL
(2,19),(2,21),-0.0343548 # DEPENDENCYPART_SIBL
(2,19),(2,23),-0.0345535 # DEPENDENCYPART_SIBL
(2,19),(2,24),-0.0524863 # DEPENDENCYPART_SIBL
(2,19),(2,27),-0.0498463 # DEPENDENCYPART_SIBL
(2,19),(2,28),-0.0216582 # DEPENDENCYPART_SIBL
(2,21),(2,23),-0.0612057 # DEPENDENCYPART_SIBL
(2,21),(2,24),-0.0286284 # DEPENDENCYPART_SIBL
(2,21),(2,27),-0.10409 # DEPENDENCYPART_SIBL
(2,21),(2,28),-0.00617272 # DEPENDENCYPART_SIBL
(2,23),(2,24),0.00730027 # DEPENDENCYPART_SIBL
(2,23),(2,27),-0.0325368 # DEPENDENCYPART_SIBL
(2,23),(2,28),0.00253211 # DEPENDENCYPART_SIBL
(2,24),(2,27),-0.0375496 # DEPENDENCYPART_SIBL
(2,24),(2,28),-0.0556428 # DEPENDENCYPART_SIBL
(2,27),(2,28),0.0189157 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00601203 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0229033 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0720001 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00283305 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0105082 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0247846 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0312639 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0176118 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00158296 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00698561 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0278175 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00530072 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0928663 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0345009 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0111166 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0405323 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0552013 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.00139106 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0490184 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0176118 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.00108937 # DEPENDENCYPART_SIBL
(5,2),(5,28),0.0565909 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.170838 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0539798 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0691535 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0930571 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.050036 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0282944 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0656626 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0451207 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0316753 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0627363 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0393049 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0404178 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.048636 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0320244 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.00659607 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0930571 # DEPENDENCYPART_SIBL
(5,3),(5,24),-0.00596717 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.0495894 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.166919 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0796525 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.100933 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0237392 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.096103 # DEPENDENCYPART_SIBL
