# _root_ We think it is n't such a great burden , that it carries no stigma , and we are prepared to do it . ''
#goldHeads=2,17,4,13,4,9,9,9,4,13,13,13,2,15,13,17,0,19,17,19,22,20,22,17,17,
#predictedHeads=2,17,4,2,4,9,9,9,4,17,13,13,17,15,13,17,0,19,17,19,22,20,22,17,17,
(9,10),0.0830927 # DEPENDENCYPART_ARC
(9,11),-1.77534 # DEPENDENCYPART_ARC
(9,13),-1.87416 # DEPENDENCYPART_ARC
(9,15),-1.86814 # DEPENDENCYPART_ARC
(9,16),-1.36481 # DEPENDENCYPART_ARC
(9,17),-1.58314 # DEPENDENCYPART_ARC
(9,19),-2.27872 # DEPENDENCYPART_ARC
(9,20),-1.7612 # DEPENDENCYPART_ARC
(9,22),-2.09629 # DEPENDENCYPART_ARC
(9,24),-2.1493 # DEPENDENCYPART_ARC
(10,11),-0.505051 # DEPENDENCYPART_ARC
(11,9),-1.70159 # DEPENDENCYPART_ARC
(11,10),-0.0519102 # DEPENDENCYPART_ARC
(11,12),-0.438295 # DEPENDENCYPART_ARC
(11,15),-2.12675 # DEPENDENCYPART_ARC
(11,25),-1.80786 # DEPENDENCYPART_ARC
(13,1),-2.25423 # DEPENDENCYPART_ARC
(13,2),-1.62632 # DEPENDENCYPART_ARC
(13,3),-2.06048 # DEPENDENCYPART_ARC
(13,4),-1.25588 # DEPENDENCYPART_ARC
(13,5),-1.94453 # DEPENDENCYPART_ARC
(13,6),-1.83434 # DEPENDENCYPART_ARC
(13,7),-1.99596 # DEPENDENCYPART_ARC
(13,8),-1.79689 # DEPENDENCYPART_ARC
(13,9),-2.12585 # DEPENDENCYPART_ARC
(13,10),-0.963577 # DEPENDENCYPART_ARC
(13,11),0.00923928 # DEPENDENCYPART_ARC
(13,12),0.658394 # DEPENDENCYPART_ARC
(13,14),0.191215 # DEPENDENCYPART_ARC
(13,15),0.0793276 # DEPENDENCYPART_ARC
(13,16),-0.929439 # DEPENDENCYPART_ARC
(13,17),-1.12977 # DEPENDENCYPART_ARC
(13,19),-1.72327 # DEPENDENCYPART_ARC
(13,20),-1.66142 # DEPENDENCYPART_ARC
(13,21),-1.83159 # DEPENDENCYPART_ARC
(13,22),-1.94228 # DEPENDENCYPART_ARC
(13,24),-1.75847 # DEPENDENCYPART_ARC
(13,25),-1.00955 # DEPENDENCYPART_ARC
(14,15),-0.250515 # DEPENDENCYPART_ARC
(14,16),-1.00041 # DEPENDENCYPART_ARC
(15,2),-2.04464 # DEPENDENCYPART_ARC
(15,6),-2.76273 # DEPENDENCYPART_ARC
(15,11),-1.31475 # DEPENDENCYPART_ARC
(15,12),-1.31149 # DEPENDENCYPART_ARC
(15,13),-0.627319 # DEPENDENCYPART_ARC
(15,14),0.960009 # DEPENDENCYPART_ARC
(15,16),-0.151087 # DEPENDENCYPART_ARC
(15,17),-1.5857 # DEPENDENCYPART_ARC
(15,19),-1.91349 # DEPENDENCYPART_ARC
(15,20),-1.93931 # DEPENDENCYPART_ARC
(15,21),-1.92391 # DEPENDENCYPART_ARC
(15,22),-2.2088 # DEPENDENCYPART_ARC
(15,25),-1.68227 # DEPENDENCYPART_ARC
(17,1),-1.73208 # DEPENDENCYPART_ARC
(17,2),-1.32738 # DEPENDENCYPART_ARC
(17,3),-1.01442 # DEPENDENCYPART_ARC
(17,4),-1.29937 # DEPENDENCYPART_ARC
(17,5),-1.02007 # DEPENDENCYPART_ARC
(17,6),-1.71483 # DEPENDENCYPART_ARC
(17,7),-1.68019 # DEPENDENCYPART_ARC
(17,8),-1.50079 # DEPENDENCYPART_ARC
(17,9),-1.32776 # DEPENDENCYPART_ARC
(17,10),-1.77202 # DEPENDENCYPART_ARC
(17,11),-0.955488 # DEPENDENCYPART_ARC
(17,12),-1.23779 # DEPENDENCYPART_ARC
(17,13),-0.891044 # DEPENDENCYPART_ARC
(17,14),-1.1105 # DEPENDENCYPART_ARC
(17,15),-0.947693 # DEPENDENCYPART_ARC
(17,16),1.36933 # DEPENDENCYPART_ARC
(17,18),0.342627 # DEPENDENCYPART_ARC
(17,19),0.206557 # DEPENDENCYPART_ARC
(17,20),-1.02896 # DEPENDENCYPART_ARC
(17,21),-1.1935 # DEPENDENCYPART_ARC
(17,22),-1.32931 # DEPENDENCYPART_ARC
(17,24),-0.18815 # DEPENDENCYPART_ARC
(17,25),-1.08691 # DEPENDENCYPART_ARC
(18,19),-0.353332 # DEPENDENCYPART_ARC
(19,2),-1.35266 # DEPENDENCYPART_ARC
(19,4),-1.10736 # DEPENDENCYPART_ARC
(19,5),-1.43252 # DEPENDENCYPART_ARC
(19,6),-1.40086 # DEPENDENCYPART_ARC
(19,7),-1.807 # DEPENDENCYPART_ARC
(19,8),-1.37698 # DEPENDENCYPART_ARC
(19,9),-1.0002 # DEPENDENCYPART_ARC
(19,10),-2.10196 # DEPENDENCYPART_ARC
(19,11),-0.635036 # DEPENDENCYPART_ARC
(19,12),-2.0325 # DEPENDENCYPART_ARC
(19,13),-1.35732 # DEPENDENCYPART_ARC
(19,14),-1.67531 # DEPENDENCYPART_ARC
(19,15),-1.85751 # DEPENDENCYPART_ARC
(19,16),-0.97217 # DEPENDENCYPART_ARC
(19,17),-0.314751 # DEPENDENCYPART_ARC
(19,18),0.938662 # DEPENDENCYPART_ARC
(19,20),0.907479 # DEPENDENCYPART_ARC
(19,21),-0.599618 # DEPENDENCYPART_ARC
(19,22),-0.453487 # DEPENDENCYPART_ARC
(19,24),-0.707641 # DEPENDENCYPART_ARC
(19,25),-0.593915 # DEPENDENCYPART_ARC
(20,15),-1.88862 # DEPENDENCYPART_ARC
(20,16),-1.57239 # DEPENDENCYPART_ARC
(20,17),-1.13882 # DEPENDENCYPART_ARC
(20,18),-1.16826 # DEPENDENCYPART_ARC
(20,21),0.274944 # DEPENDENCYPART_ARC
(20,22),-0.366788 # DEPENDENCYPART_ARC
(20,24),-1.10647 # DEPENDENCYPART_ARC
(20,25),-0.922303 # DEPENDENCYPART_ARC
(21,20),-0.101102 # DEPENDENCYPART_ARC
(21,22),-0.398445 # DEPENDENCYPART_ARC
(21,24),-1.41608 # DEPENDENCYPART_ARC
(21,25),-1.44862 # DEPENDENCYPART_ARC
(22,9),-1.56757 # DEPENDENCYPART_ARC
(22,10),-2.53488 # DEPENDENCYPART_ARC
(22,11),-1.00174 # DEPENDENCYPART_ARC
(22,13),-1.55986 # DEPENDENCYPART_ARC
(22,15),-2.31713 # DEPENDENCYPART_ARC
(22,16),-1.82703 # DEPENDENCYPART_ARC
(22,17),-0.995126 # DEPENDENCYPART_ARC
(22,18),-1.36294 # DEPENDENCYPART_ARC
(22,19),-1.22621 # DEPENDENCYPART_ARC
(22,20),-0.939792 # DEPENDENCYPART_ARC
(22,21),1.22175 # DEPENDENCYPART_ARC
(22,23),0.470609 # DEPENDENCYPART_ARC
(22,24),-0.405438 # DEPENDENCYPART_ARC
(22,25),-0.616101 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.163012 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.163955 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.131764 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.163116 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.169427 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.178316 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.146733 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.179425 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.183798 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.131702 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.164095 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.170409 # DEPENDENCYPART_SIBL
(0,17),(0,19),-0.132401 # DEPENDENCYPART_SIBL
(0,17),(0,22),-0.133514 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.183034 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.102535 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0662117 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0706683 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0297852 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0628495 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00725574 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0773081 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00210025 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0484954 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.00210025 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0325313 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0728842 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0581676 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0991658 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.0282488 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.041113 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00761418 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0473095 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00919112 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0412933 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0117384 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0240532 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0211689 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0240532 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.010153 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0466966 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.0058791 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0557685 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.052653 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0243364 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0270799 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00345205 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0215928 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00540372 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0528379 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0213593 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0528379 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0475503 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0335405 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0316757 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0496329 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0721025 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0682839 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0309995 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.076749 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.000702101 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0440592 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0670453 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0440592 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0158702 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.00115576 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0673642 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.00194031 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0173792 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0268258 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0572595 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0491234 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0151584 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0472935 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0151584 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0393069 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0611133 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0377888 # DEPENDENCYPART_SIBL
(2,6),(2,24),-0.0542781 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.0507814 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0644348 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0306215 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0622634 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0539935 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0622634 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0486734 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0707656 # DEPENDENCYPART_SIBL
(2,7),(2,22),-0.0549793 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0428877 # DEPENDENCYPART_SIBL
(2,7),(2,25),-0.029597 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0256046 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00216359 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0290147 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.00216359 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0250852 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0427541 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0195094 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0318053 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.0320479 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0417264 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0582852 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0417264 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.0637804 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.0587314 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.079398 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.0502135 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.0466531 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0119908 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.00460503 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0213968 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0557548 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.00176718 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0235816 # DEPENDENCYPART_SIBL
(2,10),(2,25),0.0215196 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.00144199 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0457391 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.0408327 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.042515 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.029955 # DEPENDENCYPART_SIBL
(2,13),(2,25),0.0294533 # DEPENDENCYPART_SIBL
(2,16),(2,17),-0.0213968 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0557548 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.00176718 # DEPENDENCYPART_SIBL
(2,16),(2,24),-0.0235816 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.0215196 # DEPENDENCYPART_SIBL
(2,17),(2,19),-0.0401509 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.0310537 # DEPENDENCYPART_SIBL
(2,17),(2,24),-0.0181386 # DEPENDENCYPART_SIBL
(2,17),(2,25),0.00688978 # DEPENDENCYPART_SIBL
(2,19),(2,22),-0.0657078 # DEPENDENCYPART_SIBL
(2,19),(2,24),0.0460157 # DEPENDENCYPART_SIBL
(2,19),(2,25),-0.0291221 # DEPENDENCYPART_SIBL
(2,22),(2,24),0.0323561 # DEPENDENCYPART_SIBL
(2,22),(2,25),0.0451382 # DEPENDENCYPART_SIBL
(2,24),(2,25),0.137421 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.000891575 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.045183 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.101412 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0421412 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0123301 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.05989 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0185951 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0998236 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0354995 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0582181 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0185951 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0087443 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0282779 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0244434 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0540523 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0217149 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0750657 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.011686 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.00684088 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.00385474 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0107603 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.07998 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0252877 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00831784 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0107603 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0144239 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0223925 # DEPENDENCYPART_SIBL
(4,2),(4,24),0.0124587 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.00641944 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.106754 # DEPENDENCYPART_SIBL
(4,3),(4,6),-3.54224e-05 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0355089 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0387654 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.00779625 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.121188 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.165905 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0404373 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.00779625 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0203379 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.182376 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.00435972 # DEPENDENCYPART_SIBL
(4,3),(4,25),-0.00863133 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.108031 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.117425 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0398019 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0453253 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00466503 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0958521 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0491664 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0453253 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0428859 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.0233121 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0403595 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.054614 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0774182 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0744803 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0502908 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0861266 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0703581 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0651158 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0502908 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0568506 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0903556 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0495505 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.0897064 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0445031 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0308375 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0625285 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0443102 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0351386 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0308375 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0361681 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0642273 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0174085 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.0640514 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0114882 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0817173 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0253298 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0375422 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0114882 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0519582 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0309491 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.00442513 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.0182124 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0515922 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0324121 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0583147 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0491599 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0131234 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0114313 # DEPENDENCYPART_SIBL
(4,10),(4,24),0.008903 # DEPENDENCYPART_SIBL
(4,10),(4,25),0.0565859 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0790411 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0491712 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0849456 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0737965 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.102005 # DEPENDENCYPART_SIBL
(4,11),(4,24),-0.102066 # DEPENDENCYPART_SIBL
(4,11),(4,25),-0.0715405 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0380165 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0545256 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0748757 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0642154 # DEPENDENCYPART_SIBL
(4,13),(4,24),-0.00169798 # DEPENDENCYPART_SIBL
(4,13),(4,25),-0.0373314 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.00740897 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.0460472 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.026877 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.00383378 # DEPENDENCYPART_SIBL
(4,15),(4,25),-0.016752 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0131234 # DEPENDENCYPART_SIBL
(4,16),(4,19),-0.0114313 # DEPENDENCYPART_SIBL
(4,16),(4,24),0.008903 # DEPENDENCYPART_SIBL
(4,16),(4,25),0.0565859 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.0185899 # DEPENDENCYPART_SIBL
