# _root_ But , IRS private ruling 8940061 notes , no rule or court case bears directly on the issue of adding land to a principal residence .
#goldHeads=14,7,5,5,7,5,14,7,11,11,14,13,11,0,14,14,18,16,18,19,20,20,25,25,22,14,
#predictedHeads=14,14,5,5,7,7,11,11,10,11,14,11,11,0,14,14,18,16,18,19,20,21,25,25,22,14,
(4,7),-1.38753 # DEPENDENCYPART_ARC
(4,8),-1.19001 # DEPENDENCYPART_ARC
(5,1),-1.44927 # DEPENDENCYPART_ARC
(5,2),-1.54011 # DEPENDENCYPART_ARC
(5,3),-0.277154 # DEPENDENCYPART_ARC
(5,4),1.01969 # DEPENDENCYPART_ARC
(5,6),-0.168563 # DEPENDENCYPART_ARC
(5,7),-1.13045 # DEPENDENCYPART_ARC
(5,8),-1.27133 # DEPENDENCYPART_ARC
(5,9),-1.97391 # DEPENDENCYPART_ARC
(5,10),-1.96594 # DEPENDENCYPART_ARC
(5,11),-1.37797 # DEPENDENCYPART_ARC
(5,12),-1.87418 # DEPENDENCYPART_ARC
(5,13),-2.03973 # DEPENDENCYPART_ARC
(5,14),-1.95807 # DEPENDENCYPART_ARC
(5,15),-1.99603 # DEPENDENCYPART_ARC
(5,16),-2.00017 # DEPENDENCYPART_ARC
(5,18),-2.22312 # DEPENDENCYPART_ARC
(6,3),-1.27769 # DEPENDENCYPART_ARC
(6,4),-1.08238 # DEPENDENCYPART_ARC
(6,5),-0.244177 # DEPENDENCYPART_ARC
(6,8),-1.08872 # DEPENDENCYPART_ARC
(7,1),-1.22901 # DEPENDENCYPART_ARC
(7,2),-1.14949 # DEPENDENCYPART_ARC
(7,3),-0.55123 # DEPENDENCYPART_ARC
(7,4),-0.408856 # DEPENDENCYPART_ARC
(7,5),-0.00168175 # DEPENDENCYPART_ARC
(7,6),1.13998 # DEPENDENCYPART_ARC
(7,8),0.338154 # DEPENDENCYPART_ARC
(7,9),-1.53495 # DEPENDENCYPART_ARC
(7,10),-1.43621 # DEPENDENCYPART_ARC
(7,11),-1.29353 # DEPENDENCYPART_ARC
(7,12),-1.48068 # DEPENDENCYPART_ARC
(7,13),-1.66759 # DEPENDENCYPART_ARC
(7,14),-1.6784 # DEPENDENCYPART_ARC
(7,15),-1.68779 # DEPENDENCYPART_ARC
(7,16),-1.91348 # DEPENDENCYPART_ARC
(7,18),-1.83774 # DEPENDENCYPART_ARC
(7,25),-1.81942 # DEPENDENCYPART_ARC
(7,26),-1.58175 # DEPENDENCYPART_ARC
(9,8),0.0265219 # DEPENDENCYPART_ARC
(9,10),-0.290918 # DEPENDENCYPART_ARC
(9,11),-1.05989 # DEPENDENCYPART_ARC
(10,2),-2.88113 # DEPENDENCYPART_ARC
(10,3),-2.97041 # DEPENDENCYPART_ARC
(10,4),-2.7329 # DEPENDENCYPART_ARC
(10,5),-2.61781 # DEPENDENCYPART_ARC
(10,6),-2.34808 # DEPENDENCYPART_ARC
(10,7),-2.37823 # DEPENDENCYPART_ARC
(10,9),0.512813 # DEPENDENCYPART_ARC
(10,12),-0.987551 # DEPENDENCYPART_ARC
(10,13),-1.41467 # DEPENDENCYPART_ARC
(10,14),-1.07813 # DEPENDENCYPART_ARC
(10,15),-1.39201 # DEPENDENCYPART_ARC
(10,16),-1.11083 # DEPENDENCYPART_ARC
(10,19),-1.78819 # DEPENDENCYPART_ARC
(10,20),-1.61642 # DEPENDENCYPART_ARC
(10,22),-1.17626 # DEPENDENCYPART_ARC
(11,1),-1.15811 # DEPENDENCYPART_ARC
(11,2),-1.56261 # DEPENDENCYPART_ARC
(11,3),-1.34546 # DEPENDENCYPART_ARC
(11,4),-1.6897 # DEPENDENCYPART_ARC
(11,5),-1.39246 # DEPENDENCYPART_ARC
(11,6),-1.6584 # DEPENDENCYPART_ARC
(11,7),-0.905819 # DEPENDENCYPART_ARC
(11,8),-0.803326 # DEPENDENCYPART_ARC
(11,9),-0.312509 # DEPENDENCYPART_ARC
(11,10),1.85756 # DEPENDENCYPART_ARC
(11,12),2.10862 # DEPENDENCYPART_ARC
(11,13),0.564635 # DEPENDENCYPART_ARC
(11,14),-0.814704 # DEPENDENCYPART_ARC
(11,15),-1.02081 # DEPENDENCYPART_ARC
(11,16),-0.908495 # DEPENDENCYPART_ARC
(11,18),-1.44605 # DEPENDENCYPART_ARC
(11,19),-1.01521 # DEPENDENCYPART_ARC
(11,20),-1.84451 # DEPENDENCYPART_ARC
(11,21),-1.76519 # DEPENDENCYPART_ARC
(11,25),-1.93077 # DEPENDENCYPART_ARC
(11,26),-1.99965 # DEPENDENCYPART_ARC
(12,9),-2.35792 # DEPENDENCYPART_ARC
(12,10),-1.76962 # DEPENDENCYPART_ARC
(12,11),-0.877527 # DEPENDENCYPART_ARC
(12,13),-0.888643 # DEPENDENCYPART_ARC
(12,14),-1.26639 # DEPENDENCYPART_ARC
(13,2),-1.51376 # DEPENDENCYPART_ARC
(13,4),-1.62417 # DEPENDENCYPART_ARC
(13,5),-1.86883 # DEPENDENCYPART_ARC
(13,6),-1.47937 # DEPENDENCYPART_ARC
(13,8),-0.98542 # DEPENDENCYPART_ARC
(13,9),-0.166076 # DEPENDENCYPART_ARC
(13,10),-0.302726 # DEPENDENCYPART_ARC
(13,11),0.37683 # DEPENDENCYPART_ARC
(13,12),2.05552 # DEPENDENCYPART_ARC
(13,14),-0.467239 # DEPENDENCYPART_ARC
(13,15),-1.42779 # DEPENDENCYPART_ARC
(13,16),-1.4339 # DEPENDENCYPART_ARC
(13,18),-1.71758 # DEPENDENCYPART_ARC
(13,19),-1.98262 # DEPENDENCYPART_ARC
(13,20),-1.8664 # DEPENDENCYPART_ARC
(13,22),-1.57403 # DEPENDENCYPART_ARC
(14,1),-0.98799 # DEPENDENCYPART_ARC
(14,2),-1.85064 # DEPENDENCYPART_ARC
(14,3),-1.75029 # DEPENDENCYPART_ARC
(14,4),-1.61722 # DEPENDENCYPART_ARC
(14,5),-1.77088 # DEPENDENCYPART_ARC
(14,6),-1.77111 # DEPENDENCYPART_ARC
(14,7),-1.84241 # DEPENDENCYPART_ARC
(14,8),-1.04299 # DEPENDENCYPART_ARC
(14,9),-1.04575 # DEPENDENCYPART_ARC
(14,10),-0.600657 # DEPENDENCYPART_ARC
(14,11),-0.618742 # DEPENDENCYPART_ARC
(14,12),-0.443257 # DEPENDENCYPART_ARC
(14,13),0.479144 # DEPENDENCYPART_ARC
(14,15),0.737353 # DEPENDENCYPART_ARC
(14,16),-0.00488448 # DEPENDENCYPART_ARC
(14,18),-0.557627 # DEPENDENCYPART_ARC
(14,19),-0.858856 # DEPENDENCYPART_ARC
(14,20),-0.76604 # DEPENDENCYPART_ARC
(14,21),-1.50557 # DEPENDENCYPART_ARC
(14,22),-1.05472 # DEPENDENCYPART_ARC
(14,25),-1.42735 # DEPENDENCYPART_ARC
(14,26),0.15004 # DEPENDENCYPART_ARC
(15,1),-1.75438 # DEPENDENCYPART_ARC
(15,5),-1.94439 # DEPENDENCYPART_ARC
(15,7),-1.97531 # DEPENDENCYPART_ARC
(15,10),-1.52737 # DEPENDENCYPART_ARC
(15,11),-1.46612 # DEPENDENCYPART_ARC
(15,12),-1.41556 # DEPENDENCYPART_ARC
(15,13),-1.4117 # DEPENDENCYPART_ARC
(15,14),-0.263996 # DEPENDENCYPART_ARC
(15,16),-0.131515 # DEPENDENCYPART_ARC
(15,17),-0.899013 # DEPENDENCYPART_ARC
(15,18),-1.14785 # DEPENDENCYPART_ARC
(15,19),-1.1172 # DEPENDENCYPART_ARC
(15,21),-1.51337 # DEPENDENCYPART_ARC
(15,22),-1.15987 # DEPENDENCYPART_ARC
(16,13),-1.42118 # DEPENDENCYPART_ARC
(16,15),-0.0365044 # DEPENDENCYPART_ARC
(16,17),0.196502 # DEPENDENCYPART_ARC
(16,18),0.195855 # DEPENDENCYPART_ARC
(16,19),-0.93599 # DEPENDENCYPART_ARC
(16,20),-0.848574 # DEPENDENCYPART_ARC
(16,21),-1.28118 # DEPENDENCYPART_ARC
(16,22),-1.3914 # DEPENDENCYPART_ARC
(16,25),-1.87681 # DEPENDENCYPART_ARC
(16,26),-0.691987 # DEPENDENCYPART_ARC
(17,19),-1.12343 # DEPENDENCYPART_ARC
(17,20),-1.3175 # DEPENDENCYPART_ARC
(18,9),-2.66766 # DEPENDENCYPART_ARC
(18,11),-1.77949 # DEPENDENCYPART_ARC
(18,15),-1.33582 # DEPENDENCYPART_ARC
(18,16),-0.963045 # DEPENDENCYPART_ARC
(18,17),1.08422 # DEPENDENCYPART_ARC
(18,19),0.44121 # DEPENDENCYPART_ARC
(18,20),-0.534616 # DEPENDENCYPART_ARC
(18,21),-1.10663 # DEPENDENCYPART_ARC
(18,22),-0.923863 # DEPENDENCYPART_ARC
(18,25),-1.2771 # DEPENDENCYPART_ARC
(18,26),-1.20261 # DEPENDENCYPART_ARC
(19,17),-1.28961 # DEPENDENCYPART_ARC
(19,18),-0.304659 # DEPENDENCYPART_ARC
(19,20),0.670216 # DEPENDENCYPART_ARC
(19,21),-0.720211 # DEPENDENCYPART_ARC
(19,22),-1.39442 # DEPENDENCYPART_ARC
(19,24),-1.37047 # DEPENDENCYPART_ARC
(19,25),-2.05849 # DEPENDENCYPART_ARC
(20,7),-3.49594 # DEPENDENCYPART_ARC
(20,18),-1.91045 # DEPENDENCYPART_ARC
(20,19),-0.776933 # DEPENDENCYPART_ARC
(20,21),0.710612 # DEPENDENCYPART_ARC
(20,22),-0.658205 # DEPENDENCYPART_ARC
(20,23),-1.28432 # DEPENDENCYPART_ARC
(20,24),-1.36615 # DEPENDENCYPART_ARC
(20,25),-0.723333 # DEPENDENCYPART_ARC
(20,26),-0.624966 # DEPENDENCYPART_ARC
(21,9),-2.96217 # DEPENDENCYPART_ARC
(21,15),-1.75331 # DEPENDENCYPART_ARC
(21,16),-1.34585 # DEPENDENCYPART_ARC
(21,17),-1.41653 # DEPENDENCYPART_ARC
(21,18),-1.3826 # DEPENDENCYPART_ARC
(21,19),-0.829145 # DEPENDENCYPART_ARC
(21,20),0.32837 # DEPENDENCYPART_ARC
(21,22),-0.0604323 # DEPENDENCYPART_ARC
(21,23),-1.30062 # DEPENDENCYPART_ARC
(21,24),-1.21781 # DEPENDENCYPART_ARC
(21,25),-1.44458 # DEPENDENCYPART_ARC
(21,26),-1.24232 # DEPENDENCYPART_ARC
(22,21),-0.313137 # DEPENDENCYPART_ARC
(22,23),0.10297 # DEPENDENCYPART_ARC
(22,24),-0.649071 # DEPENDENCYPART_ARC
(22,25),-0.732826 # DEPENDENCYPART_ARC
(22,26),-0.857913 # DEPENDENCYPART_ARC
(23,24),-0.37192 # DEPENDENCYPART_ARC
(24,21),-1.17874 # DEPENDENCYPART_ARC
(24,23),-0.154169 # DEPENDENCYPART_ARC
(25,17),-2.41522 # DEPENDENCYPART_ARC
(25,20),-0.901469 # DEPENDENCYPART_ARC
(25,21),-1.02204 # DEPENDENCYPART_ARC
(25,22),-1.14824 # DEPENDENCYPART_ARC
(25,23),0.352576 # DEPENDENCYPART_ARC
(25,24),1.52431 # DEPENDENCYPART_ARC
(25,26),-0.351525 # DEPENDENCYPART_ARC
(26,25),-0.258541 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0582631 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0582755 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0712041 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0586704 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.134366 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0372596 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0526853 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.068653 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0465772 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.101968 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0214312 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0702697 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.0441693 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.107377 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.0239369 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.051599 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.113247 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.0332248 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.105077 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0219289 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.062954 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.000210435 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0395194 # DEPENDENCYPART_SIBL
(1,2),(1,5),5.02496e-05 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0144053 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.00749452 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.00154567 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0201996 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.000734818 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.0124243 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0192125 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0500346 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0223186 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0500081 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0447091 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0400048 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.040551 # DEPENDENCYPART_SIBL
(1,3),(1,26),-0.0449872 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0135746 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00614261 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0126337 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0330372 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0212966 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0245788 # DEPENDENCYPART_SIBL
(1,4),(1,26),-0.0895973 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0228021 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0492094 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0380536 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0398949 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0410793 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.0431319 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0124574 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0352653 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.0264818 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0288694 # DEPENDENCYPART_SIBL
(1,6),(1,26),-0.0365669 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0490913 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0408961 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.043825 # DEPENDENCYPART_SIBL
(1,7),(1,26),-0.041077 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.0201996 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.000734818 # DEPENDENCYPART_SIBL
(1,8),(1,26),-0.0124243 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.0165891 # DEPENDENCYPART_SIBL
(1,11),(1,26),0.0168998 # DEPENDENCYPART_SIBL
(1,14),(1,26),0.0529382 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0146963 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0282753 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0177187 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0715475 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0238077 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00566056 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0159378 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0135194 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00256306 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.00753352 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0820685 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00926097 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.113459 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0218468 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.140795 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0118176 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0191863 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.00853421 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0933594 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0203715 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0323833 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0149954 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0113149 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0161236 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.00478938 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.000721261 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.00100931 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0171428 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0145723 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0183986 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0144665 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.00594955 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0151397 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.00239907 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.029378 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.00838894 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0306078 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.019623 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0141076 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0212429 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.014792 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.00122321 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0216393 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.00858164 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.00483759 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0395288 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0636225 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0269955 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0637298 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.00717386 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0155946 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.00121762 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0125409 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.00652321 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.00667979 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.133324 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0104221 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0181641 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00826494 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0184988 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.126807 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00825005 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0271126 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0438162 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0209505 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.41084 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0175554 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0506881 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0208908 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0687959 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00409868 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0145813 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0309178 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00197154 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.00167827 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0215957 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0146959 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0473854 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0708304 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.066545 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0279486 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0345837 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0322642 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0200787 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0230272 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0252153 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0176603 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00234248 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0142687 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.00581711 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0240577 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0137243 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0603709 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.108452 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0259828 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.111884 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.11617 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0159536 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0532996 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0258558 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0233223 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.00363351 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0415564 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0916382 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0272795 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0722458 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0504562 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0124431 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0112428 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0896352 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0190123 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0526817 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00963507 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.00701972 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0212595 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00216995 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.00601249 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.00934146 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0915576 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.040664 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0200361 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0380276 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0321289 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0106105 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0361163 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0327504 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.00901632 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.003717 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0773695 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0304778 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0300155 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00201507 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00917143 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0312453 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0275092 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0324148 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0202605 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0177873 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00724702 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0226891 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0368213 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00445189 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.00219957 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.000622341 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0250826 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.00157618 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0210384 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0122762 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.00499241 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.00243122 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0087493 # DEPENDENCYPART_SIBL
