# _root_ But Merrill Lynch , in its statement about pulling out of index arbitrage , suggested that the current debate has missed the mark .
#goldHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
#predictedHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
(20,1),0.0207408 # DEPENDENCYPART_ARC
(20,2),-0.936448 # DEPENDENCYPART_ARC
(20,3),-1.04059 # DEPENDENCYPART_ARC
(20,4),-2.27515 # DEPENDENCYPART_ARC
(20,5),-1.59194 # DEPENDENCYPART_ARC
(20,7),-1.67249 # DEPENDENCYPART_ARC
(20,8),-2.11532 # DEPENDENCYPART_ARC
(20,9),-1.44013 # DEPENDENCYPART_ARC
(20,10),-1.83701 # DEPENDENCYPART_ARC
(20,11),-1.41943 # DEPENDENCYPART_ARC
(20,13),-1.79979 # DEPENDENCYPART_ARC
(20,14),-1.57319 # DEPENDENCYPART_ARC
(20,15),-1.37787 # DEPENDENCYPART_ARC
(20,16),0.073236 # DEPENDENCYPART_ARC
(20,17),-0.878256 # DEPENDENCYPART_ARC
(20,18),-0.719272 # DEPENDENCYPART_ARC
(20,19),1.08223 # DEPENDENCYPART_ARC
(20,21),1.66295 # DEPENDENCYPART_ARC
(20,23),-0.82061 # DEPENDENCYPART_ARC
(20,24),-0.432496 # DEPENDENCYPART_ARC
(21,5),-2.65887 # DEPENDENCYPART_ARC
(21,15),-2.16092 # DEPENDENCYPART_ARC
(21,16),-1.12576 # DEPENDENCYPART_ARC
(21,18),-1.76377 # DEPENDENCYPART_ARC
(21,19),-1.43768 # DEPENDENCYPART_ARC
(21,22),-0.177802 # DEPENDENCYPART_ARC
(21,23),0.0416962 # DEPENDENCYPART_ARC
(21,24),-0.334309 # DEPENDENCYPART_ARC
(23,17),-2.50342 # DEPENDENCYPART_ARC
(23,18),-1.56746 # DEPENDENCYPART_ARC
(23,19),-1.49419 # DEPENDENCYPART_ARC
(23,21),-0.829883 # DEPENDENCYPART_ARC
(23,22),1.33264 # DEPENDENCYPART_ARC
(23,24),-0.415523 # DEPENDENCYPART_ARC
(24,21),-1.32683 # DEPENDENCYPART_ARC
(24,23),-0.610912 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0505628 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0540186 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.147544 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.147997 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.148204 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.147544 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0589724 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.123819 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.125606 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.124511 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.12405 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.127258 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.129046 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.127951 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.127489 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.226044 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.219379 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.226974 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.220154 # DEPENDENCYPART_SIBL
(0,15),(0,21),-0.227674 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.238412 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0656578 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0446171 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00994869 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0620695 # DEPENDENCYPART_SIBL
(1,2),(1,20),-0.0641459 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.0671522 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0439254 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00936657 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0616738 # DEPENDENCYPART_SIBL
(1,3),(1,20),-0.0637502 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.0666038 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00358565 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00202829 # DEPENDENCYPART_SIBL
(1,4),(1,20),-0.011192 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.00241759 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0310804 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0332223 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0409939 # DEPENDENCYPART_SIBL
(1,9),(1,20),-0.0932536 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.0104764 # DEPENDENCYPART_SIBL
(1,20),(1,24),0.051911 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0030829 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00277016 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0206136 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00322827 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0281543 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0229662 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0106751 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0181682 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00233791 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0123204 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0454159 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0212951 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0116357 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0174498 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00346389 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0725317 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.00997939 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.023141 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.00336736 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0294535 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.00731251 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0221647 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.00201521 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.00997939 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.000745124 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.003716 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.0586893 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00426732 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0234402 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0183662 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.151038 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0192224 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0131987 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0240936 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00426732 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0305681 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.040469 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.022949 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0191503 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.01875 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.00506521 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0123716 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.010134 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0296143 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0125803 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.00132911 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.0202297 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0122703 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00978561 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0127397 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00611862 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0140243 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0196423 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.00113691 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00811439 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.00651563 # DEPENDENCYPART_SIBL
(3,5),(3,24),0.00151837 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.00265084 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0232623 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.00245928 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0162726 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0170001 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0270579 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0257202 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0271661 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00262744 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00843141 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.00890468 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.0103656 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.000628619 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0140017 # DEPENDENCYPART_SIBL
(3,8),(3,24),0.00661783 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0101347 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.00710084 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0018797 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00807502 # DEPENDENCYPART_SIBL
(3,9),(3,20),-0.00269788 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.000340402 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.056966 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.050647 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.032802 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0324141 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.043462 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0185695 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0191157 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0177779 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0186107 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.00132911 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.0202297 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.0122703 # DEPENDENCYPART_SIBL
(3,15),(3,20),-0.00743056 # DEPENDENCYPART_SIBL
(3,15),(3,24),-0.00315089 # DEPENDENCYPART_SIBL
(3,20),(3,24),0.0208022 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.204589 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.212785 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.144987 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.194158 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.145454 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.113571 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.219704 # DEPENDENCYPART_SIBL
(5,4),(5,14),1.16777 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0374066 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0185512 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0163587 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00116841 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0463382 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0382681 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0176031 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0032773 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0262903 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00859271 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0246121 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.117754 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.00780622 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.019013 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00800388 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0263123 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.03973 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0376066 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0122615 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0542645 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0614607 # DEPENDENCYPART_SIBL
(5,9),(5,14),0.0697776 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0734626 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0527118 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0241852 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0718724 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0805544 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.00255522 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0686947 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0620292 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.00252483 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0579124 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0387712 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0271717 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.00996155 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.0221338 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0224209 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.00986924 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.00217883 # DEPENDENCYPART_SIBL
(7,1),(7,24),0.0702236 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0814707 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0698768 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0271332 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00884722 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.115342 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00894252 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0402567 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0189365 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0177094 # DEPENDENCYPART_SIBL
(7,2),(7,14),0.0423782 # DEPENDENCYPART_SIBL
(7,2),(7,24),0.0241629 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0539273 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.00837785 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0198051 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.093951 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0142401 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.052863 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0404261 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0430724 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.089082 # DEPENDENCYPART_SIBL
(7,3),(7,24),0.0343602 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0442751 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.049911 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.098115 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0187423 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00893805 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.193922 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0128084 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.118432 # DEPENDENCYPART_SIBL
(7,4),(7,24),0.0327304 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0280619 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0339921 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0210379 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.0821394 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0189685 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0113526 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00898936 # DEPENDENCYPART_SIBL
(7,5),(7,24),0.000266244 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0906268 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0612418 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.057943 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0440666 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0338116 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.127332 # DEPENDENCYPART_SIBL
(7,6),(7,24),0.00128675 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.015588 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00340012 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0426646 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0026178 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.0370741 # DEPENDENCYPART_SIBL
(7,8),(7,24),0.0125428 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0108797 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.000271451 # DEPENDENCYPART_SIBL
(7,9),(7,13),-0.00683753 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0203581 # DEPENDENCYPART_SIBL
(7,9),(7,24),0.000101435 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.0561208 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.0581132 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.069673 # DEPENDENCYPART_SIBL
(7,10),(7,24),0.0442553 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.045269 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0235119 # DEPENDENCYPART_SIBL
(7,11),(7,24),-0.0259541 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.00971517 # DEPENDENCYPART_SIBL
(7,13),(7,24),0.0231774 # DEPENDENCYPART_SIBL
(7,14),(7,24),0.0199138 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0310553 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0418217 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0526527 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.00388379 # DEPENDENCYPART_SIBL
(8,7),(8,14),0.102444 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0325225 # DEPENDENCYPART_SIBL
