# _root_ UAL , which closed on the Big Board Monday at $ 178.375 a share , traded in the third market afterward as low as $ 158 a share .
#goldHeads=16,1,4,1,4,8,8,5,4,4,12,10,14,12,1,0,16,20,20,17,16,16,22,22,26,24,28,26,16,
#predictedHeads=16,1,4,1,4,9,9,9,5,4,12,10,14,12,1,0,16,20,20,17,16,21,21,23,26,24,28,26,16,
(5,7),-0.0406751 # DEPENDENCYPART_ARC
(5,8),-0.755764 # DEPENDENCYPART_ARC
(5,9),-1.10286 # DEPENDENCYPART_ARC
(5,10),-1.2282 # DEPENDENCYPART_ARC
(5,11),-1.2726 # DEPENDENCYPART_ARC
(5,14),-1.88146 # DEPENDENCYPART_ARC
(5,15),-1.27979 # DEPENDENCYPART_ARC
(5,16),-1.69634 # DEPENDENCYPART_ARC
(6,5),-0.482259 # DEPENDENCYPART_ARC
(7,6),-0.732339 # DEPENDENCYPART_ARC
(7,8),-0.536154 # DEPENDENCYPART_ARC
(7,9),-1.45704 # DEPENDENCYPART_ARC
(7,10),-1.29448 # DEPENDENCYPART_ARC
(7,11),-1.63351 # DEPENDENCYPART_ARC
(7,12),-1.74096 # DEPENDENCYPART_ARC
(7,16),-1.83627 # DEPENDENCYPART_ARC
(8,6),-0.829098 # DEPENDENCYPART_ARC
(8,7),0.0597405 # DEPENDENCYPART_ARC
(8,9),-0.437481 # DEPENDENCYPART_ARC
(8,10),-1.20583 # DEPENDENCYPART_ARC
(8,11),-1.50492 # DEPENDENCYPART_ARC
(8,12),-1.67803 # DEPENDENCYPART_ARC
(8,14),-1.92701 # DEPENDENCYPART_ARC
(8,15),-1.42338 # DEPENDENCYPART_ARC
(9,1),-3.22425 # DEPENDENCYPART_ARC
(9,6),-0.866463 # DEPENDENCYPART_ARC
(9,7),0.0744031 # DEPENDENCYPART_ARC
(9,8),1.03927 # DEPENDENCYPART_ARC
(9,10),-0.0162243 # DEPENDENCYPART_ARC
(9,11),-1.29819 # DEPENDENCYPART_ARC
(9,12),-1.43071 # DEPENDENCYPART_ARC
(9,14),-1.56428 # DEPENDENCYPART_ARC
(9,15),-1.27581 # DEPENDENCYPART_ARC
(9,16),-1.92887 # DEPENDENCYPART_ARC
(9,17),-2.27406 # DEPENDENCYPART_ARC
(9,20),-1.97584 # DEPENDENCYPART_ARC
(9,29),-2.30691 # DEPENDENCYPART_ARC
(10,5),-1.31797 # DEPENDENCYPART_ARC
(10,11),-0.195573 # DEPENDENCYPART_ARC
(10,12),-0.648027 # DEPENDENCYPART_ARC
(10,14),-1.14725 # DEPENDENCYPART_ARC
(10,15),-1.29632 # DEPENDENCYPART_ARC
(10,16),-1.97379 # DEPENDENCYPART_ARC
(10,21),-1.86577 # DEPENDENCYPART_ARC
(11,6),-1.43727 # DEPENDENCYPART_ARC
(11,9),-1.00742 # DEPENDENCYPART_ARC
(11,10),0.30604 # DEPENDENCYPART_ARC
(11,12),-0.139058 # DEPENDENCYPART_ARC
(11,13),-1.14839 # DEPENDENCYPART_ARC
(11,14),-1.29455 # DEPENDENCYPART_ARC
(11,15),-1.40483 # DEPENDENCYPART_ARC
(11,16),-1.8369 # DEPENDENCYPART_ARC
(11,17),-2.30469 # DEPENDENCYPART_ARC
(11,20),-2.38352 # DEPENDENCYPART_ARC
(12,9),-0.971969 # DEPENDENCYPART_ARC
(12,10),-0.929881 # DEPENDENCYPART_ARC
(12,11),0.758691 # DEPENDENCYPART_ARC
(12,13),0.41049 # DEPENDENCYPART_ARC
(12,14),-0.149032 # DEPENDENCYPART_ARC
(12,15),-0.571308 # DEPENDENCYPART_ARC
(12,16),-1.11925 # DEPENDENCYPART_ARC
(12,17),-1.44572 # DEPENDENCYPART_ARC
(12,20),-1.5704 # DEPENDENCYPART_ARC
(14,5),-1.43656 # DEPENDENCYPART_ARC
(14,6),-1.89922 # DEPENDENCYPART_ARC
(14,7),-1.59794 # DEPENDENCYPART_ARC
(14,8),-1.66697 # DEPENDENCYPART_ARC
(14,9),-1.72565 # DEPENDENCYPART_ARC
(14,10),-1.17447 # DEPENDENCYPART_ARC
(14,11),-1.18365 # DEPENDENCYPART_ARC
(14,12),-0.870644 # DEPENDENCYPART_ARC
(14,13),1.18149 # DEPENDENCYPART_ARC
(14,15),-0.132384 # DEPENDENCYPART_ARC
(14,16),-1.62018 # DEPENDENCYPART_ARC
(14,20),-1.96155 # DEPENDENCYPART_ARC
(16,1),-0.628179 # DEPENDENCYPART_ARC
(16,2),-1.87444 # DEPENDENCYPART_ARC
(16,3),-2.08189 # DEPENDENCYPART_ARC
(16,4),-1.26714 # DEPENDENCYPART_ARC
(16,5),-0.834969 # DEPENDENCYPART_ARC
(16,6),-1.597 # DEPENDENCYPART_ARC
(16,7),-1.63081 # DEPENDENCYPART_ARC
(16,8),-1.6384 # DEPENDENCYPART_ARC
(16,9),-1.51561 # DEPENDENCYPART_ARC
(16,10),-0.891941 # DEPENDENCYPART_ARC
(16,11),-1.23707 # DEPENDENCYPART_ARC
(16,12),-1.3916 # DEPENDENCYPART_ARC
(16,13),-1.13554 # DEPENDENCYPART_ARC
(16,14),-1.05648 # DEPENDENCYPART_ARC
(16,15),0.78274 # DEPENDENCYPART_ARC
(16,17),1.29047 # DEPENDENCYPART_ARC
(16,18),-0.412865 # DEPENDENCYPART_ARC
(16,19),-0.666291 # DEPENDENCYPART_ARC
(16,20),-0.479608 # DEPENDENCYPART_ARC
(16,21),-0.413913 # DEPENDENCYPART_ARC
(16,22),-0.54672 # DEPENDENCYPART_ARC
(16,23),-0.695144 # DEPENDENCYPART_ARC
(16,24),-1.03789 # DEPENDENCYPART_ARC
(16,28),-1.17711 # DEPENDENCYPART_ARC
(16,29),0.812339 # DEPENDENCYPART_ARC
(17,18),0.0467929 # DEPENDENCYPART_ARC
(17,19),-0.496359 # DEPENDENCYPART_ARC
(17,20),-0.464347 # DEPENDENCYPART_ARC
(17,21),-1.04434 # DEPENDENCYPART_ARC
(17,22),-1.07073 # DEPENDENCYPART_ARC
(17,23),-0.995905 # DEPENDENCYPART_ARC
(17,24),-1.26027 # DEPENDENCYPART_ARC
(17,28),-1.785 # DEPENDENCYPART_ARC
(18,19),-0.44773 # DEPENDENCYPART_ARC
(19,18),-0.117381 # DEPENDENCYPART_ARC
(19,21),-1.13701 # DEPENDENCYPART_ARC
(19,22),-1.22295 # DEPENDENCYPART_ARC
(19,23),-1.23696 # DEPENDENCYPART_ARC
(19,24),-1.19611 # DEPENDENCYPART_ARC
(20,12),-2.27467 # DEPENDENCYPART_ARC
(20,13),-2.40563 # DEPENDENCYPART_ARC
(20,17),-0.755412 # DEPENDENCYPART_ARC
(20,18),0.564119 # DEPENDENCYPART_ARC
(20,19),1.51076 # DEPENDENCYPART_ARC
(20,21),-0.356683 # DEPENDENCYPART_ARC
(20,22),-1.04873 # DEPENDENCYPART_ARC
(20,23),-1.09581 # DEPENDENCYPART_ARC
(20,24),-1.10717 # DEPENDENCYPART_ARC
(20,25),-1.47012 # DEPENDENCYPART_ARC
(20,26),-1.50645 # DEPENDENCYPART_ARC
(20,28),-1.68267 # DEPENDENCYPART_ARC
(20,29),-1.48798 # DEPENDENCYPART_ARC
(21,17),-1.20793 # DEPENDENCYPART_ARC
(21,19),-1.04065 # DEPENDENCYPART_ARC
(21,20),-0.0999562 # DEPENDENCYPART_ARC
(21,22),0.451133 # DEPENDENCYPART_ARC
(21,23),-0.6186 # DEPENDENCYPART_ARC
(21,24),-0.640273 # DEPENDENCYPART_ARC
(21,25),-0.983845 # DEPENDENCYPART_ARC
(21,26),-1.09291 # DEPENDENCYPART_ARC
(21,28),-1.15265 # DEPENDENCYPART_ARC
(22,17),-1.35521 # DEPENDENCYPART_ARC
(22,19),-1.2625 # DEPENDENCYPART_ARC
(22,20),-1.12764 # DEPENDENCYPART_ARC
(22,21),-0.26789 # DEPENDENCYPART_ARC
(22,23),0.0605056 # DEPENDENCYPART_ARC
(22,24),-0.602677 # DEPENDENCYPART_ARC
(22,25),-0.991303 # DEPENDENCYPART_ARC
(22,26),-1.10999 # DEPENDENCYPART_ARC
(22,28),-1.31011 # DEPENDENCYPART_ARC
(23,14),-1.58902 # DEPENDENCYPART_ARC
(23,17),-0.848619 # DEPENDENCYPART_ARC
(23,19),-0.926327 # DEPENDENCYPART_ARC
(23,20),-0.699754 # DEPENDENCYPART_ARC
(23,21),-0.450443 # DEPENDENCYPART_ARC
(23,22),0.626326 # DEPENDENCYPART_ARC
(23,24),0.0863954 # DEPENDENCYPART_ARC
(23,26),-1.21625 # DEPENDENCYPART_ARC
(23,28),-1.43646 # DEPENDENCYPART_ARC
(23,29),-1.12776 # DEPENDENCYPART_ARC
(24,20),-1.39904 # DEPENDENCYPART_ARC
(24,21),-1.1699 # DEPENDENCYPART_ARC
(24,22),-0.910174 # DEPENDENCYPART_ARC
(24,23),-0.269797 # DEPENDENCYPART_ARC
(24,25),-0.285479 # DEPENDENCYPART_ARC
(24,26),-0.644694 # DEPENDENCYPART_ARC
(24,28),-1.36404 # DEPENDENCYPART_ARC
(24,29),-1.36412 # DEPENDENCYPART_ARC
(25,21),-0.866569 # DEPENDENCYPART_ARC
(25,22),-0.577872 # DEPENDENCYPART_ARC
(25,23),-0.443585 # DEPENDENCYPART_ARC
(25,24),0.834709 # DEPENDENCYPART_ARC
(25,26),0.0816214 # DEPENDENCYPART_ARC
(25,27),-0.927712 # DEPENDENCYPART_ARC
(25,28),-1.07867 # DEPENDENCYPART_ARC
(25,29),-1.11115 # DEPENDENCYPART_ARC
(26,23),-0.998376 # DEPENDENCYPART_ARC
(26,24),-0.943411 # DEPENDENCYPART_ARC
(26,25),0.756367 # DEPENDENCYPART_ARC
(26,27),0.409744 # DEPENDENCYPART_ARC
(26,28),-0.188062 # DEPENDENCYPART_ARC
(26,29),-0.589629 # DEPENDENCYPART_ARC
(28,18),-1.96863 # DEPENDENCYPART_ARC
(28,19),-1.85176 # DEPENDENCYPART_ARC
(28,22),-1.5585 # DEPENDENCYPART_ARC
(28,23),-1.70422 # DEPENDENCYPART_ARC
(28,25),-1.22056 # DEPENDENCYPART_ARC
(28,26),-0.856659 # DEPENDENCYPART_ARC
(28,27),1.28931 # DEPENDENCYPART_ARC
(28,29),-0.445041 # DEPENDENCYPART_ARC
(29,28),-0.359127 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.103527 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0224066 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.103747 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0509628 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.15258 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0856001 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0342807 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0776526 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0626041 # DEPENDENCYPART_SIBL
(1,2),(1,8),0.0662097 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0662654 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0243972 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.056418 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0807369 # DEPENDENCYPART_SIBL
(1,2),(1,16),0.0501134 # DEPENDENCYPART_SIBL
(1,2),(1,17),0.0148096 # DEPENDENCYPART_SIBL
(1,2),(1,29),0.0123245 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00852576 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0206336 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0192449 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0164625 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00746882 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0188586 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0510423 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.00166589 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.00157944 # DEPENDENCYPART_SIBL
(1,4),(1,29),0.000415951 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0285558 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0299626 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0471601 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0645906 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0287115 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0755338 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0357066 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0741037 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.101485 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.00727841 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0116739 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0275277 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0202751 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.0366193 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.0102787 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0394505 # DEPENDENCYPART_SIBL
(1,7),(1,29),0.0194512 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0107882 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0143564 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0202255 # DEPENDENCYPART_SIBL
(1,8),(1,15),0.0385998 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.0089569 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0262124 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.023363 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0164123 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.00220682 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0759771 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.0326063 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.00596256 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.056247 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.000662096 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0480586 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.00443316 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0100432 # DEPENDENCYPART_SIBL
(1,10),(1,29),0.0526664 # DEPENDENCYPART_SIBL
(1,14),(1,15),0.0373265 # DEPENDENCYPART_SIBL
(1,14),(1,16),0.00790272 # DEPENDENCYPART_SIBL
(1,14),(1,17),-0.0474415 # DEPENDENCYPART_SIBL
(1,14),(1,29),0.0189829 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.0501134 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.0148096 # DEPENDENCYPART_SIBL
(1,15),(1,29),0.0123245 # DEPENDENCYPART_SIBL
(1,16),(1,17),-0.00526718 # DEPENDENCYPART_SIBL
(1,16),(1,29),-0.0234461 # DEPENDENCYPART_SIBL
(1,17),(1,29),0.0383703 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0508821 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0923288 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0834617 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.060173 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.00183907 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00560871 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0267884 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0923325 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0472127 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.000677406 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0564274 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0350018 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0595142 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0546143 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.0449622 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0275254 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.0663622 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.111797 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.054652 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.146647 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0532375 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0530444 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0441475 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0584536 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.103429 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0796462 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.00746163 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0397511 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0358831 # DEPENDENCYPART_SIBL
(4,2),(4,21),-0.0507086 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0504425 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0692224 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.0341583 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0639213 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.037548 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0146185 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00952507 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0109374 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0488457 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0421984 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0261499 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.243041 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.035188 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0631926 # DEPENDENCYPART_SIBL
(4,3),(4,21),0.0609197 # DEPENDENCYPART_SIBL
(4,3),(4,22),0.105768 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0570075 # DEPENDENCYPART_SIBL
(4,3),(4,29),-0.180207 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0153237 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00490782 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.00820046 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0217263 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0331814 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0304237 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.00366521 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0698689 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.00836506 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.059858 # DEPENDENCYPART_SIBL
(4,5),(4,21),0.0501827 # DEPENDENCYPART_SIBL
(4,5),(4,22),0.00806829 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0482532 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.0429995 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0437397 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.046867 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0283761 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0193349 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0446282 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0466151 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.00947361 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.0548198 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0394881 # DEPENDENCYPART_SIBL
(4,6),(4,21),0.00070489 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.00157265 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0369765 # DEPENDENCYPART_SIBL
(4,6),(4,29),0.0180091 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0401115 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.00793179 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0039977 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0462279 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0494359 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0344041 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0419462 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0168923 # DEPENDENCYPART_SIBL
(4,7),(4,21),0.014589 # DEPENDENCYPART_SIBL
(4,7),(4,22),0.0216354 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0246016 # DEPENDENCYPART_SIBL
(4,7),(4,29),0.00595785 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0165981 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0379409 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0330027 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0388992 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0468953 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0288806 # DEPENDENCYPART_SIBL
(4,8),(4,17),0.05098 # DEPENDENCYPART_SIBL
(4,8),(4,21),0.0278441 # DEPENDENCYPART_SIBL
(4,8),(4,22),0.0348778 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.00961758 # DEPENDENCYPART_SIBL
(4,8),(4,29),0.0244038 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0583222 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0257837 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0250148 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0830018 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.00686551 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0701548 # DEPENDENCYPART_SIBL
(4,9),(4,21),0.0351108 # DEPENDENCYPART_SIBL
(4,9),(4,22),0.042158 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.0307954 # DEPENDENCYPART_SIBL
(4,9),(4,29),0.0589267 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0233979 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0334087 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.171054 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.0284917 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.0912022 # DEPENDENCYPART_SIBL
(4,10),(4,21),0.109145 # DEPENDENCYPART_SIBL
(4,10),(4,22),0.0663403 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0213725 # DEPENDENCYPART_SIBL
(4,10),(4,29),0.0557322 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.00916336 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0267981 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0504826 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.00215553 # DEPENDENCYPART_SIBL
(4,11),(4,21),0.0104709 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.00794482 # DEPENDENCYPART_SIBL
(4,11),(4,24),-0.00318831 # DEPENDENCYPART_SIBL
(4,11),(4,29),0.0162675 # DEPENDENCYPART_SIBL
(4,14),(4,15),3.96816e-05 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0473224 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.0307951 # DEPENDENCYPART_SIBL
(4,14),(4,21),-0.00924884 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.00220165 # DEPENDENCYPART_SIBL
(4,14),(4,24),-0.0495442 # DEPENDENCYPART_SIBL
(4,14),(4,29),-0.0196977 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0255711 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.0697822 # DEPENDENCYPART_SIBL
(4,15),(4,21),0.0658029 # DEPENDENCYPART_SIBL
(4,15),(4,22),0.0327334 # DEPENDENCYPART_SIBL
(4,15),(4,24),0.0291071 # DEPENDENCYPART_SIBL
(4,15),(4,29),0.0637029 # DEPENDENCYPART_SIBL
(4,16),(4,17),0.0212718 # DEPENDENCYPART_SIBL
(4,16),(4,21),-0.0196832 # DEPENDENCYPART_SIBL
(4,16),(4,22),-0.0376408 # DEPENDENCYPART_SIBL
(4,16),(4,24),-0.0288091 # DEPENDENCYPART_SIBL
(4,16),(4,29),0.0348858 # DEPENDENCYPART_SIBL
(4,17),(4,21),0.0643478 # DEPENDENCYPART_SIBL
(4,17),(4,22),0.0246461 # DEPENDENCYPART_SIBL
(4,17),(4,24),-0.0485489 # DEPENDENCYPART_SIBL
(4,17),(4,29),0.0440633 # DEPENDENCYPART_SIBL
(4,21),(4,22),-0.035048 # DEPENDENCYPART_SIBL
(4,21),(4,24),-0.049096 # DEPENDENCYPART_SIBL
(4,21),(4,29),0.0239939 # DEPENDENCYPART_SIBL
(4,22),(4,24),-0.0978197 # DEPENDENCYPART_SIBL
(4,22),(4,29),0.051421 # DEPENDENCYPART_SIBL
(4,24),(4,29),0.0688328 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0601392 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0602072 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0605264 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0223132 # DEPENDENCYPART_SIBL
