# _root_ Consider Gap Inc. , whose latest ad campaign features black-and-white shots of Hollywood stars , artists and other well-known personalities modeling the retailer 's jeans and T-shirts .
#goldHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,19,20,17,14,23,25,23,21,25,26,1,
#predictedHeads=0,1,2,2,8,8,8,9,2,11,9,11,14,12,14,14,16,20,20,17,20,23,25,23,21,25,26,1,
(9,8),0.922091 # DEPENDENCYPART_ARC
(9,10),0.217956 # DEPENDENCYPART_ARC
(9,11),0.504259 # DEPENDENCYPART_ARC
(9,12),-0.41915 # DEPENDENCYPART_ARC
(9,13),-1.38932 # DEPENDENCYPART_ARC
(9,14),-0.809467 # DEPENDENCYPART_ARC
(9,15),-1.04932 # DEPENDENCYPART_ARC
(9,16),-1.57363 # DEPENDENCYPART_ARC
(9,17),-1.21408 # DEPENDENCYPART_ARC
(9,20),-1.83939 # DEPENDENCYPART_ARC
(9,21),-1.49522 # DEPENDENCYPART_ARC
(9,25),-2.3752 # DEPENDENCYPART_ARC
(9,26),-1.80636 # DEPENDENCYPART_ARC
(9,28),0.505648 # DEPENDENCYPART_ARC
(10,8),-1.87079 # DEPENDENCYPART_ARC
(10,9),-1.29828 # DEPENDENCYPART_ARC
(10,11),-1.20209 # DEPENDENCYPART_ARC
(10,12),-1.48316 # DEPENDENCYPART_ARC
(11,1),-2.6978 # DEPENDENCYPART_ARC
(11,2),-1.72031 # DEPENDENCYPART_ARC
(11,3),-2.30334 # DEPENDENCYPART_ARC
(11,4),-2.60151 # DEPENDENCYPART_ARC
(11,5),-1.38073 # DEPENDENCYPART_ARC
(11,6),-0.74569 # DEPENDENCYPART_ARC
(11,7),-0.395445 # DEPENDENCYPART_ARC
(11,8),-0.726714 # DEPENDENCYPART_ARC
(11,9),-0.897287 # DEPENDENCYPART_ARC
(11,10),1.59083 # DEPENDENCYPART_ARC
(11,12),0.935357 # DEPENDENCYPART_ARC
(11,13),-1.22647 # DEPENDENCYPART_ARC
(11,14),-0.779887 # DEPENDENCYPART_ARC
(11,15),-0.845737 # DEPENDENCYPART_ARC
(11,16),-1.26539 # DEPENDENCYPART_ARC
(11,17),-0.82904 # DEPENDENCYPART_ARC
(11,18),-1.37474 # DEPENDENCYPART_ARC
(11,19),-1.52219 # DEPENDENCYPART_ARC
(11,20),-2.31964 # DEPENDENCYPART_ARC
(11,21),-0.978648 # DEPENDENCYPART_ARC
(11,23),-2.35421 # DEPENDENCYPART_ARC
(11,24),-2.3141 # DEPENDENCYPART_ARC
(11,25),-3.01127 # DEPENDENCYPART_ARC
(11,26),-1.35523 # DEPENDENCYPART_ARC
(11,28),-3.08561 # DEPENDENCYPART_ARC
(12,13),0.433592 # DEPENDENCYPART_ARC
(12,14),1.24926 # DEPENDENCYPART_ARC
(12,15),-1.30131 # DEPENDENCYPART_ARC
(12,16),-1.12569 # DEPENDENCYPART_ARC
(12,17),-1.89916 # DEPENDENCYPART_ARC
(12,20),-2.18978 # DEPENDENCYPART_ARC
(13,14),-1.53412 # DEPENDENCYPART_ARC
(13,15),-1.78803 # DEPENDENCYPART_ARC
(13,16),-2.56866 # DEPENDENCYPART_ARC
(13,17),-2.62506 # DEPENDENCYPART_ARC
(14,1),-3.01574 # DEPENDENCYPART_ARC
(14,2),-2.05212 # DEPENDENCYPART_ARC
(14,4),-2.79508 # DEPENDENCYPART_ARC
(14,5),-1.76112 # DEPENDENCYPART_ARC
(14,6),-1.51921 # DEPENDENCYPART_ARC
(14,7),-1.34995 # DEPENDENCYPART_ARC
(14,8),-1.78383 # DEPENDENCYPART_ARC
(14,10),-1.14559 # DEPENDENCYPART_ARC
(14,11),-1.28065 # DEPENDENCYPART_ARC
(14,12),-1.2051 # DEPENDENCYPART_ARC
(14,13),1.38687 # DEPENDENCYPART_ARC
(14,15),-0.0269975 # DEPENDENCYPART_ARC
(14,16),-0.465506 # DEPENDENCYPART_ARC
(14,17),-1.32244 # DEPENDENCYPART_ARC
(14,18),-1.54998 # DEPENDENCYPART_ARC
(14,19),-1.75213 # DEPENDENCYPART_ARC
(14,20),-2.07126 # DEPENDENCYPART_ARC
(14,21),-1.38083 # DEPENDENCYPART_ARC
(14,23),-2.34136 # DEPENDENCYPART_ARC
(14,24),-2.1067 # DEPENDENCYPART_ARC
(14,25),-2.662 # DEPENDENCYPART_ARC
(14,26),-2.06526 # DEPENDENCYPART_ARC
(14,28),-2.86467 # DEPENDENCYPART_ARC
(15,16),-1.983 # DEPENDENCYPART_ARC
(16,13),-1.44838 # DEPENDENCYPART_ARC
(16,14),-1.26346 # DEPENDENCYPART_ARC
(16,15),-1.59706 # DEPENDENCYPART_ARC
(16,17),1.30705 # DEPENDENCYPART_ARC
(16,18),-0.805764 # DEPENDENCYPART_ARC
(16,19),-1.01554 # DEPENDENCYPART_ARC
(16,20),-1.05559 # DEPENDENCYPART_ARC
(16,21),-0.551285 # DEPENDENCYPART_ARC
(16,23),-1.78304 # DEPENDENCYPART_ARC
(16,24),-1.50807 # DEPENDENCYPART_ARC
(16,25),-1.9538 # DEPENDENCYPART_ARC
(16,26),-0.232889 # DEPENDENCYPART_ARC
(16,28),-2.36037 # DEPENDENCYPART_ARC
(17,18),-0.245904 # DEPENDENCYPART_ARC
(17,19),-0.877719 # DEPENDENCYPART_ARC
(17,20),-0.267103 # DEPENDENCYPART_ARC
(17,21),-1.18342 # DEPENDENCYPART_ARC
(17,23),-1.9072 # DEPENDENCYPART_ARC
(17,25),-1.82913 # DEPENDENCYPART_ARC
(17,26),-1.73667 # DEPENDENCYPART_ARC
(17,27),-1.82886 # DEPENDENCYPART_ARC
(18,19),-0.877817 # DEPENDENCYPART_ARC
(18,20),-1.46126 # DEPENDENCYPART_ARC
(19,18),0.107896 # DEPENDENCYPART_ARC
(19,21),-1.27944 # DEPENDENCYPART_ARC
(20,6),-1.66831 # DEPENDENCYPART_ARC
(20,10),-1.81461 # DEPENDENCYPART_ARC
(20,13),-1.84699 # DEPENDENCYPART_ARC
(20,16),-1.65945 # DEPENDENCYPART_ARC
(20,18),1.16386 # DEPENDENCYPART_ARC
(20,19),1.4949 # DEPENDENCYPART_ARC
(20,21),0.281236 # DEPENDENCYPART_ARC
(20,23),-1.4538 # DEPENDENCYPART_ARC
(20,24),-1.30226 # DEPENDENCYPART_ARC
(20,25),-1.61482 # DEPENDENCYPART_ARC
(20,26),-0.795698 # DEPENDENCYPART_ARC
(20,27),-2.4619 # DEPENDENCYPART_ARC
(21,1),-2.85107 # DEPENDENCYPART_ARC
(21,14),-1.85219 # DEPENDENCYPART_ARC
(21,16),-1.73182 # DEPENDENCYPART_ARC
(21,18),-1.87144 # DEPENDENCYPART_ARC
(21,19),-1.95051 # DEPENDENCYPART_ARC
(21,20),-0.652316 # DEPENDENCYPART_ARC
(21,22),-0.653298 # DEPENDENCYPART_ARC
(21,23),0.494135 # DEPENDENCYPART_ARC
(21,24),-1.50846 # DEPENDENCYPART_ARC
(21,25),-0.240307 # DEPENDENCYPART_ARC
(21,26),-0.890435 # DEPENDENCYPART_ARC
(21,27),-0.883606 # DEPENDENCYPART_ARC
(21,28),-2.11512 # DEPENDENCYPART_ARC
(23,18),-1.42788 # DEPENDENCYPART_ARC
(23,19),-1.29601 # DEPENDENCYPART_ARC
(23,21),-1.15837 # DEPENDENCYPART_ARC
(23,22),1.89282 # DEPENDENCYPART_ARC
(23,24),1.71579 # DEPENDENCYPART_ARC
(23,25),-0.984695 # DEPENDENCYPART_ARC
(23,26),-0.572331 # DEPENDENCYPART_ARC
(23,27),-1.52182 # DEPENDENCYPART_ARC
(24,25),-1.86462 # DEPENDENCYPART_ARC
(25,18),-1.40665 # DEPENDENCYPART_ARC
(25,19),-1.82966 # DEPENDENCYPART_ARC
(25,20),-1.38848 # DEPENDENCYPART_ARC
(25,21),-1.73415 # DEPENDENCYPART_ARC
(25,22),-0.562083 # DEPENDENCYPART_ARC
(25,23),0.483586 # DEPENDENCYPART_ARC
(25,24),-0.372404 # DEPENDENCYPART_ARC
(25,26),0.998503 # DEPENDENCYPART_ARC
(25,27),-1.04673 # DEPENDENCYPART_ARC
(25,28),-1.63192 # DEPENDENCYPART_ARC
(26,27),1.57975 # DEPENDENCYPART_ARC
(26,28),-1.64107 # DEPENDENCYPART_ARC
(27,22),-2.1235 # DEPENDENCYPART_ARC
(27,23),-1.8054 # DEPENDENCYPART_ARC
(27,25),-1.48135 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.150764 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.150764 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.619854 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.234538 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.655476 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.646365 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.214367 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0857722 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0470301 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0449384 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0741977 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0731947 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.106724 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0164325 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.221622 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0085123 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.221655 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0857722 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.221622 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0299973 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.0331311 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0164332 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0610962 # DEPENDENCYPART_SIBL
(1,2),(1,26),-0.0299973 # DEPENDENCYPART_SIBL
(1,2),(1,28),0.000759523 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0868761 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0498561 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0416686 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0446999 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0436969 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0969187 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0286767 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.202355 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.0137823 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.202388 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0868761 # DEPENDENCYPART_SIBL
(1,3),(1,16),-0.202355 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0473911 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0453753 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.0286774 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.0805075 # DEPENDENCYPART_SIBL
(1,3),(1,26),0.0473911 # DEPENDENCYPART_SIBL
(1,3),(1,28),0.0389144 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0882334 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.223945 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.321193 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.311901 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.215828 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.332309 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.256693 # DEPENDENCYPART_SIBL
(1,4),(1,12),0.389253 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.255345 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0372383 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.249017 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.481075 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.31133 # DEPENDENCYPART_SIBL
(1,4),(1,19),0.332321 # DEPENDENCYPART_SIBL
(1,4),(1,21),0.735872 # DEPENDENCYPART_SIBL
(1,4),(1,26),0.481075 # DEPENDENCYPART_SIBL
(1,4),(1,28),0.129239 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0541255 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.10071 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0996928 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.097828 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0493287 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.178163 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.0665948 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.178163 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.097746 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.178163 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0223583 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0648052 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.0493288 # DEPENDENCYPART_SIBL
(1,5),(1,21),-0.0193996 # DEPENDENCYPART_SIBL
(1,5),(1,26),-0.0223583 # DEPENDENCYPART_SIBL
(1,5),(1,28),-0.00849628 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.154184 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.153166 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.106333 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.0248989 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.186085 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.0486608 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.186085 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.00392073 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.186085 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0532156 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0403755 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.024899 # DEPENDENCYPART_SIBL
(1,6),(1,21),-0.0117368 # DEPENDENCYPART_SIBL
(1,6),(1,26),-0.0532156 # DEPENDENCYPART_SIBL
(1,6),(1,28),0.026126 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.224644 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.166673 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0332302 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.405431 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.0793646 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.405438 # DEPENDENCYPART_SIBL
(1,7),(1,15),-0.0844198 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.405723 # DEPENDENCYPART_SIBL
(1,7),(1,17),0.00935106 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0657717 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.0332303 # DEPENDENCYPART_SIBL
(1,7),(1,21),-0.0128686 # DEPENDENCYPART_SIBL
(1,7),(1,26),0.00935106 # DEPENDENCYPART_SIBL
(1,7),(1,28),-0.0326249 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.162475 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0278516 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.400916 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0607775 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.400923 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0837541 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.401208 # DEPENDENCYPART_SIBL
(1,8),(1,17),0.0127764 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0603932 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.0278517 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.0103223 # DEPENDENCYPART_SIBL
(1,8),(1,26),0.0127764 # DEPENDENCYPART_SIBL
(1,8),(1,28),-0.0216001 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0904141 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.229025 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0807792 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.229025 # DEPENDENCYPART_SIBL
(1,9),(1,15),-0.0303482 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.229025 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0150208 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.10592 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.0904142 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.0676153 # DEPENDENCYPART_SIBL
(1,9),(1,26),-0.0150208 # DEPENDENCYPART_SIBL
(1,9),(1,28),0.0681475 # DEPENDENCYPART_SIBL
(1,10),(1,11),-0.170063 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0310586 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.170063 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.0087154 # DEPENDENCYPART_SIBL
(1,10),(1,16),-0.170149 # DEPENDENCYPART_SIBL
(1,10),(1,17),0.0712186 # DEPENDENCYPART_SIBL
(1,10),(1,18),-0.161697 # DEPENDENCYPART_SIBL
(1,10),(1,19),-0.144419 # DEPENDENCYPART_SIBL
(1,10),(1,21),-0.0468462 # DEPENDENCYPART_SIBL
(1,10),(1,26),0.0712186 # DEPENDENCYPART_SIBL
(1,10),(1,28),0.0668607 # DEPENDENCYPART_SIBL
(1,11),(1,12),-0.085509 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.412848 # DEPENDENCYPART_SIBL
(1,11),(1,15),-0.027172 # DEPENDENCYPART_SIBL
(1,11),(1,16),-0.41285 # DEPENDENCYPART_SIBL
(1,11),(1,17),0.026176 # DEPENDENCYPART_SIBL
(1,11),(1,18),0.00850332 # DEPENDENCYPART_SIBL
(1,11),(1,19),0.0365597 # DEPENDENCYPART_SIBL
(1,11),(1,21),-0.00927642 # DEPENDENCYPART_SIBL
(1,11),(1,26),0.026176 # DEPENDENCYPART_SIBL
(1,11),(1,28),0.0275935 # DEPENDENCYPART_SIBL
(1,12),(1,14),-0.194234 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.126528 # DEPENDENCYPART_SIBL
(1,12),(1,16),-0.194239 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0846683 # DEPENDENCYPART_SIBL
(1,12),(1,18),-0.182784 # DEPENDENCYPART_SIBL
(1,12),(1,19),-0.152446 # DEPENDENCYPART_SIBL
(1,12),(1,21),-0.186405 # DEPENDENCYPART_SIBL
(1,12),(1,26),-0.0846683 # DEPENDENCYPART_SIBL
(1,12),(1,28),-0.142705 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.0105693 # DEPENDENCYPART_SIBL
(1,14),(1,16),-0.41285 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0347555 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.00850332 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.0365597 # DEPENDENCYPART_SIBL
(1,14),(1,21),-0.00713023 # DEPENDENCYPART_SIBL
(1,14),(1,26),0.0347555 # DEPENDENCYPART_SIBL
(1,14),(1,28),0.0267546 # DEPENDENCYPART_SIBL
(1,15),(1,16),0.249017 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.481075 # DEPENDENCYPART_SIBL
(1,15),(1,18),0.31133 # DEPENDENCYPART_SIBL
(1,15),(1,19),0.332321 # DEPENDENCYPART_SIBL
(1,15),(1,21),0.735872 # DEPENDENCYPART_SIBL
(1,15),(1,26),0.481075 # DEPENDENCYPART_SIBL
(1,15),(1,28),0.129239 # DEPENDENCYPART_SIBL
(1,16),(1,17),0.0260426 # DEPENDENCYPART_SIBL
(1,16),(1,18),0.00849999 # DEPENDENCYPART_SIBL
(1,16),(1,19),0.0365564 # DEPENDENCYPART_SIBL
(1,16),(1,21),-0.00677064 # DEPENDENCYPART_SIBL
(1,16),(1,26),0.0260426 # DEPENDENCYPART_SIBL
(1,16),(1,28),0.022084 # DEPENDENCYPART_SIBL
(1,17),(1,18),-0.024243 # DEPENDENCYPART_SIBL
(1,17),(1,19),-0.000539009 # DEPENDENCYPART_SIBL
(1,17),(1,21),-0.0293246 # DEPENDENCYPART_SIBL
(1,17),(1,26),-0.854869 # DEPENDENCYPART_SIBL
(1,17),(1,28),0.119661 # DEPENDENCYPART_SIBL
(1,18),(1,19),-0.146128 # DEPENDENCYPART_SIBL
(1,18),(1,21),-0.0495955 # DEPENDENCYPART_SIBL
(1,18),(1,26),0.0596042 # DEPENDENCYPART_SIBL
(1,18),(1,28),0.0596231 # DEPENDENCYPART_SIBL
(1,19),(1,21),-0.0456222 # DEPENDENCYPART_SIBL
(1,19),(1,26),0.070765 # DEPENDENCYPART_SIBL
(1,19),(1,28),0.0738284 # DEPENDENCYPART_SIBL
(1,21),(1,26),-0.00886543 # DEPENDENCYPART_SIBL
(1,21),(1,28),-0.0113735 # DEPENDENCYPART_SIBL
(1,26),(1,28),0.119661 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.122818 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0752237 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0554637 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0292222 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0569155 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0595578 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00414084 # DEPENDENCYPART_SIBL
