# _root_ They note that he has adorned his office with five photos of George Bush , one of them featuring the First Dog , Millie .
#goldHeads=2,0,5,5,2,5,8,6,6,11,9,11,14,12,11,11,16,17,16,22,22,19,22,22,2,
#predictedHeads=2,0,5,5,2,5,8,6,6,11,9,11,14,12,6,19,16,17,6,22,22,19,22,22,2,
(6,15),-1.34751 # DEPENDENCYPART_ARC
(6,17),-2.54184 # DEPENDENCYPART_ARC
(6,19),-1.54263 # DEPENDENCYPART_ARC
(6,23),-2.11043 # DEPENDENCYPART_ARC
(6,25),-1.24172 # DEPENDENCYPART_ARC
(8,2),-1.82913 # DEPENDENCYPART_ARC
(8,3),-1.66567 # DEPENDENCYPART_ARC
(8,4),-1.26876 # DEPENDENCYPART_ARC
(8,5),-1.39855 # DEPENDENCYPART_ARC
(8,6),-0.911431 # DEPENDENCYPART_ARC
(8,7),1.11117 # DEPENDENCYPART_ARC
(8,9),-0.000503488 # DEPENDENCYPART_ARC
(8,10),-1.49306 # DEPENDENCYPART_ARC
(8,11),-1.48427 # DEPENDENCYPART_ARC
(8,12),-1.51793 # DEPENDENCYPART_ARC
(8,14),-1.83115 # DEPENDENCYPART_ARC
(8,15),-2.06694 # DEPENDENCYPART_ARC
(8,16),-2.69033 # DEPENDENCYPART_ARC
(8,17),-3.02481 # DEPENDENCYPART_ARC
(8,19),-2.30146 # DEPENDENCYPART_ARC
(8,22),-2.19369 # DEPENDENCYPART_ARC
(8,23),-2.41798 # DEPENDENCYPART_ARC
(8,24),-2.45598 # DEPENDENCYPART_ARC
(8,25),-2.30637 # DEPENDENCYPART_ARC
(9,3),-0.794494 # DEPENDENCYPART_ARC
(9,8),-0.350617 # DEPENDENCYPART_ARC
(9,10),-0.332146 # DEPENDENCYPART_ARC
(9,11),-0.345275 # DEPENDENCYPART_ARC
(9,12),-1.34081 # DEPENDENCYPART_ARC
(9,13),-1.68574 # DEPENDENCYPART_ARC
(9,14),-1.68603 # DEPENDENCYPART_ARC
(9,15),-1.66197 # DEPENDENCYPART_ARC
(9,16),-2.60451 # DEPENDENCYPART_ARC
(9,17),-2.13996 # DEPENDENCYPART_ARC
(9,19),-1.68865 # DEPENDENCYPART_ARC
(10,8),-1.49195 # DEPENDENCYPART_ARC
(10,9),-0.417434 # DEPENDENCYPART_ARC
(10,11),-0.56962 # DEPENDENCYPART_ARC
(10,12),-1.43962 # DEPENDENCYPART_ARC
(10,14),-1.77738 # DEPENDENCYPART_ARC
(10,16),-2.41462 # DEPENDENCYPART_ARC
(10,17),-2.33914 # DEPENDENCYPART_ARC
(10,24),-2.42401 # DEPENDENCYPART_ARC
(11,3),-1.71567 # DEPENDENCYPART_ARC
(11,6),-1.48045 # DEPENDENCYPART_ARC
(11,7),-1.0092 # DEPENDENCYPART_ARC
(11,8),-1.29839 # DEPENDENCYPART_ARC
(11,9),-0.847551 # DEPENDENCYPART_ARC
(11,10),1.00911 # DEPENDENCYPART_ARC
(11,12),0.632003 # DEPENDENCYPART_ARC
(11,13),-0.661316 # DEPENDENCYPART_ARC
(11,14),-0.978543 # DEPENDENCYPART_ARC
(11,15),-1.43383 # DEPENDENCYPART_ARC
(11,16),-1.89834 # DEPENDENCYPART_ARC
(11,17),-1.99812 # DEPENDENCYPART_ARC
(11,19),-1.45522 # DEPENDENCYPART_ARC
(11,22),-1.57824 # DEPENDENCYPART_ARC
(11,23),-1.81074 # DEPENDENCYPART_ARC
(11,24),-1.75884 # DEPENDENCYPART_ARC
(11,25),-1.69907 # DEPENDENCYPART_ARC
(12,8),-1.7275 # DEPENDENCYPART_ARC
(12,9),-1.30889 # DEPENDENCYPART_ARC
(12,10),-1.52011 # DEPENDENCYPART_ARC
(12,11),-0.572987 # DEPENDENCYPART_ARC
(12,13),0.0856799 # DEPENDENCYPART_ARC
(12,14),-0.264579 # DEPENDENCYPART_ARC
(12,15),-1.28459 # DEPENDENCYPART_ARC
(12,16),-2.3518 # DEPENDENCYPART_ARC
(12,17),-1.96311 # DEPENDENCYPART_ARC
(13,10),-2.63163 # DEPENDENCYPART_ARC
(13,14),-0.760515 # DEPENDENCYPART_ARC
(13,16),-2.26276 # DEPENDENCYPART_ARC
(13,17),-2.36012 # DEPENDENCYPART_ARC
(13,22),-2.33392 # DEPENDENCYPART_ARC
(14,7),-1.74642 # DEPENDENCYPART_ARC
(14,8),-2.12385 # DEPENDENCYPART_ARC
(14,10),-1.32008 # DEPENDENCYPART_ARC
(14,11),-1.28187 # DEPENDENCYPART_ARC
(14,12),-1.29896 # DEPENDENCYPART_ARC
(14,13),1.63859 # DEPENDENCYPART_ARC
(14,15),0.152949 # DEPENDENCYPART_ARC
(14,16),-1.49985 # DEPENDENCYPART_ARC
(14,17),-2.0616 # DEPENDENCYPART_ARC
(14,19),-2.14212 # DEPENDENCYPART_ARC
(14,21),-1.88005 # DEPENDENCYPART_ARC
(14,22),-1.81856 # DEPENDENCYPART_ARC
(14,23),-1.57623 # DEPENDENCYPART_ARC
(14,24),-2.00708 # DEPENDENCYPART_ARC
(14,25),-2.01045 # DEPENDENCYPART_ARC
(16,9),-1.46751 # DEPENDENCYPART_ARC
(16,12),-1.3758 # DEPENDENCYPART_ARC
(16,13),-1.38387 # DEPENDENCYPART_ARC
(16,14),-1.42283 # DEPENDENCYPART_ARC
(16,15),0.102666 # DEPENDENCYPART_ARC
(16,17),0.453449 # DEPENDENCYPART_ARC
(16,19),-0.664032 # DEPENDENCYPART_ARC
(16,21),-1.04225 # DEPENDENCYPART_ARC
(16,22),-1.24135 # DEPENDENCYPART_ARC
(16,23),-1.02486 # DEPENDENCYPART_ARC
(16,24),-1.7724 # DEPENDENCYPART_ARC
(16,25),-1.31021 # DEPENDENCYPART_ARC
(17,16),-0.58369 # DEPENDENCYPART_ARC
(17,18),0.398601 # DEPENDENCYPART_ARC
(17,19),-0.769516 # DEPENDENCYPART_ARC
(17,21),-1.62732 # DEPENDENCYPART_ARC
(17,22),-1.50346 # DEPENDENCYPART_ARC
(17,23),-1.31406 # DEPENDENCYPART_ARC
(17,24),-2.80153 # DEPENDENCYPART_ARC
(18,21),-1.24825 # DEPENDENCYPART_ARC
(18,22),-1.3608 # DEPENDENCYPART_ARC
(19,9),-2.43912 # DEPENDENCYPART_ARC
(19,15),-2.13472 # DEPENDENCYPART_ARC
(19,16),-2.07768 # DEPENDENCYPART_ARC
(19,17),-1.28816 # DEPENDENCYPART_ARC
(19,18),-0.307131 # DEPENDENCYPART_ARC
(19,20),-0.272757 # DEPENDENCYPART_ARC
(19,21),-0.362812 # DEPENDENCYPART_ARC
(19,22),-0.469623 # DEPENDENCYPART_ARC
(19,23),-1.54838 # DEPENDENCYPART_ARC
(19,24),-1.61225 # DEPENDENCYPART_ARC
(19,25),-1.17608 # DEPENDENCYPART_ARC
(21,18),-2.75848 # DEPENDENCYPART_ARC
(21,20),-0.461285 # DEPENDENCYPART_ARC
(21,22),-0.916315 # DEPENDENCYPART_ARC
(21,24),-2.32001 # DEPENDENCYPART_ARC
(22,18),-1.66833 # DEPENDENCYPART_ARC
(22,19),-1.52496 # DEPENDENCYPART_ARC
(22,20),-0.292052 # DEPENDENCYPART_ARC
(22,21),1.25326 # DEPENDENCYPART_ARC
(22,23),0.173382 # DEPENDENCYPART_ARC
(22,24),-1.42368 # DEPENDENCYPART_ARC
(22,25),-1.64387 # DEPENDENCYPART_ARC
(24,20),-1.26169 # DEPENDENCYPART_ARC
(24,21),-1.13733 # DEPENDENCYPART_ARC
(24,22),-0.997218 # DEPENDENCYPART_ARC
(24,23),-0.349122 # DEPENDENCYPART_ARC
(24,25),-0.201507 # DEPENDENCYPART_ARC
(25,24),-0.628647 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.215884 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.222249 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.237181 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00105329 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0832657 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.114858 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0133687 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00684683 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0430073 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0969343 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0416658 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00758561 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0109224 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0168678 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0109224 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.0322629 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.043095 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0872402 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.055291 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.046126 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0353932 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0500177 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0787603 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0514368 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0587537 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0514368 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.0312448 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0248146 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00249852 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0163483 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00300624 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0200259 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0237488 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.0108463 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.00401095 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0108463 # DEPENDENCYPART_SIBL
(2,4),(2,25),-0.0262753 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0402304 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0301627 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0485064 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0333676 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0140894 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0122967 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.041747 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0122967 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0219255 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0138147 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0446147 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0170196 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0138995 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0216956 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0228257 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.0216956 # DEPENDENCYPART_SIBL
(2,6),(2,25),0.0194577 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0632987 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0295665 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0123049 # DEPENDENCYPART_SIBL
(2,8),(2,15),0.0290477 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.00720805 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0290477 # DEPENDENCYPART_SIBL
(2,8),(2,25),-0.00181993 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0101233 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0524701 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.00326402 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00776125 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.00326402 # DEPENDENCYPART_SIBL
(2,9),(2,25),-0.0079811 # DEPENDENCYPART_SIBL
(2,11),(2,12),-0.0107186 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.0165374 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0119313 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.0165374 # DEPENDENCYPART_SIBL
(2,11),(2,25),0.0203252 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0157661 # DEPENDENCYPART_SIBL
(2,12),(2,19),-0.0760661 # DEPENDENCYPART_SIBL
(2,12),(2,23),-0.0157661 # DEPENDENCYPART_SIBL
(2,12),(2,25),-0.0331036 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0286431 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.0285922 # DEPENDENCYPART_SIBL
(2,15),(2,25),-0.000429668 # DEPENDENCYPART_SIBL
(2,19),(2,23),0.0212799 # DEPENDENCYPART_SIBL
(2,19),(2,25),0.0168843 # DEPENDENCYPART_SIBL
(2,23),(2,25),-0.000429668 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0109461 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00431439 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0368891 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.044731 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0421241 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0350423 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0129912 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0651059 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0364083 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0103648 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00507445 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0604511 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0621203 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0632892 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.147308 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0612254 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0182579 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0524302 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0721413 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.00370475 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.021319 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0400072 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00208823 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0130857 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0960784 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00316442 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0195762 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0619924 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.00867602 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0430735 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0619926 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00531812 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0266005 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0413775 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0326956 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.049844 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.016051 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0221364 # DEPENDENCYPART_SIBL
(5,3),(5,25),-0.0317224 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0939432 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0187126 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.117185 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0194044 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0170708 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0795204 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.103964 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.148326 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0379721 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.085063 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0411769 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0314129 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00024771 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0265953 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.00954278 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.000754901 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0716178 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0224584 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0110056 # DEPENDENCYPART_SIBL
(5,8),(5,19),-0.039211 # DEPENDENCYPART_SIBL
(5,8),(5,25),-0.0256922 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0461475 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0869164 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0341663 # DEPENDENCYPART_SIBL
(5,9),(5,19),-0.0251247 # DEPENDENCYPART_SIBL
(5,9),(5,25),-0.0306799 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0388203 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.00239012 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.0400381 # DEPENDENCYPART_SIBL
(5,11),(5,25),0.00147417 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.0438053 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0830589 # DEPENDENCYPART_SIBL
(5,12),(5,25),-0.042381 # DEPENDENCYPART_SIBL
(5,15),(5,19),0.0259682 # DEPENDENCYPART_SIBL
(5,15),(5,25),-0.0349568 # DEPENDENCYPART_SIBL
(5,19),(5,25),0.00696941 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0389283 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0314504 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0315737 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.053793 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0398617 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0263115 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0835204 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0748667 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0835204 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0514859 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0748667 # DEPENDENCYPART_SIBL
(6,3),(6,25),-0.0913075 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0388233 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00193348 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.045206 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0404024 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.00334757 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0645513 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.105458 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0645513 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.04582 # DEPENDENCYPART_SIBL
(6,4),(6,23),0.105458 # DEPENDENCYPART_SIBL
(6,4),(6,25),0.181106 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.01138 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0640183 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0461463 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0203596 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.00920853 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0791723 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00920853 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0215394 # DEPENDENCYPART_SIBL
(6,5),(6,23),-0.0791723 # DEPENDENCYPART_SIBL
(6,5),(6,25),0.0724708 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.066245 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.00614897 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0249066 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.0152978 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0255771 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.0152978 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.002012 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.0255771 # DEPENDENCYPART_SIBL
(6,8),(6,25),-0.00825074 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0360919 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.010844 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0540531 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.0105122 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0540531 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0108012 # DEPENDENCYPART_SIBL
(6,9),(6,23),-0.0105122 # DEPENDENCYPART_SIBL
(6,9),(6,25),-0.0141509 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0519879 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.00913188 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0107283 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.00913188 # DEPENDENCYPART_SIBL
(6,10),(6,19),-0.0252881 # DEPENDENCYPART_SIBL
(6,10),(6,23),-0.0107283 # DEPENDENCYPART_SIBL
(6,10),(6,25),-0.0203709 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.00772575 # DEPENDENCYPART_SIBL
(6,11),(6,15),0.0130668 # DEPENDENCYPART_SIBL
(6,11),(6,17),-0.00772575 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.00673525 # DEPENDENCYPART_SIBL
(6,11),(6,23),0.0130668 # DEPENDENCYPART_SIBL
(6,11),(6,25),0.0138944 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0293792 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.18794 # DEPENDENCYPART_SIBL
(6,12),(6,19),-0.079021 # DEPENDENCYPART_SIBL
(6,12),(6,23),-0.0293792 # DEPENDENCYPART_SIBL
(6,12),(6,25),-0.0391826 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.0946869 # DEPENDENCYPART_SIBL
(6,15),(6,19),0.0416585 # DEPENDENCYPART_SIBL
(6,15),(6,23),0.0271318 # DEPENDENCYPART_SIBL
(6,15),(6,25),0.0073232 # DEPENDENCYPART_SIBL
(6,17),(6,19),-0.079021 # DEPENDENCYPART_SIBL
(6,17),(6,23),-0.0293792 # DEPENDENCYPART_SIBL
(6,17),(6,25),-0.0391826 # DEPENDENCYPART_SIBL
(6,19),(6,23),0.00779179 # DEPENDENCYPART_SIBL
(6,19),(6,25),0.00621326 # DEPENDENCYPART_SIBL
(6,23),(6,25),0.0073232 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0180813 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.000224311 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0115311 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0204963 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.0347807 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0170039 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.100529 # DEPENDENCYPART_SIBL
(8,2),(8,11),-0.00594859 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.00569778 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.0131625 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.0167533 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.069424 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.00569778 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0499244 # DEPENDENCYPART_SIBL
(8,2),(8,22),-0.00955834 # DEPENDENCYPART_SIBL
(8,2),(8,23),0.0167533 # DEPENDENCYPART_SIBL
(8,2),(8,24),-0.00893962 # DEPENDENCYPART_SIBL
(8,2),(8,25),0.0236571 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0649667 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.0419358 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0408566 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0948878 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0292802 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0838066 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0681074 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.121425 # DEPENDENCYPART_SIBL
