# _root_ Mr. Ferguson , who is 68 years old , fled the U.S. in 1970 after exhausting his appeals of a 1968 conviction on conspiracy to murder .
#goldHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
#predictedHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
(15,16),0.621066 # DEPENDENCYPART_ARC
(15,18),-1.41629 # DEPENDENCYPART_ARC
(15,19),-1.31084 # DEPENDENCYPART_ARC
(15,21),-1.82714 # DEPENDENCYPART_ARC
(15,22),-2.40946 # DEPENDENCYPART_ARC
(15,25),-1.84222 # DEPENDENCYPART_ARC
(16,4),-3.06553 # DEPENDENCYPART_ARC
(16,10),-2.81705 # DEPENDENCYPART_ARC
(16,13),-1.97785 # DEPENDENCYPART_ARC
(16,14),-2.14636 # DEPENDENCYPART_ARC
(16,15),-0.445233 # DEPENDENCYPART_ARC
(16,17),0.206877 # DEPENDENCYPART_ARC
(16,18),0.230032 # DEPENDENCYPART_ARC
(16,19),-0.893922 # DEPENDENCYPART_ARC
(16,20),-1.28664 # DEPENDENCYPART_ARC
(16,21),-1.50051 # DEPENDENCYPART_ARC
(16,22),-0.771744 # DEPENDENCYPART_ARC
(16,23),-1.27556 # DEPENDENCYPART_ARC
(16,24),-1.24683 # DEPENDENCYPART_ARC
(16,25),-1.00727 # DEPENDENCYPART_ARC
(16,26),-1.29916 # DEPENDENCYPART_ARC
(16,27),-0.224243 # DEPENDENCYPART_ARC
(18,13),-1.739 # DEPENDENCYPART_ARC
(18,14),-1.65224 # DEPENDENCYPART_ARC
(18,15),-1.52374 # DEPENDENCYPART_ARC
(18,16),-1.05562 # DEPENDENCYPART_ARC
(18,17),0.960877 # DEPENDENCYPART_ARC
(18,19),0.388067 # DEPENDENCYPART_ARC
(18,20),-1.37792 # DEPENDENCYPART_ARC
(18,21),-1.50058 # DEPENDENCYPART_ARC
(18,22),-1.15283 # DEPENDENCYPART_ARC
(18,23),-0.981059 # DEPENDENCYPART_ARC
(18,24),-1.4101 # DEPENDENCYPART_ARC
(18,25),-1.30271 # DEPENDENCYPART_ARC
(18,26),-1.41599 # DEPENDENCYPART_ARC
(18,27),-1.16163 # DEPENDENCYPART_ARC
(19,18),-0.545382 # DEPENDENCYPART_ARC
(19,20),-0.08058 # DEPENDENCYPART_ARC
(19,21),-0.976931 # DEPENDENCYPART_ARC
(19,22),-0.666189 # DEPENDENCYPART_ARC
(19,23),-1.43874 # DEPENDENCYPART_ARC
(19,24),-1.46275 # DEPENDENCYPART_ARC
(19,25),-1.85713 # DEPENDENCYPART_ARC
(19,26),-1.84474 # DEPENDENCYPART_ARC
(20,21),-0.276137 # DEPENDENCYPART_ARC
(21,20),-0.136054 # DEPENDENCYPART_ARC
(21,22),-0.339395 # DEPENDENCYPART_ARC
(21,23),-1.24186 # DEPENDENCYPART_ARC
(21,24),-1.44401 # DEPENDENCYPART_ARC
(21,26),-1.7048 # DEPENDENCYPART_ARC
(22,13),-1.4987 # DEPENDENCYPART_ARC
(22,14),-1.87147 # DEPENDENCYPART_ARC
(22,17),-1.04537 # DEPENDENCYPART_ARC
(22,18),-1.46025 # DEPENDENCYPART_ARC
(22,19),-0.955928 # DEPENDENCYPART_ARC
(22,20),0.440886 # DEPENDENCYPART_ARC
(22,21),1.02029 # DEPENDENCYPART_ARC
(22,23),0.358942 # DEPENDENCYPART_ARC
(22,24),-1.02581 # DEPENDENCYPART_ARC
(22,25),-1.07828 # DEPENDENCYPART_ARC
(22,26),-1.32795 # DEPENDENCYPART_ARC
(22,27),-1.27196 # DEPENDENCYPART_ARC
(23,21),-1.56082 # DEPENDENCYPART_ARC
(23,22),-0.58215 # DEPENDENCYPART_ARC
(23,24),0.684856 # DEPENDENCYPART_ARC
(23,25),-0.931317 # DEPENDENCYPART_ARC
(23,26),-0.999526 # DEPENDENCYPART_ARC
(24,17),-1.77231 # DEPENDENCYPART_ARC
(24,19),-1.51673 # DEPENDENCYPART_ARC
(24,20),-1.31073 # DEPENDENCYPART_ARC
(24,21),-1.31485 # DEPENDENCYPART_ARC
(24,22),-0.794211 # DEPENDENCYPART_ARC
(24,23),-0.134673 # DEPENDENCYPART_ARC
(24,25),0.0971655 # DEPENDENCYPART_ARC
(24,26),-0.91069 # DEPENDENCYPART_ARC
(24,27),-0.928703 # DEPENDENCYPART_ARC
(25,24),-0.347009 # DEPENDENCYPART_ARC
(25,26),0.57949 # DEPENDENCYPART_ARC
(25,27),-0.855739 # DEPENDENCYPART_ARC
(26,17),-1.60947 # DEPENDENCYPART_ARC
(26,19),-1.45798 # DEPENDENCYPART_ARC
(26,20),-1.82701 # DEPENDENCYPART_ARC
(26,21),-1.18366 # DEPENDENCYPART_ARC
(26,22),-1.37391 # DEPENDENCYPART_ARC
(26,23),-1.30932 # DEPENDENCYPART_ARC
(26,24),-0.39294 # DEPENDENCYPART_ARC
(26,25),0.171171 # DEPENDENCYPART_ARC
(26,27),-0.227553 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0611125 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0173628 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.126935 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0206455 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.125175 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0173628 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.125876 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0206441 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.124123 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.103411 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.00307939 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0971237 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.0831068 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.252762 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0835626 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0131102 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0233077 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0145649 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0131102 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0217838 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0338229 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0506855 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0387024 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.00787059 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0342865 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0225344 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0530142 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0209038 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0124769 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00787059 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0893003 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0842243 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0719764 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0368021 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0893003 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.124998 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0396339 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.19555 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.208861 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.120836 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0120216 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.157377 # DEPENDENCYPART_SIBL
(2,1),(2,27),-0.0763762 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0347648 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0726508 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0511656 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0393972 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00881212 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0357038 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0116071 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0236439 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0223713 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0441117 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0709169 # DEPENDENCYPART_SIBL
(2,3),(2,27),0.0050613 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0292856 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0341405 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0229262 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0526793 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0408035 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.047044 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0302786 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0498534 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0363127 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0417742 # DEPENDENCYPART_SIBL
(2,5),(2,27),0.0313472 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0280343 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0127784 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0166477 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0326774 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00423983 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0225337 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0143135 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.025997 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0367614 # DEPENDENCYPART_SIBL
(2,6),(2,27),0.012824 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0237258 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00981505 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0215564 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0190198 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0289096 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00690395 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0153419 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.00611903 # DEPENDENCYPART_SIBL
(2,7),(2,27),0.0220439 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00881212 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0357038 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0116071 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0236439 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0223713 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.0441117 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0709169 # DEPENDENCYPART_SIBL
(2,9),(2,27),0.0050613 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0150947 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.00108795 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0166237 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.00845627 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0106039 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.000115658 # DEPENDENCYPART_SIBL
(2,10),(2,27),0.00125851 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0187475 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0269496 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0170736 # DEPENDENCYPART_SIBL
(2,12),(2,18),-0.0189115 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.00620305 # DEPENDENCYPART_SIBL
(2,12),(2,27),0.0188761 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.013285 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.00691454 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0157801 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.0633164 # DEPENDENCYPART_SIBL
(2,13),(2,27),0.00527398 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.00292666 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.00932347 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.0240834 # DEPENDENCYPART_SIBL
(2,15),(2,27),0.0532541 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0104046 # DEPENDENCYPART_SIBL
(2,16),(2,23),7.31706e-05 # DEPENDENCYPART_SIBL
(2,16),(2,27),0.0016234 # DEPENDENCYPART_SIBL
(2,18),(2,23),0.00785122 # DEPENDENCYPART_SIBL
(2,18),(2,27),0.0261679 # DEPENDENCYPART_SIBL
(2,23),(2,27),0.084607 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.030138 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0914456 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0180399 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.170148 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0465136 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0103721 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00046429 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.11611 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0400106 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.00477081 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0022511 # DEPENDENCYPART_SIBL
(5,2),(5,27),-0.00916561 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0664757 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0180343 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0230958 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.00403686 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.089967 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00801536 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00817725 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.04315 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.00929344 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0107134 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.037156 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0496067 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0979652 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.010113 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.147207 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0362833 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0217028 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0779942 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0277957 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.04022 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.212093 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.062585 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0374897 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00969216 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0371759 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0634671 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0253208 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.00560763 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.036544 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.00702944 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0423734 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0139891 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0196494 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0658945 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0178647 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0211776 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0178723 # DEPENDENCYPART_SIBL
(5,7),(5,27),-0.0159834 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.00607885 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0439302 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0665172 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0160474 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00455902 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0432976 # DEPENDENCYPART_SIBL
(5,8),(5,27),-0.037614 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00435475 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00191428 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0528282 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.105866 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.014812 # DEPENDENCYPART_SIBL
(5,9),(5,27),0.00253211 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0632425 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0549413 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.000205446 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0684568 # DEPENDENCYPART_SIBL
(5,10),(5,27),-0.00661816 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.00395517 # DEPENDENCYPART_SIBL
(5,12),(5,15),-0.00537629 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0277694 # DEPENDENCYPART_SIBL
(5,12),(5,27),-0.0012482 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0217514 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0460276 # DEPENDENCYPART_SIBL
(5,13),(5,27),-0.0482231 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.0265717 # DEPENDENCYPART_SIBL
(5,15),(5,27),0.0131561 # DEPENDENCYPART_SIBL
(5,16),(5,27),-0.00616611 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.00742727 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00868453 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00173089 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0905379 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0159909 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0313797 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00684752 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0487054 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0187147 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0833551 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0491336 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.013517 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0444035 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0268336 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0498097 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0152122 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0370427 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0206105 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0659129 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0734597 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00533883 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0251982 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0968779 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.00805288 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0434947 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00978873 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0723507 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00356629 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0103005 # DEPENDENCYPART_SIBL
(7,4),(7,14),-0.0595297 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0321251 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0337646 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0275311 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0801239 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.00889551 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0757025 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0444428 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.109767 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0531027 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0209941 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0244162 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0351139 # DEPENDENCYPART_SIBL
