# _root_ Avon also said it will issue an additional 243,677 of the Class C warrants to holders of its Class A , Class B and unclassified warrants .
#goldHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,26,24,24,24,24,24,26,24,17,3,
#predictedHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,19,24,23,24,23,24,17,26,24,3,
(6,19),-1.12804 # DEPENDENCYPART_ARC
(6,21),-1.40308 # DEPENDENCYPART_ARC
(6,24),-0.983017 # DEPENDENCYPART_ARC
(6,25),-1.54456 # DEPENDENCYPART_ARC
(6,27),-0.994252 # DEPENDENCYPART_ARC
(7,6),-0.0983522 # DEPENDENCYPART_ARC
(7,8),-0.395801 # DEPENDENCYPART_ARC
(7,9),-1.07479 # DEPENDENCYPART_ARC
(7,10),-1.15364 # DEPENDENCYPART_ARC
(8,2),-1.88201 # DEPENDENCYPART_ARC
(8,4),-1.90598 # DEPENDENCYPART_ARC
(8,7),-0.133691 # DEPENDENCYPART_ARC
(8,9),-0.270847 # DEPENDENCYPART_ARC
(8,10),-0.754075 # DEPENDENCYPART_ARC
(8,12),-1.39396 # DEPENDENCYPART_ARC
(8,13),-1.48019 # DEPENDENCYPART_ARC
(8,14),-1.55962 # DEPENDENCYPART_ARC
(8,17),-1.58032 # DEPENDENCYPART_ARC
(9,7),-0.760881 # DEPENDENCYPART_ARC
(9,8),0.303527 # DEPENDENCYPART_ARC
(9,10),0.125946 # DEPENDENCYPART_ARC
(9,11),-0.810051 # DEPENDENCYPART_ARC
(9,12),-0.879336 # DEPENDENCYPART_ARC
(9,13),-1.06869 # DEPENDENCYPART_ARC
(9,14),-1.24204 # DEPENDENCYPART_ARC
(9,16),-1.35822 # DEPENDENCYPART_ARC
(9,17),-1.32753 # DEPENDENCYPART_ARC
(9,19),-1.46004 # DEPENDENCYPART_ARC
(9,21),-1.03286 # DEPENDENCYPART_ARC
(9,22),-1.77974 # DEPENDENCYPART_ARC
(9,23),-1.87619 # DEPENDENCYPART_ARC
(9,24),-0.912906 # DEPENDENCYPART_ARC
(10,8),-1.51962 # DEPENDENCYPART_ARC
(10,9),-0.434422 # DEPENDENCYPART_ARC
(10,11),0.0446261 # DEPENDENCYPART_ARC
(10,12),-0.124551 # DEPENDENCYPART_ARC
(10,13),-0.86393 # DEPENDENCYPART_ARC
(10,14),-0.92357 # DEPENDENCYPART_ARC
(10,15),-1.6669 # DEPENDENCYPART_ARC
(10,16),-1.63353 # DEPENDENCYPART_ARC
(10,19),-2.14187 # DEPENDENCYPART_ARC
(10,26),-3.21699 # DEPENDENCYPART_ARC
(11,12),-0.524802 # DEPENDENCYPART_ARC
(12,7),-2.64839 # DEPENDENCYPART_ARC
(12,11),-0.184866 # DEPENDENCYPART_ARC
(12,13),-0.583171 # DEPENDENCYPART_ARC
(12,15),-1.31271 # DEPENDENCYPART_ARC
(12,16),-1.80457 # DEPENDENCYPART_ARC
(12,17),-1.76194 # DEPENDENCYPART_ARC
(12,20),-1.90674 # DEPENDENCYPART_ARC
(13,7),-3.16886 # DEPENDENCYPART_ARC
(13,8),-2.80832 # DEPENDENCYPART_ARC
(13,9),-2.56511 # DEPENDENCYPART_ARC
(13,11),-1.11437 # DEPENDENCYPART_ARC
(13,12),-0.136366 # DEPENDENCYPART_ARC
(13,14),-0.885184 # DEPENDENCYPART_ARC
(13,16),-1.7967 # DEPENDENCYPART_ARC
(13,17),-1.97114 # DEPENDENCYPART_ARC
(13,26),-2.59627 # DEPENDENCYPART_ARC
(14,2),-1.52078 # DEPENDENCYPART_ARC
(14,7),-1.48606 # DEPENDENCYPART_ARC
(14,8),-1.4568 # DEPENDENCYPART_ARC
(14,9),-1.07609 # DEPENDENCYPART_ARC
(14,10),-0.690655 # DEPENDENCYPART_ARC
(14,11),0.0780678 # DEPENDENCYPART_ARC
(14,12),0.883437 # DEPENDENCYPART_ARC
(14,13),1.88762 # DEPENDENCYPART_ARC
(14,15),-0.423476 # DEPENDENCYPART_ARC
(14,16),-0.967617 # DEPENDENCYPART_ARC
(14,17),-1.38225 # DEPENDENCYPART_ARC
(14,19),-1.6351 # DEPENDENCYPART_ARC
(14,20),-1.77022 # DEPENDENCYPART_ARC
(14,21),-1.97632 # DEPENDENCYPART_ARC
(14,22),-1.78758 # DEPENDENCYPART_ARC
(14,23),-1.94486 # DEPENDENCYPART_ARC
(14,24),-1.27735 # DEPENDENCYPART_ARC
(14,25),-2.16986 # DEPENDENCYPART_ARC
(14,26),-2.08259 # DEPENDENCYPART_ARC
(14,27),-1.59608 # DEPENDENCYPART_ARC
(15,14),-0.292249 # DEPENDENCYPART_ARC
(15,16),0.552399 # DEPENDENCYPART_ARC
(15,17),-1.28167 # DEPENDENCYPART_ARC
(15,19),-1.31688 # DEPENDENCYPART_ARC
(15,23),-2.61423 # DEPENDENCYPART_ARC
(15,24),-1.63062 # DEPENDENCYPART_ARC
(16,7),-2.54571 # DEPENDENCYPART_ARC
(16,8),-2.40767 # DEPENDENCYPART_ARC
(16,9),-1.96329 # DEPENDENCYPART_ARC
(16,11),-1.35016 # DEPENDENCYPART_ARC
(16,12),-0.735681 # DEPENDENCYPART_ARC
(16,13),-0.739241 # DEPENDENCYPART_ARC
(16,14),-0.674053 # DEPENDENCYPART_ARC
(16,15),0.0176916 # DEPENDENCYPART_ARC
(16,17),0.527616 # DEPENDENCYPART_ARC
(16,19),-0.920938 # DEPENDENCYPART_ARC
(16,20),-1.34968 # DEPENDENCYPART_ARC
(16,21),-1.48756 # DEPENDENCYPART_ARC
(16,22),-1.30587 # DEPENDENCYPART_ARC
(16,23),-1.30113 # DEPENDENCYPART_ARC
(16,24),-1.05497 # DEPENDENCYPART_ARC
(16,25),-1.5981 # DEPENDENCYPART_ARC
(16,26),-1.35743 # DEPENDENCYPART_ARC
(16,27),-1.538 # DEPENDENCYPART_ARC
(17,14),-1.54017 # DEPENDENCYPART_ARC
(17,15),-1.55569 # DEPENDENCYPART_ARC
(17,16),-0.559644 # DEPENDENCYPART_ARC
(17,18),-0.173627 # DEPENDENCYPART_ARC
(17,19),-0.261496 # DEPENDENCYPART_ARC
(17,22),-2.43967 # DEPENDENCYPART_ARC
(17,23),-2.3522 # DEPENDENCYPART_ARC
(17,24),-1.82572 # DEPENDENCYPART_ARC
(17,25),-1.93287 # DEPENDENCYPART_ARC
(17,26),-2.54535 # DEPENDENCYPART_ARC
(19,7),-3.12704 # DEPENDENCYPART_ARC
(19,11),-2.26534 # DEPENDENCYPART_ARC
(19,12),-1.70052 # DEPENDENCYPART_ARC
(19,14),-1.65436 # DEPENDENCYPART_ARC
(19,15),-1.80486 # DEPENDENCYPART_ARC
(19,16),-1.26493 # DEPENDENCYPART_ARC
(19,17),-1.15418 # DEPENDENCYPART_ARC
(19,18),0.890497 # DEPENDENCYPART_ARC
(19,20),-0.628966 # DEPENDENCYPART_ARC
(19,21),-1.33526 # DEPENDENCYPART_ARC
(19,22),-1.42056 # DEPENDENCYPART_ARC
(19,23),-1.6879 # DEPENDENCYPART_ARC
(19,24),-1.47859 # DEPENDENCYPART_ARC
(19,25),-1.81388 # DEPENDENCYPART_ARC
(19,26),-1.77967 # DEPENDENCYPART_ARC
(20,21),-0.317976 # DEPENDENCYPART_ARC
(20,22),-1.61277 # DEPENDENCYPART_ARC
(22,18),-2.14448 # DEPENDENCYPART_ARC
(22,20),-1.16786 # DEPENDENCYPART_ARC
(22,23),-0.752165 # DEPENDENCYPART_ARC
(22,25),-1.51295 # DEPENDENCYPART_ARC
(22,26),-1.91454 # DEPENDENCYPART_ARC
(23,18),-1.73663 # DEPENDENCYPART_ARC
(23,19),-2.09943 # DEPENDENCYPART_ARC
(23,20),-1.54346 # DEPENDENCYPART_ARC
(23,22),1.49024 # DEPENDENCYPART_ARC
(23,25),-1.44844 # DEPENDENCYPART_ARC
(23,26),-1.6971 # DEPENDENCYPART_ARC
(24,1),-2.04745 # DEPENDENCYPART_ARC
(24,2),-0.886397 # DEPENDENCYPART_ARC
(24,3),-2.40216 # DEPENDENCYPART_ARC
(24,4),-1.63843 # DEPENDENCYPART_ARC
(24,5),-1.71279 # DEPENDENCYPART_ARC
(24,6),-1.91439 # DEPENDENCYPART_ARC
(24,7),-2.25451 # DEPENDENCYPART_ARC
(24,8),-2.11677 # DEPENDENCYPART_ARC
(24,9),-1.09465 # DEPENDENCYPART_ARC
(24,10),-1.92174 # DEPENDENCYPART_ARC
(24,11),-2.37039 # DEPENDENCYPART_ARC
(24,12),-1.58318 # DEPENDENCYPART_ARC
(24,13),-1.50486 # DEPENDENCYPART_ARC
(24,14),-1.28635 # DEPENDENCYPART_ARC
(24,15),-1.93277 # DEPENDENCYPART_ARC
(24,16),-1.51946 # DEPENDENCYPART_ARC
(24,17),-1.62325 # DEPENDENCYPART_ARC
(24,18),-1.18462 # DEPENDENCYPART_ARC
(24,19),-0.94736 # DEPENDENCYPART_ARC
(24,20),-1.0215 # DEPENDENCYPART_ARC
(24,21),-0.437777 # DEPENDENCYPART_ARC
(24,22),-0.0666788 # DEPENDENCYPART_ARC
(24,23),1.7131 # DEPENDENCYPART_ARC
(24,25),0.194429 # DEPENDENCYPART_ARC
(24,26),0.572638 # DEPENDENCYPART_ARC
(24,27),-1.44143 # DEPENDENCYPART_ARC
(25,15),-2.53128 # DEPENDENCYPART_ARC
(25,23),-1.52586 # DEPENDENCYPART_ARC
(25,26),-0.758516 # DEPENDENCYPART_ARC
(26,18),-1.4945 # DEPENDENCYPART_ARC
(26,19),-2.39449 # DEPENDENCYPART_ARC
(26,20),-1.88129 # DEPENDENCYPART_ARC
(26,21),-1.5536 # DEPENDENCYPART_ARC
(26,22),-0.372889 # DEPENDENCYPART_ARC
(26,23),-0.798293 # DEPENDENCYPART_ARC
(26,24),-0.500385 # DEPENDENCYPART_ARC
(26,25),1.01372 # DEPENDENCYPART_ARC
(26,27),-0.579582 # DEPENDENCYPART_ARC
(27,25),-1.34793 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.134325 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0437931 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.129271 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.138128 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.239775 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.11989 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00875167 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0047338 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00179824 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0189305 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.00981953 # DEPENDENCYPART_SIBL
(1,2),(1,27),0.0263304 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.00675306 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0163746 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.00166783 # DEPENDENCYPART_SIBL
(1,3),(1,10),3.42989e-05 # DEPENDENCYPART_SIBL
(1,3),(1,27),0.0488056 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0136779 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.000404598 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.0290928 # DEPENDENCYPART_SIBL
(1,4),(1,27),-0.00131793 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.00992456 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0360893 # DEPENDENCYPART_SIBL
(1,5),(1,27),0.0530794 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00521459 # DEPENDENCYPART_SIBL
(1,6),(1,27),-0.0198431 # DEPENDENCYPART_SIBL
(1,10),(1,27),-0.0331566 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0552378 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0150639 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0165865 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0398916 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.016068 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0460306 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0216211 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0168801 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.030385 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.000395967 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0631602 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00321601 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0200141 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.027746 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0395091 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0265074 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0129226 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00338547 # DEPENDENCYPART_SIBL
(2,6),(2,9),2.59679e-05 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0736469 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0344739 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0407564 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0591965 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0159222 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00581198 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.112869 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0722548 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0145236 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0100893 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0699774 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.00224512 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.021715 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0309325 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0763077 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0905378 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.024396 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.103201 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.102835 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00350995 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0567256 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0749986 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.106857 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0355728 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.115656 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0481149 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0627908 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0300632 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0650533 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0483441 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0156984 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0140851 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.0602546 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0501482 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.108524 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0496884 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0472223 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0630721 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0481666 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.100904 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0682612 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0335408 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.13335 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.00631236 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0413004 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0598556 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0477644 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0310652 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0809885 # DEPENDENCYPART_SIBL
(3,6),(3,21),-0.0433475 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.123872 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0147181 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0436145 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0226299 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.04375 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.04746 # DEPENDENCYPART_SIBL
(3,7),(3,21),-0.0734278 # DEPENDENCYPART_SIBL
(3,7),(3,24),-0.0789449 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.0677003 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0215005 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0120464 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.00961624 # DEPENDENCYPART_SIBL
(3,8),(3,21),-0.0044317 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.063128 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.0424452 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0103545 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00876417 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.0320848 # DEPENDENCYPART_SIBL
(3,9),(3,24),-0.0545033 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0400196 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0857769 # DEPENDENCYPART_SIBL
(3,10),(3,21),-0.0365421 # DEPENDENCYPART_SIBL
(3,10),(3,24),-0.0727105 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.0471328 # DEPENDENCYPART_SIBL
(3,15),(3,21),-0.0385993 # DEPENDENCYPART_SIBL
(3,15),(3,24),-0.100369 # DEPENDENCYPART_SIBL
(3,15),(3,27),-0.0712847 # DEPENDENCYPART_SIBL
(3,21),(3,24),-0.057683 # DEPENDENCYPART_SIBL
(3,21),(3,27),-0.0252113 # DEPENDENCYPART_SIBL
(3,24),(3,27),0.0422941 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0030897 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00981048 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.00537579 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.105775 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0236333 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0203429 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0290716 # DEPENDENCYPART_SIBL
(5,1),(5,21),-0.031657 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.018157 # DEPENDENCYPART_SIBL
(5,1),(5,27),0.00222944 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00815054 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0244487 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0128682 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0121999 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0188117 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0188665 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0718078 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.130862 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.027412 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00998063 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.019161 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0439967 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0513161 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.00210042 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.056021 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0405007 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.06714 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.107403 # DEPENDENCYPART_SIBL
(5,4),(5,21),-0.0667594 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0459658 # DEPENDENCYPART_SIBL
(5,4),(5,27),0.00535698 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0724385 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0727257 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.0726119 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.195422 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.000931692 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00950451 # DEPENDENCYPART_SIBL
(5,8),(5,21),0.000922767 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.0743282 # DEPENDENCYPART_SIBL
(5,8),(5,27),-0.0175294 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.0521274 # DEPENDENCYPART_SIBL
(5,10),(5,24),-0.0479674 # DEPENDENCYPART_SIBL
(5,10),(5,27),-0.0201146 # DEPENDENCYPART_SIBL
(5,21),(5,24),-0.0559417 # DEPENDENCYPART_SIBL
(5,21),(5,27),-0.00663696 # DEPENDENCYPART_SIBL
(5,24),(5,27),0.00987411 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0425377 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0466662 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0326206 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0400046 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0763979 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0161476 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0298614 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0786459 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.00669094 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0125749 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0113453 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0116378 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0147035 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0786459 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.00669094 # DEPENDENCYPART_SIBL
(6,1),(6,21),0.0482379 # DEPENDENCYPART_SIBL
(6,1),(6,24),0.0361819 # DEPENDENCYPART_SIBL
(6,1),(6,25),0.0213106 # DEPENDENCYPART_SIBL
(6,1),(6,27),0.0468262 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0251109 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0394877 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0905473 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0714726 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0315464 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0391972 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00624861 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.00322857 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.00322003 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.00101217 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00824255 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0102522 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00624861 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.00322857 # DEPENDENCYPART_SIBL
(6,2),(6,21),-0.0342344 # DEPENDENCYPART_SIBL
(6,2),(6,24),0.0280547 # DEPENDENCYPART_SIBL
(6,2),(6,25),-0.0210817 # DEPENDENCYPART_SIBL
(6,2),(6,27),0.198733 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0177854 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.10396 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0866885 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.00200176 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0679732 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00342318 # DEPENDENCYPART_SIBL
