# _root_ In addition , corporations are now shouldering a bigger share of the tax burden , as the authors of the 1986 law hoped .
#goldHeads=5,1,5,5,0,5,5,10,10,7,10,14,14,11,7,23,18,23,18,22,22,19,7,5,
#predictedHeads=5,1,5,5,0,5,5,10,10,7,10,14,14,11,7,23,18,23,18,22,22,19,7,5,
(11,15),-1.39639 # DEPENDENCYPART_ARC
(11,16),-2.02172 # DEPENDENCYPART_ARC
(11,18),-2.74472 # DEPENDENCYPART_ARC
(11,19),-2.12197 # DEPENDENCYPART_ARC
(12,13),-0.476008 # DEPENDENCYPART_ARC
(13,12),-0.0808202 # DEPENDENCYPART_ARC
(13,14),-0.81117 # DEPENDENCYPART_ARC
(13,16),-2.04669 # DEPENDENCYPART_ARC
(13,18),-2.24743 # DEPENDENCYPART_ARC
(14,3),-1.56499 # DEPENDENCYPART_ARC
(14,5),-1.49559 # DEPENDENCYPART_ARC
(14,8),-2.06915 # DEPENDENCYPART_ARC
(14,9),-1.22488 # DEPENDENCYPART_ARC
(14,10),-1.14768 # DEPENDENCYPART_ARC
(14,11),-1.03748 # DEPENDENCYPART_ARC
(14,12),0.335298 # DEPENDENCYPART_ARC
(14,13),1.83443 # DEPENDENCYPART_ARC
(14,15),-0.252051 # DEPENDENCYPART_ARC
(14,16),-2.07967 # DEPENDENCYPART_ARC
(14,18),-1.98879 # DEPENDENCYPART_ARC
(14,19),-2.65462 # DEPENDENCYPART_ARC
(14,21),-2.76737 # DEPENDENCYPART_ARC
(14,22),-2.20757 # DEPENDENCYPART_ARC
(14,23),-2.48946 # DEPENDENCYPART_ARC
(14,24),-2.54442 # DEPENDENCYPART_ARC
(16,1),-1.26638 # DEPENDENCYPART_ARC
(16,11),-1.93325 # DEPENDENCYPART_ARC
(16,14),-1.8592 # DEPENDENCYPART_ARC
(16,15),-0.168923 # DEPENDENCYPART_ARC
(16,17),-0.309255 # DEPENDENCYPART_ARC
(16,18),-0.567488 # DEPENDENCYPART_ARC
(16,19),-1.46616 # DEPENDENCYPART_ARC
(16,21),-1.84502 # DEPENDENCYPART_ARC
(16,22),-2.19352 # DEPENDENCYPART_ARC
(16,24),-1.571 # DEPENDENCYPART_ARC
(17,16),-0.352017 # DEPENDENCYPART_ARC
(17,19),-1.30884 # DEPENDENCYPART_ARC
(18,12),-2.48562 # DEPENDENCYPART_ARC
(18,16),-1.13062 # DEPENDENCYPART_ARC
(18,17),1.16472 # DEPENDENCYPART_ARC
(18,19),0.61145 # DEPENDENCYPART_ARC
(18,20),-1.21419 # DEPENDENCYPART_ARC
(18,21),-1.3248 # DEPENDENCYPART_ARC
(18,22),-1.21796 # DEPENDENCYPART_ARC
(18,23),-0.947911 # DEPENDENCYPART_ARC
(18,24),-1.31105 # DEPENDENCYPART_ARC
(19,14),-2.21162 # DEPENDENCYPART_ARC
(19,17),-1.51347 # DEPENDENCYPART_ARC
(19,18),-0.591414 # DEPENDENCYPART_ARC
(19,20),-0.132018 # DEPENDENCYPART_ARC
(19,21),-0.917566 # DEPENDENCYPART_ARC
(19,22),-0.401757 # DEPENDENCYPART_ARC
(19,23),-1.50512 # DEPENDENCYPART_ARC
(19,24),-1.52237 # DEPENDENCYPART_ARC
(20,21),-0.333456 # DEPENDENCYPART_ARC
(20,23),-1.21772 # DEPENDENCYPART_ARC
(21,19),-1.39576 # DEPENDENCYPART_ARC
(21,20),-0.194098 # DEPENDENCYPART_ARC
(21,22),-0.409843 # DEPENDENCYPART_ARC
(21,23),-1.02433 # DEPENDENCYPART_ARC
(22,16),-1.35549 # DEPENDENCYPART_ARC
(22,17),-1.21396 # DEPENDENCYPART_ARC
(22,18),-1.30676 # DEPENDENCYPART_ARC
(22,19),-0.941778 # DEPENDENCYPART_ARC
(22,20),0.439442 # DEPENDENCYPART_ARC
(22,21),1.01302 # DEPENDENCYPART_ARC
(22,23),0.00424935 # DEPENDENCYPART_ARC
(22,24),-1.43772 # DEPENDENCYPART_ARC
(23,1),-1.0773 # DEPENDENCYPART_ARC
(23,2),-1.16699 # DEPENDENCYPART_ARC
(23,3),-1.92917 # DEPENDENCYPART_ARC
(23,4),-1.93461 # DEPENDENCYPART_ARC
(23,5),-1.21945 # DEPENDENCYPART_ARC
(23,6),-1.56864 # DEPENDENCYPART_ARC
(23,7),-1.37439 # DEPENDENCYPART_ARC
(23,9),-1.40648 # DEPENDENCYPART_ARC
(23,10),-1.69556 # DEPENDENCYPART_ARC
(23,11),-1.64461 # DEPENDENCYPART_ARC
(23,13),-1.81693 # DEPENDENCYPART_ARC
(23,14),-1.7968 # DEPENDENCYPART_ARC
(23,15),-1.13015 # DEPENDENCYPART_ARC
(23,16),0.0980111 # DEPENDENCYPART_ARC
(23,17),-1.1723 # DEPENDENCYPART_ARC
(23,18),-0.310125 # DEPENDENCYPART_ARC
(23,19),-0.410611 # DEPENDENCYPART_ARC
(23,20),-0.801739 # DEPENDENCYPART_ARC
(23,21),-0.485702 # DEPENDENCYPART_ARC
(23,22),1.06309 # DEPENDENCYPART_ARC
(23,24),1.17007 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0196329 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0196362 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.12217 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.11636 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.119699 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0502795 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.122057 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.124467 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.123503 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.121145 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.123556 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.122591 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.234794 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.234797 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.22546 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0298835 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0707824 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0170661 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00632915 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.000186271 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0635185 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0037883 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0390067 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.00603031 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.00890884 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0351595 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0261612 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.005222 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0474667 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0183388 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.013411 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0313249 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00457703 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00773769 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0292623 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0167949 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0286381 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.013411 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.027794 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.00321377 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.019312 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0103687 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0542909 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0067602 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00195653 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0222711 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.00533388 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.0222685 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0119765 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0307626 # DEPENDENCYPART_SIBL
(2,4),(2,6),-7.63714e-05 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0204729 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0339774 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.021372 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0109132 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0223617 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0201658 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0264268 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0115511 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0089861 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00245791 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0446193 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00246053 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0644884 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00298493 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0216539 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0291017 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0156464 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0290991 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.024665 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.020125 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0135968 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0133926 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.0135994 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.000424665 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0174881 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.00477931 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0184778 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.029685 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.00443664 # DEPENDENCYPART_SIBL
(2,14),(2,18),-0.0201197 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.0160397 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0222685 # DEPENDENCYPART_SIBL
(2,15),(2,24),-0.0119765 # DEPENDENCYPART_SIBL
(2,18),(2,24),0.0201976 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0223093 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.000713917 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0094623 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0101043 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0343111 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0121409 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0262434 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0368033 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0247162 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0621853 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0283042 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0179711 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.00027685 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0112881 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0613682 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00233529 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0566013 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.206975 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0242526 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0163403 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.00847391 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.00794692 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00459547 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0242622 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.00376842 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0196127 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.00171628 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0303453 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0143252 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0596553 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00342631 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0241427 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0507757 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0836036 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0206282 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0288844 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0984029 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0454871 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0507742 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0701401 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.056969 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0346131 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0238164 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.140497 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0553088 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00854414 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.11164 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00368286 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0444682 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0142185 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0525629 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0137559 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0510939 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.00707716 # DEPENDENCYPART_SIBL
(5,2),(5,24),-0.0153215 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0061017 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0131199 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00269442 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.106269 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0574569 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0608373 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0454023 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0387421 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.248492 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0360352 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.0001542 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0292937 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0602522 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00133441 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.10712 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.00265052 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0404991 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.023001 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0489229 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.0228477 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0421896 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.00013257 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.00361675 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0183801 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0306691 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0136479 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0111789 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.000283072 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.00402912 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0329365 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0762601 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0186336 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.00948064 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0514645 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0555686 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0115635 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.029368 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.018983 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0198551 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0789639 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.0708687 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0124478 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0363967 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0100203 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0394214 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0141738 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0617952 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0795829 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.0520213 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.034995 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.00998654 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.00536725 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0231427 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0205059 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0803127 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0312502 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.0170665 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0645843 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.035389 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.00865029 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0981448 # DEPENDENCYPART_SIBL
(5,10),(5,23),-0.0179224 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.00595263 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0119081 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.0419306 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.136456 # DEPENDENCYPART_SIBL
(5,11),(5,23),-0.0894213 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.0314357 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.00283078 # DEPENDENCYPART_SIBL
(5,14),(5,16),-0.0537906 # DEPENDENCYPART_SIBL
(5,14),(5,23),-0.0464335 # DEPENDENCYPART_SIBL
(5,14),(5,24),-0.0121598 # DEPENDENCYPART_SIBL
(5,15),(5,16),-0.015811 # DEPENDENCYPART_SIBL
(5,15),(5,23),0.013316 # DEPENDENCYPART_SIBL
(5,15),(5,24),0.00366912 # DEPENDENCYPART_SIBL
(5,16),(5,23),-0.0708444 # DEPENDENCYPART_SIBL
(5,16),(5,24),-0.0269854 # DEPENDENCYPART_SIBL
(5,23),(5,24),-0.00047611 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0327521 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0201287 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0171733 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0527403 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.00188419 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0528231 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.106745 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0970948 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0258693 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0110369 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.103188 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.019622 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.201503 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0128734 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.620739 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0209613 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0246965 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0351515 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.163058 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0407391 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0790031 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.215676 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0271155 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.100662 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0820404 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.138024 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0348094 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0307101 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0865071 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0373115 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0105463 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0426025 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.0289651 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0317071 # DEPENDENCYPART_SIBL
