# _root_ In New York Stock Exchange composite trading yesterday , H.H. Robertson closed at $ 11.625 , up 62.5 cents .
#goldHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,15,13,12,12,19,17,12,
#predictedHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,15,13,12,12,19,17,12,
(14,17),-1.71591 # DEPENDENCYPART_ARC
(14,18),-2.09442 # DEPENDENCYPART_ARC
(14,19),-2.07917 # DEPENDENCYPART_ARC
(14,20),-1.9597 # DEPENDENCYPART_ARC
(15,13),-0.822105 # DEPENDENCYPART_ARC
(15,14),0.78068 # DEPENDENCYPART_ARC
(15,16),0.161188 # DEPENDENCYPART_ARC
(15,17),-1.02551 # DEPENDENCYPART_ARC
(15,18),-1.67601 # DEPENDENCYPART_ARC
(15,19),-1.59557 # DEPENDENCYPART_ARC
(15,20),-1.48893 # DEPENDENCYPART_ARC
(16,13),-1.16802 # DEPENDENCYPART_ARC
(16,17),-0.421724 # DEPENDENCYPART_ARC
(17,7),-1.87562 # DEPENDENCYPART_ARC
(17,8),-1.89712 # DEPENDENCYPART_ARC
(17,11),-2.35864 # DEPENDENCYPART_ARC
(17,13),-2.1339 # DEPENDENCYPART_ARC
(17,14),-1.99888 # DEPENDENCYPART_ARC
(17,16),-0.400963 # DEPENDENCYPART_ARC
(17,18),0.281707 # DEPENDENCYPART_ARC
(17,19),-0.304766 # DEPENDENCYPART_ARC
(17,20),-1.03598 # DEPENDENCYPART_ARC
(18,15),-1.75069 # DEPENDENCYPART_ARC
(18,17),-0.234536 # DEPENDENCYPART_ARC
(18,19),-0.673706 # DEPENDENCYPART_ARC
(19,13),-1.74838 # DEPENDENCYPART_ARC
(19,14),-1.908 # DEPENDENCYPART_ARC
(19,15),-1.77749 # DEPENDENCYPART_ARC
(19,16),-1.43977 # DEPENDENCYPART_ARC
(19,17),-0.300422 # DEPENDENCYPART_ARC
(19,18),1.13479 # DEPENDENCYPART_ARC
(19,20),-0.314791 # DEPENDENCYPART_ARC
(0,1),(0,7),-0.026104 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.019629 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.127488 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0490496 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.120568 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.124091 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.135318 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.132701 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.133265 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0385297 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.130409 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.114031 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00122229 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.12942 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.129984 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0372408 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.127128 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.11075 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0136831 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.133219 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.039763 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.130365 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.113985 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0152178 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0406603 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0917477 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0776613 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.000792068 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0729993 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0649332 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0100926 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.112588 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0152064 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0399082 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0384773 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0328115 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0315881 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0438782 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0198487 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0206007 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00465372 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0252855 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.000552068 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00161945 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.102926 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0362081 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0349872 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0419769 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0416651 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.021986 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0317025 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0699487 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0582338 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.053678 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0754223 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0142523 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0502769 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0321007 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.00146792 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.012534 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0220578 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0249353 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00364249 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0222525 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.000900646 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0101051 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.000559735 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00322005 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0101272 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00185698 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0254096 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0285563 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.119237 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0371522 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0228709 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0163097 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0521681 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0288741 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0268344 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0192779 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.00162968 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.100322 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0436274 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0789775 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.115512 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0738377 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0898657 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0651879 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0272207 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00390407 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.015251 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0302825 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.00788462 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0182916 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.028526 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0177398 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00217465 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00701318 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.00909198 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00351736 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0125245 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.000706198 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0188428 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0169994 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.00771851 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0147671 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0587301 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0106424 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0172223 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0208456 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0404824 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0139293 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0058658 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0205646 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0292884 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0226948 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.00399415 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.117405 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0998919 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0534471 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0319079 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0618886 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0659252 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0352949 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0366632 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0447139 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0437638 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0659252 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0220674 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0410389 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0206647 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.195198 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0687131 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0889341 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.119591 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0310928 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0926846 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0940529 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0838396 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0695996 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0310928 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0365663 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0984312 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0406263 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0855824 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0724379 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.106099 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.037376 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.078071 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0794393 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.159924 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0890282 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.037376 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.072868 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0850143 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0792911 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.00341422 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.005555 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00204831 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.00475671 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0047576 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0133595 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0493536 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.00204831 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0245087 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.000717827 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0038197 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0354485 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0226426 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0246218 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0243551 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00137346 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.101302 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0226426 # DEPENDENCYPART_SIBL
(5,7),(5,17),0.0358995 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.033045 # DEPENDENCYPART_SIBL
(5,7),(5,20),0.0714488 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0162486 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.000342728 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.000609392 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.00472881 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0753188 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.0162486 # DEPENDENCYPART_SIBL
(5,8),(5,17),0.031617 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.00808104 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.0531665 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0373843 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0373819 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.0248952 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.046951 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0297957 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0265972 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0529848 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.00529367 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.00381587 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0119965 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0557267 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0201855 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0267236 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0127717 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0374207 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0131467 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.056838 # DEPENDENCYPART_SIBL
(5,11),(5,16),0.0178709 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.0267192 # DEPENDENCYPART_SIBL
(5,11),(5,19),0.01303 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.035416 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.031205 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0298428 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0170182 # DEPENDENCYPART_SIBL
(5,12),(5,19),-0.0102115 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.000964565 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.00627039 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.00584049 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.000383078 # DEPENDENCYPART_SIBL
(5,13),(5,20),0.0398672 # DEPENDENCYPART_SIBL
(5,16),(5,17),0.0265972 # DEPENDENCYPART_SIBL
(5,16),(5,19),0.0529848 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.00529367 # DEPENDENCYPART_SIBL
(5,17),(5,19),0.0441187 # DEPENDENCYPART_SIBL
(5,17),(5,20),0.012226 # DEPENDENCYPART_SIBL
(5,19),(5,20),0.0543208 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.000269275 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00271343 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.00226323 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0017209 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0308714 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0601788 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0853658 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0494405 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0644919 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0614187 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0788826 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0537054 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00522746 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0361546 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0215253 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0615608 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0826365 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0286426 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0203678 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0115057 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.00372962 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0486193 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0694775 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0174066 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0263505 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.035215 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0578878 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00737744 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00161123 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0229818 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0176855 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.002323 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00413806 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00407389 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0116939 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.105056 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0805565 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0256263 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0196198 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0268169 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0520599 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.063742 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0385838 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0509833 # DEPENDENCYPART_SIBL
