# _root_ Beyond the advertisements , the syndicator is planning a traveling arena show , new TV specials for CBS and even an exhibit at the Smithsonian Institute .
#goldHeads=7,3,1,7,6,7,0,7,12,12,12,19,19,16,16,19,16,17,8,22,22,19,22,26,26,23,7,
#predictedHeads=7,3,1,7,6,7,0,7,12,12,12,8,12,16,16,19,16,17,12,22,22,19,22,26,26,23,7,
(6,12),-1.57537 # DEPENDENCYPART_ARC
(6,13),-1.92255 # DEPENDENCYPART_ARC
(7,1),-0.72619 # DEPENDENCYPART_ARC
(7,3),-1.67461 # DEPENDENCYPART_ARC
(7,4),-0.647313 # DEPENDENCYPART_ARC
(7,5),-0.771776 # DEPENDENCYPART_ARC
(7,6),1.00338 # DEPENDENCYPART_ARC
(7,8),1.53199 # DEPENDENCYPART_ARC
(7,9),-1.16274 # DEPENDENCYPART_ARC
(7,10),-1.01764 # DEPENDENCYPART_ARC
(7,12),-1.366 # DEPENDENCYPART_ARC
(7,13),-1.67466 # DEPENDENCYPART_ARC
(7,16),-2.49303 # DEPENDENCYPART_ARC
(7,19),-1.16587 # DEPENDENCYPART_ARC
(7,27),-0.726582 # DEPENDENCYPART_ARC
(8,1),-1.86626 # DEPENDENCYPART_ARC
(8,3),-3.05945 # DEPENDENCYPART_ARC
(8,4),-2.19607 # DEPENDENCYPART_ARC
(8,6),-1.67885 # DEPENDENCYPART_ARC
(8,7),-1.41781 # DEPENDENCYPART_ARC
(8,9),-0.0526054 # DEPENDENCYPART_ARC
(8,10),-0.165011 # DEPENDENCYPART_ARC
(8,11),-0.825934 # DEPENDENCYPART_ARC
(8,12),-0.478404 # DEPENDENCYPART_ARC
(8,13),-1.57112 # DEPENDENCYPART_ARC
(8,14),-1.91279 # DEPENDENCYPART_ARC
(8,15),-1.97063 # DEPENDENCYPART_ARC
(8,16),-1.49568 # DEPENDENCYPART_ARC
(8,17),-1.99191 # DEPENDENCYPART_ARC
(8,18),-2.21493 # DEPENDENCYPART_ARC
(8,19),-0.995958 # DEPENDENCYPART_ARC
(8,20),-2.42482 # DEPENDENCYPART_ARC
(8,22),-2.09032 # DEPENDENCYPART_ARC
(8,23),-2.43652 # DEPENDENCYPART_ARC
(8,27),-1.44263 # DEPENDENCYPART_ARC
(9,10),-0.173604 # DEPENDENCYPART_ARC
(10,1),-2.38785 # DEPENDENCYPART_ARC
(10,6),-2.25418 # DEPENDENCYPART_ARC
(10,7),-2.4912 # DEPENDENCYPART_ARC
(10,9),-0.817906 # DEPENDENCYPART_ARC
(10,11),-0.262194 # DEPENDENCYPART_ARC
(10,12),-0.552757 # DEPENDENCYPART_ARC
(10,13),-1.56111 # DEPENDENCYPART_ARC
(10,14),-1.89804 # DEPENDENCYPART_ARC
(10,15),-2.20139 # DEPENDENCYPART_ARC
(10,16),-2.15605 # DEPENDENCYPART_ARC
(10,17),-1.94105 # DEPENDENCYPART_ARC
(10,19),-1.36271 # DEPENDENCYPART_ARC
(10,20),-2.44283 # DEPENDENCYPART_ARC
(10,22),-2.73873 # DEPENDENCYPART_ARC
(10,23),-2.5124 # DEPENDENCYPART_ARC
(10,27),-1.71791 # DEPENDENCYPART_ARC
(11,6),-2.20067 # DEPENDENCYPART_ARC
(11,7),-2.00707 # DEPENDENCYPART_ARC
(11,9),-0.928924 # DEPENDENCYPART_ARC
(11,10),-0.107385 # DEPENDENCYPART_ARC
(11,12),-0.769575 # DEPENDENCYPART_ARC
(11,16),-2.38791 # DEPENDENCYPART_ARC
(11,17),-2.15139 # DEPENDENCYPART_ARC
(12,4),-1.78109 # DEPENDENCYPART_ARC
(12,5),-2.21012 # DEPENDENCYPART_ARC
(12,6),-1.3977 # DEPENDENCYPART_ARC
(12,7),-1.15902 # DEPENDENCYPART_ARC
(12,8),-0.858869 # DEPENDENCYPART_ARC
(12,9),-0.610493 # DEPENDENCYPART_ARC
(12,10),-0.139418 # DEPENDENCYPART_ARC
(12,11),2.42068 # DEPENDENCYPART_ARC
(12,13),-0.00625231 # DEPENDENCYPART_ARC
(12,14),-1.88964 # DEPENDENCYPART_ARC
(12,15),-1.83215 # DEPENDENCYPART_ARC
(12,16),-1.87692 # DEPENDENCYPART_ARC
(12,17),-2.17101 # DEPENDENCYPART_ARC
(12,18),-2.26945 # DEPENDENCYPART_ARC
(12,19),-1.31749 # DEPENDENCYPART_ARC
(12,20),-2.00718 # DEPENDENCYPART_ARC
(12,22),-2.10498 # DEPENDENCYPART_ARC
(12,23),-2.56664 # DEPENDENCYPART_ARC
(12,26),-2.24177 # DEPENDENCYPART_ARC
(12,27),-1.82606 # DEPENDENCYPART_ARC
(14,12),-1.10073 # DEPENDENCYPART_ARC
(14,13),0.330274 # DEPENDENCYPART_ARC
(14,15),-0.359241 # DEPENDENCYPART_ARC
(14,17),-1.38945 # DEPENDENCYPART_ARC
(14,18),-1.5852 # DEPENDENCYPART_ARC
(15,9),-2.92701 # DEPENDENCYPART_ARC
(15,10),-2.17215 # DEPENDENCYPART_ARC
(15,12),-2.22583 # DEPENDENCYPART_ARC
(15,13),-1.70586 # DEPENDENCYPART_ARC
(15,14),0.241847 # DEPENDENCYPART_ARC
(15,16),-0.804448 # DEPENDENCYPART_ARC
(15,17),-1.2076 # DEPENDENCYPART_ARC
(15,18),-2.04501 # DEPENDENCYPART_ARC
(16,8),-1.72857 # DEPENDENCYPART_ARC
(16,9),-1.88656 # DEPENDENCYPART_ARC
(16,10),-1.43861 # DEPENDENCYPART_ARC
(16,11),-0.817569 # DEPENDENCYPART_ARC
(16,12),-1.4652 # DEPENDENCYPART_ARC
(16,13),-1.43579 # DEPENDENCYPART_ARC
(16,14),0.274932 # DEPENDENCYPART_ARC
(16,15),1.84941 # DEPENDENCYPART_ARC
(16,17),0.24162 # DEPENDENCYPART_ARC
(16,18),-1.22988 # DEPENDENCYPART_ARC
(16,19),-0.888717 # DEPENDENCYPART_ARC
(16,20),-1.31693 # DEPENDENCYPART_ARC
(16,22),-1.3068 # DEPENDENCYPART_ARC
(16,23),-1.30094 # DEPENDENCYPART_ARC
(16,25),-1.4515 # DEPENDENCYPART_ARC
(16,26),-1.56572 # DEPENDENCYPART_ARC
(16,27),-1.45108 # DEPENDENCYPART_ARC
(17,16),-0.625224 # DEPENDENCYPART_ARC
(17,18),0.826633 # DEPENDENCYPART_ARC
(17,19),-1.31459 # DEPENDENCYPART_ARC
(17,20),-1.33737 # DEPENDENCYPART_ARC
(17,22),-1.59339 # DEPENDENCYPART_ARC
(17,23),-1.34594 # DEPENDENCYPART_ARC
(17,26),-2.14675 # DEPENDENCYPART_ARC
(18,14),-2.14044 # DEPENDENCYPART_ARC
(18,15),-1.37418 # DEPENDENCYPART_ARC
(18,16),-1.27361 # DEPENDENCYPART_ARC
(18,17),-0.659773 # DEPENDENCYPART_ARC
(18,19),-0.646636 # DEPENDENCYPART_ARC
(18,20),-1.31749 # DEPENDENCYPART_ARC
(18,22),-1.57406 # DEPENDENCYPART_ARC
(18,23),-1.45989 # DEPENDENCYPART_ARC
(18,26),-1.85544 # DEPENDENCYPART_ARC
(19,1),-1.15367 # DEPENDENCYPART_ARC
(19,2),-2.86576 # DEPENDENCYPART_ARC
(19,3),-1.55855 # DEPENDENCYPART_ARC
(19,4),-1.6859 # DEPENDENCYPART_ARC
(19,5),-3.05729 # DEPENDENCYPART_ARC
(19,6),-1.7786 # DEPENDENCYPART_ARC
(19,7),-2.20153 # DEPENDENCYPART_ARC
(19,8),-2.03984 # DEPENDENCYPART_ARC
(19,9),-1.99909 # DEPENDENCYPART_ARC
(19,10),-1.54308 # DEPENDENCYPART_ARC
(19,11),-1.39793 # DEPENDENCYPART_ARC
(19,12),-1.36634 # DEPENDENCYPART_ARC
(19,13),-0.757801 # DEPENDENCYPART_ARC
(19,14),-0.878196 # DEPENDENCYPART_ARC
(19,15),-0.69256 # DEPENDENCYPART_ARC
(19,16),-0.766482 # DEPENDENCYPART_ARC
(19,17),-0.434175 # DEPENDENCYPART_ARC
(19,18),0.567357 # DEPENDENCYPART_ARC
(19,20),0.286755 # DEPENDENCYPART_ARC
(19,21),-0.871567 # DEPENDENCYPART_ARC
(19,22),-0.439669 # DEPENDENCYPART_ARC
(19,23),-1.40636 # DEPENDENCYPART_ARC
(19,24),-1.55492 # DEPENDENCYPART_ARC
(19,25),-1.51524 # DEPENDENCYPART_ARC
(19,26),-1.48284 # DEPENDENCYPART_ARC
(19,27),-0.97525 # DEPENDENCYPART_ARC
(20,18),-1.80359 # DEPENDENCYPART_ARC
(20,21),0.050619 # DEPENDENCYPART_ARC
(20,22),-0.901545 # DEPENDENCYPART_ARC
(20,23),-1.16063 # DEPENDENCYPART_ARC
(20,25),-1.45254 # DEPENDENCYPART_ARC
(20,26),-1.61037 # DEPENDENCYPART_ARC
(21,20),-0.108331 # DEPENDENCYPART_ARC
(21,23),-1.36524 # DEPENDENCYPART_ARC
(22,9),-3.20334 # DEPENDENCYPART_ARC
(22,14),-2.25751 # DEPENDENCYPART_ARC
(22,18),-1.43061 # DEPENDENCYPART_ARC
(22,20),-0.506168 # DEPENDENCYPART_ARC
(22,21),1.17864 # DEPENDENCYPART_ARC
(22,23),0.411636 # DEPENDENCYPART_ARC
(22,24),-1.39327 # DEPENDENCYPART_ARC
(22,25),-1.17147 # DEPENDENCYPART_ARC
(22,26),-1.44394 # DEPENDENCYPART_ARC
(22,27),-1.37829 # DEPENDENCYPART_ARC
(23,20),-1.47486 # DEPENDENCYPART_ARC
(23,21),-1.59338 # DEPENDENCYPART_ARC
(23,22),-0.777646 # DEPENDENCYPART_ARC
(23,24),-0.00449653 # DEPENDENCYPART_ARC
(23,25),-0.27234 # DEPENDENCYPART_ARC
(23,26),-0.527415 # DEPENDENCYPART_ARC
(23,27),-1.21398 # DEPENDENCYPART_ARC
(25,24),-0.692886 # DEPENDENCYPART_ARC
(25,26),-0.794667 # DEPENDENCYPART_ARC
(26,18),-2.31534 # DEPENDENCYPART_ARC
(26,21),-1.71648 # DEPENDENCYPART_ARC
(26,22),-1.47478 # DEPENDENCYPART_ARC
(26,24),0.0451563 # DEPENDENCYPART_ARC
(26,25),1.2403 # DEPENDENCYPART_ARC
(26,27),-0.358254 # DEPENDENCYPART_ARC
(27,26),-0.627258 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.020264 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.020264 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.143258 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.118714 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.117262 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.067177 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0574866 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.125876 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.125055 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.123548 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.10513 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.125876 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.125055 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.123548 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.10513 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.252575 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.252492 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.203365 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.225468 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.182085 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.182076 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0443773 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00262138 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0443773 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0309116 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.0842631 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.000335777 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.086401 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0178832 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.168825 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0243676 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.0201739 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0712435 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.017852 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.168794 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.107837 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0413532 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.00405149 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0117047 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0443187 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.00130134 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0209411 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0115994 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0387864 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.000873474 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0117047 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0012974 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0236694 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.000416571 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.00344251 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0220127 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.109314 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.000516328 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.169076 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.139396 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0906591 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0308476 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0220127 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.000522981 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0437668 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.00827701 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.0781335 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0153226 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0441997 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0347648 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.020539 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0126953 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0453737 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0393972 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0442036 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.01563 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0150016 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.00504284 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.022035 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0424723 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0349613 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0232313 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0226504 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0170633 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0220342 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0324904 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0170925 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.00650415 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0206472 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0180949 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.00901062 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0172782 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.0159299 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0125175 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.00142072 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0386949 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0261886 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0503164 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.024736 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0412649 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0229189 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0362873 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0401495 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0572417 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.0313066 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00762859 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0158294 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0247955 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0108518 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.00748024 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0248647 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.00192801 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0209549 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0387262 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0203373 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0488321 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0291678 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0132564 # DEPENDENCYPART_SIBL
(3,12),(3,13),0.0325318 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0116663 # DEPENDENCYPART_SIBL
(3,12),(3,17),0.00721114 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0374571 # DEPENDENCYPART_SIBL
(3,12),(3,27),0.0233662 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0442036 # DEPENDENCYPART_SIBL
(3,13),(3,17),0.01563 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0150016 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.00504284 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.00142014 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0386943 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.0261914 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.00633235 # DEPENDENCYPART_SIBL
(3,17),(3,27),0.0489775 # DEPENDENCYPART_SIBL
(3,19),(3,27),0.00445636 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0210401 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.02422 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0220164 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00499786 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.00949715 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00601492 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00499786 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.020941 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0115994 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0116456 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.000873541 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0117047 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0466787 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0191876 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.38612 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.169102 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.139422 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.138997 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0308219 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0220385 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0433788 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.1433 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0194723 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0063165 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0101935 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.00311924 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.0460943 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0274512 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.010809 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0184617 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0190405 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0219242 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.117856 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.169102 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.139422 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.138997 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0308219 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0220385 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0503091 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0501878 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0412575 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0229262 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0082547 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0158221 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0248029 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.0153937 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0247134 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0325318 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0387028 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0131088 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0633212 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0388289 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0331624 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0994192 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.033958 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.028032 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.083967 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0347613 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0306756 # DEPENDENCYPART_SIBL
(7,1),(7,27),-0.0467854 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.030138 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.140357 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.14695 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.00984658 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.161258 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.00312867 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.113614 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0113678 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.101191 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.00540987 # DEPENDENCYPART_SIBL
(7,3),(7,27),-0.00993198 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0364607 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.000601089 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0107868 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.144493 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.010687 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.000133891 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.089967 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.00535607 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0106081 # DEPENDENCYPART_SIBL
(7,4),(7,27),0.037156 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0576564 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.176817 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.202646 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.177589 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.121669 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.070505 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.107494 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.135339 # DEPENDENCYPART_SIBL
(7,5),(7,27),-0.170206 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.00976051 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.161344 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0030426 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.112486 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0114567 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.100063 # DEPENDENCYPART_SIBL
(7,6),(7,19),0.0053238 # DEPENDENCYPART_SIBL
(7,6),(7,27),-0.0102474 # DEPENDENCYPART_SIBL
