# _root_ Back when the Burgess fauna were flourishing , it seems , human evolutionary hopes hung on the survival of a little worm with a backbone called Pikaia .
#goldHeads=15,7,5,5,6,1,6,10,10,15,10,14,14,15,0,15,18,16,18,22,22,19,22,25,23,22,26,15,
#predictedHeads=6,7,5,5,6,0,6,10,10,15,10,14,14,15,7,15,18,16,18,22,22,19,22,25,23,25,26,6,
(4,3),(4,8),0.0220239 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.13784 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0220239 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.00564601 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.138402 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0117834 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0162118 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0159306 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0149215 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0159306 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0135398 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0162118 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0106211 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.030402 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0146101 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.030402 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0178056 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0106211 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0249336 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0118952 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0249336 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0108751 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.00790625 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0169914 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.0393972 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.0422044 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.0223713 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.016879 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0144412 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0154621 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0422044 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0223713 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0119316 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0132076 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00922491 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00415662 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0175537 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0228208 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0369778 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0202588 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0369778 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0172784 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0228208 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.126175 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0675449 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0465172 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0448107 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0189593 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0447663 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0189593 # DEPENDENCYPART_SIBL
(5,2),(5,14),0.0628654 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0448107 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.05282 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0631038 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.13842 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0220385 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.137858 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0220385 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.00561272 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.13842 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0653266 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0275989 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0197192 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0254495 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0197192 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.00648715 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0280558 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0106211 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.030402 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0146101 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.030402 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0178056 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0106211 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0249336 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0118952 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0249336 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0108751 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00790625 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0169914 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.0393972 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0422044 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.0223713 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.016879 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.0144412 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0154621 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0422044 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0223713 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0119316 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0387553 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0152208 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0160655 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0150507 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0363819 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0783627 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0378937 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0394331 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0783627 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0512806 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0202057 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0359624 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.060756 # DEPENDENCYPART_SIBL
(6,1),(6,28),0.00744511 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0600186 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0141707 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0141695 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.207383 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0932333 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0161164 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.21234 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0932333 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.044921 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0815243 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.206964 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.066476 # DEPENDENCYPART_SIBL
(6,2),(6,28),-0.29001 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0515084 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0539492 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0954753 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0164147 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0774496 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.100736 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0164147 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0951034 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0667391 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0950558 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.00816781 # DEPENDENCYPART_SIBL
(6,3),(6,28),-0.118629 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.124421 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00833832 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.00135095 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0185899 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00966568 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00135095 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0186568 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0014977 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.00784387 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.0204066 # DEPENDENCYPART_SIBL
(6,4),(6,28),-0.00217661 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.00885493 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00863398 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.018588 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0101823 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00863398 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0186587 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00326265 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.00836048 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0266079 # DEPENDENCYPART_SIBL
(6,5),(6,28),-0.00113271 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0457195 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0612652 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0683956 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0457195 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0550952 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0335929 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0655703 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0541618 # DEPENDENCYPART_SIBL
(6,7),(6,28),-0.0018281 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0245307 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0218281 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0016087 # DEPENDENCYPART_SIBL
