# _root_ The Soviet Union has purchased roughly eight million tons of grain this month , and is expected to take delivery by year end , analysts said .
#goldHeads=3,3,15,15,4,9,6,6,5,9,10,13,5,15,26,15,16,19,17,19,19,23,21,26,26,0,26,
#predictedHeads=3,3,4,15,4,9,6,6,5,9,10,13,5,15,26,15,16,19,17,19,19,23,21,26,26,0,26,
(7,6),-0.29404 # DEPENDENCYPART_ARC
(7,8),-0.7896 # DEPENDENCYPART_ARC
(7,10),-1.29638 # DEPENDENCYPART_ARC
(7,11),-1.53733 # DEPENDENCYPART_ARC
(7,13),-1.64748 # DEPENDENCYPART_ARC
(8,7),0.21582 # DEPENDENCYPART_ARC
(8,10),-1.20145 # DEPENDENCYPART_ARC
(8,11),-1.31448 # DEPENDENCYPART_ARC
(8,13),-1.45734 # DEPENDENCYPART_ARC
(9,1),-1.83531 # DEPENDENCYPART_ARC
(9,2),-1.66958 # DEPENDENCYPART_ARC
(9,3),-2.09709 # DEPENDENCYPART_ARC
(9,5),-1.24845 # DEPENDENCYPART_ARC
(9,6),-0.632697 # DEPENDENCYPART_ARC
(9,7),-0.652237 # DEPENDENCYPART_ARC
(9,8),0.652603 # DEPENDENCYPART_ARC
(9,10),0.724695 # DEPENDENCYPART_ARC
(9,11),-0.615016 # DEPENDENCYPART_ARC
(9,12),-1.0336 # DEPENDENCYPART_ARC
(9,13),-0.999293 # DEPENDENCYPART_ARC
(9,14),-1.13193 # DEPENDENCYPART_ARC
(9,15),-0.800876 # DEPENDENCYPART_ARC
(9,16),-1.38164 # DEPENDENCYPART_ARC
(9,17),-1.88997 # DEPENDENCYPART_ARC
(9,18),-1.46288 # DEPENDENCYPART_ARC
(9,19),-1.84874 # DEPENDENCYPART_ARC
(9,20),-1.14016 # DEPENDENCYPART_ARC
(9,21),-1.17266 # DEPENDENCYPART_ARC
(9,24),-1.44158 # DEPENDENCYPART_ARC
(9,27),-1.7288 # DEPENDENCYPART_ARC
(10,8),-1.33003 # DEPENDENCYPART_ARC
(10,11),0.677882 # DEPENDENCYPART_ARC
(10,12),-0.90399 # DEPENDENCYPART_ARC
(10,13),-1.08746 # DEPENDENCYPART_ARC
(10,15),-1.96639 # DEPENDENCYPART_ARC
(11,6),-1.56545 # DEPENDENCYPART_ARC
(11,7),-1.82858 # DEPENDENCYPART_ARC
(11,8),-1.5765 # DEPENDENCYPART_ARC
(11,9),-1.04591 # DEPENDENCYPART_ARC
(11,10),-0.230571 # DEPENDENCYPART_ARC
(11,12),-0.455464 # DEPENDENCYPART_ARC
(11,13),-0.888493 # DEPENDENCYPART_ARC
(11,14),-1.19928 # DEPENDENCYPART_ARC
(11,15),-1.27487 # DEPENDENCYPART_ARC
(11,16),-1.53095 # DEPENDENCYPART_ARC
(11,27),-1.95111 # DEPENDENCYPART_ARC
(13,1),-2.7953 # DEPENDENCYPART_ARC
(13,7),-1.8885 # DEPENDENCYPART_ARC
(13,8),-1.4924 # DEPENDENCYPART_ARC
(13,9),-1.62044 # DEPENDENCYPART_ARC
(13,10),-1.12981 # DEPENDENCYPART_ARC
(13,11),-0.501011 # DEPENDENCYPART_ARC
(13,12),0.888843 # DEPENDENCYPART_ARC
(13,14),-0.32462 # DEPENDENCYPART_ARC
(13,15),-1.68419 # DEPENDENCYPART_ARC
(13,16),-1.72017 # DEPENDENCYPART_ARC
(13,17),-2.17291 # DEPENDENCYPART_ARC
(13,24),-1.74679 # DEPENDENCYPART_ARC
(15,1),-2.50038 # DEPENDENCYPART_ARC
(15,2),-1.3744 # DEPENDENCYPART_ARC
(15,3),-0.873326 # DEPENDENCYPART_ARC
(15,4),-0.10403 # DEPENDENCYPART_ARC
(15,5),0.478488 # DEPENDENCYPART_ARC
(15,6),-0.873512 # DEPENDENCYPART_ARC
(15,7),-0.786605 # DEPENDENCYPART_ARC
(15,8),-0.525978 # DEPENDENCYPART_ARC
(15,9),-0.836561 # DEPENDENCYPART_ARC
(15,10),-0.938972 # DEPENDENCYPART_ARC
(15,11),-0.602323 # DEPENDENCYPART_ARC
(15,12),-0.734284 # DEPENDENCYPART_ARC
(15,13),-0.421864 # DEPENDENCYPART_ARC
(15,14),1.73351 # DEPENDENCYPART_ARC
(15,16),1.18107 # DEPENDENCYPART_ARC
(15,17),-0.502698 # DEPENDENCYPART_ARC
(15,18),-1.34763 # DEPENDENCYPART_ARC
(15,19),-1.33905 # DEPENDENCYPART_ARC
(15,20),-1.44299 # DEPENDENCYPART_ARC
(15,21),-1.49748 # DEPENDENCYPART_ARC
(15,23),-2.25399 # DEPENDENCYPART_ARC
(15,24),-1.4691 # DEPENDENCYPART_ARC
(15,26),-2.85365 # DEPENDENCYPART_ARC
(15,27),-1.18726 # DEPENDENCYPART_ARC
(16,3),-2.92645 # DEPENDENCYPART_ARC
(16,4),-2.34726 # DEPENDENCYPART_ARC
(16,5),-2.264 # DEPENDENCYPART_ARC
(16,6),-2.36191 # DEPENDENCYPART_ARC
(16,9),-2.39281 # DEPENDENCYPART_ARC
(16,12),-2.22304 # DEPENDENCYPART_ARC
(16,14),-1.40203 # DEPENDENCYPART_ARC
(16,15),-0.508417 # DEPENDENCYPART_ARC
(16,17),1.01269 # DEPENDENCYPART_ARC
(16,18),-0.956333 # DEPENDENCYPART_ARC
(16,19),-0.972955 # DEPENDENCYPART_ARC
(16,20),-1.25386 # DEPENDENCYPART_ARC
(16,21),-1.19947 # DEPENDENCYPART_ARC
(16,23),-1.8685 # DEPENDENCYPART_ARC
(16,26),-2.56432 # DEPENDENCYPART_ARC
(16,27),-1.57805 # DEPENDENCYPART_ARC
(17,9),-2.57155 # DEPENDENCYPART_ARC
(17,14),-1.815 # DEPENDENCYPART_ARC
(17,15),-1.24235 # DEPENDENCYPART_ARC
(17,16),-0.79239 # DEPENDENCYPART_ARC
(17,18),-0.0652513 # DEPENDENCYPART_ARC
(17,19),-0.315444 # DEPENDENCYPART_ARC
(17,20),-1.28217 # DEPENDENCYPART_ARC
(17,21),-1.27818 # DEPENDENCYPART_ARC
(17,23),-1.83367 # DEPENDENCYPART_ARC
(17,24),-1.64572 # DEPENDENCYPART_ARC
(17,26),-2.35454 # DEPENDENCYPART_ARC
(17,27),-1.88455 # DEPENDENCYPART_ARC
(18,19),-0.389726 # DEPENDENCYPART_ARC
(18,20),-1.30864 # DEPENDENCYPART_ARC
(18,23),-2.20669 # DEPENDENCYPART_ARC
(19,9),-2.21962 # DEPENDENCYPART_ARC
(19,15),-1.13381 # DEPENDENCYPART_ARC
(19,16),-1.42008 # DEPENDENCYPART_ARC
(19,18),1.24313 # DEPENDENCYPART_ARC
(19,20),1.10472 # DEPENDENCYPART_ARC
(19,21),-0.409697 # DEPENDENCYPART_ARC
(19,22),-0.790768 # DEPENDENCYPART_ARC
(19,23),-0.640406 # DEPENDENCYPART_ARC
(19,24),-1.24949 # DEPENDENCYPART_ARC
(19,25),-2.00744 # DEPENDENCYPART_ARC
(19,26),-2.03065 # DEPENDENCYPART_ARC
(19,27),-1.71723 # DEPENDENCYPART_ARC
(20,12),-2.95272 # DEPENDENCYPART_ARC
(20,17),-1.39607 # DEPENDENCYPART_ARC
(20,18),-1.34265 # DEPENDENCYPART_ARC
(20,19),0.230556 # DEPENDENCYPART_ARC
(20,21),0.491239 # DEPENDENCYPART_ARC
(20,22),-0.982647 # DEPENDENCYPART_ARC
(20,23),-1.50371 # DEPENDENCYPART_ARC
(20,24),-1.59646 # DEPENDENCYPART_ARC
(20,25),-1.98213 # DEPENDENCYPART_ARC
(20,26),-1.65023 # DEPENDENCYPART_ARC
(21,18),-1.62412 # DEPENDENCYPART_ARC
(21,20),-0.58351 # DEPENDENCYPART_ARC
(21,22),0.229391 # DEPENDENCYPART_ARC
(21,23),-0.157337 # DEPENDENCYPART_ARC
(21,25),-1.9936 # DEPENDENCYPART_ARC
(21,26),-2.03527 # DEPENDENCYPART_ARC
(22,23),-0.637057 # DEPENDENCYPART_ARC
(22,25),-1.94221 # DEPENDENCYPART_ARC
(23,17),-1.35212 # DEPENDENCYPART_ARC
(23,19),-0.914283 # DEPENDENCYPART_ARC
(23,20),-0.634256 # DEPENDENCYPART_ARC
(23,21),-0.830811 # DEPENDENCYPART_ARC
(23,22),1.89921 # DEPENDENCYPART_ARC
(23,24),0.342579 # DEPENDENCYPART_ARC
(23,25),-1.34987 # DEPENDENCYPART_ARC
(23,26),-1.83616 # DEPENDENCYPART_ARC
(25,17),-1.71752 # DEPENDENCYPART_ARC
(25,20),-1.65519 # DEPENDENCYPART_ARC
(25,21),-1.52366 # DEPENDENCYPART_ARC
(25,22),-0.87169 # DEPENDENCYPART_ARC
(25,23),-0.709591 # DEPENDENCYPART_ARC
(25,24),0.240063 # DEPENDENCYPART_ARC
(25,26),-0.113933 # DEPENDENCYPART_ARC
(26,2),-2.01879 # DEPENDENCYPART_ARC
(26,3),-2.04623 # DEPENDENCYPART_ARC
(26,4),-1.67559 # DEPENDENCYPART_ARC
(26,5),-1.56196 # DEPENDENCYPART_ARC
(26,6),-1.41527 # DEPENDENCYPART_ARC
(26,9),-1.27337 # DEPENDENCYPART_ARC
(26,11),-1.24905 # DEPENDENCYPART_ARC
(26,12),-1.4074 # DEPENDENCYPART_ARC
(26,13),-1.35896 # DEPENDENCYPART_ARC
(26,14),-2.2469 # DEPENDENCYPART_ARC
(26,15),-0.968273 # DEPENDENCYPART_ARC
(26,16),-0.620436 # DEPENDENCYPART_ARC
(26,17),-1.13208 # DEPENDENCYPART_ARC
(26,18),-2.05109 # DEPENDENCYPART_ARC
(26,19),-1.09004 # DEPENDENCYPART_ARC
(26,20),-1.49135 # DEPENDENCYPART_ARC
(26,21),-0.809602 # DEPENDENCYPART_ARC
(26,22),-1.44554 # DEPENDENCYPART_ARC
(26,23),-1.42303 # DEPENDENCYPART_ARC
(26,24),0.15467 # DEPENDENCYPART_ARC
(26,25),1.30408 # DEPENDENCYPART_ARC
(26,27),1.03067 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.173823 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.138587 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.173508 # DEPENDENCYPART_SIBL
(0,4),(0,26),-0.200656 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.131702 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.164391 # DEPENDENCYPART_SIBL
(0,5),(0,26),-0.190452 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.13746 # DEPENDENCYPART_SIBL
(0,15),(0,26),-0.146453 # DEPENDENCYPART_SIBL
(0,16),(0,26),-0.204198 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0190058 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.00049154 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.259354 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.127652 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00878739 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.145059 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.128062 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0163249 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0124768 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00458053 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0136804 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0175347 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0205032 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0141093 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.02462 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0292831 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0119156 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0229056 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0275681 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0365321 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0425987 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00888196 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.185886 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.212246 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0813527 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0410412 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.172254 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.245104 # DEPENDENCYPART_SIBL
(3,2),(3,4),2.31679e-05 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0700174 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0297749 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.101105 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00970217 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0208923 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0157553 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0246956 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0303621 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0135613 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0229809 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0138163 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0381006 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00804192 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0259003 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0359057 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0457435 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0484201 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.109409 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0283563 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.016086 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0091122 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.289016 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0233785 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.00436432 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0312325 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.0272383 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0114545 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.047638 # DEPENDENCYPART_SIBL
(4,1),(4,27),-0.067437 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.139749 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0282974 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0595081 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0150825 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0332984 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.00957487 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.054437 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0307779 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.00629343 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0659566 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0176346 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.000597714 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.0155689 # DEPENDENCYPART_SIBL
(4,2),(4,27),0.00509904 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0126502 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.042657 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.00394787 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0142681 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0189667 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.004837 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.00223629 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.034835 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0323189 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0402864 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0162449 # DEPENDENCYPART_SIBL
(4,3),(4,19),7.83166e-05 # DEPENDENCYPART_SIBL
(4,3),(4,27),0.0328202 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0538072 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0508305 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0593663 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0519978 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0558789 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0513112 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0219566 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0194819 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0846904 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0456551 # DEPENDENCYPART_SIBL
(4,5),(4,19),-0.0372861 # DEPENDENCYPART_SIBL
(4,5),(4,27),0.00956884 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0609886 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0722272 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0697126 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.05367 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0676661 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0687758 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.00963827 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0602452 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0112432 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0183656 # DEPENDENCYPART_SIBL
(4,6),(4,27),-0.0448175 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00710021 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0578422 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0256413 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0571339 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0441237 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.00423818 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0333283 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0300984 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0178748 # DEPENDENCYPART_SIBL
(4,7),(4,27),0.00758086 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0622288 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00292506 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0615205 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0487433 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0184286 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0508992 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0327038 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0203562 # DEPENDENCYPART_SIBL
(4,8),(4,27),-0.00371863 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0221089 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0618746 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0494803 # DEPENDENCYPART_SIBL
(4,9),(4,14),0.0348337 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0622046 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0439351 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.0297745 # DEPENDENCYPART_SIBL
(4,9),(4,27),-0.00899435 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0478395 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0249342 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.0367405 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0560741 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0731251 # DEPENDENCYPART_SIBL
(4,10),(4,19),-0.0483246 # DEPENDENCYPART_SIBL
(4,10),(4,27),-0.0243988 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0388352 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.00329326 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0665081 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0496163 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.0354557 # DEPENDENCYPART_SIBL
(4,11),(4,27),-0.0244375 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.0229453 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.043975 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0285238 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.0143631 # DEPENDENCYPART_SIBL
(4,13),(4,27),0.006485 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0376019 # DEPENDENCYPART_SIBL
(4,14),(4,17),-0.00413679 # DEPENDENCYPART_SIBL
(4,14),(4,19),0.0124568 # DEPENDENCYPART_SIBL
(4,14),(4,27),-0.0324466 # DEPENDENCYPART_SIBL
(4,15),(4,17),-0.00954083 # DEPENDENCYPART_SIBL
(4,15),(4,19),-0.00237037 # DEPENDENCYPART_SIBL
(4,15),(4,27),0.0303121 # DEPENDENCYPART_SIBL
(4,17),(4,19),-0.033138 # DEPENDENCYPART_SIBL
(4,17),(4,27),0.00956812 # DEPENDENCYPART_SIBL
(4,19),(4,27),0.00340897 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0238066 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0345707 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0519987 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.114995 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0598962 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0456828 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0451516 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.259629 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0585449 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0395308 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.0232663 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0375374 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.052438 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0361796 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0893617 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0197354 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0232663 # DEPENDENCYPART_SIBL
(5,1),(5,26),-0.084991 # DEPENDENCYPART_SIBL
(5,1),(5,27),-0.101845 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0960809 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.000134195 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0183628 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00303163 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0193044 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00283299 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0129455 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0228721 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0141992 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.00539774 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.00876937 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.00943066 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.00231314 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.00815748 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.115876 # DEPENDENCYPART_SIBL
