# _root_ Sales growth of 10 % a year seems possible , he said , and Akzo expects its Twaron business to become profitable in 1990 .
#goldHeads=2,8,2,5,3,7,5,14,8,12,12,14,12,0,16,14,19,19,21,21,16,21,21,23,14,
#predictedHeads=2,14,2,5,3,7,8,14,8,12,12,14,12,0,16,14,19,19,16,21,16,21,21,23,14,
(1,2),(1,13),-0.0167611 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0635189 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0578007 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0577024 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.00584271 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0201292 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0201292 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0068081 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0104165 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.00667196 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.023299 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.023299 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0205407 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.00449694 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0110028 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0110028 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.00741455 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.01703 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.01703 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.000311598 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.000311598 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0132215 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0714336 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0862214 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0445847 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.104211 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0193407 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0656492 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0348479 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00650577 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0650246 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00650577 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00937386 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0118488 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0525047 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.043376 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0512078 # DEPENDENCYPART_SIBL
(2,1),(2,25),0.00148917 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0247165 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0185259 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0402794 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0161191 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0026591 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0425056 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0896792 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00763985 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0896792 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.00889508 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0327676 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.00368207 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0438639 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.111193 # DEPENDENCYPART_SIBL
(2,3),(2,25),0.0271316 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00693476 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.012627 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00112347 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0040404 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00764478 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0594247 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00777428 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0594247 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00866168 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0157688 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.00461202 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.010309 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.0336888 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0399882 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.00571466 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00401074 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0134749 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00458595 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0482115 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0152092 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0482115 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0444018 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.000935546 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0108382 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.00115718 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0275267 # DEPENDENCYPART_SIBL
(2,5),(2,25),0.0263045 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0134821 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0283355 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0109366 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.013719 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0164986 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.013719 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0200794 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0118234 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0291683 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0136005 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0342293 # DEPENDENCYPART_SIBL
(2,6),(2,25),-0.00191376 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00146566 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00484385 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0325959 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.00302744 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0325959 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0394456 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.0225192 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.00250246 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.00141509 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.00109967 # DEPENDENCYPART_SIBL
(2,7),(2,25),0.0131897 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00421094 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0270462 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0116862 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0270462 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0278691 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0250423 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.012247 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.00683686 # DEPENDENCYPART_SIBL
(2,8),(2,23),0.0208483 # DEPENDENCYPART_SIBL
(2,8),(2,25),0.0038343 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0364291 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0266866 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0364291 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0313014 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0183777 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0104029 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0172197 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.00784975 # DEPENDENCYPART_SIBL
(2,9),(2,25),0.0103794 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00869079 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0299193 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.00483157 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.0172769 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.00382256 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0165358 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.00159547 # DEPENDENCYPART_SIBL
(2,10),(2,25),-0.0151222 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0312582 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0394242 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.0435803 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0209443 # DEPENDENCYPART_SIBL
(2,12),(2,22),-0.0168909 # DEPENDENCYPART_SIBL
(2,12),(2,23),0.00795486 # DEPENDENCYPART_SIBL
(2,12),(2,25),0.00699144 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.00483157 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0172769 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.00382256 # DEPENDENCYPART_SIBL
(2,13),(2,22),0.0165358 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.00159547 # DEPENDENCYPART_SIBL
(2,13),(2,25),-0.0151222 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0390134 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0151522 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.00597656 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.0142937 # DEPENDENCYPART_SIBL
(2,14),(2,25),0.000955881 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0130284 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.00095347 # DEPENDENCYPART_SIBL
(2,15),(2,23),-0.0196974 # DEPENDENCYPART_SIBL
(2,15),(2,25),0.0170001 # DEPENDENCYPART_SIBL
(2,16),(2,22),-0.00586508 # DEPENDENCYPART_SIBL
(2,16),(2,23),0.0213297 # DEPENDENCYPART_SIBL
(2,16),(2,25),0.00323506 # DEPENDENCYPART_SIBL
(2,22),(2,23),0.0199403 # DEPENDENCYPART_SIBL
(2,22),(2,25),-0.00357092 # DEPENDENCYPART_SIBL
(2,23),(2,25),0.0712504 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0302241 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0545845 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.105942 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0966043 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0484375 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0308817 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0477583 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.00414921 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0585349 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0916603 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0885871 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0346149 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0333805 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0332625 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0164626 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00341656 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.043806 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0428212 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0564266 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0394385 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.10859 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.040137 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0181921 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0187748 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0251686 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.137887 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0276634 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.036532 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0343564 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.149607 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.00805441 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0311488 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0705131 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0207708 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.063631 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0720303 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.030903 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0199881 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.000692764 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0105585 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00796003 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0121368 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.00528026 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0103992 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.010916 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0190287 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.00933345 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.00251947 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0258302 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.113535 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0566526 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.079649 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0639319 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00975686 # DEPENDENCYPART_SIBL
