# _root_ By 10 a.m. Tokyo time , the index was up 435.11 points , to 34903.80 as investors hailed New York 's overnight rally .
#goldHeads=9,1,2,5,2,9,8,9,0,9,12,10,10,10,14,9,18,16,20,23,20,23,18,9,
#predictedHeads=9,5,5,5,1,9,8,9,0,9,12,10,9,10,14,9,18,16,20,23,20,23,18,9,
(8,6),-0.844091 # DEPENDENCYPART_ARC
(8,7),1.74325 # DEPENDENCYPART_ARC
(8,9),-1.16736 # DEPENDENCYPART_ARC
(8,10),-1.63011 # DEPENDENCYPART_ARC
(8,11),-1.95748 # DEPENDENCYPART_ARC
(8,12),-1.92387 # DEPENDENCYPART_ARC
(8,13),-1.87288 # DEPENDENCYPART_ARC
(8,14),-1.94 # DEPENDENCYPART_ARC
(8,16),-1.94467 # DEPENDENCYPART_ARC
(8,18),-2.36943 # DEPENDENCYPART_ARC
(9,1),-0.601473 # DEPENDENCYPART_ARC
(9,2),-2.26393 # DEPENDENCYPART_ARC
(9,3),-1.41584 # DEPENDENCYPART_ARC
(9,4),-1.4148 # DEPENDENCYPART_ARC
(9,5),-0.804873 # DEPENDENCYPART_ARC
(9,6),0.192505 # DEPENDENCYPART_ARC
(9,7),-1.11554 # DEPENDENCYPART_ARC
(9,8),0.99403 # DEPENDENCYPART_ARC
(9,10),0.971706 # DEPENDENCYPART_ARC
(9,11),-0.804177 # DEPENDENCYPART_ARC
(9,12),-0.361677 # DEPENDENCYPART_ARC
(9,13),-0.505958 # DEPENDENCYPART_ARC
(9,14),-0.0365701 # DEPENDENCYPART_ARC
(9,15),-2.33802 # DEPENDENCYPART_ARC
(9,16),-0.562692 # DEPENDENCYPART_ARC
(9,17),-1.98725 # DEPENDENCYPART_ARC
(9,18),-0.978403 # DEPENDENCYPART_ARC
(9,20),-2.15032 # DEPENDENCYPART_ARC
(9,22),-1.75728 # DEPENDENCYPART_ARC
(9,23),-2.09501 # DEPENDENCYPART_ARC
(9,24),0.830533 # DEPENDENCYPART_ARC
(10,8),-2.01897 # DEPENDENCYPART_ARC
(10,11),0.136289 # DEPENDENCYPART_ARC
(10,12),-0.459847 # DEPENDENCYPART_ARC
(10,13),-1.34621 # DEPENDENCYPART_ARC
(10,14),-0.736736 # DEPENDENCYPART_ARC
(10,15),-1.91259 # DEPENDENCYPART_ARC
(10,16),-1.42128 # DEPENDENCYPART_ARC
(10,17),-2.10642 # DEPENDENCYPART_ARC
(10,18),-1.79243 # DEPENDENCYPART_ARC
(10,23),-2.29966 # DEPENDENCYPART_ARC
(10,24),-2.3887 # DEPENDENCYPART_ARC
(11,1),-2.67927 # DEPENDENCYPART_ARC
(11,2),-3.05138 # DEPENDENCYPART_ARC
(11,3),-3.16083 # DEPENDENCYPART_ARC
(11,8),-2.57703 # DEPENDENCYPART_ARC
(11,9),-1.94135 # DEPENDENCYPART_ARC
(11,10),-1.16279 # DEPENDENCYPART_ARC
(11,12),-1.69419 # DEPENDENCYPART_ARC
(12,1),-2.19814 # DEPENDENCYPART_ARC
(12,2),-2.26943 # DEPENDENCYPART_ARC
(12,3),-2.22097 # DEPENDENCYPART_ARC
(12,4),-2.16045 # DEPENDENCYPART_ARC
(12,5),-2.24616 # DEPENDENCYPART_ARC
(12,6),-2.70877 # DEPENDENCYPART_ARC
(12,7),-0.780503 # DEPENDENCYPART_ARC
(12,8),-1.14596 # DEPENDENCYPART_ARC
(12,9),-1.55593 # DEPENDENCYPART_ARC
(12,10),0.28897 # DEPENDENCYPART_ARC
(12,11),1.15953 # DEPENDENCYPART_ARC
(12,13),-0.645191 # DEPENDENCYPART_ARC
(12,14),-1.16667 # DEPENDENCYPART_ARC
(12,15),-1.88744 # DEPENDENCYPART_ARC
(12,16),-1.66721 # DEPENDENCYPART_ARC
(12,17),-1.81068 # DEPENDENCYPART_ARC
(12,18),-1.5082 # DEPENDENCYPART_ARC
(12,20),-2.58024 # DEPENDENCYPART_ARC
(12,21),-2.25475 # DEPENDENCYPART_ARC
(12,23),-2.74345 # DEPENDENCYPART_ARC
(12,24),-2.39526 # DEPENDENCYPART_ARC
(13,14),-1.78724 # DEPENDENCYPART_ARC
(14,10),-2.29348 # DEPENDENCYPART_ARC
(14,12),-2.27739 # DEPENDENCYPART_ARC
(14,13),-1.42079 # DEPENDENCYPART_ARC
(14,15),0.506286 # DEPENDENCYPART_ARC
(14,16),-0.649089 # DEPENDENCYPART_ARC
(14,17),0.0808429 # DEPENDENCYPART_ARC
(14,18),-1.05495 # DEPENDENCYPART_ARC
(14,20),-1.80236 # DEPENDENCYPART_ARC
(14,23),-1.10211 # DEPENDENCYPART_ARC
(14,24),-2.05366 # DEPENDENCYPART_ARC
(15,10),-2.05244 # DEPENDENCYPART_ARC
(15,11),-1.96032 # DEPENDENCYPART_ARC
(15,12),-1.7624 # DEPENDENCYPART_ARC
(15,13),-1.70024 # DEPENDENCYPART_ARC
(15,14),-0.694826 # DEPENDENCYPART_ARC
(15,16),-0.818664 # DEPENDENCYPART_ARC
(15,17),-1.59443 # DEPENDENCYPART_ARC
(15,18),-1.28453 # DEPENDENCYPART_ARC
(15,20),-2.33882 # DEPENDENCYPART_ARC
(15,23),-2.38186 # DEPENDENCYPART_ARC
(16,12),-1.97391 # DEPENDENCYPART_ARC
(16,14),-1.81726 # DEPENDENCYPART_ARC
(16,15),-1.56193 # DEPENDENCYPART_ARC
(16,17),0.540829 # DEPENDENCYPART_ARC
(16,18),1.26783 # DEPENDENCYPART_ARC
(16,20),-2.38591 # DEPENDENCYPART_ARC
(16,23),-2.04279 # DEPENDENCYPART_ARC
(17,15),-1.14861 # DEPENDENCYPART_ARC
(17,16),-1.40026 # DEPENDENCYPART_ARC
(17,18),-0.663737 # DEPENDENCYPART_ARC
(17,20),-2.06584 # DEPENDENCYPART_ARC
(17,21),-1.62604 # DEPENDENCYPART_ARC
(17,23),-2.61695 # DEPENDENCYPART_ARC
(18,1),-1.12847 # DEPENDENCYPART_ARC
(18,2),-2.53807 # DEPENDENCYPART_ARC
(18,3),-1.84264 # DEPENDENCYPART_ARC
(18,4),-2.09956 # DEPENDENCYPART_ARC
(18,5),-1.7165 # DEPENDENCYPART_ARC
(18,6),-1.16997 # DEPENDENCYPART_ARC
(18,8),-1.44147 # DEPENDENCYPART_ARC
(18,9),-1.4012 # DEPENDENCYPART_ARC
(18,10),-1.61535 # DEPENDENCYPART_ARC
(18,11),-1.90347 # DEPENDENCYPART_ARC
(18,12),-1.19617 # DEPENDENCYPART_ARC
(18,13),-0.539251 # DEPENDENCYPART_ARC
(18,14),-1.43729 # DEPENDENCYPART_ARC
(18,15),-1.07241 # DEPENDENCYPART_ARC
(18,16),-1.09498 # DEPENDENCYPART_ARC
(18,17),1.02275 # DEPENDENCYPART_ARC
(18,19),-0.204786 # DEPENDENCYPART_ARC
(18,20),-0.403307 # DEPENDENCYPART_ARC
(18,21),-1.5343 # DEPENDENCYPART_ARC
(18,22),-1.37695 # DEPENDENCYPART_ARC
(18,23),-0.502405 # DEPENDENCYPART_ARC
(18,24),-0.270465 # DEPENDENCYPART_ARC
(19,17),-2.29258 # DEPENDENCYPART_ARC
(19,20),-2.19003 # DEPENDENCYPART_ARC
(19,21),-1.80264 # DEPENDENCYPART_ARC
(20,15),-1.95314 # DEPENDENCYPART_ARC
(20,17),-1.01437 # DEPENDENCYPART_ARC
(20,19),2.6958 # DEPENDENCYPART_ARC
(20,21),2.20932 # DEPENDENCYPART_ARC
(20,22),-1.19288 # DEPENDENCYPART_ARC
(20,23),-1.60653 # DEPENDENCYPART_ARC
(22,20),-1.38406 # DEPENDENCYPART_ARC
(22,21),-1.51693 # DEPENDENCYPART_ARC
(23,14),-3.15098 # DEPENDENCYPART_ARC
(23,15),-2.37841 # DEPENDENCYPART_ARC
(23,17),-1.61269 # DEPENDENCYPART_ARC
(23,19),-0.395033 # DEPENDENCYPART_ARC
(23,20),0.262165 # DEPENDENCYPART_ARC
(23,21),-0.533392 # DEPENDENCYPART_ARC
(23,22),1.45459 # DEPENDENCYPART_ARC
(23,24),-1.63413 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0191114 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.103599 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0653011 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.786398 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.745056 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0368108 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.125666 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.732977 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.677605 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.051815 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.736895 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.709252 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.756371 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.753001 # DEPENDENCYPART_SIBL
(0,9),(0,18),-1.78401 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.132838 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.445581 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.660114 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0423433 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.613197 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.59375 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.115388 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.709117 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0423433 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.11149 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.147625 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.230575 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.350062 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0104131 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.347851 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.396315 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0797002 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.350584 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0104131 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.137477 # DEPENDENCYPART_SIBL
(1,3),(1,24),-0.041842 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.813075 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0879017 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.792362 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.690131 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.192408 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.712272 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0879017 # DEPENDENCYPART_SIBL
(1,4),(1,16),-0.0528367 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.172003 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0868251 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.889681 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.695407 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.190714 # DEPENDENCYPART_SIBL
(1,5),(1,12),-0.937616 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0868251 # DEPENDENCYPART_SIBL
(1,5),(1,16),0.0243431 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.124396 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0735618 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.164761 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.544231 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.106868 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0836168 # DEPENDENCYPART_SIBL
(1,6),(1,16),0.607905 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.038788 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.70054 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.189317 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.943943 # DEPENDENCYPART_SIBL
(1,8),(1,13),0.026595 # DEPENDENCYPART_SIBL
(1,8),(1,16),-0.00903504 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.16735 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.029224 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.390608 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.123179 # DEPENDENCYPART_SIBL
(1,9),(1,16),0.176511 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.275561 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.322407 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.00886132 # DEPENDENCYPART_SIBL
(1,10),(1,16),0.181399 # DEPENDENCYPART_SIBL
(1,10),(1,24),-0.057588 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0376648 # DEPENDENCYPART_SIBL
(1,12),(1,16),0.077741 # DEPENDENCYPART_SIBL
(1,12),(1,24),-0.0970926 # DEPENDENCYPART_SIBL
(1,13),(1,16),0.607905 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.038788 # DEPENDENCYPART_SIBL
(1,16),(1,24),0.0482748 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0263353 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0456124 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0751875 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0708037 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.054118 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0434668 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0823157 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0708037 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0439886 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.148007 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0502535 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.110129 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0184419 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0234402 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0502535 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00717215 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0527901 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0236774 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0830547 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.00935666 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0527901 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0864508 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0536617 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0273331 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.030552 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0864508 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.546574 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.512712 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.572646 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.235587 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0272929 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0351568 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0502087 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0376432 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.221347 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0189345 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0309282 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0445685 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0654838 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0287573 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0494919 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0332963 # DEPENDENCYPART_SIBL
(3,1),(3,24),0.031385 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00962273 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.111547 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.109381 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.112981 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00531756 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0496384 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.102772 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0223008 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.100321 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.11552 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0180685 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0503364 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.171732 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.104911 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0450917 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.213527 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.388567 # DEPENDENCYPART_SIBL
(3,6),(3,24),0.246162 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.100375 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.0800158 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.188465 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0722427 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00850658 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00986492 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.105114 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0652756 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.015276 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.290845 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.117909 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0349016 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0812349 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0438448 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.00696398 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0574987 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0449543 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0866799 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.243946 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.296049 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0511989 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.579701 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.468774 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0486788 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0286769 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0611878 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0914216 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0748331 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0120272 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.063595 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.00877503 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.0263507 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0287186 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0748331 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.197229 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0263507 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.00914982 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0966083 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.00775077 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0951753 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.217257 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.191884 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0280545 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0727119 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.129003 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.022372 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0274084 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.00197541 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0280545 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0808539 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0274084 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.049771 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.141496 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.063954 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0100521 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.01213 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0355507 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.000106263 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.131158 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0377388 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0211284 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.000601096 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0355507 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.258748 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0211284 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0548062 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.106335 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.00106162 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.0637474 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0491195 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00799434 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.125078 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.025377 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0104031 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0433367 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0491195 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.286785 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0104031 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.099377 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0982277 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0327604 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0660659 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.613653 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.383377 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.38501 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.349846 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.594164 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0641064 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.142481 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.349846 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.382404 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.382679 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.642753 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.0329123 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0333452 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0618309 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.00390444 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0930898 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0270416 # DEPENDENCYPART_SIBL
