# _root_ `` There was a roll of laughter through the stands , '' says Joe Sukle , the editor of the weekly Press and Journal in Middletown .
#goldHeads=13,3,13,5,3,5,6,5,10,8,13,13,0,15,13,15,18,15,18,23,23,23,19,23,23,25,13,
#predictedHeads=13,3,13,5,3,5,6,3,10,8,13,13,0,15,13,15,18,15,18,23,23,23,19,23,23,25,13,
(8,15),-2.43152 # DEPENDENCYPART_ARC
(8,18),-2.48221 # DEPENDENCYPART_ARC
(8,23),-1.69165 # DEPENDENCYPART_ARC
(9,8),-0.453796 # DEPENDENCYPART_ARC
(9,11),-1.36896 # DEPENDENCYPART_ARC
(10,5),-1.70582 # DEPENDENCYPART_ARC
(10,6),-1.41757 # DEPENDENCYPART_ARC
(10,7),-1.3166 # DEPENDENCYPART_ARC
(10,8),-1.00973 # DEPENDENCYPART_ARC
(10,9),1.13203 # DEPENDENCYPART_ARC
(10,11),-0.2704 # DEPENDENCYPART_ARC
(10,12),-1.40881 # DEPENDENCYPART_ARC
(10,13),-1.93163 # DEPENDENCYPART_ARC
(10,15),-1.93947 # DEPENDENCYPART_ARC
(10,16),-1.62526 # DEPENDENCYPART_ARC
(10,18),-2.13552 # DEPENDENCYPART_ARC
(10,19),-2.1252 # DEPENDENCYPART_ARC
(10,20),-1.93606 # DEPENDENCYPART_ARC
(10,21),-1.99177 # DEPENDENCYPART_ARC
(10,23),-1.35297 # DEPENDENCYPART_ARC
(10,27),-1.82896 # DEPENDENCYPART_ARC
(11,8),-0.899244 # DEPENDENCYPART_ARC
(13,1),-0.633909 # DEPENDENCYPART_ARC
(13,3),-1.00089 # DEPENDENCYPART_ARC
(13,5),-2.20068 # DEPENDENCYPART_ARC
(13,6),-1.65776 # DEPENDENCYPART_ARC
(13,7),-2.05685 # DEPENDENCYPART_ARC
(13,8),-1.35324 # DEPENDENCYPART_ARC
(13,9),-1.72185 # DEPENDENCYPART_ARC
(13,10),-1.90608 # DEPENDENCYPART_ARC
(13,11),-0.162625 # DEPENDENCYPART_ARC
(13,12),0.782062 # DEPENDENCYPART_ARC
(13,14),0.252936 # DEPENDENCYPART_ARC
(13,15),0.11214 # DEPENDENCYPART_ARC
(13,16),-0.923302 # DEPENDENCYPART_ARC
(13,18),-1.56683 # DEPENDENCYPART_ARC
(13,19),-2.29178 # DEPENDENCYPART_ARC
(13,21),-1.64296 # DEPENDENCYPART_ARC
(13,23),-1.29383 # DEPENDENCYPART_ARC
(13,25),-2.63505 # DEPENDENCYPART_ARC
(13,27),0.669608 # DEPENDENCYPART_ARC
(14,12),-2.1895 # DEPENDENCYPART_ARC
(14,15),-0.770595 # DEPENDENCYPART_ARC
(14,16),-1.94361 # DEPENDENCYPART_ARC
(14,18),-2.15183 # DEPENDENCYPART_ARC
(14,19),-2.36831 # DEPENDENCYPART_ARC
(15,9),-2.21123 # DEPENDENCYPART_ARC
(15,10),-1.91049 # DEPENDENCYPART_ARC
(15,11),-1.86628 # DEPENDENCYPART_ARC
(15,12),-1.58209 # DEPENDENCYPART_ARC
(15,14),1.90433 # DEPENDENCYPART_ARC
(15,16),0.220623 # DEPENDENCYPART_ARC
(15,18),-1.68915 # DEPENDENCYPART_ARC
(15,19),-2.20846 # DEPENDENCYPART_ARC
(15,22),-2.04578 # DEPENDENCYPART_ARC
(15,23),-1.41989 # DEPENDENCYPART_ARC
(15,24),-1.77918 # DEPENDENCYPART_ARC
(15,25),-2.55374 # DEPENDENCYPART_ARC
(15,26),-2.11899 # DEPENDENCYPART_ARC
(15,27),-1.96386 # DEPENDENCYPART_ARC
(17,16),-0.226078 # DEPENDENCYPART_ARC
(17,19),-1.45476 # DEPENDENCYPART_ARC
(18,9),-1.72811 # DEPENDENCYPART_ARC
(18,13),-1.86821 # DEPENDENCYPART_ARC
(18,14),-1.71234 # DEPENDENCYPART_ARC
(18,15),-2.05411 # DEPENDENCYPART_ARC
(18,16),-1.32489 # DEPENDENCYPART_ARC
(18,17),1.0688 # DEPENDENCYPART_ARC
(18,19),0.594022 # DEPENDENCYPART_ARC
(18,20),-1.20905 # DEPENDENCYPART_ARC
(18,21),-1.11148 # DEPENDENCYPART_ARC
(18,22),-1.21734 # DEPENDENCYPART_ARC
(18,23),-0.968344 # DEPENDENCYPART_ARC
(18,24),-1.15238 # DEPENDENCYPART_ARC
(18,25),-1.10735 # DEPENDENCYPART_ARC
(18,26),-1.4457 # DEPENDENCYPART_ARC
(18,27),-0.990149 # DEPENDENCYPART_ARC
(19,17),-1.57511 # DEPENDENCYPART_ARC
(19,20),-0.202569 # DEPENDENCYPART_ARC
(19,21),-0.811681 # DEPENDENCYPART_ARC
(19,22),-0.436705 # DEPENDENCYPART_ARC
(19,23),-1.11596 # DEPENDENCYPART_ARC
(19,24),-1.27676 # DEPENDENCYPART_ARC
(19,25),-1.424 # DEPENDENCYPART_ARC
(19,26),-1.70877 # DEPENDENCYPART_ARC
(20,19),-0.479914 # DEPENDENCYPART_ARC
(20,21),-0.567132 # DEPENDENCYPART_ARC
(20,25),-1.62466 # DEPENDENCYPART_ARC
(21,18),-1.25807 # DEPENDENCYPART_ARC
(21,19),-1.42391 # DEPENDENCYPART_ARC
(21,20),-0.0119361 # DEPENDENCYPART_ARC
(21,22),-0.430805 # DEPENDENCYPART_ARC
(21,25),-1.46631 # DEPENDENCYPART_ARC
(22,17),-2.70192 # DEPENDENCYPART_ARC
(22,20),-0.782777 # DEPENDENCYPART_ARC
(22,21),0.30257 # DEPENDENCYPART_ARC
(22,24),-1.48883 # DEPENDENCYPART_ARC
(22,25),-1.34276 # DEPENDENCYPART_ARC
(23,1),-1.29529 # DEPENDENCYPART_ARC
(23,3),-1.86162 # DEPENDENCYPART_ARC
(23,4),-2.21714 # DEPENDENCYPART_ARC
(23,5),-1.44655 # DEPENDENCYPART_ARC
(23,6),-1.49752 # DEPENDENCYPART_ARC
(23,7),-1.31728 # DEPENDENCYPART_ARC
(23,8),-1.42856 # DEPENDENCYPART_ARC
(23,9),-2.18953 # DEPENDENCYPART_ARC
(23,10),-0.988374 # DEPENDENCYPART_ARC
(23,11),-1.83153 # DEPENDENCYPART_ARC
(23,12),-2.57738 # DEPENDENCYPART_ARC
(23,13),-1.82075 # DEPENDENCYPART_ARC
(23,14),-0.956332 # DEPENDENCYPART_ARC
(23,15),-0.889236 # DEPENDENCYPART_ARC
(23,16),-1.15717 # DEPENDENCYPART_ARC
(23,17),-1.39966 # DEPENDENCYPART_ARC
(23,18),-0.7258 # DEPENDENCYPART_ARC
(23,19),-1.05753 # DEPENDENCYPART_ARC
(23,20),-0.414328 # DEPENDENCYPART_ARC
(23,21),-0.123258 # DEPENDENCYPART_ARC
(23,22),2.40919 # DEPENDENCYPART_ARC
(23,24),2.02499 # DEPENDENCYPART_ARC
(23,25),-0.577153 # DEPENDENCYPART_ARC
(23,26),-0.879862 # DEPENDENCYPART_ARC
(23,27),-1.46466 # DEPENDENCYPART_ARC
(24,20),-2.09013 # DEPENDENCYPART_ARC
(24,21),-2.15312 # DEPENDENCYPART_ARC
(24,22),-1.73669 # DEPENDENCYPART_ARC
(24,25),-0.120725 # DEPENDENCYPART_ARC
(24,26),-1.38497 # DEPENDENCYPART_ARC
(24,27),-1.469 # DEPENDENCYPART_ARC
(25,26),0.911322 # DEPENDENCYPART_ARC
(26,20),-2.73555 # DEPENDENCYPART_ARC
(26,21),-2.4479 # DEPENDENCYPART_ARC
(26,24),-1.38222 # DEPENDENCYPART_ARC
(26,27),-0.306342 # DEPENDENCYPART_ARC
(0,3),(0,13),-0.262896 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.195261 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.168899 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.161261 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0961646 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0204817 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0601168 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.019425 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00189813 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0779182 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0194243 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.106873 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.380302 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0173147 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.019425 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.106873 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.0166092 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.00425973 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.027488 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.027 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.295413 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.146525 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.293207 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.141979 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0404224 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.293206 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.238248 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.145193 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.092679 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.293207 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.238248 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.290677 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0616569 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.149207 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0677638 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0955882 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.066868 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0842229 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0692883 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0676945 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.082382 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0833573 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.076311 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.066868 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.082382 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0671914 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.0670054 # DEPENDENCYPART_SIBL
(3,4),(3,27),-0.0722074 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0792018 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0800763 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.04724 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.065319 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0818615 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0225036 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0577628 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0353737 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0800763 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0225036 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0786824 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0622538 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0266888 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0465508 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.123109 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.099368 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0480796 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0150379 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.104694 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0594502 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0465507 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0150379 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0501271 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0555991 # DEPENDENCYPART_SIBL
(3,6),(3,27),-0.0301818 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0405086 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0585878 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.07513 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0105967 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0497496 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0245219 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0733448 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0105967 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.0719509 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0555226 # DEPENDENCYPART_SIBL
(3,7),(3,27),-0.00135001 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0262205 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0125335 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.0440156 # DEPENDENCYPART_SIBL
(3,8),(3,12),0.00493045 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0396577 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0110058 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.0440156 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0129618 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0019049 # DEPENDENCYPART_SIBL
(3,8),(3,27),0.0189333 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0643076 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0422419 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0674609 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.062931 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0634811 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0422419 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0638054 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.0502741 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0603997 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0112907 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0481482 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0185658 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0717434 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0112907 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0703495 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0539211 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.00224883 # DEPENDENCYPART_SIBL
(3,11),(3,12),0.0216538 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00551418 # DEPENDENCYPART_SIBL
(3,11),(3,15),0.0182865 # DEPENDENCYPART_SIBL
(3,11),(3,16),0.0592404 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.0284635 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.0143665 # DEPENDENCYPART_SIBL
(3,11),(3,27),0.0104422 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0184974 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.00378378 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0294722 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.00410657 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.000979751 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.0673147 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0187884 # DEPENDENCYPART_SIBL
(3,13),(3,16),0.0163889 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0191394 # DEPENDENCYPART_SIBL
(3,13),(3,23),-0.0076273 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.016014 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.0105966 # DEPENDENCYPART_SIBL
(3,15),(3,18),-0.0719509 # DEPENDENCYPART_SIBL
(3,15),(3,23),-0.0555226 # DEPENDENCYPART_SIBL
(3,15),(3,27),-0.00134761 # DEPENDENCYPART_SIBL
(3,16),(3,18),0.0284635 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.0143665 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.0104422 # DEPENDENCYPART_SIBL
(3,18),(3,23),-0.0598936 # DEPENDENCYPART_SIBL
(3,18),(3,27),-0.0137266 # DEPENDENCYPART_SIBL
(3,23),(3,27),0.0230786 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.101127 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00969732 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0201222 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0818589 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0582487 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0153306 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.126453 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0979064 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00376249 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.00740463 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.100337 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.110945 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.825775 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00397285 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.0979065 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.110945 # DEPENDENCYPART_SIBL
(5,1),(5,18),0.0991954 # DEPENDENCYPART_SIBL
(5,1),(5,19),0.126453 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.00740463 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.027852 # DEPENDENCYPART_SIBL
(5,1),(5,23),0.0187731 # DEPENDENCYPART_SIBL
(5,1),(5,25),0.0736922 # DEPENDENCYPART_SIBL
(5,1),(5,27),0.00472515 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0105415 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0504788 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0370956 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.126779 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0067392 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0241251 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.12921 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.052624 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0568932 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0107627 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.126779 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.052624 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.128212 # DEPENDENCYPART_SIBL
(5,2),(5,19),0.0370956 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0241251 # DEPENDENCYPART_SIBL
(5,2),(5,21),-0.0267889 # DEPENDENCYPART_SIBL
(5,2),(5,23),0.0177698 # DEPENDENCYPART_SIBL
(5,2),(5,25),0.0858389 # DEPENDENCYPART_SIBL
(5,2),(5,27),0.0635249 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.00585758 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0135558 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0100659 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0405365 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0849383 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00763499 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0036719 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0128875 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0678433 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0100658 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0036719 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00864208 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0135558 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0849383 # DEPENDENCYPART_SIBL
(5,3),(5,21),-0.0352187 # DEPENDENCYPART_SIBL
(5,3),(5,23),0.00312625 # DEPENDENCYPART_SIBL
(5,3),(5,25),0.0358973 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.0542346 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.165614 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0173522 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.012192 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0585325 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00866518 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.106922 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.170764 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.314985 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0173519 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.106922 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0169615 # DEPENDENCYPART_SIBL
(5,4),(5,19),0.165614 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.0585325 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.0757033 # DEPENDENCYPART_SIBL
(5,4),(5,23),0.0892855 # DEPENDENCYPART_SIBL
(5,4),(5,25),0.0839031 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.0130451 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0250056 # DEPENDENCYPART_SIBL
(5,6),(5,8),-9.1371e-05 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.091609 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0244551 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0197361 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0995607 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0253755 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0250059 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.0197361 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0301654 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.162332 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.091609 # DEPENDENCYPART_SIBL
(5,6),(5,21),0.00787105 # DEPENDENCYPART_SIBL
(5,6),(5,23),-0.0528324 # DEPENDENCYPART_SIBL
(5,6),(5,25),0.0138318 # DEPENDENCYPART_SIBL
(5,6),(5,27),-0.0210199 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.00339366 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0114459 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00387617 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0297442 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0310833 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.00639677 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00320507 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0297442 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.00976411 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.00171657 # DEPENDENCYPART_SIBL
