# _root_ `` That suggests there is a little more inventory overhang than some people expected , '' said Edward Boss , senior financial economist at Continental Bank in Chicago .
#goldHeads=17,3,17,5,3,10,8,10,10,5,14,13,14,10,17,17,0,19,17,19,23,23,19,23,26,24,26,27,17,
#predictedHeads=17,3,17,5,3,10,8,10,10,5,14,13,14,10,17,17,0,19,17,19,23,23,19,23,26,24,26,27,17,
(14,7),-0.91275 # DEPENDENCYPART_ARC
(14,9),-0.535677 # DEPENDENCYPART_ARC
(14,10),-0.213896 # DEPENDENCYPART_ARC
(14,11),-0.055335 # DEPENDENCYPART_ARC
(14,12),-0.329163 # DEPENDENCYPART_ARC
(14,13),1.06465 # DEPENDENCYPART_ARC
(14,15),0.524503 # DEPENDENCYPART_ARC
(14,16),-1.08314 # DEPENDENCYPART_ARC
(14,17),-1.60495 # DEPENDENCYPART_ARC
(14,19),-1.99514 # DEPENDENCYPART_ARC
(14,20),-1.6049 # DEPENDENCYPART_ARC
(14,21),-1.65809 # DEPENDENCYPART_ARC
(14,22),-1.77216 # DEPENDENCYPART_ARC
(14,23),-1.62231 # DEPENDENCYPART_ARC
(14,24),-1.64093 # DEPENDENCYPART_ARC
(14,26),-2.1101 # DEPENDENCYPART_ARC
(14,27),-1.59147 # DEPENDENCYPART_ARC
(14,29),-1.54138 # DEPENDENCYPART_ARC
(17,1),-0.587674 # DEPENDENCYPART_ARC
(17,2),-1.69202 # DEPENDENCYPART_ARC
(17,3),-1.33927 # DEPENDENCYPART_ARC
(17,5),-1.13942 # DEPENDENCYPART_ARC
(17,6),-2.15144 # DEPENDENCYPART_ARC
(17,7),-1.74212 # DEPENDENCYPART_ARC
(17,10),-2.15287 # DEPENDENCYPART_ARC
(17,11),-1.4039 # DEPENDENCYPART_ARC
(17,12),-1.7397 # DEPENDENCYPART_ARC
(17,13),-2.02609 # DEPENDENCYPART_ARC
(17,14),-0.895767 # DEPENDENCYPART_ARC
(17,15),-0.222224 # DEPENDENCYPART_ARC
(17,16),0.669316 # DEPENDENCYPART_ARC
(17,18),0.303996 # DEPENDENCYPART_ARC
(17,19),0.0380671 # DEPENDENCYPART_ARC
(17,20),-0.882524 # DEPENDENCYPART_ARC
(17,21),-1.3508 # DEPENDENCYPART_ARC
(17,22),-1.47295 # DEPENDENCYPART_ARC
(17,23),-1.61255 # DEPENDENCYPART_ARC
(17,24),-1.45764 # DEPENDENCYPART_ARC
(17,26),-1.82102 # DEPENDENCYPART_ARC
(17,27),-1.23792 # DEPENDENCYPART_ARC
(17,29),0.560863 # DEPENDENCYPART_ARC
(18,16),-1.99591 # DEPENDENCYPART_ARC
(18,19),-0.689026 # DEPENDENCYPART_ARC
(18,21),-1.81303 # DEPENDENCYPART_ARC
(18,23),-2.19732 # DEPENDENCYPART_ARC
(18,26),-2.62064 # DEPENDENCYPART_ARC
(19,12),-2.42767 # DEPENDENCYPART_ARC
(19,13),-2.44401 # DEPENDENCYPART_ARC
(19,15),-1.86764 # DEPENDENCYPART_ARC
(19,16),-1.47887 # DEPENDENCYPART_ARC
(19,17),-0.650473 # DEPENDENCYPART_ARC
(19,18),1.71852 # DEPENDENCYPART_ARC
(19,20),0.244299 # DEPENDENCYPART_ARC
(19,21),-1.54094 # DEPENDENCYPART_ARC
(19,22),-1.7178 # DEPENDENCYPART_ARC
(19,23),-1.68685 # DEPENDENCYPART_ARC
(19,24),-1.98022 # DEPENDENCYPART_ARC
(19,25),-1.93646 # DEPENDENCYPART_ARC
(19,26),-1.95982 # DEPENDENCYPART_ARC
(19,27),-2.35791 # DEPENDENCYPART_ARC
(19,28),-2.21069 # DEPENDENCYPART_ARC
(19,29),-1.68426 # DEPENDENCYPART_ARC
(21,18),-1.23173 # DEPENDENCYPART_ARC
(21,19),-1.24302 # DEPENDENCYPART_ARC
(21,20),-0.0317318 # DEPENDENCYPART_ARC
(21,22),-0.316718 # DEPENDENCYPART_ARC
(21,23),-1.16157 # DEPENDENCYPART_ARC
(21,24),-1.11687 # DEPENDENCYPART_ARC
(21,25),-1.4402 # DEPENDENCYPART_ARC
(21,26),-1.49605 # DEPENDENCYPART_ARC
(21,27),-1.39059 # DEPENDENCYPART_ARC
(21,29),-1.47866 # DEPENDENCYPART_ARC
(22,19),-1.44361 # DEPENDENCYPART_ARC
(22,20),-1.12384 # DEPENDENCYPART_ARC
(22,21),-0.312389 # DEPENDENCYPART_ARC
(22,24),-1.11489 # DEPENDENCYPART_ARC
(22,26),-1.56317 # DEPENDENCYPART_ARC
(23,12),-1.89047 # DEPENDENCYPART_ARC
(23,17),-1.64363 # DEPENDENCYPART_ARC
(23,18),-1.3271 # DEPENDENCYPART_ARC
(23,19),-1.77368 # DEPENDENCYPART_ARC
(23,20),-1.48556 # DEPENDENCYPART_ARC
(23,21),0.324633 # DEPENDENCYPART_ARC
(23,22),1.44815 # DEPENDENCYPART_ARC
(23,24),0.381732 # DEPENDENCYPART_ARC
(23,25),-0.955481 # DEPENDENCYPART_ARC
(23,26),-1.35869 # DEPENDENCYPART_ARC
(23,27),-1.08177 # DEPENDENCYPART_ARC
(23,28),-1.68702 # DEPENDENCYPART_ARC
(23,29),-1.18435 # DEPENDENCYPART_ARC
(24,22),-1.48964 # DEPENDENCYPART_ARC
(24,23),-0.629244 # DEPENDENCYPART_ARC
(24,25),0.257308 # DEPENDENCYPART_ARC
(24,26),-0.30459 # DEPENDENCYPART_ARC
(24,27),-1.08035 # DEPENDENCYPART_ARC
(24,28),-1.26018 # DEPENDENCYPART_ARC
(25,26),-0.701785 # DEPENDENCYPART_ARC
(25,27),-1.20122 # DEPENDENCYPART_ARC
(25,28),-1.91313 # DEPENDENCYPART_ARC
(26,18),-2.09666 # DEPENDENCYPART_ARC
(26,21),-1.44986 # DEPENDENCYPART_ARC
(26,22),-1.3533 # DEPENDENCYPART_ARC
(26,23),-1.39268 # DEPENDENCYPART_ARC
(26,24),-1.31844 # DEPENDENCYPART_ARC
(26,25),1.40561 # DEPENDENCYPART_ARC
(26,27),0.29829 # DEPENDENCYPART_ARC
(26,28),-1.10542 # DEPENDENCYPART_ARC
(26,29),-1.01367 # DEPENDENCYPART_ARC
(27,28),0.846638 # DEPENDENCYPART_ARC
(28,21),-2.6791 # DEPENDENCYPART_ARC
(28,25),-1.3976 # DEPENDENCYPART_ARC
(28,26),-1.21031 # DEPENDENCYPART_ARC
(28,29),-0.386798 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.163627 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.189687 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.204198 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0102427 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0327076 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0110672 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0683719 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0209783 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.010214 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.00924519 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.058612 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.02199 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00793597 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0641978 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.438647 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.00502256 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0641978 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0158275 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0413678 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0241838 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00251918 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0385052 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0714023 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0296184 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0305873 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0567151 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0340782 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00527651 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0639467 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0449189 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0240309 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0639467 # DEPENDENCYPART_SIBL
(3,2),(3,24),0.0452264 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0512474 # DEPENDENCYPART_SIBL
(3,2),(3,29),-0.0533309 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0424146 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0534077 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0360456 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0370486 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0738445 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.043819 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0473535 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.0247257 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.00755916 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0455256 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0247257 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.048002 # DEPENDENCYPART_SIBL
(3,5),(3,27),-0.0349369 # DEPENDENCYPART_SIBL
(3,5),(3,29),-0.000427221 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0354553 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0505632 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0515691 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0695548 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0677979 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0427583 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0204525 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0446345 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0281118 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0204525 # DEPENDENCYPART_SIBL
(3,7),(3,24),0.0251152 # DEPENDENCYPART_SIBL
(3,7),(3,27),-6.58622e-05 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.0513533 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0774775 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0784834 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.13745 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0873263 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0482129 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0293235 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.101795 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0187703 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0293235 # DEPENDENCYPART_SIBL
(3,8),(3,24),-0.02649 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.0361855 # DEPENDENCYPART_SIBL
(3,8),(3,29),-0.0445599 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.028594 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0920755 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0362348 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0346564 # DEPENDENCYPART_SIBL
(3,9),(3,15),0.00476386 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0242046 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0240838 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.00476386 # DEPENDENCYPART_SIBL
(3,9),(3,24),0.0239103 # DEPENDENCYPART_SIBL
(3,9),(3,27),0.0236299 # DEPENDENCYPART_SIBL
(3,9),(3,29),-0.00911557 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0922179 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0334973 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0384295 # DEPENDENCYPART_SIBL
(3,10),(3,15),0.00462425 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.024348 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0278569 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.00462425 # DEPENDENCYPART_SIBL
(3,10),(3,24),0.0237679 # DEPENDENCYPART_SIBL
(3,10),(3,27),0.0234883 # DEPENDENCYPART_SIBL
(3,10),(3,29),-0.00925898 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.0322446 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0533183 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0130002 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.0544563 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0505405 # DEPENDENCYPART_SIBL
(3,11),(3,20),-0.0130002 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0498922 # DEPENDENCYPART_SIBL
(3,11),(3,27),-0.0610253 # DEPENDENCYPART_SIBL
(3,11),(3,29),-0.0699751 # DEPENDENCYPART_SIBL
(3,13),(3,14),-0.0438823 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.0145666 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0169955 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0333209 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0145666 # DEPENDENCYPART_SIBL
(3,13),(3,24),0.0223571 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.0167478 # DEPENDENCYPART_SIBL
(3,13),(3,29),0.00869105 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0242581 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0281537 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.040221 # DEPENDENCYPART_SIBL
(3,14),(3,20),-0.0242581 # DEPENDENCYPART_SIBL
(3,14),(3,24),-0.0337272 # DEPENDENCYPART_SIBL
(3,14),(3,27),-0.0135636 # DEPENDENCYPART_SIBL
(3,14),(3,29),-0.00262734 # DEPENDENCYPART_SIBL
(3,15),(3,16),0.0283376 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.000172206 # DEPENDENCYPART_SIBL
(3,15),(3,20),0.0278089 # DEPENDENCYPART_SIBL
(3,15),(3,24),0.0231226 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.0106101 # DEPENDENCYPART_SIBL
(3,15),(3,29),0.00306304 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.00038702 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0171142 # DEPENDENCYPART_SIBL
(3,16),(3,24),0.0237115 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.0316224 # DEPENDENCYPART_SIBL
(3,16),(3,29),-0.0703845 # DEPENDENCYPART_SIBL
(3,17),(3,20),0.0265309 # DEPENDENCYPART_SIBL
(3,17),(3,24),-0.00983057 # DEPENDENCYPART_SIBL
(3,17),(3,27),0.00895536 # DEPENDENCYPART_SIBL
(3,17),(3,29),0.0231737 # DEPENDENCYPART_SIBL
(3,20),(3,24),0.0231226 # DEPENDENCYPART_SIBL
(3,20),(3,27),0.0106101 # DEPENDENCYPART_SIBL
(3,20),(3,29),0.00306304 # DEPENDENCYPART_SIBL
(3,24),(3,27),0.0411017 # DEPENDENCYPART_SIBL
(3,24),(3,29),-0.0266034 # DEPENDENCYPART_SIBL
(3,27),(3,29),-0.0237921 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.034456 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.02443 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0410023 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0933429 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0494576 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0339352 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0177017 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0186705 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0636034 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0518081 # DEPENDENCYPART_SIBL
(5,1),(5,14),0.00576451 # DEPENDENCYPART_SIBL
(5,1),(5,15),0.101636 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.467968 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.00585427 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.101636 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.00880681 # DEPENDENCYPART_SIBL
(5,1),(5,29),0.0420861 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0327621 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0107154 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0711997 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0340088 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0663192 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.00469127 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00566011 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.104876 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0110534 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0786146 # DEPENDENCYPART_SIBL
(5,2),(5,15),0.0621387 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.0325685 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0998464 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0621387 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.00909993 # DEPENDENCYPART_SIBL
(5,2),(5,29),-0.0595304 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0210253 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0788096 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00111205 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0413935 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0306741 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0297053 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0435251 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0245982 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0151779 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0140286 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0279037 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0165799 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.0140286 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.000226037 # DEPENDENCYPART_SIBL
(5,3),(5,29),0.0650349 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0978575 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0852596 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.119717 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.151526 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.150557 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0609296 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.150689 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.14917 # DEPENDENCYPART_SIBL
(5,4),(5,15),0.102915 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0440076 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.170327 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.102915 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0140373 # DEPENDENCYPART_SIBL
(5,4),(5,29),-0.0249817 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0348259 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0620897 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0226835 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0236894 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0941939 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0291601 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0548301 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0541834 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0335736 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0402936 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0541834 # DEPENDENCYPART_SIBL
(5,6),(5,24),-0.043255 # DEPENDENCYPART_SIBL
(5,6),(5,29),-0.030319 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0295331 # DEPENDENCYPART_SIBL
