# _root_ It starts with conception , taking the sperm 's point of view , then progresses to the baby 's point of view .
#goldHeads=2,0,2,3,2,2,8,10,8,6,10,11,2,15,2,15,18,20,18,16,20,21,2,
#predictedHeads=2,0,2,3,2,2,8,10,8,6,10,11,6,15,6,15,18,20,18,16,20,21,2,
(6,1),-2.83648 # DEPENDENCYPART_ARC
(6,3),-1.77763 # DEPENDENCYPART_ARC
(6,4),-2.16842 # DEPENDENCYPART_ARC
(6,5),-0.287467 # DEPENDENCYPART_ARC
(6,7),0.150686 # DEPENDENCYPART_ARC
(6,8),0.0480205 # DEPENDENCYPART_ARC
(6,10),-0.125972 # DEPENDENCYPART_ARC
(6,11),-1.17594 # DEPENDENCYPART_ARC
(6,12),-0.934161 # DEPENDENCYPART_ARC
(6,13),-0.957153 # DEPENDENCYPART_ARC
(6,14),-1.34289 # DEPENDENCYPART_ARC
(6,15),-1.56589 # DEPENDENCYPART_ARC
(6,16),-1.57662 # DEPENDENCYPART_ARC
(6,20),-2.0435 # DEPENDENCYPART_ARC
(6,23),-0.863851 # DEPENDENCYPART_ARC
(7,5),-1.25538 # DEPENDENCYPART_ARC
(7,11),-1.51804 # DEPENDENCYPART_ARC
(8,3),-1.95384 # DEPENDENCYPART_ARC
(8,4),-2.13111 # DEPENDENCYPART_ARC
(8,5),-1.71834 # DEPENDENCYPART_ARC
(8,6),-0.721631 # DEPENDENCYPART_ARC
(8,7),1.43211 # DEPENDENCYPART_ARC
(8,9),0.977678 # DEPENDENCYPART_ARC
(8,10),-1.03574 # DEPENDENCYPART_ARC
(8,11),-0.885966 # DEPENDENCYPART_ARC
(8,12),-1.51753 # DEPENDENCYPART_ARC
(8,13),-1.38812 # DEPENDENCYPART_ARC
(8,14),-1.56999 # DEPENDENCYPART_ARC
(8,15),-1.67455 # DEPENDENCYPART_ARC
(8,16),-1.68429 # DEPENDENCYPART_ARC
(10,3),-2.26437 # DEPENDENCYPART_ARC
(10,4),-2.70353 # DEPENDENCYPART_ARC
(10,5),-1.96513 # DEPENDENCYPART_ARC
(10,6),-1.28837 # DEPENDENCYPART_ARC
(10,7),-0.977245 # DEPENDENCYPART_ARC
(10,8),0.0571207 # DEPENDENCYPART_ARC
(10,9),-0.21364 # DEPENDENCYPART_ARC
(10,11),0.688444 # DEPENDENCYPART_ARC
(10,12),-0.844192 # DEPENDENCYPART_ARC
(10,13),-1.17813 # DEPENDENCYPART_ARC
(10,14),-1.48758 # DEPENDENCYPART_ARC
(10,15),-1.65763 # DEPENDENCYPART_ARC
(10,16),-1.60656 # DEPENDENCYPART_ARC
(10,20),-1.72475 # DEPENDENCYPART_ARC
(10,21),-2.09227 # DEPENDENCYPART_ARC
(10,23),-1.73378 # DEPENDENCYPART_ARC
(11,6),-1.57803 # DEPENDENCYPART_ARC
(11,8),-1.30244 # DEPENDENCYPART_ARC
(11,10),-0.388327 # DEPENDENCYPART_ARC
(11,12),0.857377 # DEPENDENCYPART_ARC
(11,13),-0.785697 # DEPENDENCYPART_ARC
(11,14),-1.56852 # DEPENDENCYPART_ARC
(11,15),-1.75953 # DEPENDENCYPART_ARC
(11,16),-2.10324 # DEPENDENCYPART_ARC
(11,20),-2.78793 # DEPENDENCYPART_ARC
(12,6),-1.74587 # DEPENDENCYPART_ARC
(12,7),-1.91984 # DEPENDENCYPART_ARC
(12,8),-1.08653 # DEPENDENCYPART_ARC
(12,10),-0.811202 # DEPENDENCYPART_ARC
(12,11),-0.0766713 # DEPENDENCYPART_ARC
(12,13),-0.165327 # DEPENDENCYPART_ARC
(12,14),-1.52159 # DEPENDENCYPART_ARC
(12,15),-1.77081 # DEPENDENCYPART_ARC
(12,16),-1.93296 # DEPENDENCYPART_ARC
(12,20),-1.89362 # DEPENDENCYPART_ARC
(12,21),-2.18859 # DEPENDENCYPART_ARC
(14,3),-1.49171 # DEPENDENCYPART_ARC
(14,4),-1.2092 # DEPENDENCYPART_ARC
(14,5),-1.8828 # DEPENDENCYPART_ARC
(14,8),-1.56758 # DEPENDENCYPART_ARC
(14,10),-1.53164 # DEPENDENCYPART_ARC
(14,11),-1.58125 # DEPENDENCYPART_ARC
(14,12),-1.45944 # DEPENDENCYPART_ARC
(14,13),0.269423 # DEPENDENCYPART_ARC
(14,15),-0.374191 # DEPENDENCYPART_ARC
(14,16),-1.06652 # DEPENDENCYPART_ARC
(14,20),-1.61982 # DEPENDENCYPART_ARC
(14,21),-1.48955 # DEPENDENCYPART_ARC
(15,2),-1.46131 # DEPENDENCYPART_ARC
(15,3),-1.08672 # DEPENDENCYPART_ARC
(15,4),-0.985289 # DEPENDENCYPART_ARC
(15,5),-1.98737 # DEPENDENCYPART_ARC
(15,6),-1.21549 # DEPENDENCYPART_ARC
(15,7),-1.80787 # DEPENDENCYPART_ARC
(15,8),-1.8416 # DEPENDENCYPART_ARC
(15,10),-1.79502 # DEPENDENCYPART_ARC
(15,11),-1.32556 # DEPENDENCYPART_ARC
(15,12),-1.55711 # DEPENDENCYPART_ARC
(15,13),-0.448016 # DEPENDENCYPART_ARC
(15,14),0.833318 # DEPENDENCYPART_ARC
(15,16),0.627799 # DEPENDENCYPART_ARC
(15,17),-0.69374 # DEPENDENCYPART_ARC
(15,18),-0.522926 # DEPENDENCYPART_ARC
(15,19),-0.907159 # DEPENDENCYPART_ARC
(15,20),-0.527171 # DEPENDENCYPART_ARC
(15,21),-1.02075 # DEPENDENCYPART_ARC
(15,22),-1.17675 # DEPENDENCYPART_ARC
(15,23),-0.099682 # DEPENDENCYPART_ARC
(16,13),-1.42185 # DEPENDENCYPART_ARC
(16,14),-1.21186 # DEPENDENCYPART_ARC
(16,17),0.201773 # DEPENDENCYPART_ARC
(16,18),-0.190228 # DEPENDENCYPART_ARC
(16,20),-0.778733 # DEPENDENCYPART_ARC
(16,21),-1.11151 # DEPENDENCYPART_ARC
(16,22),-1.31748 # DEPENDENCYPART_ARC
(16,23),-0.583684 # DEPENDENCYPART_ARC
(17,21),-1.4581 # DEPENDENCYPART_ARC
(18,14),-1.40979 # DEPENDENCYPART_ARC
(18,16),-0.911627 # DEPENDENCYPART_ARC
(18,17),1.41844 # DEPENDENCYPART_ARC
(18,19),1.03078 # DEPENDENCYPART_ARC
(18,20),-0.982735 # DEPENDENCYPART_ARC
(18,21),-0.83994 # DEPENDENCYPART_ARC
(18,22),-1.50117 # DEPENDENCYPART_ARC
(18,23),-1.07738 # DEPENDENCYPART_ARC
(19,23),-1.04253 # DEPENDENCYPART_ARC
(20,10),-3.1444 # DEPENDENCYPART_ARC
(20,12),-2.87533 # DEPENDENCYPART_ARC
(20,14),-1.78129 # DEPENDENCYPART_ARC
(20,17),-0.996499 # DEPENDENCYPART_ARC
(20,18),0.0605668 # DEPENDENCYPART_ARC
(20,19),-0.21364 # DEPENDENCYPART_ARC
(20,21),0.688444 # DEPENDENCYPART_ARC
(20,22),-0.874178 # DEPENDENCYPART_ARC
(20,23),-0.840108 # DEPENDENCYPART_ARC
(21,22),0.810113 # DEPENDENCYPART_ARC
(21,23),-1.08782 # DEPENDENCYPART_ARC
(22,17),-1.79038 # DEPENDENCYPART_ARC
(22,18),-1.10446 # DEPENDENCYPART_ARC
(22,20),-0.768252 # DEPENDENCYPART_ARC
(22,21),0.0467854 # DEPENDENCYPART_ARC
(22,23),-0.357295 # DEPENDENCYPART_ARC
(23,21),-1.0826 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.0602935 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.164749 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.164275 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0999844 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.101478 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.164277 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.02663 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.182228 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0106942 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0619907 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0595549 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.011242 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0619907 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0247449 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0535885 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.00626735 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0156015 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0201632 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0124524 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0268466 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0201632 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0233746 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00668212 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.00841746 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0156978 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0126381 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0351201 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0156978 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0103936 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.00422309 # DEPENDENCYPART_SIBL
(2,4),(2,23),3.49909e-05 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.077398 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0127647 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0299518 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0139068 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0357478 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.00413915 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0336203 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0012273 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0375235 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0223189 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.00545805 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0130145 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.00987534 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.00780129 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0371931 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0139068 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0357478 # DEPENDENCYPART_SIBL
(2,13),(2,23),0.00413915 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0479042 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.00605231 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.00636587 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.033563 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0477606 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0980605 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.046807 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0335578 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0193258 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0324554 # DEPENDENCYPART_SIBL
(3,5),(3,15),0.00839463 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0172676 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0204149 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0160083 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00403231 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.049442 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0362852 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.000435669 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0203309 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.00480094 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.10586 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0243473 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0755955 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0750346 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00770692 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.0753093 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.10586 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0171606 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.107903 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0750346 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00102349 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0122097 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0182027 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0130967 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.016358 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.0141319 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.0138169 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0122097 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0160101 # DEPENDENCYPART_SIBL
(4,2),(4,16),-0.0237535 # DEPENDENCYPART_SIBL
(4,2),(4,20),-0.016358 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0195611 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0310493 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00221554 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0110352 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0221615 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.00125205 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0195611 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.0351464 # DEPENDENCYPART_SIBL
(4,3),(4,16),-0.0258353 # DEPENDENCYPART_SIBL
(4,3),(4,20),-0.0110352 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0368526 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0419113 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0414222 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0346147 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0394206 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.036982 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.0234086 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0381842 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0414222 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0178643 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0181629 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0190607 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0181958 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.0186552 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0083972 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00979468 # DEPENDENCYPART_SIBL
(4,6),(4,20),-0.0181629 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0160951 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.00858164 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0121663 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0155455 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0129352 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.00272554 # DEPENDENCYPART_SIBL
(4,8),(4,20),-0.0160951 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0074288 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0141412 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0127867 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0157757 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.00564326 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.01807 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.00340726 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0225044 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0364125 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0189675 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.00169048 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0218418 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0133765 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.0027258 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0161007 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0234086 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.0381842 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.0414222 # DEPENDENCYPART_SIBL
(4,15),(4,16),-0.00977025 # DEPENDENCYPART_SIBL
(4,15),(4,20),-0.0173237 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.00157307 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.068769 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0431034 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.000375115 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0410605 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0269475 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0274953 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0515455 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0276983 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0585067 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.022141 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0544152 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.186767 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0274953 # DEPENDENCYPART_SIBL
(6,1),(6,23),-0.00869686 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00290725 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0122523 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0477995 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0303714 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0122309 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0306 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0389031 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.071218 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0466834 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0520043 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0788977 # DEPENDENCYPART_SIBL
(6,3),(6,20),0.0122309 # DEPENDENCYPART_SIBL
(6,3),(6,23),-0.0309211 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.00313542 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0920393 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.00117677 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00319979 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.00584004 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00128254 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0028004 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0356371 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.00272062 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00290772 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.00319979 # DEPENDENCYPART_SIBL
(6,4),(6,23),-0.016085 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.120977 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.00109998 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0214174 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.122039 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.00195646 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.154082 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0036943 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.000112698 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0138057 # DEPENDENCYPART_SIBL
(6,5),(6,20),-0.0214174 # DEPENDENCYPART_SIBL
(6,5),(6,23),0.0303227 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0378688 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.046947 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0531253 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0372102 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0363135 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0233361 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0360373 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0136687 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.046947 # DEPENDENCYPART_SIBL
(6,7),(6,23),-0.0206627 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0250679 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0200819 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00750805 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.0262342 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.00416894 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.014208 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0405166 # DEPENDENCYPART_SIBL
(6,8),(6,20),-0.0250679 # DEPENDENCYPART_SIBL
(6,8),(6,23),0.00528596 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.0256072 # DEPENDENCYPART_SIBL
(6,10),(6,12),-0.00961764 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.023551 # DEPENDENCYPART_SIBL
(6,10),(6,14),0.00365067 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0106298 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0311761 # DEPENDENCYPART_SIBL
(6,10),(6,20),-0.0271775 # DEPENDENCYPART_SIBL
(6,10),(6,23),0.0424441 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0301657 # DEPENDENCYPART_SIBL
(6,11),(6,13),-0.0301462 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.0812841 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0606884 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0443474 # DEPENDENCYPART_SIBL
(6,11),(6,20),-0.0416458 # DEPENDENCYPART_SIBL
(6,11),(6,23),-0.0462313 # DEPENDENCYPART_SIBL
(6,12),(6,13),0.0331193 # DEPENDENCYPART_SIBL
(6,12),(6,14),0.00255082 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.0148474 # DEPENDENCYPART_SIBL
(6,12),(6,16),0.042038 # DEPENDENCYPART_SIBL
(6,12),(6,20),-0.023557 # DEPENDENCYPART_SIBL
(6,12),(6,23),0.00514934 # DEPENDENCYPART_SIBL
(6,13),(6,14),0.00342258 # DEPENDENCYPART_SIBL
(6,13),(6,15),0.0336613 # DEPENDENCYPART_SIBL
(6,13),(6,16),0.00675139 # DEPENDENCYPART_SIBL
(6,13),(6,20),-0.0125366 # DEPENDENCYPART_SIBL
(6,13),(6,23),-0.00098483 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0511148 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0316167 # DEPENDENCYPART_SIBL
(6,14),(6,20),-0.0314434 # DEPENDENCYPART_SIBL
(6,14),(6,23),0.00457995 # DEPENDENCYPART_SIBL
(6,15),(6,16),-0.0354123 # DEPENDENCYPART_SIBL
(6,15),(6,20),-0.0297952 # DEPENDENCYPART_SIBL
(6,15),(6,23),0.00188482 # DEPENDENCYPART_SIBL
(6,16),(6,20),-0.0142669 # DEPENDENCYPART_SIBL
(6,16),(6,23),0.00356615 # DEPENDENCYPART_SIBL
(6,20),(6,23),0.0424441 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.117812 # DEPENDENCYPART_SIBL
(8,3),(8,4),1.56602e-05 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.00545372 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.0225349 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0242778 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.0919829 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0110352 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0221615 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.00125205 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0195611 # DEPENDENCYPART_SIBL
(8,3),(8,14),0.0126488 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0351464 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0258353 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0412196 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.0244001 # DEPENDENCYPART_SIBL
(8,4),(8,7),-0.125235 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0787308 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0210969 # DEPENDENCYPART_SIBL
(8,4),(8,11),0.0416675 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0207019 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0529988 # DEPENDENCYPART_SIBL
(8,4),(8,14),0.0506333 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0167808 # DEPENDENCYPART_SIBL
