# _root_ Hughes Aircraft Co. , a unit of General Motors Corp. , said it agreed to purchase the Electro-Optics Technology division of Perkin-Elmer Corp .
#goldHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
#predictedHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
(10,5),-2.68024 # DEPENDENCYPART_ARC
(10,6),-2.47406 # DEPENDENCYPART_ARC
(10,8),-0.629818 # DEPENDENCYPART_ARC
(10,9),-0.47487 # DEPENDENCYPART_ARC
(10,11),-2.16102 # DEPENDENCYPART_ARC
(10,13),-2.68762 # DEPENDENCYPART_ARC
(10,14),-2.78688 # DEPENDENCYPART_ARC
(10,20),-3.88834 # DEPENDENCYPART_ARC
(12,1),-1.55437 # DEPENDENCYPART_ARC
(12,2),-1.51159 # DEPENDENCYPART_ARC
(12,3),-2.08537 # DEPENDENCYPART_ARC
(12,4),-1.21353 # DEPENDENCYPART_ARC
(12,6),-1.41081 # DEPENDENCYPART_ARC
(12,7),-2.41098 # DEPENDENCYPART_ARC
(12,8),-1.80385 # DEPENDENCYPART_ARC
(12,9),-1.1842 # DEPENDENCYPART_ARC
(12,10),-1.03028 # DEPENDENCYPART_ARC
(12,11),-0.731746 # DEPENDENCYPART_ARC
(12,13),-0.190303 # DEPENDENCYPART_ARC
(12,14),1.23934 # DEPENDENCYPART_ARC
(12,15),-0.517482 # DEPENDENCYPART_ARC
(12,16),-1.04999 # DEPENDENCYPART_ARC
(12,19),-2.12296 # DEPENDENCYPART_ARC
(12,20),-2.03932 # DEPENDENCYPART_ARC
(12,21),-1.54109 # DEPENDENCYPART_ARC
(12,22),-2.63053 # DEPENDENCYPART_ARC
(12,24),0.25464 # DEPENDENCYPART_ARC
(13,15),-1.4266 # DEPENDENCYPART_ARC
(14,1),-2.28154 # DEPENDENCYPART_ARC
(14,2),-2.28011 # DEPENDENCYPART_ARC
(14,3),-2.76111 # DEPENDENCYPART_ARC
(14,4),-1.58988 # DEPENDENCYPART_ARC
(14,6),-1.86539 # DEPENDENCYPART_ARC
(14,7),-1.84995 # DEPENDENCYPART_ARC
(14,8),-2.21886 # DEPENDENCYPART_ARC
(14,9),-2.28995 # DEPENDENCYPART_ARC
(14,10),-2.40526 # DEPENDENCYPART_ARC
(14,11),-1.58487 # DEPENDENCYPART_ARC
(14,12),-1.53826 # DEPENDENCYPART_ARC
(14,13),1.54009 # DEPENDENCYPART_ARC
(14,15),1.5908 # DEPENDENCYPART_ARC
(14,16),-0.30276 # DEPENDENCYPART_ARC
(14,17),-2.23106 # DEPENDENCYPART_ARC
(14,18),-1.59075 # DEPENDENCYPART_ARC
(14,19),-1.5934 # DEPENDENCYPART_ARC
(14,20),-1.38031 # DEPENDENCYPART_ARC
(14,21),-1.13518 # DEPENDENCYPART_ARC
(14,22),-2.30326 # DEPENDENCYPART_ARC
(14,23),-2.077 # DEPENDENCYPART_ARC
(14,24),-1.01121 # DEPENDENCYPART_ARC
(15,13),-1.7445 # DEPENDENCYPART_ARC
(15,16),2.02937 # DEPENDENCYPART_ARC
(15,18),-1.31807 # DEPENDENCYPART_ARC
(15,19),-1.39694 # DEPENDENCYPART_ARC
(15,20),-1.15311 # DEPENDENCYPART_ARC
(15,22),-2.25654 # DEPENDENCYPART_ARC
(15,23),-2.37707 # DEPENDENCYPART_ARC
(16,2),-2.75313 # DEPENDENCYPART_ARC
(16,6),-2.09423 # DEPENDENCYPART_ARC
(16,7),-1.74234 # DEPENDENCYPART_ARC
(16,9),-2.2794 # DEPENDENCYPART_ARC
(16,13),-1.77711 # DEPENDENCYPART_ARC
(16,17),-0.630191 # DEPENDENCYPART_ARC
(16,18),-0.671038 # DEPENDENCYPART_ARC
(16,19),-0.60055 # DEPENDENCYPART_ARC
(16,20),-0.0646444 # DEPENDENCYPART_ARC
(16,21),-0.69214 # DEPENDENCYPART_ARC
(16,22),-1.69537 # DEPENDENCYPART_ARC
(16,23),-1.399 # DEPENDENCYPART_ARC
(16,24),-1.728 # DEPENDENCYPART_ARC
(17,18),-1.84898 # DEPENDENCYPART_ARC
(18,17),-0.869592 # DEPENDENCYPART_ARC
(18,19),-1.80419 # DEPENDENCYPART_ARC
(18,21),-1.75991 # DEPENDENCYPART_ARC
(18,22),-3.23523 # DEPENDENCYPART_ARC
(18,23),-3.07671 # DEPENDENCYPART_ARC
(19,17),-0.381588 # DEPENDENCYPART_ARC
(19,18),-0.692132 # DEPENDENCYPART_ARC
(19,20),-1.49676 # DEPENDENCYPART_ARC
(19,21),-1.57261 # DEPENDENCYPART_ARC
(19,22),-3.01881 # DEPENDENCYPART_ARC
(19,23),-2.47248 # DEPENDENCYPART_ARC
(20,2),-4.25971 # DEPENDENCYPART_ARC
(20,9),-3.01298 # DEPENDENCYPART_ARC
(20,13),-2.46831 # DEPENDENCYPART_ARC
(20,17),0.776744 # DEPENDENCYPART_ARC
(20,18),1.04294 # DEPENDENCYPART_ARC
(20,19),1.45776 # DEPENDENCYPART_ARC
(20,21),0.705335 # DEPENDENCYPART_ARC
(20,22),-1.47476 # DEPENDENCYPART_ARC
(20,23),-1.53576 # DEPENDENCYPART_ARC
(21,22),-0.0975994 # DEPENDENCYPART_ARC
(21,23),-0.361142 # DEPENDENCYPART_ARC
(22,18),-2.52791 # DEPENDENCYPART_ARC
(22,19),-2.28051 # DEPENDENCYPART_ARC
(22,23),-0.458785 # DEPENDENCYPART_ARC
(23,17),-2.54302 # DEPENDENCYPART_ARC
(23,18),-2.91127 # DEPENDENCYPART_ARC
(23,19),-2.90629 # DEPENDENCYPART_ARC
(23,20),-2.19121 # DEPENDENCYPART_ARC
(23,22),-0.597027 # DEPENDENCYPART_ARC
(23,24),-0.933533 # DEPENDENCYPART_ARC
(0,2),(0,12),-1.16807 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.77831 # DEPENDENCYPART_SIBL
(0,12),(0,14),-1.91756 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.170126 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0475688 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0641437 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0372089 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.0475688 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0134409 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.021681 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.188008 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.0134409 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.772302 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.330728 # DEPENDENCYPART_SIBL
(1,4),(1,11),0.0294953 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0406045 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.314847 # DEPENDENCYPART_SIBL
(1,7),(1,11),-0.0124978 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.333423 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0813131 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00960496 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0727083 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0348054 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0537184 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0396115 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.325096 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0813131 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0773584 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0478008 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0377371 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.00363436 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0348054 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.252555 # DEPENDENCYPART_SIBL
(2,1),(2,24),0.0646294 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0295589 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00152148 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0152789 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.173712 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.000159375 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00825806 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.18633 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0295589 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0307826 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0451369 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0450619 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0404612 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.173712 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0891952 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0376139 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.164376 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.818942 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.35366 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.687898 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.752173 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.312027 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.10618 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.307191 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0825551 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.454422 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.673504 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.35366 # DEPENDENCYPART_SIBL
(2,4),(2,23),0.550173 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0221231 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00655785 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0697016 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0174514 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0199272 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0917952 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0168224 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00200455 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0288642 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.000855707 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0140768 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0697016 # DEPENDENCYPART_SIBL
(2,5),(2,23),-0.0294776 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.0112079 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0378209 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0198574 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0287754 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0935516 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.379488 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.040141 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0556408 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0249226 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.267656 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0378209 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0233638 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.12158 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0523725 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0676866 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0717544 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0212896 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0129891 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0101838 # DEPENDENCYPART_SIBL
(2,7),(2,14),-0.0527023 # DEPENDENCYPART_SIBL
(2,7),(2,20),0.18908 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.364613 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.00542578 # DEPENDENCYPART_SIBL
(2,7),(2,24),-0.0152155 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0717508 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.243756 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0122153 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0849502 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.102819 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.097915 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0782697 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0265641 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.152757 # DEPENDENCYPART_SIBL
(2,8),(2,24),-0.0153496 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.244212 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.00138513 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0865981 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.102926 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.0995629 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.079304 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.00884627 # DEPENDENCYPART_SIBL
(2,9),(2,23),-0.153794 # DEPENDENCYPART_SIBL
(2,9),(2,24),-0.00673458 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.128017 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0332757 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0352336 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0366558 # DEPENDENCYPART_SIBL
(2,10),(2,20),0.0207532 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.100969 # DEPENDENCYPART_SIBL
(2,10),(2,23),-0.025581 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.196674 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.307191 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.0825551 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.454422 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.673504 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.35366 # DEPENDENCYPART_SIBL
(2,11),(2,23),0.550173 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0221231 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0351912 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.289393 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.0950687 # DEPENDENCYPART_SIBL
(2,12),(2,21),-0.0471787 # DEPENDENCYPART_SIBL
(2,12),(2,23),-0.00948867 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.0758203 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.048207 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0238475 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.00213004 # DEPENDENCYPART_SIBL
(2,13),(2,23),-0.0227534 # DEPENDENCYPART_SIBL
(2,13),(2,24),-0.0688646 # DEPENDENCYPART_SIBL
(2,14),(2,20),-0.115243 # DEPENDENCYPART_SIBL
(2,14),(2,21),-0.0610446 # DEPENDENCYPART_SIBL
(2,14),(2,23),-0.0272741 # DEPENDENCYPART_SIBL
(2,14),(2,24),-0.00570418 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.0535637 # DEPENDENCYPART_SIBL
(2,20),(2,23),-0.0728704 # DEPENDENCYPART_SIBL
(2,20),(2,24),0.0719494 # DEPENDENCYPART_SIBL
(2,21),(2,23),-0.00542578 # DEPENDENCYPART_SIBL
(2,21),(2,24),-0.0152155 # DEPENDENCYPART_SIBL
(2,23),(2,24),-0.18675 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.114047 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.050027 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.090461 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00357658 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.104205 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.384984 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.050027 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0272923 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0216311 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.108537 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00519188 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0980103 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.377835 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0216311 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0373838 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.665387 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.278343 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.648859 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.20615 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0562567 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.360404 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0415905 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0191891 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.104666 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.37315 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0396775 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0467892 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0941796 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.0347412 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0724917 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.203835 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.106223 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0645437 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.218242 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.00946921 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.360404 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.148152 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00346373 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0196375 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.211265 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.334275 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0145549 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.00552695 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00959839 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00108861 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0451556 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0688327 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0328362 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.034002 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.130904 # DEPENDENCYPART_SIBL
(6,1),(6,20),0.0287825 # DEPENDENCYPART_SIBL
(6,1),(6,24),-0.0262706 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0189409 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.197346 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.336985 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0281388 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0209496 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0356419 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0275651 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0096314 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0832667 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0505614 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0484287 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.177072 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.0234324 # DEPENDENCYPART_SIBL
(6,2),(6,24),-0.0824824 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.155936 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.324326 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0157859 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0909589 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.105591 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.107264 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.16671 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.129843 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0742299 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0970446 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.204611 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0416093 # DEPENDENCYPART_SIBL
(6,3),(6,24),-0.23763 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0296939 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0463622 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0819555 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0931856 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.174417 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0276832 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.17336 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0615794 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0593331 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.102649 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.00726644 # DEPENDENCYPART_SIBL
(6,4),(6,24),0.034734 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.164179 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.026168 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.00376447 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.039816 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0202993 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.127758 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0588594 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.149385 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.120357 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.00281681 # DEPENDENCYPART_SIBL
(6,5),(6,24),-0.0132446 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0283231 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0030667 # DEPENDENCYPART_SIBL
