# _root_ Mr. Shilling , who was Merrill Lynch 's chief economist from 1967 to 1971 , has heralded a recession for months .
#goldHeads=2,16,2,5,2,7,10,7,10,5,5,11,11,13,2,0,16,19,17,17,20,16,
#predictedHeads=2,16,2,5,2,7,10,7,10,5,5,11,11,13,2,0,16,19,17,19,20,16,
(14,13),0.104546 # DEPENDENCYPART_ARC
(14,15),-0.15204 # DEPENDENCYPART_ARC
(14,16),-1.32239 # DEPENDENCYPART_ARC
(14,17),-1.70745 # DEPENDENCYPART_ARC
(14,19),-1.98613 # DEPENDENCYPART_ARC
(16,1),-1.13575 # DEPENDENCYPART_ARC
(16,2),-0.682465 # DEPENDENCYPART_ARC
(16,3),-2.12124 # DEPENDENCYPART_ARC
(16,5),-1.30312 # DEPENDENCYPART_ARC
(16,7),-1.72701 # DEPENDENCYPART_ARC
(16,9),-1.94004 # DEPENDENCYPART_ARC
(16,10),-1.68177 # DEPENDENCYPART_ARC
(16,11),-1.4314 # DEPENDENCYPART_ARC
(16,12),-1.66706 # DEPENDENCYPART_ARC
(16,13),-1.07785 # DEPENDENCYPART_ARC
(16,14),-1.23651 # DEPENDENCYPART_ARC
(16,15),0.883627 # DEPENDENCYPART_ARC
(16,17),1.47397 # DEPENDENCYPART_ARC
(16,18),-1.0464 # DEPENDENCYPART_ARC
(16,19),-0.79282 # DEPENDENCYPART_ARC
(16,20),-1.08981 # DEPENDENCYPART_ARC
(16,21),-1.35373 # DEPENDENCYPART_ARC
(16,22),-0.12609 # DEPENDENCYPART_ARC
(17,3),-3.24647 # DEPENDENCYPART_ARC
(17,5),-2.22088 # DEPENDENCYPART_ARC
(17,10),-3.08301 # DEPENDENCYPART_ARC
(17,11),-2.13891 # DEPENDENCYPART_ARC
(17,13),-2.30002 # DEPENDENCYPART_ARC
(17,16),-0.964688 # DEPENDENCYPART_ARC
(17,18),-0.249634 # DEPENDENCYPART_ARC
(17,19),0.174583 # DEPENDENCYPART_ARC
(17,20),-0.82558 # DEPENDENCYPART_ARC
(17,21),-0.86864 # DEPENDENCYPART_ARC
(17,22),-0.49572 # DEPENDENCYPART_ARC
(18,20),-1.29579 # DEPENDENCYPART_ARC
(19,4),-2.54949 # DEPENDENCYPART_ARC
(19,12),-2.60327 # DEPENDENCYPART_ARC
(19,14),-2.31039 # DEPENDENCYPART_ARC
(19,17),-0.889548 # DEPENDENCYPART_ARC
(19,18),1.27166 # DEPENDENCYPART_ARC
(19,20),0.239338 # DEPENDENCYPART_ARC
(19,21),-1.20139 # DEPENDENCYPART_ARC
(19,22),-1.13738 # DEPENDENCYPART_ARC
(20,13),-2.34612 # DEPENDENCYPART_ARC
(20,18),-1.37519 # DEPENDENCYPART_ARC
(20,19),-0.585262 # DEPENDENCYPART_ARC
(20,21),0.768657 # DEPENDENCYPART_ARC
(20,22),-1.23618 # DEPENDENCYPART_ARC
(21,14),-2.75537 # DEPENDENCYPART_ARC
(21,18),-1.32442 # DEPENDENCYPART_ARC
(21,19),-0.677306 # DEPENDENCYPART_ARC
(21,20),-0.0571593 # DEPENDENCYPART_ARC
(21,22),-0.46027 # DEPENDENCYPART_ARC
(22,20),-1.41864 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0629378 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.129823 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0101262 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.125293 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.124599 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.125603 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0100726 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.121071 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.120378 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0776376 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.223387 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.229687 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.11459 # DEPENDENCYPART_SIBL
(0,13),(0,17),-0.102799 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.237181 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0176115 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0187598 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0100929 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0176115 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.0226934 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0492881 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0730908 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0387024 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.00367987 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0153696 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0461145 # DEPENDENCYPART_SIBL
(1,5),(1,22),-0.0052902 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.00215877 # DEPENDENCYPART_SIBL
(1,10),(1,22),0.0154592 # DEPENDENCYPART_SIBL
(1,15),(1,22),0.00367987 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0771238 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0589593 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0201811 # DEPENDENCYPART_SIBL
(2,1),(2,7),3.58923e-06 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0628794 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0197619 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0120065 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.231351 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0771238 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.069664 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0280292 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.187079 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0803329 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0426293 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0372876 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.048356 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0152672 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00900349 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0675933 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0183884 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0354643 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0223701 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0290735 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0116818 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.00112836 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0216633 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0139739 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0164319 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0285463 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0161232 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0119388 # DEPENDENCYPART_SIBL
(2,5),(2,15),0.0464267 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0152486 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.0315114 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.00138523 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.00421133 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.012821 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0169969 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0236239 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0104252 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.00432365 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.0151689 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0201824 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.0202542 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.00161756 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.0261184 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0176664 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0212032 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0080045 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0049662 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0180962 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0196406 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.0178335 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00101013 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.0267394 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0399337 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0227835 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.00563275 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.032869 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.026437 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0331883 # DEPENDENCYPART_SIBL
(2,8),(2,20),0.000628357 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.00237532 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.00672053 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.00469276 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.043985 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0235405 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00616759 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.00132244 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0181327 # DEPENDENCYPART_SIBL
(2,10),(2,11),-9.79393e-05 # DEPENDENCYPART_SIBL
(2,10),(2,15),0.000661669 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0275519 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.0287027 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.00601851 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0188785 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.124886 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0373379 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.00965616 # DEPENDENCYPART_SIBL
(2,11),(2,20),0.100928 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.0722809 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.0223701 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0290735 # DEPENDENCYPART_SIBL
(2,15),(2,20),0.0116818 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.00112836 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.0283159 # DEPENDENCYPART_SIBL
(2,16),(2,20),0.0204684 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.0220049 # DEPENDENCYPART_SIBL
(2,19),(2,20),0.00340422 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.0218364 # DEPENDENCYPART_SIBL
(2,20),(2,22),0.0489952 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.00394733 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0931229 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.042014 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0363104 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0594019 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0302475 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0772229 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0550914 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.012951 # DEPENDENCYPART_SIBL
(5,2),(5,16),0.00826389 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.00669638 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0281359 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.000804293 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0557224 # DEPENDENCYPART_SIBL
(5,3),(5,6),-4.04493e-05 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0011468 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0304857 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00858852 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.118043 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.051276 # DEPENDENCYPART_SIBL
(5,3),(5,15),0.101528 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.00517269 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.0146614 # DEPENDENCYPART_SIBL
(5,3),(5,20),-0.192522 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.0309031 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0436667 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.0438948 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0343148 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0407816 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.057922 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.176371 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.119324 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0267741 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0142542 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.00809203 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.158032 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0831009 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0782763 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0764959 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0670715 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.073962 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0112103 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.039387 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0197792 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0540289 # DEPENDENCYPART_SIBL
(5,6),(5,22),-0.00137641 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.076548 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0747677 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0671255 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0739837 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.0103006 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0395378 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.01993 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0541194 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.00145135 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0644181 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0729953 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.080555 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.00953572 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0485375 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0289204 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0600257 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0222348 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.065957 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0747786 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0178995 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0408498 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0212385 # DEPENDENCYPART_SIBL
(5,10),(5,20),-0.0528935 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0046612 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.129841 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.000326596 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0472713 # DEPENDENCYPART_SIBL
(5,11),(5,17),0.00224559 # DEPENDENCYPART_SIBL
(5,11),(5,20),-0.0309576 # DEPENDENCYPART_SIBL
(5,11),(5,22),-0.0215954 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0326314 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0820319 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.0554182 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.0396744 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.0434543 # DEPENDENCYPART_SIBL
(5,15),(5,16),0.0106929 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0415221 # DEPENDENCYPART_SIBL
(5,15),(5,20),0.0337046 # DEPENDENCYPART_SIBL
(5,15),(5,22),0.0104422 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0616869 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0531843 # DEPENDENCYPART_SIBL
(5,16),(5,22),-0.0116159 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0427582 # DEPENDENCYPART_SIBL
(5,17),(5,22),-0.00365591 # DEPENDENCYPART_SIBL
(5,20),(5,22),0.0119396 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0109345 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0264119 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0534707 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0376498 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0679555 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0108766 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.119181 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0282656 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.101412 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0155296 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.00230602 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.00926496 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0061555 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.046471 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0216536 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0626041 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.00674254 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0450418 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.00188138 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0665814 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0535564 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0316101 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.000158349 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.243094 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.11602 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.117923 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0617701 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0721517 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.113144 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0420503 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0146786 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.031597 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.010405 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0477785 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.000412678 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.031348 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0784629 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0595644 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.061468 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0220318 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.0373324 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.0140787 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.020998 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0671456 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0189634 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.273706 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0446706 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0247419 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.122896 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.109579 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.110139 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.107008 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0140081 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.0120837 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0109345 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0369461 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0527014 # DEPENDENCYPART_SIBL
