# _root_ Guber-Peters 's net income in the latest quarter compared with a net loss of $ 6.9 million , or 62 cents a share , in the year-earlier period .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,14,15,15,15,15,21,19,23,21,15,13,28,28,25,9,
(13,24),-1.14769 # DEPENDENCYPART_ARC
(13,25),-1.75482 # DEPENDENCYPART_ARC
(13,28),-2.78168 # DEPENDENCYPART_ARC
(13,29),-2.42514 # DEPENDENCYPART_ARC
(14,15),0.728393 # DEPENDENCYPART_ARC
(14,16),-1.19084 # DEPENDENCYPART_ARC
(14,17),-1.59728 # DEPENDENCYPART_ARC
(14,18),-1.40252 # DEPENDENCYPART_ARC
(14,21),-1.22239 # DEPENDENCYPART_ARC
(14,23),-1.6435 # DEPENDENCYPART_ARC
(14,25),-1.80917 # DEPENDENCYPART_ARC
(15,1),-2.93398 # DEPENDENCYPART_ARC
(15,5),-2.57235 # DEPENDENCYPART_ARC
(15,14),-0.279291 # DEPENDENCYPART_ARC
(15,16),1.72598 # DEPENDENCYPART_ARC
(15,17),1.16107 # DEPENDENCYPART_ARC
(15,18),-0.318844 # DEPENDENCYPART_ARC
(15,19),-0.787534 # DEPENDENCYPART_ARC
(15,20),-1.48973 # DEPENDENCYPART_ARC
(15,21),-2.09565 # DEPENDENCYPART_ARC
(15,23),-1.97794 # DEPENDENCYPART_ARC
(15,24),-1.20632 # DEPENDENCYPART_ARC
(15,25),-2.16033 # DEPENDENCYPART_ARC
(15,28),-2.71476 # DEPENDENCYPART_ARC
(15,29),-2.30901 # DEPENDENCYPART_ARC
(16,17),-1.17718 # DEPENDENCYPART_ARC
(16,19),-1.46535 # DEPENDENCYPART_ARC
(17,7),-2.27496 # DEPENDENCYPART_ARC
(17,16),-0.069531 # DEPENDENCYPART_ARC
(17,18),-1.3719 # DEPENDENCYPART_ARC
(17,19),-1.14726 # DEPENDENCYPART_ARC
(17,21),-2.5371 # DEPENDENCYPART_ARC
(19,20),-0.263585 # DEPENDENCYPART_ARC
(19,21),0.452368 # DEPENDENCYPART_ARC
(19,23),-1.00429 # DEPENDENCYPART_ARC
(19,25),-1.99517 # DEPENDENCYPART_ARC
(19,28),-2.07433 # DEPENDENCYPART_ARC
(20,17),-1.6416 # DEPENDENCYPART_ARC
(20,19),-1.00045 # DEPENDENCYPART_ARC
(20,21),-1.43824 # DEPENDENCYPART_ARC
(20,23),-2.02014 # DEPENDENCYPART_ARC
(21,17),-1.78628 # DEPENDENCYPART_ARC
(21,18),-1.86577 # DEPENDENCYPART_ARC
(21,20),1.17371 # DEPENDENCYPART_ARC
(21,22),-1.02932 # DEPENDENCYPART_ARC
(21,23),-0.256254 # DEPENDENCYPART_ARC
(21,24),-1.18325 # DEPENDENCYPART_ARC
(21,25),-1.12203 # DEPENDENCYPART_ARC
(21,28),-2.01173 # DEPENDENCYPART_ARC
(21,29),-1.77608 # DEPENDENCYPART_ARC
(22,25),-1.74896 # DEPENDENCYPART_ARC
(23,20),-1.64765 # DEPENDENCYPART_ARC
(23,21),-0.966654 # DEPENDENCYPART_ARC
(23,22),1.9914 # DEPENDENCYPART_ARC
(23,24),-1.45475 # DEPENDENCYPART_ARC
(23,25),-1.39655 # DEPENDENCYPART_ARC
(23,28),-2.24897 # DEPENDENCYPART_ARC
(25,23),-2.67365 # DEPENDENCYPART_ARC
(25,24),-1.59527 # DEPENDENCYPART_ARC
(25,26),-1.28327 # DEPENDENCYPART_ARC
(25,27),-0.788502 # DEPENDENCYPART_ARC
(25,28),0.917242 # DEPENDENCYPART_ARC
(25,29),-2.29233 # DEPENDENCYPART_ARC
(27,26),-0.759307 # DEPENDENCYPART_ARC
(28,21),-2.05823 # DEPENDENCYPART_ARC
(28,22),-2.02592 # DEPENDENCYPART_ARC
(28,23),-1.86468 # DEPENDENCYPART_ARC
(28,24),-1.67177 # DEPENDENCYPART_ARC
(28,26),1.27925 # DEPENDENCYPART_ARC
(28,27),1.61331 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0732783 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.0377815 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.185685 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0227416 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0736297 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.191393 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.114277 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.188788 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0129529 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.256575 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.00180578 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0695548 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.256564 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0935845 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.256761 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.121549 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.00856679 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0593096 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.133969 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0633357 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.134218 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.120089 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.105479 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.252204 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.00740789 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.259323 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.1158 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.149486 # DEPENDENCYPART_SIBL
(0,5),(0,9),0.0117397 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0997846 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.144343 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0809337 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.144577 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0137226 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.268791 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.261211 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0368653 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.235124 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0391009 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.134373 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.227516 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.115712 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.117636 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.210367 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.0678481 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.237511 # DEPENDENCYPART_SIBL
(1,2),(1,19),0.00454506 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.20011 # DEPENDENCYPART_SIBL
(1,2),(1,24),-0.237511 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.16941 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.000717823 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0872695 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0141912 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.00553999 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0407085 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0483011 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.011557 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0970383 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0994652 # DEPENDENCYPART_SIBL
(1,3),(1,19),0.0506379 # DEPENDENCYPART_SIBL
(1,3),(1,23),-0.0186221 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0994652 # DEPENDENCYPART_SIBL
(1,3),(1,29),0.0516725 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0848705 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0872626 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.107418 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0536481 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0463758 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.0981976 # DEPENDENCYPART_SIBL
(1,4),(1,14),-0.0483454 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0758031 # DEPENDENCYPART_SIBL
(1,4),(1,19),-0.0042512 # DEPENDENCYPART_SIBL
(1,4),(1,23),-0.13835 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.0758031 # DEPENDENCYPART_SIBL
(1,4),(1,29),0.0344941 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0120591 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0385259 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.162023 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.000272216 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.113032 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.0697842 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0407403 # DEPENDENCYPART_SIBL
(1,5),(1,19),0.110678 # DEPENDENCYPART_SIBL
(1,5),(1,23),0.0260222 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.0407403 # DEPENDENCYPART_SIBL
(1,5),(1,29),0.0310151 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0459739 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0342965 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.0254203 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0288613 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0215969 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.0413565 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.034254 # DEPENDENCYPART_SIBL
(1,7),(1,23),-0.0599547 # DEPENDENCYPART_SIBL
(1,7),(1,24),0.0413565 # DEPENDENCYPART_SIBL
(1,7),(1,29),0.0124057 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.033672 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0525469 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.106412 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0458297 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.0337589 # DEPENDENCYPART_SIBL
(1,8),(1,19),0.0156822 # DEPENDENCYPART_SIBL
(1,8),(1,23),-0.145265 # DEPENDENCYPART_SIBL
(1,8),(1,24),-0.0337589 # DEPENDENCYPART_SIBL
(1,8),(1,29),0.0297019 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.125591 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.109239 # DEPENDENCYPART_SIBL
(1,9),(1,14),-0.131918 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.190812 # DEPENDENCYPART_SIBL
(1,9),(1,19),0.044967 # DEPENDENCYPART_SIBL
(1,9),(1,23),-0.131856 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.190812 # DEPENDENCYPART_SIBL
(1,9),(1,29),0.100139 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0681484 # DEPENDENCYPART_SIBL
(1,10),(1,14),-0.0739546 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0470365 # DEPENDENCYPART_SIBL
(1,10),(1,19),0.0119479 # DEPENDENCYPART_SIBL
(1,10),(1,23),-0.0193208 # DEPENDENCYPART_SIBL
(1,10),(1,24),0.0470365 # DEPENDENCYPART_SIBL
(1,10),(1,29),0.101592 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.00860299 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.0122271 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.00187234 # DEPENDENCYPART_SIBL
(1,13),(1,23),-0.135861 # DEPENDENCYPART_SIBL
(1,13),(1,24),0.0122271 # DEPENDENCYPART_SIBL
(1,13),(1,29),0.0254958 # DEPENDENCYPART_SIBL
(1,14),(1,18),-0.0183765 # DEPENDENCYPART_SIBL
(1,14),(1,19),-0.0737011 # DEPENDENCYPART_SIBL
(1,14),(1,23),-0.0391475 # DEPENDENCYPART_SIBL
(1,14),(1,24),-0.0183765 # DEPENDENCYPART_SIBL
(1,14),(1,29),-0.027459 # DEPENDENCYPART_SIBL
(1,18),(1,19),1.05549 # DEPENDENCYPART_SIBL
(1,18),(1,23),0.371853 # DEPENDENCYPART_SIBL
(1,18),(1,24),0.0806735 # DEPENDENCYPART_SIBL
(1,18),(1,29),0.015114 # DEPENDENCYPART_SIBL
(1,19),(1,23),-0.0280682 # DEPENDENCYPART_SIBL
(1,19),(1,24),0.119137 # DEPENDENCYPART_SIBL
(1,19),(1,29),-0.171957 # DEPENDENCYPART_SIBL
(1,23),(1,24),0.0565412 # DEPENDENCYPART_SIBL
(1,23),(1,29),0.0391855 # DEPENDENCYPART_SIBL
(1,24),(1,29),0.015114 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00327585 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.00678331 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0245083 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.032939 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0153977 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0439762 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.12635 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0395168 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00489463 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0812784 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0298753 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0647829 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.249719 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0180666 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0367306 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0567729 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0883566 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0284587 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0224972 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0974423 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0330316 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0537716 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.014724 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0555174 # DEPENDENCYPART_SIBL
(4,1),(4,19),-0.0335142 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.0350021 # DEPENDENCYPART_SIBL
(4,1),(4,24),-0.0555174 # DEPENDENCYPART_SIBL
(4,1),(4,25),-0.0567729 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.0330893 # DEPENDENCYPART_SIBL
(4,1),(4,29),0.0625511 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.265271 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0591101 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0543215 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00929342 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0239075 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0589509 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.118151 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0389997 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0350381 # DEPENDENCYPART_SIBL
(4,2),(4,18),-0.0111295 # DEPENDENCYPART_SIBL
(4,2),(4,19),-0.00301123 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.00609147 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0111295 # DEPENDENCYPART_SIBL
(4,2),(4,25),-0.0591101 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.026467 # DEPENDENCYPART_SIBL
(4,2),(4,29),0.189105 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.137423 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0371035 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.071211 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.148631 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0053188 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.117584 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.107231 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.344871 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.123214 # DEPENDENCYPART_SIBL
(4,3),(4,19),-0.0239636 # DEPENDENCYPART_SIBL
(4,3),(4,23),0.166597 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.123214 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.137423 # DEPENDENCYPART_SIBL
(4,3),(4,28),0.133142 # DEPENDENCYPART_SIBL
(4,3),(4,29),0.0578956 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0324949 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.117058 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.14321 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.251325 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.061543 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.211978 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.102214 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.148747 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.134282 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.201073 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.148747 # DEPENDENCYPART_SIBL
(4,5),(4,25),-0.011359 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.197365 # DEPENDENCYPART_SIBL
(4,5),(4,29),0.0303787 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0486095 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0764076 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0706141 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.110971 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0827447 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0771465 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.0831914 # DEPENDENCYPART_SIBL
(4,6),(4,19),-0.0881374 # DEPENDENCYPART_SIBL
(4,6),(4,23),-0.0519186 # DEPENDENCYPART_SIBL
(4,6),(4,24),-0.0831914 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.123056 # DEPENDENCYPART_SIBL
(4,6),(4,28),-0.0712426 # DEPENDENCYPART_SIBL
(4,6),(4,29),-0.216275 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00744326 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0209778 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0147094 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0113791 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0526318 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.14312 # DEPENDENCYPART_SIBL
(4,7),(4,19),-0.0222305 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.0189253 # DEPENDENCYPART_SIBL
(4,7),(4,24),0.14312 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.0828602 # DEPENDENCYPART_SIBL
(4,7),(4,28),-0.00241775 # DEPENDENCYPART_SIBL
