# _root_ Sales climbed to an estimated $ 245 million in fiscal 1989 , ended Aug. 31 , from $ 99.9 million in fiscal 1985 .
#goldHeads=2,0,2,6,6,3,6,6,3,11,9,11,11,13,14,11,2,17,18,18,17,23,21,2,
#predictedHeads=2,0,2,6,6,3,6,6,6,11,9,2,11,13,14,6,2,17,18,18,18,23,21,2,
(3,15),-2.33407 # DEPENDENCYPART_ARC
(3,16),-1.22409 # DEPENDENCYPART_ARC
(3,17),-1.75392 # DEPENDENCYPART_ARC
(3,18),-2.74023 # DEPENDENCYPART_ARC
(3,21),-2.0406 # DEPENDENCYPART_ARC
(3,23),-2.60874 # DEPENDENCYPART_ARC
(4,5),-0.920435 # DEPENDENCYPART_ARC
(4,6),-2.10443 # DEPENDENCYPART_ARC
(5,1),-1.73873 # DEPENDENCYPART_ARC
(5,2),-1.63977 # DEPENDENCYPART_ARC
(5,3),-1.54736 # DEPENDENCYPART_ARC
(5,4),-1.3915 # DEPENDENCYPART_ARC
(5,6),-0.620273 # DEPENDENCYPART_ARC
(5,7),-1.37321 # DEPENDENCYPART_ARC
(5,8),-1.86575 # DEPENDENCYPART_ARC
(5,9),-0.508115 # DEPENDENCYPART_ARC
(5,10),-1.70937 # DEPENDENCYPART_ARC
(5,11),-2.53743 # DEPENDENCYPART_ARC
(5,12),-0.7908 # DEPENDENCYPART_ARC
(5,13),-1.71097 # DEPENDENCYPART_ARC
(5,14),-2.17532 # DEPENDENCYPART_ARC
(5,16),-0.797203 # DEPENDENCYPART_ARC
(5,17),-1.7893 # DEPENDENCYPART_ARC
(5,18),-2.86721 # DEPENDENCYPART_ARC
(5,21),-1.937 # DEPENDENCYPART_ARC
(5,24),-0.340328 # DEPENDENCYPART_ARC
(6,1),-1.61958 # DEPENDENCYPART_ARC
(6,2),-1.50485 # DEPENDENCYPART_ARC
(6,3),-1.16371 # DEPENDENCYPART_ARC
(6,4),-0.0152982 # DEPENDENCYPART_ARC
(6,5),0.19211 # DEPENDENCYPART_ARC
(6,7),2.10156 # DEPENDENCYPART_ARC
(6,8),1.63291 # DEPENDENCYPART_ARC
(6,9),-0.0633457 # DEPENDENCYPART_ARC
(6,10),-0.643485 # DEPENDENCYPART_ARC
(6,11),-1.25755 # DEPENDENCYPART_ARC
(6,12),-0.83059 # DEPENDENCYPART_ARC
(6,13),-1.54706 # DEPENDENCYPART_ARC
(6,14),-2.34777 # DEPENDENCYPART_ARC
(6,15),-2.7094 # DEPENDENCYPART_ARC
(6,16),-1.06253 # DEPENDENCYPART_ARC
(6,17),-2.04231 # DEPENDENCYPART_ARC
(6,18),-2.45062 # DEPENDENCYPART_ARC
(6,20),-3.05974 # DEPENDENCYPART_ARC
(6,21),-2.016 # DEPENDENCYPART_ARC
(6,22),-2.40878 # DEPENDENCYPART_ARC
(6,24),-2.19621 # DEPENDENCYPART_ARC
(7,4),-2.31679 # DEPENDENCYPART_ARC
(7,5),-2.23638 # DEPENDENCYPART_ARC
(7,8),-1.20008 # DEPENDENCYPART_ARC
(7,9),-1.66109 # DEPENDENCYPART_ARC
(8,4),-1.71091 # DEPENDENCYPART_ARC
(8,5),-1.70493 # DEPENDENCYPART_ARC
(8,7),-0.116324 # DEPENDENCYPART_ARC
(8,9),-1.20559 # DEPENDENCYPART_ARC
(8,10),-1.84242 # DEPENDENCYPART_ARC
(8,11),-2.47355 # DEPENDENCYPART_ARC
(9,4),-2.69633 # DEPENDENCYPART_ARC
(9,5),-2.52238 # DEPENDENCYPART_ARC
(9,6),-1.62571 # DEPENDENCYPART_ARC
(9,8),-1.82869 # DEPENDENCYPART_ARC
(9,10),-0.542445 # DEPENDENCYPART_ARC
(9,11),0.151 # DEPENDENCYPART_ARC
(9,12),-1.48867 # DEPENDENCYPART_ARC
(9,13),-1.74012 # DEPENDENCYPART_ARC
(9,14),-1.78969 # DEPENDENCYPART_ARC
(9,15),-2.17084 # DEPENDENCYPART_ARC
(9,16),-1.74114 # DEPENDENCYPART_ARC
(9,17),-2.37076 # DEPENDENCYPART_ARC
(9,18),-2.94941 # DEPENDENCYPART_ARC
(9,23),-2.76205 # DEPENDENCYPART_ARC
(10,9),-1.70273 # DEPENDENCYPART_ARC
(10,11),-0.881584 # DEPENDENCYPART_ARC
(10,12),-1.71169 # DEPENDENCYPART_ARC
(10,13),-1.71525 # DEPENDENCYPART_ARC
(10,14),-2.22826 # DEPENDENCYPART_ARC
(10,15),-2.50235 # DEPENDENCYPART_ARC
(10,16),-1.76 # DEPENDENCYPART_ARC
(10,17),-2.26567 # DEPENDENCYPART_ARC
(11,4),-1.84801 # DEPENDENCYPART_ARC
(11,5),-1.93815 # DEPENDENCYPART_ARC
(11,6),-1.98881 # DEPENDENCYPART_ARC
(11,8),-1.43159 # DEPENDENCYPART_ARC
(11,9),-1.04559 # DEPENDENCYPART_ARC
(11,10),0.218139 # DEPENDENCYPART_ARC
(11,12),-1.27674 # DEPENDENCYPART_ARC
(11,13),-1.37259 # DEPENDENCYPART_ARC
(11,14),-2.24455 # DEPENDENCYPART_ARC
(11,15),-2.38582 # DEPENDENCYPART_ARC
(11,18),-2.65615 # DEPENDENCYPART_ARC
(12,13),-1.72025 # DEPENDENCYPART_ARC
(13,2),-2.45934 # DEPENDENCYPART_ARC
(13,6),-2.81474 # DEPENDENCYPART_ARC
(13,9),-2.01485 # DEPENDENCYPART_ARC
(13,10),-2.00181 # DEPENDENCYPART_ARC
(13,11),-2.35344 # DEPENDENCYPART_ARC
(13,12),-1.68883 # DEPENDENCYPART_ARC
(13,14),0.38984 # DEPENDENCYPART_ARC
(13,15),-1.10929 # DEPENDENCYPART_ARC
(13,16),-0.799784 # DEPENDENCYPART_ARC
(13,17),-0.947858 # DEPENDENCYPART_ARC
(13,18),-1.60633 # DEPENDENCYPART_ARC
(13,21),-1.34674 # DEPENDENCYPART_ARC
(13,22),-2.03151 # DEPENDENCYPART_ARC
(13,24),-0.511088 # DEPENDENCYPART_ARC
(14,6),-3.27164 # DEPENDENCYPART_ARC
(14,10),-2.31917 # DEPENDENCYPART_ARC
(14,11),-2.2644 # DEPENDENCYPART_ARC
(14,12),-1.96848 # DEPENDENCYPART_ARC
(14,13),-1.3319 # DEPENDENCYPART_ARC
(14,15),1.00397 # DEPENDENCYPART_ARC
(14,16),-1.04785 # DEPENDENCYPART_ARC
(14,17),-1.52425 # DEPENDENCYPART_ARC
(14,18),-1.95917 # DEPENDENCYPART_ARC
(14,20),-2.59966 # DEPENDENCYPART_ARC
(14,21),-1.90269 # DEPENDENCYPART_ARC
(14,22),-2.15163 # DEPENDENCYPART_ARC
(14,23),-2.8439 # DEPENDENCYPART_ARC
(14,24),-1.3376 # DEPENDENCYPART_ARC
(15,10),-2.10131 # DEPENDENCYPART_ARC
(15,11),-2.02858 # DEPENDENCYPART_ARC
(15,14),-1.34065 # DEPENDENCYPART_ARC
(15,16),-1.38134 # DEPENDENCYPART_ARC
(15,17),-1.99176 # DEPENDENCYPART_ARC
(15,18),-2.10909 # DEPENDENCYPART_ARC
(17,16),-1.82972 # DEPENDENCYPART_ARC
(17,18),0.792754 # DEPENDENCYPART_ARC
(17,19),-0.967933 # DEPENDENCYPART_ARC
(17,20),-1.59609 # DEPENDENCYPART_ARC
(17,21),-0.546208 # DEPENDENCYPART_ARC
(17,22),-1.7809 # DEPENDENCYPART_ARC
(17,23),-2.34232 # DEPENDENCYPART_ARC
(17,24),-2.29362 # DEPENDENCYPART_ARC
(18,4),-2.8523 # DEPENDENCYPART_ARC
(18,6),-2.98299 # DEPENDENCYPART_ARC
(18,13),-2.60369 # DEPENDENCYPART_ARC
(18,14),-2.70497 # DEPENDENCYPART_ARC
(18,15),-2.355 # DEPENDENCYPART_ARC
(18,17),-0.536819 # DEPENDENCYPART_ARC
(18,19),1.72633 # DEPENDENCYPART_ARC
(18,20),1.32379 # DEPENDENCYPART_ARC
(18,21),-0.198944 # DEPENDENCYPART_ARC
(18,22),-0.88074 # DEPENDENCYPART_ARC
(18,23),-1.73425 # DEPENDENCYPART_ARC
(18,24),-1.74419 # DEPENDENCYPART_ARC
(19,20),-1.18335 # DEPENDENCYPART_ARC
(19,22),-2.07389 # DEPENDENCYPART_ARC
(19,23),-2.605 # DEPENDENCYPART_ARC
(20,15),-2.06598 # DEPENDENCYPART_ARC
(20,19),-0.158501 # DEPENDENCYPART_ARC
(20,21),-1.20377 # DEPENDENCYPART_ARC
(20,22),-1.8406 # DEPENDENCYPART_ARC
(20,23),-2.49333 # DEPENDENCYPART_ARC
(21,18),-1.60843 # DEPENDENCYPART_ARC
(21,20),-1.82869 # DEPENDENCYPART_ARC
(21,22),-0.542445 # DEPENDENCYPART_ARC
(21,23),-0.0736639 # DEPENDENCYPART_ARC
(21,24),-2.38416 # DEPENDENCYPART_ARC
(22,23),-0.781221 # DEPENDENCYPART_ARC
(23,15),-2.52262 # DEPENDENCYPART_ARC
(23,20),-1.49201 # DEPENDENCYPART_ARC
(23,21),-1.02904 # DEPENDENCYPART_ARC
(23,22),0.238097 # DEPENDENCYPART_ARC
(23,24),-1.70845 # DEPENDENCYPART_ARC
(24,23),-2.33409 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.771064 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.12786 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.606364 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0117585 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00614277 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0705115 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00564685 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.00607277 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.179755 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.0649117 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0560253 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0588842 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.106388 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.176063 # DEPENDENCYPART_SIBL
(1,3),(1,12),0.00118571 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.196025 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.104765 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.082144 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0907125 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0732221 # DEPENDENCYPART_SIBL
(1,4),(1,24),-0.11035 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0185464 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0751736 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.159162 # DEPENDENCYPART_SIBL
(1,5),(1,24),0.00599924 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.159501 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.0635891 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.108532 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0721134 # DEPENDENCYPART_SIBL
(1,9),(1,24),-0.0190947 # DEPENDENCYPART_SIBL
(1,12),(1,24),0.00332544 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0529158 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00182033 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.037599 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0192484 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.198255 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0411654 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0426128 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0902885 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0279061 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0108579 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0902885 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.126525 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.198255 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0411654 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0704921 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0979101 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.02467 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.126159 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0655765 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.178047 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0150084 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0956844 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0381313 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0908874 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0956844 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.416543 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0655765 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.178047 # DEPENDENCYPART_SIBL
(2,3),(2,24),0.0966198 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.041925 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0919473 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.103758 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0930333 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.110653 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0383565 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0612209 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.0966372 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0383565 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.0876581 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.103758 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0930333 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.105821 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.280187 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.320116 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.372873 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.282294 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.110912 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.575291 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.301992 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.110912 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.418203 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.320116 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.372873 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.058603 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0207904 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0762915 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0102847 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.056752 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.175316 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.0352745 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.056752 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.125224 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0207904 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0762915 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.0166402 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0855728 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0799427 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0960894 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0695006 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0411575 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0960894 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.29787 # DEPENDENCYPART_SIBL
(2,9),(2,21),-0.213142 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0855728 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.000229343 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.189544 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0916677 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0885783 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0879807 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0916677 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.238683 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0328775 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.251676 # DEPENDENCYPART_SIBL
(2,10),(2,24),-0.0376616 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0758668 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0983757 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0265544 # DEPENDENCYPART_SIBL
(2,11),(2,16),0.0758668 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.0965958 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.0110784 # DEPENDENCYPART_SIBL
(2,11),(2,22),-0.114262 # DEPENDENCYPART_SIBL
(2,11),(2,24),0.0604155 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.35977 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.065533 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.13105 # DEPENDENCYPART_SIBL
(2,12),(2,17),0.00936573 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0525077 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.149268 # DEPENDENCYPART_SIBL
(2,12),(2,24),0.094669 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.275198 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0888736 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.389713 # DEPENDENCYPART_SIBL
(2,13),(2,21),-0.289683 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.340103 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.00964194 # DEPENDENCYPART_SIBL
(2,14),(2,16),0.0335539 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0531896 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.000909924 # DEPENDENCYPART_SIBL
(2,14),(2,22),-0.0219719 # DEPENDENCYPART_SIBL
(2,14),(2,24),0.0974826 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.00936573 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.0525077 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.149268 # DEPENDENCYPART_SIBL
(2,16),(2,24),0.094669 # DEPENDENCYPART_SIBL
(2,17),(2,21),-0.156166 # DEPENDENCYPART_SIBL
(2,17),(2,22),-0.106023 # DEPENDENCYPART_SIBL
(2,17),(2,24),0.0401871 # DEPENDENCYPART_SIBL
(2,21),(2,22),-0.0855728 # DEPENDENCYPART_SIBL
(2,21),(2,24),0.000229343 # DEPENDENCYPART_SIBL
(2,22),(2,24),-0.0376616 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0411546 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0392471 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.108619 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.00574668 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0344974 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.04866 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0245818 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.033325 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0333219 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.128066 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.0183108 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.033325 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0264857 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.108619 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0344974 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0183334 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0427294 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.242148 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.120398 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0210528 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.109419 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.122791 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0258773 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0163808 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.254982 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.122769 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0258773 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0482672 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.242148 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.0210528 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.122769 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.243238 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.159297 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0189813 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.197302 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.146814 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.101445 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.307132 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.298863 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.145942 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.101445 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0284491 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.243238 # DEPENDENCYPART_SIBL
(3,5),(3,21),-0.0189813 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.145624 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0850693 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.196167 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.165236 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0534813 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0258412 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.116946 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.26693 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0484184 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0258412 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.126791 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.44888 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.196167 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0484199 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.125607 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.280932 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.220516 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.116558 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.167563 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.329733 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.283265 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.116558 # DEPENDENCYPART_SIBL
(3,8),(3,17),0.00693285 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.261058 # DEPENDENCYPART_SIBL
(3,8),(3,21),0.125607 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.285799 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.217822 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.202643 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0948739 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.129911 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.273963 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.197394 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.0948739 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.147618 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.365767 # DEPENDENCYPART_SIBL
(3,9),(3,21),-0.16261 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.211886 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.2442 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0683345 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0901385 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.307126 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.243804 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0683345 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0562875 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.307943 # DEPENDENCYPART_SIBL
(3,10),(3,21),0.088256 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.243738 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.147711 # DEPENDENCYPART_SIBL
(3,11),(3,13),-0.196794 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.390091 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.304515 # DEPENDENCYPART_SIBL
