# _root_ NCNB Texas National , formed from the remnants of of the failed First RepublicBank Corp. of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .
#goldHeads=3,3,19,3,3,5,8,6,8,8,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
#predictedHeads=3,3,19,3,3,5,8,6,8,9,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
(9,4),-2.58339 # DEPENDENCYPART_ARC
(9,7),-2.19669 # DEPENDENCYPART_ARC
(9,8),-1.61818 # DEPENDENCYPART_ARC
(9,10),0.888901 # DEPENDENCYPART_ARC
(9,11),-1.50113 # DEPENDENCYPART_ARC
(9,12),-1.11798 # DEPENDENCYPART_ARC
(9,13),-1.47073 # DEPENDENCYPART_ARC
(9,14),-1.48942 # DEPENDENCYPART_ARC
(9,15),-2.07241 # DEPENDENCYPART_ARC
(9,17),-1.72554 # DEPENDENCYPART_ARC
(9,19),-1.40712 # DEPENDENCYPART_ARC
(9,20),-2.37863 # DEPENDENCYPART_ARC
(9,27),-1.17854 # DEPENDENCYPART_ARC
(10,9),-1.42842 # DEPENDENCYPART_ARC
(10,11),-1.33977 # DEPENDENCYPART_ARC
(10,12),-0.923806 # DEPENDENCYPART_ARC
(10,13),-1.6179 # DEPENDENCYPART_ARC
(10,14),-1.73908 # DEPENDENCYPART_ARC
(10,15),-1.90167 # DEPENDENCYPART_ARC
(10,17),-1.79015 # DEPENDENCYPART_ARC
(10,27),-1.49923 # DEPENDENCYPART_ARC
(11,10),-1.71173 # DEPENDENCYPART_ARC
(11,12),-1.45087 # DEPENDENCYPART_ARC
(12,2),-2.47806 # DEPENDENCYPART_ARC
(12,3),-2.54164 # DEPENDENCYPART_ARC
(12,4),-2.35278 # DEPENDENCYPART_ARC
(12,8),-1.52506 # DEPENDENCYPART_ARC
(12,9),-1.48724 # DEPENDENCYPART_ARC
(12,10),-1.83535 # DEPENDENCYPART_ARC
(12,11),-1.42478 # DEPENDENCYPART_ARC
(12,13),-0.692654 # DEPENDENCYPART_ARC
(12,14),-1.23381 # DEPENDENCYPART_ARC
(12,15),-1.2705 # DEPENDENCYPART_ARC
(12,16),-1.19799 # DEPENDENCYPART_ARC
(12,17),-1.59682 # DEPENDENCYPART_ARC
(12,18),-1.18542 # DEPENDENCYPART_ARC
(12,19),-1.72792 # DEPENDENCYPART_ARC
(12,23),-1.9352 # DEPENDENCYPART_ARC
(12,28),-2.08454 # DEPENDENCYPART_ARC
(12,32),-2.43858 # DEPENDENCYPART_ARC
(13,11),-1.43109 # DEPENDENCYPART_ARC
(13,12),-1.67293 # DEPENDENCYPART_ARC
(13,15),-1.75545 # DEPENDENCYPART_ARC
(13,16),-1.74859 # DEPENDENCYPART_ARC
(13,17),-3.04605 # DEPENDENCYPART_ARC
(14,4),-3.43694 # DEPENDENCYPART_ARC
(14,5),-2.99064 # DEPENDENCYPART_ARC
(14,10),-1.88343 # DEPENDENCYPART_ARC
(14,11),-0.717127 # DEPENDENCYPART_ARC
(14,12),-0.909832 # DEPENDENCYPART_ARC
(14,13),0.739351 # DEPENDENCYPART_ARC
(14,15),1.07307 # DEPENDENCYPART_ARC
(14,16),0.0363364 # DEPENDENCYPART_ARC
(14,17),-1.37403 # DEPENDENCYPART_ARC
(14,18),-0.412951 # DEPENDENCYPART_ARC
(14,19),-1.4885 # DEPENDENCYPART_ARC
(14,20),-2.25132 # DEPENDENCYPART_ARC
(14,24),-3.4447 # DEPENDENCYPART_ARC
(14,25),-3.02714 # DEPENDENCYPART_ARC
(14,27),-3.004 # DEPENDENCYPART_ARC
(14,28),-2.56727 # DEPENDENCYPART_ARC
(14,32),-2.18521 # DEPENDENCYPART_ARC
(15,5),-3.62355 # DEPENDENCYPART_ARC
(15,11),-1.36786 # DEPENDENCYPART_ARC
(15,12),-2.06862 # DEPENDENCYPART_ARC
(15,13),-0.850771 # DEPENDENCYPART_ARC
(15,14),-0.70253 # DEPENDENCYPART_ARC
(15,16),-0.163326 # DEPENDENCYPART_ARC
(15,17),-1.51395 # DEPENDENCYPART_ARC
(15,18),-1.34268 # DEPENDENCYPART_ARC
(15,19),-1.9464 # DEPENDENCYPART_ARC
(15,20),-2.56955 # DEPENDENCYPART_ARC
(15,25),-2.33938 # DEPENDENCYPART_ARC
(15,32),-3.61651 # DEPENDENCYPART_ARC
(16,17),1.80343 # DEPENDENCYPART_ARC
(16,19),-0.703106 # DEPENDENCYPART_ARC
(16,20),-1.82665 # DEPENDENCYPART_ARC
(16,27),-1.71047 # DEPENDENCYPART_ARC
(17,11),-2.63432 # DEPENDENCYPART_ARC
(17,13),-1.52568 # DEPENDENCYPART_ARC
(17,14),-1.47825 # DEPENDENCYPART_ARC
(17,15),-1.19391 # DEPENDENCYPART_ARC
(17,18),-1.32597 # DEPENDENCYPART_ARC
(17,19),-2.08959 # DEPENDENCYPART_ARC
(17,20),-2.67464 # DEPENDENCYPART_ARC
(17,25),-2.87297 # DEPENDENCYPART_ARC
(19,1),-1.70322 # DEPENDENCYPART_ARC
(19,2),-1.90565 # DEPENDENCYPART_ARC
(19,3),-1.69365 # DEPENDENCYPART_ARC
(19,4),-1.35546 # DEPENDENCYPART_ARC
(19,5),-1.9321 # DEPENDENCYPART_ARC
(19,6),-2.11269 # DEPENDENCYPART_ARC
(19,8),-0.633496 # DEPENDENCYPART_ARC
(19,9),-2.2732 # DEPENDENCYPART_ARC
(19,10),-2.09506 # DEPENDENCYPART_ARC
(19,11),-2.71853 # DEPENDENCYPART_ARC
(19,12),-2.00456 # DEPENDENCYPART_ARC
(19,13),-1.63563 # DEPENDENCYPART_ARC
(19,14),-1.64052 # DEPENDENCYPART_ARC
(19,15),-1.53097 # DEPENDENCYPART_ARC
(19,16),-1.60651 # DEPENDENCYPART_ARC
(19,17),-1.0056 # DEPENDENCYPART_ARC
(19,18),-0.897761 # DEPENDENCYPART_ARC
(19,20),0.968475 # DEPENDENCYPART_ARC
(19,21),-0.609788 # DEPENDENCYPART_ARC
(19,22),-1.18721 # DEPENDENCYPART_ARC
(19,23),0.586572 # DEPENDENCYPART_ARC
(19,24),-0.741657 # DEPENDENCYPART_ARC
(19,25),-1.5695 # DEPENDENCYPART_ARC
(19,26),-1.53608 # DEPENDENCYPART_ARC
(19,27),-0.876013 # DEPENDENCYPART_ARC
(19,28),0.0483679 # DEPENDENCYPART_ARC
(19,31),-1.3888 # DEPENDENCYPART_ARC
(19,32),0.776978 # DEPENDENCYPART_ARC
(20,2),-3.38077 # DEPENDENCYPART_ARC
(20,3),-3.39976 # DEPENDENCYPART_ARC
(20,5),-2.83034 # DEPENDENCYPART_ARC
(20,9),-2.27311 # DEPENDENCYPART_ARC
(20,16),-1.46343 # DEPENDENCYPART_ARC
(20,17),-2.01337 # DEPENDENCYPART_ARC
(20,21),1.72739 # DEPENDENCYPART_ARC
(20,22),1.30723 # DEPENDENCYPART_ARC
(20,23),-0.76153 # DEPENDENCYPART_ARC
(20,24),-1.65415 # DEPENDENCYPART_ARC
(20,25),-1.65817 # DEPENDENCYPART_ARC
(20,26),-1.26203 # DEPENDENCYPART_ARC
(20,27),-1.919 # DEPENDENCYPART_ARC
(20,28),-1.63544 # DEPENDENCYPART_ARC
(20,30),-1.62236 # DEPENDENCYPART_ARC
(20,31),-2.47217 # DEPENDENCYPART_ARC
(20,32),-2.0282 # DEPENDENCYPART_ARC
(21,22),-1.18894 # DEPENDENCYPART_ARC
(21,23),-1.7377 # DEPENDENCYPART_ARC
(21,24),-2.30654 # DEPENDENCYPART_ARC
(22,16),-1.67293 # DEPENDENCYPART_ARC
(22,21),0.410812 # DEPENDENCYPART_ARC
(22,23),-1.26589 # DEPENDENCYPART_ARC
(22,24),-2.14948 # DEPENDENCYPART_ARC
(23,20),-2.05822 # DEPENDENCYPART_ARC
(23,22),-1.50398 # DEPENDENCYPART_ARC
(23,24),0.172409 # DEPENDENCYPART_ARC
(23,25),-1.06618 # DEPENDENCYPART_ARC
(23,26),-1.86954 # DEPENDENCYPART_ARC
(23,27),-0.369212 # DEPENDENCYPART_ARC
(23,28),-1.92445 # DEPENDENCYPART_ARC
(23,31),-1.61711 # DEPENDENCYPART_ARC
(24,14),-2.97961 # DEPENDENCYPART_ARC
(24,20),-1.74625 # DEPENDENCYPART_ARC
(24,22),-1.3359 # DEPENDENCYPART_ARC
(24,23),-1.35231 # DEPENDENCYPART_ARC
(24,25),2.14054 # DEPENDENCYPART_ARC
(24,26),-0.87109 # DEPENDENCYPART_ARC
(24,27),-1.39469 # DEPENDENCYPART_ARC
(24,28),-1.42329 # DEPENDENCYPART_ARC
(24,31),-2.40674 # DEPENDENCYPART_ARC
(26,24),-1.32931 # DEPENDENCYPART_ARC
(26,25),-1.47917 # DEPENDENCYPART_ARC
(26,28),-1.52327 # DEPENDENCYPART_ARC
(27,11),-2.5684 # DEPENDENCYPART_ARC
(27,13),-2.9796 # DEPENDENCYPART_ARC
(27,14),-2.87015 # DEPENDENCYPART_ARC
(27,17),-2.84758 # DEPENDENCYPART_ARC
(27,20),-1.04756 # DEPENDENCYPART_ARC
(27,22),-1.69061 # DEPENDENCYPART_ARC
(27,23),-2.2208 # DEPENDENCYPART_ARC
(27,24),0.274726 # DEPENDENCYPART_ARC
(27,25),-0.532735 # DEPENDENCYPART_ARC
(27,26),1.60328 # DEPENDENCYPART_ARC
(27,28),0.332174 # DEPENDENCYPART_ARC
(27,30),-1.425 # DEPENDENCYPART_ARC
(27,31),-1.17416 # DEPENDENCYPART_ARC
(28,27),-1.78775 # DEPENDENCYPART_ARC
(28,29),-1.2597 # DEPENDENCYPART_ARC
(28,30),-0.792617 # DEPENDENCYPART_ARC
(28,31),1.01437 # DEPENDENCYPART_ARC
(30,29),-0.464848 # DEPENDENCYPART_ARC
(31,20),-2.06744 # DEPENDENCYPART_ARC
(31,24),-1.73523 # DEPENDENCYPART_ARC
(31,26),-1.09232 # DEPENDENCYPART_ARC
(31,27),-1.78062 # DEPENDENCYPART_ARC
(31,29),1.34907 # DEPENDENCYPART_ARC
(31,30),1.66953 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.22738 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.136872 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.774208 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.136827 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.772132 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.715005 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0688362 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0537233 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0796161 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0537233 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00311736 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.093091 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.00311736 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.441728 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.0528544 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.189928 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0175425 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.230614 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0399082 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0670334 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0354433 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0255642 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0255642 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.264282 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0255642 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.230614 # DEPENDENCYPART_SIBL
(2,1),(2,32),0.0418601 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0343748 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.10238 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00824191 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.056503 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0100147 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0100147 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.250614 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0100147 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0343748 # DEPENDENCYPART_SIBL
(2,3),(2,32),-0.0155983 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.404839 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.175597 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.341548 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.308166 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.308166 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.264037 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.308166 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.00557154 # DEPENDENCYPART_SIBL
(2,4),(2,32),-0.0359211 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0973069 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0498816 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.096372 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.096372 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.123615 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.096372 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.177026 # DEPENDENCYPART_SIBL
(2,5),(2,32),0.0705809 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.037674 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0150786 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0150786 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.121148 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0150786 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0256527 # DEPENDENCYPART_SIBL
(2,6),(2,32),0.0519464 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0677659 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0677659 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.117101 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0677659 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.0194832 # DEPENDENCYPART_SIBL
(2,8),(2,32),0.0869877 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.358746 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0746632 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.358746 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.00957944 # DEPENDENCYPART_SIBL
(2,9),(2,32),-0.0240643 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0746632 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.358746 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.00957944 # DEPENDENCYPART_SIBL
(2,10),(2,32),-0.0240643 # DEPENDENCYPART_SIBL
(2,15),(2,16),0.102189 # DEPENDENCYPART_SIBL
(2,15),(2,18),0.0756524 # DEPENDENCYPART_SIBL
(2,15),(2,32),0.185769 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.00957944 # DEPENDENCYPART_SIBL
(2,16),(2,32),-0.0240643 # DEPENDENCYPART_SIBL
(2,18),(2,32),-0.0359211 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0922366 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.127715 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.039925 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0434526 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.037998 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0774901 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0774901 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.127715 # DEPENDENCYPART_SIBL
(3,1),(3,32),0.0435511 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.11784 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0461753 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0379236 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0308106 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0892677 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0892677 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.11784 # DEPENDENCYPART_SIBL
(3,2),(3,32),0.0295759 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.471957 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.255145 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.413009 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.406366 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.406366 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.167863 # DEPENDENCYPART_SIBL
(3,4),(3,32),0.0336216 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.090163 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0484421 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0765117 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0765117 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.246032 # DEPENDENCYPART_SIBL
(3,5),(3,32),0.0729604 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.0455668 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0112396 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0112396 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.113223 # DEPENDENCYPART_SIBL
(3,6),(3,32),0.0611928 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0479062 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0479062 # DEPENDENCYPART_SIBL
(3,8),(3,18),0.0884948 # DEPENDENCYPART_SIBL
(3,8),(3,32),0.0893601 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.323535 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0957946 # DEPENDENCYPART_SIBL
(3,9),(3,32),-0.00593092 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.0957946 # DEPENDENCYPART_SIBL
(3,10),(3,32),-0.00593092 # DEPENDENCYPART_SIBL
(3,18),(3,32),0.0336216 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0362091 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.103118 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0748805 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0627355 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.00314685 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00210201 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0447355 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0883539 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0883539 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0117563 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0217749 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0883539 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.00795669 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0198988 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0594549 # DEPENDENCYPART_SIBL
(5,1),(5,28),-0.0731385 # DEPENDENCYPART_SIBL
(5,1),(5,32),0.190127 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0432567 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0419026 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.00521883 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.00230249 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0397169 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0880256 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0880256 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0167755 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.048131 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.0880256 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0222938 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.0128519 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.0778612 # DEPENDENCYPART_SIBL
(5,2),(5,28),-0.0695604 # DEPENDENCYPART_SIBL
(5,2),(5,32),0.176537 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.10459 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0170492 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0027194 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0492131 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0389109 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0389109 # DEPENDENCYPART_SIBL
(5,3),(5,12),0.00218344 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0304399 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0389109 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.00785307 # DEPENDENCYPART_SIBL
(5,3),(5,19),-0.0277082 # DEPENDENCYPART_SIBL
(5,3),(5,23),-0.0512407 # DEPENDENCYPART_SIBL
(5,3),(5,28),-0.0699967 # DEPENDENCYPART_SIBL
(5,3),(5,32),0.182718 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00815879 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0161984 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0315785 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0678719 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0678719 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0379314 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00991826 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0678719 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.00805797 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0222035 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.0977801 # DEPENDENCYPART_SIBL
(5,4),(5,28),0.0069975 # DEPENDENCYPART_SIBL
(5,4),(5,32),0.162555 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0309937 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.10721 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0981425 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0981425 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.035766 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0672497 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0981425 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0858572 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.000484106 # DEPENDENCYPART_SIBL
