# _root_ He received $ 724,579 for the shares , according to insider filings with the Securities and Exchange Commission .
#goldHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
#predictedHeads=2,0,4,2,2,7,5,2,2,9,12,10,12,18,16,18,16,13,2,
(5,13),-1.68407 # DEPENDENCYPART_ARC
(5,16),-1.30995 # DEPENDENCYPART_ARC
(5,18),-3.32536 # DEPENDENCYPART_ARC
(6,5),-0.342673 # DEPENDENCYPART_ARC
(6,8),-1.1884 # DEPENDENCYPART_ARC
(6,9),-1.89369 # DEPENDENCYPART_ARC
(7,2),-1.33668 # DEPENDENCYPART_ARC
(7,3),-1.42155 # DEPENDENCYPART_ARC
(7,4),-1.48544 # DEPENDENCYPART_ARC
(7,5),-0.816042 # DEPENDENCYPART_ARC
(7,6),1.12041 # DEPENDENCYPART_ARC
(7,8),0.166053 # DEPENDENCYPART_ARC
(7,9),-1.49469 # DEPENDENCYPART_ARC
(7,10),-1.78965 # DEPENDENCYPART_ARC
(7,12),-1.83435 # DEPENDENCYPART_ARC
(7,13),-1.91364 # DEPENDENCYPART_ARC
(7,16),-1.01951 # DEPENDENCYPART_ARC
(7,19),-2.1812 # DEPENDENCYPART_ARC
(8,9),-0.475093 # DEPENDENCYPART_ARC
(9,2),-2.11389 # DEPENDENCYPART_ARC
(9,5),-1.73169 # DEPENDENCYPART_ARC
(9,7),-2.12253 # DEPENDENCYPART_ARC
(9,8),-0.175929 # DEPENDENCYPART_ARC
(9,10),0.444904 # DEPENDENCYPART_ARC
(9,11),-0.517931 # DEPENDENCYPART_ARC
(9,12),-0.683574 # DEPENDENCYPART_ARC
(9,13),-0.889189 # DEPENDENCYPART_ARC
(9,15),-1.44733 # DEPENDENCYPART_ARC
(9,16),-0.785356 # DEPENDENCYPART_ARC
(9,19),-1.20944 # DEPENDENCYPART_ARC
(10,8),-1.16297 # DEPENDENCYPART_ARC
(10,11),0.192508 # DEPENDENCYPART_ARC
(10,12),-0.596077 # DEPENDENCYPART_ARC
(10,13),-1.26376 # DEPENDENCYPART_ARC
(10,15),-1.51696 # DEPENDENCYPART_ARC
(10,16),-0.88568 # DEPENDENCYPART_ARC
(10,17),-1.94359 # DEPENDENCYPART_ARC
(10,19),-0.869588 # DEPENDENCYPART_ARC
(11,3),-3.1159 # DEPENDENCYPART_ARC
(11,4),-3.28976 # DEPENDENCYPART_ARC
(11,10),-0.319018 # DEPENDENCYPART_ARC
(11,12),-0.343384 # DEPENDENCYPART_ARC
(11,13),-1.01862 # DEPENDENCYPART_ARC
(11,14),-1.63421 # DEPENDENCYPART_ARC
(11,15),-1.77505 # DEPENDENCYPART_ARC
(11,18),-1.90612 # DEPENDENCYPART_ARC
(11,19),-1.39927 # DEPENDENCYPART_ARC
(12,4),-2.50592 # DEPENDENCYPART_ARC
(12,5),-2.01829 # DEPENDENCYPART_ARC
(12,6),-1.98168 # DEPENDENCYPART_ARC
(12,7),-2.12305 # DEPENDENCYPART_ARC
(12,8),-1.75868 # DEPENDENCYPART_ARC
(12,9),-1.01274 # DEPENDENCYPART_ARC
(12,10),-0.866058 # DEPENDENCYPART_ARC
(12,11),1.58141 # DEPENDENCYPART_ARC
(12,13),0.176415 # DEPENDENCYPART_ARC
(12,14),-1.42072 # DEPENDENCYPART_ARC
(12,15),-1.40396 # DEPENDENCYPART_ARC
(12,16),-0.995221 # DEPENDENCYPART_ARC
(12,17),-1.41241 # DEPENDENCYPART_ARC
(12,18),-1.65563 # DEPENDENCYPART_ARC
(12,19),-1.14406 # DEPENDENCYPART_ARC
(13,10),-1.43274 # DEPENDENCYPART_ARC
(13,11),-1.39875 # DEPENDENCYPART_ARC
(13,12),-0.415047 # DEPENDENCYPART_ARC
(13,14),-0.167601 # DEPENDENCYPART_ARC
(13,15),-0.0384542 # DEPENDENCYPART_ARC
(13,16),-0.822775 # DEPENDENCYPART_ARC
(13,17),-1.2815 # DEPENDENCYPART_ARC
(13,18),-0.942862 # DEPENDENCYPART_ARC
(13,19),-1.32352 # DEPENDENCYPART_ARC
(15,14),0.00710794 # DEPENDENCYPART_ARC
(15,18),-1.81961 # DEPENDENCYPART_ARC
(16,1),-2.14102 # DEPENDENCYPART_ARC
(16,2),-2.46518 # DEPENDENCYPART_ARC
(16,3),-2.12577 # DEPENDENCYPART_ARC
(16,4),-1.62469 # DEPENDENCYPART_ARC
(16,5),-1.50913 # DEPENDENCYPART_ARC
(16,6),-2.42442 # DEPENDENCYPART_ARC
(16,7),-1.23204 # DEPENDENCYPART_ARC
(16,8),-1.45439 # DEPENDENCYPART_ARC
(16,9),-1.16816 # DEPENDENCYPART_ARC
(16,10),-1.31227 # DEPENDENCYPART_ARC
(16,11),-0.754439 # DEPENDENCYPART_ARC
(16,12),-0.761673 # DEPENDENCYPART_ARC
(16,13),-1.08129 # DEPENDENCYPART_ARC
(16,14),-0.234054 # DEPENDENCYPART_ARC
(16,15),1.8634 # DEPENDENCYPART_ARC
(16,17),2.17174 # DEPENDENCYPART_ARC
(16,18),0.559959 # DEPENDENCYPART_ARC
(16,19),-1.03469 # DEPENDENCYPART_ARC
(17,14),-2.80799 # DEPENDENCYPART_ARC
(17,18),-0.968308 # DEPENDENCYPART_ARC
(18,11),-1.2191 # DEPENDENCYPART_ARC
(18,12),-1.79843 # DEPENDENCYPART_ARC
(18,14),-0.455255 # DEPENDENCYPART_ARC
(18,15),-0.933138 # DEPENDENCYPART_ARC
(18,16),-0.260381 # DEPENDENCYPART_ARC
(18,17),1.34525 # DEPENDENCYPART_ARC
(18,19),-0.41675 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0500543 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0509331 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.147258 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0552761 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.131718 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0149278 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.101903 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.00410796 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.048491 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0923712 # DEPENDENCYPART_SIBL
(0,4),(0,10),0.00251397 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0628188 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0580076 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.131754 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.048285 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0661291 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0306468 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0270635 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0594067 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00706589 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0271508 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0830853 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0887856 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0175083 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0330286 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0708697 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.136271 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0427486 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.031338 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0183314 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0274462 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.012012 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0222604 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00155391 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00943052 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0189545 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.000953486 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0102517 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0509376 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0233362 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00890303 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0239909 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.040728 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0108233 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.017723 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.000640591 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0255149 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00569076 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0365362 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.039535 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0102772 # DEPENDENCYPART_SIBL
(2,5),(2,13),3.38229e-05 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0244855 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0392229 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0246314 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00821694 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0622365 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.025075 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.118041 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00571915 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.053529 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.111247 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0187229 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0216215 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0281937 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.02041 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.000259467 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0501702 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0236654 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0263452 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0570805 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0247454 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0200444 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.012036 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0437993 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.00884724 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0571466 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0265321 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0239944 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0284492 # DEPENDENCYPART_SIBL
(2,13),(2,19),0.0395592 # DEPENDENCYPART_SIBL
(2,16),(2,19),0.0228721 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0859094 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0933052 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0784857 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.127185 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.110141 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.12625 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0359092 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0251553 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0113795 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.0117271 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0193676 # DEPENDENCYPART_SIBL
(3,5),(3,13),0.0316889 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0038984 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0186704 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00810507 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0103788 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.0151433 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0402895 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0601574 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0266993 # DEPENDENCYPART_SIBL
(3,7),(3,13),0.0388229 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0143844 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.112519 # DEPENDENCYPART_SIBL
(3,8),(3,13),0.0190434 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0438734 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.02273 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0220245 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.00261127 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.274602 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.152904 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.115457 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.205704 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.216201 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0932719 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.257923 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.010079 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0153674 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0122809 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.00181151 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0257481 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0413371 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0010773 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0174216 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.032885 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.00535551 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.00747298 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.120517 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0363323 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.0767669 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0856707 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0124001 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.000635027 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0135567 # DEPENDENCYPART_SIBL
(4,13),(4,16),0.024924 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0333369 # DEPENDENCYPART_SIBL
(4,16),(4,18),0.00222907 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0203125 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.00212972 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0219448 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.137851 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0146441 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0280484 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0247153 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.00474688 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0059351 # DEPENDENCYPART_SIBL
(5,3),(5,18),-0.0257033 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0292874 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0352245 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.12001 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0724924 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.00801539 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0330493 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0697817 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0319588 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0340389 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0612096 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00156509 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0530424 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0298453 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.064739 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0383167 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0659482 # DEPENDENCYPART_SIBL
(5,6),(5,18),-0.0651406 # DEPENDENCYPART_SIBL
(5,7),(5,8),0.0459168 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0422362 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00998783 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0638179 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0266539 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.112663 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0658398 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.033194 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.00568701 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0586306 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0159621 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0535877 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0599452 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0126123 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0462265 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0233894 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0633666 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0468782 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00061269 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0126128 # DEPENDENCYPART_SIBL
(5,10),(5,16),-0.0350603 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.000212038 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.0081496 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.11861 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0847264 # DEPENDENCYPART_SIBL
(5,13),(5,16),-0.0408831 # DEPENDENCYPART_SIBL
(5,13),(5,18),-0.0362842 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0831886 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0703081 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00292646 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0654857 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.142407 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0130323 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.00913688 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.00153421 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00122385 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0326239 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0415444 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0157801 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0209258 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.032704 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0156534 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0646249 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0286333 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0784115 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0107027 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0219968 # DEPENDENCYPART_SIBL
(7,3),(7,10),1.05963e-05 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00839335 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0542256 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0684504 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.00742512 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0201415 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0490902 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0509744 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00671081 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0147316 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0592829 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0120332 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.172748 # DEPENDENCYPART_SIBL
(7,4),(7,19),-0.0093435 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.00891746 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0170746 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0411866 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0386175 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0113347 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0216638 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0357691 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0102365 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0133005 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0935259 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0130295 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0013418 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0991505 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.0377087 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.136993 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0156026 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.029365 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0395683 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.0746913 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.0866695 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.00605082 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0264136 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0336241 # DEPENDENCYPART_SIBL
(7,9),(7,13),-7.53187e-05 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0156878 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.00818302 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.00771427 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.00855575 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0120496 # DEPENDENCYPART_SIBL
(7,10),(7,19),0.0569832 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0110738 # DEPENDENCYPART_SIBL
(7,12),(7,16),-0.0223965 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.00837135 # DEPENDENCYPART_SIBL
(7,13),(7,16),-0.0297296 # DEPENDENCYPART_SIBL
(7,13),(7,19),0.034746 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.00534822 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.0216602 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.00690799 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.000996387 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0732414 # DEPENDENCYPART_SIBL
(9,2),(9,11),-0.00729581 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.00838854 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0830784 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.0110924 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0251706 # DEPENDENCYPART_SIBL
(9,2),(9,19),-0.000291143 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.0684606 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.0800213 # DEPENDENCYPART_SIBL
(9,5),(9,10),-0.113076 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.00809428 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.00590953 # DEPENDENCYPART_SIBL
(9,5),(9,13),-0.0376863 # DEPENDENCYPART_SIBL
(9,5),(9,15),-0.00235977 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0201177 # DEPENDENCYPART_SIBL
(9,5),(9,19),0.0138974 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.0229661 # DEPENDENCYPART_SIBL
(9,7),(9,10),0.0142341 # DEPENDENCYPART_SIBL
(9,7),(9,11),0.0132968 # DEPENDENCYPART_SIBL
(9,7),(9,12),0.0139812 # DEPENDENCYPART_SIBL
(9,7),(9,13),-0.0511282 # DEPENDENCYPART_SIBL
(9,7),(9,15),0.000382458 # DEPENDENCYPART_SIBL
(9,7),(9,16),0.0150081 # DEPENDENCYPART_SIBL
(9,7),(9,19),0.014155 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0633115 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0269473 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0280498 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0636946 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0423139 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0280579 # DEPENDENCYPART_SIBL
