# _root_ Other credit houses , such as Credit Exchange and Solo Credit Service Corp. , are suggesting that their clients study each order before shipping .
#goldHeads=3,3,15,3,6,3,8,9,6,13,13,13,9,3,0,15,20,19,20,16,22,20,20,23,15,
#predictedHeads=3,3,15,3,6,3,8,9,6,13,13,13,9,3,0,15,20,19,20,16,22,20,20,23,15,
(9,4),-0.839758 # DEPENDENCYPART_ARC
(9,5),-1.22476 # DEPENDENCYPART_ARC
(9,6),-1.03731 # DEPENDENCYPART_ARC
(9,7),-0.219586 # DEPENDENCYPART_ARC
(9,8),2.02236 # DEPENDENCYPART_ARC
(9,10),1.69196 # DEPENDENCYPART_ARC
(9,11),-0.0156167 # DEPENDENCYPART_ARC
(9,12),-0.828948 # DEPENDENCYPART_ARC
(9,13),-0.874227 # DEPENDENCYPART_ARC
(9,14),-1.46587 # DEPENDENCYPART_ARC
(9,15),-1.78497 # DEPENDENCYPART_ARC
(9,16),-2.73148 # DEPENDENCYPART_ARC
(9,17),-2.18257 # DEPENDENCYPART_ARC
(9,19),-2.60752 # DEPENDENCYPART_ARC
(9,20),-2.92057 # DEPENDENCYPART_ARC
(9,22),-2.85755 # DEPENDENCYPART_ARC
(9,23),-2.02277 # DEPENDENCYPART_ARC
(9,25),-1.38209 # DEPENDENCYPART_ARC
(10,11),-0.724851 # DEPENDENCYPART_ARC
(10,12),-1.65205 # DEPENDENCYPART_ARC
(10,13),-2.14396 # DEPENDENCYPART_ARC
(11,7),-1.51967 # DEPENDENCYPART_ARC
(11,8),-1.97265 # DEPENDENCYPART_ARC
(11,9),-1.1715 # DEPENDENCYPART_ARC
(11,10),-0.0422335 # DEPENDENCYPART_ARC
(11,12),-0.559803 # DEPENDENCYPART_ARC
(11,13),-1.68133 # DEPENDENCYPART_ARC
(11,14),-1.57774 # DEPENDENCYPART_ARC
(11,15),-2.0022 # DEPENDENCYPART_ARC
(12,7),-1.47175 # DEPENDENCYPART_ARC
(12,8),-1.98612 # DEPENDENCYPART_ARC
(12,9),-1.45816 # DEPENDENCYPART_ARC
(12,10),-0.748333 # DEPENDENCYPART_ARC
(12,11),0.13923 # DEPENDENCYPART_ARC
(12,13),-0.839996 # DEPENDENCYPART_ARC
(12,14),-1.48529 # DEPENDENCYPART_ARC
(12,15),-1.95391 # DEPENDENCYPART_ARC
(12,19),-2.31665 # DEPENDENCYPART_ARC
(13,5),-2.11976 # DEPENDENCYPART_ARC
(13,7),-0.531028 # DEPENDENCYPART_ARC
(13,8),-1.10664 # DEPENDENCYPART_ARC
(13,9),-0.672862 # DEPENDENCYPART_ARC
(13,10),0.00721695 # DEPENDENCYPART_ARC
(13,11),0.528044 # DEPENDENCYPART_ARC
(13,12),1.56366 # DEPENDENCYPART_ARC
(13,14),0.207932 # DEPENDENCYPART_ARC
(13,15),-1.64124 # DEPENDENCYPART_ARC
(13,16),-2.11017 # DEPENDENCYPART_ARC
(13,17),-2.01398 # DEPENDENCYPART_ARC
(13,19),-1.83631 # DEPENDENCYPART_ARC
(13,22),-1.64879 # DEPENDENCYPART_ARC
(13,25),-2.15678 # DEPENDENCYPART_ARC
(15,1),-1.17842 # DEPENDENCYPART_ARC
(15,2),-0.946975 # DEPENDENCYPART_ARC
(15,3),-0.538108 # DEPENDENCYPART_ARC
(15,4),-1.31559 # DEPENDENCYPART_ARC
(15,5),-1.47326 # DEPENDENCYPART_ARC
(15,6),-0.850157 # DEPENDENCYPART_ARC
(15,7),-1.67556 # DEPENDENCYPART_ARC
(15,8),-1.63022 # DEPENDENCYPART_ARC
(15,9),-0.552992 # DEPENDENCYPART_ARC
(15,10),-1.64873 # DEPENDENCYPART_ARC
(15,11),-1.6271 # DEPENDENCYPART_ARC
(15,12),-1.51 # DEPENDENCYPART_ARC
(15,13),-1.03247 # DEPENDENCYPART_ARC
(15,14),0.795429 # DEPENDENCYPART_ARC
(15,16),1.3803 # DEPENDENCYPART_ARC
(15,17),-0.792373 # DEPENDENCYPART_ARC
(15,19),-1.10829 # DEPENDENCYPART_ARC
(15,20),-0.811072 # DEPENDENCYPART_ARC
(15,22),-1.36187 # DEPENDENCYPART_ARC
(15,23),-1.3978 # DEPENDENCYPART_ARC
(15,25),-0.104949 # DEPENDENCYPART_ARC
(16,3),-1.74487 # DEPENDENCYPART_ARC
(16,14),-1.54854 # DEPENDENCYPART_ARC
(16,15),-0.901598 # DEPENDENCYPART_ARC
(16,17),0.525682 # DEPENDENCYPART_ARC
(16,19),-0.781585 # DEPENDENCYPART_ARC
(16,20),-0.630851 # DEPENDENCYPART_ARC
(16,22),-1.47559 # DEPENDENCYPART_ARC
(16,23),-1.00703 # DEPENDENCYPART_ARC
(16,24),-1.84277 # DEPENDENCYPART_ARC
(16,25),-0.456763 # DEPENDENCYPART_ARC
(17,16),-0.32163 # DEPENDENCYPART_ARC
(17,19),-0.959224 # DEPENDENCYPART_ARC
(17,20),-1.71783 # DEPENDENCYPART_ARC
(17,22),-2.4678 # DEPENDENCYPART_ARC
(19,16),-1.27163 # DEPENDENCYPART_ARC
(19,17),-0.932532 # DEPENDENCYPART_ARC
(19,18),0.698428 # DEPENDENCYPART_ARC
(19,20),-0.693771 # DEPENDENCYPART_ARC
(19,22),-1.62399 # DEPENDENCYPART_ARC
(19,23),-1.56082 # DEPENDENCYPART_ARC
(19,24),-1.96738 # DEPENDENCYPART_ARC
(19,25),-1.98836 # DEPENDENCYPART_ARC
(20,2),-1.4058 # DEPENDENCYPART_ARC
(20,3),-1.52768 # DEPENDENCYPART_ARC
(20,6),-1.4614 # DEPENDENCYPART_ARC
(20,13),-2.3624 # DEPENDENCYPART_ARC
(20,14),-1.79051 # DEPENDENCYPART_ARC
(20,15),-1.63416 # DEPENDENCYPART_ARC
(20,17),-0.299112 # DEPENDENCYPART_ARC
(20,19),0.373534 # DEPENDENCYPART_ARC
(20,21),0.134701 # DEPENDENCYPART_ARC
(20,22),0.258189 # DEPENDENCYPART_ARC
(20,23),-0.611173 # DEPENDENCYPART_ARC
(20,24),-0.654325 # DEPENDENCYPART_ARC
(20,25),0.137977 # DEPENDENCYPART_ARC
(21,23),-1.10539 # DEPENDENCYPART_ARC
(22,15),-1.71235 # DEPENDENCYPART_ARC
(22,17),-1.59906 # DEPENDENCYPART_ARC
(22,18),-1.49088 # DEPENDENCYPART_ARC
(22,19),-1.54598 # DEPENDENCYPART_ARC
(22,20),-0.9215 # DEPENDENCYPART_ARC
(22,21),1.03311 # DEPENDENCYPART_ARC
(22,23),0.209125 # DEPENDENCYPART_ARC
(22,24),-1.23125 # DEPENDENCYPART_ARC
(22,25),-1.19774 # DEPENDENCYPART_ARC
(23,21),-1.31882 # DEPENDENCYPART_ARC
(23,22),-0.468404 # DEPENDENCYPART_ARC
(23,24),0.629962 # DEPENDENCYPART_ARC
(23,25),-1.14675 # DEPENDENCYPART_ARC
(24,18),-1.91257 # DEPENDENCYPART_ARC
(24,19),-1.8197 # DEPENDENCYPART_ARC
(24,20),-1.41219 # DEPENDENCYPART_ARC
(24,21),-1.26478 # DEPENDENCYPART_ARC
(24,22),-0.64549 # DEPENDENCYPART_ARC
(24,23),0.149847 # DEPENDENCYPART_ARC
(24,25),-0.291001 # DEPENDENCYPART_ARC
(25,23),-1.03697 # DEPENDENCYPART_ARC
(25,24),-0.294719 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.023116 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0394567 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0915159 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0580823 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.0984706 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.100387 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0996025 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0179027 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0503765 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0199588 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0744961 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.0702801 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.0709662 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0532209 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0196121 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.124278 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.11129 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.113147 # DEPENDENCYPART_SIBL
(0,9),(0,13),-0.0610547 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.132401 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.132255 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.132251 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.107757 # DEPENDENCYPART_SIBL
(0,13),(0,16),-0.109674 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.108889 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.178729 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.177201 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.164275 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0143599 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0171681 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00129535 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0074239 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0318962 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0330311 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00129535 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0107229 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0320306 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0149882 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.00687524 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0191827 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0244333 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0198609 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0102391 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.011687 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.113638 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00961956 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0495755 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.137586 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.113638 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0193969 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0224583 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0315991 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0102673 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0107917 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0334141 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0315991 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0206895 # DEPENDENCYPART_SIBL
(2,3),(2,20),-0.0110554 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.034922 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0547323 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0157743 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0348497 # DEPENDENCYPART_SIBL
(2,4),(2,15),0.00497245 # DEPENDENCYPART_SIBL
(2,4),(2,20),0.0150963 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0220287 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0367306 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.0120235 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0235514 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0138466 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0184485 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0227445 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0440082 # DEPENDENCYPART_SIBL
(2,6),(2,20),-0.0227788 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0235354 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0205169 # DEPENDENCYPART_SIBL
(2,9),(2,20),-0.0149258 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.00497245 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.0150963 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.012739 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.139285 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.105326 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0070785 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0511028 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00335643 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.00841763 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.1328 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0022548 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.00335643 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.00525892 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.105326 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.010317 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0572123 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.00092319 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.00180383 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0309933 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0115598 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0331734 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0471897 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0421733 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0146774 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0133216 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00527566 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0186884 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0146774 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0282585 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0331734 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0499527 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0811414 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0127434 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0172544 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0474939 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.0261637 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0369464 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0568145 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0411665 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0298946 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0177622 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0415025 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0411665 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0245691 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0349551 # DEPENDENCYPART_SIBL
(3,4),(3,15),0.0112894 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.013002 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0414696 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0411519 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0342982 # DEPENDENCYPART_SIBL
(3,4),(3,25),-0.00265379 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0221191 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0234297 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0228112 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0367515 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0225561 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0234297 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0276656 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0103288 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0214282 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.03122 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0225785 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.0228579 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0228565 # DEPENDENCYPART_SIBL
(3,5),(3,25),-0.0159117 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0111724 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0148705 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.018126 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00908461 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0111724 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0151175 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0213331 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0413285 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0246913 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.00953431 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.0100673 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.0312572 # DEPENDENCYPART_SIBL
(3,6),(3,25),0.0601372 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.023995 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0376717 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0166756 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0169016 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0282563 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.00469257 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.030557 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0354721 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0167878 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0215198 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.0246628 # DEPENDENCYPART_SIBL
(3,7),(3,25),0.0218819 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0394815 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.00666757 # DEPENDENCYPART_SIBL
(3,8),(3,11),0.00644157 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.00491314 # DEPENDENCYPART_SIBL
(3,8),(3,14),0.00878613 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0286375 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0419603 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.00655537 # DEPENDENCYPART_SIBL
(3,8),(3,22),0.00182341 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.0311499 # DEPENDENCYPART_SIBL
(3,8),(3,25),0.00514694 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0320645 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0321766 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0371762 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0209391 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0187914 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0190313 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.0320866 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0323655 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.0088542 # DEPENDENCYPART_SIBL
(3,9),(3,25),0.000607883 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0125436 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0238983 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0121675 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0241279 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.040404 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0124298 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0171618 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.0295947 # DEPENDENCYPART_SIBL
(3,10),(3,25),0.0195701 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.0282563 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.00469257 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.030557 # DEPENDENCYPART_SIBL
(3,11),(3,17),-0.0354721 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0167878 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0215198 # DEPENDENCYPART_SIBL
(3,11),(3,23),-0.0246628 # DEPENDENCYPART_SIBL
(3,11),(3,25),0.0218819 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.00338778 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.0280562 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.037509 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.0217585 # DEPENDENCYPART_SIBL
(3,12),(3,22),-0.0264905 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.0266997 # DEPENDENCYPART_SIBL
(3,12),(3,25),0.0130403 # DEPENDENCYPART_SIBL
(3,14),(3,15),0.0112894 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.013002 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0414696 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.0411519 # DEPENDENCYPART_SIBL
(3,14),(3,23),0.0342982 # DEPENDENCYPART_SIBL
(3,14),(3,25),-0.00265379 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.00139474 # DEPENDENCYPART_SIBL
(3,15),(3,19),-0.00183538 # DEPENDENCYPART_SIBL
(3,15),(3,22),-0.00235792 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0100864 # DEPENDENCYPART_SIBL
(3,15),(3,25),0.03863 # DEPENDENCYPART_SIBL
(3,17),(3,19),-0.0136787 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.0142117 # DEPENDENCYPART_SIBL
(3,17),(3,23),-0.0147336 # DEPENDENCYPART_SIBL
(3,17),(3,25),0.0236736 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0175812 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.0295681 # DEPENDENCYPART_SIBL
(3,19),(3,25),0.0183488 # DEPENDENCYPART_SIBL
(3,22),(3,23),-0.0307078 # DEPENDENCYPART_SIBL
(3,22),(3,25),0.0102419 # DEPENDENCYPART_SIBL
(3,23),(3,25),0.0410815 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0732267 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0630124 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.181875 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.110781 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0189685 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.0125884 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0983345 # DEPENDENCYPART_SIBL
