# _root_ In savings activity , Mr. Sandler said consumer deposits have enjoyed a steady increase throughout 1989 , and topped $ 11 billion at quarter 's end for the first time in the company 's history .
#goldHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
#predictedHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
(10,15),-1.20464 # DEPENDENCYPART_ARC
(10,16),-2.7525 # DEPENDENCYPART_ARC
(10,17),-0.481415 # DEPENDENCYPART_ARC
(10,18),-0.730782 # DEPENDENCYPART_ARC
(10,19),-1.33051 # DEPENDENCYPART_ARC
(10,23),-1.90055 # DEPENDENCYPART_ARC
(10,27),-2.027 # DEPENDENCYPART_ARC
(10,31),-2.46693 # DEPENDENCYPART_ARC
(10,36),0.428496 # DEPENDENCYPART_ARC
(11,1),-2.31193 # DEPENDENCYPART_ARC
(11,3),-2.18535 # DEPENDENCYPART_ARC
(11,4),-2.18411 # DEPENDENCYPART_ARC
(11,6),-2.21627 # DEPENDENCYPART_ARC
(11,7),-1.91717 # DEPENDENCYPART_ARC
(11,8),-1.44039 # DEPENDENCYPART_ARC
(11,9),-1.65403 # DEPENDENCYPART_ARC
(11,12),-0.75163 # DEPENDENCYPART_ARC
(11,13),-0.553861 # DEPENDENCYPART_ARC
(11,14),0.0221918 # DEPENDENCYPART_ARC
(11,15),-0.0984466 # DEPENDENCYPART_ARC
(11,16),-1.53394 # DEPENDENCYPART_ARC
(11,17),-0.647304 # DEPENDENCYPART_ARC
(11,18),-0.649642 # DEPENDENCYPART_ARC
(11,19),-1.14278 # DEPENDENCYPART_ARC
(11,20),-1.79896 # DEPENDENCYPART_ARC
(11,23),-1.38233 # DEPENDENCYPART_ARC
(11,24),-1.75905 # DEPENDENCYPART_ARC
(11,25),-2.6013 # DEPENDENCYPART_ARC
(11,26),-1.60925 # DEPENDENCYPART_ARC
(11,27),-1.20376 # DEPENDENCYPART_ARC
(11,30),-1.66453 # DEPENDENCYPART_ARC
(11,31),-1.69552 # DEPENDENCYPART_ARC
(11,35),-2.24304 # DEPENDENCYPART_ARC
(11,36),-0.872446 # DEPENDENCYPART_ARC
(12,15),-1.48903 # DEPENDENCYPART_ARC
(12,18),-1.52758 # DEPENDENCYPART_ARC
(13,12),-0.73585 # DEPENDENCYPART_ARC
(13,15),-1.24837 # DEPENDENCYPART_ARC
(13,16),-2.091 # DEPENDENCYPART_ARC
(13,18),-1.78668 # DEPENDENCYPART_ARC
(14,9),-1.54116 # DEPENDENCYPART_ARC
(14,11),-1.03983 # DEPENDENCYPART_ARC
(14,12),1.63924 # DEPENDENCYPART_ARC
(14,13),1.9007 # DEPENDENCYPART_ARC
(14,15),0.00825829 # DEPENDENCYPART_ARC
(14,16),-1.26 # DEPENDENCYPART_ARC
(14,17),-1.36875 # DEPENDENCYPART_ARC
(14,18),-1.4968 # DEPENDENCYPART_ARC
(14,19),-1.48239 # DEPENDENCYPART_ARC
(14,20),-2.35029 # DEPENDENCYPART_ARC
(14,23),-1.53031 # DEPENDENCYPART_ARC
(14,25),-3.0453 # DEPENDENCYPART_ARC
(14,27),-1.74788 # DEPENDENCYPART_ARC
(14,31),-2.32126 # DEPENDENCYPART_ARC
(15,14),-1.65315 # DEPENDENCYPART_ARC
(15,16),0.881696 # DEPENDENCYPART_ARC
(15,17),-1.32856 # DEPENDENCYPART_ARC
(15,18),-1.55866 # DEPENDENCYPART_ARC
(15,19),-0.974217 # DEPENDENCYPART_ARC
(15,20),-2.2175 # DEPENDENCYPART_ARC
(15,26),-2.04871 # DEPENDENCYPART_ARC
(15,27),-1.86056 # DEPENDENCYPART_ARC
(16,14),-2.14782 # DEPENDENCYPART_ARC
(16,15),-1.26371 # DEPENDENCYPART_ARC
(16,17),-1.12456 # DEPENDENCYPART_ARC
(16,18),-1.40865 # DEPENDENCYPART_ARC
(16,19),-1.24934 # DEPENDENCYPART_ARC
(16,20),-2.07698 # DEPENDENCYPART_ARC
(18,19),2.11212 # DEPENDENCYPART_ARC
(18,20),-0.333157 # DEPENDENCYPART_ARC
(18,23),-1.41374 # DEPENDENCYPART_ARC
(18,26),-2.34523 # DEPENDENCYPART_ARC
(18,27),-1.46671 # DEPENDENCYPART_ARC
(19,1),-1.64543 # DEPENDENCYPART_ARC
(19,4),-2.65172 # DEPENDENCYPART_ARC
(19,6),-2.21825 # DEPENDENCYPART_ARC
(19,9),-1.88068 # DEPENDENCYPART_ARC
(19,10),-2.12759 # DEPENDENCYPART_ARC
(19,14),-1.95154 # DEPENDENCYPART_ARC
(19,15),-2.12405 # DEPENDENCYPART_ARC
(19,16),-2.30682 # DEPENDENCYPART_ARC
(19,17),-1.92381 # DEPENDENCYPART_ARC
(19,20),0.563476 # DEPENDENCYPART_ARC
(19,21),-1.02145 # DEPENDENCYPART_ARC
(19,22),-1.74175 # DEPENDENCYPART_ARC
(19,23),0.131306 # DEPENDENCYPART_ARC
(19,24),-1.07342 # DEPENDENCYPART_ARC
(19,25),-1.9817 # DEPENDENCYPART_ARC
(19,26),-1.3213 # DEPENDENCYPART_ARC
(19,27),-0.0984426 # DEPENDENCYPART_ARC
(19,30),-1.77862 # DEPENDENCYPART_ARC
(19,31),-0.307897 # DEPENDENCYPART_ARC
(19,35),-2.38481 # DEPENDENCYPART_ARC
(19,36),-0.38515 # DEPENDENCYPART_ARC
(20,15),-1.78939 # DEPENDENCYPART_ARC
(20,16),-2.34646 # DEPENDENCYPART_ARC
(20,19),-0.709828 # DEPENDENCYPART_ARC
(20,21),1.71509 # DEPENDENCYPART_ARC
(20,22),1.14907 # DEPENDENCYPART_ARC
(20,23),-0.318107 # DEPENDENCYPART_ARC
(20,24),-1.2844 # DEPENDENCYPART_ARC
(20,25),-1.683 # DEPENDENCYPART_ARC
(20,26),-1.74936 # DEPENDENCYPART_ARC
(20,27),-1.36381 # DEPENDENCYPART_ARC
(20,30),-1.83505 # DEPENDENCYPART_ARC
(20,31),-2.41703 # DEPENDENCYPART_ARC
(20,35),-2.50628 # DEPENDENCYPART_ARC
(21,16),-2.81636 # DEPENDENCYPART_ARC
(21,22),-1.0467 # DEPENDENCYPART_ARC
(21,23),-1.66796 # DEPENDENCYPART_ARC
(21,26),-2.28737 # DEPENDENCYPART_ARC
(22,15),-1.90848 # DEPENDENCYPART_ARC
(22,16),-2.16196 # DEPENDENCYPART_ARC
(22,21),-0.265467 # DEPENDENCYPART_ARC
(22,23),-1.1837 # DEPENDENCYPART_ARC
(22,24),-1.45396 # DEPENDENCYPART_ARC
(22,25),-1.99883 # DEPENDENCYPART_ARC
(22,26),-1.98152 # DEPENDENCYPART_ARC
(23,20),-1.75392 # DEPENDENCYPART_ARC
(23,22),-1.87402 # DEPENDENCYPART_ARC
(23,24),0.684986 # DEPENDENCYPART_ARC
(23,25),-1.36174 # DEPENDENCYPART_ARC
(23,26),-0.304747 # DEPENDENCYPART_ARC
(23,27),-1.59336 # DEPENDENCYPART_ARC
(23,30),-1.42393 # DEPENDENCYPART_ARC
(24,20),-1.29069 # DEPENDENCYPART_ARC
(24,22),-1.39767 # DEPENDENCYPART_ARC
(24,23),-0.548116 # DEPENDENCYPART_ARC
(24,25),1.50865 # DEPENDENCYPART_ARC
(24,27),-0.840909 # DEPENDENCYPART_ARC
(24,31),-1.83094 # DEPENDENCYPART_ARC
(26,12),-2.86898 # DEPENDENCYPART_ARC
(26,16),-3.26374 # DEPENDENCYPART_ARC
(26,20),-1.38541 # DEPENDENCYPART_ARC
(26,21),-1.8659 # DEPENDENCYPART_ARC
(26,22),-1.88317 # DEPENDENCYPART_ARC
(26,23),-1.16069 # DEPENDENCYPART_ARC
(26,24),0.872513 # DEPENDENCYPART_ARC
(26,25),-0.262074 # DEPENDENCYPART_ARC
(26,27),0.485581 # DEPENDENCYPART_ARC
(26,30),-1.29542 # DEPENDENCYPART_ARC
(26,31),-1.35707 # DEPENDENCYPART_ARC
(26,34),-3.10974 # DEPENDENCYPART_ARC
(26,35),-2.16051 # DEPENDENCYPART_ARC
(27,25),-2.042 # DEPENDENCYPART_ARC
(27,26),-1.77183 # DEPENDENCYPART_ARC
(27,28),-1.24171 # DEPENDENCYPART_ARC
(27,29),-0.826359 # DEPENDENCYPART_ARC
(27,30),0.879041 # DEPENDENCYPART_ARC
(27,31),-1.54012 # DEPENDENCYPART_ARC
(27,35),-0.772447 # DEPENDENCYPART_ARC
(29,28),-0.522829 # DEPENDENCYPART_ARC
(29,31),-1.20446 # DEPENDENCYPART_ARC
(30,20),-1.91613 # DEPENDENCYPART_ARC
(30,24),-1.56907 # DEPENDENCYPART_ARC
(30,25),-1.85603 # DEPENDENCYPART_ARC
(30,26),-1.81854 # DEPENDENCYPART_ARC
(30,28),1.50094 # DEPENDENCYPART_ARC
(30,29),2.05088 # DEPENDENCYPART_ARC
(30,31),0.3592 # DEPENDENCYPART_ARC
(30,33),-1.10752 # DEPENDENCYPART_ARC
(30,34),-1.59664 # DEPENDENCYPART_ARC
(30,35),-1.65459 # DEPENDENCYPART_ARC
(31,30),-2.07486 # DEPENDENCYPART_ARC
(31,33),0.140657 # DEPENDENCYPART_ARC
(31,34),-2.03326 # DEPENDENCYPART_ARC
(31,35),0.685221 # DEPENDENCYPART_ARC
(33,28),-1.55207 # DEPENDENCYPART_ARC
(33,29),-0.966714 # DEPENDENCYPART_ARC
(33,32),2.8695 # DEPENDENCYPART_ARC
(33,34),1.70163 # DEPENDENCYPART_ARC
(35,30),-2.14243 # DEPENDENCYPART_ARC
(35,32),-1.26552 # DEPENDENCYPART_ARC
(35,33),0.876255 # DEPENDENCYPART_ARC
(35,34),-0.499164 # DEPENDENCYPART_ARC
(0,1),(0,7),-1.13929 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.445996 # DEPENDENCYPART_SIBL
(0,7),(0,10),-1.16837 # DEPENDENCYPART_SIBL
(1,2),(1,3),-1.02023 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0747068 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.549846 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.43979 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.94599 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.499228 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0422155 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0863231 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.554354 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.450275 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.945721 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.501438 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.059131 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0739697 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.346 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0386342 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.178506 # DEPENDENCYPART_SIBL
(1,4),(1,18),0.480329 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.47159 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.838626 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.605736 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.0916193 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.395385 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.313475 # DEPENDENCYPART_SIBL
(1,7),(1,18),0.186292 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.497382 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0324965 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.145922 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0464758 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0624734 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0599739 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0949383 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0646972 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0954334 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0843667 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0987217 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0184275 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0458993 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0111089 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0470184 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0179434 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0646972 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0706747 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0762006 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.00156865 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0132742 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0309062 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0274221 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.015429 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.00979349 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0720405 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.000892223 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0131667 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.00156865 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0487729 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.00242467 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.579207 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.619946 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.305651 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.646776 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.628732 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.295289 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.601838 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.768041 # DEPENDENCYPART_SIBL
(3,4),(3,17),0.0914815 # DEPENDENCYPART_SIBL
(3,4),(3,18),0.513986 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.487237 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.140063 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.03486 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0994018 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0730628 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0674914 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0462815 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0649925 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.0128863 # DEPENDENCYPART_SIBL
(3,5),(3,18),0.0247387 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0416767 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0268555 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0873464 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0642431 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0597842 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0385872 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0529371 # DEPENDENCYPART_SIBL
(3,6),(3,17),0.0553716 # DEPENDENCYPART_SIBL
(3,6),(3,18),0.042243 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.0336825 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0427597 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0327062 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.112427 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0497666 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.012541 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.29479 # DEPENDENCYPART_SIBL
(3,7),(3,18),0.036471 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.291691 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.148383 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0614632 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0255784 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0919143 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0427555 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0357782 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0471978 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0916117 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.0411698 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0536035 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.021612 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0232252 # DEPENDENCYPART_SIBL
(3,9),(3,19),-0.101468 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.00257004 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0483403 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.179045 # DEPENDENCYPART_SIBL
(3,10),(3,18),0.160294 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0811486 # DEPENDENCYPART_SIBL
(3,11),(3,14),-0.0778597 # DEPENDENCYPART_SIBL
(3,11),(3,17),0.208655 # DEPENDENCYPART_SIBL
(3,11),(3,18),0.130976 # DEPENDENCYPART_SIBL
(3,11),(3,19),-0.0188497 # DEPENDENCYPART_SIBL
(3,14),(3,17),0.0428023 # DEPENDENCYPART_SIBL
(3,14),(3,18),-0.0392095 # DEPENDENCYPART_SIBL
(3,14),(3,19),-0.0538644 # DEPENDENCYPART_SIBL
(3,17),(3,18),0.513986 # DEPENDENCYPART_SIBL
(3,17),(3,19),0.487237 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.0456823 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.108212 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.239269 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0994224 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00758067 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0394312 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0392448 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0852801 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0133402 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.0307586 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0391966 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.0234648 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.127681 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.433912 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0678208 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0853308 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0649666 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0445743 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0707956 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.000215546 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0739774 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0708299 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.120606 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.108289 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.239421 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.282024 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.00749972 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0052696 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.039379 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0391926 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.000191115 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.145595 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0722065 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.461642 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0155056 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0219609 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.047018 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0162219 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0299209 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0854442 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.399136 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0308399 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0153467 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.039144 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0235175 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0199042 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.169578 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.435476 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.138468 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0662854 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0837954 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.10702 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0733615 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.071806 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0127853 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0383601 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0864937 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.104223 # DEPENDENCYPART_SIBL
(6,7),(6,9),-8.5382e-05 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0739012 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.106623 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.142049 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0812561 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.348727 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0708239 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.114798 # DEPENDENCYPART_SIBL
