# _root_ Cineplex traded on the New York Stock Exchange at $ 11.25 a share , up $ 1.125 , before trading was halted .
#goldHeads=2,0,2,8,8,8,8,3,2,11,9,13,11,11,11,17,15,2,21,21,2,21,2,
#predictedHeads=2,0,2,8,8,8,8,3,2,11,9,13,11,2,2,17,15,2,21,21,2,21,2,
(10,22),-2.23342 # DEPENDENCYPART_ARC
(10,23),-1.65172 # DEPENDENCYPART_ARC
(11,3),-1.00994 # DEPENDENCYPART_ARC
(11,8),-0.963949 # DEPENDENCYPART_ARC
(11,10),0.744964 # DEPENDENCYPART_ARC
(11,12),0.222727 # DEPENDENCYPART_ARC
(11,13),-0.249669 # DEPENDENCYPART_ARC
(11,14),-0.775789 # DEPENDENCYPART_ARC
(11,15),-1.27064 # DEPENDENCYPART_ARC
(11,17),-1.7099 # DEPENDENCYPART_ARC
(11,18),-1.4204 # DEPENDENCYPART_ARC
(11,19),-1.263 # DEPENDENCYPART_ARC
(11,20),-1.37065 # DEPENDENCYPART_ARC
(11,21),-1.11883 # DEPENDENCYPART_ARC
(11,23),-1.08691 # DEPENDENCYPART_ARC
(13,4),-1.96299 # DEPENDENCYPART_ARC
(13,5),-1.77664 # DEPENDENCYPART_ARC
(13,6),-1.73768 # DEPENDENCYPART_ARC
(13,7),-1.717 # DEPENDENCYPART_ARC
(13,8),-1.71017 # DEPENDENCYPART_ARC
(13,10),-1.30379 # DEPENDENCYPART_ARC
(13,11),-0.906718 # DEPENDENCYPART_ARC
(13,12),1.29816 # DEPENDENCYPART_ARC
(13,14),-0.450559 # DEPENDENCYPART_ARC
(13,15),-1.61237 # DEPENDENCYPART_ARC
(13,16),-1.81919 # DEPENDENCYPART_ARC
(13,17),-2.01534 # DEPENDENCYPART_ARC
(13,18),-1.71553 # DEPENDENCYPART_ARC
(13,19),-1.81461 # DEPENDENCYPART_ARC
(13,20),-2.19397 # DEPENDENCYPART_ARC
(13,21),-1.99232 # DEPENDENCYPART_ARC
(13,22),-2.38985 # DEPENDENCYPART_ARC
(13,23),-2.16529 # DEPENDENCYPART_ARC
(15,5),-1.92022 # DEPENDENCYPART_ARC
(15,6),-1.95928 # DEPENDENCYPART_ARC
(15,7),-2.02561 # DEPENDENCYPART_ARC
(15,8),-2.01359 # DEPENDENCYPART_ARC
(15,10),-2.04298 # DEPENDENCYPART_ARC
(15,12),-1.91343 # DEPENDENCYPART_ARC
(15,13),-1.79559 # DEPENDENCYPART_ARC
(15,14),-0.130924 # DEPENDENCYPART_ARC
(15,16),-0.0959496 # DEPENDENCYPART_ARC
(15,17),-0.61214 # DEPENDENCYPART_ARC
(15,18),-1.13468 # DEPENDENCYPART_ARC
(15,19),-1.60179 # DEPENDENCYPART_ARC
(15,20),-1.59802 # DEPENDENCYPART_ARC
(15,21),-1.60141 # DEPENDENCYPART_ARC
(16,12),-1.48675 # DEPENDENCYPART_ARC
(16,13),-1.26839 # DEPENDENCYPART_ARC
(16,15),0.784507 # DEPENDENCYPART_ARC
(16,17),0.163401 # DEPENDENCYPART_ARC
(16,18),-1.14081 # DEPENDENCYPART_ARC
(16,19),-1.90363 # DEPENDENCYPART_ARC
(16,20),-1.89143 # DEPENDENCYPART_ARC
(16,21),-1.89971 # DEPENDENCYPART_ARC
(16,22),-2.22188 # DEPENDENCYPART_ARC
(16,23),-1.83577 # DEPENDENCYPART_ARC
(17,12),-1.54814 # DEPENDENCYPART_ARC
(17,13),-1.39259 # DEPENDENCYPART_ARC
(17,15),-0.841349 # DEPENDENCYPART_ARC
(17,16),0.636552 # DEPENDENCYPART_ARC
(17,18),-0.0434737 # DEPENDENCYPART_ARC
(17,19),-1.35899 # DEPENDENCYPART_ARC
(17,20),-1.49429 # DEPENDENCYPART_ARC
(17,21),-1.35644 # DEPENDENCYPART_ARC
(17,22),-1.67844 # DEPENDENCYPART_ARC
(19,16),-1.71943 # DEPENDENCYPART_ARC
(19,17),-1.82861 # DEPENDENCYPART_ARC
(19,18),-0.109185 # DEPENDENCYPART_ARC
(19,20),0.0507349 # DEPENDENCYPART_ARC
(19,21),-0.921991 # DEPENDENCYPART_ARC
(19,22),-1.50578 # DEPENDENCYPART_ARC
(20,11),-2.29947 # DEPENDENCYPART_ARC
(20,12),-1.45944 # DEPENDENCYPART_ARC
(20,16),-2.13249 # DEPENDENCYPART_ARC
(20,17),-2.20276 # DEPENDENCYPART_ARC
(20,19),-0.183789 # DEPENDENCYPART_ARC
(20,22),-1.19141 # DEPENDENCYPART_ARC
(21,1),-1.09469 # DEPENDENCYPART_ARC
(21,2),-2.18246 # DEPENDENCYPART_ARC
(21,3),-1.09196 # DEPENDENCYPART_ARC
(21,5),-1.39493 # DEPENDENCYPART_ARC
(21,6),-1.42984 # DEPENDENCYPART_ARC
(21,7),-1.50002 # DEPENDENCYPART_ARC
(21,8),-1.01002 # DEPENDENCYPART_ARC
(21,9),-1.34045 # DEPENDENCYPART_ARC
(21,10),-1.24001 # DEPENDENCYPART_ARC
(21,11),-1.4258 # DEPENDENCYPART_ARC
(21,12),-1.44631 # DEPENDENCYPART_ARC
(21,13),-1.01194 # DEPENDENCYPART_ARC
(21,14),-1.94058 # DEPENDENCYPART_ARC
(21,15),-1.68373 # DEPENDENCYPART_ARC
(21,16),-1.53051 # DEPENDENCYPART_ARC
(21,17),-1.71662 # DEPENDENCYPART_ARC
(21,18),-0.819029 # DEPENDENCYPART_ARC
(21,19),0.181257 # DEPENDENCYPART_ARC
(21,20),1.0723 # DEPENDENCYPART_ARC
(21,22),1.61411 # DEPENDENCYPART_ARC
(21,23),-0.301903 # DEPENDENCYPART_ARC
(22,2),-2.28651 # DEPENDENCYPART_ARC
(22,3),-1.7725 # DEPENDENCYPART_ARC
(22,9),-1.64837 # DEPENDENCYPART_ARC
(22,13),-1.77211 # DEPENDENCYPART_ARC
(22,14),-2.9029 # DEPENDENCYPART_ARC
(22,19),-0.734631 # DEPENDENCYPART_ARC
(22,20),-1.09781 # DEPENDENCYPART_ARC
(22,23),0.338257 # DEPENDENCYPART_ARC
(23,22),-0.104889 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.127782 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.128775 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.123551 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.219151 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.225923 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.229688 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.00140713 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.00110628 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00854989 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.00258646 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0128397 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0230792 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0230792 # DEPENDENCYPART_SIBL
(1,2),(1,23),-0.00310934 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0574112 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0463179 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.110601 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.031843 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0369173 # DEPENDENCYPART_SIBL
(1,3),(1,18),0.0369173 # DEPENDENCYPART_SIBL
(1,3),(1,23),0.0845196 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0201669 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.00421943 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.0207132 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0376673 # DEPENDENCYPART_SIBL
(1,6),(1,18),0.0376673 # DEPENDENCYPART_SIBL
(1,6),(1,23),0.0255121 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0010164 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.0146626 # DEPENDENCYPART_SIBL
(1,8),(1,14),0.00730406 # DEPENDENCYPART_SIBL
(1,8),(1,18),0.00730406 # DEPENDENCYPART_SIBL
(1,8),(1,23),0.0188159 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0106444 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.0144493 # DEPENDENCYPART_SIBL
(1,9),(1,18),0.0144493 # DEPENDENCYPART_SIBL
(1,9),(1,23),0.0463918 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0135137 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0135137 # DEPENDENCYPART_SIBL
(1,10),(1,23),0.0529299 # DEPENDENCYPART_SIBL
(1,14),(1,18),0.0379039 # DEPENDENCYPART_SIBL
(1,14),(1,23),0.00443098 # DEPENDENCYPART_SIBL
(1,18),(1,23),0.00443098 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0296905 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.10798 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0490796 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0171853 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0469905 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0357565 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.00373292 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0816106 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00356419 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0788575 # DEPENDENCYPART_SIBL
(2,1),(2,18),0.00356419 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0112779 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0220149 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0197582 # DEPENDENCYPART_SIBL
(2,1),(2,23),0.0288378 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0148033 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00633353 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00834385 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.000496522 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00841672 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.118431 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0165945 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00982829 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0492643 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.00982829 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0566444 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0235034 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0420783 # DEPENDENCYPART_SIBL
(2,3),(2,23),0.0458218 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.037018 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0337044 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.038637 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0304718 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0178446 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.045265 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.029012 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0183223 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.029012 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0209416 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0379984 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.0205022 # DEPENDENCYPART_SIBL
(2,4),(2,23),-0.013111 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0595131 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0627006 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0519304 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0469313 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0423806 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0205432 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.00551342 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.0205432 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.00585317 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.0360073 # DEPENDENCYPART_SIBL
(2,5),(2,22),-0.0207823 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0144301 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0572816 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0465114 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.048834 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0392695 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.000856395 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.00225128 # DEPENDENCYPART_SIBL
(2,6),(2,18),-0.000856395 # DEPENDENCYPART_SIBL
(2,6),(2,19),-0.00301848 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.0264118 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0111866 # DEPENDENCYPART_SIBL
(2,6),(2,23),0.00594168 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0497854 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.053785 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0355948 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0215244 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0026188 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.0215244 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.00897694 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0110273 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.00408124 # DEPENDENCYPART_SIBL
(2,7),(2,23),0.00446966 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0439532 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0438369 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0162011 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00787446 # DEPENDENCYPART_SIBL
(2,8),(2,18),-0.0162011 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0112532 # DEPENDENCYPART_SIBL
(2,8),(2,21),-0.0274016 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0119137 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.00506521 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0286276 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.145531 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.104096 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.145531 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0762148 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0368209 # DEPENDENCYPART_SIBL
(2,9),(2,22),0.0732165 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0489689 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0125129 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0339308 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.0125129 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.00459261 # DEPENDENCYPART_SIBL
(2,10),(2,21),-0.0217212 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.00845694 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0178633 # DEPENDENCYPART_SIBL
(2,14),(2,15),0.0287174 # DEPENDENCYPART_SIBL
(2,14),(2,18),0.0243835 # DEPENDENCYPART_SIBL
(2,14),(2,19),0.0632319 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.0372444 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.0668567 # DEPENDENCYPART_SIBL
(2,14),(2,23),0.0499329 # DEPENDENCYPART_SIBL
(2,15),(2,18),-0.0215852 # DEPENDENCYPART_SIBL
(2,15),(2,19),0.0110179 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.0151054 # DEPENDENCYPART_SIBL
(2,15),(2,22),0.0317396 # DEPENDENCYPART_SIBL
(2,15),(2,23),0.0516141 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0632319 # DEPENDENCYPART_SIBL
(2,18),(2,21),0.0372444 # DEPENDENCYPART_SIBL
(2,18),(2,22),0.0668567 # DEPENDENCYPART_SIBL
(2,18),(2,23),0.0499329 # DEPENDENCYPART_SIBL
(2,19),(2,21),0.00803961 # DEPENDENCYPART_SIBL
(2,19),(2,22),0.0241509 # DEPENDENCYPART_SIBL
(2,19),(2,23),0.0578418 # DEPENDENCYPART_SIBL
(2,21),(2,22),-0.00455424 # DEPENDENCYPART_SIBL
(2,21),(2,23),0.0414295 # DEPENDENCYPART_SIBL
(2,22),(2,23),0.0436832 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0697967 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0686853 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0688392 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0692541 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0102663 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0380097 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0402355 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0415887 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.13575 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.133161 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.134083 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0131626 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0642307 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.049321 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0328372 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.129813 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.130736 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0134951 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0628611 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0478025 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0277171 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.13384 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.00910221 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0649381 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0475182 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.020402 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.00927029 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0668591 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0534474 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0190923 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0409846 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.00220213 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0524568 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0899796 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.0427724 # DEPENDENCYPART_SIBL
(3,15),(3,23),0.0597894 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0305641 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0355677 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00771198 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.123679 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0198487 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.00362598 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.00407513 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.000751776 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00784389 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0321822 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0442336 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0282086 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0107451 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.00228314 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.110673 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0699487 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0582338 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0395755 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0852475 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0321007 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00265666 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0098382 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00349508 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0121101 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0322507 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0454159 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0669117 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00350511 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0089388 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0299528 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.106184 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0289508 # DEPENDENCYPART_SIBL
(7,4),(7,16),-0.0299528 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.119237 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0371522 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.00343181 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0332402 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0557134 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0555292 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0332402 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.100322 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0395845 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0616368 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0759064 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.118563 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0616368 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.00469935 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0136068 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0112672 # DEPENDENCYPART_SIBL
