# _root_ Institutional building , such as hospitals and schools , eased in September following a surge in August .
#goldHeads=10,1,1,5,1,7,5,7,1,0,10,11,10,15,13,15,16,10,
#predictedHeads=10,10,2,5,2,7,5,7,10,0,10,11,10,15,13,15,16,10,
(5,9),-1.26015 # DEPENDENCYPART_ARC
(5,10),-1.99152 # DEPENDENCYPART_ARC
(5,11),-1.62526 # DEPENDENCYPART_ARC
(5,13),-2.31186 # DEPENDENCYPART_ARC
(5,16),-1.74433 # DEPENDENCYPART_ARC
(6,1),-2.86136 # DEPENDENCYPART_ARC
(6,2),-2.38607 # DEPENDENCYPART_ARC
(6,3),-2.30061 # DEPENDENCYPART_ARC
(6,4),-1.33147 # DEPENDENCYPART_ARC
(6,5),-0.678702 # DEPENDENCYPART_ARC
(6,7),-0.556222 # DEPENDENCYPART_ARC
(6,8),-1.15601 # DEPENDENCYPART_ARC
(6,9),-1.57165 # DEPENDENCYPART_ARC
(6,10),-1.9287 # DEPENDENCYPART_ARC
(7,1),-1.55853 # DEPENDENCYPART_ARC
(7,2),-1.16098 # DEPENDENCYPART_ARC
(7,3),-0.549031 # DEPENDENCYPART_ARC
(7,4),-0.657587 # DEPENDENCYPART_ARC
(7,5),-0.503892 # DEPENDENCYPART_ARC
(7,6),2.44634 # DEPENDENCYPART_ARC
(7,8),1.72401 # DEPENDENCYPART_ARC
(7,9),-0.67273 # DEPENDENCYPART_ARC
(7,10),-1.51697 # DEPENDENCYPART_ARC
(7,11),-1.64639 # DEPENDENCYPART_ARC
(7,12),-1.72022 # DEPENDENCYPART_ARC
(7,13),-2.46937 # DEPENDENCYPART_ARC
(7,15),-2.34833 # DEPENDENCYPART_ARC
(7,16),-1.84868 # DEPENDENCYPART_ARC
(7,18),-1.6377 # DEPENDENCYPART_ARC
(8,1),-3.2022 # DEPENDENCYPART_ARC
(8,2),-2.52369 # DEPENDENCYPART_ARC
(8,3),-2.20927 # DEPENDENCYPART_ARC
(8,4),-2.1287 # DEPENDENCYPART_ARC
(8,5),-1.83625 # DEPENDENCYPART_ARC
(8,6),-0.977163 # DEPENDENCYPART_ARC
(8,7),-0.258241 # DEPENDENCYPART_ARC
(8,9),-0.182995 # DEPENDENCYPART_ARC
(8,10),-1.859 # DEPENDENCYPART_ARC
(8,11),-2.0798 # DEPENDENCYPART_ARC
(8,13),-2.47138 # DEPENDENCYPART_ARC
(8,15),-2.00269 # DEPENDENCYPART_ARC
(10,1),-0.863882 # DEPENDENCYPART_ARC
(10,2),-0.988455 # DEPENDENCYPART_ARC
(10,3),-1.45913 # DEPENDENCYPART_ARC
(10,4),-1.32125 # DEPENDENCYPART_ARC
(10,5),-0.728404 # DEPENDENCYPART_ARC
(10,6),-1.41876 # DEPENDENCYPART_ARC
(10,7),-0.809219 # DEPENDENCYPART_ARC
(10,8),-0.982744 # DEPENDENCYPART_ARC
(10,9),0.789691 # DEPENDENCYPART_ARC
(10,11),1.3048 # DEPENDENCYPART_ARC
(10,12),-0.214287 # DEPENDENCYPART_ARC
(10,13),-0.154584 # DEPENDENCYPART_ARC
(10,15),-0.956544 # DEPENDENCYPART_ARC
(10,16),-0.814261 # DEPENDENCYPART_ARC
(10,18),0.0296854 # DEPENDENCYPART_ARC
(11,9),-1.50197 # DEPENDENCYPART_ARC
(11,12),0.710812 # DEPENDENCYPART_ARC
(11,13),-0.789709 # DEPENDENCYPART_ARC
(11,15),-1.63694 # DEPENDENCYPART_ARC
(11,16),-1.16466 # DEPENDENCYPART_ARC
(12,1),-3.51527 # DEPENDENCYPART_ARC
(12,7),-2.98363 # DEPENDENCYPART_ARC
(12,11),-0.975127 # DEPENDENCYPART_ARC
(12,13),-0.0505533 # DEPENDENCYPART_ARC
(12,15),-1.2547 # DEPENDENCYPART_ARC
(12,16),-1.25165 # DEPENDENCYPART_ARC
(12,18),-1.6334 # DEPENDENCYPART_ARC
(13,5),-2.13341 # DEPENDENCYPART_ARC
(13,9),-2.24651 # DEPENDENCYPART_ARC
(13,10),-2.02282 # DEPENDENCYPART_ARC
(13,11),-1.12446 # DEPENDENCYPART_ARC
(13,12),-0.401453 # DEPENDENCYPART_ARC
(13,14),-0.17911 # DEPENDENCYPART_ARC
(13,15),0.0247404 # DEPENDENCYPART_ARC
(13,16),-0.798007 # DEPENDENCYPART_ARC
(13,17),-0.910153 # DEPENDENCYPART_ARC
(13,18),-0.174279 # DEPENDENCYPART_ARC
(14,16),-1.20923 # DEPENDENCYPART_ARC
(15,4),-3.31686 # DEPENDENCYPART_ARC
(15,7),-2.22966 # DEPENDENCYPART_ARC
(15,10),-1.44097 # DEPENDENCYPART_ARC
(15,11),-1.48219 # DEPENDENCYPART_ARC
(15,12),-1.39413 # DEPENDENCYPART_ARC
(15,13),-0.82621 # DEPENDENCYPART_ARC
(15,14),1.29048 # DEPENDENCYPART_ARC
(15,16),0.379552 # DEPENDENCYPART_ARC
(15,17),-1.09415 # DEPENDENCYPART_ARC
(15,18),-1.07263 # DEPENDENCYPART_ARC
(16,13),-1.54463 # DEPENDENCYPART_ARC
(16,14),-1.42029 # DEPENDENCYPART_ARC
(16,15),-0.570607 # DEPENDENCYPART_ARC
(16,17),0.967026 # DEPENDENCYPART_ARC
(16,18),-1.02511 # DEPENDENCYPART_ARC
(17,14),-1.8088 # DEPENDENCYPART_ARC
(17,15),-1.2997 # DEPENDENCYPART_ARC
(17,18),-0.343774 # DEPENDENCYPART_ARC
(18,16),-1.02765 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0665196 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0172103 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0134498 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0491409 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0660468 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.066111 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0578397 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0450635 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.131714 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.162423 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.161283 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0179027 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0503765 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0702767 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0703416 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0532209 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.112243 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.108004 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.132251 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.133188 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.163136 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0573939 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.00359525 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0277142 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0188472 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0573939 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.00256631 # DEPENDENCYPART_SIBL
(1,2),(1,15),0.0462155 # DEPENDENCYPART_SIBL
(1,2),(1,18),0.0377474 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0149973 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.00822667 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0192106 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.107109 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0300842 # DEPENDENCYPART_SIBL
(1,3),(1,15),0.0884715 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0131469 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0230328 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0197911 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0271341 # DEPENDENCYPART_SIBL
(1,4),(1,10),6.45859e-05 # DEPENDENCYPART_SIBL
(1,4),(1,15),0.0201829 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0375914 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0124031 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.0524274 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0172035 # DEPENDENCYPART_SIBL
(1,5),(1,15),0.0754682 # DEPENDENCYPART_SIBL
(1,5),(1,18),0.0526886 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.0143938 # DEPENDENCYPART_SIBL
(1,7),(1,10),-0.018034 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.000649166 # DEPENDENCYPART_SIBL
(1,7),(1,18),-0.0140116 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0300842 # DEPENDENCYPART_SIBL
(1,9),(1,15),0.0884715 # DEPENDENCYPART_SIBL
(1,9),(1,18),-0.0131469 # DEPENDENCYPART_SIBL
(1,10),(1,15),0.0479539 # DEPENDENCYPART_SIBL
(1,10),(1,18),0.0285793 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.00240783 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00478082 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.00322653 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00699544 # DEPENDENCYPART_SIBL
(2,3),(2,7),-2.84522e-05 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00395786 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0466699 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0392497 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0283423 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0380326 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0283423 # DEPENDENCYPART_SIBL
(2,3),(2,18),0.00935054 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0399342 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0441639 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0379123 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0448218 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00979632 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0246619 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0215644 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0166068 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.0215644 # DEPENDENCYPART_SIBL
(2,4),(2,18),-0.0420187 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0222336 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0365615 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0222731 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00400659 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0395244 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0030377 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0243044 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0030377 # DEPENDENCYPART_SIBL
(2,5),(2,18),0.00842717 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0267413 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0109199 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0309039 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00100974 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0729793 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0190294 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0729793 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.00556503 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0140196 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00253845 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00227143 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0132602 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.00403469 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0132602 # DEPENDENCYPART_SIBL
(2,7),(2,18),0.00368998 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0308084 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00190872 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0749157 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0181304 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.0749157 # DEPENDENCYPART_SIBL
(2,8),(2,18),0.00312912 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0392497 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0283423 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0380326 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0283423 # DEPENDENCYPART_SIBL
(2,9),(2,18),0.00935054 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0104496 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0169566 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0104496 # DEPENDENCYPART_SIBL
(2,10),(2,18),-0.00357445 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00658653 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0529732 # DEPENDENCYPART_SIBL
(2,11),(2,18),-0.0292719 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.0401737 # DEPENDENCYPART_SIBL
(2,13),(2,18),0.0240017 # DEPENDENCYPART_SIBL
(2,16),(2,18),-0.0292719 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.190296 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.110413 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0146497 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0782317 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0138228 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.14556 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0321401 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0426676 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0146418 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.00145308 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.018403 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0241277 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0173275 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0331672 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.404514 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0458674 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.0582179 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0237605 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0270503 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.111225 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0239204 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.111343 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0623054 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0259005 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0130479 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.109079 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0642437 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0317821 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0225447 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0241506 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.00569642 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.0002655 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0229702 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.00884928 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.00798647 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0133788 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0190082 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0366573 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.00798647 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0140151 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0240638 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.00525121 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.000515388 # DEPENDENCYPART_SIBL
(4,8),(4,15),0.022133 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0100684 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0290874 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.00627374 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0958006 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0131611 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0441373 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0552777 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.0285651 # DEPENDENCYPART_SIBL
(4,11),(4,15),0.0667627 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.0100563 # DEPENDENCYPART_SIBL
(4,15),(4,18),-0.00271235 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0254613 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.00168705 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.083868 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0485695 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0833497 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0684397 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0452917 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00420027 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0408402 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.00420027 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0623585 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.0678607 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.124951 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0780271 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.734138 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.098255 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0463982 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.096228 # DEPENDENCYPART_SIBL
(5,3),(5,16),0.0463982 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0197814 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.428739 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0200485 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.140004 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0467184 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0792782 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0444771 # DEPENDENCYPART_SIBL
(5,4),(5,16),0.0792782 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.134963 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0693963 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.012046 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0277081 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0324237 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0221263 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0324237 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0494875 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.013565 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0331023 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0685328 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0343171 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0685328 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0121374 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.028158 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0316555 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0225761 # DEPENDENCYPART_SIBL
(5,8),(5,16),-0.0316555 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.00251671 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0108658 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.00581893 # DEPENDENCYPART_SIBL
(5,9),(5,16),0.0108658 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0534258 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0127613 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0534258 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.010237 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.00348964 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.0617364 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0619677 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.126915 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00442013 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00673465 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0783844 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0142815 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00717635 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0224884 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0857786 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.00667173 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.000175994 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.00744708 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0162086 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0152454 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0206758 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0262929 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0974148 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0346112 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00933324 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.140625 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0100803 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0109863 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.115055 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0389332 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0513501 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00890728 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.046764 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0433692 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0745146 # DEPENDENCYPART_SIBL
(6,5),(6,10),2.50633e-05 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0337156 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0235232 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0119372 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0143962 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0143966 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0234055 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0121385 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.110696 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.00214404 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0473165 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0264867 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.00233244 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.00370973 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0677736 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0301769 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0116899 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0791311 # DEPENDENCYPART_SIBL
(7,1),(7,15),0.0128958 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0301769 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0513109 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00418924 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0831209 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0637541 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0359999 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.379528 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0246513 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.339347 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.035271 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.375541 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.314992 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.374331 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.035271 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.00115763 # DEPENDENCYPART_SIBL
