# _root_ These firms , which often have acquired a local brokerage firm , are calling the shots when it comes to deciding in which market to transact a trade .
#goldHeads=2,13,2,6,6,2,6,11,11,11,7,2,0,13,16,14,19,19,14,19,20,26,24,22,26,21,28,26,13,
#predictedHeads=2,13,2,6,6,2,6,11,11,11,7,2,0,13,16,14,19,19,14,21,19,26,22,26,26,21,28,26,13,
(14,25),-1.57647 # DEPENDENCYPART_ARC
(14,26),-0.759099 # DEPENDENCYPART_ARC
(14,28),-1.54519 # DEPENDENCYPART_ARC
(14,29),0.00827974 # DEPENDENCYPART_ARC
(16,14),-0.985775 # DEPENDENCYPART_ARC
(16,15),1.17995 # DEPENDENCYPART_ARC
(16,18),-1.52229 # DEPENDENCYPART_ARC
(16,19),-1.02004 # DEPENDENCYPART_ARC
(16,20),-1.82934 # DEPENDENCYPART_ARC
(16,21),-1.52557 # DEPENDENCYPART_ARC
(16,22),-1.82025 # DEPENDENCYPART_ARC
(16,24),-1.88686 # DEPENDENCYPART_ARC
(16,25),-1.86821 # DEPENDENCYPART_ARC
(16,26),-1.40643 # DEPENDENCYPART_ARC
(18,24),-1.68649 # DEPENDENCYPART_ARC
(19,3),-3.0193 # DEPENDENCYPART_ARC
(19,5),-2.21932 # DEPENDENCYPART_ARC
(19,6),-1.68499 # DEPENDENCYPART_ARC
(19,7),-1.59013 # DEPENDENCYPART_ARC
(19,11),-2.57655 # DEPENDENCYPART_ARC
(19,12),-1.81619 # DEPENDENCYPART_ARC
(19,13),-1.64 # DEPENDENCYPART_ARC
(19,14),-1.61417 # DEPENDENCYPART_ARC
(19,15),-1.229 # DEPENDENCYPART_ARC
(19,16),-0.930273 # DEPENDENCYPART_ARC
(19,17),0.0160619 # DEPENDENCYPART_ARC
(19,18),1.01586 # DEPENDENCYPART_ARC
(19,20),0.233566 # DEPENDENCYPART_ARC
(19,21),0.164185 # DEPENDENCYPART_ARC
(19,22),-0.941393 # DEPENDENCYPART_ARC
(19,24),-1.55339 # DEPENDENCYPART_ARC
(19,25),-1.55258 # DEPENDENCYPART_ARC
(19,26),-0.887695 # DEPENDENCYPART_ARC
(19,28),-1.81629 # DEPENDENCYPART_ARC
(19,29),-0.0400354 # DEPENDENCYPART_ARC
(20,21),0.075447 # DEPENDENCYPART_ARC
(20,22),-1.13488 # DEPENDENCYPART_ARC
(20,24),-1.52589 # DEPENDENCYPART_ARC
(20,25),-1.44073 # DEPENDENCYPART_ARC
(20,28),-2.19856 # DEPENDENCYPART_ARC
(21,6),-2.68631 # DEPENDENCYPART_ARC
(21,11),-3.4082 # DEPENDENCYPART_ARC
(21,13),-2.42378 # DEPENDENCYPART_ARC
(21,16),-2.09197 # DEPENDENCYPART_ARC
(21,17),-1.20322 # DEPENDENCYPART_ARC
(21,18),-2.04711 # DEPENDENCYPART_ARC
(21,19),-1.93075 # DEPENDENCYPART_ARC
(21,20),0.640609 # DEPENDENCYPART_ARC
(21,22),0.393746 # DEPENDENCYPART_ARC
(21,24),-1.01322 # DEPENDENCYPART_ARC
(21,25),-1.25966 # DEPENDENCYPART_ARC
(21,26),-0.913649 # DEPENDENCYPART_ARC
(21,28),-1.6679 # DEPENDENCYPART_ARC
(21,29),-1.05825 # DEPENDENCYPART_ARC
(22,20),-1.17959 # DEPENDENCYPART_ARC
(22,21),-0.182266 # DEPENDENCYPART_ARC
(22,23),0.566862 # DEPENDENCYPART_ARC
(22,24),-0.220807 # DEPENDENCYPART_ARC
(22,25),-1.18071 # DEPENDENCYPART_ARC
(22,26),-1.18986 # DEPENDENCYPART_ARC
(22,28),-2.27962 # DEPENDENCYPART_ARC
(24,20),-1.98426 # DEPENDENCYPART_ARC
(24,21),-1.53555 # DEPENDENCYPART_ARC
(24,22),-1.06892 # DEPENDENCYPART_ARC
(24,23),0.118638 # DEPENDENCYPART_ARC
(24,25),-0.381011 # DEPENDENCYPART_ARC
(24,26),-0.947496 # DEPENDENCYPART_ARC
(24,28),-1.54662 # DEPENDENCYPART_ARC
(25,22),-0.98152 # DEPENDENCYPART_ARC
(25,24),-0.246151 # DEPENDENCYPART_ARC
(25,26),-0.410068 # DEPENDENCYPART_ARC
(25,28),-1.96937 # DEPENDENCYPART_ARC
(26,11),-3.21852 # DEPENDENCYPART_ARC
(26,13),-1.96317 # DEPENDENCYPART_ARC
(26,16),-1.73023 # DEPENDENCYPART_ARC
(26,17),-1.24274 # DEPENDENCYPART_ARC
(26,18),-1.94159 # DEPENDENCYPART_ARC
(26,19),-1.63775 # DEPENDENCYPART_ARC
(26,20),-1.08515 # DEPENDENCYPART_ARC
(26,21),-1.67495 # DEPENDENCYPART_ARC
(26,22),-0.879641 # DEPENDENCYPART_ARC
(26,23),-1.16858 # DEPENDENCYPART_ARC
(26,24),-0.824358 # DEPENDENCYPART_ARC
(26,25),1.22844 # DEPENDENCYPART_ARC
(26,27),0.0384293 # DEPENDENCYPART_ARC
(26,28),0.33799 # DEPENDENCYPART_ARC
(26,29),-0.68222 # DEPENDENCYPART_ARC
(28,23),-1.66681 # DEPENDENCYPART_ARC
(28,24),-1.65483 # DEPENDENCYPART_ARC
(28,25),-1.74349 # DEPENDENCYPART_ARC
(28,27),1.32259 # DEPENDENCYPART_ARC
(28,29),-0.236229 # DEPENDENCYPART_ARC
(29,28),-0.64196 # DEPENDENCYPART_ARC
(0,2),(0,6),-0.125595 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.120921 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.117917 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.115147 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.118908 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.228282 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.234263 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.225277 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.230455 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.227863 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.220693 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.225871 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.231896 # DEPENDENCYPART_SIBL
(0,13),(0,19),-0.237073 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.228168 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0202063 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.00990943 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0693242 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.172574 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0509483 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.135263 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0620361 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.147686 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.103456 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.117128 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.14095 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.172574 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.136006 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0598961 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.122338 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.109292 # DEPENDENCYPART_SIBL
(2,1),(2,29),-0.102155 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0202762 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0837043 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0586523 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0164599 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0360337 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.056051 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.056537 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0493937 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0390941 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0281806 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0512271 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0303906 # DEPENDENCYPART_SIBL
(2,3),(2,29),0.00212551 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.00717436 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00258221 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0119808 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.0443128 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0211834 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0147584 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0164833 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0201418 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.00432874 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0202704 # DEPENDENCYPART_SIBL
(2,5),(2,19),-0.00482254 # DEPENDENCYPART_SIBL
(2,5),(2,29),-0.00198826 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0144468 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0152754 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0190052 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.011047 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.00635717 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0983846 # DEPENDENCYPART_SIBL
(2,6),(2,13),1.50184e-05 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.00956011 # DEPENDENCYPART_SIBL
(2,6),(2,16),0.0101499 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.00433283 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.0036696 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00558975 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00514416 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.00546035 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0228645 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0389586 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00560039 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.00197609 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.00635741 # DEPENDENCYPART_SIBL
(2,7),(2,19),-0.00325119 # DEPENDENCYPART_SIBL
(2,7),(2,29),-0.0125871 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.012472 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0173576 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0325829 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0371083 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0540716 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.046214 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0182706 # DEPENDENCYPART_SIBL
(2,8),(2,19),-0.0456846 # DEPENDENCYPART_SIBL
(2,8),(2,29),-0.0212726 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0119413 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0276854 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0104704 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.00500963 # DEPENDENCYPART_SIBL
(2,9),(2,14),-0.00515225 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0128543 # DEPENDENCYPART_SIBL
(2,9),(2,19),-0.00161029 # DEPENDENCYPART_SIBL
(2,9),(2,29),-0.00316981 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0235784 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.0149964 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.026457 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.0141697 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0118245 # DEPENDENCYPART_SIBL
(2,10),(2,19),-0.017175 # DEPENDENCYPART_SIBL
(2,10),(2,29),0.00985758 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0333697 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.0259205 # DEPENDENCYPART_SIBL
(2,11),(2,14),-0.0135927 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.00644426 # DEPENDENCYPART_SIBL
(2,11),(2,19),-0.0165979 # DEPENDENCYPART_SIBL
(2,11),(2,29),0.0165287 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0390941 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0281806 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0512271 # DEPENDENCYPART_SIBL
(2,12),(2,19),0.0303906 # DEPENDENCYPART_SIBL
(2,12),(2,29),0.00212551 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.00716504 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.00349225 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.012392 # DEPENDENCYPART_SIBL
(2,13),(2,29),0.0543419 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0105471 # DEPENDENCYPART_SIBL
(2,14),(2,19),-0.0125659 # DEPENDENCYPART_SIBL
(2,14),(2,29),0.00231295 # DEPENDENCYPART_SIBL
(2,16),(2,19),-0.016745 # DEPENDENCYPART_SIBL
(2,16),(2,29),0.0159188 # DEPENDENCYPART_SIBL
(2,19),(2,29),-0.00824532 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0702429 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0675996 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0531407 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.214989 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.11045 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.104264 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.23278 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0276958 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0263608 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0253326 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0480044 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.142671 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.103129 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.020326 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0537072 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0506343 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0318466 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0183531 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0273616 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0118773 # DEPENDENCYPART_SIBL
(6,1),(6,13),-0.0851331 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0264204 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0142915 # DEPENDENCYPART_SIBL
(6,1),(6,19),-0.0650882 # DEPENDENCYPART_SIBL
(6,1),(6,21),-0.0567851 # DEPENDENCYPART_SIBL
(6,1),(6,26),-0.0547182 # DEPENDENCYPART_SIBL
(6,1),(6,29),0.0693809 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0371418 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.112855 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0321826 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0593551 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0749702 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0234022 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0383552 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0693898 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0752763 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.0156903 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0931763 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0533709 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.0552152 # DEPENDENCYPART_SIBL
(6,2),(6,21),0.074784 # DEPENDENCYPART_SIBL
(6,2),(6,26),0.0690631 # DEPENDENCYPART_SIBL
(6,2),(6,29),0.0597109 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0798376 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0404196 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.00675133 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.163948 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0534174 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0750544 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0495958 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.185726 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.00588991 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0678281 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0525322 # DEPENDENCYPART_SIBL
(6,3),(6,19),0.00335348 # DEPENDENCYPART_SIBL
(6,3),(6,21),0.0173053 # DEPENDENCYPART_SIBL
(6,3),(6,26),0.0148563 # DEPENDENCYPART_SIBL
(6,3),(6,29),0.0581282 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0154255 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00436731 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0521621 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0127489 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.00755592 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0002303 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0267109 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0329818 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0337308 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00155454 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.00895166 # DEPENDENCYPART_SIBL
(6,4),(6,21),0.016723 # DEPENDENCYPART_SIBL
(6,4),(6,26),0.014271 # DEPENDENCYPART_SIBL
(6,4),(6,29),-0.161128 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0851242 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0482628 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00930127 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.00329749 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.00591384 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.010426 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.060153 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.11939 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.005889 # DEPENDENCYPART_SIBL
(6,5),(6,19),0.0914 # DEPENDENCYPART_SIBL
(6,5),(6,21),0.0991172 # DEPENDENCYPART_SIBL
(6,5),(6,26),0.0974052 # DEPENDENCYPART_SIBL
(6,5),(6,29),0.181776 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0524535 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0696816 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0518044 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0612423 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0338044 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0501474 # DEPENDENCYPART_SIBL
(6,7),(6,14),-0.0506808 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0515874 # DEPENDENCYPART_SIBL
(6,7),(6,19),-0.0717038 # DEPENDENCYPART_SIBL
(6,7),(6,21),-0.0482802 # DEPENDENCYPART_SIBL
(6,7),(6,26),-0.0628576 # DEPENDENCYPART_SIBL
(6,7),(6,29),0.001796 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.053145 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0457461 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0540908 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0596904 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0485711 # DEPENDENCYPART_SIBL
(6,8),(6,14),-0.0399898 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0455372 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0513017 # DEPENDENCYPART_SIBL
(6,8),(6,21),-0.0316553 # DEPENDENCYPART_SIBL
(6,8),(6,26),-0.046281 # DEPENDENCYPART_SIBL
(6,8),(6,29),-0.0464574 # DEPENDENCYPART_SIBL
