# _root_ ( After 1992 , the winter and summer Olympics will be held two years apart , with the revised schedule beginning with the winter games in 1994 and the summer games in 1996 . )
#goldHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,15,12,12,12,20,20,21,17,21,25,25,28,25,26,22,31,31,28,31,32,10,10,
#predictedHeads=10,10,2,10,9,7,9,7,10,0,10,11,14,12,12,12,12,20,20,17,20,21,25,25,22,21,26,22,31,31,28,31,32,10,28,
(9,8),1.57804 # DEPENDENCYPART_ARC
(10,1),-1.13919 # DEPENDENCYPART_ARC
(10,2),-0.933603 # DEPENDENCYPART_ARC
(10,3),-1.53674 # DEPENDENCYPART_ARC
(10,4),-1.14675 # DEPENDENCYPART_ARC
(10,5),-1.09134 # DEPENDENCYPART_ARC
(10,6),-0.488179 # DEPENDENCYPART_ARC
(10,7),-0.238985 # DEPENDENCYPART_ARC
(10,8),-0.253472 # DEPENDENCYPART_ARC
(10,9),1.07267 # DEPENDENCYPART_ARC
(10,11),1.82359 # DEPENDENCYPART_ARC
(10,12),-0.126901 # DEPENDENCYPART_ARC
(10,15),-0.968033 # DEPENDENCYPART_ARC
(10,16),-1.03477 # DEPENDENCYPART_ARC
(10,17),-1.59692 # DEPENDENCYPART_ARC
(10,28),-1.37933 # DEPENDENCYPART_ARC
(10,34),-0.643738 # DEPENDENCYPART_ARC
(11,2),-1.78992 # DEPENDENCYPART_ARC
(11,3),-2.45324 # DEPENDENCYPART_ARC
(11,4),-1.82805 # DEPENDENCYPART_ARC
(11,6),-1.37129 # DEPENDENCYPART_ARC
(11,7),-1.32613 # DEPENDENCYPART_ARC
(11,8),-1.22265 # DEPENDENCYPART_ARC
(11,9),-1.19411 # DEPENDENCYPART_ARC
(11,10),-0.699301 # DEPENDENCYPART_ARC
(11,12),0.993842 # DEPENDENCYPART_ARC
(11,13),-0.990324 # DEPENDENCYPART_ARC
(11,14),-1.05103 # DEPENDENCYPART_ARC
(11,15),-1.14883 # DEPENDENCYPART_ARC
(11,16),-1.41052 # DEPENDENCYPART_ARC
(11,17),-2.01624 # DEPENDENCYPART_ARC
(11,20),-2.52441 # DEPENDENCYPART_ARC
(11,21),-1.92521 # DEPENDENCYPART_ARC
(11,28),-1.31965 # DEPENDENCYPART_ARC
(11,34),-2.35192 # DEPENDENCYPART_ARC
(12,2),-1.89676 # DEPENDENCYPART_ARC
(12,4),-2.28139 # DEPENDENCYPART_ARC
(12,6),-1.61333 # DEPENDENCYPART_ARC
(12,7),-1.55318 # DEPENDENCYPART_ARC
(12,8),-1.56465 # DEPENDENCYPART_ARC
(12,13),-0.125642 # DEPENDENCYPART_ARC
(12,14),-0.179435 # DEPENDENCYPART_ARC
(12,15),-0.65917 # DEPENDENCYPART_ARC
(12,16),-0.896084 # DEPENDENCYPART_ARC
(12,17),-1.4547 # DEPENDENCYPART_ARC
(12,19),-1.82056 # DEPENDENCYPART_ARC
(12,20),-2.02405 # DEPENDENCYPART_ARC
(12,21),-1.63375 # DEPENDENCYPART_ARC
(12,22),-2.02571 # DEPENDENCYPART_ARC
(12,26),-2.48049 # DEPENDENCYPART_ARC
(12,28),-1.41034 # DEPENDENCYPART_ARC
(12,32),-2.83191 # DEPENDENCYPART_ARC
(12,34),-1.90426 # DEPENDENCYPART_ARC
(13,15),-0.8845 # DEPENDENCYPART_ARC
(13,16),-1.00029 # DEPENDENCYPART_ARC
(13,20),-1.94853 # DEPENDENCYPART_ARC
(14,2),-1.80409 # DEPENDENCYPART_ARC
(14,5),-1.94948 # DEPENDENCYPART_ARC
(14,7),-1.44072 # DEPENDENCYPART_ARC
(14,8),-1.67313 # DEPENDENCYPART_ARC
(14,12),-0.601202 # DEPENDENCYPART_ARC
(14,13),1.01089 # DEPENDENCYPART_ARC
(14,15),-0.205527 # DEPENDENCYPART_ARC
(14,16),-1.40091 # DEPENDENCYPART_ARC
(14,17),-1.79307 # DEPENDENCYPART_ARC
(14,19),-1.84604 # DEPENDENCYPART_ARC
(14,20),-1.8238 # DEPENDENCYPART_ARC
(14,21),-2.06487 # DEPENDENCYPART_ARC
(14,25),-2.02126 # DEPENDENCYPART_ARC
(15,4),-1.5146 # DEPENDENCYPART_ARC
(15,6),-1.07217 # DEPENDENCYPART_ARC
(15,7),-1.14154 # DEPENDENCYPART_ARC
(15,8),-1.21377 # DEPENDENCYPART_ARC
(15,14),0.337074 # DEPENDENCYPART_ARC
(15,16),-0.0734945 # DEPENDENCYPART_ARC
(15,17),-1.33739 # DEPENDENCYPART_ARC
(15,19),-1.59613 # DEPENDENCYPART_ARC
(15,20),-1.74109 # DEPENDENCYPART_ARC
(15,22),-1.79947 # DEPENDENCYPART_ARC
(16,15),-0.28953 # DEPENDENCYPART_ARC
(16,17),-0.474086 # DEPENDENCYPART_ARC
(17,14),-1.79727 # DEPENDENCYPART_ARC
(17,15),-1.6302 # DEPENDENCYPART_ARC
(17,16),-0.247134 # DEPENDENCYPART_ARC
(17,18),-0.204356 # DEPENDENCYPART_ARC
(17,19),-0.798398 # DEPENDENCYPART_ARC
(17,20),-0.982946 # DEPENDENCYPART_ARC
(17,21),-0.980115 # DEPENDENCYPART_ARC
(17,22),-1.56664 # DEPENDENCYPART_ARC
(17,25),-2.44186 # DEPENDENCYPART_ARC
(17,26),-1.65537 # DEPENDENCYPART_ARC
(17,28),-0.800605 # DEPENDENCYPART_ARC
(17,31),-3.12785 # DEPENDENCYPART_ARC
(18,19),-0.431496 # DEPENDENCYPART_ARC
(18,21),-1.25281 # DEPENDENCYPART_ARC
(18,22),-1.34518 # DEPENDENCYPART_ARC
(19,14),-1.86474 # DEPENDENCYPART_ARC
(19,18),-0.0773531 # DEPENDENCYPART_ARC
(19,21),-0.847556 # DEPENDENCYPART_ARC
(19,22),-1.12082 # DEPENDENCYPART_ARC
(20,5),-3.24023 # DEPENDENCYPART_ARC
(20,13),-1.98924 # DEPENDENCYPART_ARC
(20,15),-1.85618 # DEPENDENCYPART_ARC
(20,16),-1.62994 # DEPENDENCYPART_ARC
(20,18),0.195384 # DEPENDENCYPART_ARC
(20,19),1.34936 # DEPENDENCYPART_ARC
(20,21),0.163309 # DEPENDENCYPART_ARC
(20,22),-0.645678 # DEPENDENCYPART_ARC
(20,25),-1.3313 # DEPENDENCYPART_ARC
(20,26),-1.29804 # DEPENDENCYPART_ARC
(20,27),-1.59187 # DEPENDENCYPART_ARC
(20,31),-1.51835 # DEPENDENCYPART_ARC
(20,34),-1.39883 # DEPENDENCYPART_ARC
(21,14),-2.66329 # DEPENDENCYPART_ARC
(21,17),-1.19333 # DEPENDENCYPART_ARC
(21,20),-0.486237 # DEPENDENCYPART_ARC
(21,22),0.824475 # DEPENDENCYPART_ARC
(21,23),-1.00086 # DEPENDENCYPART_ARC
(21,24),-1.14937 # DEPENDENCYPART_ARC
(21,25),-1.01216 # DEPENDENCYPART_ARC
(21,26),-0.943227 # DEPENDENCYPART_ARC
(21,27),-1.40961 # DEPENDENCYPART_ARC
(21,28),-0.784871 # DEPENDENCYPART_ARC
(21,31),-1.68931 # DEPENDENCYPART_ARC
(21,32),-1.36299 # DEPENDENCYPART_ARC
(21,34),-0.811183 # DEPENDENCYPART_ARC
(22,23),-0.123697 # DEPENDENCYPART_ARC
(22,24),-0.403429 # DEPENDENCYPART_ARC
(22,25),-1.03637 # DEPENDENCYPART_ARC
(22,26),-1.54703 # DEPENDENCYPART_ARC
(22,27),-1.66028 # DEPENDENCYPART_ARC
(22,28),-0.700931 # DEPENDENCYPART_ARC
(22,31),-2.20001 # DEPENDENCYPART_ARC
(22,32),-1.43143 # DEPENDENCYPART_ARC
(23,24),-0.372693 # DEPENDENCYPART_ARC
(24,23),-0.0689925 # DEPENDENCYPART_ARC
(24,25),-0.620059 # DEPENDENCYPART_ARC
(24,26),-1.16896 # DEPENDENCYPART_ARC
(24,27),-1.59904 # DEPENDENCYPART_ARC
(24,31),-2.01106 # DEPENDENCYPART_ARC
(24,35),-1.71303 # DEPENDENCYPART_ARC
(25,18),-2.03387 # DEPENDENCYPART_ARC
(25,19),-1.42883 # DEPENDENCYPART_ARC
(25,20),-1.41198 # DEPENDENCYPART_ARC
(25,22),-0.790092 # DEPENDENCYPART_ARC
(25,23),0.528376 # DEPENDENCYPART_ARC
(25,24),1.77436 # DEPENDENCYPART_ARC
(25,26),0.0188033 # DEPENDENCYPART_ARC
(25,27),-1.11156 # DEPENDENCYPART_ARC
(25,28),-1.01584 # DEPENDENCYPART_ARC
(25,30),-1.41253 # DEPENDENCYPART_ARC
(25,31),-1.41934 # DEPENDENCYPART_ARC
(25,32),-1.33708 # DEPENDENCYPART_ARC
(25,33),-1.73701 # DEPENDENCYPART_ARC
(25,34),-1.12177 # DEPENDENCYPART_ARC
(25,35),-1.42798 # DEPENDENCYPART_ARC
(26,24),-1.32472 # DEPENDENCYPART_ARC
(26,25),-0.423167 # DEPENDENCYPART_ARC
(26,27),0.100383 # DEPENDENCYPART_ARC
(26,28),-0.91313 # DEPENDENCYPART_ARC
(26,30),-1.22168 # DEPENDENCYPART_ARC
(26,31),-1.36551 # DEPENDENCYPART_ARC
(26,32),-0.714237 # DEPENDENCYPART_ARC
(26,35),-1.16932 # DEPENDENCYPART_ARC
(27,23),-1.4465 # DEPENDENCYPART_ARC
(27,24),-1.41192 # DEPENDENCYPART_ARC
(27,26),-0.33035 # DEPENDENCYPART_ARC
(27,33),-1.67374 # DEPENDENCYPART_ARC
(27,35),-1.35366 # DEPENDENCYPART_ARC
(28,2),-1.384 # DEPENDENCYPART_ARC
(28,4),-2.56834 # DEPENDENCYPART_ARC
(28,7),-1.9232 # DEPENDENCYPART_ARC
(28,8),-2.26976 # DEPENDENCYPART_ARC
(28,10),-1.87447 # DEPENDENCYPART_ARC
(28,11),-2.57993 # DEPENDENCYPART_ARC
(28,12),-2.28782 # DEPENDENCYPART_ARC
(28,13),-1.55059 # DEPENDENCYPART_ARC
(28,14),-1.95218 # DEPENDENCYPART_ARC
(28,15),-1.91359 # DEPENDENCYPART_ARC
(28,16),-1.72578 # DEPENDENCYPART_ARC
(28,17),-1.0198 # DEPENDENCYPART_ARC
(28,18),-2.39535 # DEPENDENCYPART_ARC
(28,19),-1.90794 # DEPENDENCYPART_ARC
(28,20),-1.27217 # DEPENDENCYPART_ARC
(28,21),-0.895594 # DEPENDENCYPART_ARC
(28,22),-1.06708 # DEPENDENCYPART_ARC
(28,23),-1.54022 # DEPENDENCYPART_ARC
(28,24),-0.913262 # DEPENDENCYPART_ARC
(28,25),-0.736112 # DEPENDENCYPART_ARC
(28,26),-0.723586 # DEPENDENCYPART_ARC
(28,27),0.386134 # DEPENDENCYPART_ARC
(28,29),0.257208 # DEPENDENCYPART_ARC
(28,30),-0.204441 # DEPENDENCYPART_ARC
(28,31),-0.826104 # DEPENDENCYPART_ARC
(28,32),-1.23517 # DEPENDENCYPART_ARC
(28,33),-1.27775 # DEPENDENCYPART_ARC
(28,34),-0.143846 # DEPENDENCYPART_ARC
(28,35),-0.8266 # DEPENDENCYPART_ARC
(29,30),-0.44334 # DEPENDENCYPART_ARC
(30,27),-2.14484 # DEPENDENCYPART_ARC
(30,29),0.0330293 # DEPENDENCYPART_ARC
(30,31),-0.614938 # DEPENDENCYPART_ARC
(30,32),-1.17137 # DEPENDENCYPART_ARC
(30,33),-1.57831 # DEPENDENCYPART_ARC
(30,35),-1.45951 # DEPENDENCYPART_ARC
(31,23),-1.57294 # DEPENDENCYPART_ARC
(31,24),-1.07699 # DEPENDENCYPART_ARC
(31,25),-1.81845 # DEPENDENCYPART_ARC
(31,26),-0.920609 # DEPENDENCYPART_ARC
(31,27),-1.03368 # DEPENDENCYPART_ARC
(31,28),-0.53801 # DEPENDENCYPART_ARC
(31,29),0.503998 # DEPENDENCYPART_ARC
(31,30),1.75859 # DEPENDENCYPART_ARC
(31,32),0.0209154 # DEPENDENCYPART_ARC
(31,33),-1.12013 # DEPENDENCYPART_ARC
(31,34),-1.06436 # DEPENDENCYPART_ARC
(31,35),-1.11752 # DEPENDENCYPART_ARC
(32,30),-1.32225 # DEPENDENCYPART_ARC
(32,31),-0.419332 # DEPENDENCYPART_ARC
(32,33),0.161727 # DEPENDENCYPART_ARC
(32,34),-0.938726 # DEPENDENCYPART_ARC
(32,35),-0.942116 # DEPENDENCYPART_ARC
(33,29),-1.31628 # DEPENDENCYPART_ARC
(33,30),-1.31052 # DEPENDENCYPART_ARC
(33,32),-0.226097 # DEPENDENCYPART_ARC
(33,35),-0.923592 # DEPENDENCYPART_ARC
(34,32),-0.807724 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0230038 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0603806 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0100029 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.044005 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.10711 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.111855 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0965538 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0603806 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0629288 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0321518 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0183297 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0850261 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0859451 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.0858707 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.0629288 # DEPENDENCYPART_SIBL
(0,7),(0,9),-0.0609008 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.066296 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.128769 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.132328 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.132251 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.113963 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0406863 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.109985 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.107334 # DEPENDENCYPART_SIBL
(0,9),(0,21),-0.0877423 # DEPENDENCYPART_SIBL
(0,9),(0,28),-0.0912498 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.106505 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.104798 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.105062 # DEPENDENCYPART_SIBL
(0,10),(0,28),-0.0972923 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.174542 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.175384 # DEPENDENCYPART_SIBL
(0,11),(0,28),-0.134704 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.1665 # DEPENDENCYPART_SIBL
(0,12),(0,28),-0.132012 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.131723 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.164484 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.208413 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0851888 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0879399 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0997461 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0436446 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00901589 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0498071 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0774458 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.00933156 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0187072 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0271904 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0404145 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.00114744 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0301039 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.110413 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0119845 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.00734804 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0231674 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0484596 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.0258492 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.040978 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0401937 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.019843 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0622798 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0303169 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.025241 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0270501 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0128654 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0457589 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0321665 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.00611993 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0719218 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0845429 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.074694 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0727206 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0074611 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00535551 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00395078 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0103908 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0120658 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0159831 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0543945 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.008076 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0322787 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.101379 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0209508 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0611366 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0652218 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0899432 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.000319938 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0173954 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0295314 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0309839 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0350027 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00285131 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.005008 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.0286044 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0362265 # DEPENDENCYPART_SIBL
(6,2),(6,12),0.0192525 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.00194045 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0558615 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0260588 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0274073 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00359478 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00338313 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.00762322 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0581665 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0164261 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0208682 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0068879 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.055094 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0278743 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0168871 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.01799 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0936179 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.125229 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.169337 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0125048 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0116653 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0206442 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0143846 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0107395 # DEPENDENCYPART_SIBL
(6,9),(6,11),-0.0224657 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0162061 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.00393023 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.000402455 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.0239073 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0158189 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.00704018 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.102323 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0725823 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0413116 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0715134 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.147141 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0636657 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0298783 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.075257 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0700005 # DEPENDENCYPART_SIBL
(7,2),(7,15),0.0398776 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.022747 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.196183 # DEPENDENCYPART_SIBL
(7,2),(7,20),-0.053585 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.00886257 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.196183 # DEPENDENCYPART_SIBL
(7,2),(7,25),-0.0560769 # DEPENDENCYPART_SIBL
(7,2),(7,34),0.0244693 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0241392 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0889414 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00841969 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0105301 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0423359 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0499066 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.124502 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0817539 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.411253 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.0482695 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0564527 # DEPENDENCYPART_SIBL
(7,3),(7,16),-0.00888458 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0699419 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.0237555 # DEPENDENCYPART_SIBL
(7,3),(7,21),-0.096563 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0699419 # DEPENDENCYPART_SIBL
(7,3),(7,25),-0.0267856 # DEPENDENCYPART_SIBL
(7,3),(7,34),-0.0721254 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0829239 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.000204046 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00269007 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0448949 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.13275 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0321626 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.00376423 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0821538 # DEPENDENCYPART_SIBL
