# _root_ Gains in advertising revenue , however , resulted in operating profit of $ 78.4 million -- up 20 % from $ 65.6 million .
#goldHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
#predictedHeads=8,1,4,2,8,8,8,0,8,11,9,11,12,13,13,13,13,19,17,17,20,21,21,8,
(9,7),-1.61842 # DEPENDENCYPART_ARC
(9,10),0.234013 # DEPENDENCYPART_ARC
(9,11),-0.494267 # DEPENDENCYPART_ARC
(9,12),-1.47972 # DEPENDENCYPART_ARC
(9,13),-1.62296 # DEPENDENCYPART_ARC
(9,14),-2.00863 # DEPENDENCYPART_ARC
(9,15),-2.03622 # DEPENDENCYPART_ARC
(9,17),-1.64732 # DEPENDENCYPART_ARC
(10,12),-1.2207 # DEPENDENCYPART_ARC
(10,13),-1.57528 # DEPENDENCYPART_ARC
(10,24),-1.35275 # DEPENDENCYPART_ARC
(11,1),-2.4466 # DEPENDENCYPART_ARC
(11,5),-2.41843 # DEPENDENCYPART_ARC
(11,6),-2.22488 # DEPENDENCYPART_ARC
(11,7),-1.63178 # DEPENDENCYPART_ARC
(11,8),-1.06711 # DEPENDENCYPART_ARC
(11,9),-0.896452 # DEPENDENCYPART_ARC
(11,10),2.14587 # DEPENDENCYPART_ARC
(11,12),0.383026 # DEPENDENCYPART_ARC
(11,13),-1.04791 # DEPENDENCYPART_ARC
(11,14),-1.28498 # DEPENDENCYPART_ARC
(11,15),-1.49582 # DEPENDENCYPART_ARC
(11,16),-0.893008 # DEPENDENCYPART_ARC
(11,17),-1.09672 # DEPENDENCYPART_ARC
(11,18),-1.74155 # DEPENDENCYPART_ARC
(11,19),-1.14379 # DEPENDENCYPART_ARC
(11,20),-0.908011 # DEPENDENCYPART_ARC
(11,23),-2.0581 # DEPENDENCYPART_ARC
(11,24),-0.735516 # DEPENDENCYPART_ARC
(12,11),-0.486664 # DEPENDENCYPART_ARC
(12,13),-0.523266 # DEPENDENCYPART_ARC
(12,14),-1.14669 # DEPENDENCYPART_ARC
(12,15),-1.73627 # DEPENDENCYPART_ARC
(12,16),-1.49783 # DEPENDENCYPART_ARC
(12,17),-1.86749 # DEPENDENCYPART_ARC
(12,18),-2.1153 # DEPENDENCYPART_ARC
(12,19),-1.69001 # DEPENDENCYPART_ARC
(12,20),-1.63723 # DEPENDENCYPART_ARC
(13,9),-1.07294 # DEPENDENCYPART_ARC
(13,10),-1.13421 # DEPENDENCYPART_ARC
(13,11),-1.03515 # DEPENDENCYPART_ARC
(13,12),0.12237 # DEPENDENCYPART_ARC
(13,14),0.78658 # DEPENDENCYPART_ARC
(13,15),-0.190278 # DEPENDENCYPART_ARC
(13,16),-0.765689 # DEPENDENCYPART_ARC
(13,17),-0.997724 # DEPENDENCYPART_ARC
(13,18),-1.41235 # DEPENDENCYPART_ARC
(13,19),-1.22985 # DEPENDENCYPART_ARC
(13,20),-1.8218 # DEPENDENCYPART_ARC
(13,21),-1.12015 # DEPENDENCYPART_ARC
(13,22),-1.89428 # DEPENDENCYPART_ARC
(13,23),-1.94039 # DEPENDENCYPART_ARC
(13,24),-1.12524 # DEPENDENCYPART_ARC
(14,2),-1.71195 # DEPENDENCYPART_ARC
(14,11),-1.5954 # DEPENDENCYPART_ARC
(14,12),-1.54396 # DEPENDENCYPART_ARC
(14,13),-0.624712 # DEPENDENCYPART_ARC
(14,15),-0.575293 # DEPENDENCYPART_ARC
(14,16),-0.911188 # DEPENDENCYPART_ARC
(14,17),-0.999783 # DEPENDENCYPART_ARC
(14,18),-1.71081 # DEPENDENCYPART_ARC
(14,19),-1.46137 # DEPENDENCYPART_ARC
(14,20),-1.35605 # DEPENDENCYPART_ARC
(14,23),-1.94472 # DEPENDENCYPART_ARC
(15,2),-0.972772 # DEPENDENCYPART_ARC
(15,10),-1.16066 # DEPENDENCYPART_ARC
(15,11),-1.04306 # DEPENDENCYPART_ARC
(15,13),-0.875572 # DEPENDENCYPART_ARC
(15,14),0.719988 # DEPENDENCYPART_ARC
(15,16),-0.368882 # DEPENDENCYPART_ARC
(15,17),-1.29313 # DEPENDENCYPART_ARC
(15,18),-1.89033 # DEPENDENCYPART_ARC
(16,2),-1.31274 # DEPENDENCYPART_ARC
(16,5),-1.97514 # DEPENDENCYPART_ARC
(16,7),-1.47943 # DEPENDENCYPART_ARC
(16,9),-1.1184 # DEPENDENCYPART_ARC
(16,12),-1.09045 # DEPENDENCYPART_ARC
(16,19),-1.14551 # DEPENDENCYPART_ARC
(17,1),-2.09061 # DEPENDENCYPART_ARC
(17,4),-2.07739 # DEPENDENCYPART_ARC
(17,7),-2.2949 # DEPENDENCYPART_ARC
(17,9),-1.89098 # DEPENDENCYPART_ARC
(17,11),-1.97309 # DEPENDENCYPART_ARC
(17,12),-1.79565 # DEPENDENCYPART_ARC
(17,13),-1.70099 # DEPENDENCYPART_ARC
(17,16),-0.303062 # DEPENDENCYPART_ARC
(17,18),0.776623 # DEPENDENCYPART_ARC
(17,19),-0.0114403 # DEPENDENCYPART_ARC
(17,20),-0.470166 # DEPENDENCYPART_ARC
(17,21),-0.728417 # DEPENDENCYPART_ARC
(17,22),-0.917606 # DEPENDENCYPART_ARC
(17,23),-0.932394 # DEPENDENCYPART_ARC
(17,24),-0.788617 # DEPENDENCYPART_ARC
(18,14),-1.17474 # DEPENDENCYPART_ARC
(18,15),-1.14602 # DEPENDENCYPART_ARC
(18,19),-0.565697 # DEPENDENCYPART_ARC
(18,21),-1.38584 # DEPENDENCYPART_ARC
(19,9),-1.55633 # DEPENDENCYPART_ARC
(19,10),-1.80155 # DEPENDENCYPART_ARC
(19,12),-1.18378 # DEPENDENCYPART_ARC
(19,13),-1.85258 # DEPENDENCYPART_ARC
(19,14),-1.36139 # DEPENDENCYPART_ARC
(19,15),-1.19903 # DEPENDENCYPART_ARC
(19,16),-1.15863 # DEPENDENCYPART_ARC
(19,17),-0.232108 # DEPENDENCYPART_ARC
(19,18),1.02436 # DEPENDENCYPART_ARC
(19,20),0.0443075 # DEPENDENCYPART_ARC
(19,21),-1.22389 # DEPENDENCYPART_ARC
(19,22),-1.5293 # DEPENDENCYPART_ARC
(19,23),-1.75412 # DEPENDENCYPART_ARC
(19,24),-1.34139 # DEPENDENCYPART_ARC
(20,17),-1.48988 # DEPENDENCYPART_ARC
(20,18),-1.50956 # DEPENDENCYPART_ARC
(20,19),-0.564928 # DEPENDENCYPART_ARC
(20,21),-0.213458 # DEPENDENCYPART_ARC
(20,22),-0.79469 # DEPENDENCYPART_ARC
(20,23),-1.37514 # DEPENDENCYPART_ARC
(20,24),-1.21723 # DEPENDENCYPART_ARC
(21,17),-1.14903 # DEPENDENCYPART_ARC
(21,18),-1.35982 # DEPENDENCYPART_ARC
(21,19),-1.05868 # DEPENDENCYPART_ARC
(21,20),0.125207 # DEPENDENCYPART_ARC
(21,22),0.887547 # DEPENDENCYPART_ARC
(21,23),-0.103691 # DEPENDENCYPART_ARC
(21,24),-0.933403 # DEPENDENCYPART_ARC
(22,18),-1.68486 # DEPENDENCYPART_ARC
(22,21),-0.653613 # DEPENDENCYPART_ARC
(22,23),-0.637666 # DEPENDENCYPART_ARC
(23,12),-0.831853 # DEPENDENCYPART_ARC
(23,19),-1.05293 # DEPENDENCYPART_ARC
(23,21),-0.861924 # DEPENDENCYPART_ARC
(23,22),0.731682 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0596205 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0253509 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.124252 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0174854 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.130784 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.098664 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0115696 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0140995 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.00593185 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0122633 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.00593185 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0150393 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.012683 # DEPENDENCYPART_SIBL
(1,2),(1,11),0.0244555 # DEPENDENCYPART_SIBL
(1,2),(1,16),-0.00603784 # DEPENDENCYPART_SIBL
(1,2),(1,20),0.0786265 # DEPENDENCYPART_SIBL
(1,2),(1,24),0.00618289 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0188939 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0125537 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0174135 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0125537 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.040002 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0100487 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.00961503 # DEPENDENCYPART_SIBL
(1,3),(1,16),0.0198975 # DEPENDENCYPART_SIBL
(1,3),(1,20),0.00449112 # DEPENDENCYPART_SIBL
(1,3),(1,24),0.0254155 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.00323733 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00994042 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.00323733 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0432671 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00546507 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.0023124 # DEPENDENCYPART_SIBL
(1,4),(1,16),0.0223164 # DEPENDENCYPART_SIBL
(1,4),(1,20),0.0103782 # DEPENDENCYPART_SIBL
(1,4),(1,24),0.0265369 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.0420803 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0155103 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0572984 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0196829 # DEPENDENCYPART_SIBL
(1,5),(1,11),0.0303088 # DEPENDENCYPART_SIBL
(1,5),(1,16),-0.000543697 # DEPENDENCYPART_SIBL
(1,5),(1,20),-0.0441381 # DEPENDENCYPART_SIBL
(1,5),(1,24),-0.0280704 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0316103 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0244477 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0151221 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0167612 # DEPENDENCYPART_SIBL
(1,6),(1,16),-0.00496233 # DEPENDENCYPART_SIBL
(1,6),(1,20),0.0338149 # DEPENDENCYPART_SIBL
(1,6),(1,24),0.0379923 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0572984 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0196829 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.0303088 # DEPENDENCYPART_SIBL
(1,7),(1,16),-0.000543697 # DEPENDENCYPART_SIBL
(1,7),(1,20),-0.0441381 # DEPENDENCYPART_SIBL
(1,7),(1,24),-0.0280704 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.003488 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.00405302 # DEPENDENCYPART_SIBL
(1,8),(1,16),0.0269565 # DEPENDENCYPART_SIBL
(1,8),(1,20),-0.00932241 # DEPENDENCYPART_SIBL
(1,8),(1,24),0.0065101 # DEPENDENCYPART_SIBL
(1,9),(1,11),0.0244555 # DEPENDENCYPART_SIBL
(1,9),(1,16),-0.00603784 # DEPENDENCYPART_SIBL
(1,9),(1,20),0.0786265 # DEPENDENCYPART_SIBL
(1,9),(1,24),0.00618289 # DEPENDENCYPART_SIBL
(1,11),(1,16),0.0138439 # DEPENDENCYPART_SIBL
(1,11),(1,20),-0.000320754 # DEPENDENCYPART_SIBL
(1,11),(1,24),0.0325832 # DEPENDENCYPART_SIBL
(1,16),(1,20),-0.0289923 # DEPENDENCYPART_SIBL
(1,16),(1,24),0.085557 # DEPENDENCYPART_SIBL
(1,20),(1,24),0.071758 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0082332 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.016678 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.144495 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0322901 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.144495 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0259796 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0851778 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.124884 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00150776 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0238359 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00150776 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0290165 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0242276 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00674947 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0188634 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00674947 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0348141 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0373363 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0390903 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0491496 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00866634 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.048867 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00700369 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0225385 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0545513 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00866634 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.048867 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0473598 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00406717 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0108024 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0337079 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0174767 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0337079 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0132852 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0294463 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0123621 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0142333 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0123621 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0195326 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0122406 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0145008 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0122406 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0325273 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0151179 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0319304 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.00587705 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0197446 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0147485 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.00587705 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00312284 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0314934 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0225002 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0204022 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0225002 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0247138 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.00112333 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0374436 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0499338 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0118311 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.00506338 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0175973 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0160008 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0175973 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0298069 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0118028 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.00102964 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0114379 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.00238142 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0359327 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0186417 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0359327 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.00292075 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0381709 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0499422 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0565036 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0160036 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0302842 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0033681 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0182246 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.00790721 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0422137 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.0111824 # DEPENDENCYPART_SIBL
(4,5),(4,24),-0.0191455 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0302081 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0151203 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0211539 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0169436 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.00498575 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.0352684 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0182246 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00790721 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0422137 # DEPENDENCYPART_SIBL
(4,7),(4,16),0.0111824 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0191455 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00612722 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.000666797 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.030223 # DEPENDENCYPART_SIBL
(4,8),(4,24),0.00581831 # DEPENDENCYPART_SIBL
(4,9),(4,11),0.0236021 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.00705714 # DEPENDENCYPART_SIBL
(4,9),(4,24),0.00120053 # DEPENDENCYPART_SIBL
(4,11),(4,16),0.0138009 # DEPENDENCYPART_SIBL
(4,11),(4,24),0.0298047 # DEPENDENCYPART_SIBL
(4,16),(4,24),0.0838691 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0685571 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00809632 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.034661 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0349456 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0685475 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.0806126 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0329776 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0535311 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.196738 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0310322 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0231754 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0236017 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.0307178 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.113594 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0589215 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.135355 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0573021 # DEPENDENCYPART_SIBL
(6,2),(6,20),0.132083 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0332866 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0679696 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0829882 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0441897 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0325951 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.199971 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.00944872 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0618849 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0675567 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0377523 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0177054 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.218716 # DEPENDENCYPART_SIBL
(6,4),(6,20),0.0093033 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.664659 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.120966 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0401852 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.245406 # DEPENDENCYPART_SIBL
(6,5),(6,20),0.0407388 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0482859 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00518507 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0106346 # DEPENDENCYPART_SIBL
(6,7),(6,20),-0.0239835 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.111899 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.0333666 # DEPENDENCYPART_SIBL
(6,8),(6,20),0.074852 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00134213 # DEPENDENCYPART_SIBL
(6,9),(6,20),0.0186442 # DEPENDENCYPART_SIBL
(6,11),(6,20),0.0385858 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.00134457 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0972955 # DEPENDENCYPART_SIBL
(8,1),(8,4),-0.0930225 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.00057563 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0724769 # DEPENDENCYPART_SIBL
(8,1),(8,7),-0.00057563 # DEPENDENCYPART_SIBL
(8,1),(8,9),-0.0213822 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.0579545 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0242838 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.00222613 # DEPENDENCYPART_SIBL
(8,1),(8,13),-0.086779 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0040743 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0297988 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0623866 # DEPENDENCYPART_SIBL
(8,1),(8,20),-0.0411935 # DEPENDENCYPART_SIBL
(8,1),(8,24),0.0170051 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0262824 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0308124 # DEPENDENCYPART_SIBL
(8,2),(8,5),0.0555567 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0709699 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0555567 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.0189662 # DEPENDENCYPART_SIBL
