# _root_ Great Northern surged 20 1\/8 to 62 7\/8 , well above Georgia-Pacific 's offering price of $ 58 a share , amid speculation that other suitors for the company would surface or that the bid would be raised .
#goldHeads=2,3,0,5,3,3,8,6,3,11,3,15,12,15,11,15,18,16,20,18,3,3,22,30,26,30,26,29,27,32,30,23,36,35,36,32,36,37,3,
#predictedHeads=2,3,0,5,3,3,8,6,3,11,3,15,12,15,11,15,18,16,20,18,3,3,22,30,26,30,26,29,27,23,30,31,36,35,36,32,36,37,3,
(6,9),-1.10258 # DEPENDENCYPART_ARC
(6,10),-1.7761 # DEPENDENCYPART_ARC
(6,11),-1.74831 # DEPENDENCYPART_ARC
(6,15),-2.58036 # DEPENDENCYPART_ARC
(7,4),-1.26047 # DEPENDENCYPART_ARC
(7,5),-1.13209 # DEPENDENCYPART_ARC
(7,6),-0.353456 # DEPENDENCYPART_ARC
(7,8),-0.794006 # DEPENDENCYPART_ARC
(7,9),-1.27621 # DEPENDENCYPART_ARC
(7,10),-1.72703 # DEPENDENCYPART_ARC
(7,11),-1.93725 # DEPENDENCYPART_ARC
(7,15),-2.37869 # DEPENDENCYPART_ARC
(8,4),-0.595606 # DEPENDENCYPART_ARC
(8,5),-0.741679 # DEPENDENCYPART_ARC
(8,6),-0.890964 # DEPENDENCYPART_ARC
(8,7),0.994182 # DEPENDENCYPART_ARC
(8,9),-0.088638 # DEPENDENCYPART_ARC
(8,10),-1.32257 # DEPENDENCYPART_ARC
(8,11),-1.55092 # DEPENDENCYPART_ARC
(8,12),-1.633 # DEPENDENCYPART_ARC
(8,15),-1.911 # DEPENDENCYPART_ARC
(9,10),-0.472829 # DEPENDENCYPART_ARC
(10,2),-2.03076 # DEPENDENCYPART_ARC
(10,6),-1.81669 # DEPENDENCYPART_ARC
(10,9),0.0816465 # DEPENDENCYPART_ARC
(10,11),-0.13942 # DEPENDENCYPART_ARC
(10,12),-0.798815 # DEPENDENCYPART_ARC
(10,14),-1.18398 # DEPENDENCYPART_ARC
(10,15),-1.24921 # DEPENDENCYPART_ARC
(10,16),-1.55499 # DEPENDENCYPART_ARC
(11,6),-2.01335 # DEPENDENCYPART_ARC
(11,9),-1.14633 # DEPENDENCYPART_ARC
(11,10),0.190487 # DEPENDENCYPART_ARC
(11,12),0.087062 # DEPENDENCYPART_ARC
(11,14),-1.39205 # DEPENDENCYPART_ARC
(11,15),-1.32101 # DEPENDENCYPART_ARC
(11,16),-1.73017 # DEPENDENCYPART_ARC
(11,17),-1.85077 # DEPENDENCYPART_ARC
(11,18),-2.17065 # DEPENDENCYPART_ARC
(12,8),-2.80325 # DEPENDENCYPART_ARC
(12,10),-1.50519 # DEPENDENCYPART_ARC
(12,11),-0.765848 # DEPENDENCYPART_ARC
(12,13),1.08805 # DEPENDENCYPART_ARC
(12,14),-0.928554 # DEPENDENCYPART_ARC
(12,16),-1.05078 # DEPENDENCYPART_ARC
(12,18),-1.50288 # DEPENDENCYPART_ARC
(12,20),-1.43792 # DEPENDENCYPART_ARC
(14,5),-2.94362 # DEPENDENCYPART_ARC
(14,12),-0.619905 # DEPENDENCYPART_ARC
(14,13),-0.626696 # DEPENDENCYPART_ARC
(14,15),-0.426529 # DEPENDENCYPART_ARC
(14,16),-1.10141 # DEPENDENCYPART_ARC
(14,17),-1.48331 # DEPENDENCYPART_ARC
(14,18),-1.79311 # DEPENDENCYPART_ARC
(14,20),-1.75875 # DEPENDENCYPART_ARC
(15,7),-2.08495 # DEPENDENCYPART_ARC
(15,8),-2.07737 # DEPENDENCYPART_ARC
(15,10),-1.40792 # DEPENDENCYPART_ARC
(15,11),-1.33786 # DEPENDENCYPART_ARC
(15,12),0.0599173 # DEPENDENCYPART_ARC
(15,13),-0.864983 # DEPENDENCYPART_ARC
(15,14),1.8087 # DEPENDENCYPART_ARC
(15,16),0.313883 # DEPENDENCYPART_ARC
(15,17),-1.04748 # DEPENDENCYPART_ARC
(15,18),-1.23053 # DEPENDENCYPART_ARC
(15,19),-1.51293 # DEPENDENCYPART_ARC
(15,20),-1.29874 # DEPENDENCYPART_ARC
(15,21),-1.42927 # DEPENDENCYPART_ARC
(15,22),-1.99817 # DEPENDENCYPART_ARC
(15,23),-1.52187 # DEPENDENCYPART_ARC
(15,26),-1.72123 # DEPENDENCYPART_ARC
(15,27),-1.97971 # DEPENDENCYPART_ARC
(15,29),-1.78087 # DEPENDENCYPART_ARC
(15,30),-1.73079 # DEPENDENCYPART_ARC
(15,31),-1.88186 # DEPENDENCYPART_ARC
(15,32),-1.40789 # DEPENDENCYPART_ARC
(15,36),-2.04613 # DEPENDENCYPART_ARC
(15,39),-2.47751 # DEPENDENCYPART_ARC
(16,17),-0.539134 # DEPENDENCYPART_ARC
(16,18),-0.933621 # DEPENDENCYPART_ARC
(16,20),-1.45676 # DEPENDENCYPART_ARC
(16,30),-2.17917 # DEPENDENCYPART_ARC
(17,14),-1.02438 # DEPENDENCYPART_ARC
(17,16),0.239699 # DEPENDENCYPART_ARC
(17,18),-0.122336 # DEPENDENCYPART_ARC
(17,19),-1.15741 # DEPENDENCYPART_ARC
(17,20),-1.27207 # DEPENDENCYPART_ARC
(17,21),-1.4522 # DEPENDENCYPART_ARC
(17,22),-2.21818 # DEPENDENCYPART_ARC
(17,25),-1.83603 # DEPENDENCYPART_ARC
(17,26),-2.18692 # DEPENDENCYPART_ARC
(17,29),-2.43763 # DEPENDENCYPART_ARC
(17,38),-2.84681 # DEPENDENCYPART_ARC
(18,14),-1.08194 # DEPENDENCYPART_ARC
(18,15),-0.95241 # DEPENDENCYPART_ARC
(18,16),-0.917464 # DEPENDENCYPART_ARC
(18,17),0.772658 # DEPENDENCYPART_ARC
(18,19),0.23741 # DEPENDENCYPART_ARC
(18,20),-0.205425 # DEPENDENCYPART_ARC
(18,21),-0.807022 # DEPENDENCYPART_ARC
(18,22),-1.40466 # DEPENDENCYPART_ARC
(18,23),-1.37468 # DEPENDENCYPART_ARC
(18,26),-1.51233 # DEPENDENCYPART_ARC
(18,29),-1.50247 # DEPENDENCYPART_ARC
(18,32),-1.20978 # DEPENDENCYPART_ARC
(20,12),-1.90704 # DEPENDENCYPART_ARC
(20,17),-1.31829 # DEPENDENCYPART_ARC
(20,18),-0.921001 # DEPENDENCYPART_ARC
(20,19),1.28366 # DEPENDENCYPART_ARC
(20,21),-0.583945 # DEPENDENCYPART_ARC
(20,22),-1.96121 # DEPENDENCYPART_ARC
(20,23),-1.95024 # DEPENDENCYPART_ARC
(20,27),-2.21346 # DEPENDENCYPART_ARC
(20,30),-2.01146 # DEPENDENCYPART_ARC
(20,31),-2.49561 # DEPENDENCYPART_ARC
(20,36),-2.28288 # DEPENDENCYPART_ARC
(22,20),-1.79196 # DEPENDENCYPART_ARC
(22,21),-0.0345325 # DEPENDENCYPART_ARC
(22,23),0.246349 # DEPENDENCYPART_ARC
(22,24),-1.29176 # DEPENDENCYPART_ARC
(22,25),-1.47962 # DEPENDENCYPART_ARC
(22,26),-1.70842 # DEPENDENCYPART_ARC
(23,17),-2.66155 # DEPENDENCYPART_ARC
(23,18),-2.40957 # DEPENDENCYPART_ARC
(23,19),-1.82455 # DEPENDENCYPART_ARC
(23,20),-2.01524 # DEPENDENCYPART_ARC
(23,22),-0.217028 # DEPENDENCYPART_ARC
(23,24),0.147165 # DEPENDENCYPART_ARC
(23,25),-1.21228 # DEPENDENCYPART_ARC
(23,26),-1.26218 # DEPENDENCYPART_ARC
(23,27),-0.894999 # DEPENDENCYPART_ARC
(23,29),-1.52298 # DEPENDENCYPART_ARC
(23,30),-0.869125 # DEPENDENCYPART_ARC
(23,31),-1.37326 # DEPENDENCYPART_ARC
(23,32),-1.02618 # DEPENDENCYPART_ARC
(23,33),-1.69296 # DEPENDENCYPART_ARC
(23,36),-1.13061 # DEPENDENCYPART_ARC
(24,23),-0.424279 # DEPENDENCYPART_ARC
(24,25),-0.496077 # DEPENDENCYPART_ARC
(24,26),-0.950587 # DEPENDENCYPART_ARC
(25,23),-1.26956 # DEPENDENCYPART_ARC
(25,24),-0.46437 # DEPENDENCYPART_ARC
(26,18),-2.50315 # DEPENDENCYPART_ARC
(26,19),-2.68061 # DEPENDENCYPART_ARC
(26,22),-1.48556 # DEPENDENCYPART_ARC
(26,23),-1.10402 # DEPENDENCYPART_ARC
(26,24),-0.944086 # DEPENDENCYPART_ARC
(26,25),1.51282 # DEPENDENCYPART_ARC
(26,27),0.394972 # DEPENDENCYPART_ARC
(26,29),-1.3596 # DEPENDENCYPART_ARC
(26,30),-1.10798 # DEPENDENCYPART_ARC
(26,31),-1.33899 # DEPENDENCYPART_ARC
(26,32),-1.07307 # DEPENDENCYPART_ARC
(26,35),-1.47029 # DEPENDENCYPART_ARC
(26,36),-1.52728 # DEPENDENCYPART_ARC
(27,25),-1.66195 # DEPENDENCYPART_ARC
(27,26),-0.720342 # DEPENDENCYPART_ARC
(27,28),-0.149248 # DEPENDENCYPART_ARC
(27,29),-0.017856 # DEPENDENCYPART_ARC
(27,30),-1.39549 # DEPENDENCYPART_ARC
(27,31),-1.40446 # DEPENDENCYPART_ARC
(27,32),-1.68671 # DEPENDENCYPART_ARC
(27,33),-1.45412 # DEPENDENCYPART_ARC
(27,35),-2.17272 # DEPENDENCYPART_ARC
(27,36),-1.77853 # DEPENDENCYPART_ARC
(28,31),-1.45271 # DEPENDENCYPART_ARC
(29,25),-1.29654 # DEPENDENCYPART_ARC
(29,27),-0.925404 # DEPENDENCYPART_ARC
(29,28),1.59556 # DEPENDENCYPART_ARC
(29,30),-0.637418 # DEPENDENCYPART_ARC
(29,31),-1.07013 # DEPENDENCYPART_ARC
(29,32),-1.30048 # DEPENDENCYPART_ARC
(30,9),-2.70056 # DEPENDENCYPART_ARC
(30,10),-2.36588 # DEPENDENCYPART_ARC
(30,11),-1.77032 # DEPENDENCYPART_ARC
(30,12),-2.10451 # DEPENDENCYPART_ARC
(30,14),-2.14512 # DEPENDENCYPART_ARC
(30,15),-1.98414 # DEPENDENCYPART_ARC
(30,16),-1.86471 # DEPENDENCYPART_ARC
(30,17),-1.80111 # DEPENDENCYPART_ARC
(30,19),-2.15949 # DEPENDENCYPART_ARC
(30,20),-1.73908 # DEPENDENCYPART_ARC
(30,21),-1.52051 # DEPENDENCYPART_ARC
(30,22),-0.740103 # DEPENDENCYPART_ARC
(30,23),-0.884637 # DEPENDENCYPART_ARC
(30,24),-0.00645358 # DEPENDENCYPART_ARC
(30,25),-1.17328 # DEPENDENCYPART_ARC
(30,26),-0.757062 # DEPENDENCYPART_ARC
(30,27),-0.701692 # DEPENDENCYPART_ARC
(30,28),-0.788098 # DEPENDENCYPART_ARC
(30,29),0.915594 # DEPENDENCYPART_ARC
(30,31),1.52691 # DEPENDENCYPART_ARC
(30,32),-0.903094 # DEPENDENCYPART_ARC
(30,33),-1.23636 # DEPENDENCYPART_ARC
(30,35),-1.40114 # DEPENDENCYPART_ARC
(30,36),-1.2801 # DEPENDENCYPART_ARC
(30,37),-0.89198 # DEPENDENCYPART_ARC
(30,38),-1.54196 # DEPENDENCYPART_ARC
(30,39),-0.741448 # DEPENDENCYPART_ARC
(31,24),-0.97235 # DEPENDENCYPART_ARC
(31,27),-1.18382 # DEPENDENCYPART_ARC
(31,29),-1.29758 # DEPENDENCYPART_ARC
(31,32),-0.0394139 # DEPENDENCYPART_ARC
(31,33),-1.12256 # DEPENDENCYPART_ARC
(31,35),-1.0723 # DEPENDENCYPART_ARC
(31,36),-1.23649 # DEPENDENCYPART_ARC
(31,37),-1.40301 # DEPENDENCYPART_ARC
(31,38),-1.48071 # DEPENDENCYPART_ARC
(31,39),-1.65077 # DEPENDENCYPART_ARC
(32,3),-2.4897 # DEPENDENCYPART_ARC
(32,6),-2.52634 # DEPENDENCYPART_ARC
(32,7),-2.03458 # DEPENDENCYPART_ARC
(32,8),-1.98817 # DEPENDENCYPART_ARC
(32,11),-1.70817 # DEPENDENCYPART_ARC
(32,16),-1.81421 # DEPENDENCYPART_ARC
(32,17),-2.79059 # DEPENDENCYPART_ARC
(32,18),-2.02115 # DEPENDENCYPART_ARC
(32,19),-2.60442 # DEPENDENCYPART_ARC
(32,21),-2.39657 # DEPENDENCYPART_ARC
(32,22),-0.721667 # DEPENDENCYPART_ARC
(32,23),-2.03234 # DEPENDENCYPART_ARC
(32,24),-0.527522 # DEPENDENCYPART_ARC
(32,25),-1.9079 # DEPENDENCYPART_ARC
(32,26),-1.89003 # DEPENDENCYPART_ARC
(32,27),-0.499629 # DEPENDENCYPART_ARC
(32,28),-1.38319 # DEPENDENCYPART_ARC
(32,29),-1.25643 # DEPENDENCYPART_ARC
(32,30),-0.701163 # DEPENDENCYPART_ARC
(32,31),0.456377 # DEPENDENCYPART_ARC
(32,33),0.561144 # DEPENDENCYPART_ARC
(32,34),-0.654141 # DEPENDENCYPART_ARC
(32,35),-0.705008 # DEPENDENCYPART_ARC
(32,36),-0.572906 # DEPENDENCYPART_ARC
(32,37),-0.916378 # DEPENDENCYPART_ARC
(32,38),-1.56873 # DEPENDENCYPART_ARC
(32,39),-0.635531 # DEPENDENCYPART_ARC
(33,35),-0.942117 # DEPENDENCYPART_ARC
(34,33),-0.524091 # DEPENDENCYPART_ARC
(34,37),-1.23205 # DEPENDENCYPART_ARC
(34,38),-1.53262 # DEPENDENCYPART_ARC
(35,33),-1.01467 # DEPENDENCYPART_ARC
(35,34),1.23507 # DEPENDENCYPART_ARC
(35,36),-0.559312 # DEPENDENCYPART_ARC
(35,37),-0.916595 # DEPENDENCYPART_ARC
(35,38),-1.41156 # DEPENDENCYPART_ARC
(36,10),-2.63796 # DEPENDENCYPART_ARC
(36,11),-2.11953 # DEPENDENCYPART_ARC
(36,14),-2.34641 # DEPENDENCYPART_ARC
(36,15),-2.20107 # DEPENDENCYPART_ARC
(36,17),-2.02063 # DEPENDENCYPART_ARC
(36,20),-2.08124 # DEPENDENCYPART_ARC
(36,21),-2.24841 # DEPENDENCYPART_ARC
(36,22),-1.08018 # DEPENDENCYPART_ARC
(36,23),-1.15035 # DEPENDENCYPART_ARC
(36,24),-0.082334 # DEPENDENCYPART_ARC
(36,25),-1.22643 # DEPENDENCYPART_ARC
(36,26),-0.982645 # DEPENDENCYPART_ARC
(36,27),-1.20687 # DEPENDENCYPART_ARC
(36,29),-0.797108 # DEPENDENCYPART_ARC
(36,30),-1.2175 # DEPENDENCYPART_ARC
(36,31),-1.37925 # DEPENDENCYPART_ARC
(36,32),-0.822948 # DEPENDENCYPART_ARC
(36,33),0.1214 # DEPENDENCYPART_ARC
(36,34),-0.815441 # DEPENDENCYPART_ARC
(36,35),0.90449 # DEPENDENCYPART_ARC
(36,37),1.63817 # DEPENDENCYPART_ARC
(36,38),-0.548392 # DEPENDENCYPART_ARC
(36,39),-0.852844 # DEPENDENCYPART_ARC
(37,33),-0.812968 # DEPENDENCYPART_ARC
(37,35),-1.12689 # DEPENDENCYPART_ARC
(37,38),1.08139 # DEPENDENCYPART_ARC
(37,39),-1.00197 # DEPENDENCYPART_ARC
(38,24),-1.33921 # DEPENDENCYPART_ARC
(38,33),-0.929427 # DEPENDENCYPART_ARC
(38,35),-1.38652 # DEPENDENCYPART_ARC
(38,39),0.221981 # DEPENDENCYPART_ARC
(39,36),-1.08343 # DEPENDENCYPART_ARC
(39,38),-0.126141 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0590101 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.124679 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.123547 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0171162 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00325886 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.00776278 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.00919623 # DEPENDENCYPART_SIBL
(1,2),(1,39),0.0261873 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.00811002 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0130649 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.014117 # DEPENDENCYPART_SIBL
(1,3),(1,39),0.00753423 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0123723 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0156393 # DEPENDENCYPART_SIBL
(1,4),(1,39),0.00775729 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0138719 # DEPENDENCYPART_SIBL
(1,5),(1,39),0.0151365 # DEPENDENCYPART_SIBL
(1,8),(1,39),0.0243095 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0483495 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0739811 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0644351 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0635724 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0612448 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0140585 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.0140585 # DEPENDENCYPART_SIBL
(2,1),(2,39),0.000860835 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.008108 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0130629 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0104399 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.014115 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0125906 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0125906 # DEPENDENCYPART_SIBL
(2,3),(2,39),0.00753625 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0123723 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00871209 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0156393 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0139614 # DEPENDENCYPART_SIBL
(2,4),(2,21),-0.0139614 # DEPENDENCYPART_SIBL
(2,4),(2,39),0.00775729 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.00690274 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0138719 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00609389 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.00609389 # DEPENDENCYPART_SIBL
(2,5),(2,39),0.0151365 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0123738 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0114738 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0114738 # DEPENDENCYPART_SIBL
(2,7),(2,39),0.0131068 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.00308033 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.00308033 # DEPENDENCYPART_SIBL
(2,8),(2,39),0.0243095 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.00587418 # DEPENDENCYPART_SIBL
(2,9),(2,39),-0.00712862 # DEPENDENCYPART_SIBL
(2,21),(2,39),-0.00712862 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0930413 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0290877 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0411561 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0282026 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0255639 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0446594 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0119679 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0237272 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.0291588 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00480006 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.0172044 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0503567 # DEPENDENCYPART_SIBL
(3,1),(3,21),0.0119679 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0479088 # DEPENDENCYPART_SIBL
(3,1),(3,24),-0.0341043 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.0280378 # DEPENDENCYPART_SIBL
(3,1),(3,30),0.0321362 # DEPENDENCYPART_SIBL
(3,1),(3,32),0.0186835 # DEPENDENCYPART_SIBL
(3,1),(3,39),0.0423915 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0279028 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0399712 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0270188 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.024379 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0434745 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.00715977 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0239315 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.0165638 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.00680989 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0288142 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0379033 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.00715977 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0353141 # DEPENDENCYPART_SIBL
(3,2),(3,24),-0.0466991 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.0130272 # DEPENDENCYPART_SIBL
(3,2),(3,30),0.0309469 # DEPENDENCYPART_SIBL
(3,2),(3,32),0.0181597 # DEPENDENCYPART_SIBL
(3,2),(3,39),0.0387322 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0208059 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0341151 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0206442 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0200906 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00320664 # DEPENDENCYPART_SIBL
(3,4),(3,10),-3.85205e-06 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.0237438 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0351779 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0277158 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0106717 # DEPENDENCYPART_SIBL
(3,4),(3,21),-0.00320664 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.00106694 # DEPENDENCYPART_SIBL
(3,4),(3,24),-0.0486102 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.00164875 # DEPENDENCYPART_SIBL
(3,4),(3,30),4.02033e-05 # DEPENDENCYPART_SIBL
(3,4),(3,32),-0.0245587 # DEPENDENCYPART_SIBL
(3,4),(3,39),0.0163586 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.044178 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0272359 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0267662 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.00492879 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.00134604 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.0191006 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0403678 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0329056 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.0158054 # DEPENDENCYPART_SIBL
(3,5),(3,21),0.00492879 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.00202708 # DEPENDENCYPART_SIBL
(3,5),(3,24),-0.0439637 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.00701094 # DEPENDENCYPART_SIBL
(3,5),(3,30),-0.000114689 # DEPENDENCYPART_SIBL
(3,5),(3,32),-0.0249079 # DEPENDENCYPART_SIBL
(3,5),(3,39),0.0101953 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00411985 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00206246 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0268501 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00218468 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0171068 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0201355 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.0182803 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0195798 # DEPENDENCYPART_SIBL
(3,6),(3,21),0.0268501 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0109818 # DEPENDENCYPART_SIBL
(3,6),(3,24),-0.0260854 # DEPENDENCYPART_SIBL
(3,6),(3,27),0.0175236 # DEPENDENCYPART_SIBL
