# _root_ Aaron Ment , Connecticut 's chief court administrator , declined to comment on the suit and the EEOC 's intervention .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,15,16,13,18,20,18,16,10,
(8,2),-1.73047 # DEPENDENCYPART_ARC
(8,3),-1.17151 # DEPENDENCYPART_ARC
(8,4),0.200213 # DEPENDENCYPART_ARC
(8,6),0.439366 # DEPENDENCYPART_ARC
(8,7),2.05879 # DEPENDENCYPART_ARC
(8,9),0.0453144 # DEPENDENCYPART_ARC
(8,10),-1.8528 # DEPENDENCYPART_ARC
(8,12),-2.30057 # DEPENDENCYPART_ARC
(8,13),-2.10415 # DEPENDENCYPART_ARC
(8,15),-1.91799 # DEPENDENCYPART_ARC
(8,16),-1.62144 # DEPENDENCYPART_ARC
(8,20),-1.83331 # DEPENDENCYPART_ARC
(8,21),-2.34449 # DEPENDENCYPART_ARC
(10,1),-0.536027 # DEPENDENCYPART_ARC
(10,2),-0.301775 # DEPENDENCYPART_ARC
(10,3),-1.27282 # DEPENDENCYPART_ARC
(10,4),-1.72166 # DEPENDENCYPART_ARC
(10,6),-1.37332 # DEPENDENCYPART_ARC
(10,7),-1.56867 # DEPENDENCYPART_ARC
(10,8),-1.15937 # DEPENDENCYPART_ARC
(10,9),0.785076 # DEPENDENCYPART_ARC
(10,11),0.743402 # DEPENDENCYPART_ARC
(10,12),0.628379 # DEPENDENCYPART_ARC
(10,13),-0.629684 # DEPENDENCYPART_ARC
(10,15),-0.869957 # DEPENDENCYPART_ARC
(10,16),-0.470849 # DEPENDENCYPART_ARC
(10,20),-1.3367 # DEPENDENCYPART_ARC
(10,21),-0.156284 # DEPENDENCYPART_ARC
(11,9),-1.2994 # DEPENDENCYPART_ARC
(11,12),-0.381796 # DEPENDENCYPART_ARC
(11,13),-1.65574 # DEPENDENCYPART_ARC
(11,15),-1.97739 # DEPENDENCYPART_ARC
(11,16),-1.85609 # DEPENDENCYPART_ARC
(11,20),-2.633 # DEPENDENCYPART_ARC
(12,1),-1.53124 # DEPENDENCYPART_ARC
(12,2),-1.32581 # DEPENDENCYPART_ARC
(12,3),-2.40192 # DEPENDENCYPART_ARC
(12,8),-2.30646 # DEPENDENCYPART_ARC
(12,9),-1.57908 # DEPENDENCYPART_ARC
(12,10),-1.24092 # DEPENDENCYPART_ARC
(12,11),1.31611 # DEPENDENCYPART_ARC
(12,13),0.445822 # DEPENDENCYPART_ARC
(12,14),-1.15597 # DEPENDENCYPART_ARC
(12,15),-0.700516 # DEPENDENCYPART_ARC
(12,16),-0.896915 # DEPENDENCYPART_ARC
(12,17),-1.54496 # DEPENDENCYPART_ARC
(12,18),-1.39805 # DEPENDENCYPART_ARC
(12,20),-1.34732 # DEPENDENCYPART_ARC
(12,21),-1.04253 # DEPENDENCYPART_ARC
(13,8),-2.43925 # DEPENDENCYPART_ARC
(13,11),-1.71281 # DEPENDENCYPART_ARC
(13,12),-0.752456 # DEPENDENCYPART_ARC
(13,14),0.0974837 # DEPENDENCYPART_ARC
(13,15),0.216932 # DEPENDENCYPART_ARC
(13,16),-0.567367 # DEPENDENCYPART_ARC
(13,18),-1.21452 # DEPENDENCYPART_ARC
(13,20),-1.3174 # DEPENDENCYPART_ARC
(13,21),-0.839365 # DEPENDENCYPART_ARC
(14,13),-0.562307 # DEPENDENCYPART_ARC
(14,15),-0.410994 # DEPENDENCYPART_ARC
(15,12),-1.15999 # DEPENDENCYPART_ARC
(15,13),-0.864885 # DEPENDENCYPART_ARC
(15,14),1.4385 # DEPENDENCYPART_ARC
(15,16),-0.60439 # DEPENDENCYPART_ARC
(15,20),-1.8665 # DEPENDENCYPART_ARC
(16,1),-1.85905 # DEPENDENCYPART_ARC
(16,2),-1.51638 # DEPENDENCYPART_ARC
(16,3),-2.04623 # DEPENDENCYPART_ARC
(16,4),-1.87591 # DEPENDENCYPART_ARC
(16,6),-2.59162 # DEPENDENCYPART_ARC
(16,7),-2.0548 # DEPENDENCYPART_ARC
(16,8),-1.7941 # DEPENDENCYPART_ARC
(16,9),-1.47353 # DEPENDENCYPART_ARC
(16,10),-1.37105 # DEPENDENCYPART_ARC
(16,11),-1.20771 # DEPENDENCYPART_ARC
(16,12),-1.14562 # DEPENDENCYPART_ARC
(16,13),-1.10813 # DEPENDENCYPART_ARC
(16,14),-0.555228 # DEPENDENCYPART_ARC
(16,15),0.551784 # DEPENDENCYPART_ARC
(16,17),0.170882 # DEPENDENCYPART_ARC
(16,18),0.279635 # DEPENDENCYPART_ARC
(16,19),-0.752994 # DEPENDENCYPART_ARC
(16,20),-0.436207 # DEPENDENCYPART_ARC
(16,21),-1.05186 # DEPENDENCYPART_ARC
(18,14),-1.36285 # DEPENDENCYPART_ARC
(18,15),-1.68276 # DEPENDENCYPART_ARC
(18,16),-1.16483 # DEPENDENCYPART_ARC
(18,17),0.942084 # DEPENDENCYPART_ARC
(18,19),0.960271 # DEPENDENCYPART_ARC
(18,20),-1.1667 # DEPENDENCYPART_ARC
(18,21),-0.93831 # DEPENDENCYPART_ARC
(19,21),-1.09196 # DEPENDENCYPART_ARC
(20,12),-1.38701 # DEPENDENCYPART_ARC
(20,13),-1.36849 # DEPENDENCYPART_ARC
(20,14),-1.96083 # DEPENDENCYPART_ARC
(20,15),-1.08449 # DEPENDENCYPART_ARC
(20,16),-1.00221 # DEPENDENCYPART_ARC
(20,17),-0.834793 # DEPENDENCYPART_ARC
(20,18),0.43837 # DEPENDENCYPART_ARC
(20,19),0.0926771 # DEPENDENCYPART_ARC
(20,21),-0.364395 # DEPENDENCYPART_ARC
(21,20),-0.603256 # DEPENDENCYPART_ARC
(0,2),(0,8),-0.0574869 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.1273 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.123902 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.10513 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.127311 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.123913 # DEPENDENCYPART_SIBL
(0,8),(0,16),-0.10513 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.230376 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.182076 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.182152 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0159306 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0125171 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.017056 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0113615 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.0159306 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0240843 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0442035 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0113342 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0499854 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0393972 # DEPENDENCYPART_SIBL
(1,3),(1,10),0.0196277 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0170547 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0113633 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.0159293 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0240856 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.0263715 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.032869 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.0224465 # DEPENDENCYPART_SIBL
(1,8),(1,9),0.0245723 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0224031 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0196277 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0460943 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0175284 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0575905 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.00388905 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00716568 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0203409 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0460943 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0353305 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0223098 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.019638 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.00179401 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0185305 # DEPENDENCYPART_SIBL
(2,1),(2,20),0.0168656 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.0157552 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0442035 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0113342 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00268608 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.053791 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0499854 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0393972 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0196277 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0183099 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0709169 # DEPENDENCYPART_SIBL
(2,3),(2,15),0.0410351 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0150016 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0441898 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0050613 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0170547 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.00707959 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0159365 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0113633 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0159293 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0240856 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.018881 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0121176 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0109886 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0386956 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0125224 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0262067 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0486447 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0265773 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0263715 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.032869 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0224465 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0210441 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00800379 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.028573 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.0149784 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0275308 # DEPENDENCYPART_SIBL
(2,5),(2,21),-0.00237532 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0113347 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00740284 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.038884 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00851161 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0026511 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.00867378 # DEPENDENCYPART_SIBL
(2,6),(2,15),0.00510792 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0363591 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.00624348 # DEPENDENCYPART_SIBL
(2,6),(2,21),-0.00168042 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0029247 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0202201 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0154589 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0102543 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0170857 # DEPENDENCYPART_SIBL
(2,7),(2,15),-0.00255002 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.034857 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00408381 # DEPENDENCYPART_SIBL
(2,7),(2,21),0.0317187 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0245723 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0224031 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0171985 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0144635 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.00928242 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.03699 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0108162 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.0279112 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0196277 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0183099 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0709169 # DEPENDENCYPART_SIBL
(2,9),(2,15),0.0410351 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0150016 # DEPENDENCYPART_SIBL
(2,9),(2,20),0.0441898 # DEPENDENCYPART_SIBL
(2,9),(2,21),0.0050613 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0149687 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0023513 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0119303 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0246663 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0110426 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0253737 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0136922 # DEPENDENCYPART_SIBL
(2,12),(2,15),-0.00747434 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0260873 # DEPENDENCYPART_SIBL
(2,12),(2,20),-0.00658664 # DEPENDENCYPART_SIBL
(2,12),(2,21),0.0317591 # DEPENDENCYPART_SIBL
(2,13),(2,15),0.0533064 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.00503579 # DEPENDENCYPART_SIBL
(2,13),(2,20),0.0545236 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.084607 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0441606 # DEPENDENCYPART_SIBL
(2,15),(2,20),-0.0143412 # DEPENDENCYPART_SIBL
(2,15),(2,21),0.0347024 # DEPENDENCYPART_SIBL
(2,16),(2,20),-0.0386533 # DEPENDENCYPART_SIBL
(2,16),(2,21),0.00447609 # DEPENDENCYPART_SIBL
(2,20),(2,21),0.0235495 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0178452 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0433792 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0575904 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.00388908 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.00716577 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0203408 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0460943 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0353305 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0196379 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0433792 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0575904 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.00388908 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.00716577 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0203408 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0460943 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0353305 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0196379 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.269976 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0752491 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0405734 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0206084 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.117856 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0168592 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0899617 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0486447 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0265773 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0263715 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.032869 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0224465 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.00745472 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0113347 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00740284 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.038884 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00851161 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.00922284 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.00292477 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0202201 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0154589 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0165365 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0245723 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0224032 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0139144 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0196277 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0703678 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.00290036 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.199141 # DEPENDENCYPART_SIBL
(6,2),(6,4),-0.0102395 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0127825 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0107428 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0185895 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0557829 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0433854 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0169417 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0091464 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.000408169 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.463456 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0127825 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0100411 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0178877 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0556833 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0209181 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0209121 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0504189 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00349405 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00561497 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.00904127 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0915472 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0683584 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0905833 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0537051 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0316139 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.00250677 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0176872 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0813694 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0683584 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0905833 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0537051 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0316139 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00250677 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0176872 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0813694 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0128171 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0927842 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.00173326 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0254922 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0771707 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.00343503 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.054653 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0325226 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.00175173 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.0159148 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0805449 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.00165279 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.00371037 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.103916 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0166156 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0554158 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.122879 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0748624 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0183883 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0267663 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.00574887 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.0212739 # DEPENDENCYPART_SIBL
(8,1),(8,3),0.0448085 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.0203099 # DEPENDENCYPART_SIBL
(8,1),(8,6),0.0018286 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.0529515 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0430136 # DEPENDENCYPART_SIBL
(8,1),(8,10),-0.036744 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0237233 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0188806 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.00255141 # DEPENDENCYPART_SIBL
(8,1),(8,16),0.0177627 # DEPENDENCYPART_SIBL
(8,1),(8,20),0.0161082 # DEPENDENCYPART_SIBL
(8,1),(8,21),0.0149978 # DEPENDENCYPART_SIBL
(8,2),(8,3),0.0448085 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0203099 # DEPENDENCYPART_SIBL
(8,2),(8,6),0.0018286 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0529515 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.0430136 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.036744 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0237233 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0188806 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.00255141 # DEPENDENCYPART_SIBL
(8,2),(8,16),0.0177627 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.0161082 # DEPENDENCYPART_SIBL
(8,2),(8,21),0.0149978 # DEPENDENCYPART_SIBL
(8,3),(8,4),-0.0086355 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.00474815 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0219542 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.116602 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0164203 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.000962518 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0899629 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0265998 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0520096 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0222633 # DEPENDENCYPART_SIBL
(8,3),(8,21),0.0331247 # DEPENDENCYPART_SIBL
(8,4),(8,6),0.00273734 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0558381 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.0447861 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0359195 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0228988 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0259857 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.00179637 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0196346 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0168632 # DEPENDENCYPART_SIBL
(8,4),(8,21),0.0168266 # DEPENDENCYPART_SIBL
