# _root_ Federal National Mortgage Association , a recently hot stock , climbed 4 to 124 on nearly 1.6 million shares .
#goldHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
#predictedHeads=4,4,4,11,4,9,8,9,4,4,0,11,11,13,11,19,16,16,15,11,
(4,16),-2.78451 # DEPENDENCYPART_ARC
(4,18),-4.74327 # DEPENDENCYPART_ARC
(4,19),-3.54272 # DEPENDENCYPART_ARC
(4,20),-1.85059 # DEPENDENCYPART_ARC
(6,4),-2.28895 # DEPENDENCYPART_ARC
(6,5),-1.56919 # DEPENDENCYPART_ARC
(6,7),-1.2727 # DEPENDENCYPART_ARC
(6,8),-1.99676 # DEPENDENCYPART_ARC
(7,5),-2.10873 # DEPENDENCYPART_ARC
(7,6),-1.04611 # DEPENDENCYPART_ARC
(7,8),-0.623415 # DEPENDENCYPART_ARC
(7,9),-1.47041 # DEPENDENCYPART_ARC
(7,10),-1.70869 # DEPENDENCYPART_ARC
(7,11),-1.40385 # DEPENDENCYPART_ARC
(7,12),-2.21938 # DEPENDENCYPART_ARC
(7,13),-1.81265 # DEPENDENCYPART_ARC
(7,14),-2.90429 # DEPENDENCYPART_ARC
(7,15),-2.32093 # DEPENDENCYPART_ARC
(7,18),-2.74983 # DEPENDENCYPART_ARC
(8,3),-2.27247 # DEPENDENCYPART_ARC
(8,4),-2.16996 # DEPENDENCYPART_ARC
(8,5),-1.90733 # DEPENDENCYPART_ARC
(8,6),-1.66432 # DEPENDENCYPART_ARC
(8,7),0.432561 # DEPENDENCYPART_ARC
(8,10),-1.98835 # DEPENDENCYPART_ARC
(8,12),-2.58968 # DEPENDENCYPART_ARC
(8,13),-2.05011 # DEPENDENCYPART_ARC
(9,1),-2.17644 # DEPENDENCYPART_ARC
(9,2),-1.94003 # DEPENDENCYPART_ARC
(9,3),-1.86213 # DEPENDENCYPART_ARC
(9,4),-1.79883 # DEPENDENCYPART_ARC
(9,5),-1.52167 # DEPENDENCYPART_ARC
(9,6),1.1705 # DEPENDENCYPART_ARC
(9,7),0.288026 # DEPENDENCYPART_ARC
(9,8),1.41764 # DEPENDENCYPART_ARC
(9,10),-1.07825 # DEPENDENCYPART_ARC
(9,11),-1.57703 # DEPENDENCYPART_ARC
(9,12),-2.17018 # DEPENDENCYPART_ARC
(9,13),-2.05752 # DEPENDENCYPART_ARC
(9,14),-2.51084 # DEPENDENCYPART_ARC
(9,15),-2.2918 # DEPENDENCYPART_ARC
(9,16),-2.62546 # DEPENDENCYPART_ARC
(9,19),-2.73572 # DEPENDENCYPART_ARC
(9,20),-2.73705 # DEPENDENCYPART_ARC
(10,9),-2.00233 # DEPENDENCYPART_ARC
(11,1),-1.20035 # DEPENDENCYPART_ARC
(11,2),-1.42962 # DEPENDENCYPART_ARC
(11,3),-1.32226 # DEPENDENCYPART_ARC
(11,4),-1.00797 # DEPENDENCYPART_ARC
(11,5),-1.24026 # DEPENDENCYPART_ARC
(11,6),-1.919 # DEPENDENCYPART_ARC
(11,7),-1.38513 # DEPENDENCYPART_ARC
(11,8),-1.44894 # DEPENDENCYPART_ARC
(11,9),-0.765842 # DEPENDENCYPART_ARC
(11,10),-0.785289 # DEPENDENCYPART_ARC
(11,12),0.454386 # DEPENDENCYPART_ARC
(11,13),1.29485 # DEPENDENCYPART_ARC
(11,14),-1.42669 # DEPENDENCYPART_ARC
(11,15),0.570335 # DEPENDENCYPART_ARC
(11,16),-0.913983 # DEPENDENCYPART_ARC
(11,17),-2.31457 # DEPENDENCYPART_ARC
(11,18),-2.26322 # DEPENDENCYPART_ARC
(11,19),-0.927581 # DEPENDENCYPART_ARC
(11,20),0.713198 # DEPENDENCYPART_ARC
(12,4),-3.17151 # DEPENDENCYPART_ARC
(12,7),-2.3243 # DEPENDENCYPART_ARC
(12,9),-2.23224 # DEPENDENCYPART_ARC
(12,10),-1.80344 # DEPENDENCYPART_ARC
(12,13),-0.776722 # DEPENDENCYPART_ARC
(12,14),-1.64377 # DEPENDENCYPART_ARC
(12,15),-1.31508 # DEPENDENCYPART_ARC
(12,16),-1.71161 # DEPENDENCYPART_ARC
(13,4),-2.99535 # DEPENDENCYPART_ARC
(13,7),-2.46846 # DEPENDENCYPART_ARC
(13,9),-2.49152 # DEPENDENCYPART_ARC
(13,10),-1.92454 # DEPENDENCYPART_ARC
(13,12),-1.41249 # DEPENDENCYPART_ARC
(13,14),0.202966 # DEPENDENCYPART_ARC
(13,15),-1.13031 # DEPENDENCYPART_ARC
(13,16),-1.80654 # DEPENDENCYPART_ARC
(13,17),-2.00569 # DEPENDENCYPART_ARC
(13,18),-2.11865 # DEPENDENCYPART_ARC
(13,19),-1.94259 # DEPENDENCYPART_ARC
(14,4),-3.20598 # DEPENDENCYPART_ARC
(14,7),-2.48719 # DEPENDENCYPART_ARC
(14,9),-2.62572 # DEPENDENCYPART_ARC
(14,12),-0.940491 # DEPENDENCYPART_ARC
(14,13),-0.495912 # DEPENDENCYPART_ARC
(14,15),-0.639806 # DEPENDENCYPART_ARC
(14,16),-1.38648 # DEPENDENCYPART_ARC
(14,17),-2.08215 # DEPENDENCYPART_ARC
(14,18),-2.35747 # DEPENDENCYPART_ARC
(14,19),-2.17557 # DEPENDENCYPART_ARC
(15,13),-2.06575 # DEPENDENCYPART_ARC
(15,14),-1.77863 # DEPENDENCYPART_ARC
(15,16),-0.520202 # DEPENDENCYPART_ARC
(15,17),-0.914695 # DEPENDENCYPART_ARC
(15,18),-1.9476 # DEPENDENCYPART_ARC
(15,19),0.484725 # DEPENDENCYPART_ARC
(16,15),-0.922445 # DEPENDENCYPART_ARC
(16,17),1.16397 # DEPENDENCYPART_ARC
(16,18),0.877283 # DEPENDENCYPART_ARC
(16,19),-1.03927 # DEPENDENCYPART_ARC
(16,20),-1.85923 # DEPENDENCYPART_ARC
(17,12),-2.9225 # DEPENDENCYPART_ARC
(17,13),-2.81191 # DEPENDENCYPART_ARC
(17,14),-2.17781 # DEPENDENCYPART_ARC
(17,15),-1.76605 # DEPENDENCYPART_ARC
(17,16),-1.09276 # DEPENDENCYPART_ARC
(17,18),-1.34575 # DEPENDENCYPART_ARC
(17,19),-1.91599 # DEPENDENCYPART_ARC
(18,12),-2.35476 # DEPENDENCYPART_ARC
(18,13),-2.15988 # DEPENDENCYPART_ARC
(18,14),-1.66593 # DEPENDENCYPART_ARC
(18,15),-1.30004 # DEPENDENCYPART_ARC
(18,16),-1.26643 # DEPENDENCYPART_ARC
(18,17),0.318105 # DEPENDENCYPART_ARC
(18,19),-1.72178 # DEPENDENCYPART_ARC
(19,6),-2.27784 # DEPENDENCYPART_ARC
(19,7),-1.88372 # DEPENDENCYPART_ARC
(19,8),-2.28224 # DEPENDENCYPART_ARC
(19,12),-2.84107 # DEPENDENCYPART_ARC
(19,14),-2.08674 # DEPENDENCYPART_ARC
(19,16),0.450013 # DEPENDENCYPART_ARC
(19,17),-0.481413 # DEPENDENCYPART_ARC
(19,18),1.02977 # DEPENDENCYPART_ARC
(19,20),-1.47245 # DEPENDENCYPART_ARC
(20,19),-2.62457 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.216757 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.77164 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.772128 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0715847 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.024816 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0645533 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.024816 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.015851 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.057229 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.015851 # DEPENDENCYPART_SIBL
(1,5),(1,9),0.729478 # DEPENDENCYPART_SIBL
(1,5),(1,10),0.0609566 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.287714 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0398589 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0485431 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0983868 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0437195 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0983868 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0442214 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0543016 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0285194 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0543016 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0326922 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.0520411 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0326922 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.770688 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.167863 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.365518 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.213271 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0597794 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0486569 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0775053 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0263428 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0619973 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0486569 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.115049 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.00656787 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.118939 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0392977 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.0144269 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.02633 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.118939 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.0816042 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0178842 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0744872 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0476959 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0763137 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0178842 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0223877 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.325983 # DEPENDENCYPART_SIBL
(3,5),(3,8),0.357102 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.704189 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.117288 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0115733 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0157303 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0615897 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0577466 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.018763 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0838555 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0679093 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0156227 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.336711 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0453966 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0115733 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.144434 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.173516 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00713335 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.00563655 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0818578 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.00659851 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0328069 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.00713335 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.00587154 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.00883946 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.15061 # DEPENDENCYPART_SIBL
(4,1),(4,14),0.0244345 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0572372 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0765826 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0308231 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.13787 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.124297 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.11151 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.120878 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0459363 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0888764 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0426895 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0440224 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.120878 # DEPENDENCYPART_SIBL
(4,2),(4,11),0.047378 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0172215 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.032963 # DEPENDENCYPART_SIBL
(4,2),(4,14),0.0500456 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.197012 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0836012 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.056437 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.136837 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.142163 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0314729 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.00198098 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0479294 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.00824192 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0289295 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0314729 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0168331 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0188747 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0952137 # DEPENDENCYPART_SIBL
(4,3),(4,14),0.0139493 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0977284 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0426542 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0203419 # DEPENDENCYPART_SIBL
(4,3),(4,19),0.11664 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.12814 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.129569 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.308628 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.321416 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.687291 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0718347 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.444169 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.569691 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.102261 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.548181 # DEPENDENCYPART_SIBL
(4,5),(4,15),0.262021 # DEPENDENCYPART_SIBL
(4,5),(4,16),0.31894 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.479443 # DEPENDENCYPART_SIBL
(4,5),(4,19),0.314789 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.00514309 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0576248 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0382402 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0143167 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0280604 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00499895 # DEPENDENCYPART_SIBL
(4,6),(4,12),0.0621857 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00339475 # DEPENDENCYPART_SIBL
(4,6),(4,14),0.0605111 # DEPENDENCYPART_SIBL
(4,6),(4,15),-0.0600261 # DEPENDENCYPART_SIBL
(4,6),(4,16),-0.04952 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0728459 # DEPENDENCYPART_SIBL
(4,6),(4,19),0.0482745 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.0189984 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0157411 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0840425 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.0520661 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0390966 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.012682 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0463983 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0137745 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0395082 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0658711 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0102372 # DEPENDENCYPART_SIBL
(4,7),(4,19),0.0773423 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0409241 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0614798 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0622001 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0650995 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.00656553 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.000832264 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.00778465 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0408537 # DEPENDENCYPART_SIBL
(4,8),(4,16),-0.0283644 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0251533 # DEPENDENCYPART_SIBL
(4,8),(4,19),-0.0283033 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0377397 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.343096 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0549464 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.027222 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.056753 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0284298 # DEPENDENCYPART_SIBL
(4,9),(4,15),0.0394556 # DEPENDENCYPART_SIBL
(4,9),(4,16),0.0185217 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.0516141 # DEPENDENCYPART_SIBL
(4,9),(4,19),-0.127975 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.0755052 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.444169 # DEPENDENCYPART_SIBL
(4,10),(4,12),0.569691 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.102261 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.548181 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.262021 # DEPENDENCYPART_SIBL
(4,10),(4,16),0.31894 # DEPENDENCYPART_SIBL
(4,10),(4,18),0.479443 # DEPENDENCYPART_SIBL
(4,10),(4,19),0.314789 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.00514309 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.0198673 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0410584 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0225138 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0559145 # DEPENDENCYPART_SIBL
(4,11),(4,16),-0.0470741 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0421519 # DEPENDENCYPART_SIBL
(4,11),(4,19),-0.011342 # DEPENDENCYPART_SIBL
(4,11),(4,20),0.0349467 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0280044 # DEPENDENCYPART_SIBL
(4,12),(4,14),0.00440535 # DEPENDENCYPART_SIBL
(4,12),(4,15),-0.0204756 # DEPENDENCYPART_SIBL
(4,12),(4,16),-0.00970644 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.0685803 # DEPENDENCYPART_SIBL
(4,12),(4,19),-0.114013 # DEPENDENCYPART_SIBL
(4,12),(4,20),-0.0584112 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.211946 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.0367859 # DEPENDENCYPART_SIBL
(4,13),(4,16),-0.00221693 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.276306 # DEPENDENCYPART_SIBL
(4,13),(4,19),-0.00213551 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.0578395 # DEPENDENCYPART_SIBL
(4,14),(4,15),-0.0202573 # DEPENDENCYPART_SIBL
(4,14),(4,16),-0.0194345 # DEPENDENCYPART_SIBL
(4,14),(4,18),0.0718866 # DEPENDENCYPART_SIBL
(4,14),(4,19),-0.112604 # DEPENDENCYPART_SIBL
(4,14),(4,20),-0.0519901 # DEPENDENCYPART_SIBL
(4,15),(4,16),0.0979764 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.112351 # DEPENDENCYPART_SIBL
(4,15),(4,19),0.0971955 # DEPENDENCYPART_SIBL
(4,15),(4,20),0.156019 # DEPENDENCYPART_SIBL
(4,16),(4,18),-0.00236462 # DEPENDENCYPART_SIBL
(4,16),(4,19),0.0692031 # DEPENDENCYPART_SIBL
(4,16),(4,20),-0.0123706 # DEPENDENCYPART_SIBL
(4,18),(4,19),-0.116201 # DEPENDENCYPART_SIBL
(4,18),(4,20),-0.0648217 # DEPENDENCYPART_SIBL
(4,19),(4,20),0.196515 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0875128 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00520303 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0294498 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.104228 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.067085 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0030205 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0948102 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0369683 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0299491 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.478982 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.021245 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0389335 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0240637 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.044463 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.0717379 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0469019 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0240837 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.111083 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0400416 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.0868147 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.00969688 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0066682 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0149595 # DEPENDENCYPART_SIBL
(7,6),(7,15),0.0379962 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0341806 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.019294 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0579302 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0210757 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.016622 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.256637 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.006338 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.166003 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0681566 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0767729 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.109615 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.1023 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0881529 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.0915957 # DEPENDENCYPART_SIBL
(7,9),(7,15),0.0937269 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.018711 # DEPENDENCYPART_SIBL
(7,10),(7,11),0.399058 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.145097 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.123243 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.147157 # DEPENDENCYPART_SIBL
(7,10),(7,15),0.160532 # DEPENDENCYPART_SIBL
(7,10),(7,18),0.173421 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.00845489 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.0835484 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.000310282 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0700019 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0769057 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0796791 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0604829 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.00533896 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.30263 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.371756 # DEPENDENCYPART_SIBL
(7,13),(7,15),0.120637 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.544702 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.00168081 # DEPENDENCYPART_SIBL
(7,14),(7,18),0.262721 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.207592 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.150359 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.587288 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0943642 # DEPENDENCYPART_SIBL
