# _root_ Investors have complained for some time about program trading , particularly index arbitrage , to little avail .
#goldHeads=2,0,2,3,6,4,3,9,7,9,9,13,9,9,3,17,15,2,
#predictedHeads=2,0,2,3,6,4,6,9,7,9,13,13,9,13,13,17,15,2,
(4,1),(4,10),0.119019 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0470491 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0244335 # DEPENDENCYPART_SIBL
(4,1),(4,15),-0.017641 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0252774 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0288961 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0563633 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0218477 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0547301 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0541448 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0100963 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0133568 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0544377 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0300428 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.054434 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.00186168 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0379969 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0671073 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0666257 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0756419 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00503515 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0691581 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0334976 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0689728 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0136291 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0501109 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0462933 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00837552 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0265129 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.046928 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0355534 # DEPENDENCYPART_SIBL
(4,7),(4,17),-0.0469156 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.0165896 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.086644 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0432486 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0199586 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0891694 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0116803 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.088984 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.00273576 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0257063 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0280724 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0847598 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0165014 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0845745 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.017256 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0145043 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.058671 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.00568701 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.0586272 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.0246369 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.0486238 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.0295668 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.0484702 # DEPENDENCYPART_SIBL
(4,11),(4,18),-0.0243899 # DEPENDENCYPART_SIBL
(4,13),(4,15),-0.0120769 # DEPENDENCYPART_SIBL
(4,13),(4,17),-0.0916526 # DEPENDENCYPART_SIBL
(4,13),(4,18),-0.0151041 # DEPENDENCYPART_SIBL
(4,15),(4,17),0.000616118 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.0540913 # DEPENDENCYPART_SIBL
(4,17),(4,18),-0.0120102 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0190468 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0192735 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0755021 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0574628 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0381889 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.0305639 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.017712 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0388245 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0078741 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0229398 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.017712 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0900661 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0142285 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0219778 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0274342 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0109121 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0180264 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0566825 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.00270819 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0120694 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0426778 # DEPENDENCYPART_SIBL
(6,2),(6,11),0.0270353 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0119642 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.00347687 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0426778 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0341945 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0437864 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.00578904 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0895958 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0299948 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0619899 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0036023 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0108425 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0212879 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.0517984 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.016077 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0105708 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.0212879 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0354916 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.0380315 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0108503 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0491834 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0139236 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0157618 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0201833 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0358779 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0666003 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0189458 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.00604298 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0358779 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.040749 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.00482847 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.00599486 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0166915 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.00385963 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00819136 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0028082 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0177462 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0095953 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.00289846 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.0028082 # DEPENDENCYPART_SIBL
