# _root_ Company officials said the new company , Sin Kean Boon-Sanwa ( J.V . ) is capitalized at the equivalent of 54 million yen ( $ 381,000 ) .
#goldHeads=2,3,0,6,6,15,6,10,10,6,12,10,12,12,3,15,16,19,17,19,22,23,20,26,26,23,26,3,
#predictedHeads=2,3,0,6,6,15,15,10,10,15,12,10,12,12,3,15,16,19,17,19,22,23,20,26,26,23,26,3,
(9,12),-1.76193 # DEPENDENCYPART_ARC
(9,13),-1.27877 # DEPENDENCYPART_ARC
(9,14),-1.50468 # DEPENDENCYPART_ARC
(9,15),-1.29204 # DEPENDENCYPART_ARC
(9,16),-1.61354 # DEPENDENCYPART_ARC
(9,17),-1.59432 # DEPENDENCYPART_ARC
(9,19),-1.81752 # DEPENDENCYPART_ARC
(10,4),-1.73258 # DEPENDENCYPART_ARC
(10,5),-1.68984 # DEPENDENCYPART_ARC
(10,6),-1.81301 # DEPENDENCYPART_ARC
(10,7),-1.6192 # DEPENDENCYPART_ARC
(10,8),0.42303 # DEPENDENCYPART_ARC
(10,9),1.25235 # DEPENDENCYPART_ARC
(10,11),-0.376664 # DEPENDENCYPART_ARC
(10,12),-1.07499 # DEPENDENCYPART_ARC
(10,13),-0.948199 # DEPENDENCYPART_ARC
(10,14),-1.12117 # DEPENDENCYPART_ARC
(10,15),-1.09538 # DEPENDENCYPART_ARC
(10,16),-1.46726 # DEPENDENCYPART_ARC
(10,17),-1.23019 # DEPENDENCYPART_ARC
(10,19),-1.34842 # DEPENDENCYPART_ARC
(10,20),-1.74367 # DEPENDENCYPART_ARC
(10,28),-1.42008 # DEPENDENCYPART_ARC
(12,4),-2.34243 # DEPENDENCYPART_ARC
(12,5),-2.71944 # DEPENDENCYPART_ARC
(12,6),-2.85519 # DEPENDENCYPART_ARC
(12,7),-2.17982 # DEPENDENCYPART_ARC
(12,8),-1.02382 # DEPENDENCYPART_ARC
(12,9),-1.03605 # DEPENDENCYPART_ARC
(12,10),-0.781077 # DEPENDENCYPART_ARC
(12,11),0.0805902 # DEPENDENCYPART_ARC
(12,13),0.330106 # DEPENDENCYPART_ARC
(12,14),-0.466118 # DEPENDENCYPART_ARC
(12,15),-0.59214 # DEPENDENCYPART_ARC
(12,16),-1.01666 # DEPENDENCYPART_ARC
(12,17),-0.771157 # DEPENDENCYPART_ARC
(12,19),-1.0064 # DEPENDENCYPART_ARC
(12,20),-1.16721 # DEPENDENCYPART_ARC
(12,28),-1.20873 # DEPENDENCYPART_ARC
(15,2),-1.76797 # DEPENDENCYPART_ARC
(15,3),-1.47105 # DEPENDENCYPART_ARC
(15,5),-1.57942 # DEPENDENCYPART_ARC
(15,6),-1.80792 # DEPENDENCYPART_ARC
(15,7),-1.16112 # DEPENDENCYPART_ARC
(15,8),-0.763929 # DEPENDENCYPART_ARC
(15,9),-0.740907 # DEPENDENCYPART_ARC
(15,10),-0.555987 # DEPENDENCYPART_ARC
(15,11),-0.820341 # DEPENDENCYPART_ARC
(15,12),-0.392199 # DEPENDENCYPART_ARC
(15,13),-0.498313 # DEPENDENCYPART_ARC
(15,14),0.494412 # DEPENDENCYPART_ARC
(15,16),1.15123 # DEPENDENCYPART_ARC
(15,17),-0.593231 # DEPENDENCYPART_ARC
(15,19),-1.19522 # DEPENDENCYPART_ARC
(15,20),-1.55287 # DEPENDENCYPART_ARC
(15,23),-1.99494 # DEPENDENCYPART_ARC
(15,27),-1.29513 # DEPENDENCYPART_ARC
(15,28),-0.599439 # DEPENDENCYPART_ARC
(16,2),-2.69187 # DEPENDENCYPART_ARC
(16,3),-2.67569 # DEPENDENCYPART_ARC
(16,6),-2.54874 # DEPENDENCYPART_ARC
(16,7),-2.05069 # DEPENDENCYPART_ARC
(16,8),-1.59168 # DEPENDENCYPART_ARC
(16,9),-1.59166 # DEPENDENCYPART_ARC
(16,10),-1.52091 # DEPENDENCYPART_ARC
(16,11),-1.71426 # DEPENDENCYPART_ARC
(16,12),-1.47539 # DEPENDENCYPART_ARC
(16,15),-0.842177 # DEPENDENCYPART_ARC
(16,17),0.73964 # DEPENDENCYPART_ARC
(16,18),-0.991354 # DEPENDENCYPART_ARC
(16,19),-0.958668 # DEPENDENCYPART_ARC
(16,20),-1.1315 # DEPENDENCYPART_ARC
(16,21),-1.5596 # DEPENDENCYPART_ARC
(16,22),-1.57152 # DEPENDENCYPART_ARC
(16,23),-1.67603 # DEPENDENCYPART_ARC
(16,28),-0.565357 # DEPENDENCYPART_ARC
(17,16),-0.216746 # DEPENDENCYPART_ARC
(17,18),0.057574 # DEPENDENCYPART_ARC
(17,19),-0.0642055 # DEPENDENCYPART_ARC
(17,20),-1.19369 # DEPENDENCYPART_ARC
(17,21),-1.4388 # DEPENDENCYPART_ARC
(17,22),-1.42732 # DEPENDENCYPART_ARC
(17,23),-1.605 # DEPENDENCYPART_ARC
(17,27),-1.2687 # DEPENDENCYPART_ARC
(18,20),-1.32306 # DEPENDENCYPART_ARC
(19,11),-1.94625 # DEPENDENCYPART_ARC
(19,12),-2.26616 # DEPENDENCYPART_ARC
(19,17),-0.969981 # DEPENDENCYPART_ARC
(19,18),1.07402 # DEPENDENCYPART_ARC
(19,20),0.517608 # DEPENDENCYPART_ARC
(19,21),-0.833886 # DEPENDENCYPART_ARC
(19,22),-1.29388 # DEPENDENCYPART_ARC
(19,23),-1.30662 # DEPENDENCYPART_ARC
(19,25),-1.20866 # DEPENDENCYPART_ARC
(19,26),-1.29922 # DEPENDENCYPART_ARC
(19,27),-1.0259 # DEPENDENCYPART_ARC
(19,28),-0.778417 # DEPENDENCYPART_ARC
(20,18),-1.24162 # DEPENDENCYPART_ARC
(20,19),-0.413069 # DEPENDENCYPART_ARC
(20,21),-0.211573 # DEPENDENCYPART_ARC
(20,22),-0.845549 # DEPENDENCYPART_ARC
(20,23),-0.619783 # DEPENDENCYPART_ARC
(20,25),-1.28707 # DEPENDENCYPART_ARC
(20,26),-1.55698 # DEPENDENCYPART_ARC
(20,27),-1.30026 # DEPENDENCYPART_ARC
(21,18),-1.91065 # DEPENDENCYPART_ARC
(21,22),-0.850418 # DEPENDENCYPART_ARC
(21,25),-1.33769 # DEPENDENCYPART_ARC
(21,26),-1.86596 # DEPENDENCYPART_ARC
(21,27),-1.31077 # DEPENDENCYPART_ARC
(22,18),-1.20426 # DEPENDENCYPART_ARC
(22,19),-1.06661 # DEPENDENCYPART_ARC
(22,20),-0.975063 # DEPENDENCYPART_ARC
(22,21),0.651607 # DEPENDENCYPART_ARC
(22,25),-1.05818 # DEPENDENCYPART_ARC
(22,26),-1.66054 # DEPENDENCYPART_ARC
(22,27),-1.31219 # DEPENDENCYPART_ARC
(23,17),-1.27806 # DEPENDENCYPART_ARC
(23,18),-1.01979 # DEPENDENCYPART_ARC
(23,19),-1.44402 # DEPENDENCYPART_ARC
(23,20),-0.757646 # DEPENDENCYPART_ARC
(23,21),-0.650466 # DEPENDENCYPART_ARC
(23,22),0.508679 # DEPENDENCYPART_ARC
(23,24),-0.0725577 # DEPENDENCYPART_ARC
(23,25),-0.979492 # DEPENDENCYPART_ARC
(23,26),-1.02579 # DEPENDENCYPART_ARC
(23,27),-0.785765 # DEPENDENCYPART_ARC
(23,28),-1.01116 # DEPENDENCYPART_ARC
(25,20),-1.00598 # DEPENDENCYPART_ARC
(25,22),-1.21469 # DEPENDENCYPART_ARC
(25,24),0.0906401 # DEPENDENCYPART_ARC
(25,26),0.372687 # DEPENDENCYPART_ARC
(25,27),-0.62333 # DEPENDENCYPART_ARC
(25,28),-0.76784 # DEPENDENCYPART_ARC
(26,22),-0.866228 # DEPENDENCYPART_ARC
(26,24),-0.297555 # DEPENDENCYPART_ARC
(26,25),1.00596 # DEPENDENCYPART_ARC
(26,27),0.320906 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.118354 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.102057 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.102087 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.170665 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.171109 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.178235 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0222049 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0275812 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0167865 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0097993 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0097993 # DEPENDENCYPART_SIBL
(1,2),(1,13),0.00873065 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.025021 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.038497 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0509361 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0391121 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0314841 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0314841 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0055335 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.00706078 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.036919 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.05312 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.00703839 # DEPENDENCYPART_SIBL
(1,6),(1,12),0.00703839 # DEPENDENCYPART_SIBL
(1,6),(1,13),0.0165012 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0376606 # DEPENDENCYPART_SIBL
(1,6),(1,15),-0.0335496 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0588 # DEPENDENCYPART_SIBL
(1,7),(1,12),0.0588 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.00100429 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.156534 # DEPENDENCYPART_SIBL
(1,7),(1,15),0.031587 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.00871075 # DEPENDENCYPART_SIBL
(1,10),(1,13),0.0167218 # DEPENDENCYPART_SIBL
(1,10),(1,14),0.0260951 # DEPENDENCYPART_SIBL
(1,10),(1,15),-0.036968 # DEPENDENCYPART_SIBL
(1,12),(1,13),0.0167218 # DEPENDENCYPART_SIBL
(1,12),(1,14),0.0260951 # DEPENDENCYPART_SIBL
(1,12),(1,15),-0.036968 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.0366215 # DEPENDENCYPART_SIBL
(1,13),(1,15),-0.0253324 # DEPENDENCYPART_SIBL
(1,14),(1,15),-0.0561848 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0372535 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0511916 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0334621 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.015864 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0158988 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0235658 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00625944 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.0877004 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.036122 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0600075 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.000329933 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0409451 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0409451 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.00444217 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.00566191 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0377735 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0244043 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0277423 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00100629 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.00100629 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0186558 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0396414 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0334927 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0152243 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0208375 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0208375 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0200535 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.137323 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.00445696 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.00338394 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0147433 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0188044 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.0280754 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0369116 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.01884 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.018876 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0280755 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0369115 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0188399 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0366251 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.0274016 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0140983 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0582559 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0457624 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0414469 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0924804 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.101918 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.067144 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.141209 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00904016 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.113456 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.110607 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.110502 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.110502 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.097775 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.00886532 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.115501 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0865338 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0123048 # DEPENDENCYPART_SIBL
(3,1),(3,27),0.00886532 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.097775 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.104516 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0717617 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.12189 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.04709 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0918367 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0889876 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.088883 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.088883 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0484383 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.00243991 # DEPENDENCYPART_SIBL
(3,2),(3,15),0.0841877 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0647466 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0288958 # DEPENDENCYPART_SIBL
(3,2),(3,27),0.00243991 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.0484383 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0528897 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0417986 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0798055 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.041805 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.0411269 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0411269 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0411269 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.051792 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0375738 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.0928571 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.07462 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0557199 # DEPENDENCYPART_SIBL
(3,4),(3,27),0.0375738 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.051792 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0223413 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.029582 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.02956 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0288818 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0288818 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0288818 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0621626 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0263706 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0703506 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0432646 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00225658 # DEPENDENCYPART_SIBL
(3,5),(3,27),0.0263706 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.0621626 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.117459 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0845838 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0839056 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0839056 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0839056 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.123794 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.0590084 # DEPENDENCYPART_SIBL
(3,6),(3,15),-0.165728 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.152295 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0805897 # DEPENDENCYPART_SIBL
(3,6),(3,27),-0.0590084 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.123794 # DEPENDENCYPART_SIBL
(3,7),(3,8),0.0095587 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0102368 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0102368 # DEPENDENCYPART_SIBL
(3,7),(3,12),0.0102368 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0300065 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.169032 # DEPENDENCYPART_SIBL
(3,7),(3,15),0.00778108 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.00324863 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.00623621 # DEPENDENCYPART_SIBL
(3,7),(3,27),0.169032 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.0300065 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0775581 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0775581 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0775581 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0836284 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0389127 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.123861 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.110588 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0687268 # DEPENDENCYPART_SIBL
(3,8),(3,27),-0.0389127 # DEPENDENCYPART_SIBL
(3,8),(3,28),-0.0836284 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0768799 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0768799 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.0830037 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0382345 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.12265 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.109377 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0677175 # DEPENDENCYPART_SIBL
(3,9),(3,27),-0.0382345 # DEPENDENCYPART_SIBL
(3,9),(3,28),-0.0830037 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0768428 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0828237 # DEPENDENCYPART_SIBL
(3,10),(3,14),-0.0381974 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.122613 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.10934 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0676804 # DEPENDENCYPART_SIBL
(3,10),(3,27),-0.0381974 # DEPENDENCYPART_SIBL
(3,10),(3,28),-0.0828237 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0828237 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0381974 # DEPENDENCYPART_SIBL
(3,12),(3,15),-0.122613 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.10934 # DEPENDENCYPART_SIBL
(3,12),(3,17),-0.0676804 # DEPENDENCYPART_SIBL
(3,12),(3,27),-0.0381974 # DEPENDENCYPART_SIBL
(3,12),(3,28),-0.0828237 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0486122 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.107228 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0888591 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0678253 # DEPENDENCYPART_SIBL
(3,13),(3,27),0.0486122 # DEPENDENCYPART_SIBL
(3,13),(3,28),-0.359038 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0666592 # DEPENDENCYPART_SIBL
(3,14),(3,16),-0.0504367 # DEPENDENCYPART_SIBL
(3,14),(3,17),-0.0344044 # DEPENDENCYPART_SIBL
(3,14),(3,27),0.0349499 # DEPENDENCYPART_SIBL
(3,14),(3,28),-0.0797764 # DEPENDENCYPART_SIBL
(3,15),(3,16),-0.090981 # DEPENDENCYPART_SIBL
(3,15),(3,17),-0.084076 # DEPENDENCYPART_SIBL
(3,15),(3,27),0.0382278 # DEPENDENCYPART_SIBL
(3,15),(3,28),0.00881963 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.064711 # DEPENDENCYPART_SIBL
(3,16),(3,27),0.0302148 # DEPENDENCYPART_SIBL
(3,16),(3,28),-0.000619277 # DEPENDENCYPART_SIBL
(3,17),(3,27),0.0886138 # DEPENDENCYPART_SIBL
(3,17),(3,28),-0.0885004 # DEPENDENCYPART_SIBL
(3,27),(3,28),-0.0797764 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0191737 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0126008 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.00666869 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.00503692 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.11209 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0840772 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0199024 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.00284032 # DEPENDENCYPART_SIBL
