# _root_ `` Psyllium 's not a good crop , '' complains Sooraji Jath , a 26-year-old farmer from the village of Lakshmipura . ``
#goldHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
#predictedHeads=10,3,10,3,7,7,3,10,10,0,12,10,12,16,16,12,16,19,17,19,20,10,10,
(4,13),-1.69754 # DEPENDENCYPART_ARC
(5,4),-0.0590971 # DEPENDENCYPART_ARC
(5,6),-0.4586 # DEPENDENCYPART_ARC
(5,8),-1.11175 # DEPENDENCYPART_ARC
(6,2),-1.43506 # DEPENDENCYPART_ARC
(6,4),-0.914985 # DEPENDENCYPART_ARC
(6,5),0.0215112 # DEPENDENCYPART_ARC
(6,7),-0.45312 # DEPENDENCYPART_ARC
(6,8),-1.08675 # DEPENDENCYPART_ARC
(6,9),-1.46793 # DEPENDENCYPART_ARC
(6,10),-1.71851 # DEPENDENCYPART_ARC
(6,16),-2.03134 # DEPENDENCYPART_ARC
(7,1),-1.16564 # DEPENDENCYPART_ARC
(7,2),-1.1777 # DEPENDENCYPART_ARC
(7,4),-0.601463 # DEPENDENCYPART_ARC
(7,5),0.347404 # DEPENDENCYPART_ARC
(7,6),1.57572 # DEPENDENCYPART_ARC
(7,8),0.0296732 # DEPENDENCYPART_ARC
(7,9),-1.47163 # DEPENDENCYPART_ARC
(7,10),-1.84304 # DEPENDENCYPART_ARC
(7,11),-1.74854 # DEPENDENCYPART_ARC
(7,12),-1.82676 # DEPENDENCYPART_ARC
(7,13),-1.41157 # DEPENDENCYPART_ARC
(7,16),-2.09271 # DEPENDENCYPART_ARC
(7,17),-1.84802 # DEPENDENCYPART_ARC
(7,19),-2.31156 # DEPENDENCYPART_ARC
(7,22),-2.11819 # DEPENDENCYPART_ARC
(10,1),-1.13969 # DEPENDENCYPART_ARC
(10,2),-2.07115 # DEPENDENCYPART_ARC
(10,3),-1.09201 # DEPENDENCYPART_ARC
(10,4),-1.54835 # DEPENDENCYPART_ARC
(10,5),-1.62848 # DEPENDENCYPART_ARC
(10,6),-1.50722 # DEPENDENCYPART_ARC
(10,7),-1.71506 # DEPENDENCYPART_ARC
(10,8),-0.364632 # DEPENDENCYPART_ARC
(10,9),0.604673 # DEPENDENCYPART_ARC
(10,11),0.535809 # DEPENDENCYPART_ARC
(10,12),0.250446 # DEPENDENCYPART_ARC
(10,13),-0.877579 # DEPENDENCYPART_ARC
(10,15),-1.42046 # DEPENDENCYPART_ARC
(10,16),-1.38796 # DEPENDENCYPART_ARC
(10,17),-1.33756 # DEPENDENCYPART_ARC
(10,19),-1.65916 # DEPENDENCYPART_ARC
(10,20),-2.09103 # DEPENDENCYPART_ARC
(10,22),-0.53526 # DEPENDENCYPART_ARC
(10,23),-1.33104 # DEPENDENCYPART_ARC
(11,8),-2.81796 # DEPENDENCYPART_ARC
(11,9),-1.98879 # DEPENDENCYPART_ARC
(11,12),-0.731349 # DEPENDENCYPART_ARC
(11,13),-1.57817 # DEPENDENCYPART_ARC
(11,16),-2.19178 # DEPENDENCYPART_ARC
(11,17),-1.93548 # DEPENDENCYPART_ARC
(11,19),-2.37103 # DEPENDENCYPART_ARC
(11,23),-2.18207 # DEPENDENCYPART_ARC
(12,5),-2.19184 # DEPENDENCYPART_ARC
(12,6),-2.07432 # DEPENDENCYPART_ARC
(12,7),-2.05605 # DEPENDENCYPART_ARC
(12,8),-1.80274 # DEPENDENCYPART_ARC
(12,9),-1.42417 # DEPENDENCYPART_ARC
(12,11),1.76668 # DEPENDENCYPART_ARC
(12,13),0.466674 # DEPENDENCYPART_ARC
(12,15),-1.65408 # DEPENDENCYPART_ARC
(12,16),-1.58279 # DEPENDENCYPART_ARC
(12,17),-1.99988 # DEPENDENCYPART_ARC
(12,19),-1.79061 # DEPENDENCYPART_ARC
(12,20),-2.46343 # DEPENDENCYPART_ARC
(12,21),-1.99346 # DEPENDENCYPART_ARC
(12,22),-1.86856 # DEPENDENCYPART_ARC
(12,23),-1.89722 # DEPENDENCYPART_ARC
(14,13),0.140275 # DEPENDENCYPART_ARC
(14,15),-0.427699 # DEPENDENCYPART_ARC
(14,17),-1.23385 # DEPENDENCYPART_ARC
(14,20),-1.41303 # DEPENDENCYPART_ARC
(15,7),-1.57662 # DEPENDENCYPART_ARC
(15,12),-1.53758 # DEPENDENCYPART_ARC
(15,13),-1.22702 # DEPENDENCYPART_ARC
(15,14),-0.115286 # DEPENDENCYPART_ARC
(15,17),-0.927775 # DEPENDENCYPART_ARC
(15,19),-1.46492 # DEPENDENCYPART_ARC
(15,20),-1.36425 # DEPENDENCYPART_ARC
(16,5),-1.54022 # DEPENDENCYPART_ARC
(16,6),-1.32111 # DEPENDENCYPART_ARC
(16,7),-2.3659 # DEPENDENCYPART_ARC
(16,8),-2.42591 # DEPENDENCYPART_ARC
(16,11),-1.3589 # DEPENDENCYPART_ARC
(16,12),-1.80214 # DEPENDENCYPART_ARC
(16,13),-1.47204 # DEPENDENCYPART_ARC
(16,14),0.321911 # DEPENDENCYPART_ARC
(16,15),1.57032 # DEPENDENCYPART_ARC
(16,17),0.435291 # DEPENDENCYPART_ARC
(16,18),-1.31745 # DEPENDENCYPART_ARC
(16,19),-1.21987 # DEPENDENCYPART_ARC
(16,20),-1.12933 # DEPENDENCYPART_ARC
(16,21),-1.56941 # DEPENDENCYPART_ARC
(16,22),-1.23283 # DEPENDENCYPART_ARC
(16,23),-1.30205 # DEPENDENCYPART_ARC
(17,15),-1.48162 # DEPENDENCYPART_ARC
(17,16),-0.562244 # DEPENDENCYPART_ARC
(17,18),0.140214 # DEPENDENCYPART_ARC
(17,19),0.192345 # DEPENDENCYPART_ARC
(17,20),-0.899531 # DEPENDENCYPART_ARC
(17,21),-0.674731 # DEPENDENCYPART_ARC
(17,22),-1.0747 # DEPENDENCYPART_ARC
(17,23),-1.03055 # DEPENDENCYPART_ARC
(18,20),-1.16723 # DEPENDENCYPART_ARC
(19,14),-1.75298 # DEPENDENCYPART_ARC
(19,15),-1.58528 # DEPENDENCYPART_ARC
(19,16),-1.70924 # DEPENDENCYPART_ARC
(19,17),-1.11429 # DEPENDENCYPART_ARC
(19,18),0.997781 # DEPENDENCYPART_ARC
(19,20),0.632379 # DEPENDENCYPART_ARC
(19,21),-0.874711 # DEPENDENCYPART_ARC
(19,22),-0.793456 # DEPENDENCYPART_ARC
(19,23),-1.03189 # DEPENDENCYPART_ARC
(20,16),-1.65878 # DEPENDENCYPART_ARC
(20,18),-1.39447 # DEPENDENCYPART_ARC
(20,21),0.777542 # DEPENDENCYPART_ARC
(20,22),-1.08466 # DEPENDENCYPART_ARC
(20,23),-1.1517 # DEPENDENCYPART_ARC
(21,18),-1.84206 # DEPENDENCYPART_ARC
(21,19),-1.3479 # DEPENDENCYPART_ARC
(21,20),-0.530717 # DEPENDENCYPART_ARC
(21,22),-0.230067 # DEPENDENCYPART_ARC
(21,23),-1.1528 # DEPENDENCYPART_ARC
(22,17),-1.29233 # DEPENDENCYPART_ARC
(22,20),-1.05148 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0961187 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0299204 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0514136 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.101696 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0709946 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0602538 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.168578 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0225912 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0826075 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.101696 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.061785 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0067549 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0463679 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.141674 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.748153 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00989111 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0464551 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.141674 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0458059 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.00143759 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0229914 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0108748 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0179284 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.106228 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0122131 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0108034 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0179284 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0108413 # DEPENDENCYPART_SIBL
(2,3),(2,22),-0.010457 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00160539 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0154815 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.00302005 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0104231 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00167684 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0154815 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.00163891 # DEPENDENCYPART_SIBL
(2,4),(2,22),-0.00491221 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0118426 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0191289 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0140627 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0158733 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0118426 # DEPENDENCYPART_SIBL
(2,7),(2,16),-0.0160199 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.0191746 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0945613 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0238141 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.0362389 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.031589 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.036201 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.00533106 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0115228 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.040012 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0152839 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.0399741 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0251762 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.0184266 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0170919 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0184646 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.00134986 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.0120447 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0144179 # DEPENDENCYPART_SIBL
(2,12),(2,22),0.0191767 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.036201 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.00533106 # DEPENDENCYPART_SIBL
(2,16),(2,22),0.019142 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00963764 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0177404 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.000790634 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0463716 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0642218 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0882667 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.516221 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0618842 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0882667 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0611366 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0131288 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.185232 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.0382762 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.010747 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.120087 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0182891 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0588591 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0460367 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0325914 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0566784 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0460367 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.055923 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.0489288 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0321098 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.00018682 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.0313707 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.136002 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0363423 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0263044 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0778325 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0511602 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.0263044 # DEPENDENCYPART_SIBL
(3,4),(3,16),0.0368361 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0184352 # DEPENDENCYPART_SIBL
(3,4),(3,22),0.0377415 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.0372045 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0110123 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.00729855 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0428907 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0532186 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0146807 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0428907 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.00779168 # DEPENDENCYPART_SIBL
(3,5),(3,17),-0.0437055 # DEPENDENCYPART_SIBL
(3,5),(3,22),0.0220446 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0205817 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0083591 # DEPENDENCYPART_SIBL
(3,6),(3,8),0.020589 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.00416868 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.0367054 # DEPENDENCYPART_SIBL
(3,6),(3,13),0.020589 # DEPENDENCYPART_SIBL
(3,6),(3,16),0.00987515 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0246899 # DEPENDENCYPART_SIBL
(3,6),(3,22),0.0438264 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.061134 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0143646 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.0181221 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0190583 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0143646 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0328635 # DEPENDENCYPART_SIBL
(3,7),(3,17),-0.0029748 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.00533277 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0281149 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0404548 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.00566676 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0192489 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0263296 # DEPENDENCYPART_SIBL
(3,8),(3,17),-0.0612087 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.0228364 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.0330013 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.0252874 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.05533 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0219353 # DEPENDENCYPART_SIBL
(3,9),(3,17),-0.0120401 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0809522 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0383481 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0174239 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0113032 # DEPENDENCYPART_SIBL
(3,10),(3,17),-0.0429757 # DEPENDENCYPART_SIBL
(3,10),(3,22),0.021402 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.055061 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.0263296 # DEPENDENCYPART_SIBL
(3,13),(3,17),-0.0612087 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0228364 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0330013 # DEPENDENCYPART_SIBL
(3,16),(3,17),-0.00286543 # DEPENDENCYPART_SIBL
(3,16),(3,22),-0.00537517 # DEPENDENCYPART_SIBL
(3,16),(3,23),0.0280744 # DEPENDENCYPART_SIBL
(3,17),(3,22),-0.00855659 # DEPENDENCYPART_SIBL
(3,17),(3,23),0.0304026 # DEPENDENCYPART_SIBL
(3,22),(3,23),0.0407096 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0946876 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0257712 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0970442 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.268542 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.194672 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.100963 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.194672 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0203707 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0489369 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.139807 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.162963 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.193355 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.162963 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.011517 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0106828 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.01883 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0449258 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.01883 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0009317 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.00351932 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0589792 # DEPENDENCYPART_SIBL
(4,6),(4,13),0.00351932 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0254473 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.038696 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0254473 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.0765666 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0326946 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0232518 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0115439 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.0775217 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.0326563 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0865518 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0135001 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.0141321 # DEPENDENCYPART_SIBL
(6,2),(6,8),0.0749695 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00898425 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.00662672 # DEPENDENCYPART_SIBL
(6,2),(6,16),0.0204074 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.08218 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.00167293 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.123016 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0463509 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0201041 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.00307712 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0110756 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0908827 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.121724 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.116358 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0106374 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0342562 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00038981 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00638615 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0140448 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0253346 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0376472 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.0943795 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.0158559 # DEPENDENCYPART_SIBL
(6,9),(6,16),0.0683775 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0481098 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0936573 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.0824058 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.104583 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0658436 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.133078 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.748153 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0175817 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0493736 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0493736 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.133078 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0487244 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.0111075 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0483473 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.00143759 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0412776 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0486583 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0255782 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0212247 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.0254317 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0428088 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00877268 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00877268 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0212247 # DEPENDENCYPART_SIBL
(7,2),(7,16),0.00741532 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0688601 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.00571795 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.00312225 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.0114257 # DEPENDENCYPART_SIBL
(7,4),(7,6),0.0152455 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.00443315 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0282909 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.00839342 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0342722 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0342722 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.00443315 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.0331065 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0627693 # DEPENDENCYPART_SIBL
(7,4),(7,19),0.0332458 # DEPENDENCYPART_SIBL
(7,4),(7,22),0.066552 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0583223 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0912594 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.214401 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.243971 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.0307183 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.0307183 # DEPENDENCYPART_SIBL
(7,5),(7,13),-0.0912594 # DEPENDENCYPART_SIBL
(7,5),(7,16),-0.0321926 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0467052 # DEPENDENCYPART_SIBL
(7,5),(7,19),-0.0358738 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.0431494 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0928453 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0031239 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0171441 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0489614 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0489614 # DEPENDENCYPART_SIBL
(7,6),(7,13),-0.0928453 # DEPENDENCYPART_SIBL
(7,6),(7,16),-0.0497329 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0203097 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0499905 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.107373 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0848574 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.00157222 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.0319987 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.0319987 # DEPENDENCYPART_SIBL
