# _root_ In fact , without Wall Street firms trading for their own accounts , the stock-index arbitrage trading opportunities for the big funds may be all the more abundant .
#goldHeads=23,1,23,23,7,7,8,4,8,12,12,9,23,18,18,18,18,23,18,22,22,19,0,23,27,27,24,27,23,
#predictedHeads=23,1,23,23,7,7,8,4,8,12,12,9,23,18,18,18,18,23,18,22,22,19,0,23,26,28,28,24,23,
(15,24),-1.59564 # DEPENDENCYPART_ARC
(15,28),-1.97916 # DEPENDENCYPART_ARC
(16,10),-2.52506 # DEPENDENCYPART_ARC
(16,11),-2.72502 # DEPENDENCYPART_ARC
(16,14),-0.759126 # DEPENDENCYPART_ARC
(16,15),0.287488 # DEPENDENCYPART_ARC
(16,17),-0.597206 # DEPENDENCYPART_ARC
(16,19),-1.49988 # DEPENDENCYPART_ARC
(16,22),-2.21326 # DEPENDENCYPART_ARC
(16,28),-2.21342 # DEPENDENCYPART_ARC
(17,10),-2.2141 # DEPENDENCYPART_ARC
(17,11),-2.78882 # DEPENDENCYPART_ARC
(17,12),-2.31032 # DEPENDENCYPART_ARC
(17,13),-2.0194 # DEPENDENCYPART_ARC
(17,14),-1.2077 # DEPENDENCYPART_ARC
(17,15),-0.171475 # DEPENDENCYPART_ARC
(17,16),0.748852 # DEPENDENCYPART_ARC
(17,18),-0.541835 # DEPENDENCYPART_ARC
(17,19),-1.24602 # DEPENDENCYPART_ARC
(17,22),-2.08278 # DEPENDENCYPART_ARC
(17,23),-1.59085 # DEPENDENCYPART_ARC
(17,26),-2.09834 # DEPENDENCYPART_ARC
(17,28),-2.18005 # DEPENDENCYPART_ARC
(18,9),-1.60523 # DEPENDENCYPART_ARC
(18,10),-1.31935 # DEPENDENCYPART_ARC
(18,11),-1.69194 # DEPENDENCYPART_ARC
(18,12),-2.03303 # DEPENDENCYPART_ARC
(18,13),-1.31807 # DEPENDENCYPART_ARC
(18,14),-0.219845 # DEPENDENCYPART_ARC
(18,15),0.42797 # DEPENDENCYPART_ARC
(18,16),0.887979 # DEPENDENCYPART_ARC
(18,17),2.01599 # DEPENDENCYPART_ARC
(18,19),0.175458 # DEPENDENCYPART_ARC
(18,20),-1.59181 # DEPENDENCYPART_ARC
(18,21),-1.48701 # DEPENDENCYPART_ARC
(18,22),-1.58396 # DEPENDENCYPART_ARC
(18,23),-1.30843 # DEPENDENCYPART_ARC
(18,24),-1.51749 # DEPENDENCYPART_ARC
(18,26),-1.91011 # DEPENDENCYPART_ARC
(18,28),-1.92435 # DEPENDENCYPART_ARC
(18,29),-1.82871 # DEPENDENCYPART_ARC
(19,18),-0.709816 # DEPENDENCYPART_ARC
(19,20),-0.325503 # DEPENDENCYPART_ARC
(19,21),-0.924388 # DEPENDENCYPART_ARC
(19,22),-0.607821 # DEPENDENCYPART_ARC
(19,23),-1.60422 # DEPENDENCYPART_ARC
(19,24),-1.53872 # DEPENDENCYPART_ARC
(19,27),-1.87204 # DEPENDENCYPART_ARC
(20,21),-0.531239 # DEPENDENCYPART_ARC
(20,24),-1.38526 # DEPENDENCYPART_ARC
(21,18),-1.23187 # DEPENDENCYPART_ARC
(21,20),0.021901 # DEPENDENCYPART_ARC
(21,23),-1.08644 # DEPENDENCYPART_ARC
(21,24),-1.13696 # DEPENDENCYPART_ARC
(21,28),-1.58964 # DEPENDENCYPART_ARC
(22,10),-1.86788 # DEPENDENCYPART_ARC
(22,14),-2.16827 # DEPENDENCYPART_ARC
(22,15),-1.43939 # DEPENDENCYPART_ARC
(22,16),-1.39523 # DEPENDENCYPART_ARC
(22,17),-0.937313 # DEPENDENCYPART_ARC
(22,18),-1.16199 # DEPENDENCYPART_ARC
(22,19),-1.13602 # DEPENDENCYPART_ARC
(22,20),0.217265 # DEPENDENCYPART_ARC
(22,21),1.39701 # DEPENDENCYPART_ARC
(22,23),-0.679672 # DEPENDENCYPART_ARC
(22,24),-1.03677 # DEPENDENCYPART_ARC
(22,26),-1.86292 # DEPENDENCYPART_ARC
(22,27),-1.6336 # DEPENDENCYPART_ARC
(22,28),-1.7644 # DEPENDENCYPART_ARC
(23,1),-1.05475 # DEPENDENCYPART_ARC
(23,2),-1.94972 # DEPENDENCYPART_ARC
(23,3),-3.06202 # DEPENDENCYPART_ARC
(23,4),-1.18701 # DEPENDENCYPART_ARC
(23,7),-2.51916 # DEPENDENCYPART_ARC
(23,8),-1.64728 # DEPENDENCYPART_ARC
(23,9),-1.36664 # DEPENDENCYPART_ARC
(23,11),-1.72669 # DEPENDENCYPART_ARC
(23,12),-2.15116 # DEPENDENCYPART_ARC
(23,13),-1.31467 # DEPENDENCYPART_ARC
(23,14),-1.49751 # DEPENDENCYPART_ARC
(23,15),-1.12946 # DEPENDENCYPART_ARC
(23,16),-1.04151 # DEPENDENCYPART_ARC
(23,17),-0.935568 # DEPENDENCYPART_ARC
(23,18),-0.779998 # DEPENDENCYPART_ARC
(23,19),-0.620564 # DEPENDENCYPART_ARC
(23,20),-0.968242 # DEPENDENCYPART_ARC
(23,21),-0.574059 # DEPENDENCYPART_ARC
(23,22),0.985207 # DEPENDENCYPART_ARC
(23,24),1.54496 # DEPENDENCYPART_ARC
(23,29),-0.636237 # DEPENDENCYPART_ARC
(24,9),-2.32315 # DEPENDENCYPART_ARC
(24,12),-2.47359 # DEPENDENCYPART_ARC
(24,13),-1.78723 # DEPENDENCYPART_ARC
(24,15),-1.2452 # DEPENDENCYPART_ARC
(24,16),-1.2387 # DEPENDENCYPART_ARC
(24,17),-1.27996 # DEPENDENCYPART_ARC
(24,18),-1.23628 # DEPENDENCYPART_ARC
(24,19),-1.15456 # DEPENDENCYPART_ARC
(24,21),-1.38184 # DEPENDENCYPART_ARC
(24,22),-1.05852 # DEPENDENCYPART_ARC
(24,26),-0.92116 # DEPENDENCYPART_ARC
(24,27),-0.937179 # DEPENDENCYPART_ARC
(24,28),-0.677266 # DEPENDENCYPART_ARC
(24,29),-0.713332 # DEPENDENCYPART_ARC
(26,25),-0.247054 # DEPENDENCYPART_ARC
(26,28),-1.41212 # DEPENDENCYPART_ARC
(26,29),-1.20853 # DEPENDENCYPART_ARC
(27,26),-0.0861006 # DEPENDENCYPART_ARC
(27,28),-0.305193 # DEPENDENCYPART_ARC
(27,29),-1.36291 # DEPENDENCYPART_ARC
(28,15),-1.00901 # DEPENDENCYPART_ARC
(28,16),-1.06838 # DEPENDENCYPART_ARC
(28,17),-1.00668 # DEPENDENCYPART_ARC
(28,21),-1.03162 # DEPENDENCYPART_ARC
(28,22),-1.04257 # DEPENDENCYPART_ARC
(28,26),-0.503338 # DEPENDENCYPART_ARC
(28,27),0.857216 # DEPENDENCYPART_ARC
(28,29),-0.30011 # DEPENDENCYPART_ARC
(29,28),-0.478038 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0219746 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0220651 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.122835 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0355455 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.116667 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0508685 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.134234 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0510495 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.130713 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.124173 # DEPENDENCYPART_SIBL
(0,7),(0,23),-0.0488192 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.120526 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.0934241 # DEPENDENCYPART_SIBL
(0,8),(0,24),-0.225987 # DEPENDENCYPART_SIBL
(0,23),(0,24),-0.119351 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0336466 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00499962 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.109509 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0273833 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0696047 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0527063 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0194687 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0460482 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0193433 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0269676 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0248655 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0186501 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0397534 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0325609 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0184818 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0224618 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0275397 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0248655 # DEPENDENCYPART_SIBL
(2,1),(2,29),-0.00339799 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.042038 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0275391 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0568919 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.019124 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.00111252 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0117555 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0161889 # DEPENDENCYPART_SIBL
(2,3),(2,29),-0.00790691 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.0140937 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.00951989 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0260223 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0244964 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0173932 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.00929067 # DEPENDENCYPART_SIBL
(2,4),(2,29),0.0186088 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.00765273 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0338049 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.0116194 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0230682 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.000922639 # DEPENDENCYPART_SIBL
(2,6),(2,29),0.017846 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0305779 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0159054 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0248954 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00359796 # DEPENDENCYPART_SIBL
(2,7),(2,29),0.00668178 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0260458 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00138501 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0112225 # DEPENDENCYPART_SIBL
(2,8),(2,29),0.0305825 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0283248 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0345001 # DEPENDENCYPART_SIBL
(2,9),(2,29),0.0465071 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0134952 # DEPENDENCYPART_SIBL
(2,12),(2,29),0.0119564 # DEPENDENCYPART_SIBL
(2,13),(2,29),-0.00790691 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0929923 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0837703 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0116677 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.0410646 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0430266 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0312969 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0049944 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0783148 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0358777 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0153119 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0200137 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0111663 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.00616086 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0169989 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0523956 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0219642 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.119184 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.108989 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.103043 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.116154 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00592313 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.105252 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0929208 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0845333 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0303588 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0148271 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0874192 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0725188 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0223613 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.00171691 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0754012 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0274323 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0171081 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0852467 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.00580895 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0352886 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00309719 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0547894 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0349589 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.0244221 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.140528 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0210784 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.00724323 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.0253755 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0289638 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.00910854 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0358055 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0548705 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.0166064 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0419868 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0113039 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.154206 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0202167 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00948344 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0177971 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0134491 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0368785 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0111155 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0568684 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0204911 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.010553 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.0335534 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0149145 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0124131 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.0375254 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.0231835 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0207498 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0556093 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0229857 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0307128 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0209809 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.00367245 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0326852 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0238932 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.0341867 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.0296917 # DEPENDENCYPART_SIBL
(7,1),(7,26),-0.0609696 # DEPENDENCYPART_SIBL
(7,1),(7,29),-0.00420722 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0223421 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.0176038 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.00447564 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0135292 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0391705 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0330495 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.00150113 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.0120113 # DEPENDENCYPART_SIBL
(7,2),(7,13),0.0433168 # DEPENDENCYPART_SIBL
(7,2),(7,17),0.0162791 # DEPENDENCYPART_SIBL
(7,2),(7,18),0.00841123 # DEPENDENCYPART_SIBL
(7,2),(7,22),0.00655003 # DEPENDENCYPART_SIBL
(7,2),(7,23),-0.00811057 # DEPENDENCYPART_SIBL
(7,2),(7,26),-0.113571 # DEPENDENCYPART_SIBL
(7,2),(7,29),0.0058031 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0483946 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0108402 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0153138 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.00903422 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.153632 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0381096 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0294509 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.124513 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0283519 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0220039 # DEPENDENCYPART_SIBL
(7,3),(7,22),-0.0271146 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.00296369 # DEPENDENCYPART_SIBL
(7,3),(7,26),-0.120609 # DEPENDENCYPART_SIBL
(7,3),(7,29),0.029041 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0207738 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0183134 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0389129 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0124533 # DEPENDENCYPART_SIBL
(7,4),(7,11),-0.0163914 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.00373652 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.011387 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0133135 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.00665249 # DEPENDENCYPART_SIBL
(7,4),(7,22),-0.0169075 # DEPENDENCYPART_SIBL
(7,4),(7,23),-0.00729434 # DEPENDENCYPART_SIBL
(7,4),(7,26),-0.0462303 # DEPENDENCYPART_SIBL
(7,4),(7,29),-0.00205416 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0314332 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0447971 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0556373 # DEPENDENCYPART_SIBL
(7,5),(7,11),-0.00889247 # DEPENDENCYPART_SIBL
(7,5),(7,12),-0.01149 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0460194 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.00611171 # DEPENDENCYPART_SIBL
(7,5),(7,18),-0.0139794 # DEPENDENCYPART_SIBL
(7,5),(7,22),-0.0158406 # DEPENDENCYPART_SIBL
(7,5),(7,23),-0.0165763 # DEPENDENCYPART_SIBL
(7,5),(7,26),-0.12146 # DEPENDENCYPART_SIBL
(7,5),(7,29),-0.00910633 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.0681001 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0713032 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0227207 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0196806 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.011897 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0143005 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0221676 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.0240288 # DEPENDENCYPART_SIBL
(7,6),(7,23),-0.0280082 # DEPENDENCYPART_SIBL
(7,6),(7,26),-0.130889 # DEPENDENCYPART_SIBL
(7,6),(7,29),-0.0100337 # DEPENDENCYPART_SIBL
