# _root_ `` We have no plans to adjust our asset allocation in foreign equities , '' said Masato Murakami , chief portfolio manager in the pension fund management department at Yasuda Trust & Banking Co .
#goldHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,28,31,29,31,32,33,16,
#predictedHeads=16,3,16,5,3,5,6,10,10,7,7,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,22,31,29,31,32,33,16,
(5,7),-0.982679 # DEPENDENCYPART_ARC
(5,8),-1.33948 # DEPENDENCYPART_ARC
(5,9),-1.27531 # DEPENDENCYPART_ARC
(5,10),-1.57765 # DEPENDENCYPART_ARC
(5,11),-0.610196 # DEPENDENCYPART_ARC
(5,13),-1.52981 # DEPENDENCYPART_ARC
(5,14),-1.2286 # DEPENDENCYPART_ARC
(5,15),-1.40601 # DEPENDENCYPART_ARC
(5,16),-1.59016 # DEPENDENCYPART_ARC
(5,18),-2.457 # DEPENDENCYPART_ARC
(5,19),-1.6104 # DEPENDENCYPART_ARC
(5,23),-1.97503 # DEPENDENCYPART_ARC
(5,35),-0.911807 # DEPENDENCYPART_ARC
(6,1),-2.17837 # DEPENDENCYPART_ARC
(6,2),-2.50877 # DEPENDENCYPART_ARC
(6,3),-1.80643 # DEPENDENCYPART_ARC
(6,4),-1.86087 # DEPENDENCYPART_ARC
(6,5),-1.22944 # DEPENDENCYPART_ARC
(6,7),1.97648 # DEPENDENCYPART_ARC
(6,9),-0.880045 # DEPENDENCYPART_ARC
(6,10),-1.06157 # DEPENDENCYPART_ARC
(6,11),-1.22545 # DEPENDENCYPART_ARC
(6,13),-1.30242 # DEPENDENCYPART_ARC
(6,14),-1.25817 # DEPENDENCYPART_ARC
(7,1),-2.01988 # DEPENDENCYPART_ARC
(7,4),-1.47382 # DEPENDENCYPART_ARC
(7,5),-1.03101 # DEPENDENCYPART_ARC
(7,6),-0.942677 # DEPENDENCYPART_ARC
(7,8),-0.560934 # DEPENDENCYPART_ARC
(7,9),0.198929 # DEPENDENCYPART_ARC
(7,10),0.28722 # DEPENDENCYPART_ARC
(7,11),-0.041835 # DEPENDENCYPART_ARC
(7,12),-1.11638 # DEPENDENCYPART_ARC
(7,13),-0.639267 # DEPENDENCYPART_ARC
(7,14),-1.24595 # DEPENDENCYPART_ARC
(7,15),-1.09043 # DEPENDENCYPART_ARC
(7,16),-1.20299 # DEPENDENCYPART_ARC
(7,18),-1.97783 # DEPENDENCYPART_ARC
(7,19),-1.5639 # DEPENDENCYPART_ARC
(7,20),-1.91755 # DEPENDENCYPART_ARC
(7,22),-1.71455 # DEPENDENCYPART_ARC
(7,23),-1.48487 # DEPENDENCYPART_ARC
(7,28),-2.28454 # DEPENDENCYPART_ARC
(7,29),-2.4987 # DEPENDENCYPART_ARC
(7,35),-1.6853 # DEPENDENCYPART_ARC
(8,5),-2.21897 # DEPENDENCYPART_ARC
(8,6),-2.28927 # DEPENDENCYPART_ARC
(8,9),-1.24845 # DEPENDENCYPART_ARC
(8,11),-1.98932 # DEPENDENCYPART_ARC
(9,8),0.180536 # DEPENDENCYPART_ARC
(9,10),-1.00922 # DEPENDENCYPART_ARC
(9,11),-1.1618 # DEPENDENCYPART_ARC
(9,14),-1.85292 # DEPENDENCYPART_ARC
(9,15),-1.78467 # DEPENDENCYPART_ARC
(10,1),-2.31361 # DEPENDENCYPART_ARC
(10,3),-2.18418 # DEPENDENCYPART_ARC
(10,4),-1.74463 # DEPENDENCYPART_ARC
(10,5),-0.960655 # DEPENDENCYPART_ARC
(10,6),-2.25198 # DEPENDENCYPART_ARC
(10,8),1.03803 # DEPENDENCYPART_ARC
(10,9),1.67232 # DEPENDENCYPART_ARC
(10,11),0.0440918 # DEPENDENCYPART_ARC
(10,12),-1.34607 # DEPENDENCYPART_ARC
(10,13),-1.05985 # DEPENDENCYPART_ARC
(10,14),-1.39132 # DEPENDENCYPART_ARC
(10,15),-1.45413 # DEPENDENCYPART_ARC
(10,16),-1.33813 # DEPENDENCYPART_ARC
(10,18),-2.16061 # DEPENDENCYPART_ARC
(10,19),-1.83169 # DEPENDENCYPART_ARC
(10,22),-2.96473 # DEPENDENCYPART_ARC
(10,23),-2.26117 # DEPENDENCYPART_ARC
(10,28),-3.58801 # DEPENDENCYPART_ARC
(10,29),-2.22744 # DEPENDENCYPART_ARC
(11,10),-1.50925 # DEPENDENCYPART_ARC
(11,12),-0.175911 # DEPENDENCYPART_ARC
(11,13),1.82971 # DEPENDENCYPART_ARC
(11,14),-1.40806 # DEPENDENCYPART_ARC
(11,15),-1.54435 # DEPENDENCYPART_ARC
(11,16),-1.45337 # DEPENDENCYPART_ARC
(11,18),-1.84422 # DEPENDENCYPART_ARC
(13,4),-2.61813 # DEPENDENCYPART_ARC
(13,5),-2.52457 # DEPENDENCYPART_ARC
(13,8),-0.527566 # DEPENDENCYPART_ARC
(13,9),-0.731344 # DEPENDENCYPART_ARC
(13,10),-1.32732 # DEPENDENCYPART_ARC
(13,11),-1.63139 # DEPENDENCYPART_ARC
(13,12),1.24688 # DEPENDENCYPART_ARC
(13,14),-0.810125 # DEPENDENCYPART_ARC
(13,15),-1.24038 # DEPENDENCYPART_ARC
(13,16),-1.1685 # DEPENDENCYPART_ARC
(13,17),-2.19296 # DEPENDENCYPART_ARC
(13,18),-2.09594 # DEPENDENCYPART_ARC
(13,19),-1.05311 # DEPENDENCYPART_ARC
(13,22),-2.89187 # DEPENDENCYPART_ARC
(13,23),-2.3687 # DEPENDENCYPART_ARC
(16,1),-0.22808 # DEPENDENCYPART_ARC
(16,2),-2.36377 # DEPENDENCYPART_ARC
(16,3),-0.465181 # DEPENDENCYPART_ARC
(16,4),-2.69569 # DEPENDENCYPART_ARC
(16,5),-1.71298 # DEPENDENCYPART_ARC
(16,6),-2.37851 # DEPENDENCYPART_ARC
(16,7),-1.83406 # DEPENDENCYPART_ARC
(16,8),-1.91261 # DEPENDENCYPART_ARC
(16,9),-1.82093 # DEPENDENCYPART_ARC
(16,10),-1.58735 # DEPENDENCYPART_ARC
(16,11),-2.08053 # DEPENDENCYPART_ARC
(16,12),-1.84593 # DEPENDENCYPART_ARC
(16,13),-1.10241 # DEPENDENCYPART_ARC
(16,14),0.0317628 # DEPENDENCYPART_ARC
(16,15),0.114285 # DEPENDENCYPART_ARC
(16,17),-0.661442 # DEPENDENCYPART_ARC
(16,18),-0.403953 # DEPENDENCYPART_ARC
(16,19),-0.784314 # DEPENDENCYPART_ARC
(16,20),-1.59878 # DEPENDENCYPART_ARC
(16,21),-1.44281 # DEPENDENCYPART_ARC
(16,22),-1.61866 # DEPENDENCYPART_ARC
(16,23),-0.561992 # DEPENDENCYPART_ARC
(16,29),-1.74094 # DEPENDENCYPART_ARC
(16,31),-2.99603 # DEPENDENCYPART_ARC
(16,32),-2.20146 # DEPENDENCYPART_ARC
(16,34),-3.02359 # DEPENDENCYPART_ARC
(16,35),1.7866 # DEPENDENCYPART_ARC
(17,18),-0.807328 # DEPENDENCYPART_ARC
(17,19),-1.49779 # DEPENDENCYPART_ARC
(17,20),-1.85911 # DEPENDENCYPART_ARC
(17,21),-2.23283 # DEPENDENCYPART_ARC
(17,22),-2.40959 # DEPENDENCYPART_ARC
(17,32),-2.18269 # DEPENDENCYPART_ARC
(18,1),-2.87794 # DEPENDENCYPART_ARC
(18,3),-2.95145 # DEPENDENCYPART_ARC
(18,8),-2.11178 # DEPENDENCYPART_ARC
(18,10),-2.78322 # DEPENDENCYPART_ARC
(18,12),-1.98849 # DEPENDENCYPART_ARC
(18,13),-1.5621 # DEPENDENCYPART_ARC
(18,14),-1.79014 # DEPENDENCYPART_ARC
(18,15),-1.64509 # DEPENDENCYPART_ARC
(18,17),1.99937 # DEPENDENCYPART_ARC
(18,19),0.0146438 # DEPENDENCYPART_ARC
(18,20),-1.06415 # DEPENDENCYPART_ARC
(18,21),-1.48471 # DEPENDENCYPART_ARC
(18,22),-1.47622 # DEPENDENCYPART_ARC
(18,23),-2.09112 # DEPENDENCYPART_ARC
(18,25),-3.01728 # DEPENDENCYPART_ARC
(18,26),-3.11513 # DEPENDENCYPART_ARC
(18,27),-3.48155 # DEPENDENCYPART_ARC
(18,28),-3.29168 # DEPENDENCYPART_ARC
(18,31),-3.78147 # DEPENDENCYPART_ARC
(18,32),-1.87134 # DEPENDENCYPART_ARC
(18,34),-4.33118 # DEPENDENCYPART_ARC
(20,18),-1.20016 # DEPENDENCYPART_ARC
(20,19),-0.817403 # DEPENDENCYPART_ARC
(20,21),-0.846345 # DEPENDENCYPART_ARC
(21,17),-1.78888 # DEPENDENCYPART_ARC
(21,20),-0.254103 # DEPENDENCYPART_ARC
(21,23),-1.61484 # DEPENDENCYPART_ARC
(21,29),-2.2672 # DEPENDENCYPART_ARC
(22,1),-2.42374 # DEPENDENCYPART_ARC
(22,3),-2.54082 # DEPENDENCYPART_ARC
(22,4),-3.0642 # DEPENDENCYPART_ARC
(22,5),-1.83685 # DEPENDENCYPART_ARC
(22,8),-1.60372 # DEPENDENCYPART_ARC
(22,12),-1.41622 # DEPENDENCYPART_ARC
(22,13),-1.69587 # DEPENDENCYPART_ARC
(22,15),-2.28825 # DEPENDENCYPART_ARC
(22,17),-0.858701 # DEPENDENCYPART_ARC
(22,18),-1.417 # DEPENDENCYPART_ARC
(22,19),-1.13357 # DEPENDENCYPART_ARC
(22,20),0.838606 # DEPENDENCYPART_ARC
(22,21),1.80286 # DEPENDENCYPART_ARC
(22,23),0.331206 # DEPENDENCYPART_ARC
(22,24),-1.85439 # DEPENDENCYPART_ARC
(22,25),-0.980989 # DEPENDENCYPART_ARC
(22,26),-1.10967 # DEPENDENCYPART_ARC
(22,27),-1.35849 # DEPENDENCYPART_ARC
(22,28),-1.51435 # DEPENDENCYPART_ARC
(22,29),-0.641713 # DEPENDENCYPART_ARC
(22,31),-2.17908 # DEPENDENCYPART_ARC
(22,32),-1.74377 # DEPENDENCYPART_ARC
(22,34),-2.75575 # DEPENDENCYPART_ARC
(23,22),-1.68727 # DEPENDENCYPART_ARC
(23,24),-1.2793 # DEPENDENCYPART_ARC
(23,25),0.128295 # DEPENDENCYPART_ARC
(23,26),-0.706306 # DEPENDENCYPART_ARC
(23,27),-1.24499 # DEPENDENCYPART_ARC
(23,28),-0.757915 # DEPENDENCYPART_ARC
(23,31),-2.0086 # DEPENDENCYPART_ARC
(23,32),-1.75774 # DEPENDENCYPART_ARC
(24,25),-1.28182 # DEPENDENCYPART_ARC
(25,24),-0.724651 # DEPENDENCYPART_ARC
(25,26),-1.18632 # DEPENDENCYPART_ARC
(25,29),-1.48279 # DEPENDENCYPART_ARC
(26,24),-0.792765 # DEPENDENCYPART_ARC
(26,25),0.164224 # DEPENDENCYPART_ARC
(26,27),-1.13733 # DEPENDENCYPART_ARC
(26,28),-1.80823 # DEPENDENCYPART_ARC
(26,29),-1.51008 # DEPENDENCYPART_ARC
(26,31),-2.39419 # DEPENDENCYPART_ARC
(27,24),-1.41067 # DEPENDENCYPART_ARC
(27,25),0.12607 # DEPENDENCYPART_ARC
(27,26),0.296197 # DEPENDENCYPART_ARC
(27,29),-1.67128 # DEPENDENCYPART_ARC
(27,31),-2.42432 # DEPENDENCYPART_ARC
(28,1),-2.26872 # DEPENDENCYPART_ARC
(28,3),-2.54389 # DEPENDENCYPART_ARC
(28,8),-2.40343 # DEPENDENCYPART_ARC
(28,12),-2.51036 # DEPENDENCYPART_ARC
(28,20),-1.69047 # DEPENDENCYPART_ARC
(28,21),-1.27244 # DEPENDENCYPART_ARC
(28,22),-2.08751 # DEPENDENCYPART_ARC
(28,23),-1.21674 # DEPENDENCYPART_ARC
(28,24),-0.0859193 # DEPENDENCYPART_ARC
(28,25),0.913403 # DEPENDENCYPART_ARC
(28,26),1.03803 # DEPENDENCYPART_ARC
(28,27),1.78665 # DEPENDENCYPART_ARC
(28,29),0.110855 # DEPENDENCYPART_ARC
(28,31),-1.53156 # DEPENDENCYPART_ARC
(28,32),-1.36894 # DEPENDENCYPART_ARC
(28,33),-2.16696 # DEPENDENCYPART_ARC
(28,34),-2.37219 # DEPENDENCYPART_ARC
(29,28),-1.57299 # DEPENDENCYPART_ARC
(29,30),-0.270504 # DEPENDENCYPART_ARC
(29,31),0.152799 # DEPENDENCYPART_ARC
(29,32),-1.43052 # DEPENDENCYPART_ARC
(29,33),-2.0693 # DEPENDENCYPART_ARC
(29,34),-1.74413 # DEPENDENCYPART_ARC
(30,31),-0.860223 # DEPENDENCYPART_ARC
(30,32),-0.501671 # DEPENDENCYPART_ARC
(30,33),-2.69201 # DEPENDENCYPART_ARC
(30,34),-2.66685 # DEPENDENCYPART_ARC
(31,3),-3.45129 # DEPENDENCYPART_ARC
(31,20),-2.8769 # DEPENDENCYPART_ARC
(31,21),-1.77292 # DEPENDENCYPART_ARC
(31,22),-2.44057 # DEPENDENCYPART_ARC
(31,24),-2.67665 # DEPENDENCYPART_ARC
(31,25),-1.55879 # DEPENDENCYPART_ARC
(31,26),-0.608898 # DEPENDENCYPART_ARC
(31,27),-0.527087 # DEPENDENCYPART_ARC
(31,28),-1.11171 # DEPENDENCYPART_ARC
(31,30),1.71836 # DEPENDENCYPART_ARC
(31,32),1.92538 # DEPENDENCYPART_ARC
(31,33),-1.30473 # DEPENDENCYPART_ARC
(31,34),-0.843774 # DEPENDENCYPART_ARC
(32,33),0.324642 # DEPENDENCYPART_ARC
(32,34),-0.515451 # DEPENDENCYPART_ARC
(33,30),-2.51216 # DEPENDENCYPART_ARC
(33,34),-0.677376 # DEPENDENCYPART_ARC
(34,20),-3.54646 # DEPENDENCYPART_ARC
(34,24),-3.77029 # DEPENDENCYPART_ARC
(34,25),-2.57909 # DEPENDENCYPART_ARC
(34,26),-2.36067 # DEPENDENCYPART_ARC
(34,27),-2.36625 # DEPENDENCYPART_ARC
(34,28),-3.16434 # DEPENDENCYPART_ARC
(34,30),-2.25232 # DEPENDENCYPART_ARC
(34,31),-2.59267 # DEPENDENCYPART_ARC
(34,33),-0.0765926 # DEPENDENCYPART_ARC
(35,34),-2.38041 # DEPENDENCYPART_ARC
(0,3),(0,16),-1.76111 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0610981 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0334853 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0754512 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0435939 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0430442 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.065258 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.145599 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0248964 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0257413 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.1684 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0207194 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0195754 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0312164 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0312246 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.07178 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.049197 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0204775 # DEPENDENCYPART_SIBL
(3,1),(3,14),0.0950265 # DEPENDENCYPART_SIBL
(3,1),(3,15),0.486656 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0363773 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.1039 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.0950265 # DEPENDENCYPART_SIBL
(3,1),(3,22),0.0399782 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.07178 # DEPENDENCYPART_SIBL
(3,1),(3,28),0.0205792 # DEPENDENCYPART_SIBL
(3,1),(3,29),0.0207577 # DEPENDENCYPART_SIBL
(3,1),(3,32),0.0616593 # DEPENDENCYPART_SIBL
(3,1),(3,35),0.346027 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0713016 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0496612 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0692471 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.035055 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0243474 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0818589 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0818604 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0828493 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0256823 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.0560101 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0255145 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.0426658 # DEPENDENCYPART_SIBL
(3,2),(3,16),0.0547075 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.0693488 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0255145 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.0771781 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0828493 # DEPENDENCYPART_SIBL
(3,2),(3,28),0.0691939 # DEPENDENCYPART_SIBL
(3,2),(3,29),0.0219604 # DEPENDENCYPART_SIBL
(3,2),(3,32),0.00718592 # DEPENDENCYPART_SIBL
(3,2),(3,35),0.0901021 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.238032 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0655406 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0507505 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0792626 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.172993 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.172981 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.113057 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0904229 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.233555 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.112773 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.128234 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0830154 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.107774 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.112773 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.173964 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.113057 # DEPENDENCYPART_SIBL
(3,4),(3,28),-0.174061 # DEPENDENCYPART_SIBL
(3,4),(3,29),-0.0668129 # DEPENDENCYPART_SIBL
(3,4),(3,32),-0.146503 # DEPENDENCYPART_SIBL
(3,4),(3,35),-0.0847433 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.176234 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0388455 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0380697 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.15138 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.149798 # DEPENDENCYPART_SIBL
(3,5),(3,11),0.0891969 # DEPENDENCYPART_SIBL
(3,5),(3,12),0.00965053 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.476135 # DEPENDENCYPART_SIBL
(3,5),(3,14),0.0266618 # DEPENDENCYPART_SIBL
(3,5),(3,15),-0.0957117 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.136177 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.0864545 # DEPENDENCYPART_SIBL
(3,5),(3,19),0.0266618 # DEPENDENCYPART_SIBL
(3,5),(3,22),-0.152363 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.0891969 # DEPENDENCYPART_SIBL
(3,5),(3,28),-0.152733 # DEPENDENCYPART_SIBL
(3,5),(3,29),0.0437506 # DEPENDENCYPART_SIBL
(3,5),(3,32),-0.045635 # DEPENDENCYPART_SIBL
(3,5),(3,35),-0.0699119 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.113746 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0591224 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.141224 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.141203 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.053553 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.140179 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.247402 # DEPENDENCYPART_SIBL
(3,6),(3,14),0.0229939 # DEPENDENCYPART_SIBL
(3,6),(3,15),0.090649 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0828114 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.0548241 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.0229939 # DEPENDENCYPART_SIBL
(3,6),(3,22),-0.142477 # DEPENDENCYPART_SIBL
(3,6),(3,23),-0.053553 # DEPENDENCYPART_SIBL
(3,6),(3,28),-0.142594 # DEPENDENCYPART_SIBL
(3,6),(3,29),-0.141937 # DEPENDENCYPART_SIBL
(3,6),(3,32),-0.0423449 # DEPENDENCYPART_SIBL
(3,6),(3,35),0.00849861 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.133421 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.336457 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.33561 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.180767 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.252387 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.326597 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0467678 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.0779043 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.180501 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.196239 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.0467678 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.336586 # DEPENDENCYPART_SIBL
(3,7),(3,23),-0.180767 # DEPENDENCYPART_SIBL
(3,7),(3,28),-0.336689 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.166577 # DEPENDENCYPART_SIBL
(3,7),(3,32),-0.0940995 # DEPENDENCYPART_SIBL
(3,7),(3,35),-0.0613616 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.137297 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.137297 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.117164 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.100355 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.206155 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.104832 # DEPENDENCYPART_SIBL
(3,8),(3,15),-0.0695957 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0873641 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.0550839 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.104832 # DEPENDENCYPART_SIBL
(3,8),(3,22),-0.138279 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.117164 # DEPENDENCYPART_SIBL
(3,8),(3,28),-0.138362 # DEPENDENCYPART_SIBL
(3,8),(3,29),-0.0906629 # DEPENDENCYPART_SIBL
(3,8),(3,32),-0.091952 # DEPENDENCYPART_SIBL
(3,8),(3,35),-0.114549 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.224344 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0981083 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0523095 # DEPENDENCYPART_SIBL
(3,9),(3,13),-0.349332 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0298613 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0109632 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.124074 # DEPENDENCYPART_SIBL
(3,9),(3,18),-0.0593517 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0298613 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.230983 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0981083 # DEPENDENCYPART_SIBL
(3,9),(3,28),-0.229005 # DEPENDENCYPART_SIBL
(3,9),(3,29),0.157745 # DEPENDENCYPART_SIBL
(3,9),(3,32),-0.0833927 # DEPENDENCYPART_SIBL
(3,9),(3,35),-0.0312361 # DEPENDENCYPART_SIBL
(3,10),(3,11),0.102781 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0520275 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.349268 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0206396 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0273545 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.124029 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.0593064 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0206396 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.224851 # DEPENDENCYPART_SIBL
(3,10),(3,23),0.102781 # DEPENDENCYPART_SIBL
(3,10),(3,28),-0.222873 # DEPENDENCYPART_SIBL
(3,10),(3,29),0.161094 # DEPENDENCYPART_SIBL
(3,10),(3,32),-0.0833406 # DEPENDENCYPART_SIBL
