# _root_ The marriage of news and theater , if not exactly inevitable , has been consummated nonetheless .
#goldHeads=2,13,2,5,3,5,13,11,11,11,13,13,0,13,14,15,13,
#predictedHeads=2,13,2,5,3,5,2,11,11,11,2,2,0,13,14,15,13,
(11,9),-0.499002 # DEPENDENCYPART_ARC
(11,10),0.702035 # DEPENDENCYPART_ARC
(11,12),-0.127328 # DEPENDENCYPART_ARC
(11,13),-1.32001 # DEPENDENCYPART_ARC
(11,14),-1.63703 # DEPENDENCYPART_ARC
(11,15),-1.74338 # DEPENDENCYPART_ARC
(11,16),-1.78038 # DEPENDENCYPART_ARC
(11,17),-1.54982 # DEPENDENCYPART_ARC
(13,1),-1.50965 # DEPENDENCYPART_ARC
(13,2),-0.680847 # DEPENDENCYPART_ARC
(13,3),-1.30169 # DEPENDENCYPART_ARC
(13,4),-0.652059 # DEPENDENCYPART_ARC
(13,5),-0.867282 # DEPENDENCYPART_ARC
(13,6),-0.518254 # DEPENDENCYPART_ARC
(13,7),-1.57271 # DEPENDENCYPART_ARC
(13,8),-1.15994 # DEPENDENCYPART_ARC
(13,9),-1.24658 # DEPENDENCYPART_ARC
(13,10),-1.32529 # DEPENDENCYPART_ARC
(13,11),-1.10989 # DEPENDENCYPART_ARC
(13,12),0.781882 # DEPENDENCYPART_ARC
(13,14),1.29896 # DEPENDENCYPART_ARC
(13,15),0.0937977 # DEPENDENCYPART_ARC
(13,16),-0.907912 # DEPENDENCYPART_ARC
(13,17),-0.839621 # DEPENDENCYPART_ARC
(14,2),-1.86001 # DEPENDENCYPART_ARC
(14,6),-1.74737 # DEPENDENCYPART_ARC
(14,8),-2.28825 # DEPENDENCYPART_ARC
(14,9),-2.44669 # DEPENDENCYPART_ARC
(14,10),-2.57925 # DEPENDENCYPART_ARC
(14,11),-2.26202 # DEPENDENCYPART_ARC
(14,12),-1.51337 # DEPENDENCYPART_ARC
(14,13),-0.873644 # DEPENDENCYPART_ARC
(14,15),0.790757 # DEPENDENCYPART_ARC
(14,16),-1.02206 # DEPENDENCYPART_ARC
(14,17),-1.17633 # DEPENDENCYPART_ARC
(15,2),-1.5294 # DEPENDENCYPART_ARC
(15,3),-1.92355 # DEPENDENCYPART_ARC
(15,4),-1.53968 # DEPENDENCYPART_ARC
(15,5),-1.13251 # DEPENDENCYPART_ARC
(15,6),-1.46392 # DEPENDENCYPART_ARC
(15,7),-2.6171 # DEPENDENCYPART_ARC
(15,8),-1.97676 # DEPENDENCYPART_ARC
(15,9),-1.91842 # DEPENDENCYPART_ARC
(15,10),-2.10646 # DEPENDENCYPART_ARC
(15,11),-1.81081 # DEPENDENCYPART_ARC
(15,12),-1.50422 # DEPENDENCYPART_ARC
(15,16),0.596765 # DEPENDENCYPART_ARC
(15,17),-0.355342 # DEPENDENCYPART_ARC
(16,2),-1.25837 # DEPENDENCYPART_ARC
(16,5),-1.24768 # DEPENDENCYPART_ARC
(16,8),-1.6717 # DEPENDENCYPART_ARC
(16,11),-1.93797 # DEPENDENCYPART_ARC
(16,17),-0.178651 # DEPENDENCYPART_ARC
(17,14),-1.22278 # DEPENDENCYPART_ARC
(17,15),-1.03696 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.0912498 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.106075 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0953647 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.101478 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.129794 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.132524 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.132251 # DEPENDENCYPART_SIBL
(0,13),(0,14),-0.173713 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.173822 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.172341 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.267836 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.02934 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0058579 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0102617 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00867849 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0827275 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0289702 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.00571076 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0850154 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00867849 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.264251 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.192378 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.132507 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.00570663 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.116503 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.000647536 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0463804 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.00325664 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0224976 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0256124 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0493396 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0273656 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00929816 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0224976 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.0536805 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0300552 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.0364125 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0235237 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0112069 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0369637 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.013496 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.00550272 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0390227 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.00984815 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.00435416 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.00731048 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00550272 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0186345 # DEPENDENCYPART_SIBL
(2,4),(2,14),-0.00506589 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0147056 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.00416438 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0205137 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0318413 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0235975 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0138016 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00718729 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.00595635 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.00209349 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0235975 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.00562243 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0083824 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0118529 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.00595583 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00104341 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0190477 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0433993 # DEPENDENCYPART_SIBL
(2,6),(2,9),-0.00792287 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0023534 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0070044 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.0190477 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0173923 # DEPENDENCYPART_SIBL
(2,6),(2,14),-0.00382367 # DEPENDENCYPART_SIBL
(2,6),(2,15),-0.0134634 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.00216362 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.0180511 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.00316834 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.011008 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.010676 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0443098 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0369457 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.032276 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0148708 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0233811 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0106682 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.00263767 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0180964 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.00457854 # DEPENDENCYPART_SIBL
(2,8),(2,11),0.0153701 # DEPENDENCYPART_SIBL
(2,8),(2,12),0.00992256 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0289477 # DEPENDENCYPART_SIBL
(2,8),(2,14),-0.0127546 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.0191464 # DEPENDENCYPART_SIBL
(2,8),(2,16),0.00809535 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0351552 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00816122 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0291741 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0138851 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0167208 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.00318589 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0103262 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0133317 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.00491179 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0116353 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.000917775 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0216979 # DEPENDENCYPART_SIBL
(2,10),(2,14),-0.00181977 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0148567 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0124414 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0101969 # DEPENDENCYPART_SIBL
(2,11),(2,12),0.0163405 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.00458605 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.00346508 # DEPENDENCYPART_SIBL
(2,11),(2,15),0.00191883 # DEPENDENCYPART_SIBL
(2,11),(2,16),-0.0124037 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.00133873 # DEPENDENCYPART_SIBL
(2,12),(2,13),0.032276 # DEPENDENCYPART_SIBL
(2,12),(2,14),0.0148708 # DEPENDENCYPART_SIBL
(2,12),(2,15),0.0233811 # DEPENDENCYPART_SIBL
(2,12),(2,16),0.0106682 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.00263767 # DEPENDENCYPART_SIBL
(2,13),(2,14),-0.0175069 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.020496 # DEPENDENCYPART_SIBL
(2,13),(2,16),-0.0141078 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.0107767 # DEPENDENCYPART_SIBL
(2,14),(2,15),-0.0182316 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.0126234 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.00825347 # DEPENDENCYPART_SIBL
(2,15),(2,16),-0.0119133 # DEPENDENCYPART_SIBL
(2,15),(2,17),-0.0045898 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.000911971 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.10865 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0144712 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.103155 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.111807 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0731262 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0742156 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0742049 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.11094 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.147607 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.11236 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0213923 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0317006 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0124846 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0122949 # DEPENDENCYPART_SIBL
(3,4),(3,17),-0.0272744 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0808509 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0406803 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0537518 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0172745 # DEPENDENCYPART_SIBL
(3,5),(3,16),0.017275 # DEPENDENCYPART_SIBL
(3,5),(3,17),0.00798534 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00591358 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0345025 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.00960717 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.00941747 # DEPENDENCYPART_SIBL
(3,6),(3,17),-0.0287352 # DEPENDENCYPART_SIBL
(3,7),(3,9),0.154035 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0954067 # DEPENDENCYPART_SIBL
(3,7),(3,16),0.0953988 # DEPENDENCYPART_SIBL
(3,7),(3,17),0.015835 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0871607 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0819902 # DEPENDENCYPART_SIBL
(3,9),(3,17),0.046615 # DEPENDENCYPART_SIBL
(3,10),(3,16),0.0254141 # DEPENDENCYPART_SIBL
(3,10),(3,17),0.0154818 # DEPENDENCYPART_SIBL
(3,16),(3,17),0.0095607 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0411326 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0230714 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0426515 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.00950054 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0082885 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.030427 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0940346 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0169607 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0985334 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.203606 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.033964 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.123396 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0707108 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0431687 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.11402 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.033964 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.0378563 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0330479 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0181237 # DEPENDENCYPART_SIBL
(5,1),(5,17),-0.119036 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0438417 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0118477 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0542071 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0070477 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0611549 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0605071 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0259167 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.00448665 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0070477 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0407921 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.116372 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0740723 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0147104 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0495832 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.168257 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0945881 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.125143 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0520212 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.032493 # DEPENDENCYPART_SIBL
(5,3),(5,11),-0.0707972 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0945881 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0136339 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0925968 # DEPENDENCYPART_SIBL
(5,3),(5,15),-0.0453541 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0245397 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0662389 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00331461 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0582285 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0434075 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00501013 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.00767433 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.00331461 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0332007 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.109322 # DEPENDENCYPART_SIBL
(5,4),(5,15),-0.0664808 # DEPENDENCYPART_SIBL
(5,4),(5,17),-0.00329083 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0112155 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.0309758 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0100421 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.0272397 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.00473992 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.0112155 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0278279 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.0118852 # DEPENDENCYPART_SIBL
(5,6),(5,15),-0.0156103 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0451725 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.00222735 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0285005 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0619407 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0850803 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.074718 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.011848 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.00590189 # DEPENDENCYPART_SIBL
(5,7),(5,15),0.00597053 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.00925661 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0340272 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.00200184 # DEPENDENCYPART_SIBL
(5,8),(5,11),0.00101799 # DEPENDENCYPART_SIBL
(5,8),(5,12),-0.0147023 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.0478551 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0346522 # DEPENDENCYPART_SIBL
(5,8),(5,15),-0.0352985 # DEPENDENCYPART_SIBL
(5,8),(5,17),-0.0244649 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0155613 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0104973 # DEPENDENCYPART_SIBL
(5,9),(5,12),0.00796701 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0329592 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0128158 # DEPENDENCYPART_SIBL
(5,9),(5,15),-0.0199294 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0729035 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0145517 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.00614599 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0260065 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.00684805 # DEPENDENCYPART_SIBL
(5,10),(5,15),-0.0134562 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0482947 # DEPENDENCYPART_SIBL
(5,11),(5,12),9.89651e-06 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.0229944 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.0131189 # DEPENDENCYPART_SIBL
(5,11),(5,15),-0.00891654 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.108955 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.011848 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.00590189 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.00597053 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.00925661 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0693066 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0664675 # DEPENDENCYPART_SIBL
(5,13),(5,17),0.00662681 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.0500112 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0068435 # DEPENDENCYPART_SIBL
(5,15),(5,17),0.0191984 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0580089 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.48627 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.000868199 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0816617 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0201626 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.00310003 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.08261 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.000868199 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.259958 # DEPENDENCYPART_SIBL
