# _root_ The Pentagon 's recently issued `` Soviet Military Power , '' though in general adopting a softer line , repeated the Sverdlovsk assessment .
#goldHeads=2,9,2,5,9,9,9,9,20,20,20,15,15,13,20,18,18,15,20,0,23,23,20,20,
#predictedHeads=2,9,2,5,20,9,9,9,5,9,9,15,15,13,9,18,18,15,20,0,23,23,20,20,
(12,18),-2.04913 # DEPENDENCYPART_ARC
(12,19),-1.52224 # DEPENDENCYPART_ARC
(12,20),-2.09172 # DEPENDENCYPART_ARC
(12,24),-1.6353 # DEPENDENCYPART_ARC
(13,9),-2.2625 # DEPENDENCYPART_ARC
(13,11),-1.58558 # DEPENDENCYPART_ARC
(13,12),-0.43291 # DEPENDENCYPART_ARC
(13,14),0.365131 # DEPENDENCYPART_ARC
(13,15),-0.490045 # DEPENDENCYPART_ARC
(13,17),-1.17801 # DEPENDENCYPART_ARC
(13,18),-1.44029 # DEPENDENCYPART_ARC
(13,19),-1.36493 # DEPENDENCYPART_ARC
(13,23),-3.45925 # DEPENDENCYPART_ARC
(14,9),-2.35373 # DEPENDENCYPART_ARC
(14,10),-2.0195 # DEPENDENCYPART_ARC
(14,12),-1.6389 # DEPENDENCYPART_ARC
(14,13),-0.637942 # DEPENDENCYPART_ARC
(14,15),0.0840061 # DEPENDENCYPART_ARC
(14,17),-1.17443 # DEPENDENCYPART_ARC
(14,18),-1.445 # DEPENDENCYPART_ARC
(14,20),-1.95921 # DEPENDENCYPART_ARC
(14,23),-2.07376 # DEPENDENCYPART_ARC
(15,9),-3.04799 # DEPENDENCYPART_ARC
(15,12),-1.3445 # DEPENDENCYPART_ARC
(15,13),-1.05644 # DEPENDENCYPART_ARC
(15,14),-0.742098 # DEPENDENCYPART_ARC
(15,16),-0.327048 # DEPENDENCYPART_ARC
(15,17),-0.913929 # DEPENDENCYPART_ARC
(15,18),-0.425882 # DEPENDENCYPART_ARC
(15,19),-1.30351 # DEPENDENCYPART_ARC
(15,20),-1.87292 # DEPENDENCYPART_ARC
(15,23),-2.0837 # DEPENDENCYPART_ARC
(15,24),-1.5136 # DEPENDENCYPART_ARC
(16,17),-0.593182 # DEPENDENCYPART_ARC
(17,16),0.213848 # DEPENDENCYPART_ARC
(17,19),-1.12545 # DEPENDENCYPART_ARC
(17,20),-1.55369 # DEPENDENCYPART_ARC
(18,7),-2.39332 # DEPENDENCYPART_ARC
(18,10),-2.14379 # DEPENDENCYPART_ARC
(18,11),-1.94133 # DEPENDENCYPART_ARC
(18,12),-1.60334 # DEPENDENCYPART_ARC
(18,13),-1.44765 # DEPENDENCYPART_ARC
(18,14),-0.98744 # DEPENDENCYPART_ARC
(18,15),-0.962985 # DEPENDENCYPART_ARC
(18,16),0.14886 # DEPENDENCYPART_ARC
(18,17),1.44793 # DEPENDENCYPART_ARC
(18,19),0.0965749 # DEPENDENCYPART_ARC
(18,20),-1.61366 # DEPENDENCYPART_ARC
(18,23),-1.83285 # DEPENDENCYPART_ARC
(18,24),-2.21726 # DEPENDENCYPART_ARC
(20,2),-1.22522 # DEPENDENCYPART_ARC
(20,4),-1.50591 # DEPENDENCYPART_ARC
(20,5),-1.2621 # DEPENDENCYPART_ARC
(20,6),-1.13074 # DEPENDENCYPART_ARC
(20,7),-0.995038 # DEPENDENCYPART_ARC
(20,8),-1.06114 # DEPENDENCYPART_ARC
(20,9),-0.910263 # DEPENDENCYPART_ARC
(20,10),-1.95151 # DEPENDENCYPART_ARC
(20,11),-1.63423 # DEPENDENCYPART_ARC
(20,12),-1.24036 # DEPENDENCYPART_ARC
(20,13),-1.11413 # DEPENDENCYPART_ARC
(20,14),-1.56287 # DEPENDENCYPART_ARC
(20,15),-1.18469 # DEPENDENCYPART_ARC
(20,16),-1.48589 # DEPENDENCYPART_ARC
(20,17),-1.30106 # DEPENDENCYPART_ARC
(20,18),-1.29149 # DEPENDENCYPART_ARC
(20,19),0.773887 # DEPENDENCYPART_ARC
(20,21),0.358243 # DEPENDENCYPART_ARC
(20,22),0.251104 # DEPENDENCYPART_ARC
(20,23),0.29651 # DEPENDENCYPART_ARC
(20,24),0.31612 # DEPENDENCYPART_ARC
(22,21),-0.499981 # DEPENDENCYPART_ARC
(22,23),-0.932743 # DEPENDENCYPART_ARC
(23,14),-2.29743 # DEPENDENCYPART_ARC
(23,15),-1.74137 # DEPENDENCYPART_ARC
(23,16),-2.21381 # DEPENDENCYPART_ARC
(23,17),-2.05315 # DEPENDENCYPART_ARC
(23,18),-2.01446 # DEPENDENCYPART_ARC
(23,19),-1.58399 # DEPENDENCYPART_ARC
(23,21),0.464408 # DEPENDENCYPART_ARC
(23,22),1.77546 # DEPENDENCYPART_ARC
(23,24),-0.343923 # DEPENDENCYPART_ARC
(24,23),-0.666864 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.0101486 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.116061 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0499383 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.122804 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.115949 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.092897 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.024272 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.091273 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0917501 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0799911 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.223252 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.223279 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.121542 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.114686 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.225484 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.45022 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0263483 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.162478 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.027043 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0619815 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0176804 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0138541 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0110155 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0246089 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.0138541 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0856371 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0274024 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.020283 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.039224 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0370932 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0232147 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0329383 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0486409 # DEPENDENCYPART_SIBL
(2,3),(2,18),-0.0273447 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0329383 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.00238352 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00623808 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0165869 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0218213 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0126723 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0167201 # DEPENDENCYPART_SIBL
(2,4),(2,11),0.0322753 # DEPENDENCYPART_SIBL
(2,4),(2,18),0.0129383 # DEPENDENCYPART_SIBL
(2,4),(2,19),-0.0167201 # DEPENDENCYPART_SIBL
(2,4),(2,24),0.0191615 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0626982 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.00625296 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00770349 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0370729 # DEPENDENCYPART_SIBL
(2,5),(2,11),0.0767727 # DEPENDENCYPART_SIBL
(2,5),(2,18),-0.00441753 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0370729 # DEPENDENCYPART_SIBL
(2,5),(2,24),0.00655828 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0385945 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.059183 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.021223 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.393124 # DEPENDENCYPART_SIBL
(2,6),(2,18),0.0515869 # DEPENDENCYPART_SIBL
(2,6),(2,19),0.021223 # DEPENDENCYPART_SIBL
(2,6),(2,24),0.18169 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.00408122 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0103979 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.0142602 # DEPENDENCYPART_SIBL
(2,7),(2,18),-0.00512765 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.0103979 # DEPENDENCYPART_SIBL
(2,7),(2,24),0.0034929 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0185157 # DEPENDENCYPART_SIBL
(2,9),(2,11),0.0236411 # DEPENDENCYPART_SIBL
(2,9),(2,18),-0.0158254 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.0185157 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0301491 # DEPENDENCYPART_SIBL
(2,10),(2,11),0.0817997 # DEPENDENCYPART_SIBL
(2,10),(2,18),0.0449735 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0388179 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.00462898 # DEPENDENCYPART_SIBL
(2,11),(2,18),0.0337815 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.0273641 # DEPENDENCYPART_SIBL
(2,11),(2,24),-0.000316877 # DEPENDENCYPART_SIBL
(2,18),(2,19),0.0298818 # DEPENDENCYPART_SIBL
(2,18),(2,24),0.0336203 # DEPENDENCYPART_SIBL
(2,19),(2,24),0.00462898 # DEPENDENCYPART_SIBL
(3,11),(3,24),-0.0191543 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0512238 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0449019 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0261967 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0258152 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0343528 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0606375 # DEPENDENCYPART_SIBL
(4,1),(4,12),-0.0118814 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.00655894 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0345793 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0430137 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.0640176 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0477002 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.195974 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0855221 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0120532 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0294309 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0415463 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0652372 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.065082 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0250797 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0324415 # DEPENDENCYPART_SIBL
(4,5),(4,12),0.0818326 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.113194 # DEPENDENCYPART_SIBL
(4,5),(4,20),0.0306333 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0330556 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0184078 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.000367388 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0547009 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0543012 # DEPENDENCYPART_SIBL
(4,7),(4,20),0.0635988 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0170115 # DEPENDENCYPART_SIBL
(4,8),(4,10),-4.84563e-06 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.0559168 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.0555287 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.0638955 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0118698 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.00943173 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.000409939 # DEPENDENCYPART_SIBL
(4,9),(4,20),0.019323 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0178554 # DEPENDENCYPART_SIBL
(4,10),(4,13),-7.56272e-05 # DEPENDENCYPART_SIBL
(4,10),(4,20),0.0698089 # DEPENDENCYPART_SIBL
(4,12),(4,13),0.0265131 # DEPENDENCYPART_SIBL
(4,12),(4,20),0.0238347 # DEPENDENCYPART_SIBL
(4,13),(4,20),0.0228001 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0758666 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.102769 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.117252 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0997679 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.0980145 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0623886 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0207547 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.0607223 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0738891 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.00262661 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.0930165 # DEPENDENCYPART_SIBL
(5,1),(5,15),-0.0960207 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.0804041 # DEPENDENCYPART_SIBL
(5,1),(5,19),-0.0207547 # DEPENDENCYPART_SIBL
(5,1),(5,20),-0.0979138 # DEPENDENCYPART_SIBL
(5,1),(5,23),-0.0761951 # DEPENDENCYPART_SIBL
(5,1),(5,24),-0.0652434 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0330285 # DEPENDENCYPART_SIBL
(5,2),(5,6),-0.0205416 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0190914 # DEPENDENCYPART_SIBL
(5,2),(5,8),-0.0327401 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0115149 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00705774 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.00366099 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0529059 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.036193 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0392591 # DEPENDENCYPART_SIBL
(5,2),(5,15),-0.0215784 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0188772 # DEPENDENCYPART_SIBL
(5,2),(5,19),-0.00705774 # DEPENDENCYPART_SIBL
(5,2),(5,20),-0.0309735 # DEPENDENCYPART_SIBL
(5,2),(5,23),-0.00749661 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.0422464 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0442651 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0461828 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0433409 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.00754487 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0182462 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0270049 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0258223 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0713676 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0464122 # DEPENDENCYPART_SIBL
(5,4),(5,15),1.81699e-05 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.0148094 # DEPENDENCYPART_SIBL
(5,4),(5,19),-0.0182462 # DEPENDENCYPART_SIBL
(5,4),(5,20),-0.005808 # DEPENDENCYPART_SIBL
(5,4),(5,23),-0.024861 # DEPENDENCYPART_SIBL
(5,4),(5,24),0.0668351 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.000182793 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.000181385 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0220149 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0266556 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.123314 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0320357 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.0451059 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.000922899 # DEPENDENCYPART_SIBL
(5,6),(5,15),0.0212743 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.00283106 # DEPENDENCYPART_SIBL
(5,6),(5,19),-0.0266556 # DEPENDENCYPART_SIBL
(5,6),(5,20),0.0204617 # DEPENDENCYPART_SIBL
(5,6),(5,23),0.00432448 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.00304126 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0613289 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0277671 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.018705 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0306728 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.0024879 # DEPENDENCYPART_SIBL
(5,7),(5,13),0.0242178 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0625775 # DEPENDENCYPART_SIBL
(5,7),(5,15),-0.00317019 # DEPENDENCYPART_SIBL
(5,7),(5,18),-0.0381308 # DEPENDENCYPART_SIBL
(5,7),(5,19),0.018705 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.00398297 # DEPENDENCYPART_SIBL
(5,7),(5,23),-0.0392563 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0119377 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0220067 # DEPENDENCYPART_SIBL
(5,8),(5,10),0.0222789 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.0262723 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.00923202 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0309825 # DEPENDENCYPART_SIBL
(5,8),(5,14),-0.0582341 # DEPENDENCYPART_SIBL
(5,8),(5,15),0.00166174 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0323705 # DEPENDENCYPART_SIBL
(5,8),(5,19),0.0222789 # DEPENDENCYPART_SIBL
(5,8),(5,20),0.000848959 # DEPENDENCYPART_SIBL
(5,8),(5,23),-0.033496 # DEPENDENCYPART_SIBL
(5,8),(5,24),-0.00205036 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.0420184 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.00865816 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00493406 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0297842 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.00763958 # DEPENDENCYPART_SIBL
(5,9),(5,15),0.0313177 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0149561 # DEPENDENCYPART_SIBL
(5,9),(5,19),0.0420184 # DEPENDENCYPART_SIBL
(5,9),(5,20),0.0373647 # DEPENDENCYPART_SIBL
(5,9),(5,23),-0.0101977 # DEPENDENCYPART_SIBL
(5,9),(5,24),0.049082 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0332777 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0051733 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.0156777 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.00213291 # DEPENDENCYPART_SIBL
(5,10),(5,15),0.0550085 # DEPENDENCYPART_SIBL
(5,10),(5,18),0.00365178 # DEPENDENCYPART_SIBL
(5,10),(5,19),0.0304787 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.0732855 # DEPENDENCYPART_SIBL
(5,10),(5,23),0.00457914 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0268795 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.0128505 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.0234743 # DEPENDENCYPART_SIBL
(5,11),(5,14),-0.00847864 # DEPENDENCYPART_SIBL
(5,11),(5,15),0.0187533 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.030773 # DEPENDENCYPART_SIBL
(5,11),(5,19),-0.00217617 # DEPENDENCYPART_SIBL
(5,11),(5,20),0.0169047 # DEPENDENCYPART_SIBL
(5,11),(5,23),0.0322663 # DEPENDENCYPART_SIBL
(5,11),(5,24),-0.0363858 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0366938 # DEPENDENCYPART_SIBL
(5,12),(5,14),-0.00884251 # DEPENDENCYPART_SIBL
(5,12),(5,15),0.0338682 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0164382 # DEPENDENCYPART_SIBL
(5,12),(5,19),0.0303056 # DEPENDENCYPART_SIBL
(5,12),(5,20),0.0361997 # DEPENDENCYPART_SIBL
(5,12),(5,23),0.0216249 # DEPENDENCYPART_SIBL
(5,12),(5,24),0.0279914 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.0330823 # DEPENDENCYPART_SIBL
(5,13),(5,15),-0.0044476 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.00117242 # DEPENDENCYPART_SIBL
(5,13),(5,19),0.00547089 # DEPENDENCYPART_SIBL
(5,13),(5,20),-0.00211604 # DEPENDENCYPART_SIBL
(5,13),(5,23),0.00637331 # DEPENDENCYPART_SIBL
(5,13),(5,24),-0.0108782 # DEPENDENCYPART_SIBL
(5,14),(5,15),-0.00540965 # DEPENDENCYPART_SIBL
(5,14),(5,18),-0.04256 # DEPENDENCYPART_SIBL
(5,14),(5,19),0.0200459 # DEPENDENCYPART_SIBL
(5,14),(5,20),-0.00622243 # DEPENDENCYPART_SIBL
(5,14),(5,23),-0.0436856 # DEPENDENCYPART_SIBL
