# _root_ A new specialty court was sought by patent experts , who believed that the generalists had botched too many important , multimillion-dollar cases .
#goldHeads=4,4,4,5,0,5,6,9,7,9,12,9,16,15,16,12,16,19,23,23,23,23,17,5,
#predictedHeads=4,4,4,5,0,5,6,9,7,9,12,9,16,15,16,12,16,20,20,23,23,23,17,5,
(5,3),-0.342251 # DEPENDENCYPART_ARC
(5,4),1.11168 # DEPENDENCYPART_ARC
(5,6),1.50558 # DEPENDENCYPART_ARC
(5,7),-0.800297 # DEPENDENCYPART_ARC
(5,9),-1.37011 # DEPENDENCYPART_ARC
(5,10),-1.75157 # DEPENDENCYPART_ARC
(5,12),-1.9541 # DEPENDENCYPART_ARC
(5,16),-2.31604 # DEPENDENCYPART_ARC
(5,17),-1.82371 # DEPENDENCYPART_ARC
(5,20),-2.10875 # DEPENDENCYPART_ARC
(5,24),-0.287369 # DEPENDENCYPART_ARC
(6,3),-1.51471 # DEPENDENCYPART_ARC
(6,4),-1.57842 # DEPENDENCYPART_ARC
(6,5),-1.22211 # DEPENDENCYPART_ARC
(6,7),0.737478 # DEPENDENCYPART_ARC
(6,8),-0.915643 # DEPENDENCYPART_ARC
(6,9),-0.844121 # DEPENDENCYPART_ARC
(6,10),-1.31885 # DEPENDENCYPART_ARC
(6,12),-1.67666 # DEPENDENCYPART_ARC
(6,16),-2.20082 # DEPENDENCYPART_ARC
(6,17),-2.05094 # DEPENDENCYPART_ARC
(6,18),-2.30707 # DEPENDENCYPART_ARC
(6,19),-2.6544 # DEPENDENCYPART_ARC
(6,21),-2.28736 # DEPENDENCYPART_ARC
(6,24),-1.40895 # DEPENDENCYPART_ARC
(7,4),-1.19165 # DEPENDENCYPART_ARC
(7,8),0.128068 # DEPENDENCYPART_ARC
(7,9),-0.270528 # DEPENDENCYPART_ARC
(7,10),-1.28559 # DEPENDENCYPART_ARC
(7,12),-2.07175 # DEPENDENCYPART_ARC
(7,16),-2.43123 # DEPENDENCYPART_ARC
(7,23),-3.13642 # DEPENDENCYPART_ARC
(8,9),-0.782991 # DEPENDENCYPART_ARC
(8,10),-1.84921 # DEPENDENCYPART_ARC
(8,12),-1.89533 # DEPENDENCYPART_ARC
(8,16),-2.17356 # DEPENDENCYPART_ARC
(9,1),-2.18186 # DEPENDENCYPART_ARC
(9,2),-1.76554 # DEPENDENCYPART_ARC
(9,3),-1.19861 # DEPENDENCYPART_ARC
(9,4),-1.20205 # DEPENDENCYPART_ARC
(9,5),-1.29773 # DEPENDENCYPART_ARC
(9,6),-0.940546 # DEPENDENCYPART_ARC
(9,7),-0.844828 # DEPENDENCYPART_ARC
(9,8),2.06553 # DEPENDENCYPART_ARC
(9,10),0.647428 # DEPENDENCYPART_ARC
(9,12),-1.45971 # DEPENDENCYPART_ARC
(9,15),-1.97474 # DEPENDENCYPART_ARC
(9,16),-2.10227 # DEPENDENCYPART_ARC
(9,17),-2.34355 # DEPENDENCYPART_ARC
(9,18),-1.85611 # DEPENDENCYPART_ARC
(9,19),-1.79577 # DEPENDENCYPART_ARC
(9,20),-2.02461 # DEPENDENCYPART_ARC
(9,21),-1.68015 # DEPENDENCYPART_ARC
(9,23),-1.90656 # DEPENDENCYPART_ARC
(9,24),-1.98398 # DEPENDENCYPART_ARC
(11,13),-1.16915 # DEPENDENCYPART_ARC
(12,4),-2.98644 # DEPENDENCYPART_ARC
(12,5),-1.90576 # DEPENDENCYPART_ARC
(12,7),-1.85593 # DEPENDENCYPART_ARC
(12,9),-2.30621 # DEPENDENCYPART_ARC
(12,10),-1.15258 # DEPENDENCYPART_ARC
(12,11),0.689219 # DEPENDENCYPART_ARC
(12,13),0.721992 # DEPENDENCYPART_ARC
(12,14),-0.693506 # DEPENDENCYPART_ARC
(12,15),-0.442329 # DEPENDENCYPART_ARC
(12,16),-0.411089 # DEPENDENCYPART_ARC
(12,17),-0.677057 # DEPENDENCYPART_ARC
(12,18),-1.13087 # DEPENDENCYPART_ARC
(12,19),-1.39493 # DEPENDENCYPART_ARC
(12,20),-1.22957 # DEPENDENCYPART_ARC
(12,21),-1.2679 # DEPENDENCYPART_ARC
(12,22),-2.05443 # DEPENDENCYPART_ARC
(12,23),-2.15395 # DEPENDENCYPART_ARC
(12,24),-1.45325 # DEPENDENCYPART_ARC
(13,11),-1.47262 # DEPENDENCYPART_ARC
(13,14),-0.488374 # DEPENDENCYPART_ARC
(13,15),-0.632696 # DEPENDENCYPART_ARC
(14,13),-0.505824 # DEPENDENCYPART_ARC
(14,16),-1.12242 # DEPENDENCYPART_ARC
(14,17),-1.53668 # DEPENDENCYPART_ARC
(15,11),-1.61866 # DEPENDENCYPART_ARC
(15,12),-1.37926 # DEPENDENCYPART_ARC
(15,13),-0.999306 # DEPENDENCYPART_ARC
(15,14),1.32919 # DEPENDENCYPART_ARC
(15,16),-0.253281 # DEPENDENCYPART_ARC
(15,17),-1.11937 # DEPENDENCYPART_ARC
(15,18),-1.3239 # DEPENDENCYPART_ARC
(15,19),-1.36039 # DEPENDENCYPART_ARC
(15,20),-1.60289 # DEPENDENCYPART_ARC
(15,23),-1.86728 # DEPENDENCYPART_ARC
(16,4),-2.45663 # DEPENDENCYPART_ARC
(16,5),-1.8025 # DEPENDENCYPART_ARC
(16,7),-1.0595 # DEPENDENCYPART_ARC
(16,9),-2.1222 # DEPENDENCYPART_ARC
(16,10),-1.8113 # DEPENDENCYPART_ARC
(16,11),-0.837928 # DEPENDENCYPART_ARC
(16,12),-1.33529 # DEPENDENCYPART_ARC
(16,13),0.00605665 # DEPENDENCYPART_ARC
(16,14),-0.745271 # DEPENDENCYPART_ARC
(16,15),0.997139 # DEPENDENCYPART_ARC
(16,17),1.51689 # DEPENDENCYPART_ARC
(16,18),-0.958829 # DEPENDENCYPART_ARC
(16,19),-1.45022 # DEPENDENCYPART_ARC
(16,20),-1.27389 # DEPENDENCYPART_ARC
(16,21),-1.7286 # DEPENDENCYPART_ARC
(16,22),-2.26944 # DEPENDENCYPART_ARC
(16,23),-2.00346 # DEPENDENCYPART_ARC
(16,24),-1.13725 # DEPENDENCYPART_ARC
(17,5),-2.55957 # DEPENDENCYPART_ARC
(17,10),-2.70334 # DEPENDENCYPART_ARC
(17,11),-1.89303 # DEPENDENCYPART_ARC
(17,13),-1.12722 # DEPENDENCYPART_ARC
(17,15),-1.49564 # DEPENDENCYPART_ARC
(17,16),-1.2232 # DEPENDENCYPART_ARC
(17,18),0.589929 # DEPENDENCYPART_ARC
(17,19),-0.822399 # DEPENDENCYPART_ARC
(17,20),-0.539956 # DEPENDENCYPART_ARC
(17,21),-1.24709 # DEPENDENCYPART_ARC
(17,22),-1.71068 # DEPENDENCYPART_ARC
(17,23),-1.64463 # DEPENDENCYPART_ARC
(17,24),-1.22276 # DEPENDENCYPART_ARC
(18,4),-2.04365 # DEPENDENCYPART_ARC
(18,13),-1.38989 # DEPENDENCYPART_ARC
(18,14),-1.55 # DEPENDENCYPART_ARC
(18,15),-1.30246 # DEPENDENCYPART_ARC
(18,19),-0.019887 # DEPENDENCYPART_ARC
(18,20),-0.824054 # DEPENDENCYPART_ARC
(18,21),-1.223 # DEPENDENCYPART_ARC
(18,22),-1.51579 # DEPENDENCYPART_ARC
(18,23),-1.93476 # DEPENDENCYPART_ARC
(18,24),-1.52805 # DEPENDENCYPART_ARC
(19,4),-2.09577 # DEPENDENCYPART_ARC
(19,13),-1.33285 # DEPENDENCYPART_ARC
(19,15),-1.43166 # DEPENDENCYPART_ARC
(19,18),-0.125892 # DEPENDENCYPART_ARC
(19,20),-0.0326287 # DEPENDENCYPART_ARC
(19,21),-1.13393 # DEPENDENCYPART_ARC
(19,22),-1.55143 # DEPENDENCYPART_ARC
(19,23),-1.89022 # DEPENDENCYPART_ARC
(20,13),-1.0307 # DEPENDENCYPART_ARC
(20,15),-1.31326 # DEPENDENCYPART_ARC
(20,18),-0.584832 # DEPENDENCYPART_ARC
(20,19),0.605495 # DEPENDENCYPART_ARC
(20,21),-0.359276 # DEPENDENCYPART_ARC
(20,22),-1.58492 # DEPENDENCYPART_ARC
(20,23),-1.94294 # DEPENDENCYPART_ARC
(20,24),-1.7507 # DEPENDENCYPART_ARC
(22,18),-1.54257 # DEPENDENCYPART_ARC
(22,19),-1.37574 # DEPENDENCYPART_ARC
(22,20),-1.27102 # DEPENDENCYPART_ARC
(22,21),0.229365 # DEPENDENCYPART_ARC
(22,23),-0.471605 # DEPENDENCYPART_ARC
(23,14),-2.44801 # DEPENDENCYPART_ARC
(23,17),-1.85607 # DEPENDENCYPART_ARC
(23,18),-1.56477 # DEPENDENCYPART_ARC
(23,19),-1.43701 # DEPENDENCYPART_ARC
(23,20),-1.01652 # DEPENDENCYPART_ARC
(23,21),-0.805867 # DEPENDENCYPART_ARC
(23,22),1.44438 # DEPENDENCYPART_ARC
(23,24),-0.644734 # DEPENDENCYPART_ARC
(24,22),-1.36518 # DEPENDENCYPART_ARC
(0,4),(0,5),-0.125379 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.119772 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.112864 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.1166 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.119639 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.228052 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.230263 # DEPENDENCYPART_SIBL
(0,5),(0,16),-0.221563 # DEPENDENCYPART_SIBL
(0,5),(0,17),-0.229687 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.226213 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.219387 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.225636 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.22134 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.227589 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.219657 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0040047 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0108341 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0898726 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.161143 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00688581 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00415868 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.051381 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0374169 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0529151 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.16982 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.263569 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0874544 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.036559 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.130363 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.251963 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0214572 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.00152775 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.0412007 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0278914 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0038306 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0342253 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0214469 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0187198 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0136528 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0235115 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00454961 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00478772 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0130567 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0218084 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.000534195 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0215443 # DEPENDENCYPART_SIBL
(3,5),(3,10),0.0298602 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0297534 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.00563731 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0127993 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00670071 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0208575 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0114208 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0496059 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.00603934 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.00447124 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0226581 # DEPENDENCYPART_SIBL
(3,10),(3,12),5.09105e-06 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0288094 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0618806 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.118052 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.211867 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0606729 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0673194 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.201798 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.200261 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.103178 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0306309 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0121309 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0393721 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0189328 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0270733 # DEPENDENCYPART_SIBL
(4,2),(4,12),-0.007623 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00312354 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0608496 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.168391 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.00464076 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0112306 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0732257 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0168112 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0229975 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0229655 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0357276 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0247562 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0281028 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0142173 # DEPENDENCYPART_SIBL
(4,6),(4,10),0.0125715 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.0158581 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.00177659 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0209552 # DEPENDENCYPART_SIBL
(4,7),(4,12),0.0115486 # DEPENDENCYPART_SIBL
(4,9),(4,10),0.0137197 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.0195836 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0089092 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0265373 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0324481 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.00690269 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0320091 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0482856 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0160446 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0142166 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.0222372 # DEPENDENCYPART_SIBL
(5,1),(5,16),0.0326573 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.022315 # DEPENDENCYPART_SIBL
(5,1),(5,20),0.0470851 # DEPENDENCYPART_SIBL
(5,1),(5,24),0.0402596 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.0326966 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0214424 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.000124774 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0733169 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.00740887 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0199646 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.0143385 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.00563627 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0109997 # DEPENDENCYPART_SIBL
(5,2),(5,20),0.0604855 # DEPENDENCYPART_SIBL
(5,2),(5,24),0.00125591 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.102187 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00373722 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.165823 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0471088 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.00257696 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.00772972 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0379963 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.00971753 # DEPENDENCYPART_SIBL
(5,3),(5,20),0.0256508 # DEPENDENCYPART_SIBL
(5,3),(5,24),0.000730949 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.0275853 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.183715 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0607451 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0653997 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.0161183 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0141486 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.0141305 # DEPENDENCYPART_SIBL
(5,4),(5,20),0.0193018 # DEPENDENCYPART_SIBL
(5,4),(5,24),-0.0278056 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0486061 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0471142 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0259586 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.0320705 # DEPENDENCYPART_SIBL
(5,6),(5,16),-0.0200655 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.0369483 # DEPENDENCYPART_SIBL
(5,6),(5,20),-0.0509945 # DEPENDENCYPART_SIBL
(5,6),(5,24),0.00159419 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.016837 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.0288963 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0146817 # DEPENDENCYPART_SIBL
(5,7),(5,16),-0.0234032 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0130302 # DEPENDENCYPART_SIBL
(5,7),(5,20),-0.0257991 # DEPENDENCYPART_SIBL
(5,7),(5,24),-0.0586229 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0130482 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.00699186 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.018572 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0272175 # DEPENDENCYPART_SIBL
(5,9),(5,20),-0.0563852 # DEPENDENCYPART_SIBL
(5,9),(5,24),-0.0195989 # DEPENDENCYPART_SIBL
(5,10),(5,12),0.0603792 # DEPENDENCYPART_SIBL
(5,10),(5,16),0.0348511 # DEPENDENCYPART_SIBL
(5,10),(5,17),0.0415221 # DEPENDENCYPART_SIBL
(5,10),(5,20),0.00459612 # DEPENDENCYPART_SIBL
(5,10),(5,24),0.0104422 # DEPENDENCYPART_SIBL
(5,12),(5,16),-0.0232046 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0400861 # DEPENDENCYPART_SIBL
(5,12),(5,20),-0.051366 # DEPENDENCYPART_SIBL
(5,12),(5,24),0.00814971 # DEPENDENCYPART_SIBL
(5,16),(5,17),-0.0273842 # DEPENDENCYPART_SIBL
(5,16),(5,20),-0.0509473 # DEPENDENCYPART_SIBL
(5,16),(5,24),0.0278557 # DEPENDENCYPART_SIBL
(5,17),(5,20),-0.0519221 # DEPENDENCYPART_SIBL
(5,17),(5,24),-0.00365761 # DEPENDENCYPART_SIBL
(5,20),(5,24),0.0183539 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0749204 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.024861 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.118312 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0198247 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0277085 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.00512903 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0146806 # DEPENDENCYPART_SIBL
(6,3),(6,16),-0.0315104 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0143166 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0297771 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0205489 # DEPENDENCYPART_SIBL
(6,3),(6,21),-0.00512903 # DEPENDENCYPART_SIBL
(6,3),(6,24),0.0272822 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0115008 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.134338 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0322152 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.0400984 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0660882 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0104164 # DEPENDENCYPART_SIBL
(6,4),(6,16),-0.00641379 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0107804 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0348625 # DEPENDENCYPART_SIBL
(6,4),(6,19),-0.0154635 # DEPENDENCYPART_SIBL
(6,4),(6,21),-0.0660882 # DEPENDENCYPART_SIBL
(6,4),(6,24),-7.90134e-06 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.00966367 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.000540988 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00936794 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0336217 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0410317 # DEPENDENCYPART_SIBL
(6,5),(6,16),-0.0612273 # DEPENDENCYPART_SIBL
(6,5),(6,17),-0.0371248 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0234568 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0327256 # DEPENDENCYPART_SIBL
(6,5),(6,21),-0.0336217 # DEPENDENCYPART_SIBL
(6,5),(6,24),0.0706851 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0172941 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0120402 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.0445588 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0102788 # DEPENDENCYPART_SIBL
(6,7),(6,16),-0.0251532 # DEPENDENCYPART_SIBL
(6,7),(6,17),-0.00681789 # DEPENDENCYPART_SIBL
(6,7),(6,18),0.0510461 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.000974674 # DEPENDENCYPART_SIBL
(6,7),(6,21),0.0445588 # DEPENDENCYPART_SIBL
(6,7),(6,24),-0.0729104 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.0405691 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.0159566 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.00914965 # DEPENDENCYPART_SIBL
(6,8),(6,16),-0.0256432 # DEPENDENCYPART_SIBL
(6,8),(6,17),-0.0275659 # DEPENDENCYPART_SIBL
(6,8),(6,18),0.0834014 # DEPENDENCYPART_SIBL
(6,8),(6,19),-0.0144413 # DEPENDENCYPART_SIBL
(6,8),(6,21),0.0159566 # DEPENDENCYPART_SIBL
(6,8),(6,24),-0.0282718 # DEPENDENCYPART_SIBL
(6,9),(6,10),0.016132 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0151903 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0316838 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.0336065 # DEPENDENCYPART_SIBL
(6,9),(6,18),0.0765103 # DEPENDENCYPART_SIBL
(6,9),(6,19),-0.0203366 # DEPENDENCYPART_SIBL
(6,9),(6,21),0.016132 # DEPENDENCYPART_SIBL
(6,9),(6,24),-0.044668 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0436322 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.014154 # DEPENDENCYPART_SIBL
(6,10),(6,17),0.0265845 # DEPENDENCYPART_SIBL
(6,10),(6,18),0.133654 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.0239886 # DEPENDENCYPART_SIBL
(6,10),(6,21),0.0310035 # DEPENDENCYPART_SIBL
(6,10),(6,24),-0.0164255 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0239003 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0359109 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.0249675 # DEPENDENCYPART_SIBL
(6,12),(6,19),-0.0287465 # DEPENDENCYPART_SIBL
(6,12),(6,21),0.0125218 # DEPENDENCYPART_SIBL
(6,12),(6,24),0.00308748 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0292594 # DEPENDENCYPART_SIBL
(6,16),(6,18),0.0140046 # DEPENDENCYPART_SIBL
(6,16),(6,19),-0.0396262 # DEPENDENCYPART_SIBL
(6,16),(6,21),0.0252708 # DEPENDENCYPART_SIBL
(6,16),(6,24),0.00985752 # DEPENDENCYPART_SIBL
