# _root_ In composite trading on the New York Stock Exchange , Black & Decker closed at $ 19.75 yesterday , down 25 cents .
#goldHeads=14,3,1,3,9,9,9,9,4,14,12,14,12,0,14,17,15,14,14,14,22,20,14,
#predictedHeads=14,3,1,3,9,9,9,9,4,14,12,14,12,0,14,17,15,14,14,14,22,20,14,
(8,14),-2.18095 # DEPENDENCYPART_ARC
(9,2),-1.7023 # DEPENDENCYPART_ARC
(9,3),-1.76207 # DEPENDENCYPART_ARC
(9,5),-0.346564 # DEPENDENCYPART_ARC
(9,6),-0.0450769 # DEPENDENCYPART_ARC
(9,7),0.39876 # DEPENDENCYPART_ARC
(9,8),1.48144 # DEPENDENCYPART_ARC
(9,10),0.33096 # DEPENDENCYPART_ARC
(9,11),-1.33577 # DEPENDENCYPART_ARC
(9,12),-1.4754 # DEPENDENCYPART_ARC
(9,13),-1.84492 # DEPENDENCYPART_ARC
(9,14),-2.06699 # DEPENDENCYPART_ARC
(9,15),-2.10475 # DEPENDENCYPART_ARC
(9,18),-1.92357 # DEPENDENCYPART_ARC
(9,19),-1.38479 # DEPENDENCYPART_ARC
(9,23),-1.81506 # DEPENDENCYPART_ARC
(11,5),-2.49659 # DEPENDENCYPART_ARC
(11,6),-2.1252 # DEPENDENCYPART_ARC
(11,7),-2.07156 # DEPENDENCYPART_ARC
(11,8),-1.89625 # DEPENDENCYPART_ARC
(11,9),-1.79196 # DEPENDENCYPART_ARC
(11,10),-0.827012 # DEPENDENCYPART_ARC
(11,13),-1.19966 # DEPENDENCYPART_ARC
(11,14),-1.1516 # DEPENDENCYPART_ARC
(11,15),-1.30605 # DEPENDENCYPART_ARC
(11,16),-1.72819 # DEPENDENCYPART_ARC
(11,17),-1.8057 # DEPENDENCYPART_ARC
(12,1),-1.70731 # DEPENDENCYPART_ARC
(12,2),-1.24489 # DEPENDENCYPART_ARC
(12,3),-1.65688 # DEPENDENCYPART_ARC
(12,4),-1.64349 # DEPENDENCYPART_ARC
(12,5),-1.45275 # DEPENDENCYPART_ARC
(12,6),-1.20784 # DEPENDENCYPART_ARC
(12,7),-1.0406 # DEPENDENCYPART_ARC
(12,8),-0.870303 # DEPENDENCYPART_ARC
(12,9),-0.449926 # DEPENDENCYPART_ARC
(12,10),-0.047029 # DEPENDENCYPART_ARC
(12,11),2.21531 # DEPENDENCYPART_ARC
(12,13),2.18698 # DEPENDENCYPART_ARC
(12,14),-0.197758 # DEPENDENCYPART_ARC
(12,15),-0.909307 # DEPENDENCYPART_ARC
(12,16),-0.883969 # DEPENDENCYPART_ARC
(12,17),-1.34518 # DEPENDENCYPART_ARC
(12,18),-1.27623 # DEPENDENCYPART_ARC
(12,19),-0.95205 # DEPENDENCYPART_ARC
(12,20),-1.62034 # DEPENDENCYPART_ARC
(12,22),-2.18294 # DEPENDENCYPART_ARC
(12,23),-1.71342 # DEPENDENCYPART_ARC
(13,5),-2.76286 # DEPENDENCYPART_ARC
(13,6),-3.04856 # DEPENDENCYPART_ARC
(13,8),-2.45356 # DEPENDENCYPART_ARC
(13,10),-2.33461 # DEPENDENCYPART_ARC
(13,11),-1.23048 # DEPENDENCYPART_ARC
(13,12),-0.520169 # DEPENDENCYPART_ARC
(13,14),-0.377589 # DEPENDENCYPART_ARC
(13,15),-1.29193 # DEPENDENCYPART_ARC
(13,16),-1.75092 # DEPENDENCYPART_ARC
(13,17),-2.06229 # DEPENDENCYPART_ARC
(13,18),-1.87695 # DEPENDENCYPART_ARC
(13,22),-2.33985 # DEPENDENCYPART_ARC
(14,1),-0.640269 # DEPENDENCYPART_ARC
(14,2),-1.55965 # DEPENDENCYPART_ARC
(14,3),-1.31374 # DEPENDENCYPART_ARC
(14,4),-0.380909 # DEPENDENCYPART_ARC
(14,5),-1.74522 # DEPENDENCYPART_ARC
(14,6),-1.60248 # DEPENDENCYPART_ARC
(14,7),-1.69233 # DEPENDENCYPART_ARC
(14,8),-1.69315 # DEPENDENCYPART_ARC
(14,9),-1.61105 # DEPENDENCYPART_ARC
(14,10),-0.686091 # DEPENDENCYPART_ARC
(14,11),-0.305006 # DEPENDENCYPART_ARC
(14,12),-0.149201 # DEPENDENCYPART_ARC
(14,13),0.694264 # DEPENDENCYPART_ARC
(14,15),1.27075 # DEPENDENCYPART_ARC
(14,16),-0.475565 # DEPENDENCYPART_ARC
(14,17),-0.856234 # DEPENDENCYPART_ARC
(14,18),-0.544735 # DEPENDENCYPART_ARC
(14,19),-0.568337 # DEPENDENCYPART_ARC
(14,20),-0.915163 # DEPENDENCYPART_ARC
(14,22),-1.91394 # DEPENDENCYPART_ARC
(14,23),-0.223155 # DEPENDENCYPART_ARC
(15,12),-1.33085 # DEPENDENCYPART_ARC
(15,16),-0.330702 # DEPENDENCYPART_ARC
(15,17),-0.622051 # DEPENDENCYPART_ARC
(15,18),-1.03085 # DEPENDENCYPART_ARC
(15,19),-1.10403 # DEPENDENCYPART_ARC
(15,20),-1.71956 # DEPENDENCYPART_ARC
(15,21),-1.87312 # DEPENDENCYPART_ARC
(15,22),-2.57719 # DEPENDENCYPART_ARC
(15,23),-1.87465 # DEPENDENCYPART_ARC
(16,15),0.400412 # DEPENDENCYPART_ARC
(16,17),0.237494 # DEPENDENCYPART_ARC
(16,18),-1.02483 # DEPENDENCYPART_ARC
(16,19),-1.15876 # DEPENDENCYPART_ARC
(16,20),-1.69661 # DEPENDENCYPART_ARC
(16,23),-1.70241 # DEPENDENCYPART_ARC
(17,15),-0.806158 # DEPENDENCYPART_ARC
(17,16),0.668434 # DEPENDENCYPART_ARC
(17,18),0.356438 # DEPENDENCYPART_ARC
(17,19),-0.567158 # DEPENDENCYPART_ARC
(17,20),-1.10306 # DEPENDENCYPART_ARC
(17,21),-1.66083 # DEPENDENCYPART_ARC
(18,12),-1.54623 # DEPENDENCYPART_ARC
(18,15),-1.17986 # DEPENDENCYPART_ARC
(18,16),-0.732597 # DEPENDENCYPART_ARC
(18,17),0.275439 # DEPENDENCYPART_ARC
(18,19),-0.0969897 # DEPENDENCYPART_ARC
(18,20),-1.40732 # DEPENDENCYPART_ARC
(18,21),-2.0226 # DEPENDENCYPART_ARC
(18,22),-1.74426 # DEPENDENCYPART_ARC
(18,23),-1.97541 # DEPENDENCYPART_ARC
(20,3),-1.55537 # DEPENDENCYPART_ARC
(20,9),-1.65396 # DEPENDENCYPART_ARC
(20,12),-1.98035 # DEPENDENCYPART_ARC
(20,15),-2.01698 # DEPENDENCYPART_ARC
(20,16),-1.89901 # DEPENDENCYPART_ARC
(20,18),-1.74828 # DEPENDENCYPART_ARC
(20,19),-0.0754654 # DEPENDENCYPART_ARC
(20,21),0.249892 # DEPENDENCYPART_ARC
(20,22),-0.332767 # DEPENDENCYPART_ARC
(21,17),-1.85565 # DEPENDENCYPART_ARC
(21,18),-1.54011 # DEPENDENCYPART_ARC
(21,20),-0.0275547 # DEPENDENCYPART_ARC
(21,23),-1.18088 # DEPENDENCYPART_ARC
(22,15),-1.64168 # DEPENDENCYPART_ARC
(22,16),-2.06361 # DEPENDENCYPART_ARC
(22,17),-1.63627 # DEPENDENCYPART_ARC
(22,18),-1.75817 # DEPENDENCYPART_ARC
(22,19),-1.37199 # DEPENDENCYPART_ARC
(22,20),-0.312077 # DEPENDENCYPART_ARC
(22,21),0.907055 # DEPENDENCYPART_ARC
(22,23),-0.256549 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0173439 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.00781958 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0192098 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0564343 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.113956 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0369961 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.045816 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0764568 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.097165 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0283521 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0547819 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.114154 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.075543 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.102308 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.112556 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0644317 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0334042 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0649965 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0647836 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0677106 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.062496 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0202017 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0516152 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0213306 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.106458 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.103298 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.109849 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.109922 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.00857289 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.112618 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0347858 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0360058 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.0360568 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.0363959 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.00506578 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0327695 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.109717 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.114252 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.11432 # DEPENDENCYPART_SIBL
(1,6),(1,10),-0.00105059 # DEPENDENCYPART_SIBL
(1,6),(1,12),-0.101927 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.110761 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.110842 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.00838045 # DEPENDENCYPART_SIBL
(1,7),(1,12),-0.102201 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.119829 # DEPENDENCYPART_SIBL
(1,8),(1,10),0.00931817 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.107448 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.00295307 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.101376 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0519251 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0658 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0607231 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0279731 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0739109 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0685923 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0503792 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0575859 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0648384 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0703789 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0666199 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.072448 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.0703789 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.0465202 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0033551 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0481171 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.0697747 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0318409 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.00999121 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0373155 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0358609 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0583031 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0205374 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.013205 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0583031 # DEPENDENCYPART_SIBL
(3,2),(3,20),0.00966919 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0316267 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0151253 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0213903 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0299598 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0213736 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0187608 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.0758272 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00602345 # DEPENDENCYPART_SIBL
(3,4),(3,14),0.0355237 # DEPENDENCYPART_SIBL
(3,4),(3,19),0.0758272 # DEPENDENCYPART_SIBL
(3,4),(3,20),0.101782 # DEPENDENCYPART_SIBL
(3,4),(3,23),0.103875 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.0209755 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00952644 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0208746 # DEPENDENCYPART_SIBL
(3,5),(3,9),-0.0216222 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0231232 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0117233 # DEPENDENCYPART_SIBL
(3,5),(3,14),-0.0225462 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0231232 # DEPENDENCYPART_SIBL
(3,5),(3,20),0.0185899 # DEPENDENCYPART_SIBL
(3,5),(3,23),0.00731892 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0128584 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0317092 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0339933 # DEPENDENCYPART_SIBL
(3,6),(3,10),0.00467222 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0438137 # DEPENDENCYPART_SIBL
(3,6),(3,14),-0.017041 # DEPENDENCYPART_SIBL
(3,6),(3,19),0.00467222 # DEPENDENCYPART_SIBL
(3,6),(3,20),0.0230735 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.00690899 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0235613 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.0258643 # DEPENDENCYPART_SIBL
(3,7),(3,10),0.0284902 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0394041 # DEPENDENCYPART_SIBL
(3,7),(3,14),-0.0110566 # DEPENDENCYPART_SIBL
(3,7),(3,19),0.0284902 # DEPENDENCYPART_SIBL
(3,7),(3,20),0.0275882 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0165102 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0283953 # DEPENDENCYPART_SIBL
(3,8),(3,10),0.0290953 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0415529 # DEPENDENCYPART_SIBL
(3,8),(3,14),-0.0113226 # DEPENDENCYPART_SIBL
(3,8),(3,19),0.0290953 # DEPENDENCYPART_SIBL
(3,8),(3,20),0.0288793 # DEPENDENCYPART_SIBL
(3,8),(3,23),0.00104419 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.00722518 # DEPENDENCYPART_SIBL
(3,9),(3,12),-0.0450785 # DEPENDENCYPART_SIBL
(3,9),(3,14),-0.0174914 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.00722518 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0214799 # DEPENDENCYPART_SIBL
(3,9),(3,23),-0.00388154 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0253297 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0331518 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.031604 # DEPENDENCYPART_SIBL
(3,10),(3,20),0.0760415 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.00982974 # DEPENDENCYPART_SIBL
(3,12),(3,14),-0.0134879 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.00370376 # DEPENDENCYPART_SIBL
(3,12),(3,20),0.00546457 # DEPENDENCYPART_SIBL
(3,12),(3,23),-0.037594 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.0333698 # DEPENDENCYPART_SIBL
(3,14),(3,20),0.00183495 # DEPENDENCYPART_SIBL
(3,14),(3,23),-0.0090298 # DEPENDENCYPART_SIBL
(3,19),(3,20),0.0760415 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.00982974 # DEPENDENCYPART_SIBL
(3,20),(3,23),-0.0138614 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.00628959 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0860976 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.00310848 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0444032 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0422719 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0292965 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.0432109 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0814347 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.0408126 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.00992492 # DEPENDENCYPART_SIBL
(4,1),(4,13),-0.0401779 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0344437 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.0422608 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.00440217 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0618521 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.00946396 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.057421 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0532548 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0567182 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0632594 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0885739 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0592165 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.028028 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0557334 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0244518 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.0505629 # DEPENDENCYPART_SIBL
(4,2),(4,23),-0.0265231 # DEPENDENCYPART_SIBL
(4,3),(4,5),-0.0666937 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.038039 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0125749 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0481383 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.0224706 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0557983 # DEPENDENCYPART_SIBL
(4,3),(4,11),-0.02592 # DEPENDENCYPART_SIBL
(4,3),(4,12),-0.0538349 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.0205759 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0265646 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.0277114 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.0462556 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0603618 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0601412 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.0611342 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0605032 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.0170108 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0601535 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.0437472 # DEPENDENCYPART_SIBL
(4,5),(4,13),-0.0601332 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0287811 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.0602774 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0325747 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.106449 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.110987 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.111327 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0388144 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.106142 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.103428 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.106141 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.021674 # DEPENDENCYPART_SIBL
(4,6),(4,22),-0.106832 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.0202199 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.107403 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.107756 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.0290491 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.102563 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.103606 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.102562 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.0204366 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.103253 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.0252469 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.114008 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0271472 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.108822 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.107645 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.108821 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.022488 # DEPENDENCYPART_SIBL
(4,8),(4,22),-0.109556 # DEPENDENCYPART_SIBL
(4,8),(4,23),0.00787158 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0352056 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0805653 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.103267 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.0805638 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0201999 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0812553 # DEPENDENCYPART_SIBL
(4,9),(4,23),0.0108447 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0373874 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0397958 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0348864 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0347431 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0444235 # DEPENDENCYPART_SIBL
(4,10),(4,23),0.0313217 # DEPENDENCYPART_SIBL
(4,11),(4,12),-0.102814 # DEPENDENCYPART_SIBL
(4,11),(4,13),-0.101316 # DEPENDENCYPART_SIBL
(4,11),(4,14),-0.0199206 # DEPENDENCYPART_SIBL
(4,11),(4,22),-0.102008 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.0230111 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.0754827 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.0205337 # DEPENDENCYPART_SIBL
(4,12),(4,22),-0.0759105 # DEPENDENCYPART_SIBL
(4,12),(4,23),0.00836443 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0195312 # DEPENDENCYPART_SIBL
(4,13),(4,22),-0.102801 # DEPENDENCYPART_SIBL
(4,13),(4,23),0.0237574 # DEPENDENCYPART_SIBL
(4,14),(4,22),-0.0196648 # DEPENDENCYPART_SIBL
(4,14),(4,23),0.132197 # DEPENDENCYPART_SIBL
(4,22),(4,23),0.0349044 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0032963 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0307005 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.039328 # DEPENDENCYPART_SIBL
(6,4),(6,14),-0.04009 # DEPENDENCYPART_SIBL
