# _root_ But Mr. Schulte , the bondholders ' adviser , said Revco was dragging its feet in responding to the proposal .
#goldHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
#predictedHeads=10,3,10,3,6,8,6,3,3,0,12,10,12,15,13,13,16,17,20,18,10,
(10,18),-1.22018 # DEPENDENCYPART_ARC
(10,21),0.393359 # DEPENDENCYPART_ARC
(11,3),-2.80393 # DEPENDENCYPART_ARC
(11,5),-2.77198 # DEPENDENCYPART_ARC
(11,6),-2.25368 # DEPENDENCYPART_ARC
(11,8),-2.36677 # DEPENDENCYPART_ARC
(11,9),-1.57631 # DEPENDENCYPART_ARC
(11,10),0.104085 # DEPENDENCYPART_ARC
(11,12),-0.134207 # DEPENDENCYPART_ARC
(11,13),-1.22627 # DEPENDENCYPART_ARC
(11,15),-1.33754 # DEPENDENCYPART_ARC
(11,16),-1.11854 # DEPENDENCYPART_ARC
(12,1),-1.15576 # DEPENDENCYPART_ARC
(12,2),-0.893296 # DEPENDENCYPART_ARC
(12,3),-0.943458 # DEPENDENCYPART_ARC
(12,4),-2.00513 # DEPENDENCYPART_ARC
(12,6),-1.84918 # DEPENDENCYPART_ARC
(12,8),-1.75254 # DEPENDENCYPART_ARC
(12,9),-1.22167 # DEPENDENCYPART_ARC
(12,10),-1.06605 # DEPENDENCYPART_ARC
(12,11),0.615491 # DEPENDENCYPART_ARC
(12,13),1.54778 # DEPENDENCYPART_ARC
(12,15),-0.728346 # DEPENDENCYPART_ARC
(12,16),-0.898145 # DEPENDENCYPART_ARC
(12,17),-1.08218 # DEPENDENCYPART_ARC
(12,18),-1.017 # DEPENDENCYPART_ARC
(12,20),-1.58577 # DEPENDENCYPART_ARC
(12,21),0.0419604 # DEPENDENCYPART_ARC
(13,8),-2.90536 # DEPENDENCYPART_ARC
(13,9),-2.14738 # DEPENDENCYPART_ARC
(13,10),-2.23718 # DEPENDENCYPART_ARC
(13,11),-1.54665 # DEPENDENCYPART_ARC
(13,12),-1.24905 # DEPENDENCYPART_ARC
(13,15),0.222771 # DEPENDENCYPART_ARC
(13,16),-0.189914 # DEPENDENCYPART_ARC
(13,17),-0.520189 # DEPENDENCYPART_ARC
(13,18),-0.844556 # DEPENDENCYPART_ARC
(13,20),-1.21643 # DEPENDENCYPART_ARC
(13,21),-0.544189 # DEPENDENCYPART_ARC
(15,8),-2.97067 # DEPENDENCYPART_ARC
(15,10),-1.43534 # DEPENDENCYPART_ARC
(15,11),-1.42271 # DEPENDENCYPART_ARC
(15,13),-0.859257 # DEPENDENCYPART_ARC
(15,14),0.739133 # DEPENDENCYPART_ARC
(15,16),0.283038 # DEPENDENCYPART_ARC
(15,17),-0.889383 # DEPENDENCYPART_ARC
(15,18),-1.21915 # DEPENDENCYPART_ARC
(15,20),-1.4357 # DEPENDENCYPART_ARC
(16,15),-0.29368 # DEPENDENCYPART_ARC
(16,17),0.661785 # DEPENDENCYPART_ARC
(16,18),-0.916668 # DEPENDENCYPART_ARC
(16,20),-1.40795 # DEPENDENCYPART_ARC
(17,15),-1.73898 # DEPENDENCYPART_ARC
(17,16),-0.556286 # DEPENDENCYPART_ARC
(17,18),0.3371 # DEPENDENCYPART_ARC
(17,19),-0.980039 # DEPENDENCYPART_ARC
(17,20),-0.611488 # DEPENDENCYPART_ARC
(17,21),-0.761678 # DEPENDENCYPART_ARC
(18,16),-1.07821 # DEPENDENCYPART_ARC
(18,19),0.15181 # DEPENDENCYPART_ARC
(18,20),-0.203646 # DEPENDENCYPART_ARC
(18,21),-0.678129 # DEPENDENCYPART_ARC
(20,14),-1.82141 # DEPENDENCYPART_ARC
(20,15),-1.95575 # DEPENDENCYPART_ARC
(20,16),-1.31089 # DEPENDENCYPART_ARC
(20,17),-1.12308 # DEPENDENCYPART_ARC
(20,18),-0.924 # DEPENDENCYPART_ARC
(20,19),1.28813 # DEPENDENCYPART_ARC
(20,21),-0.279178 # DEPENDENCYPART_ARC
(21,20),-0.318943 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.0582631 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0582631 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.147618 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.144515 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.134366 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0513433 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.118577 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.109893 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.101652 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.118406 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.109724 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.101481 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.168393 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.170829 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.167444 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0539606 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0565282 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0510537 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0565282 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0555241 # DEPENDENCYPART_SIBL
(1,2),(1,12),-0.0663341 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.04372 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0395752 # DEPENDENCYPART_SIBL
(1,2),(1,21),-0.0509282 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0368105 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.0458856 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.0368105 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.0510537 # DEPENDENCYPART_SIBL
(1,3),(1,12),-0.0618628 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.0392509 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.035106 # DEPENDENCYPART_SIBL
(1,3),(1,21),-0.044148 # DEPENDENCYPART_SIBL
(1,4),(1,8),0.0163145 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.00154567 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.0281381 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0229346 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.000964006 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.000964006 # DEPENDENCYPART_SIBL
(1,4),(1,21),-0.0124243 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.0413315 # DEPENDENCYPART_SIBL
(1,8),(1,10),-0.0508866 # DEPENDENCYPART_SIBL
(1,8),(1,12),-0.0616974 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0390837 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0349389 # DEPENDENCYPART_SIBL
(1,8),(1,21),-0.0440355 # DEPENDENCYPART_SIBL
(1,9),(1,10),-0.0281381 # DEPENDENCYPART_SIBL
(1,9),(1,12),-0.0229346 # DEPENDENCYPART_SIBL
(1,9),(1,13),0.000964006 # DEPENDENCYPART_SIBL
(1,9),(1,17),0.000964006 # DEPENDENCYPART_SIBL
(1,9),(1,21),-0.0124243 # DEPENDENCYPART_SIBL
(1,10),(1,12),-0.0482156 # DEPENDENCYPART_SIBL
(1,10),(1,13),-0.0270729 # DEPENDENCYPART_SIBL
(1,10),(1,17),-0.0270779 # DEPENDENCYPART_SIBL
(1,10),(1,21),0.159689 # DEPENDENCYPART_SIBL
(1,12),(1,13),-0.0531351 # DEPENDENCYPART_SIBL
(1,12),(1,17),-0.0531401 # DEPENDENCYPART_SIBL
(1,12),(1,21),0.0584178 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.0486171 # DEPENDENCYPART_SIBL
(1,13),(1,21),0.0532336 # DEPENDENCYPART_SIBL
(1,17),(1,21),0.0506468 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0151035 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00585049 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.00612354 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0151227 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00585049 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0157498 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.030861 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.00466476 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00691739 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.030861 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.00513105 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0408026 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0637661 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0364779 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.0697813 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.0137235 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0109542 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0253665 # DEPENDENCYPART_SIBL
(2,8),(2,9),0.0177146 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00890949 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.0697813 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.111165 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0068583 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0174745 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0061183 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0141182 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0068583 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0113132 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0174395 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0138323 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.0189524 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0946469 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0159261 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.10954 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0087025 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.0946469 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0973707 # DEPENDENCYPART_SIBL
(3,2),(3,11),-0.0158542 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0586797 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.16612 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0397497 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0391038 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0620715 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0294097 # DEPENDENCYPART_SIBL
(3,4),(3,10),0.00399397 # DEPENDENCYPART_SIBL
(3,4),(3,11),0.0397909 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.0703274 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.00391698 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.00757756 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.00778686 # DEPENDENCYPART_SIBL
(3,6),(3,9),0.0126768 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0139593 # DEPENDENCYPART_SIBL
(3,6),(3,11),-0.0115079 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.00618872 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.0376678 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0137096 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.013708 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0225802 # DEPENDENCYPART_SIBL
(3,7),(3,11),-0.0172993 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0242896 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.0188749 # DEPENDENCYPART_SIBL
(3,8),(3,9),0.0165161 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0136768 # DEPENDENCYPART_SIBL
(3,8),(3,11),-0.0112274 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0059096 # DEPENDENCYPART_SIBL
(3,8),(3,16),-0.0388854 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.00399397 # DEPENDENCYPART_SIBL
(3,9),(3,11),0.0397909 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.0703274 # DEPENDENCYPART_SIBL
(3,9),(3,16),-0.00391698 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0361069 # DEPENDENCYPART_SIBL
(3,10),(3,12),0.0041703 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.0116413 # DEPENDENCYPART_SIBL
(3,11),(3,12),-0.00618894 # DEPENDENCYPART_SIBL
(3,11),(3,16),-0.03749 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0109358 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.353937 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.112055 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0536433 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0146953 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.0617386 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0061183 # DEPENDENCYPART_SIBL
(6,1),(6,8),-0.0172968 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0175747 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0109304 # DEPENDENCYPART_SIBL
(6,1),(6,11),-0.0206181 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0142151 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.0200774 # DEPENDENCYPART_SIBL
(6,2),(6,3),-0.0416363 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0191015 # DEPENDENCYPART_SIBL
(6,2),(6,5),-0.146619 # DEPENDENCYPART_SIBL
(6,2),(6,7),0.100915 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.0236156 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.0641685 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.106977 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0307673 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0682857 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.0346063 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.0410622 # DEPENDENCYPART_SIBL
(6,3),(6,5),-0.125389 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.118304 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0117936 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0208736 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0349381 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.00457437 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0134012 # DEPENDENCYPART_SIBL
(6,3),(6,15),0.000735288 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.059046 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.144528 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0170978 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.128892 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0454115 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0188226 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.0226086 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.0200993 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.283588 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0103569 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00308806 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.107693 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0128705 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.120138 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.0160169 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0190627 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.0270145 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.0232903 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.0226523 # DEPENDENCYPART_SIBL
(6,7),(6,12),-0.0249997 # DEPENDENCYPART_SIBL
(6,7),(6,15),-0.0214301 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00800745 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0189939 # DEPENDENCYPART_SIBL
(6,8),(6,11),-0.0222624 # DEPENDENCYPART_SIBL
(6,8),(6,12),-0.0112267 # DEPENDENCYPART_SIBL
(6,8),(6,15),-0.014548 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.0155862 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.00842632 # DEPENDENCYPART_SIBL
(6,9),(6,12),0.0507472 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.00193412 # DEPENDENCYPART_SIBL
(6,10),(6,11),-0.0414555 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0034646 # DEPENDENCYPART_SIBL
(6,10),(6,15),-0.0402337 # DEPENDENCYPART_SIBL
(6,11),(6,12),-0.011506 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.0148277 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0250056 # DEPENDENCYPART_SIBL
(8,1),(8,2),-0.117128 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0587157 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.00582307 # DEPENDENCYPART_SIBL
(8,1),(8,5),-0.0659254 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0587203 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.000296902 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0432319 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.00956508 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.00721465 # DEPENDENCYPART_SIBL
(8,1),(8,12),-0.0155743 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.00261709 # DEPENDENCYPART_SIBL
(8,1),(8,15),-0.00667391 # DEPENDENCYPART_SIBL
(8,1),(8,16),-0.0247874 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.000325354 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.00540213 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0367021 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0185802 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.143531 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.0344921 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.0500635 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.162784 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0917895 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.00469366 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0530994 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0950315 # DEPENDENCYPART_SIBL
(8,2),(8,15),0.000854577 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.163912 # DEPENDENCYPART_SIBL
(8,2),(8,17),-0.0971935 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0967729 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0405408 # DEPENDENCYPART_SIBL
(8,3),(8,5),-0.122301 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0193744 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0718487 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.119489 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.0197509 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0400353 # DEPENDENCYPART_SIBL
(8,3),(8,12),0.0285874 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0112054 # DEPENDENCYPART_SIBL
(8,3),(8,15),0.0361962 # DEPENDENCYPART_SIBL
(8,3),(8,16),0.00128927 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0133673 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0541052 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.0521268 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0308831 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.113041 # DEPENDENCYPART_SIBL
(8,4),(8,9),0.188416 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0434521 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.00600349 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0206627 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.00803937 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0072802 # DEPENDENCYPART_SIBL
(8,4),(8,16),-0.0255604 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.00574764 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0287466 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0598733 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.125486 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.084824 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.117317 # DEPENDENCYPART_SIBL
(8,5),(8,11),0.0148041 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.129768 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.141962 # DEPENDENCYPART_SIBL
(8,5),(8,15),0.0116577 # DEPENDENCYPART_SIBL
(8,5),(8,16),0.00146775 # DEPENDENCYPART_SIBL
(8,5),(8,17),0.139329 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0153434 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.0712648 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.118846 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.0200176 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0411157 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.0283208 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.011472 # DEPENDENCYPART_SIBL
(8,6),(8,15),0.0372766 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.00128607 # DEPENDENCYPART_SIBL
(8,6),(8,17),-0.013634 # DEPENDENCYPART_SIBL
(8,6),(8,18),-0.0541083 # DEPENDENCYPART_SIBL
(8,7),(8,9),0.0618768 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.0169525 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0259336 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0168256 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0206984 # DEPENDENCYPART_SIBL
(8,7),(8,15),0.0264725 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.00697762 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.0184067 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.00662855 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.0398391 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.100961 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.106164 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.0583283 # DEPENDENCYPART_SIBL
