# _root_ When the plant was destroyed , `` I think everyone got concerned that the same thing would happen at our plant , '' a KerrMcGee spokeswoman said .
#goldHeads=5,3,4,9,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
#predictedHeads=5,3,4,27,4,9,9,9,27,11,9,11,17,16,16,17,12,17,18,21,19,27,27,26,26,27,0,27,
(9,4),-1.59582 # DEPENDENCYPART_ARC
(9,5),-1.28178 # DEPENDENCYPART_ARC
(9,6),-0.867051 # DEPENDENCYPART_ARC
(9,7),-0.492968 # DEPENDENCYPART_ARC
(9,8),0.968976 # DEPENDENCYPART_ARC
(9,10),0.473089 # DEPENDENCYPART_ARC
(9,11),-0.0366067 # DEPENDENCYPART_ARC
(9,12),-0.974702 # DEPENDENCYPART_ARC
(9,13),-1.48086 # DEPENDENCYPART_ARC
(9,16),-1.48233 # DEPENDENCYPART_ARC
(9,17),-1.00219 # DEPENDENCYPART_ARC
(9,18),-1.29127 # DEPENDENCYPART_ARC
(9,19),-1.5672 # DEPENDENCYPART_ARC
(9,21),-1.8514 # DEPENDENCYPART_ARC
(9,22),-1.61121 # DEPENDENCYPART_ARC
(9,23),-0.829151 # DEPENDENCYPART_ARC
(9,27),-2.79042 # DEPENDENCYPART_ARC
(9,28),-1.25708 # DEPENDENCYPART_ARC
(10,2),-2.38478 # DEPENDENCYPART_ARC
(10,3),-2.57093 # DEPENDENCYPART_ARC
(10,4),-1.97656 # DEPENDENCYPART_ARC
(10,5),-1.74039 # DEPENDENCYPART_ARC
(10,6),-1.695 # DEPENDENCYPART_ARC
(10,7),-1.14477 # DEPENDENCYPART_ARC
(10,8),-0.532357 # DEPENDENCYPART_ARC
(10,9),0.675953 # DEPENDENCYPART_ARC
(10,11),-0.0111719 # DEPENDENCYPART_ARC
(10,12),-1.09568 # DEPENDENCYPART_ARC
(10,13),-1.02466 # DEPENDENCYPART_ARC
(10,16),-1.49507 # DEPENDENCYPART_ARC
(10,17),-1.2977 # DEPENDENCYPART_ARC
(11,1),-1.43189 # DEPENDENCYPART_ARC
(11,3),-2.25888 # DEPENDENCYPART_ARC
(11,4),-1.54414 # DEPENDENCYPART_ARC
(11,5),-1.44402 # DEPENDENCYPART_ARC
(11,6),-1.53693 # DEPENDENCYPART_ARC
(11,7),-1.00969 # DEPENDENCYPART_ARC
(11,8),-1.32214 # DEPENDENCYPART_ARC
(11,9),-1.09057 # DEPENDENCYPART_ARC
(11,10),0.402871 # DEPENDENCYPART_ARC
(11,12),0.923853 # DEPENDENCYPART_ARC
(11,13),-0.380161 # DEPENDENCYPART_ARC
(11,15),-0.889633 # DEPENDENCYPART_ARC
(11,16),-0.39104 # DEPENDENCYPART_ARC
(11,17),-0.792968 # DEPENDENCYPART_ARC
(11,18),-0.786436 # DEPENDENCYPART_ARC
(11,19),-1.0393 # DEPENDENCYPART_ARC
(11,21),-1.33134 # DEPENDENCYPART_ARC
(11,22),-1.08025 # DEPENDENCYPART_ARC
(11,23),-0.706458 # DEPENDENCYPART_ARC
(11,27),-2.51142 # DEPENDENCYPART_ARC
(11,28),-1.20361 # DEPENDENCYPART_ARC
(12,3),-1.848 # DEPENDENCYPART_ARC
(12,8),-1.32348 # DEPENDENCYPART_ARC
(12,10),-1.04524 # DEPENDENCYPART_ARC
(12,13),0.465695 # DEPENDENCYPART_ARC
(12,15),-0.628818 # DEPENDENCYPART_ARC
(12,16),-1.05169 # DEPENDENCYPART_ARC
(12,17),-0.757234 # DEPENDENCYPART_ARC
(12,18),-0.839666 # DEPENDENCYPART_ARC
(12,19),-1.0295 # DEPENDENCYPART_ARC
(12,21),-1.29352 # DEPENDENCYPART_ARC
(12,23),-1.15508 # DEPENDENCYPART_ARC
(12,26),-1.71951 # DEPENDENCYPART_ARC
(12,27),-1.55449 # DEPENDENCYPART_ARC
(12,28),-1.60919 # DEPENDENCYPART_ARC
(13,10),-1.60121 # DEPENDENCYPART_ARC
(13,12),-0.651491 # DEPENDENCYPART_ARC
(13,14),-0.347538 # DEPENDENCYPART_ARC
(13,15),-1.01188 # DEPENDENCYPART_ARC
(13,16),-1.1809 # DEPENDENCYPART_ARC
(13,18),-1.55149 # DEPENDENCYPART_ARC
(13,21),-2.41906 # DEPENDENCYPART_ARC
(14,13),-0.316498 # DEPENDENCYPART_ARC
(14,15),-0.395048 # DEPENDENCYPART_ARC
(14,19),-1.44636 # DEPENDENCYPART_ARC
(15,10),-1.56412 # DEPENDENCYPART_ARC
(15,12),-1.406 # DEPENDENCYPART_ARC
(15,13),-1.25975 # DEPENDENCYPART_ARC
(15,14),-0.00808651 # DEPENDENCYPART_ARC
(15,18),-0.993594 # DEPENDENCYPART_ARC
(15,21),-1.73994 # DEPENDENCYPART_ARC
(16,6),-1.85628 # DEPENDENCYPART_ARC
(16,7),-1.30687 # DEPENDENCYPART_ARC
(16,9),-1.23353 # DEPENDENCYPART_ARC
(16,11),-1.10736 # DEPENDENCYPART_ARC
(16,12),-1.01392 # DEPENDENCYPART_ARC
(16,13),-0.930058 # DEPENDENCYPART_ARC
(16,14),0.406993 # DEPENDENCYPART_ARC
(16,15),1.42382 # DEPENDENCYPART_ARC
(16,17),-0.455732 # DEPENDENCYPART_ARC
(16,18),-0.783229 # DEPENDENCYPART_ARC
(16,19),-1.13101 # DEPENDENCYPART_ARC
(16,21),-1.61254 # DEPENDENCYPART_ARC
(16,26),-2.06242 # DEPENDENCYPART_ARC
(17,3),-2.01945 # DEPENDENCYPART_ARC
(17,4),-1.59973 # DEPENDENCYPART_ARC
(17,5),-1.34016 # DEPENDENCYPART_ARC
(17,6),-1.80717 # DEPENDENCYPART_ARC
(17,7),-0.834711 # DEPENDENCYPART_ARC
(17,9),-1.30067 # DEPENDENCYPART_ARC
(17,10),-1.05555 # DEPENDENCYPART_ARC
(17,11),-1.0348 # DEPENDENCYPART_ARC
(17,12),-1.10352 # DEPENDENCYPART_ARC
(17,13),-0.117764 # DEPENDENCYPART_ARC
(17,14),-0.938457 # DEPENDENCYPART_ARC
(17,15),-0.638693 # DEPENDENCYPART_ARC
(17,16),0.811079 # DEPENDENCYPART_ARC
(17,18),1.54679 # DEPENDENCYPART_ARC
(17,19),-0.783418 # DEPENDENCYPART_ARC
(17,22),-1.1316 # DEPENDENCYPART_ARC
(17,23),-1.11792 # DEPENDENCYPART_ARC
(17,27),-2.1399 # DEPENDENCYPART_ARC
(17,28),-0.93834 # DEPENDENCYPART_ARC
(18,6),-2.36206 # DEPENDENCYPART_ARC
(18,9),-1.98494 # DEPENDENCYPART_ARC
(18,10),-1.62845 # DEPENDENCYPART_ARC
(18,12),-1.62069 # DEPENDENCYPART_ARC
(18,13),-0.851572 # DEPENDENCYPART_ARC
(18,15),-1.47082 # DEPENDENCYPART_ARC
(18,16),-1.11688 # DEPENDENCYPART_ARC
(18,17),-0.637851 # DEPENDENCYPART_ARC
(18,19),0.789063 # DEPENDENCYPART_ARC
(18,21),-0.839927 # DEPENDENCYPART_ARC
(18,22),-1.11343 # DEPENDENCYPART_ARC
(18,23),-1.1755 # DEPENDENCYPART_ARC
(18,24),-1.64998 # DEPENDENCYPART_ARC
(18,26),-2.21968 # DEPENDENCYPART_ARC
(18,27),-2.01812 # DEPENDENCYPART_ARC
(18,28),-1.80768 # DEPENDENCYPART_ARC
(19,16),-1.62315 # DEPENDENCYPART_ARC
(19,21),-0.111078 # DEPENDENCYPART_ARC
(19,22),-1.05658 # DEPENDENCYPART_ARC
(19,23),-1.46043 # DEPENDENCYPART_ARC
(19,26),-2.37649 # DEPENDENCYPART_ARC
(19,27),-2.15178 # DEPENDENCYPART_ARC
(21,14),-2.19213 # DEPENDENCYPART_ARC
(21,15),-1.73997 # DEPENDENCYPART_ARC
(21,16),-1.57674 # DEPENDENCYPART_ARC
(21,18),-1.08301 # DEPENDENCYPART_ARC
(21,19),-0.753505 # DEPENDENCYPART_ARC
(21,20),0.753678 # DEPENDENCYPART_ARC
(21,22),0.0680827 # DEPENDENCYPART_ARC
(21,23),-1.45544 # DEPENDENCYPART_ARC
(21,24),-1.92751 # DEPENDENCYPART_ARC
(21,25),-1.69099 # DEPENDENCYPART_ARC
(21,26),-1.89716 # DEPENDENCYPART_ARC
(21,27),-2.0762 # DEPENDENCYPART_ARC
(25,24),-0.511071 # DEPENDENCYPART_ARC
(25,26),-0.599407 # DEPENDENCYPART_ARC
(26,14),-2.61761 # DEPENDENCYPART_ARC
(26,15),-2.16357 # DEPENDENCYPART_ARC
(26,19),-1.63998 # DEPENDENCYPART_ARC
(26,20),-1.61687 # DEPENDENCYPART_ARC
(26,21),-1.54907 # DEPENDENCYPART_ARC
(26,22),-1.40724 # DEPENDENCYPART_ARC
(26,23),-0.941632 # DEPENDENCYPART_ARC
(26,24),0.500961 # DEPENDENCYPART_ARC
(26,25),1.70084 # DEPENDENCYPART_ARC
(26,27),-0.281647 # DEPENDENCYPART_ARC
(27,3),-2.02454 # DEPENDENCYPART_ARC
(27,4),-1.13789 # DEPENDENCYPART_ARC
(27,5),-1.399 # DEPENDENCYPART_ARC
(27,6),-2.60609 # DEPENDENCYPART_ARC
(27,7),-0.461966 # DEPENDENCYPART_ARC
(27,8),-2.41287 # DEPENDENCYPART_ARC
(27,9),-1.25972 # DEPENDENCYPART_ARC
(27,10),-2.35561 # DEPENDENCYPART_ARC
(27,11),-1.30241 # DEPENDENCYPART_ARC
(27,12),-1.55617 # DEPENDENCYPART_ARC
(27,13),-0.761635 # DEPENDENCYPART_ARC
(27,15),-1.65253 # DEPENDENCYPART_ARC
(27,16),-2.1113 # DEPENDENCYPART_ARC
(27,17),-0.865894 # DEPENDENCYPART_ARC
(27,18),-1.06645 # DEPENDENCYPART_ARC
(27,19),-1.07845 # DEPENDENCYPART_ARC
(27,21),-1.74425 # DEPENDENCYPART_ARC
(27,22),-0.659289 # DEPENDENCYPART_ARC
(27,23),-0.354994 # DEPENDENCYPART_ARC
(27,24),-0.667052 # DEPENDENCYPART_ARC
(27,25),-0.281594 # DEPENDENCYPART_ARC
(27,26),1.01477 # DEPENDENCYPART_ARC
(27,28),1.03098 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0803489 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0760951 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0750767 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0137865 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0843189 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.171137 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.167972 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0780037 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.193787 # DEPENDENCYPART_SIBL
(0,9),(0,11),-0.164121 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.072821 # DEPENDENCYPART_SIBL
(0,9),(0,27),-0.189017 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.072448 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.190584 # DEPENDENCYPART_SIBL
(0,17),(0,27),-0.115135 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00851027 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0981953 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0456419 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0613337 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00657913 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0130794 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0693117 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.150769 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.160691 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.114931 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0387207 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.149031 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.00234439 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.0572174 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.0390084 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.00636537 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0327798 # DEPENDENCYPART_SIBL
(3,5),(3,7),0.0457863 # DEPENDENCYPART_SIBL
(3,5),(3,11),-0.00933521 # DEPENDENCYPART_SIBL
(3,6),(3,7),0.0360057 # DEPENDENCYPART_SIBL
(3,6),(3,11),0.0335068 # DEPENDENCYPART_SIBL
(3,7),(3,11),0.019813 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.0191407 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.0106952 # DEPENDENCYPART_SIBL
(4,1),(4,5),-0.247342 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.127585 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.0876288 # DEPENDENCYPART_SIBL
(4,1),(4,9),-0.239989 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.0658554 # DEPENDENCYPART_SIBL
(4,1),(4,11),-0.208791 # DEPENDENCYPART_SIBL
(4,1),(4,17),-0.0134065 # DEPENDENCYPART_SIBL
(4,1),(4,22),-0.127585 # DEPENDENCYPART_SIBL
(4,1),(4,23),-0.054776 # DEPENDENCYPART_SIBL
(4,1),(4,28),-0.292991 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0426704 # DEPENDENCYPART_SIBL
(4,2),(4,5),-0.0755954 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0441032 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0850821 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0832765 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.057531 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0287569 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0569349 # DEPENDENCYPART_SIBL
(4,2),(4,22),0.0441032 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0150169 # DEPENDENCYPART_SIBL
(4,2),(4,28),-0.122188 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.00493486 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.00552692 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.014386 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0144498 # DEPENDENCYPART_SIBL
(4,3),(4,10),-0.0585539 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0586917 # DEPENDENCYPART_SIBL
(4,3),(4,17),-0.0165637 # DEPENDENCYPART_SIBL
(4,3),(4,22),-0.00552692 # DEPENDENCYPART_SIBL
(4,3),(4,23),-0.00606355 # DEPENDENCYPART_SIBL
(4,3),(4,28),-0.00785739 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.00483113 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.000753724 # DEPENDENCYPART_SIBL
(4,5),(4,9),-0.0197415 # DEPENDENCYPART_SIBL
(4,5),(4,10),-0.039944 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0177903 # DEPENDENCYPART_SIBL
(4,5),(4,17),-0.0218108 # DEPENDENCYPART_SIBL
(4,5),(4,22),-0.00483113 # DEPENDENCYPART_SIBL
(4,5),(4,23),0.0159275 # DEPENDENCYPART_SIBL
(4,5),(4,28),0.00494972 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.0182124 # DEPENDENCYPART_SIBL
(4,6),(4,9),0.0230929 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.00166845 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0326121 # DEPENDENCYPART_SIBL
(4,6),(4,17),0.0432313 # DEPENDENCYPART_SIBL
(4,6),(4,22),0.0313414 # DEPENDENCYPART_SIBL
(4,6),(4,23),0.0477308 # DEPENDENCYPART_SIBL
(4,6),(4,28),0.00960865 # DEPENDENCYPART_SIBL
(4,7),(4,9),0.0500901 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.00427496 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.049938 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0226693 # DEPENDENCYPART_SIBL
(4,7),(4,22),-0.00729638 # DEPENDENCYPART_SIBL
(4,7),(4,23),0.199226 # DEPENDENCYPART_SIBL
(4,7),(4,28),0.019874 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0415217 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0165585 # DEPENDENCYPART_SIBL
(4,9),(4,17),-0.0238807 # DEPENDENCYPART_SIBL
(4,9),(4,22),-0.0247986 # DEPENDENCYPART_SIBL
(4,9),(4,23),0.010916 # DEPENDENCYPART_SIBL
(4,9),(4,28),0.00218201 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0616043 # DEPENDENCYPART_SIBL
(4,10),(4,17),-0.08377 # DEPENDENCYPART_SIBL
(4,10),(4,22),-0.0218833 # DEPENDENCYPART_SIBL
(4,10),(4,23),-0.0346936 # DEPENDENCYPART_SIBL
(4,10),(4,28),-0.0331527 # DEPENDENCYPART_SIBL
(4,11),(4,17),-0.00568733 # DEPENDENCYPART_SIBL
(4,11),(4,22),0.0368875 # DEPENDENCYPART_SIBL
(4,11),(4,23),0.0657571 # DEPENDENCYPART_SIBL
(4,11),(4,28),0.0287044 # DEPENDENCYPART_SIBL
(4,17),(4,22),-0.00813677 # DEPENDENCYPART_SIBL
(4,17),(4,23),-0.0515132 # DEPENDENCYPART_SIBL
(4,17),(4,28),0.00784734 # DEPENDENCYPART_SIBL
(4,22),(4,23),0.0477308 # DEPENDENCYPART_SIBL
(4,22),(4,28),0.00960865 # DEPENDENCYPART_SIBL
(4,23),(4,28),-0.0616303 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0198948 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0279414 # DEPENDENCYPART_SIBL
(5,1),(5,4),1.5186e-05 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.139799 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0768078 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.196742 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0644205 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.165543 # DEPENDENCYPART_SIBL
(5,1),(5,12),0.035493 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.00238601 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.216031 # DEPENDENCYPART_SIBL
(5,1),(5,22),-0.139799 # DEPENDENCYPART_SIBL
(5,1),(5,27),-0.206204 # DEPENDENCYPART_SIBL
(5,1),(5,28),-0.258947 # DEPENDENCYPART_SIBL
(5,2),(5,3),-0.041644 # DEPENDENCYPART_SIBL
(5,2),(5,4),-0.0634534 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0232672 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0893256 # DEPENDENCYPART_SIBL
(5,2),(5,9),-0.0781973 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.0704311 # DEPENDENCYPART_SIBL
(5,2),(5,11),-0.0236777 # DEPENDENCYPART_SIBL
(5,2),(5,12),-0.03933 # DEPENDENCYPART_SIBL
(5,2),(5,17),-0.0553607 # DEPENDENCYPART_SIBL
(5,2),(5,18),-0.0745131 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0232672 # DEPENDENCYPART_SIBL
(5,2),(5,27),-0.081553 # DEPENDENCYPART_SIBL
(5,2),(5,28),-0.104956 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.0129995 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.00356831 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.00490367 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0217649 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0348464 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0660068 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0213499 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.00583356 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.00726354 # DEPENDENCYPART_SIBL
(5,3),(5,22),0.00356831 # DEPENDENCYPART_SIBL
(5,3),(5,27),0.00899786 # DEPENDENCYPART_SIBL
(5,3),(5,28),0.00198989 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.00445761 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.00718289 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0120316 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.0171945 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.0446379 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00867199 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.00951384 # DEPENDENCYPART_SIBL
(5,4),(5,18),-0.00900051 # DEPENDENCYPART_SIBL
(5,4),(5,22),-0.00445761 # DEPENDENCYPART_SIBL
(5,4),(5,27),-0.0245866 # DEPENDENCYPART_SIBL
(5,4),(5,28),0.0706909 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.0337456 # DEPENDENCYPART_SIBL
(5,6),(5,9),0.0322426 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.00278399 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0417618 # DEPENDENCYPART_SIBL
(5,6),(5,12),0.00724568 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0215337 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0400323 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0319443 # DEPENDENCYPART_SIBL
(5,6),(5,27),0.00222899 # DEPENDENCYPART_SIBL
(5,6),(5,28),0.00522725 # DEPENDENCYPART_SIBL
(5,7),(5,9),0.0238898 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.00392674 # DEPENDENCYPART_SIBL
(5,7),(5,11),0.0237378 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0309883 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0114028 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0215868 # DEPENDENCYPART_SIBL
(5,7),(5,22),-0.021964 # DEPENDENCYPART_SIBL
(5,7),(5,27),0.00812253 # DEPENDENCYPART_SIBL
(5,7),(5,28),-0.00861463 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0255872 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0176757 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0462071 # DEPENDENCYPART_SIBL
(5,9),(5,17),-0.0370565 # DEPENDENCYPART_SIBL
(5,9),(5,18),-0.0161467 # DEPENDENCYPART_SIBL
(5,9),(5,22),-0.0157849 # DEPENDENCYPART_SIBL
(5,9),(5,27),-0.0333936 # DEPENDENCYPART_SIBL
(5,9),(5,28),0.00359828 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0389063 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0515066 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.0738595 # DEPENDENCYPART_SIBL
(5,10),(5,18),-0.0344586 # DEPENDENCYPART_SIBL
(5,10),(5,22),-0.0134735 # DEPENDENCYPART_SIBL
(5,10),(5,27),-0.0518278 # DEPENDENCYPART_SIBL
(5,10),(5,28),-0.0380499 # DEPENDENCYPART_SIBL
(5,11),(5,12),-0.0285757 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.0188632 # DEPENDENCYPART_SIBL
(5,11),(5,18),-0.00305024 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.0459012 # DEPENDENCYPART_SIBL
(5,11),(5,27),-0.0202906 # DEPENDENCYPART_SIBL
(5,11),(5,28),0.0301207 # DEPENDENCYPART_SIBL
(5,12),(5,17),-0.0544781 # DEPENDENCYPART_SIBL
(5,12),(5,18),-0.0155347 # DEPENDENCYPART_SIBL
(5,12),(5,22),-0.0268951 # DEPENDENCYPART_SIBL
(5,12),(5,27),-0.00454673 # DEPENDENCYPART_SIBL
(5,12),(5,28),-0.0403735 # DEPENDENCYPART_SIBL
(5,17),(5,18),-0.0070399 # DEPENDENCYPART_SIBL
(5,17),(5,22),0.00927282 # DEPENDENCYPART_SIBL
(5,17),(5,27),-0.0106495 # DEPENDENCYPART_SIBL
(5,17),(5,28),0.0180469 # DEPENDENCYPART_SIBL
(5,18),(5,22),0.00628236 # DEPENDENCYPART_SIBL
(5,18),(5,27),-0.0322825 # DEPENDENCYPART_SIBL
(5,18),(5,28),0.0134543 # DEPENDENCYPART_SIBL
(5,22),(5,27),0.00222899 # DEPENDENCYPART_SIBL
(5,22),(5,28),0.00522725 # DEPENDENCYPART_SIBL
(5,27),(5,28),0.030921 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.00086575 # DEPENDENCYPART_SIBL
