# _root_ `` It 's the whole uncertainty about what 's happening around us , '' said Valentin Von Korff , a trader at Credit Suisse First Boston in Frankfurt .
#goldHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
#predictedHeads=15,3,15,6,6,3,6,9,7,9,10,11,15,15,0,18,18,15,18,21,18,21,26,26,26,22,26,27,15,
(3,7),(3,13),-0.00642552 # DEPENDENCYPART_SIBL
(3,7),(3,14),0.0339295 # DEPENDENCYPART_SIBL
(3,7),(3,15),-0.062325 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.00642552 # DEPENDENCYPART_SIBL
(3,7),(3,22),-0.0225523 # DEPENDENCYPART_SIBL
(3,7),(3,29),-0.0888873 # DEPENDENCYPART_SIBL
(3,9),(3,10),-0.01441 # DEPENDENCYPART_SIBL
(3,9),(3,11),-0.00392896 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0330804 # DEPENDENCYPART_SIBL
(3,9),(3,14),0.0724133 # DEPENDENCYPART_SIBL
(3,9),(3,15),-0.0342666 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0330804 # DEPENDENCYPART_SIBL
(3,9),(3,22),-0.0121146 # DEPENDENCYPART_SIBL
(3,9),(3,29),0.0260531 # DEPENDENCYPART_SIBL
(3,10),(3,11),-0.0146207 # DEPENDENCYPART_SIBL
(3,10),(3,13),0.0155847 # DEPENDENCYPART_SIBL
(3,10),(3,14),0.0339706 # DEPENDENCYPART_SIBL
(3,10),(3,15),-0.0396452 # DEPENDENCYPART_SIBL
(3,10),(3,19),0.0155847 # DEPENDENCYPART_SIBL
(3,10),(3,22),-0.0224342 # DEPENDENCYPART_SIBL
(3,10),(3,29),-0.0137328 # DEPENDENCYPART_SIBL
(3,11),(3,13),0.00339541 # DEPENDENCYPART_SIBL
(3,11),(3,14),0.0400936 # DEPENDENCYPART_SIBL
(3,11),(3,15),-0.0248885 # DEPENDENCYPART_SIBL
(3,11),(3,19),0.00339541 # DEPENDENCYPART_SIBL
(3,11),(3,22),-0.0341444 # DEPENDENCYPART_SIBL
(3,11),(3,29),-0.070425 # DEPENDENCYPART_SIBL
(3,13),(3,14),0.0634239 # DEPENDENCYPART_SIBL
(3,13),(3,15),-0.00869994 # DEPENDENCYPART_SIBL
(3,13),(3,19),0.0191676 # DEPENDENCYPART_SIBL
(3,13),(3,22),-0.0309563 # DEPENDENCYPART_SIBL
(3,13),(3,29),-0.0334108 # DEPENDENCYPART_SIBL
(3,14),(3,15),-0.0143961 # DEPENDENCYPART_SIBL
(3,14),(3,19),0.00846167 # DEPENDENCYPART_SIBL
(3,14),(3,22),0.0384519 # DEPENDENCYPART_SIBL
(3,14),(3,29),-0.0405534 # DEPENDENCYPART_SIBL
(3,15),(3,19),0.0721903 # DEPENDENCYPART_SIBL
(3,15),(3,22),0.0102747 # DEPENDENCYPART_SIBL
(3,15),(3,29),0.0546544 # DEPENDENCYPART_SIBL
(3,19),(3,22),-0.0309563 # DEPENDENCYPART_SIBL
(3,19),(3,29),-0.0334108 # DEPENDENCYPART_SIBL
(3,22),(3,29),-0.0293938 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0218759 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.026879 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.00366069 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0383479 # DEPENDENCYPART_SIBL
(4,5),(4,14),0.0151402 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.047605 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.019805 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0693867 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.0476317 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.00369894 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.0589124 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.0596514 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.0709838 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.0411416 # DEPENDENCYPART_SIBL
(4,13),(4,14),0.052191 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0278 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0398193 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.129581 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.0218607 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.0291298 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.111068 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0352366 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0212555 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0145759 # DEPENDENCYPART_SIBL
(5,2),(5,10),-0.00824642 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.000241355 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.205352 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.316361 # DEPENDENCYPART_SIBL
(5,4),(5,10),0.155799 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.245991 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.012865 # DEPENDENCYPART_SIBL
(5,7),(5,10),0.00399126 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0384425 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.0123429 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.0385712 # DEPENDENCYPART_SIBL
(5,10),(5,11),0.0402533 # DEPENDENCYPART_SIBL
(6,1),(6,2),0.0256442 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.054502 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.0253563 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.0463969 # DEPENDENCYPART_SIBL
(6,1),(6,7),0.028575 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.0693958 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.00715427 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0272388 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.105326 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.825771 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0144073 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0941222 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.105326 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0389872 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0684137 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.02512 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.0188756 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0644895 # DEPENDENCYPART_SIBL
(6,2),(6,9),0.00219396 # DEPENDENCYPART_SIBL
(6,2),(6,10),0.00964942 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.025503 # DEPENDENCYPART_SIBL
(6,2),(6,13),0.120073 # DEPENDENCYPART_SIBL
(6,2),(6,14),0.0482835 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00263377 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.0700382 # DEPENDENCYPART_SIBL
(6,2),(6,19),0.120073 # DEPENDENCYPART_SIBL
(6,2),(6,22),0.0410944 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.00327398 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0197462 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0444028 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.0936978 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0436501 # DEPENDENCYPART_SIBL
(6,3),(6,11),-0.0260783 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.0353622 # DEPENDENCYPART_SIBL
(6,3),(6,14),-0.0309366 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.0400329 # DEPENDENCYPART_SIBL
(6,3),(6,18),-0.00580253 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.0353622 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0150618 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.0546164 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.123842 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.383765 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.15245 # DEPENDENCYPART_SIBL
(6,4),(6,11),-0.0581762 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0249349 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0265416 # DEPENDENCYPART_SIBL
(6,4),(6,15),0.0835035 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.00821041 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0249349 # DEPENDENCYPART_SIBL
(6,4),(6,22),0.0120548 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0155132 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.066444 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0170709 # DEPENDENCYPART_SIBL
(6,5),(6,11),-0.0202096 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0133777 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.0347579 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0334884 # DEPENDENCYPART_SIBL
(6,5),(6,18),-0.00456527 # DEPENDENCYPART_SIBL
(6,5),(6,19),-0.0133777 # DEPENDENCYPART_SIBL
(6,5),(6,22),0.0136832 # DEPENDENCYPART_SIBL
(6,7),(6,9),-0.00305913 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.00779906 # DEPENDENCYPART_SIBL
(6,7),(6,11),-0.00158943 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.0216784 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.00737367 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.00207202 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.0174258 # DEPENDENCYPART_SIBL
(6,7),(6,19),0.0216784 # DEPENDENCYPART_SIBL
(6,7),(6,22),0.062919 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.00264531 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0188245 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.00931942 # DEPENDENCYPART_SIBL
(6,9),(6,14),0.0965718 # DEPENDENCYPART_SIBL
(6,9),(6,15),0.000879567 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.0145053 # DEPENDENCYPART_SIBL
