# _root_ Ms. Malcolm , for example , wrote that Mr. Masson described himself as `` the greatest analyst who ever lived . ''
#goldHeads=2,7,7,7,4,7,0,11,10,11,7,11,11,13,17,17,13,20,20,17,7,7,
#predictedHeads=2,7,7,7,4,7,0,11,10,11,7,11,11,13,17,17,13,20,20,17,7,7,
(5,17),-2.023 # DEPENDENCYPART_ARC
(5,21),-2.56699 # DEPENDENCYPART_ARC
(5,22),-1.77758 # DEPENDENCYPART_ARC
(6,4),-1.02941 # DEPENDENCYPART_ARC
(7,1),-0.572663 # DEPENDENCYPART_ARC
(7,2),-0.205468 # DEPENDENCYPART_ARC
(7,3),-0.85438 # DEPENDENCYPART_ARC
(7,4),-0.392768 # DEPENDENCYPART_ARC
(7,5),-1.02832 # DEPENDENCYPART_ARC
(7,6),0.878375 # DEPENDENCYPART_ARC
(7,8),0.81221 # DEPENDENCYPART_ARC
(7,9),-0.445021 # DEPENDENCYPART_ARC
(7,10),-0.449189 # DEPENDENCYPART_ARC
(7,11),-0.24467 # DEPENDENCYPART_ARC
(7,13),-0.874289 # DEPENDENCYPART_ARC
(7,14),-1.18194 # DEPENDENCYPART_ARC
(7,17),-1.60544 # DEPENDENCYPART_ARC
(7,19),-1.49868 # DEPENDENCYPART_ARC
(7,20),-0.791017 # DEPENDENCYPART_ARC
(7,21),0.43678 # DEPENDENCYPART_ARC
(7,22),0.0383854 # DEPENDENCYPART_ARC
(8,4),-2.11491 # DEPENDENCYPART_ARC
(8,5),-2.23288 # DEPENDENCYPART_ARC
(8,6),-1.71654 # DEPENDENCYPART_ARC
(8,9),-0.408794 # DEPENDENCYPART_ARC
(8,10),-0.89168 # DEPENDENCYPART_ARC
(8,11),-1.67442 # DEPENDENCYPART_ARC
(9,7),-2.63035 # DEPENDENCYPART_ARC
(9,8),-1.61637 # DEPENDENCYPART_ARC
(9,10),-0.569978 # DEPENDENCYPART_ARC
(9,11),-1.02937 # DEPENDENCYPART_ARC
(9,12),-1.73496 # DEPENDENCYPART_ARC
(9,13),-1.60024 # DEPENDENCYPART_ARC
(9,14),-1.97916 # DEPENDENCYPART_ARC
(9,17),-1.94611 # DEPENDENCYPART_ARC
(9,20),-1.91729 # DEPENDENCYPART_ARC
(10,5),-2.38231 # DEPENDENCYPART_ARC
(10,6),-2.12019 # DEPENDENCYPART_ARC
(10,7),-1.54236 # DEPENDENCYPART_ARC
(10,8),-1.24608 # DEPENDENCYPART_ARC
(10,9),1.75613 # DEPENDENCYPART_ARC
(10,11),-0.712654 # DEPENDENCYPART_ARC
(10,12),-1.68015 # DEPENDENCYPART_ARC
(10,13),-1.65534 # DEPENDENCYPART_ARC
(10,14),-2.03192 # DEPENDENCYPART_ARC
(10,17),-1.80265 # DEPENDENCYPART_ARC
(10,20),-2.04381 # DEPENDENCYPART_ARC
(11,1),-0.9565 # DEPENDENCYPART_ARC
(11,2),-0.937122 # DEPENDENCYPART_ARC
(11,3),-2.24204 # DEPENDENCYPART_ARC
(11,4),-1.0808 # DEPENDENCYPART_ARC
(11,5),-1.94898 # DEPENDENCYPART_ARC
(11,6),-1.44731 # DEPENDENCYPART_ARC
(11,7),-1.20401 # DEPENDENCYPART_ARC
(11,8),0.142354 # DEPENDENCYPART_ARC
(11,9),-0.413716 # DEPENDENCYPART_ARC
(11,10),0.95905 # DEPENDENCYPART_ARC
(11,12),0.657709 # DEPENDENCYPART_ARC
(11,13),-0.159095 # DEPENDENCYPART_ARC
(11,14),-0.818073 # DEPENDENCYPART_ARC
(11,15),-1.02707 # DEPENDENCYPART_ARC
(11,17),-0.673509 # DEPENDENCYPART_ARC
(11,19),-0.884721 # DEPENDENCYPART_ARC
(11,20),-0.456733 # DEPENDENCYPART_ARC
(11,21),-0.163314 # DEPENDENCYPART_ARC
(11,22),-0.586179 # DEPENDENCYPART_ARC
(12,13),-0.352934 # DEPENDENCYPART_ARC
(12,17),-1.58217 # DEPENDENCYPART_ARC
(13,4),-1.78646 # DEPENDENCYPART_ARC
(13,8),-1.24715 # DEPENDENCYPART_ARC
(13,14),0.297625 # DEPENDENCYPART_ARC
(13,15),-0.941362 # DEPENDENCYPART_ARC
(13,16),-1.07612 # DEPENDENCYPART_ARC
(13,17),-1.14156 # DEPENDENCYPART_ARC
(13,19),-1.59377 # DEPENDENCYPART_ARC
(13,20),-1.25208 # DEPENDENCYPART_ARC
(13,21),-1.23921 # DEPENDENCYPART_ARC
(13,22),-1.07214 # DEPENDENCYPART_ARC
(15,22),-1.17729 # DEPENDENCYPART_ARC
(16,15),0.148328 # DEPENDENCYPART_ARC
(16,20),-1.18687 # DEPENDENCYPART_ARC
(17,12),-1.40491 # DEPENDENCYPART_ARC
(17,13),-1.44353 # DEPENDENCYPART_ARC
(17,14),-1.06701 # DEPENDENCYPART_ARC
(17,15),0.0381843 # DEPENDENCYPART_ARC
(17,16),1.236 # DEPENDENCYPART_ARC
(17,19),-0.861221 # DEPENDENCYPART_ARC
(17,20),-0.613983 # DEPENDENCYPART_ARC
(17,21),-1.2761 # DEPENDENCYPART_ARC
(17,22),-1.20821 # DEPENDENCYPART_ARC
(18,19),-0.000878921 # DEPENDENCYPART_ARC
(18,21),-0.9823 # DEPENDENCYPART_ARC
(19,10),-2.17673 # DEPENDENCYPART_ARC
(19,13),-1.98516 # DEPENDENCYPART_ARC
(19,17),-1.91391 # DEPENDENCYPART_ARC
(19,18),-0.721381 # DEPENDENCYPART_ARC
(19,20),-0.243411 # DEPENDENCYPART_ARC
(19,22),-1.24758 # DEPENDENCYPART_ARC
(20,1),-1.18852 # DEPENDENCYPART_ARC
(20,2),-1.07733 # DEPENDENCYPART_ARC
(20,3),-2.35189 # DEPENDENCYPART_ARC
(20,4),-1.76791 # DEPENDENCYPART_ARC
(20,5),-2.17083 # DEPENDENCYPART_ARC
(20,6),-1.76741 # DEPENDENCYPART_ARC
(20,7),-1.14929 # DEPENDENCYPART_ARC
(20,8),-0.396952 # DEPENDENCYPART_ARC
(20,9),-0.96273 # DEPENDENCYPART_ARC
(20,10),-0.770539 # DEPENDENCYPART_ARC
(20,11),-1.07671 # DEPENDENCYPART_ARC
(20,12),-0.857835 # DEPENDENCYPART_ARC
(20,13),-0.271155 # DEPENDENCYPART_ARC
(20,14),-0.673185 # DEPENDENCYPART_ARC
(20,15),-0.838776 # DEPENDENCYPART_ARC
(20,16),-0.814764 # DEPENDENCYPART_ARC
(20,17),-0.335493 # DEPENDENCYPART_ARC
(20,18),0.232716 # DEPENDENCYPART_ARC
(20,19),1.16007 # DEPENDENCYPART_ARC
(20,21),0.491315 # DEPENDENCYPART_ARC
(20,22),-0.71481 # DEPENDENCYPART_ARC
(0,2),(0,7),-0.119927 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.12 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.118511 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.221195 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.222782 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.226516 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0112013 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.00393626 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0157954 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0112013 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0186136 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.00896095 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.0386131 # DEPENDENCYPART_SIBL
(1,2),(1,22),0.0233587 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0144294 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0411299 # DEPENDENCYPART_SIBL
(1,3),(1,6),0.0361117 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0144032 # DEPENDENCYPART_SIBL
(1,3),(1,11),0.0414093 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0755316 # DEPENDENCYPART_SIBL
(1,3),(1,22),0.0813931 # DEPENDENCYPART_SIBL
(1,4),(1,5),0.0371147 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.0430076 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0235105 # DEPENDENCYPART_SIBL
(1,4),(1,11),-0.01352 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0456395 # DEPENDENCYPART_SIBL
(1,4),(1,22),0.0012528 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0187748 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.0232759 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.0136232 # DEPENDENCYPART_SIBL
(1,5),(1,14),0.0383609 # DEPENDENCYPART_SIBL
(1,5),(1,22),0.0226686 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0144032 # DEPENDENCYPART_SIBL
(1,6),(1,11),0.0414093 # DEPENDENCYPART_SIBL
(1,6),(1,14),0.0755316 # DEPENDENCYPART_SIBL
(1,6),(1,22),0.0813931 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.000649575 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0623595 # DEPENDENCYPART_SIBL
(1,7),(1,22),0.0727636 # DEPENDENCYPART_SIBL
(1,11),(1,14),0.0612072 # DEPENDENCYPART_SIBL
(1,11),(1,22),0.0719102 # DEPENDENCYPART_SIBL
(1,14),(1,22),0.393303 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.130485 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0257712 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0213756 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.130485 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0339858 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.139326 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0282475 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0194733 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0801338 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0184365 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.0661247 # DEPENDENCYPART_SIBL
(2,1),(2,20),-0.0430211 # DEPENDENCYPART_SIBL
(2,1),(2,21),0.00218475 # DEPENDENCYPART_SIBL
(2,1),(2,22),0.0517416 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0118913 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0386639 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0356191 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0130741 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0157951 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0400432 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.0400802 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0415028 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0729816 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.087135 # DEPENDENCYPART_SIBL
(2,3),(2,20),0.0186271 # DEPENDENCYPART_SIBL
(2,3),(2,21),0.0013219 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.078843 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0371586 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0446541 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.022896 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0199239 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.038742 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0129055 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0240684 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.0456396 # DEPENDENCYPART_SIBL
(2,4),(2,17),0.0464551 # DEPENDENCYPART_SIBL
(2,4),(2,20),-0.0179714 # DEPENDENCYPART_SIBL
(2,4),(2,21),0.0490015 # DEPENDENCYPART_SIBL
(2,4),(2,22),0.0012527 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0234463 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.020144 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.025712 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0128466 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0104914 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0228202 # DEPENDENCYPART_SIBL
(2,5),(2,14),0.040851 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.00842049 # DEPENDENCYPART_SIBL
(2,5),(2,20),-0.0158411 # DEPENDENCYPART_SIBL
(2,5),(2,21),0.0268472 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.0251585 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0130741 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.0157951 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0400432 # DEPENDENCYPART_SIBL
(2,6),(2,11),0.0400802 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0415028 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0729816 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.087135 # DEPENDENCYPART_SIBL
(2,6),(2,20),0.0186271 # DEPENDENCYPART_SIBL
(2,6),(2,21),0.0013219 # DEPENDENCYPART_SIBL
(2,6),(2,22),0.078843 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.010154 # DEPENDENCYPART_SIBL
(2,7),(2,10),-0.0159134 # DEPENDENCYPART_SIBL
(2,7),(2,11),0.00125383 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.00279967 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0623506 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.00906504 # DEPENDENCYPART_SIBL
(2,7),(2,20),-0.00974892 # DEPENDENCYPART_SIBL
(2,7),(2,21),-0.0076454 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.0727543 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.0231542 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0280032 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.00757378 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0184304 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0153365 # DEPENDENCYPART_SIBL
(2,8),(2,20),-0.0330691 # DEPENDENCYPART_SIBL
(2,8),(2,21),0.016786 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0149122 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0127236 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0221883 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0408289 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.00821044 # DEPENDENCYPART_SIBL
(2,10),(2,20),-0.0180733 # DEPENDENCYPART_SIBL
(2,10),(2,21),0.0219029 # DEPENDENCYPART_SIBL
(2,10),(2,22),0.0211059 # DEPENDENCYPART_SIBL
(2,11),(2,13),0.00256382 # DEPENDENCYPART_SIBL
(2,11),(2,14),0.0611983 # DEPENDENCYPART_SIBL
(2,11),(2,17),-0.00219642 # DEPENDENCYPART_SIBL
(2,11),(2,20),-0.00758069 # DEPENDENCYPART_SIBL
(2,11),(2,21),0.00319673 # DEPENDENCYPART_SIBL
(2,11),(2,22),0.071901 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.0303291 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.00292074 # DEPENDENCYPART_SIBL
(2,13),(2,20),-0.0089559 # DEPENDENCYPART_SIBL
(2,13),(2,21),0.0454671 # DEPENDENCYPART_SIBL
(2,13),(2,22),-0.00815573 # DEPENDENCYPART_SIBL
(2,14),(2,17),0.0597467 # DEPENDENCYPART_SIBL
(2,14),(2,20),0.026281 # DEPENDENCYPART_SIBL
(2,14),(2,21),0.181693 # DEPENDENCYPART_SIBL
(2,14),(2,22),0.393303 # DEPENDENCYPART_SIBL
(2,17),(2,20),-0.00719376 # DEPENDENCYPART_SIBL
(2,17),(2,21),0.0349197 # DEPENDENCYPART_SIBL
(2,17),(2,22),0.0326067 # DEPENDENCYPART_SIBL
(2,20),(2,21),-0.00229851 # DEPENDENCYPART_SIBL
(2,20),(2,22),0.0764005 # DEPENDENCYPART_SIBL
(2,21),(2,22),0.127925 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.192996 # DEPENDENCYPART_SIBL
(4,3),(4,6),1.09456 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.138233 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.150205 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.0574177 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.0268392 # DEPENDENCYPART_SIBL
(4,5),(4,11),-0.0268981 # DEPENDENCYPART_SIBL
(4,6),(4,7),0.00152334 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.0158151 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0456349 # DEPENDENCYPART_SIBL
(5,1),(5,2),-0.0140987 # DEPENDENCYPART_SIBL
(5,1),(5,3),0.0308737 # DEPENDENCYPART_SIBL
(5,1),(5,4),0.0569744 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.152993 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.00789367 # DEPENDENCYPART_SIBL
(5,1),(5,10),0.042966 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00661884 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.0711817 # DEPENDENCYPART_SIBL
(5,1),(5,14),-0.00366239 # DEPENDENCYPART_SIBL
(5,1),(5,17),0.0808432 # DEPENDENCYPART_SIBL
(5,1),(5,21),0.0168776 # DEPENDENCYPART_SIBL
(5,1),(5,22),0.0665137 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0469096 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0690733 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0387165 # DEPENDENCYPART_SIBL
(5,2),(5,7),-0.0100326 # DEPENDENCYPART_SIBL
(5,2),(5,10),0.0126324 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0044799 # DEPENDENCYPART_SIBL
(5,2),(5,13),-0.0778371 # DEPENDENCYPART_SIBL
(5,2),(5,14),-0.0249323 # DEPENDENCYPART_SIBL
(5,2),(5,17),0.0526832 # DEPENDENCYPART_SIBL
(5,2),(5,21),0.0132105 # DEPENDENCYPART_SIBL
(5,2),(5,22),0.0371923 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0965547 # DEPENDENCYPART_SIBL
(5,3),(5,6),0.114407 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00637546 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0231066 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0340239 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0933875 # DEPENDENCYPART_SIBL
(5,3),(5,14),-0.0701381 # DEPENDENCYPART_SIBL
(5,3),(5,17),-0.0305718 # DEPENDENCYPART_SIBL
(5,3),(5,21),0.0321342 # DEPENDENCYPART_SIBL
(5,3),(5,22),-0.0429785 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0246078 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0271439 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.00937722 # DEPENDENCYPART_SIBL
(5,4),(5,11),-0.0104944 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.00710228 # DEPENDENCYPART_SIBL
(5,4),(5,14),-0.0133973 # DEPENDENCYPART_SIBL
(5,4),(5,17),8.72805e-05 # DEPENDENCYPART_SIBL
(5,4),(5,21),0.00564973 # DEPENDENCYPART_SIBL
(5,4),(5,22),0.0175374 # DEPENDENCYPART_SIBL
(5,6),(5,7),0.00587612 # DEPENDENCYPART_SIBL
(5,6),(5,10),0.034141 # DEPENDENCYPART_SIBL
(5,6),(5,11),0.0328822 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0358795 # DEPENDENCYPART_SIBL
(5,6),(5,14),0.0689504 # DEPENDENCYPART_SIBL
(5,6),(5,17),0.0812328 # DEPENDENCYPART_SIBL
(5,6),(5,21),-0.00406949 # DEPENDENCYPART_SIBL
(5,6),(5,22),0.0746699 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0175804 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.00131396 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.00530147 # DEPENDENCYPART_SIBL
(5,7),(5,14),0.0613376 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.0107321 # DEPENDENCYPART_SIBL
(5,7),(5,21),-0.0106702 # DEPENDENCYPART_SIBL
(5,7),(5,22),0.0716698 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.0148742 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.0242846 # DEPENDENCYPART_SIBL
(5,10),(5,14),0.0402351 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.00946916 # DEPENDENCYPART_SIBL
(5,10),(5,21),0.0192888 # DEPENDENCYPART_SIBL
(5,10),(5,22),0.0204407 # DEPENDENCYPART_SIBL
(5,11),(5,13),6.20285e-05 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.0601853 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.00386348 # DEPENDENCYPART_SIBL
(5,11),(5,21),0.000171906 # DEPENDENCYPART_SIBL
(5,11),(5,22),0.0708164 # DEPENDENCYPART_SIBL
(5,13),(5,14),0.0282742 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.00565046 # DEPENDENCYPART_SIBL
(5,13),(5,21),0.0420087 # DEPENDENCYPART_SIBL
(5,13),(5,22),-0.0102877 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0590944 # DEPENDENCYPART_SIBL
(5,14),(5,21),0.180333 # DEPENDENCYPART_SIBL
(5,14),(5,22),0.393231 # DEPENDENCYPART_SIBL
(5,17),(5,21),0.0323057 # DEPENDENCYPART_SIBL
(5,17),(5,22),0.0319415 # DEPENDENCYPART_SIBL
(5,21),(5,22),0.127853 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.104398 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.0247852 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.00295692 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.104775 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0247852 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.0873945 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0478062 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0250839 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0320882 # DEPENDENCYPART_SIBL
(7,1),(7,13),-0.0413294 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.031799 # DEPENDENCYPART_SIBL
(7,1),(7,17),-0.0320752 # DEPENDENCYPART_SIBL
(7,1),(7,19),-0.00702922 # DEPENDENCYPART_SIBL
(7,1),(7,20),-0.017363 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.00912101 # DEPENDENCYPART_SIBL
(7,1),(7,22),-0.0249762 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.0186501 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.000772037 # DEPENDENCYPART_SIBL
(7,2),(7,5),-0.0903744 # DEPENDENCYPART_SIBL
(7,2),(7,6),-0.0186501 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0765953 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0436881 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0257416 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.00822129 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0305302 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0253412 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.028451 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.000126677 # DEPENDENCYPART_SIBL
(7,2),(7,20),0.00650388 # DEPENDENCYPART_SIBL
(7,2),(7,21),0.0147007 # DEPENDENCYPART_SIBL
(7,2),(7,22),-0.021606 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.0716072 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0403157 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.0130487 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0575751 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0145732 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0099077 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.00670414 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0370129 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.063801 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.0653299 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.0326875 # DEPENDENCYPART_SIBL
(7,3),(7,20),-0.00894186 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.0606611 # DEPENDENCYPART_SIBL
